/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2020年08月22日 23時57分 ～ 2020年08月30日 20時44分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

東北きりたん> サービス業……ああぁ。世間は欲しすぎてますよ……   (2020/8/22 23:57:23)
東北きりたん> えへへ、姉様が入ってくるのみちゃったので(ばっ、と抱きついて   (2020/8/23 22:52:18)

東北イタコ> んもう、夜更かしはあんまり体に良くないですわよ(苦笑しつつ軽く抱きしめて)   (2020/8/23 22:53:47)

東北きりたん> 夜のお仕事してので、これくらい平気です(抱き返しにへぇ   (2020/8/23 22:54:14)

東北イタコ> どうにもきりちゃんから「夜のお仕事」って聞くと、女の子が接待するお仕事とかに思えてしまってなりませんわねぇ…(頭ぽふぽふ)   (2020/8/23 22:55:34)

東北きりたん> え、その通りですよ？(ぽふぽふされながら、その通りだと伝えてみて   (2020/8/23 22:55:59)

東北イタコ> あらあら～　大変なお仕事してますのねぇ(頭の中でバニーガール姿のきりちゃんが烏龍ハイとか作ってるの想像して)   (2020/8/23 22:57:47)

東北きりたん> いやまぁ。そのぶんの見返りはやってくるので悪くない仕事かと(楽しいし。何より気持ちいいなんていえずに   (2020/8/23 22:59:38)

東北イタコ> 無理してないお仕事でしたら何よりですわー(職に貴賎は無い、ハズ。ヤクザさんとか知りませんけども　ぉ)   (2020/8/23 23:02:01)

東北きりたん> 無理はしてないです。むしろ至高かも。(にひひ、と笑って見せて   (2020/8/23 23:03:05)

東北イタコ> そうなんですわねぇ…(ちゅわぁ…　自分の過去にぼんやり)   (2020/8/23 23:03:56)

東北きりたん> そうなんですよぉ(すりすり   (2020/8/23 23:06:41)

東北イタコ> ちゅわぁ…(ぽややん)   (2020/8/23 23:09:42)

東北きりたん> ちゅぁぁぁ(もふもふ   (2020/8/23 23:09:53)

東北イタコ> (ほっぺなでなでモチモチ)   (2020/8/23 23:10:42)

東北きりたん> (すりすりはむはむ。のんびりぼんやりと   (2020/8/23 23:11:07)

東北イタコ> まったりですわー   (2020/8/23 23:12:34)

東北きりたん> まったりぃ〜っ   (2020/8/23 23:14:38)

東北イタコ> なでなで。(お耳優しくむにむに)   (2020/8/23 23:16:01)

東北きりたん> はぅ〜(ぴくぴく、はむぅ   (2020/8/23 23:17:40)

東北イタコ> んー、きりちゃん、お耳掃除、してます？(指先に何かサラサラした物を感じて)   (2020/8/23 23:23:01)

東北きりたん> お耳掃除は、定期的にはしてますけどぉ(首傾げてそのまま見つめて   (2020/8/23 23:25:35)

東北イタコ> そうなんですわねぇ。　ちょっと耳垢があるかしら？　って思ったから   (2020/8/23 23:26:08)

東北きりたん> ん、耳かきしてくれますか……？(首傾げて、こて、と寝転がって   (2020/8/23 23:28:12)

東北イタコ> 危ないから悪戯無し、ですからね？　(膝枕してあげて、耳掻きを取って)　ちゅわ、ちゅわ～…(かりかり)   (2020/8/23 23:29:12)

東北きりたん> わかりましたぁ…あっ。きもちぃ……♪(かりかりされるのめっちゃいいのか声漏らして   (2020/8/23 23:30:23)

東北イタコ> こーしょこしょ…(かりかり…)   (2020/8/23 23:30:46)

東北きりたん> はぅ〜(もそもそ。気持ちよさそうに息漏らして   (2020/8/23 23:32:22)

東北イタコ> かりかり(耳にへばり付いてるのを優しく剥がして)   (2020/8/23 23:33:05)

東北きりたん> はぅっ…♪(のどごろごろと鳴らしていて   (2020/8/23 23:36:07)

東北イタコ> ふぅ。梵天、入れますわよ～　(もふもふ。ふわふわ。こしょこしょ)   (2020/8/23 23:36:49)

東北きりたん> はぅ〜(もそもそ、気持ちよくって声漏らしちゃって   (2020/8/23 23:39:28)

東北イタコ> はぁい、反対側のお耳も、ですわー   (2020/8/23 23:40:05)

東北きりたん> 反対がわぁ(くる、っと寝返りを打って   (2020/8/23 23:42:53)

東北イタコ> ちゅわわ。(なでなで。耳掻きこしょこしょ…   (2020/8/23 23:44:04)

東北きりたん> ふにゃわぁ(興奮でもしてるかのような荒い息遣い見せて   (2020/8/23 23:45:57)

東北イタコ> あらあら…　…あふ。(欠伸が出たので少し手を止めて)   (2020/8/23 23:47:01)

東北きりたん> ふぁぁ(にっこりと微笑みつつ   (2020/8/23 23:49:03)

東北イタコ> んふ。(かりかり。こしょこしょ…)   (2020/8/23 23:49:31)

東北きりたん> んっ…♪(気持ちよさそうに眠気に襲われて   (2020/8/23 23:52:41)

東北イタコ> あらきりちゃん、眠いんですの…？(手を止めて)   (2020/8/23 23:53:09)

東北きりたん> んっ、気持ちよさが勝手masu~   (2020/8/23 23:53:38)

東北きりたん> (首をちょっと横に振って   (2020/8/23 23:53:48)

東北イタコ> んー、お姉ちゃんもそろそろ眠いですし、おやすみしましょうか。(ちゅわわぁぁ…　と欠伸零して)   (2020/8/23 23:54:44)

東北きりたん> んふふ、おやすみしちゃいましょぉ(お耳カリカリは終わらせた体にして、姉様にギュ   (2020/8/23 23:55:32)

東北イタコ> ええ、寝ちゃいましょうですわぁ   (2020/8/23 23:56:02)

東北きりたん> おやすみぃ、なさいませぇ   (2020/8/23 23:56:32)

東北イタコ> おやすみなさい、きりちゃん   (2020/8/23 23:56:46)

おしらせ> 東北イタコさんが退室しました。  (2020/8/23 23:56:52)

おしらせ> 東北きりたんさんが退室しました。  (2020/8/23 23:57:02)

おしらせ> 菅生あすかさんが入室しました♪  (2020/8/24 19:33:50)

菅生あすか> 【みきさんとのレズプレイを希望しています。こちら300字前後の描写重視になります。同じくらいの方よろしくお願いします】   (2020/8/24 19:34:29)

おしらせ> 無言時間が20分を超えたため、菅生あすかさんが自動退室しました。  (2020/8/24 19:55:10)

おしらせ> 菅生あすかさんが入室しました♪  (2020/8/24 20:14:39)

菅生あすか> 　   (2020/8/24 20:29:41)

おしらせ> 菅生あすかさんが退室しました。  (2020/8/24 21:00:43)

おしらせ> 菅生あすかさんが入室しました♪  (2020/8/24 21:00:48)

おしらせ> Karenさんが入室しました♪  (2020/8/24 21:13:53)

Karen> 邪魔してごめんなさい 一晩だけ男の人を探してて... 助けてもらえますか？私の連絡先はこちら - adultlovex.com   (2020/8/24 21:13:56)

おしらせ> 菅生あすかさんが退室しました。  (2020/8/24 21:30:04)

おしらせ> 菅生あすかさんが入室しました♪  (2020/8/24 21:30:06)

おしらせ> 無言時間が20分を超えたため、Karenさんが自動退室しました。  (2020/8/24 21:34:28)

おしらせ> 菅生あすかさんが退室しました。  (2020/8/24 21:53:12)

おしらせ> 東北イタコさんが入室しました♪  (2020/8/26 16:47:36)

東北イタコ> ちゅわ～…どことなく気怠げな夕方…真昼と比べれば陽も傾いて気温が和らぐそんなひと時…　こんばんわですわ   (2020/8/26 16:49:06)

東北イタコ> 気怠げなのは夕方だから、かしら？　いいえ、多分幼い頃、夏休みの眩しい日々が終わりを迎えるのを儚んでいた、あの頃の記憶が滲み出るのですわ…   (2020/8/26 16:50:38)

東北イタコ> 友達と遊んだり…海や山へ出掛けたり…夏祭りにはしゃいだり…花火を見上げたり…やっつけた、と思っていた宿題が一つ二つ残ってたりなんか、ね…   (2020/8/26 16:52:03)

東北イタコ> メランコリックですわねぇ。今の私　(苦笑して)   (2020/8/26 16:53:27)

東北イタコ> (お茶をこくり…)   (2020/8/26 16:59:32)

おしらせ> 東北きりたんさんが入室しました♪  (2020/8/26 17:04:58)

東北きりたん> …(ひょこ、っと顔出して   (2020/8/26 17:05:09)

東北イタコ> あら、きりちゃん。　いらっしゃいですわ   (2020/8/26 17:05:26)

東北きりたん> こんにちは、イタコ姉様   (2020/8/26 17:05:45)

東北イタコ> 今日はまったりな感じなのかしら？　きりちゃんは   (2020/8/26 17:08:16)

東北きりたん> 今日は、まぁ、自転車に乗ってお風呂に入ったあとですよ〜(ほかほか   (2020/8/26 17:10:32)

東北きりたん> まったりとも言いにくく。遊びたい気持ちはありますね   (2020/8/26 17:10:52)

東北イタコ> 成る程ですわー。　私は炎天下の元、てくてく歩いて買い出ししたり、おそうめんを茹でたりと暑かったですわ…(汗は流しましたけれども。)   (2020/8/26 17:13:26)

東北きりたん> ありゃ、お疲れ様ですよ、イタコ姉様(アイスをぴた、とくっつけて   (2020/8/26 17:14:48)

東北イタコ> ひゃんっ　冷たいですわーっ   (2020/8/26 17:16:46)

東北きりたん> 一緒に食べましょ、姉様(いっこのアイスを手に、くすくすと   (2020/8/26 17:18:04)

東北イタコ> ん。頂きますわー(小さく一口囓って、舌の上で転がして楽しみ…)　ひんやり甘いですわ～…(ほっこり)   (2020/8/26 17:19:25)

東北きりたん> んふふ、あたしにも一口くださいっ(同じアイスをぱく、と齧ってもぐもぐ、と   (2020/8/26 17:22:37)

東北イタコ> んふふ、こうやって一つのお菓子を分け合うのって何となく楽しいですわ   (2020/8/26 17:24:36)

東北きりたん> 姉様とだと…もっと(頬を少し赤くしながら見つめてしまって   (2020/8/26 17:26:12)

東北イタコ> 私とかしら？　それともずんちゃんとかしら？(なんて聞いてみて)   (2020/8/26 17:26:50)

東北きりたん> どっちも、です(じぃ〜   (2020/8/26 17:27:40)

東北イタコ> あらあら～(くすくす)   (2020/8/26 17:28:21)

東北きりたん> んぅ〜(一個口に含んで、そのまま見つめて   (2020/8/26 17:29:58)

東北イタコ> んふふー？　(ぱくり、と一口食べて)   (2020/8/26 17:31:27)

東北きりたん> んっ…(そのまま見つめて、無言で口近づけて   (2020/8/26 17:31:55)

東北イタコ> あらあら～　おませさん～　(そう言うとチュッてキスして、きりちゃんの口の中から口移し。)   (2020/8/26 17:33:06)

東北きりたん> んぁぁっ…♥(口移ししちゃうと、そのまま勢いでした絡めていって   (2020/8/26 17:34:47)

