/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年01月26日 19時37分 ～ 2023年01月27日 18時57分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

八重神子 ◆> 妾もそんなに深く考えておらんのぅ（火サスにつられただけ）   (2023/1/26 19:37:12)
小春六花> なんだって！？でも、無料ってことはそんなに遊べないのではないか…？（CV立花慎之介   (2023/1/26 19:53:05)

八重神子 ◆> 残念ながらPCorPS4or5が無いと勧められないのじゃ.....   (2023/1/26 19:56:14)

桜衣乃> ですよね！（血涙）   (2023/1/26 19:56:57)

小春六花> まぁ、PCってこう……必要だよね……   (2023/1/26 19:57:00)

八重神子 ◆> こればかりはのぅ……   (2023/1/26 19:58:07)

桜衣乃> ……お金がですね、貯まらないんですよね……。   (2023/1/26 20:00:24)

八重神子 ◆> 何故じゃろうなぁ……？   (2023/1/26 20:00:38)

小春六花> 一個高性能なの買っておくとすごい便利よ   (2023/1/26 20:03:34)

桜衣乃> 存じております……とりあえずもう10年以上おんなじPCなので、変え時なのはわかってるんですけどね……   (2023/1/26 20:05:01)

小春六花> スイッチは任天堂で遊びたいならかなー。   (2023/1/26 20:06:08)

桜衣乃> ちょっとガチャ我慢して、どれか買ってみましょうかね……   (2023/1/26 20:07:23)

八重神子 ◆> まぁ、そこそこのPCは持っておいて損はないのぅ、ゲーム以外にも色々できることじゃし   (2023/1/26 20:09:18)

小春六花> というか、コラボで40000つぎ込むのは、やめなよ……ほんと。   (2023/1/26 20:10:16)

桜衣乃> はぁい、今のPCのスペック不足は感じてたことですし、来月あたりはちょっと我慢してみます……   (2023/1/26 20:10:43)

八重神子 ◆> 注ぎ込みたくなるのはわからんでもないがのぅ……   (2023/1/26 20:10:58)

小春六花> 強かったり人権だったり推しが欲しいのはわかるけど……   (2023/1/26 20:11:15)

八重神子 ◆> 個人的高めのものを2年か3年のローンで買うのがおすすめじゃｖどうせ４、５年は持つしのぅ   (2023/1/26 20:12:20)

桜衣乃> え〜、でもこのゲームひとりお迎えするのに3万はデフォなんですよぅ……それに、ゲームの存続はお金を払わないといけませんし……　まぁ自分でもおかしいのはわかってるんですけどね……？   (2023/1/26 20:12:50)

小春六花> きいて、いのちゃん。   (2023/1/26 20:13:03)

小春六花> 3万は普通に人一人の生活費レベルなの。   (2023/1/26 20:13:15)

桜衣乃> 存じてます……   (2023/1/26 20:14:07)

八重神子 ◆> さすがに心配になるレベルじゃからのぅ   (2023/1/26 20:16:36)

小春六花> そのゲームが放置少女なのか、パズドラなのか、原神なのか、アークナイツなのか、Fanzaかは知らないけど。   (2023/1/26 20:17:04)

小春六花> ちょっと普通に冷静になって課金は辞めてほしいなぁ……   (2023/1/26 20:17:44)

八重神子 ◆> まぁ、妾もまぁまぁ突っ込んでおるほうじゃから人のことは言えぬが加減をのぅ   (2023/1/26 20:19:03)

桜衣乃> ……わかりました、来月は2万までに抑えます！   (2023/1/26 20:19:58)

小春六花> なんだろう。その、一つのゲームにジャブジャブする姿、クレーちゃんに晒せますか？   (2023/1/26 20:20:47)

小春六花> （あの子もジャブってたらどうしよう）   (2023/1/26 20:20:58)

桜衣乃> う゛……それもこれも、ガチャって文明のしわざなんです……！買い切りじゃないばっかりに……！   (2023/1/26 20:21:53)

八重神子 ◆> 妾のようにほしいキャラに優先順位を付けて絶対にほしいキャラ以外は抑えるようにするれば多少は.....   (2023/1/26 20:22:18)

桜衣乃> それに私はあれだけはサ終させるわけにはいかなくて…！   (2023/1/26 20:22:38)

桜衣乃> …できる範囲で！できる範囲までにしますね！   (2023/1/26 20:23:05)

八重神子 ◆> じゃが……一体何にそこまで入れ込んでおるのかは気になるところじゃのぅ   (2023/1/26 20:24:36)

小春六花> 割と気になるよね。   (2023/1/26 20:24:44)

桜衣乃> …あれ、八重さまはすでにご存知だったかと…？違う子に言ったのかな…？   (2023/1/26 20:26:58)

八重神子 ◆> エデンズリッターか花騎士か、と思うたがあの辺りは人気じゃからサ終の心配はないじゃろうし……人気下位のエンクリか天啓かオトフロか....   (2023/1/26 20:28:04)

八重神子 ◆> 聞いた覚えがない気がするのぅ……もしかしたら忙しさで忘れておるかもしれぬが   (2023/1/26 20:28:40)

小春六花> あと、自分がいくらつぎ込もうと終わるときは終わるぞ。（何かを経験してきた顔）   (2023/1/26 20:28:58)

桜衣乃> えっちなフレンズって言うから、もう既にわかってたのかと思っちゃいました。知らずに言ってたんですね……   (2023/1/26 20:29:17)

八重神子 ◆> あぁ、そっちじゃったか   (2023/1/26 20:29:26)

八重神子 ◆> そこまでつぎ込むとなるとfanzaゲーかと思うてそっちを上げたんじゃが....   (2023/1/26 20:30:02)

八重神子 ◆> そっちもそういえば最近あまり話を聞かんしのぅ.....   (2023/1/26 20:30:29)

桜衣乃> エロゲにはそこまで出しませんね〜……DLsiteでお安くたくさん買うタイプです♪   (2023/1/26 20:30:31)

八重神子 ◆> 一時期は花騎士に課金しておったが最近は妾もDLsiteで数買うタイプじゃのぅ……   (2023/1/26 20:32:16)

桜衣乃> 六花ちゃんは、どんなゲームかわかりましたか〜？   (2023/1/26 20:33:17)

小春六花> いやー？まったくわからないけど、ちょっと想いを馳せてた   (2023/1/26 20:34:56)

桜衣乃> あれ、そうでしたか……　じゃあもう言ってしまうと、私がやってるのは、けものフレンズ3と言いまして……今回のコラボ相手はケロロ軍曹とアリサちゃんなんです。……買わざるを得ないでしょう？   (2023/1/26 20:37:00)

小春六花> なにがどう、買わざるを得ないのかわからないけど……   (2023/1/26 20:38:36)

桜衣乃> …作者が同じなんですよ。世界観とかも。   (2023/1/26 20:41:17)

小春六花> うーん……。これのサ終とめたいならイノちゃんが月に1000万くらい入れればワンのチャンくらいかなぁ……   (2023/1/26 20:42:05)

八重神子 ◆> 数万程度ではのぅ……昔似たような感覚で生活費を切り詰めて課金しておったがまぁ、お察しじゃ   (2023/1/26 20:43:07)

桜衣乃> 泣けますね……   (2023/1/26 20:43:40)

小春六花> けもふれそのものは知ってるけどー。吉崎先生も。   (2023/1/26 20:46:16)

八重神子 ◆> さてと、妾は固定の準備やら何やらもせねばならんしここまでじゃな、またのぅ   (2023/1/26 20:48:52)

小春六花> ぜつってらー。   (2023/1/26 20:48:58)

八重神子 ◆> 生憎と絶ではないんじゃなこれが、ということでさらばじゃ   (2023/1/26 20:49:21)

おしらせ> 八重神子 ◆zj4nGVXxckさんが退室しました。  (2023/1/26 20:49:25)

桜衣乃> はーい、私もそろそろごはんにするつもりですが……六花ちゃんはどうしますか？   (2023/1/26 20:49:30)

小春六花> んー？だらっとこのまま部屋にいて   (2023/1/26 20:49:46)

小春六花> 誰も来なかったら落ちるよー？、   (2023/1/26 20:49:56)

桜衣乃> はーい。それでは、またあとで〜？   (2023/1/26 20:51:02)

おしらせ> 桜衣乃さんが退室しました。  (2023/1/26 20:51:10)

小春六花> あとなのかな……？まぁいいや。おつー。   (2023/1/26 20:51:26)

小春六花> まー……12年間、最後まで愛に溢れてたよね。   (2023/1/26 21:09:03)

おしらせ> 桜衣乃さんが入室しました♪  (2023/1/26 21:13:48)

桜衣乃> もーどりまーしたっ。   (2023/1/26 21:14:01)

小春六花> はっや！？   (2023/1/26 21:14:08)

桜衣乃> まぁそんなに食べられるものも多く用意されてませんからね……なにか感傷に浸ってたんですか…？   (2023/1/26 21:16:22)

小春六花> いやー？サービス終了した故郷に思いを馳せてた。   (2023/1/26 21:16:45)

桜衣乃> やっぱり、いずれは終わりが来るものですからねー……   (2023/1/26 21:17:53)

小春六花> そーそ。いつか終わる終わる。なんならそれなり人気でも会社事情で潰されるよ。   (2023/1/26 21:18:54)

桜衣乃> やはり買い切り……買い切りのほうが強いというわけで……　   (2023/1/26 21:20:09)

小春六花> それでも、その時出会えた人とは生涯の友レベルで仲良くなれるのがMMOのよさ……   (2023/1/26 21:23:56)

桜衣乃> エミルクロニクルオンライン…ですかね？それともmeet-meか……   (2023/1/26 21:27:26)

小春六花> そーそ、ECO−。だから受付嬢もこの私。   (2023/1/26 21:28:43)

桜衣乃> …………あぁ！そうでしたか！私はサービス終了の数か月前に広告から入って…すぐ終わっちゃいましたけど……初めてのmmoでしたね……。   (2023/1/26 21:29:50)

小春六花> 私は6年くらい住んでたかなー……   (2023/1/26 21:30:16)

桜衣乃> 仲間と結婚できる！みたいなことが書いてあったような、なかったような……とにかく仲間の可愛い子を作ろうとした覚えだけありますね。結局課金してないので、あんまり可愛く作れませんでしたが……   (2023/1/26 21:32:37)

小春六花> 300円でいくらでも可愛くできるのに……！！！あそこだけ税金で支払うもの。（私は払った）始めたてならマーシャかルルイエかなー。   (2023/1/26 21:34:44)

桜衣乃> 当時私は10歳ですからね〜……お金を払う方法がなくてですね……   (2023/1/26 21:36:22)

小春六花> この話はやめましょうか。（心を閉じた顔）   (2023/1/26 21:37:24)

桜衣乃> はーい……   (2023/1/26 21:37:47)

小春六花> ジェネギャは人が死ぬ   (2023/1/26 21:38:13)

桜衣乃> 気持ちはわからないでもないですが……   (2023/1/26 21:39:02)

小春六花> ないですがなぁーにー。   (2023/1/26 21:39:50)

桜衣乃> かと言って新しい話もついていけないような私は、なんというか……全部が勉強になりますっ。   (2023/1/26 21:40:03)

小春六花> じゃあどのあたりの話がいいんだろうね（？）   (2023/1/26 21:40:51)

桜衣乃> どう……でしょうか……？私は学校でも友達があまりいなくてみなさんの好きなお話を知らずに生きてきたので……。   (2023/1/26 21:41:56)

桜衣乃> 知ってるお話以外は知らないといいますか……   (2023/1/26 21:42:10)

小春六花> どうしよう、急にクソ重い話ぶちこまれた。   (2023/1/26 21:43:47)

桜衣乃> あ、大丈夫です！あまり、なだけでちゃんといましたからね！？   (2023/1/26 21:44:28)

小春六花> いた？大丈夫？実は手首のシュシュのことを友だちとか呼んだりしてない？（震え声）   (2023/1/26 21:46:54)

桜衣乃> そんな寂しいことしませんよっ！？…ちょっとディープなお話の合う子がいただけですっ。…まぁ、その子くらいなものだったんですが……   (2023/1/26 21:48:01)

小春六花> よかったー……でぃぃぷな関係のご友人はいたようで……   (2023/1/26 21:52:15)

桜衣乃> ちなみに今ははゆちゃんともう一人しか学校の友達がいません♡   (2023/1/26 21:56:47)

小春六花> うわつら……   (2023/1/26 21:57:13)

桜衣乃> 高校デビュー失敗しちゃったんですよね……自己紹介で借金返しますなんて言ったばかりに……   (2023/1/26 21:59:22)

小春六花> なんだろう……二人いてよかったね……？   (2023/1/26 22:02:12)

桜衣乃> でも   (2023/1/26 22:03:55)

桜衣乃> いいんです！今は六花ちゃんたちがお友達ですから！ぼっちじゃありません！   (2023/1/26 22:04:30)

小春六花> そうね……いのちゃんの周りにはたくさん人がいるもんね…！   (2023/1/26 22:05:35)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/1/26 22:07:09)

後藤ひとり> 学校に1人しか友達いない私はどうしたら……！   (2023/1/26 22:07:21)

おしらせ> 後藤ひとりさんが退室しました。  (2023/1/26 22:07:23)

桜衣乃> ひ……ひとりいれば、ぼっちじゃありませんから……！   (2023/1/26 22:07:59)

小春六花> わりぃ……やっぱつれぇわ……   (2023/1/26 22:12:11)

桜衣乃> そりゃ、つれぇでしょうよ   (2023/1/26 22:12:31)

小春六花> 聞けてよかった…っていう人はいないんだけど。   (2023/1/26 22:13:49)

桜衣乃> 人数足りませんでしたね……   (2023/1/26 22:14:26)

桜衣乃> おや……すみません、ちょっと用事ができましたので、行ってきますね！   (2023/1/26 22:18:17)

小春六花> ほーい、いってらー。   (2023/1/26 22:18:37)

桜衣乃> たぶん今日は戻れませんから……おやすみなさいです、六花ちゃん！   (2023/1/26 22:18:39)

おしらせ> 桜衣乃さんが退室しました。  (2023/1/26 22:18:49)

小春六花> 私もぼちぼち寝てこよっかなーっと。   (2023/1/26 22:20:03)

おしらせ> 小春六花さんが退室しました。  (2023/1/26 22:20:04)

おしらせ> ユフィリア・マゼンタさんが入室しました♪  (2023/1/26 22:51:42)

ユフィリア・マゼンタ> こんばんは…。少しばかりの間、待機しますね？   (2023/1/26 22:52:28)

ユフィリア・マゼンタ> 近頃はめっきり冷え込むようになって布団に籠るようになってしまいましたね…。あまりそのような事はだらしないのでしたくは無いのですが…   (2023/1/26 22:57:27)

おしらせ> イリア・コーラルさんが入室しました♪  (2023/1/26 22:57:51)

イリア・コーラル> こんばんは、夜分に失礼します。   (2023/1/26 22:59:11)

ユフィリア・マゼンタ> こんばんは、イリア。いらっしゃいませ…♪   (2023/1/26 22:59:49)

イリア・コーラル> ありがとうございます、ユフィリア様。ふふ、良いのですよお布団に籠っていても…それを引きず…こほん、それを起こして差し上げるのもメイドの務めですから。   (2023/1/26 23:03:29)

ユフィリア・マゼンタ> …コホン。大丈夫ですよ、誰か来てくれるのであれば布団にこもりきり、という訳ではありませんし。（苦笑い…）   (2023/1/26 23:05:14)

イリア・コーラル> いえ…姫様やユフィリア様の寝姿を堪能できるのもメイドの役得ですから…遠慮なくどうぞ…と此処で籠って居たらシュールというものですね。（手早くお茶を入れるとユフィリア様の前にそっと出して）   (2023/1/26 23:08:50)

ユフィリア・マゼンタ> イリアは…随分と楽しんでいそうですね…？さすがにここでも布団に籠っているのは……アニス様でも恐らく布団からは出ているんじゃないでしょうか…？…ありがとう♪（そっと差し出されたお茶を受け取っては軽く頭を下げてから1口口をつけて…）  
(2023/1/26 23:11:29)

イリア・コーラル> ええ、楽しいですよ…お二人がイチャコラしている時にどのタイミングで入ると楽しいのかなとか思ったり思わなかったりです。姫様に対しては…堪能させていただいてから盛大に布団を剝いであげます…そのリアクションを見れるのもまた役得です。（お茶を飲むその優雅な様を小さく吐息を漏らしながら見つめてしまって）
  (2023/1/26 23:16:25)

ユフィリア・マゼンタ> い、イチャイチャなどしていませんから…！もう、からかわないでください…！（かぁっと頬を赤くしては慌てて否定をして…）あ、あはは…おふたりにはなにか特別な距離感がありますよね、話を聞いていてとても微笑ましいです。…イリア？どうかしましたか？（何やらジィっと見つめられていることに気がつけば不思議そうに首を傾げながら視線を返し…）
  (2023/1/26 23:19:45)

イリア・コーラル> 素敵な反応ご馳走様です…此れもメイド冥利に尽きますね…（その可愛らしい反応を嬉しそうに眺めて）…そうですか？手を焼くことが多いですが…姫様のおかげで今の私が有りますから…そのお返しをしているのですよ…まぁ楽しませてもらってもいますが。いえ…ユフィリア様の佇まいは姫様と違って…とても美しく感じるものですから…（視線をそっと合わせると優しく微笑んで…）
  (2023/1/26 23:25:28)

ユフィリア・マゼンタ> 本当に何もしていませんからね？（いくつかの思い当たる記憶を脳の隅っこへと押しやりつつ念を押すように伝えて…）…どちらかと言うと、傍から見ている限りは普通に楽しんでいることの方が多く感じるような…。ふふ、ありがとう…？アニス様の元気で満ち溢れている感じも、すごく素敵だと思いますよ？（くすり…♪）
  (2023/1/26 23:30:13)

イリア・コーラル> はい、そういう事にしておきますね。（これは、もう少ししたら色々と楽しめるかもしれませんねと不敬な事を考えているメイド）…いけませんね…ついつい楽しんでしまうのです、これも姫様の反応が面し…コホン可愛らしいく感じるので…悪い癖ですね。どういたしまして…お二人のそんな姿を見て楽しめる位置にいるのは…美味しいといううやつです。（くすりとほほ笑む様子に見とれながら…）
  (2023/1/26 23:37:58)

ユフィリア・マゼンタ> イリア…何か悪いことを考えていませんか？（表情の少ないメイドさんの顔をじとー…と見つめて…）アニス様は表情がとても豊かで明るい方ですからね…？気持ちは少しだけわかるかもしれません。私はイリアとアニス様のやり取りを傍から見て楽しませてもらっていますが…。
  (2023/1/26 23:41:40)

イリア・コーラル> はい、色々と悪い事に思いを巡らせている最中です…お二人の…今は特にユフィリア様のあんなことやこんな事を。（否定もせずにあっさりと認めていくメイド）…ええ、見ていて飽きることが有りませんから。ふふ…ユフィリア様も…そんな風に楽しんでいらしたんですね…？（そんな事を言いながらそっと距離を詰めて…）
  (2023/1/26 23:45:57)

ユフィリア・マゼンタ> な、何を考えているのですか…！？（何やら身の危険を感じては自身の身体を抱くようにして…）その点についてはとても同意ですね？見ていて少しばかり羨ましくなるほどに…♪はい、おふたりならではの距離感がとても微笑ましくて…♪（傍によってきたイリアをじ、っと見つめながら微笑み）
  (2023/1/26 23:50:10)

イリア・コーラル> 何と聞かれましても…そうですね、例えばどんなお召し物が似合うでしょうかとか…ですかね？（警戒する様子を楽しそうに見つめながら、ちょっ悪戯っぽく返して…）是非…見ているだけでは無くてその間に入ってきてくださると私も嬉しいと感じます。そう言われると…少しこそばゆい感じがします。（優しく見つめ返しながら、そっと手を伸ばしてしまいそうな感覚を感じてしまって…軽く頬を赤らめてしまう）
  (2023/1/26 23:58:25)

ユフィリア・マゼンタ> あ、なるほど…そのようなことなら…問題はありませんね…？（良くも悪くもここに染まりすぎていた思考とは違った返答が帰ってくればコホン。と咳払いをして誤魔化し…）さすがに間に割って入るのは難易度が高いかもしれませんね…？3人で話す機会があればその時は別ですが。ふふ、お二人で話している時はイリアもアニス様もとても信頼しあっていて楽しそうな雰囲気を感じますから…♪（軽く顔を赤く染める様をみては口元に手を添えながらくす、くすと笑い…）
  (2023/1/27 00:04:53)

イリア・コーラル> ユフィリア様がどんな事を想像してしまったのか…とても気になる所ですね…（誤魔化す様子に微笑みながら、少しだけのぞき込む様に見つめて）いえ…姫様きっとこう思ってますよ…私とユフィリア様の間に挟まりたいと…あの方はそういう方ですから…。はい、その時を楽しみにしています。ユフィリア様とも…そういう接し方が出来るようになれるのを楽しみにしています…っとつい本音が…（コホンと誤魔化しながらも、笑っている様子にそっと手が伸びでユフィリア様の手に触れようとしてしまって…）
  (2023/1/27 00:13:48)

おしらせ> ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱさんが入室しました♪  (2023/1/27 00:16:55)

ユフィリア・マゼンタ> 気にしないでください、大したことでは無いので。（ふい、と顔を背けては表情をのぞき込まれないようにして…）それはそれで、その…少しもやりと……。（もしょ…）わ、私のことはいじろうとしなくていいですから、ね？（手を伸ばすイリアの手にこちらからもそっと手を伸ばし…）
  (2023/1/27 00:17:59)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> (ドタドタと走り回る音、その後にドアをパーンと開いて)ユフィの気配っ…！(開口一番酷い台詞と共に姿を現した奇天烈王女)……あ、あれ？……イリア…？…イリア…だよね……？…何してんの…？(思わずもう一人、見知ったメイドの姿を発見すればｺﾃﾝ、と…触れ合いそうな二人の距離に多少動揺した様子も…？
  (2023/1/27 00:19:50)

ユフィリア・マゼンタ> ……アニス様、夜なのでもう少しお静かに…。と、言うより私の気配とは一体…（一気に賑やかさの増す登場の仕方に苦笑いを浮かべ…）   (2023/1/27 00:22:42)

イリア・コーラル> その事は…追々問い詰めさせてもらいますね？（表情を隠す様に囁くように答えて…）…もやりとですか…ふふ、ユフィリア様もそういう事を期待しているのですね…。いえいえ…せっかく姫様もいらしたことですし…弄り倒すのも良いかと…？（入ってきた姫様にわざとらしく見せ付けるようにユフィリア様の手を取って見せて）
  (2023/1/27 00:22:54)

イリア・コーラル> 相変わらず…騒がし姫様ですね…もう少し節度といううものを持ってくださいね？（飛び込んでくる姿を見てわざとらしく溜息を突きながらもやってきた主に、手早くお茶を用意するとそっと差し出して）何をともされましても…姫様の事を話題に…色々と楽しませてもらってました。
  (2023/1/27 00:26:32)

ユフィリア・マゼンタ> ぅ…その時は…お、お手柔らかにお願いします…。ち、違います…！期待している訳ではありませんからっ…決して…！あ、あの…イリア…？なぜむしろやる気が入っているのでしょう…？（イリアに手を取られ、少しいたずらっぽい笑みを浮かべるメイドさんに対して悪い予感がする様子…）
  (2023/1/27 00:27:57)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> どーせこんな部屋下手したら夜通し騒ぎ散らかしてるんだからいーのいーのっ…(更に酷い偏見で、自らを咎めてくる二人を制し乍ら)…それで？…んー、と…？(詰め寄ろうとしてるイリアと何処か困惑気味なユフィをそれぞれ見比べて、顎に指を添えながらの思案顔…)……ズルいって感想と、私の話題云々はまぁ､この際置いといて…んー…そっか…こーかな？(何やら閃いた様子、そのままユフィの背後へと歩を勧めて
  (2023/1/27 00:29:44)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> あ、そだ忘れてた…いっただっきまーす(思い出したかの様に差し出されたお茶を一口…)って……ホント何話してたんだか…さっきのくしゃみひょっとしてそれが原因？   (2023/1/27 00:33:14)

ユフィリア・マゼンタ> あ、アニス様！？何故私の背後に…！？ここはイリアを止めるのが正解では！？（何故かこちらの背後に回ろうとするアニス様に助けを求めるような視線を送り…）   (2023/1/27 00:33:45)

イリア・コーラル> 言質は取らせていただきましたので…。その動揺っぷり…とてもおいしい思いが出来そうですね…ええ、勿論気合が入るといううものです…姫様では味わえない新鮮な感覚…メイドとして溜まりません…（姫様の動きを察して…取って手を離さないよにして…その行動を見守っている）
  (2023/1/27 00:34:36)

イリア・コーラル> はぁ…あいも変わらず…ポンのコツですね姫様は…（お茶を飲む様子にユフィリアとの違いに大きくため息をついて…転属願いでも出そうかと考えたりして）   (2023/1/27 00:36:28)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> …んー？ちょっとイリアー？だーれがポンコツだってぇ…？不敬罪で処して軟禁するよ？(飲み終えたカップを一旦傍らに、売り言葉に買い言葉、何時もの主従らしからぬ口調ながらもチラリとイリアへ意味深な目配せを)原作派の人らには何か言われるかもだけどさー…まーでもほら…イリアなら、良いかなって……？ふふ…ねーユフィぃっ…♪(そのままむぎゅりと、背後からユフィのお腹ぐらいに両手を回して更なる拘束を物理的に実行して
  (2023/1/27 00:39:52)

ユフィリア・マゼンタ> イリア？！本音！本音が漏れていますよ！？確実に私で遊ぶつもりじゃないですか…！（アニス様に背後から抱きつかれて逃げ場を失った状態で正面から無駄に気合いの入ったイリアがジリジリと距離を詰めてくる…この王家絶対おかしい…！なんて今更なことを思いつつイリアの顔を見つめ…）
  (2023/1/27 00:44:06)

イリア・コーラル> 軟禁ですか…いよいよ犯罪にまで手を染めようとしてますよ…この姫様は…（目配せを受けるとしっかりとユフィリアの手を握って…逃がさないようにして…）遊ぶだなんて犯罪的な良いかでは無くて…せめて愛でると…仰ってください（そう言いながら、さらに距離を詰めてユフィリアの頬を優しく撫でて…）
  (2023/1/27 00:47:15)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> 私の専属メイドやって離宮暮らししてるんだから実質軟禁状態も同然でしょー？それともイリアにはもーっと強い方が良いのかなー？(なんてユフィを挟んだまま繰り広げられる日常会話…も、近づく二人の距離を見遣ると)何だかんだイリアも楽しそうだよねー？んふふー…ねーユフィリア嬢も、そう思うよね…♪(何処か艶混じりの、ゆったりしたボイスをユフィの右の耳元へ…じわじわと背後から共同で追い詰めて…
  (2023/1/27 00:51:14)

イリア・コーラル> ee,   (2023/1/27 00:51:58)

ユフィリア・マゼンタ> っ…あ、あにす、様…これはそういうものとは違うような…（耳元で艶めかしく囁かれてしまえばぞくり…♡と身震いをしつつ余裕がなくなり始めた様子で目を細め…）い、イリアからもアニス様のこと、説得してください…！（頬に添えられる手の温もり）  
(2023/1/27 00:57:24)

ユフィリア・マゼンタ> （頬に添えられる手の温もり、ほとんど同い年と言われても違和感のないような若々しく、可愛らしい顔をしたメイドさんに助けを求めるように潤みの増した瞳で上目遣いをして…）   (2023/1/27 00:58:10)

イリア・コーラル> ええ、そうでした…魔道具のおかげで快適に過ごせるせいですっかりとその事を忘れてしまっていました…強い方だなんて…なんてはしたない…（ユフィリアの間で繰り広げる楽しいやり取りを堪能しながら）…勿論楽しいですよ…ユフィリア様の反応が可愛らしくて…ついつい…意地悪をしたくなります…（頬をそっと撫でながら…その潤んだ瞳を甘く見つめ…姫様とは逆で左の耳元でそっと囁いて…）
  (2023/1/27 01:00:52)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ> まー、イリアについては今後要相談、かなー…今でも物凄く…だし…ふふ…覚悟しといてねーイリア…♪(はてさて実際は如何なのかはこの際置いといて)　　んー…？違う、って…何が違うの、かな…？ふふふ…ユフィはかわいーねっ、流石チート級っ…んーっ♪(時折とん、とん、と、指先でお臍周りを突っつきながらも、イリアの行動は阻害しない程度にはむはむと、ユフィの耳朶を咥えて
  (2023/1/27 01:03:54)

