チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年10月17日 11時44分 ～ 2023年10月24日 00時46分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

小春六花> ゲームハードは必要になったら買うものだから……（私のPS5とか…PS5とか……。おもにPS5とか。）もう、それを言われると本当に弱い…！（ちゅー…って楽しんでから…ちょっぴりばつがわるそうに）えへへ、いってらっしゃーい。今度はいっぱいいちゃいちゃしようねー♡
  (2023/10/17 11:44:37)

甘雨> ♡（微笑んで、もう一度、ぺこりハート――てててー…）   (2023/10/17 11:46:18)
コッコロ> わたくしも眠気次第…それほど長くなさそうな感じでございますが…。（ソファに浅めにちょこんと座り、お部屋の内装やらをきょろきょろ）   (2023/10/18 01:09:40)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/10/18 01:15:05)

後藤ひとり> なかなか眠れない中お邪魔しますね……(ちらり)   (2023/10/18 01:15:16)

コッコロ> こんばんわでございます（にこっ）お先にお邪魔させております、わたくしコッコロと申します。（どうぞよろしくお願い申し上げますとソファから立ち上がってお辞儀をして）   (2023/10/18 01:17:00)

後藤ひとり> あ、は、はい……私は後藤ひとりです……よろしくお願いします……(初めましてですよね……と頭を下げて)   (2023/10/18 01:17:39)

コッコロ> えぇ、初めてお目にかかるかと…後藤さま、でございますね。眠れないのでございますか？（おそらく一目見たら忘れないであろう相手のお姿をじっと見つめながら、心配そうに首を傾げ）   (2023/10/18 01:19:37)

後藤ひとり> 様付けなんてしないでも……(姿を眺められて不思議そうにしながらも)少しだけ眠れなくて……コッコロさんも？…   (2023/10/18 01:23:55)

コッコロ> あぁ、申し訳ございません。わたくし元の世界では従者をしておりまして、こういう呼び方をしてしまいます。どうかお気になさらず、呼ばれてしまって下さいまし（敬称を付けない選択肢はないらしく、くすりと微笑みながらソファに腰掛けるよう手で指し示して促し）はい、わたくしもそうでございます。最近夜更かしが板についてしまったようです。
  (2023/10/18 01:29:33)

後藤ひとり> なるほど……わかりました…メイドさんなんですね……(意外ですね……と小さい割にはしっかりしてます……と)私もほんの少しだけ眠くなってきましたね……   (2023/10/18 01:35:48)

コッコロ> …メイドとは違いますけども、理解して頂けるのならそれでもいいかもしれませんね（確かに従者と言って伝わりにくかったこともあるので、なるほどとポンと手を打ち）おや、それはようございました。お休みになられますか？（ほっとしたように微笑んで）  
(2023/10/18 01:39:29)

後藤ひとり> なるほど……そうですねせっかく来てなんですけど……寝ようかと……(ソファに横たわりウトウトと)   (2023/10/18 01:46:00)

コッコロ> いえいえ、このような時間でございますからね。おやすみなさいませ、後藤さま…。（ソファに横たわる後藤様に毛布をそっと掛けてから床に正座して、寝付くまで見守る体勢）   (2023/10/18 01:48:08)

後藤ひとり> 【で、では失礼します……また会えたらぜひ…】   (2023/10/18 01:52:10)

おしらせ> 後藤ひとりさんが退室しました。  (2023/10/18 01:52:12)

コッコロ> …お休みになられたでしょうか…？（イメージ的に背を向けて寝てるような気がしたので、規則正しい寝息でそう判断して、そっと離れて）あまり大きな音は立てないようにと…。さてと、わたくしも合わせてお暇した方がよろしいのでしょうけど…（そこまでの眠気はまだ来ておらず、うぅんと悩むように小さく呟いて）【はい、また是非に♪】
  (2023/10/18 01:57:20)

コッコロ> さて、と…眠気は来ずともせめて横にはなっておきましょうか。お邪魔致しました（そっと扉を閉めて）   (2023/10/18 02:11:35)

おしらせ> コッコロさんが退室しました。  (2023/10/18 02:12:02)

おしらせ> エミリアさんが入室しました♪  (2023/10/18 02:12:12)

エミリア> お、遅かった…ううっ   (2023/10/18 02:12:26)

エミリア> う…うん。遅かったものはしょうがないもの…次の機会を待ちましょう。こんな時間だしね（すれ違えば残念そうに項垂れながら髪を揺らして。直ぐに退室するか悩むも、ひとまず少しだけお邪魔しようかとソファへと腰を下ろして）   (2023/10/18
02:15:35)

おしらせ> ペコリーヌさんが入室しました♪  (2023/10/18 02:29:52)

ペコリーヌ> ねていそうなきが、します(そーっと覗き込んで   (2023/10/18 02:30:36)

ペコリーヌ> (エミリアさんにお布団かける準備   (2023/10/18 02:34:13)

おしらせ> 無言時間が25分を超えたため、エミリアさんが自動退室しました。  (2023/10/18 02:41:09)

ペコリーヌ> ふぅ……とりあえずこれは、雪崩になるまでみえますね(よいしょ、お隣に静かにねむって   (2023/10/18 02:46:52)

おしらせ> ペコリーヌさんが退室しました。  (2023/10/18 03:10:25)

おしらせ> 狐ヶ咲 甘色 ◆MAYy2MHXZEさんが入室しました♪  (2023/10/18 04:00:49)

狐ヶ咲 甘色 ◆> ……ん、んー…？(謎の入室に困惑し)   (2023/10/18 04:01:24)

狐ヶ咲 甘色 ◆> ……まあ、いいや。   (2023/10/18 04:01:57)

狐ヶ咲 甘色 ◆> …暇、だな…何かしようにも……特に何も無いし。   (2023/10/18 04:08:53)

おしらせ> 無言時間が25分を超えたため、狐ヶ咲 甘色 ◆MAYy2MHXZEさんが自動退室しました。  (2023/10/18 04:37:25)

おしらせ> ガヴリールさんが入室しました♪  (2023/10/18 08:36:13)

ガヴリール> ぐっどもーにんくせかーい(ばごんっ。)   (2023/10/18 08:36:37)

ガヴリール> そろそろ誰かとしっぽりしなくちゃ行けないかもしれないかもしれない   (2023/10/18 08:49:41)

おしらせ> 無言時間が25分を超えたため、ガヴリールさんが自動退室しました。  (2023/10/18 09:15:10)

おしらせ> 桜衣乃さんが入室しました♪  (2023/10/18 12:06:24)

桜衣乃> コンガチャ〜♪   (2023/10/18 12:06:34)

桜衣乃> ノックはしました！と言い張る勇気、桜衣乃です♡   (2023/10/18 12:07:18)

桜衣乃> （   (2023/10/18 12:16:05)

桜衣乃> あら、更新しようとしたら誤爆をば……   (2023/10/18 12:16:27)

桜衣乃> ……おや、今日は人が来ませんね……。   (2023/10/18 12:20:00)

おしらせ> 貫井はゆさんが入室しました♪  (2023/10/18 12:29:04)

貫井はゆ> こんがちゃー♪…って、これみんなに浸透してるらしいんだよね！(じゃーん！と入ってきては、コンビニ袋を片手に入室して)   (2023/10/18 12:30:56)

桜衣乃> あっ、はゆちゃん♪こんがちゃ〜♡　……浸透してるって本当ですか……？私、まだクレーちゃんしか使ってるの見たことないような……（でも異世界に伝えちゃってるぶんは布教できてるでいいのかな…？）   (2023/10/18 12:32:57)

貫井はゆ> あっ、フルーツタルトのメンバーに、ってことだったの。ロコちゃんとか使ってるのみたし♪(やほー♡と手を振って)……あははっ、はゆたちじゃない子も使ってくれる子がいるんだー♪…もともと言い出しっぺはだれなんだろうね？(お部屋でのびのびしながら)  
(2023/10/18 12:36:47)

桜衣乃> ほんとうですかっ！コンガチャ使ってるロコ先輩…想像するとかわいいですね〜…♡私もロコ先輩にコンガチャしてびっくりさせちゃおっかな……♡（にへへ…）言い出しっぺは……確か、乙社長と、利音ちゃんのママだったかと……。合ってますよね？（原作7巻あたりよみよみ）
  (2023/10/18 12:40:28)

貫井はゆ> 思春期………♡……ってやつでしょ♪(たぶん)   (2023/10/18 12:41:07)

貫井はゆ> ちなみにはゆはね、お昼パスタだったよ♪(はふー♪とゆっくりおやすみして)   (2023/10/18 12:42:21)

桜衣乃> 思春期ですねぇ……♡……乙社長のママさんはわかりませんが……。　あ、はゆちゃんおいしそうなもの食べてますね！私は例によっておにぎりふたつです……。（お財布の中身カラッポ！）   (2023/10/18 12:43:06)

貫井はゆ> 乙社長のママはほら……自分の娘よりもアイドルしてるから…//(特に夫婦仲…//)……おにぎりいいじゃん♪はゆはシーチキンと鮭、こんぶもすき♡(本編のはゆは違う具が好きかもしれないけど！)   (2023/10/18 12:46:26)

桜衣乃> くやしいですが、本当にそうですね……！私達も負けてられませんよ、はゆちゃん！　私もおにぎりは嫌いな具材は無いと思いますが、私はいくらやすじこ、明太子のような具が好きですね♪（私も本編の衣乃ちゃんの好みはわかりません！）ちょっと味付けの濃い感じのが……お塩が効いてるのが好きなんです〜♡
  (2023/10/18 12:51:35)

貫井はゆ> 乙社長のママに張り合うの！？…ううん、はゆたちも頑張らなくちゃ♪(おー！と一緒に鼓舞る純粋はゆ♡)……いくら！そうだったんだー♪おにぎりでいくら入りは食べたことないかも……。そっかーイノっちは濃いめ♡がすきなんだね……♪   (2023/10/18
12:55:05)

桜衣乃> えー、はゆちゃんいくら食べたことないんですか！…まぁ、いくらやすじこは高級なので（私目線）なかなか手が届かないかもしれませんが……つぶつぶ感がいいんですよ♡見かけたらお試しくださいな♪   (2023/10/18 12:57:31)

桜衣乃> と、濃い目が好きだと言ったところで……そろそろお昼休みが終わってしまうので、一緒に教室に戻りましょうか♪　週も折り返し、午後も頑張っていきましょうね、はゆちゃん♡   (2023/10/18 12:58:35)

桜衣乃> 【というわけで急ぎ足ですがお先に…！また遊びましょうね、はゆちゃん♡】   (2023/10/18 12:59:41)

おしらせ> 桜衣乃さんが退室しました。  (2023/10/18 12:59:56)

貫井はゆ> お寿司のいくらはサーモンの次のつぎくらいにくきなんだけどね♪もうこんな時間だー！早く戻らなきゃ…！   (2023/10/18 13:00:03)

貫井はゆ> 【ぎりぎりまでありがと♪うん、行かなくちゃ！】   (2023/10/18 13:00:30)

おしらせ> 貫井はゆさんが退室しました。  (2023/10/18 13:00:38)

おしらせ> ロゼスタリアさんが入室しました♪  (2023/10/18 13:11:22)

ロゼスタリア> （そそ……同界隈？の方がいらしてた場所に……お邪魔致しますね…）   (2023/10/18 13:11:47)

ロゼスタリア> 昼食の時間が合わず…出会いを逃してしまいましたね。（おにぎりもぐもぐ）   (2023/10/18 13:13:47)

ロゼスタリア> お昼も終わりですしどなたも来られないでしょうか…（ごくん）   (2023/10/18 13:16:09)

おしらせ> ペコリーヌさんが入室しました♪  (2023/10/18 13:19:30)

ペコリーヌ> おにぎりときいて！   (2023/10/18 13:19:37)

ロゼスタリア> あ、どうもはじめまして……（ぺこ）おにぎりですね……コストパフォーマンスに優れていますので…   (2023/10/18 13:20:16)

ペコリーヌ> おいっすー、ペコリーヌです、いいですね。おにぎり…美味しいですし。たべやすくてとってもいいとおもいます(ぐいぐいっと距離をちかづけて   (2023/10/18 13:21:30)

ロゼスタリア> はじめまして、ロゼスタリアと申します…。そうですね、安くてお腹にたまるので重宝致します。中身はかんずり和えの菜っ葉ですが。   (2023/10/18 13:22:22)

ペコリーヌ> かんずり…あえ？(はじめてきく単語にきょとんっと首傾げて　なんとなく和風な感じ、でしょうか。味がきになるところですっ   (2023/10/18 13:23:24)

ロゼスタリア> はい、かんずり和えです。……紗菜様の好物ですので……（節約生活に潤いですね…ってもぐもぐ）   (2023/10/18 13:24:46)

ペコリーヌ> ほわー…私もひとくちいいですか。わけてもらっても(じー…おにぎりを見つめて涎をちょっとたらして   (2023/10/18 13:26:06)

ロゼスタリア> あ、はい…どうぞご賞味ください。大したものではないですし、たべさしとなってしまいますが…（と、手に持った食べかけおにぎりをどうぞ…？って）   (2023/10/18 13:27:14)

ペコリーヌ> わ、ありがとうございますー♥あ、かわりにどうぞ(鮭のおにぎりをそっとロゼスタリアさんに渡しつつ。食べかけおにぎりをはむっと)……おー、おいしい……確かにとってもいいあじしてますね♥   (2023/10/18 13:28:55)

ロゼスタリア> 申し訳ありません…ありがとう御座います。（あぁ…魚ですね、これは……ってもぐもぐ。むぐむぐ）ピリ辛ですが、濃い味がお米によく染み渡るんですよね……。辛いですが。   (2023/10/18 13:30:36)

ペコリーヌ> ちょっとの辛みがいい感じにお腹を満たすやつですね、確か明太子なんてのもあるみたいですし。自然のものを使った美味しい料理ですっ(ごちそうさまですって嬉しそうに顔をよせ   (2023/10/18 13:32:42)

ロゼスタリア> 紗菜様のソウルフードのようですね。私には辛いですけれど……段々最近は慣れてきました。（こちらも、ご馳走様でしたと手を合わせて）   (2023/10/18 13:33:50)

ペコリーヌ> それはともあれ、こんなお昼間に珍しいですね？ちょっとぼーっとしてるところに見かけましたが。ちょっとした余暇、とかでしょうか？   (2023/10/18 13:36:05)

ロゼスタリア> あ、はい。お昼の時間が遅くなってしまったのでお邪魔させていただきました。   (2023/10/18 13:39:06)

ロゼスタリア> 殆ど人が来られないなら私自身の練習にも適切かと…。   (2023/10/18 13:41:04)

ペコリーヌ> あー、なるほど……そういう感覚をつかむのってだいじですもんね。つまりそれだと悪戯ができないとっ(ざんねんですって思いながらなっとくしてうなづき   (2023/10/18 13:41:45)

ロゼスタリア> ペコリーヌ様はお休みかなにかだったのでしょうか。   (2023/10/18 13:42:19)

ペコリーヌ> はい、ちょっとしたおやすみだったので。のんびりしてたので…丁度おにぎりという単語が聞こえて顔をだしてみたかんじですねぇ   (2023/10/18 13:43:39)

ロゼスタリア> なるほど……。私とはある種逆ということだったんですね…？申し訳ありません…ご期待に添えず…   (2023/10/18 13:44:54)

ペコリーヌ> いえいえ、ちょうどお昼にゆっくりしにきたのもあったのでいいですよー。ほら、色々慣れればなにかできるかもですし？(きょとんっと首をかしげながら軽くほっぺをつつこうとてをのばして   (2023/10/18 13:45:59)

ロゼスタリア> そうですね、色々慣れればできるかもしれません。そうそう来れるかもわかりませんが……（時計を眺めていればつつかれかけていたり）   (2023/10/18 13:48:35)

ペコリーヌ> こういうのは程よい期待くらいがいいですしねー。と、そろそろ時間ですか？(きょと   (2023/10/18 13:51:09)

ロゼスタリア> ええ、14時にはこちらを出ようと思っています。   (2023/10/18 13:51:35)

ペコリーヌ> 少しのお話しで楽しんでくれたのならさいわいですっ(はいっとその前にうめのおにぎりを差し入れ   (2023/10/18 13:52:24)

ロゼスタリア> あ、おにぎりのおかわりありがとうございます。それでは、私は今日のところはこの辺で失礼致しますね。（ぺこ   (2023/10/18 13:56:25)

おしらせ> ロゼスタリアさんが退室しました。  (2023/10/18 13:56:29)

おしらせ> ペコリーヌさんが退室しました。  (2023/10/18 14:08:08)

おしらせ> フェルン ◆gAmHDzY8Wcさんが入室しました♪  (2023/10/21 07:45:01)

フェルン ◆> おはようございます、早い時間ですが…朝食をとりながらゆったりと…   (2023/10/21 07:45:31)

フェルン ◆> ふぅ…ごちそうさまでした…(食器を片付けソファにすわり)   (2023/10/21 08:02:00)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/10/21 08:14:38)

後藤ひとり> お、おはようございます……(眠い目をゴシゴシと……)   (2023/10/21 08:14:49)

フェルン ◆> おはようございます…眠たそうですね…？(首傾げ)   (2023/10/21 08:17:18)

後藤ひとり> 朝はいつもこんな感じですね………昨日は1時に寝たんですけど……(ふわぁと欠伸をして)   (2023/10/21 08:18:19)

フェルン ◆> それでも眠たい…まぁ、朝私も強い方では無いですが……と、一応自己紹介…ですね、フェルンと言います……♪   (2023/10/21 08:19:12)

後藤ひとり> いつもなら10時とか……遅くて12時なんてこともざらにあります……い、一応……じゃあ私も……後藤ひとりです……(ぺこり)   (2023/10/21 08:20:27)

フェルン ◆> では早起きなんですね…お昼まで……休みの日なんかだったらそれでもいいですけど……ふふ、よろしくお願いしますねひとりさん(ぺこ)   (2023/10/21 08:22:28)

後藤ひとり> また二度寝したらなんの意味もないですけど……よろしくお願いしますねフェルンさん……そっちは眠くない感じですか……？   (2023/10/21 08:23:46)

フェルン ◆> でも眠たくて作業出来ない時とかは仮眠をとった方がいいですね、私は眠たくないですよ？昨日はゆっくり眠れましたから   (2023/10/21 08:27:10)

後藤ひとり> 今日はやることもそんなにないのでどうしても眠れないなら……という感じですね。ならいいんですけどね……土日だから寝てばっかなのもあれですし   (2023/10/21 08:29:25)

フェルン ◆> 少しくらいならお昼寝も……でも夜眠れなくならないように気をつけてくださいね？   (2023/10/21 08:33:29)

後藤ひとり> 昼寝すると夜眠れなく悪循環ですからね……今は耐えて見ますよ……(顔に水をかけて……)   (2023/10/21 08:35:44)

フェルン ◆> 無理せずに…眠いなら二度寝も仕方ないですよ？(じっ)…あ、お茶でも入れましょうか…寒いですし、温かいのを、   (2023/10/21 08:38:16)

