チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2025年06月02日 01時30分 ～ 2025年07月23日 00時37分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

マツリ> ん～…なんかもう動くのだるいっす…（目も開けられない状態…）   (6/2 01:30:15)
星熊勇儀> 時間的に顔出し程度にはなるが前見た面子が見えたから顔を出した私だった…こんばんはだねぇ（休みがなかなかないっていうところも中にはあるだろうしねぇって   (6/4 00:34:23)

浦和ハナコ> 半月休みがない状態でして……♡あら、こんばんは♡勇儀さん♡   (6/4 00:34:54)

新条アカネ> こんばんは、私も顔出しだけだから気にしないで   (6/4 00:35:09)

新条アカネ> 大丈夫な環境なのそれ……生徒会って忙しいんだね……   (6/4 00:35:46)

星熊勇儀> 時間が時間だしねぇ、二人ともこの前ぶり…ハナコは休めるときに休めればいいねぇ位な感じになっているな…   (6/4 00:36:13)

浦和ハナコ> お二人とも、ありがとうございます♡……と、作業も一段落です♡お話でも続きでもしたいところですが……すみません、体力回復を優先させていただきますね♡おやすみなさい、アカネさん、勇儀さん♡   (6/4 00:41:07)

新条アカネ> お疲れ様っ。また話そうねー   (6/4 00:41:30)

星熊勇儀> お疲れさん、ゆっくり休むんだよー   (6/4 00:41:47)

おしらせ> 浦和ハナコさんが退室しました。  (6/4 00:41:54)

新条アカネ> 私達はどうしよっか   (6/4 00:42:45)

星熊勇儀> アカネも私も顔出し程度な感じだからねぇ…戻って眠るのも良し、何かするにしても時間があんまり足りないだろうからねぇ。   (6/4 00:45:32)

新条アカネ> んじゃあ一緒に寝ちゃおうか？   (6/4 00:46:52)

星熊勇儀> じゃあアカネに添い寝する感じで寝ちゃおうかね   (6/4 00:47:53)

新条アカネ> そーしよ。さすがに寝ないと明日に響いちゃう……(同じ布団にくるまろうとして)   (6/4 00:50:05)

星熊勇儀> 夜更かしはそれはそれで楽しいが次の日に響かせるぐらいになるとつらいからねぇ…ん、おやすみアカネ（布団にくるまりつつ頭を撫で、目を閉じてそのまま眠ろう）   (6/4 00:51:07)

おしらせ> 星熊勇儀さんが退室しました。  (6/4 00:51:11)

新条アカネ> お疲れ様～また今度いっぱいしようね。(目を閉じながらこちらまで夢の中へ)   (6/4 00:52:24)

おしらせ> 新条アカネさんが退室しました。  (6/4 00:52:25)

おしらせ> ペコリーヌさんが入室しました♪  (6/4 23:43:31)

ペコリーヌ> ふぁ……結局お昼過ぎからぶっ通しになってしまいました……（ねむねむ、と呟きながらソファーに腰掛けたペコリーヌ。寝る前に誰かと軽くお話出来ないかとやってきたが）   (6/4 23:44:48)

おしらせ> 新条アカネさんが入室しました♪  (6/4 23:58:50)

新条アカネ> ふぁー……眠っ……やっと曜日としては折り返しだからもうちょっと頑張らないと……あ、そっちも寝そうな感じ？(目をゴシゴシしながら部屋へと。既に先客が居たようでそっちの方に近寄って)   (6/5 00:00:35)

ペコリーヌ> オイッス〜☆こんばんは、ですっ☆……アカネさんもだいぶ眠そうですねっ☆（ぽんぽんと隣が空いてることをアピールして）   (6/5 00:01:55)

新条アカネ> おいっすーあれ？もう会ったことあったっけ？前まで良くここには来てたんだけど、最近久しぶりに来たからあんまり覚えてないや……(同じ顔でも別人の場合もいるしね？と首を傾げながらも取り敢えず隣に座り)   (6/5 00:04:14)

ペコリーヌ> ふふっ☆昨夜は私じゃなくてハナコちゃんでしたけどねーっ☆（アカネさんは変わらなさそうですっ☆とニコニコしながら肩を寄せていって）   (6/5 00:08:10)

新条アカネ> あーそゆことね。確かに同じAndroidだったか……色んなキャラになってるんだね？(私も今度はキャラ変えて見ようかなと思いつつ肩を寄せあって)   (6/5 00:10:19)

ペコリーヌ> ま〜そんなに引き出しが多いわけでもないんですけどね？（アカネさんが誰にccするかそれはそれで気になりますね……！と興味津々）   (6/5 00:12:15)

新条アカネ> まぁキャラ変わってばっかだと紛らわしいしね？ここに来る人もそんないっぱい変わってるイメージないし……(んー……誰になろ……最近流行ってるキャラなんだろうねぇって考えて)   (6/5 00:15:01)

ペコリーヌ> それもそうですねぇ……アカネさんの前ですし、変わってきましょうか？（最近流行ってる、とピンとこないですねぇ……と頭を悩ませながら）   (6/5 00:16:35)

新条アカネ> いやそこまでしなくてもいいよ？別に誰であろうが私は気にしないし。二人とも可愛いからさ(最近はリゼロとかリコリコのショートアニメは見たかなぁ……って)   (6/5 00:20:03)

ペコリーヌ> ふふっ、ありがとうございますっ☆アカネさんもカワイイですっ☆（確かに最近には当てはまりそうですね……そうなると千束さん、ですか？と尋ねてみて）   (6/5 00:21:19)

新条アカネ> ありがと♪ここほんと可愛い人多いよね～……(千束は実はやったことないんだよね……あとやっぱ人気だからやってる人多いから紛らわしそう。リゼロとかならレムとかエミリアやってみようかな)   (6/5 00:25:04)

ペコリーヌ> あとは、ココが大きい人も多いですねっ☆（レムさんもエミリアさんも人気ではあると思いますけどね……☆と苦笑しながら胸を指先でつついてみて）   (6/5 00:27:20)

新条アカネ> っ……♡それはお互い様……♡ココ好きだね？♡(確かに……私がここ来てる時はレムは居たような気がする……エミリアはあんまかなぁ…なんて考えつつおっぱいをつつき返して)   (6/5 00:30:45)

ペコリーヌ> んっ……♡アカネさんは、お好きではない……とか？♡（そもそも私もたまにいますからね☆なんて返しながらつつくだけに飽き足らずふよん♡と掌で持ち上げて）   (6/5 00:35:33)

新条アカネ> いやいや♡そうは言ってない……むしろ好きだよ？♡嫌いな人の方が珍しいでしょ♡(確かに♡まぁ暫くは私のままで居ようかな♡こっちも胸を持ち上げて揺らしてみて)   (6/5 00:39:22)

ペコリーヌ> アカネさんがその珍しい人だったら、セクハラで訴えられてしまいますねぇ……♡っ、しかし……中々のサイズ、ですねっ☆（胸を揺らされると思わず声が出そうになるものの、お返しとばかりに優しく鷲掴み）   (6/5 00:42:57)

新条アカネ> この部屋でセクハラで訴えるって無いでしょ流石に……♡んぅ……♡ありがと……♡ペコリーヌもでっかい……♪(鷲掴みにされびっくりしつつ私も手で軽く握ってみて)   (6/5 00:47:06)

ペコリーヌ> ひぅっ……♡……っ、まぁ、アカネさんのよりもおっきいかもしれませんよ……♡（胸を握られビクンと反応してしまったペコリーヌ。ムギュムギュと触り合いながら少し挑発的な視線を送って）   (6/5 00:50:28)

新条アカネ> んんっ……♡同じくらいっしょ……♡ぁっ……♡(おっぱいをちょっとずつ揉み合いながら興奮で吐息を荒くするアカネ)   (6/5 00:53:56)

ペコリーヌ> な、ならぁ……♡直接、比べ合ってみません──んんっ♡……比べ合ってみません、かぁ……♡（胸を揉み合いながらアカネのパジャマ、その胸元に手をかけるペコリーヌ。ボタンをひとつ外してみて）   (6/5 00:56:30)

新条アカネ> いいけどっ……♡眠くないの？……♡んっ……♡(興奮からかアカネも断ることなくらペコリーヌのパジャマのボタンに手をかけて脱がせていって)   (6/5 00:58:57)

新条アカネ> (断ることなく、 だね)   (6/5 00:59:08)

ペコリーヌ> んぅっ……♡そう、ですねぇ……♡少し眠いですが、アカネさんのおっぱいを味わえるなら……？♡アカネさんこそ眠気は大丈夫、ですか？……♡（パジャマのボタンを外し、脱がせ合っていく二人。ブラだけになった二人はむにゅん♡と胸同士が当たるように抱き合っていく）
  (6/5 01:01:21)

ペコリーヌ> （アカネさん、眠いなら付き合うことはありませんからね☆）   (6/5 01:02:28)

新条アカネ> あうっ……♡まぁお互い限界来たら寝よっか……♡ちょっとは起きてられると思う……♡ペコリーヌも眠かったら遠慮なく言ってね♡(下着の上からおっぱいが重なって凹みながら、ペコリーヌとハグをして)   (6/5 01:04:13)

新条アカネ> (少しだけなら大丈夫……かな♡ペコリーヌも無理しないでね)   (6/5 01:04:27)

ペコリーヌ> んふぅ、んっ……♡アカネさんのおっぱい、私のおっぱいに食べられちゃってます……んんっ……♡（ハグし合うとお互いのおっぱいが潰れ合い始めていく。若干の息苦しさを感じながらも快感もそれ以上に感じていく二人）   (6/5 01:07:00)

ペコリーヌ> （ならお互いに気をつけましょう☆）   (6/5 01:07:12)

新条アカネ> あっ……♡んんっ…♡ペコリーヌのおっぱいも凹んでるじゃん……♡あうっ……♡(お互い下着越しに胸がひしゃげ合っていき、苦しくなりながら乳首も固くなっていき)   (6/5 01:11:31)

ペコリーヌ> んん、ふ、ぁっ……♡ち、乳首だって……こ、こんなに硬く、してぇっ……♡あっ♡あぁっ……♡（下着越しであっても硬く尖り始めた乳首同士が擦れ合えば声が止まらない二人。もっと乳首で感じさせようとわざと擦り合わせていく）   (6/5 01:13:20)

新条アカネ> んんっ……♡ひっ……♡ペコリーヌの乳首もビンビンにしてるじゃんっ……♡あうっ……♡ひぃっ…♡(下着の上から乳首同士がキスする感覚で下が濡れていき。興奮から目が蕩けてきて)   (6/5 01:16:01)

ペコリーヌ> ひぁっ♡あっ♡んひ……♡お、おっぱいだけでっ……♡こ、ココも、濡らしちゃって……♡え、エッチですね……♡（これだけ興奮していれば、と考えたペコリーヌがアカネの股間に手を潜らせれば下着を濡らしており）   (6/5 01:18:24)

新条アカネ> んんっ……♡ペコ……リーヌだって……♡ココ濡れてて凄いエッチ……じゃん♡っ……♡うっ……♡(同じように右手をペコリーヌの股の上に伸ばして軽く指で触ってみて)   (6/5 01:19:45)

ペコリーヌ> このまま……あんっ♡い、イかせ合いましょう……♡むちゅっ、ちゅうっ……♡（興奮しきった二人はどちらからともなく唇を貪るように重ね合わせ、濡れた割れ目に指を挿入していく）   (6/5 01:21:32)

新条アカネ> いいよ……♡私もそういうの好きって……♡んんっ……♡ちゅぅっ……♡ん……♡(言う前に唇を重ねて乱暴にキスをしつつ、割れ目の中に指を入れたら既に中は濡れていており)   (6/5 01:25:41)

おしらせ> 無言時間が25分を超えたため、ペコリーヌさんが自動退室しました。  (6/5 01:46:44)

おしらせ> 無言時間が25分を超えたため、新条アカネさんが自動退室しました。  (6/5 01:53:34)

おしらせ> ペコリーヌさんが入室しました♪  (6/5 05:32:31)

ペコリーヌ> （アカネさんっ、ご、ごめんなさーいっ！ほんとに寝落ちちゃいました……！）   (6/5 05:33:28)

ペコリーヌ> （また今度、機会があればお願いします……！）   (6/5 05:34:22)

おしらせ> ペコリーヌさんが退室しました。  (6/5 05:34:28)

おしらせ> 新条アカネさんが入室しました♪  (6/5 10:12:53)

新条アカネ> 【まあ仕方ない。また今度遊ぼうね】   (6/5 10:13:06)

おしらせ> 新条アカネさんが退室しました。  (6/5 10:13:09)

おしらせ> ペコリーヌさんが入室しました♪  (6/5 10:50:49)

ペコリーヌ> うぅ〜、昨夜はあんなトコロで……反省、ですっ（今日は公務に余裕があるからかここ数日の疲れを癒すようにソファーに座ってダラダラしているペコリーヌ。睡眠時間も浅く眠そうにしているもののお菓子をつまみながら書類に目を通し始める）   (6/5
10:53:28)

ペコリーヌ> 【すみませんっ、ありがとうございます……！】   (6/5 10:53:41)

おしらせ> ペコリーヌさんが退室しました。  (6/5 11:39:59)

おしらせ> 新条アカネさんが入室しました♪  (6/5 22:52:38)

新条アカネ> 疲れた…あー……あと残り1日とはいえここまで残ることになったとは…あー疲れやばいけどまだ電車なんよねぇ…(メタ話を混ぜつつもソファに寝るように転がって……)   (6/5 22:54:22)

新条アカネ> 癒しが欲しぃ……(ソファの上で足をバタバタさせつつもよほど疲れたのか相当だらしない様子で)   (6/5 23:04:21)

おしらせ> B Bさんが入室しました♪  (6/5 23:06:10)

B B> そんな癒しを欲しがる貴女にラスボス系後輩です（ひょいと覗き込む様に姿を現して）   (6/5 23:06:41)

新条アカネ> おわっ……こんばんはいきなりラスボス来られちゃったんだけど(全然装備とかレベルとか無いんだけど)   (6/5 23:07:37)

B B> お互いラスボスみたいなものだから良いんじゃないでしょうかねぇ？（ソファーの背もたれに腰を下ろして見下ろして）   (6/5 23:08:13)

新条アカネ> なんでこっちの事情が知られてるのかはともかく…まぁならいいのかな？(下からじーっと)   (6/5 23:10:32)

B B> 別に箱庭作って遊ぶくらいですからねぇ？（よしよしと頭を上から撫でて）   (6/5 23:11:11)

新条アカネ> あーなんのことやらー……んっ……(撫でられると喉をゴロゴロと)   (6/5 23:12:23)

B B> えぇ、適当な箱庭とかにセンパイを放り込んで何万年でも見守ったりするのは楽しいですからねぇ（猫ですねぇと顎をゴロゴロと）   (6/5 23:15:07)

新条アカネ> まぁここでそういうことをするつもりは無いから大丈夫だよん……(ふにゃーってBBに甘えるように手に擦り寄って)   (6/5 23:17:42)

B B> 求めてるそういうことは…・別の事でしょうしねぇ（つぃと親指だけで唇をなぞって）   (6/5 23:18:24)

新条アカネ> まぁそゆこと……電車で帰宅中だからガッツリはやれんけど……(唇を指でなぞられるとお返しに舌でそれをつんつんと)   (6/5 23:20:56)

B B> まぁ帰ってきて流れるかどうかでしかないでしょうしねー（濡れた指でついと頬を撫でて）   (6/5 23:22:58)

新条アカネ> そゆ感じ。家着くのちなみに帰れるのあと1時間(頬を撫でられてうっとりと)   (6/5 23:25:24)

B B> ……なんていうかすごい長い道のりじゃありません？　電池が持つのやらですが（さらりと髪を撫でるように抱えて起こして）   (6/5 23:26:19)

新条アカネ> 乗り換え2回しないといけないからさ……んー？大丈夫大丈夫。モバイルバッテリーは常備してるし(ふふんと得意げになりつつ抱き合う格好に)   (6/5 23:27:14)

B B> ……それが毎日でなければーですね。（よいしょと抱き返して肩口から背中を撫でていき）   (6/5 23:29:05)

新条アカネ> いやさすがにこれが毎日ならメンタルぶっ壊れる……今日が異端なだけだよ～……(背中を撫でられれば私も背中あたりを手で触って)   (6/5 23:30:06)

B B> 毎日2，3時間とかならそれだけで心が折れますねぇ…（ちゅっと頬にキスをして嘗めあげて、すりと背中を揺らして）   (6/5 23:30:50)

新条アカネ> そうそう。もう体も心もボロボロなるっての……(アカネもほっぺたに口付けしつつさらにハグして)   (6/5 23:35:22)

B B> じゃあボロボロにならないようにしましょうか（少しだけ隙間を作って見つめあって。唇を重ねる。舌先で舐めて差し入れて深く）   (6/5 23:37:00)

新条アカネ> そうしよっ……(唇を重ねながら中に入ってきた舌と自分の舌を絡ませてる激しめのキス)   (6/5 23:42:05)

B B> んっちゅ…ふ…こんなに煽って我慢できなくなっても知りませんけれどねぇ（絡めとるように唾液を混ぜ合わせて音を立てて口元から零して）   (6/5 23:44:48)

新条アカネ> たしかに。流石に控えた方がいいかもしれない………？(唾液を混ぜながら相手に飲ませたり口の隙間から溢れていったり)   (6/5 23:48:39)

B B> 困るのは私ではないですからねぇ……（ちろと嘗めなおしてぎゅうっと胸元に頭を抱えて包み込んで）   (6/5 23:49:45)

新条アカネ> じゃあやめとく………？……(自分の顔がBBのマシュマロおっぱい)   (6/5 23:54:41)

新条アカネ> (に包み込まれて)   (6/5 23:54:45)

B B> 戻って来るまで焦らしちゃいましょうか（揶揄いながらつついと背筋から腰の方まで指を滑らせて）   (6/5 23:56:45)

新条アカネ> ちなみにあと家着くまで20分(最寄り駅なんだけどねと腰を撫でられるとビクッと反応)   (6/5 23:58:15)

B B> その後じっくり連れ込んじゃってもいいですけれどねぇ？（食べたり、お風呂とか良いんです？）   (6/6 00:01:22)

新条アカネ> んー流石にきついかも……(そうだね。てか寝ないと)   (6/6 00:02:04)

B B> それじゃあ、あまり煽っても可哀そうですから今はこの辺でですねぇ（おでこにちゅっと）   (6/6 00:02:56)

新条アカネ> ごめんね……(申し訳なさそうにしながら頬にキスを)   (6/6 00:04:09)

B B> いえいえこぅ…辛くなるのは私じゃないですし（プにと頬を摘まんで）今の分までまた今度愛でてしまいましょう   (6/6 00:06:48)

新条アカネ> おっけ……じゃあ解散にしよっか……(頬をつままれて)   (6/6 00:08:07)

B B> はぁい、ゆっくりと休んでくださいね（手を離してはキスをしなおして唇を押して離れて）   (6/6 00:08:35)

新条アカネ> 【お疲れ様、また話そうね♪】   (6/6 00:09:02)

おしらせ> 新条アカネさんが退室しました。  (6/6 00:09:04)

おしらせ> B Bさんが退室しました。  (6/6 00:10:49)

おしらせ> 浦和ハナコさんが入室しました♪  (6/10 00:10:44)

浦和ハナコ> んん……っ♡今日も一日、終わりましたね♡（タブレットを手にしてシャーレの仕事をこなしながらふと休憩して。お気に入りの紅茶を口にしながら窓を開けて夜空を見上げる。生憎と空模様は良くなく、星空の下とは言えないがそれでも夜の風に当たって心地よさを感じている）
  (6/10 00:16:18)

浦和ハナコ> あら、物思いに耽っていたらもうこんな時間でしたか♡帰って寝ることとしましょう……♡（時間を見れば自分が思うよりも時間が過ぎており。早めに帰って休むこととしたハナコは部屋を後にした）   (6/10 00:40:05)

おしらせ> 浦和ハナコさんが退室しました。  (6/10 00:40:09)

おしらせ> マツリさんが入室しました♪  (6/11 00:02:43)

マツリ> じめじめする季節になってきたっすね…毛並みがぺたんとして落ち着かないっすよ…（しょんもりと虎耳をへたらせソファの上で背を丸めつつ寝そべり）   (6/11 00:04:47)

マツリ> 思い切って薄着にしたけど肌がべとべとする…これ以上はもう全裸しかないっすよ～…（今からそれでどうするんだと、ロンＴの下には何も付けてない状態でうだうだして）   (6/11 00:18:04)

マツリ> やっぱり尻尾のせいっすかね…？（少し湿気でしなっとしたトラ尻尾を揺らして）あーでも普通の人には共感されないっすかね～…   (6/11 00:38:26)

マツリ> 誰も居ないみたいだし、もう別に脱いじゃってもいいっすねこれ…（起き上がってぺいっとシャツを脱げば解放感…♡ソファに座り直して背凭れに身を預けると軽く足を開かせて♡）あ～…さすがに涼しいッス…♡   (6/11 00:49:32)

マツリ> …何やってるんすか自分（急に冷静になったのかそそくさと部屋を後にして）   (6/11 01:03:05)

おしらせ> マツリさんが退室しました。  (6/11 01:03:11)

おしらせ> 藤原妹紅さんが入室しました♪  (6/12 22:05:32)

藤原妹紅> 蒸し暑い...実に蒸し暑い...（汗を拭きながらソファに傾れ込んで...）   (6/12 22:05:57)

藤原妹紅> ....撫で甲斐のある子とかこないかな...（ダラダラしながら一息ついて...）   (6/12 22:23:14)

おしらせ> 無言時間が25分を超えたため、藤原妹紅さんが自動退室しました。  (6/12 23:16:28)

おしらせ> 藤原妹紅さんが入室しました♪  (6/13 21:47:10)

藤原妹紅> ....さて、今日も今日とてダラダラ待機かな（ソファに座っては...）   (6/13 21:47:41)

おしらせ> 無言時間が25分を超えたため、藤原妹紅さんが自動退室しました。  (6/13 23:02:39)

おしらせ> マツリさんが入室しました♪  (6/14 00:45:31)

マツリ> （ひょこっ）暑いっすね～…（膝下まであるロンT１枚で徘徊する虎娘…）   (6/14 00:47:17)

おしらせ> マツリさんが退室しました。  (6/14 00:48:06)

おしらせ> ペコリーヌさんが入室しました♪  (6/15 23:58:24)

ペコリーヌ> ふぅっ、日曜日ももう終わり……ですねっ☆（日曜日も公務で動いていた反動からかソファーに座り込むと大きく息を吐いてしまうペコリーヌ。食事は済ませたもののご飯を食べるというよりは栄養を摂取した、くらいの認識であり気を抜くと寝てしまいそうで）  
(6/16 00:00:21)

おしらせ> ユイさんが入室しました♪  (6/16 00:12:18)

ユイ> こんな時間にこんばんはですよぉ……あ、ペコリーヌさん♪少しの間ですがお邪魔しますね？(ぺこりとお辞儀して)   (6/16 00:12:53)

ペコリーヌ> おや？こんばんは、ユイちゃん☆少しでも嬉しいです、さ、どうぞっ☆（隣にどうぞ☆とソファーをぽんぽんと叩いて）   (6/16 00:14:44)

ユイ> ありがとうございます……♪(そのままお隣に座りながら…)休日ってあっという間に終わっちゃいますねぇ……   (6/16 00:16:05)

ペコリーヌ> そうですねぇ、私は休日とは呼べませんでしたが……それでも王都の住民の皆さんは休めたようでひと安心です☆（ニコッと笑みを浮かべながら肩を寄せ合っていき）   (6/16 00:17:43)

ユイ> あらま……なるほど…しっかりとは休めなかったと……(そのまま寄り添いながらクスッと笑って)お忙しいのはわかりますが無理はせずに…少しお二人きりでもとか思いましたがこんな時間ですからねぇ…   (6/16 00:19:54)

おしらせ> 新条アカネさんが入室しました♪  (6/16 00:20:17)

新条アカネ> ふぁーねむねむ……2人もこれから寝ちゃったりするかな？良かったら寝るまで私も混ぜて欲しいな(ちょっと既に眠そうに目をゴシゴシ擦りながらユイとペコリーヌの元へと)   (6/16 00:21:13)

ペコリーヌ> えぇ、明日は少しゆっくりしようかと…☆ユイちゃんも、あまり夜更かしし過ぎてはいけませんよ☆（ユイの桃色の髪を撫でながら）   (6/16 00:21:34)

ペコリーヌ> あっ☆こんばんは、アカネさんっ☆（アカネさんもどうぞどうぞ☆と手招きして）   (6/16 00:22:12)

ユイ> 分かってますよぉ……わたしもそろそろ寝ようとは思っていたり……あ、こんばんは♪(手を振りながらご挨拶を)   (6/16 00:22:46)

新条アカネ> ユイもペコリーヌもこんばんは♪ペコリーヌはあんまり休みかなかった感じなのかな？(まぁ土日働いてる人もいるから仕方の無いことかも知らないけどね)私は休めたけど全然疲れは取れてない…   (6/16 00:23:51)

ペコリーヌ> ふふっ☆二人とも、眠そうですねっ☆（二人がけのソファーに三人もいれば押しくら饅頭をするようにぎゅうぎゅうに密着して♡）アカネさん、それは休めたとは言えないと思いますよ？☆（ゆっくり休んでくださいね☆とアカネにもナデナデ）   (6/16
00:25:20)

新条アカネ> まぁ日付も変わってるし仕方ない、しかも明日は6時半には起きないとだからねぇ……ってちょっと暑苦しい……(ぎゅうぎゅうに密着してちょっと苦しい……)今日は出かけてご飯食べてたんだけどそれで胃がやられたのかも…   (6/16 00:26:44)

ユイ> 今日暑かったですよねぇ……と、わたしはこのまま寝落ちする前に寝ちゃいます…お邪魔しましたぁ……   (6/16 00:27:48)

おしらせ> ユイさんが退室しました。  (6/16 00:27:52)

新条アカネ> あ、お疲れ様   (6/16 00:28:35)

ペコリーヌ> 成る程、一応お部屋は除湿機能をつけてますから、冷え過ぎないように注意ですね☆あ、ユイちゃんおやすみなさーい☆   (6/16 00:28:40)

ペコリーヌ> って、6時半だとあと6時間しか寝れませんよ！？アカネさんも無理せず休んでくださいね？   (6/16 00:30:27)

新条アカネ> ね、今日暑いよね……服が汗でべっしょり……あ、まぁ電車の中で1時間は眠れるから……それとも添い寝しちゃう？   (6/16 00:30:52)

ペコリーヌ> 私も日中から夕方にかけて結構汗かいちゃいましたね……添い寝もいいですよ☆それ以外は……アカネさんの体力を削ってしまいますね☆   (6/16 00:32:56)

新条アカネ> お互い様だね。まだ6月だってのに冷房のお世話になってるからね。7月8月はどうなるやら……さすがにエッチしたらげっそりしちゃう……寝るならここでもお部屋でもどっちでもいいよ？   (6/16 00:35:06)

ペコリーヌ> こちら鍵を持っていないので公開にはなりますが……他にも利用する方がいるかもしれませんからね、待ち合わせに移動しますか？   (6/16 00:36:56)

新条アカネ> まぁ寝るだけだし鍵も必要ないかな。時間的には人も来ないだろうけど一応部屋は作ったよ   (6/16 00:38:19)

ペコリーヌ> あら、ありがとうございます☆   (6/16 00:38:36)

ペコリーヌ> 入室しましたので、続きはあちらで……☆   (6/16 00:39:24)

おしらせ> ペコリーヌさんが退室しました。  (6/16 00:39:30)

新条アカネ> ほーい♪   (6/16 00:39:33)

おしらせ> 新条アカネさんが退室しました。  (6/16 00:39:34)

おしらせ> 新条アカネさんが入室しました♪  (6/16 21:43:57)

新条アカネ> 平日だってのにすごい疲れちゃった。(ぐてんとソファに寝そべりながらも相当疲れたのかその場から1歩も動けずに)   (6/16 21:44:21)

新条アカネ> んーちょっと眠いかもしれない……仮眠しようかな   (6/16 21:58:18)

おしらせ> B Bさんが入室しました♪  (6/16 22:06:53)

B B> ねむねむでしょうかねー（じいっと覗き込み）   (6/16 22:07:18)

新条アカネ> うん、ちょっとね   (6/16 22:09:13)

B B> 仮眠だと少し寝ては起きてくるんでしょうかねぇ（なでなで   (6/16 22:11:31)

