/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]
https://pcmax.jp/?ad_id=rm176481
2022年11月26日 10時53分 ～ 2022年11月27日 04時34分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

クレー> はーい、お話してくてありがとう♡   (2022/11/26 10:53:41)
おしらせ> 桜衣乃さんが退室しました。  (2022/11/26 11:40:28)

おしらせ> 小春六花さんが退室しました。  (2022/11/26 11:40:32)

おしらせ> 鏡音リンさんが入室しました♪  (2022/11/26 13:29:55)

鏡音リン> こんにちは～♪（扉を開けてやってくると、元気に声をかけるけど返事がないと少ししゅん…としつつソファに飛び込むと、コロンと仰向けに寝転んで足をパタパタ揺らし）   (2022/11/26 13:30:39)

鏡音リン> んー…誰も来ないかなぁ…（ソファに寝転んだまま、ちらりと入口の方を見てはんー…と小さく息を漏らしつつ、つまらなさそうにしていて）   (2022/11/26 14:04:24)

おしらせ> 無言時間が25分を超えたため、鏡音リンさんが自動退室しました。  (2022/11/26 14:29:48)

おしらせ> 鏡音リンさんが入室しました♪  (2022/11/26 16:32:26)

鏡音リン> んんっ…寝ちゃってた…（ソファの上で目を覚ますと、ふわぁと欠伸をしつつ眠い目を擦って）誰も来てない…かな？（寝顔を見られちゃったりしたら恥ずかしいなぁ、なんて思ってキョロキョロと見渡すけど、誰かが来ていた気配もなくって）   (2022/11/26
16:33:23)

おしらせ> 無言時間が25分を超えたため、鏡音リンさんが自動退室しました。  (2022/11/26 16:58:42)

おしらせ> 花隈千冬さんが入室しました♪  (2022/11/26 19:27:41)

花隈千冬> 少し久しぶりに……（机に急須と抹茶を乗せて湯呑を傾けながら。誰もいない時間を楽しもうと静かに）   (2022/11/26 19:28:42)

花隈千冬> まぁ…誰か来てもいいんですが。（お煎餅をポリポリとかじりつつ、窓の様子を横目でちらり。）   (2022/11/26 19:32:53)

花隈千冬> あ、誰もいなくなりましたね。（まぁいいですけれど、ってずず……とお抹茶を啜りつつ。   (2022/11/26 20:09:14)

おしらせ> フィーさんが入室しました♪  (2022/11/26 20:31:25)

フィー> こんばんはです。初めましてですかね…？   (2022/11/26 20:31:45)

花隈千冬> はじめまして…？それとも、六花先輩のカキタレのほう？   (2022/11/26 20:34:34)

フィー> カキタレとはなんですか、カキタレとは（ぷんすか）   (2022/11/26 20:34:54)

花隈千冬> カキタレっていうのは愛人とかそんな感じのニュアンスだったような。   (2022/11/26 20:35:23)

フィー> それは知ってますけど。（ふむん）   (2022/11/26 20:35:42)

花隈千冬> じゃあ一体何が知りたいんですか？（お茶ずずー…   (2022/11/26 20:36:14)

フィー> 特に何か知りたいってわけでもないですが。なんか侮られてそうなニュアンス感じた気がしたので？   (2022/11/26 20:37:38)

花隈千冬> いえ、そういうニュアンスは。誰と同じところなのか教えておこうかと（？   (2022/11/26 20:40:36)

フィー> それを言うならお互いCevioAIじゃないんですか？   (2022/11/26 20:41:18)

花隈千冬> いや、そういう意味ではまちがいなくそうなんですけども。（お煎餅ポリ）   (2022/11/26 20:41:43)

フィー> 小樽潮風高校って意味では千冬さんと六花さんと花梨さんがおんなじですね。   (2022/11/26 20:44:14)

花隈千冬> そうですね。　先輩方は一応尊敬していますよ。   (2022/11/26 20:45:04)

フィー> 一応ですか…？   (2022/11/26 20:49:55)

花隈千冬> え、なんかおかしいですか…？   (2022/11/26 20:50:10)

フィー> いや、別に大丈夫ですけど。わざわざ一応を付けるってことは何か含むものがあるんですか？愚痴とかなら聞きますけど…   (2022/11/26 20:51:16)

花隈千冬> いや……六花先輩うざいなぁ…とはやっぱり、はい。   (2022/11/26 20:53:28)

フィー> なるほどです…ウザがらみでもされているんですかね。（ココアずずぅ）   (2022/11/26 20:55:40)

花隈千冬> 毎朝ピザって10回言ってとか。（お抹茶ずず……   (2022/11/26 20:56:18)

フィー> …それはうん、疲れますね。   (2022/11/26 20:56:35)

花隈千冬> 疲れるんですよ……。今日は置いてきて私がここに来ましたが。   (2022/11/26 20:57:06)

フィー> まぁ、ここでゆっくりしていけばいいと思いますよ。最近はよく人が来ますし。   (2022/11/26 20:58:46)

花隈千冬> 来てますね…わたしのいる時間にはめったに増えませんけど。（六花先輩のとき含めて）   (2022/11/26 21:01:17)

フィー> 時間帯の問題ですかね？フィーとしては二人っきりの時も嫌いじゃないですけど…   (2022/11/26 21:01:56)

花隈千冬> そうなのかもしれませんね……まぁ、特に変えようとも思わないんですけど。   (2022/11/26 21:26:03)

おしらせ> 無言時間が25分を超えたため、フィーさんが自動退室しました。  (2022/11/26 21:27:39)

花隈千冬> やっちゃったぜ。（てへ   (2022/11/26 21:27:46)

おしらせ> フィーさんが入室しました♪  (2022/11/26 21:36:35)

フィー> っとと、そうですね…フィーもマイペースにやっていくつもりですし   (2022/11/26 21:36:52)

花隈千冬> そうなんですよね。特段会いたい人は六花先輩はフィーちゃんですけど、私は特段知り合いもいないので。（しれ   (2022/11/26 21:49:28)

フィー> …フィーと深いお付き合いになっても、フィーはかまいませんけどね？   (2022/11/26 21:55:57)

花隈千冬> なるほど……？   (2022/11/26 21:58:02)

フィー> フィーはそこらへん気楽にやってくタイプなので。   (2022/11/26 22:04:49)

花隈千冬> 気楽ならなおさら深いそれは控えるのでは。   (2022/11/26 22:08:10)

フィー> …そういうものですかね？（ベッドイン＝深い関係ってイメージ）   (2022/11/26 22:09:11)

おしらせ> アリアルさんが入室しました♪  (2022/11/26 22:09:36)

アリアル> やぁこんばんは、アリアルさんだよ   (2022/11/26 22:09:44)

フィー> こんばんはです。   (2022/11/26 22:10:03)

花隈千冬> 深い関係ってこう、ずぶずぶなのではないでしょうか。あ、こんばんは。   (2022/11/26 22:10:32)

フィー> なるほどです。そういうずぶずぶにはあまりなったことない…（ホットミルクに蜂蜜混ぜたのずずぅって飲み干した後、暇そうにソファに寝っ転がって）   (2022/11/26 22:14:12)

花隈千冬> まぁ別に無理になるものでもないですし。それにしてもこのアンドロイド組が揃うのは壮観な。   (2022/11/26 22:15:18)

アリアル> なるようにしかならないものさって。確かに。珍しいかな？   (2022/11/26 22:16:42)

フィー> 確かに珍しい気が？   (2022/11/26 22:17:07)

フィー> そもそもアリアルさんとあまりキチンとおしゃべりした覚えもないですし…   (2022/11/26 22:23:19)

アリアル> あー…そうだね。賑やかな時に居たかも…くらいだね   (2022/11/26 22:26:24)

おしらせ> 錦木千束さんが入室しました♪  (2022/11/26 22:28:32)

フィー> おお、今日は千客万来ですね、こんばんはです   (2022/11/26 22:28:52)

花隈千冬> こんばんは。   (2022/11/26 22:28:58)

アリアル> やぁ、こんばんは   (2022/11/26 22:29:13)

錦木千束> おいっすー！はじめまして、こんばんはぁー！(ばっ、と大部屋に入り手をぶんぶん。)   (2022/11/26 22:29:25)

アリアル> うむ、初めましてだ。アリアルさんだよ、よろしくね   (2022/11/26 22:30:29)

錦木千束> アリアルとはちら〜っとすれ違ったかな？私は千束！よろしくなー！   (2022/11/26 22:33:56)

フィー> フィーは初めましてのような、そうじゃないような…？   (2022/11/26 22:34:23)

おしらせ> 後藤ひとりさんが入室しました♪  (2022/11/26 22:35:31)

後藤ひとり> お邪魔します……   (2022/11/26 22:35:37)

錦木千束> フィーとは、こーやって話すのは初めてだよな！んふふぅー、よろしくぅ！お、ひとりもこんばんはっ！   (2022/11/26 22:36:07)

花隈千冬> こんばんは。   (2022/11/26 22:36:25)

アリアル> やぁ、こんばんは   (2022/11/26 22:36:37)

フィー> こんばんはです。   (2022/11/26 22:36:42)

後藤ひとり> こんばんは皆さん……   (2022/11/26 22:37:11)

花隈千冬> （抹茶ずず……）   (2022/11/26 22:38:29)

錦木千束> さ、さっ！今夜も遊びましょ〜かっ！(ドヤ顔でひろーいソファーにぼす！両サイド空いてっぞ〜？っと、王様気分)   (2022/11/26 22:39:28)

後藤ひとり> あ、は、はい……失礼します………(お邪魔しないようにソファの片隅に座り)   (2022/11/26 22:40:35)

錦木千束> ……！むふふぅ…！こぉら、ひ〜と〜り〜？そんな隅っこに座るなんてどー言うつもりだぁ！(にんまり、とイタズラっぽく笑えば、ずいっと身を寄せ肩を抱き寄せ)   (2022/11/26 22:41:50)

後藤ひとり> ひいいっ！？……わ、私は陰キャらしく隅っこに影のように存在しようとしただけで………他の人の邪魔をしないように………(いきなり抱き寄せられてあわあわと)   (2022/11/26 22:43:28)

錦木千束> 陰だとか陽だとか関係なぁ〜いっ！私の目に付いたのが運の尽き…？なんてねっ！(ごちゃごちゃっと色々のたまうのを抑える見たく、むぎゅむぎゅぅ〜っ、と)   (2022/11/26 22:45:12)

フィー> …そこの二人は仲良くやっているみたいですね？（いいことです、とうなずき）   (2022/11/26 22:45:40)

後藤ひとり> や、や………あ、眩しすぎて灰になっちゃう………(抵抗することを辞めてむぎゅむぎゅされてゆらゆらとされるがまま………)   (2022/11/26 22:46:43)

錦木千束> んぉー？フィーも混ざりたい……？(きらん、と赤目を煌めかせ、片方あいてっぞ〜？なんて片腕を上げ。)灰になったらキチンと拾って海にでも…あ、違法なんだっけ、あれって。じゃーぁ、しっかりご家族にお届けするよ…。(よよよ……。泣き真似かまし、わしゃわしゃっと頭を撫でる！)
  (2022/11/26 22:48:45)

後藤ひとり> ひ、比喩表現なので真に受けないでください…………！それくらい恥ずかしいということです………(わしゃわしゃと頭を撫でられれば恥ずかしそうに顔を赤らめながら千束さんに抱きついてスリスリと)   (2022/11/26 22:51:11)

おしらせ> レイナ･プラウラーさんが入室しました♪  (2022/11/26 22:52:28)

後藤ひとり> あ、こんばんは……   (2022/11/26 22:53:05)

レイナ･プラウラー> すー…はー…(扉の前で深呼吸してから、がらっ…と扉を開けて)……こんばんは   (2022/11/26 22:53:37)

後藤ひとり> 緊張してますね……   (2022/11/26 22:54:17)

花隈千冬> こんばんは。（ちらり   (2022/11/26 22:55:37)

錦木千束> こんばんはぁ〜っ。(片手をひらりん。勇気を出して入ってきたレイナにぱちぱちっと拍手を送ろう…)恥ずかしい？ほぅほー…ぅ…奥ゆかしいヤマトナデシコってやつ？(頬をぴとりと合わせ、すりすりと返し…あったかぁい…って小声で呟き)  
(2022/11/26 22:55:40)

後藤ひとり> や、やまとなでしこでは無いです………ただの陰キャです………(照れるけどどこか安心する千束さんのオーラにメロメロになりつつ頬ずりして貴女の温もりを感じて)   (2022/11/26 22:56:43)

錦木千束> んへへっ♪やっぱりひとりはいじり甲斐があるな〜……♪(こっちが思った通りのリアクションを返す貴女に嬉しげに頬緩め、少し強めに肩を抱きつつ…どうしよっか…)   (2022/11/26 22:58:36)

後藤ひとり> わ、わざとしてますね……！？(ふかふか……と温もりにふへへ……と頬を緩めながらぎゅーっと抱きついて。なんでもいいですよ……？と)   (2022/11/26 23:00:06)

おしらせ> 無言時間が25分を超えたため、アリアルさんが自動退室しました。  (2022/11/26 23:01:38)

錦木千束> アリアルはお疲れ様ぁ〜…！わざとかなー？どっちでしょー？(片腕は相手を抱きつつ、もう片手は目の前に差し出し指先をくるくる回して……。じゃあ、奥の部屋にいっちゃうー？首傾げ)   (2022/11/26 23:04:31)

後藤ひとり> あ、寝落ちですか……おやすみなさい……。絶対わざとですね……からかってます……(こちらが恥ずかしがるのを理解してる故での行動ですね………。千束さんがほかに待つ人がいなければ是非……)   (2022/11/26 23:05:38)

レイナ･プラウラー> ……！(忘れてた……某アイドルにパンツを渡したことを…)   (2022/11/26 23:08:19)

錦木千束> だってさぁ、昨日…すっごい突っついてきたよなぁー？(じ……っと瞳を見据えて……。じゃあ、今夜はささっ、と引っ込みますかぁ。事実の鍵をちゃりちゃり。)   (2022/11/26 23:08:51)

後藤ひとり> お、覚えてた……もしかしてそれを根に持って……(い、陰キャがイキって申し訳ありません……！と言いつつ公開でも非公開でもどちらもいけますよ……なんて)   (2022/11/26 23:10:33)

錦木千束> 昨日の今日で忘れたらそれはそれでやばくない？(お返しは……奥の部屋で…。鍵を握らせ手を引き)そんじゃ、今日はしっつれいします！お邪魔しましたぁ〜！   (2022/11/26 23:12:36)

後藤ひとり> 昨日はそれを上回るほど色々してたので忘れていたのかと……あ、他の皆様はお先に失礼します………(と手を引かれて)   (2022/11/26 23:13:33)

おしらせ> 後藤ひとりさんが退室しました。  (2022/11/26 23:13:34)

おしらせ> 錦木千束さんが退室しました。  (2022/11/26 23:14:14)

レイナ･プラウラー> いってらっしゃい…   (2022/11/26 23:18:04)

花隈千冬> いってらです。   (2022/11/26 23:21:22)

おしらせ> 無言時間が25分を超えたため、フィーさんが自動退室しました。  (2022/11/26 23:35:45)

レイナ･プラウラー> …のこったね   (2022/11/26 23:41:45)

おしらせ> 無言時間が25分を超えたため、花隈千冬さんが自動退室しました。  (2022/11/26 23:46:32)

おしらせ> 桜衣乃さんが入室しました♪  (2022/11/26 23:52:31)

桜衣乃> あらあら…。やっぱり…。   (2022/11/26 23:53:01)

おしらせ> クレーさんが入室しました♪  (2022/11/26 23:53:58)

桜衣乃> レイナちゃん、いますか〜？   (2022/11/26 23:54:02)

クレー> こんばんはー、お出かけから帰ってきて少しだけきちゃったっ   (2022/11/26 23:54:29)

桜衣乃> あぁ、クレーちゃん。こんばんは♪   (2022/11/26 23:54:45)

クレー> あっ♡衣乃お姉ちゃん、こんばんは♡   (2022/11/26 23:55:03)

桜衣乃> ちょっとレイナちゃんに渡さなきゃいけないものがあるのですが、結構待っちゃってますから…戻ってきてくれるでしょうかねぇ…。   (2022/11/26 23:55:53)

クレー> そーなの？戻ってくるかなぁ…(つんつんとレイナお姉ちゃんのほっぺつついて)   (2022/11/26 23:56:56)

クレー> それにしても、最近色んな子がきてくれるよね？♡   (2022/11/26 23:58:18)

レイナ･プラウラー> ……ん…(布団の中からひょこっと顔を出して)   (2022/11/26 23:59:54)

桜衣乃> そうですね…今では私の知ってる子ばかりになりました。可愛い子、変わった子、いろんな子がいて楽しいですね…♪   (2022/11/27 00:00:46)

クレー> あっ、おはよう♡(ひょっと出てきたレイナお姉ちゃんに笑顔で見て)クレーだよっ、初めまして   (2022/11/27 00:00:48)

桜衣乃> あ、レイナちゃん。♪お眠でしたか？おはようございます♡…もう夜の12時ですが…。   (2022/11/27 00:01:27)

クレー> クレーたちさっききたばかりなのっ、衣乃お姉ちゃんがなんか渡したいものあるみたいだけど…(ちらっと衣乃お姉ちゃんの方を見て)   (2022/11/27 00:02:10)

レイナ･プラウラー> …渡したいもの…？   (2022/11/27 00:04:20)

桜衣乃> はい♪よい、しょ…(と、自分が履いていたライムグリーンのパンツを下ろしまして…それをレイナちゃんに)借りっぱなしでしたから、お返しです♡   (2022/11/27 00:05:25)

クレー> パンツ………ふえっ！？///借りっぱなしってどういうこと…?♡   (2022/11/27 00:06:20)

レイナ･プラウラー> ……かえってきた…(返されたパンツに驚いて)   (2022/11/27 00:09:02)

桜衣乃> 十分に楽しみましたので♪ …次に会ったときにお返ししようと思ってたんですが…意外にも、今日でしたね♪   (2022/11/27 00:11:11)

クレー> お楽しみ……♡はうっ//(なんか変な妄想して勝手にぼふっ！と赤くなって)…ぱ、ぱんつ帰ってきてよかったね、レイナお姉ちゃん……というかのーぱんだったんだ//   (2022/11/27 00:12:31)

レイナ･プラウラー> …ん…(する…とパンツを履いて)   (2022/11/27 00:15:11)

桜衣乃> …さてさて、今日私が来たのはこの用事だけでしたが…うーん。2人にはちょっとそれぞれ個別にお話したいことがありますねぇ。どうしましょう…。   (2022/11/27 00:16:27)

クレー> え、なに…？クレーなにかしちゃった…   (2022/11/27 00:17:16)

クレー> ？   (2022/11/27 00:17:21)

レイナ･プラウラー> ……パンツだけじゃなかった   (2022/11/27 00:17:42)

桜衣乃> まずクレーちゃんからにしましょう。ちょっとお部屋を待ち合わせに用意しますので、ちょっとだけ来てください♪   (2022/11/27 00:18:28)

クレー> う…うん…   (2022/11/27 00:18:56)

クレー> じゃあ、レイナお姉ちゃんまたね…   (2022/11/27 00:19:36)

おしらせ> クレーさんが退室しました。  (2022/11/27 00:19:38)

レイナ･プラウラー> …レイナ…おねえちゃん…   (2022/11/27 00:20:38)

おしらせ> レムさんが入室しました♪  (2022/11/27 00:34:11)

レイナ･プラウラー> ……こんばんは   (2022/11/27 00:39:29)

レム> こんばんは…♪ おやおや…レイナ様に衣乃様がいらっしゃるのに静かなお部屋ですね… 衣乃様は少しスリープ中なんですね… ふっふっふー！昨日の仕返しでも今のうちにレムがしておきましょうか…♪
(丁寧にお辞儀して中へ入ってきて見覚えある2人に視線を送り…静かな衣乃様を見たら悪戯しようと考える悪いメイドさんです…♪)   (2022/11/27 00:40:02)

おしらせ> 無言時間が25分を超えたため、桜衣乃さんが自動退室しました。  (2022/11/27 00:43:29)

レイナ･プラウラー> …いいとおもうよ。(ソファの上でごろん…と横になりつつ、イタズラを仕掛けようとするのを止めずに見ていて)   (2022/11/27 00:48:28)

レム> ひとり様には一歩先を越されてしまっていたみたいですね… レムもまた千束様と…い、色々な経験をしたいと思っています… 色々は色々なんですよ？　多分見てくれてると思うのでレムは今日はそれだけでとても満足してしまいます…♪
(視線の先に話すようにしながら両股を擦り合わせるように照れ隠ししながらもじもじ…落ち着かない様子を見せてしまいます)   (2022/11/27 00:49:28)

レム> 衣乃様は今お仕事中？みたいなのでレムが悪戯したらそれこそ…ご迷惑になってしまうかもしれません。　なので、今は昨日お話できなかったレイナ様とレムはお話したいと思っていますよ
(タオルケットをご用意して肩から被せてあげて。レムはレイナ様の隣に静かに腰掛けていて)   (2022/11/27 00:53:11)

おしらせ> クレーさんが入室しました♪  (2022/11/27 00:54:44)

クレー> こんばんはっ、レムお姉ちゃんだっ♫衣乃お姉ちゃんはちょっとだけ待ってね   (2022/11/27 00:55:20)

おしらせ> 桜衣乃さんが入室しました♪  (2022/11/27 00:56:39)

桜衣乃> はい、個人面談はこのへんで。大変お待たせしました…おや？何か私にしましたか、レムちゃん？   (2022/11/27 00:57:41)

レイナ･プラウラー> (緑色の短い髪を少しだけ触りつつ、隣に腰掛けるレムと名乗る少女に声をかけて)   (2022/11/27 00:58:16)

レム> クレーちゃん、こんばんは♪ はい、レムお姉ちゃんですよ   (2022/11/27 00:59:47)

桜衣乃> って、丸1時間経とうとしてましたか。こんなに遅くなってはいけませんね…。レイナちゃんへの個人面談はまた今度にしましょう。   (2022/11/27 01:00:02)

クレー> レムお姉ちゃん昨日はありがとう…♡それにしてもクレーのひとことよく読んでたねっ♡   (2022/11/27 01:01:47)

レム> いえいえ…♪ レムは悪戯しようなんて全然考えてなんていないんですよ？　風邪を引いたらいけないってレムは思ったのでタオルケットを被せてお二人の帰りを待っていた賢いメイドさんなんです…♪
お帰りなさいませ、クレーちゃん、衣乃様　(両手を前で組み直して立ち上がって小さくお辞儀をしながらお出迎えです♪)   (2022/11/27 01:03:18)

レイナ･プラウラー> 今からでもいいよ？   (2022/11/27 01:04:08)

レム> ふふっ… レムはメイドさんなんですよ、クレーちゃんの行動を把握するくらいとても簡単な事なんですって冗談です…♪ 偶々ですから次は反応してあげられるか自信はありませんよ…   (2022/11/27 01:05:08)

桜衣乃> あら、それはありがとうございました♪ てっきり昨日の仕返しでもされちゃったのかと思って身構えちゃいましたよ♪(にこにこ、お辞儀するレムちゃんにぺこりとお礼して…)
いえ、本当に今日はナシにしておきます。レムちゃんもいることですし。レイナちゃんを捕まえてまた1時間もかかったらいけませんからね。   (2022/11/27 01:05:54)

クレー> でも、千束お姉ちゃんがまさかあんなことしてくるなんて…クレーびっくりしちゃった…あはは、あやうく変なキャラが定着しちゃうところだった//   (2022/11/27 01:07:47)

レム> レムは1時間くらい平気で待てますけど… 衣乃様がお疲れのようなら後日面談にするのも悪くはないと思いますよ…♪
仕返しがご希望ならレムは遠慮なく衣乃様を可愛がりますよ？　昨日は千束様には色々してあげられたので満足…いえ、千束様にもまだまだ色々しなくてはいけませんね…♪ (昨日のことを思い出したら頬は真っ赤で恥ずかしそうに笑っていて…)   (2022/11/27
01:10:21)

レム> クレーちゃんは凄い乱れっぷりでしたね、レムも少しレムではないレムになってしまいそうだったので… 千束様と衣乃様は少し激しいのでご注意を♡   (2022/11/27 01:12:51)

桜衣乃> レムちゃんとクレーちゃんは昨日はおたのしみでしたね♪あのまま2人一緒にイかせてあげられたら良かったのですが…千束ちゃんは乙女心が足りません。　いやですね〜、私はその子が本当に求める1番気持ちいいのを提供してあげてるだけで、私が激しいわけじゃありませんよ〜。　私のことをもっとよく見てくれたらわかるはずです！(ご注意されてしまったら、そんなそんなと両手振って否定して…)
  (2022/11/27 01:14:23)

クレー> レムお姉ちゃんとまさかあんなことになるとは思わなかったけど……クレーあんなやさしいことばかけられたら…レムお姉ちゃんとちゃんとしてみたいなって…思ったの♡(ちょっと顔を赤めてレムお姉ちゃんをちらっとみて)   (2022/11/27
01:14:45)

レイナ･プラウラー> ふあ…(肩から被せられたタオルケットを少し引っ張って、首元まで隠し込んで。欠伸をした後､もそもそっ…と潜り込んで。)   (2022/11/27 01:14:53)

クレー> あ、今日今すぐにって意味じゃないからねっ(あわあわ)、また機会ある時にって意味なのっ   (2022/11/27 01:20:09)

レム> レムは千束様のことが大好きなのでまた…あの後お部屋で添い寝してくれて昨日のことは全部レムの良い思い出になりましたよ…♪ 衣乃様は…レムは自分もとっても楽しそうにしてたと思うんですけれどレムの勘違いだったんでしょうか…
(振っている両手をぎゅっとレムの両手を重ねて指を絡めて逃げないように悪戯してみて) 本当は自分も楽しんでたのレムにはお見通しですよ… 衣乃様は嘘つく悪ーい人なんですか…それなら昨日のお返しも兼ねてレムがお仕置きしなくてはいけませんね♡  
(2022/11/27 01:20:33)

レム> レムとしてみたいってクレーちゃんは物好きですね… レムは断る理由もないですから…はい、クレーちゃんが望んでくれるならレムはお相手をしてあげますよ…♪ (赤くなって照れてますってレムも笑顔になってしまいます…♪)   (2022/11/27
01:24:22)

桜衣乃> あっ、やっぱりこの言い訳は下手すぎましたか♪うーん、でも私はレムちゃんとクレーちゃんが本当に気持ちよくなってほしい一心であぁしてあげたんですよ？お仕置きだなんてとんでもない、むしろお礼してほしいくらいなんですけどね〜？♡(指を絡められたら、待ってましたと言わんばかりに体を密着させちゃいます♪)もちろん、体で♡
  (2022/11/27 01:25:04)

クレー> ふわっ……♡一瞬フラれたかと思ったけど…レムお姉ちゃん…♡今日は難しいけど…機会あったらレムお姉ちゃんと、奥のお部屋行きたいの…♡だから、絶対これからもきてほしいの…♡えへへ…   (2022/11/27 01:27:53)

レム> お礼ですか…？昨日玩具のように扱われたレムがお礼をする側なんて納得できませんよ… 体でって卑猥な発言も…衣乃様はやっぱり注意しなくてはいけない人みたいです…♡ (ぎゅっと更に密着して2人のお胸が潰し合う形になりながら…見上げるように見つめていて)
レムがお礼をするのは少し違うと思ってしまうので今日はこのままこの状態から進展させるつもりはありませんよ…そこだけは譲ることはできません…♡   (2022/11/27 01:30:06)

レム> レイナ様も眠気と戦っているようですね… レムは眠気はありませんけどあまりご無理はなさらないようにして欲しいとレムは思います… (お布団に潜るレイナ様を横目に見ていて)   (2022/11/27 01:31:20)

レム> わかりました…♪ レムはクレーちゃんのお誘いを受けるまでここに通うのをやめません、鬼に誓ってあげますね…♪   (2022/11/27 01:32:46)

クレー> わーい♡やくそくっ、ゆびきりげんまん♡嘘ついたらはりせんぼんのーますっ♡クレーはこのお部屋にしかいないし、よくいるから会いにきてねっ♡   (2022/11/27 01:33:54)

桜衣乃> おやおや…。お部屋の人気者で他の子と遊んでる千束ちゃんとレムちゃんが百合えっちできるように流れを作ってあげた影の功労者の私をそんなふうに言うんですか〜？♡イノ、悲しいです〜♡(およよよ…と悲しむフリをしながらもにこにこ…♡鼻がくっつく距離で…)  
(2022/11/27 01:34:03)

レム> もちろんです…♪ クレーちゃんに会いに来てあげますね♡ レムも来る頻度は少し少ないかもしれませんけど…   (2022/11/27 01:36:43)

