/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2018年08月08日 22時27分 ～ 2018年08月11日 01時38分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

九条カレン> 【そっか、時雨ちゃんも寝てる？】   (2018/8/8 22:27:27)
竹井 久> 【おかえりなさい】   (2018/8/9 08:16:02)

桂ヒナギク> 舐めて欲しいわよ…///(むっとしつつも嬉しそうにして)【遅れてごめんね】   (2018/8/9 08:16:21)

竹井 久> フフ…素直に言えたじゃない？(乳首をまたねっとり絡ませて舐めあげてから強く吸って甘く噛んであげるわ)【大丈夫よ。私もさっきは遅くてごめんなさいね】   (2018/8/9 08:17:39)

桂ヒナギク> 恥ずかしいのよ…///あっ♥///そんなに責められたら…////(乳首を甘噛みされたり舐められたりして)あなたは…乳首が好きなの？…///【気にしないでいいよ(ニコッ)】   (2018/8/9 08:20:16)

竹井 久> 恥ずかしいのはこれからよ？乳首から感じさせてけば…濡れるでしょ？(なんて言うと乳首をまた吸ってスカートの中に手を入れて下着越しに割れ目を撫でてるわ)【ありがとう】   (2018/8/9 08:23:20)

桂ヒナギク> んんっ…////そうですけど…///ストレート過ぎですよ…///(下着越しに撫でられてピクっとさせてしまい)もうこんなに濡らしちゃったわよ…///【眠かったりした？】   (2018/8/9 08:26:00)

竹井
久> あら？ヒナギクはこういうのが感じやすいと思ったのだけれど？言葉で責められると弱いでしょ？(ヒナギクを見上げて言うと乳首を強く吸って、下着越しに撫でてた割れ目を下着の中に入れて直接撫でていくわ)本当にトロトロに濡れてるわね？【ちょっと洗濯機に放り投げてたら意外と制服が汚れてて洗ってたわ。】
  (2018/8/9 08:29:18)

竹井 久> 【ちょっと猫の世話をしてくるわ】   (2018/8/9 08:33:37)

桂ヒナギク> そうね…別に嫌とは言ってないわ…///(胸を吸われたまま割れ目を撫でられてピクンっピクンっとさせてしまい)それっ…///久が上手いから…////【ええ。】   (2018/8/9 08:33:58)

桂ヒナギク> 【なるほどね、洗濯物なのね】   (2018/8/9 08:34:13)

竹井 久> 【ただいま。猫が寝てるうちに掃除したくて…ごめんね   (2018/8/9 08:42:50)

桂ヒナギク> 【気にしないで？(よしよし)】   (2018/8/9 08:44:25)

竹井 久> フフ…じゃあ、こっちも吸ってあげるわね。スカート持っててくれるかしら？(スカート捲ると裾を持つように促して私はヒナギクの下着を脱がすわ。綺麗な割れ目をじっとみつめるわよ)トロトロおまんこ美味しそうね？   (2018/8/9 08:44:52)

竹井 久> 【家の猫達が起きてると掃除出来なくて。猫が邪魔してくるのよね】   (2018/8/9 08:45:41)

桂ヒナギク> 美味しそうって…////分かったわ…////お好きにどうぞ…////(しカートの裾を持って割れ目を見せつけて)【なるほどね。ペットか、羨ましいね】   (2018/8/9 08:47:55)

竹井 久> フフ…いただきます……ちゅっ…(ヒダを拡げると割れ目に吸い付き舌を這わせていって膣の中へ入れ込むわ)【ヒナギクはペットいないの？】   (2018/8/9 08:50:09)

桂ヒナギク> お好きなだけね…/////(ヒダを広げられて割れ目の中に入り膣の中に入るのを感じて)【ええ、いないわよって中の人が言ってるわ】   (2018/8/9 08:52:15)

竹井 久> ん…ちゅっ…ちゅっ…(舌を深く入れては膣のなかを掻き回して溢れる愛液を喉を鳴らして飲み込み鼻で膣の匂いも嗅いでヒナギクのエッチな匂いを堪能するわ)【そうなのね   (2018/8/9 08:56:50)

桂ヒナギク> んうっ…////恥ずかしいわね…////♪(愛液が久に飲み込まれて膣の匂いも嗅がれてしまい)汚くないっ…///かしらぁっ…////？【ええ、お金がね…】   (2018/8/9 08:59:12)

竹井 久> 汚くないわ。それよりヒナギクの感じてる声を聞かせてちょうだい？(膣を抜差ししてから言うと愛液で濡れた舌でクリを舐めあげていくわ)クリ…感じるでしょ？【あ～猫はともかく犬は毎年色々掛かるわね】   (2018/8/9 09:02:15)

桂ヒナギク> あっ…//////そんな事言わないで…///んんっ！？///-(愛液まみれの下でクリを舐められてピクピクさせて)ええっ…///感じるわよ…///【そうだよね。猫とか可愛いだろうな♪】   (2018/8/9 09:05:25)

竹井 久> フフ…たくさん声を出してちょうだいね？(ちゅっ…ちゅっ…とクリを舐めたり吸ったりしていくわ)【猫はアタリはずれがあるからはずれだと柱イタズラ食べ物イタズラするわね   (2018/8/9 09:07:50)

桂ヒナギク> ああっ…////そ、そんなのはずかしっ…///くぅ…////(舐めたり吸われたりして気持ちよくて愛液がまた漏れて)【久の中の人の猫はどう？】   (2018/8/9 09:11:13)

竹井 久> フフ…ぷっくり膨らませちゃって…感じてるのね？(クリを舐めたり吸ったりしては皮剥けて膨らむクリに強く吸って愛液も飲み込むわよ)【うちの猫は案外イタズラしないおとなしい子よ】   (2018/8/9 09:13:39)

桂ヒナギク> 久…///上手…////っ…//もっと…///やって欲しい…////(クリを舐められたり吸われたりして愛液も飲み込まれてしまいもっとされたいと)【そっか…それは可愛がりがありそうね】   (2018/8/9 09:17:07)

竹井 久> ん～…でも、そろそろ中に入れたいのよね？(クリをちゅっちゅっと吸っているとおちんちんが膨らんでいてヒナギクの太股に擦り付けていて)【ええ。たくさんいなければね。５匹が一斉に動くと運動会よ？】   (2018/8/9 09:19:50)

桂ヒナギク> っ…////おちんちん？…////なぜあなたにそれがあるのかしらね？…///(気にしつつも擦り付けられて求めるように割れ目をひくひくして)【5人もいるんだ…大変だね、それは辛そうだね】   (2018/8/9 09:24:15)

竹井 久> さあ…なぜかしらね？(楽しそうに言うとスカート捲り下着からおちんちんを取り出すわ。ギンギンに膨らみ太くなっているおちんちんを膣に擦り付けるわよ)【寝てればイイコなんだけどね】   (2018/8/9 09:25:53)

桂ヒナギク> 女の子なのにあるなんて不思議っ…///でもいいわ…///いれて…////(出されたおちんちんを膣に擦り付けられて求めるように)【あはは、でもそう羨ましいね、仲良さそう】   (2018/8/9 09:28:56)

竹井 久> フフ…入れたらスゴく良くなっちゃうわよ？(おちんちんを膣に擦り付けてからゆっくり挿入始めるわ)【仲は良いわね。ちょっと電話してたわ】   (2018/8/9 09:35:43)

桂ヒナギク> ああっ///凄い…///いれて…////(膣に擦り付けられてから挿入されてしまいアソコがキュンとして)【羨ましいな……大丈夫だよー】   (2018/8/9 09:37:23)

竹井 久> んん…ヒナギクの中…気持ちいいわ…(奥まで長いおちんちんが入って行くとゆっくり抜差し始めるわ)【飼うならどっちがいいのかしら？】   (2018/8/9 09:50:55)

竹井 久> 【洗濯を取り込んでて遅くなったわ】   (2018/8/9 09:51:38)

桂ヒナギク> んんっ…////嬉しいわ…///あっ…///すごいっ…///(抜き差しされておちんちんに愛液を絡ませてしまい)【猫かな？】   (2018/8/9 09:53:32)

桂ヒナギク> 【気にしないでね】   (2018/8/9 09:53:37)

竹井 久> 直ぐにイッちゃいそうだわ(ヒナギクの腰を掴むと突き上げおちんちんを膣の奥に激しく突くわ)【猫は猫派だから嬉しいわね】   (2018/8/9 09:58:26)

桂ヒナギク> 出していいわ…////いつでも…////んっ…///ああっ！…/////(激しく突かれてしまいこちらからも愛液を漏らしてイきそうで)【私も猫派かな、可愛いからね】   (2018/8/9 10:01:17)

竹井 久> ハァ…ハァ…ヒナギク…奥に出して良いわよね？(激しく突いてからそう言うとヒナギクの子宮に向けてズンズン突いていくわ)【グッズでシルエット猫には目がないわ】   (2018/8/9 10:06:22)

桂ヒナギク> もちろんよ…////出してえええっ…///(腰を振りながらそう伝えて)～【少し落ちるわね。またお昼来れる？】   (2018/8/9 10:08:57)

竹井 久> 出すわよっ！(激しく腰を振ってから子宮に向けて射精するわ。ドピュドピュと精子が子宮に流れていくわ)【電車に乗ってるかもだけど大丈夫よ？】   (2018/8/9 10:11:04)

桂ヒナギク> ああっ…////出ちゃってるううう！？/(子宮に向けて射精されてお腹が熱くなるのを感じてしまい軽く気絶してしまい)【分かったわ、来れる時に顔を出してみるわね、雑な締めだけど少し抜けるわね】   (2018/8/9 10:12:40)

おしらせ> 桂ヒナギクさんが退室しました。  (2018/8/9 10:12:43)

竹井 久> 【お疲れ様でした。また遊びましょう】   (2018/8/9 10:13:28)

竹井 久> 【誰か来るかしら？】   (2018/8/9 10:19:40)

おしらせ> 桂ヒナギクさんが入室しました♪  (2018/8/9 10:21:32)

桂ヒナギク> 【ごめんなさい、大丈夫でした】   (2018/8/9 10:21:42)

竹井 久> 【あら、おかえりなさい】   (2018/8/9 10:22:43)

桂ヒナギク> 【全然長くなかったわ(てへ)】   (2018/8/9 10:23:27)

竹井 久> 【フフ…まだ続きしましょうか？】   (2018/8/9 10:23:56)

桂ヒナギク> 【うん。大丈夫だよ】   (2018/8/9 10:24:36)

竹井 久> 【じゃあ続き書くわね】   (2018/8/9 10:25:27)

桂ヒナギク> 【ええ】   (2018/8/9 10:25:56)

竹井 久> んん！ハァ…ハァ…(射精終わると軽く意識を飛ばしているヒナギクの身体を抱き上げてベッドに運ぶと寝かせて繋がったままヒナギクの上着を脱がしていくわ)   (2018/8/9 10:27:17)

桂ヒナギク> あれ…私は…って…何してるの…////(いつの間にかベットに移動させられて服を脱がされて)   (2018/8/9 10:28:32)

竹井 久> あら、起きたのかしら？貴女気を失ってたのよ？(言いながら上を脱がして露になった胸を揉むと胸を揉むわ)   (2018/8/9 10:30:49)

桂ヒナギク> あんなことされたらそうなるのが自然でしょ…///ってまだするの？…///っ…///(胸を揉まれてくもった声をあげながら)   (2018/8/9 10:31:39)

竹井 久> まだするわよ？当然。フフ…おまんこの中がちょっと締め付けたわ？期待してるのかしら？(胸を揉みながら軽くおちんちんを突き上げてヒナギクの締め付けにおちんちんが反応していくわ)   (2018/8/9 10:35:16)

桂ヒナギク> き、期待…////す、少しっ////ねっ…///んっ…////(おちんちんが突き上げられると少し締め付けてしまい)そうね…楽しみましょう   (2018/8/9 10:38:21)

竹井 久> 少し？少しなのかしらね？(ヒナギクの言葉に意地悪な笑み浮かべると焦らす様にゆっくりゆっくり抜いてゆっくり抜いて先っぽでなかを擦りながら突き上げて焦らしてみるわ)   (2018/8/9 10:40:20)

桂ヒナギク> す、少しでは無いけど…///(意地悪しないでってムッとなりつつも中を擦り上げられて焦らされてしまいました)   (2018/8/9 10:41:38)

竹井 久> フフ…素直におちんちんで奥を突いてってねだりなさいな？(ゆっくりゆっくり抜差し続けて焦らしながらヒナギクをみつめるわ)   (2018/8/9 10:43:35)

桂ヒナギク> おちんちんで…///中を突いて欲しいです…////(焦らされてしまいそう言ってしまう)   (2018/8/9 10:45:20)

竹井 久> 素直に言えたわね(おちんちんで再び子宮を突き上げて行くわよ)   (2018/8/9 10:48:39)

竹井 久> 【ちょっとレス遅くなるわ   (2018/8/9 10:49:40)

桂ヒナギク> 【私も軽く離席しますね】   (2018/8/9 10:50:42)

竹井 久> 【ただいま】   (2018/8/9 10:56:29)

桂ヒナギク> んんっ…////きつい…////(子宮を突き上げれて再び声を上げてしまい)   (2018/8/9 10:56:31)

桂ヒナギク> 【はい】   (2018/8/9 10:56:39)

竹井 久> ヒナギクのおまんこの奥キツキツね？(言いながら子宮を激しく突いていくわズチュズチュ音が厭らしく聞こえるわ)   (2018/8/9 10:58:39)

桂ヒナギク> そうですね…////って言わないでっ…////(厭らしく音を立てながら子宮を激しく突かれてしまいこちらも興奮してきて)   (2018/8/9 11:00:16)

竹井 久> フフ…気持ちいいのね？(子宮を激しく突いて行っておちんちんがヒナギクの中で膨らんでいくわ)   (2018/8/9 11:04:35)

桂ヒナギク> そうよっ…///凄い…///ああっ！？…////(おちんちんを締め付けながら膨らみはじめているので激しく突かれてしまい)また出ちゃいそう～////   (2018/8/9 11:06:24)

竹井 久> ヒナギクのおまんこエッチ過ぎよ(子宮に向けて激しく突いていくとヒナギクの中が締め付けてくるからおちんちんが膨らんで太くなるわ)   (2018/8/9 11:08:38)

桂ヒナギク> 久のおちんちんもでしょ…/////(そう言いつつも締め付けさらに膨らんでいるおちんちんで子宮を突かれて)   (2018/8/9 11:12:46)

竹井 久> あら、こんな締め付けてくるエッチなおまんこの中に入れてて感じない人なんか居ないわよ(突く度におちんちんが膨らんで太く長くなっていきヒナギクの子宮を激しく突いていくわ。先走りも中に流すわね)   (2018/8/9 11:16:35)

桂ヒナギク> そうね…////また出しちゃうの？////あっ、ううっ////(激しく締め付けつつも中で先走り汁を感じてしまい)   (2018/8/9 11:20:09)

竹井 久> ええ、出そうよ。ヒナギクの子宮にまた中出しするわよ？(激しく突きながらヒナギクに２度目の射精をと腰を激しく振るわ)   (2018/8/9 11:22:20)

桂ヒナギク> いいよ…///また出してっ…/////(それを受け止めつつも抱きしめてさらに快感を得ようとする)   (2018/8/9 11:25:48)

竹井 久> いくわよ？(ヒナギクの子宮を激しく突き上げていっておちんちんがビクビク震えると深く突いた所で射精しちゃったわ)出てるわっ！   (2018/8/9 11:27:29)

桂ヒナギク> ああっ！…///凄い…///出てる…///(再び射精されてお腹に暖かい感触が)   (2018/8/9 11:30:20)

竹井 久> ん…んん…いっぱい出てるわよ(射精して精子を子宮の中に流し込もうとおちんちんで突いていくわ)   (2018/8/9 11:32:01)

桂ヒナギク> まだまだなの…////凄い入ってる♥////(などと言いつつもおちんちんで突かれてしまいさらに精子が出るのを感じて)   (2018/8/9 11:33:31)

竹井 久> フフ…ヒナギクの子宮にたっぷり精子を流しちゃったわ。どうかしら？(おちんちんでおまんこの中を擦りながら精子が子宮へと流れていくのをおちんちんで感じてヒナギクに伝えて)   (2018/8/9 11:35:28)

竹井 久> 【ちょっとレス遅くなるわ】   (2018/8/9 11:35:46)

桂ヒナギク> 凄いいい感じ…////(擦られながらも中に入るのを恥ずかしそうにして)でも恥ずかしい…/////【ええ】   (2018/8/9 11:38:19)

竹井 久> フフ…ヒナギクの子宮にいっぱい精子をすり付けてるわ…孕んじゃうかもしれないわ(子宮へと全部の精子を流していき、ヒナギクの耳元で囁くわ)【ただいま】   (2018/8/9 11:47:45)

桂ヒナギク> そうね…////孕んだらどうしましょう…///ほかの人にどう伝えれば…////(そう恥ずかしがり)【おかえりー】   (2018/8/9 11:51:46)

竹井 久> フフ…女の子がお父さんなんて言えないわよね？しかも、貴女からおちんちん突いてって言ったのよ(なんてヒナギクの耳元で囁いて羞恥煽るわよ)   (2018/8/9 11:53:31)

桂ヒナギク> そうね…////う、うるさいわ…////(羞恥煽られてむすっと   (2018/8/9 11:57:35)

竹井 久> あら、そんな事言って良いのかしら？(ヒナギクの反応にまだ中にあるおちんちんで強く突いて子宮抉るわよ)   (2018/8/9 11:58:44)

桂ヒナギク> うう、やめ…////んんっ…///(また敏感なところを抉られて)   (2018/8/9 12:03:01)

竹井 久> フフ…どうかしら？ヒナギクの弱い所よ？(子宮を抉りながら言ってヒナギクみつめるわ)   (2018/8/9 12:04:16)

桂ヒナギク> やめなさい…////今は敏感なのよ…////   (2018/8/9 12:05:29)

桂ヒナギク> (抉るられながらそう言い)   (2018/8/9 12:05:58)

竹井 久> 敏感だからやるのよ(舌なめずりしてから子宮を何度も抉っていくわ)   (2018/8/9 12:08:48)

桂ヒナギク> も、もう…////さ、3回もするの？…///   (2018/8/9 12:12:02)

竹井 久> あら？ダメなの？   (2018/8/9 12:19:40)

桂ヒナギク> もちろんいいけど…////(抉られて舌なめずりされてつつそう伝えて)   (2018/8/9 12:20:37)

竹井 久> もっと深くいくわよ？(なんて言うとヒナギクを抱き上げて自分は寝ると下から突き上げる格好になるわ)   (2018/8/9 12:22:14)

桂ヒナギク> 【少し落ちるわね、また来るわ】   (2018/8/9 12:22:40)

桂ヒナギク> 【ごめんなさい、大丈夫でした】   (2018/8/9 12:25:05)

竹井 久> 【んん？(笑)】   (2018/8/9 12:25:24)

桂ヒナギク> 【電話が来たからなんだと思ったらセールでした】   (2018/8/9 12:26:08)

桂ヒナギク> 【2回もすいません…】   (2018/8/9 12:26:23)

竹井 久> 【フリーダイヤルかしら？最近のフリーダイヤルは殆ど通販よ】   (2018/8/9 12:26:53)

竹井 久> 【私は無視してるわ】   (2018/8/9 12:27:13)

桂ヒナギク> 【なるほど…気をつけます。続けていい？】   (2018/8/9 12:27:31)

竹井 久> 【ええ。お願いするわ。／まあ、クレジットもフリーダイヤルなんだけど伝言残すからこれも無視して大丈夫よ】   (2018/8/9 12:28:47)

桂ヒナギク> まだやるのね…////いいわよ…/////(下から突き上げられるような形になり)【ありがとう。迷惑かけてごめんなさい。分かったよ】   (2018/8/9 12:30:07)

竹井 久> フフ…ヒナギクの中にたくさん出しちゃうわよ？(言いながらヒナギクの身体を上下に揺さぶって下から突き上げていくと厭らしい音が部屋に響いていって)【大丈夫よ。私もたまにレス遅れるわ】   (2018/8/9 12:33:27)

桂ヒナギク> いいよ…////んんっ…////あっ！:///す、凄い…♡(2回も出されて相当敏感なのかより声を漏らして、上下に揺さぶられながら厭らしい音が全体に響き)   (2018/8/9 12:37:18)

竹井 久> ヒナギクの中もスゴく良いわよ？ハァ…おちんちんが直ぐに堅くなるわ(ヒナギクを上下に揺さぶっては下からおちんちんを強く突き上げて行くわ。繋がってる所から愛液が溢れてくるわね)   (2018/8/9 12:46:52)

おしらせ> 滞在時間が360分を超えたため、竹井 久さんが自動退室しました。  (2018/8/9 12:46:52)

おしらせ> 竹井 久さんが入室しました♪  (2018/8/9 12:47:31)

竹井 久> 【もうそんなに居たのね(笑)】   (2018/8/9 12:47:55)

桂ヒナギク> 好きなだけ味わって…//////ああっ…////(涙目になりつつも上下に腰を振られて深くまで突き上げられてしまい、さらにおちんちんの隙間から愛液がもれて)   (2018/8/9 12:49:51)

竹井 久> ん…んん…ヒナギク…いっぱい喘いでちょうだい？(下からおちんちんが荒々しく子宮を突いていきズチュズチュ音が大きく厭らしく聞こえてくるわよ)   (2018/8/9 12:52:32)

桂ヒナギク> ん、んん！////そ、そんな事言わないでっ…////あっ…///はぁっ…////(下から荒々しく突かれる度に厭らしく水音を立て、目がハートになりそうなほど気持ちよくて)   (2018/8/9 12:55:25)

竹井 久> ほら、ほら。ヒナギクも腰を振ってちょうだい？私の突きに合わせて振るのよ？(ヒナギクの子宮を激しく突きながら腰を振るように促して手を伸ばすと両手でヒナギクの胸を掴んで荒々しく揉むわよ)   (2018/8/9 12:58:28)

桂ヒナギク> ああっ！…////んんっ…///♡わ、分かったわ♡…////もっと気持ちよくなりたいっ…♡(荒々しく胸を揉まれながらも久の動きに合わせて腰を振る)【ご飯だから落ちるわね】   (2018/8/9 13:02:21)

竹井 久> ええ…気持ち良くなりましょう？(胸を揉みながら頷いて激しく突き上げてはヒナギクの子宮をガンガン突き上げていくわ)【分かったわ】   (2018/8/9 13:09:16)

桂ヒナギク> ああっ…♥子宮まで来てるぅぅぅっ♡…///可笑しくなりそう…/////(胸を揉まれながら子宮を突き上げられると潮を吹いて絶頂してるのが分かる)   (2018/8/9 13:13:59)

竹井 久> 子宮に深く入って行くのが分かるわ。ヒナギクも分かるわよね？(子宮を激しく突きながらヒナギクに聞いてみるわ。おちんちんが射精したくなってビクビク震えているわ)   (2018/8/9 13:16:32)

桂ヒナギク> うんっ////わかるっ…/////また出そう…////ああああっ…/////(腰を振りながら先走り汁や潮や愛液が混じって匂いをたたせながら射精しそうなおちんちんを締め付けて)   (2018/8/9 13:22:42)

竹井 久> 私も出そうよ！ヒナギク！たくさん子宮で飲み込んでちょうだい！(言いながらヒナギクの子宮に向けて激しく突いてビクビク震えると子宮に向けて射精するわ)   (2018/8/9 13:29:19)

桂ヒナギク> ええっ…////ああっ♡♡♡入ってるぅぅうううう…////♡(腰をガクガクさせて子宮に向けて3度目の射精をされてこちらも潮や愛液を吹いてしまい)   (2018/8/9 13:32:04)

竹井 久> ん…んん…ヒナギク…いっぱい精子を注いだわ。これで確実に孕んじゃうわね？(なんて言いながら子宮におちんちんを突き込み精子がヒナギクを孕ませる様に擦り付けていくわ)   (2018/8/9 13:35:24)

桂ヒナギク> そうね…♡孕ませたんだから責任取りなさいよ？…♡(擦り付けられて中に精子が入るのを感じてしまい)   (2018/8/9 13:38:22)

竹井 久> フフ…それじゃ私の家の看板に書き込もうかしら？(何度も念入りに擦り付けて精子が子宮の中をまんべんなく付いていくわ。孕むのは確実になりそうね)   (2018/8/9 13:40:36)

桂ヒナギク> それがいいと思う…////(子宮の中に精子がまんべんなくつき)   (2018/8/9 13:42:54)

