/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月04日 21時56分 ～ 2023年03月05日 14時43分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

京町セイカ> えーっと…話題もないし、自己紹介でもする？   (2023/3/4 21:56:01)
白金燐子> そういえばそういうかたでしたね...(性欲に忠実なお方でしたね確か)   (2023/3/5 02:54:55)

犬走椛> 金の暴力は羨ましいです…。ノーチの火力でも、リダフレ打たないとボスの最終形態、一撃で半分まで持ってけないんですよねぇ…   (2023/3/5 02:55:02)

犬走椛> おや、私の本性がバレている……。羊の皮は被ったつもりだったのに…   (2023/3/5 02:55:52)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ノーチが弱すぎるんじゃないんだよなぁ。ウルトナ基準でダンジョン作るからいけないんだよ。   (2023/3/5 02:56:28)

白金燐子> 1回あった方のことは記憶する方のタイプなので...   (2023/3/5 02:57:27)

犬走椛> ノーチはL字がキツイんですよ…。副属性の火力がめっぽう出しづらいのが欠点です…。L字は幅を取るので、トゲドロのせいでホントに組めませんし……。副属性出せないせいでワンパンが極端にキツく…   (2023/3/5 02:58:14)

犬走椛> しばらく会わないと記憶が定着しにくいのです……。年は取りたくないものですね…   (2023/3/5 02:58:57)

白金燐子> あの時は確か私(違うキャラ)とひとりさんとゆかりさんがいましたね...はい...   (2023/3/5 02:59:57)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> もうちょいさ、「環境最新キャラ基準」じゃなくて、少し前の環境基準で作れば面白いのによ~。例えば今なら、強化前ロボ基準、みたいな？ほら。前、ロボ使ってた人が無数にいた訳で、そんな人達でも頑張れば行ける。みたいなとこ作れば楽しそー。って思う
  (2023/3/5 03:00:10)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> L字とウェイの根本的な強み弱みってそこに出るよな   (2023/3/5 03:00:46)

犬走椛> あぁ、ccされてるのですか。道理で記憶がないものです…   (2023/3/5 03:00:54)

白金燐子> あの時はついなちゃんだったかなぁ...覚えてる限りだと...   (2023/3/5 03:01:35)

犬走椛> ロボの覇権は消えかかってますしねぇ…。Ｌ字のキツイところは、アシストの少なさ、火力の出無さ、組みづらい上に場所を取る。ウェイは数で補えるし、アシストも優秀なのがあったり…。ホントに運営はＬ字の火力上げませんか…？   (2023/3/5
03:03:03)

犬走椛> Ｌ字の火力と組みづらさ、スペースが割に合わないのです……   (2023/3/5 03:03:52)

白金燐子> (ねむねむ)   (2023/3/5 03:04:22)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ロボの覇権が消え去るのはやすぎなんだよ。1年持たなかったじゃん………。Lって今何倍だっけ。2.2とかだっけ…？3倍くらいにしたら面白いと思うし、あとはあれか、キャラの少なさよな。   (2023/3/5 03:04:35)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> (よしよし。頭なでぇり   (2023/3/5 03:04:40)

犬走椛> ccはされても意外とわかる人と、ホントにわからない人が居ます…。分からない人はかなりなるのが上手い人で、わかる人はその人の色が個性的な人ですね   (2023/3/5 03:05:16)

白金燐子> んゆっ(ふにゅう)   (2023/3/5 03:05:27)

犬走椛> 2.2倍ですねぇ…。うーん…微妙い…   (2023/3/5 03:06:17)

白金燐子> 私は前者ですかね...なりきってわかりにくいって人は多々いたりします...(こくっ）   (2023/3/5 03:06:28)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 2.2だよなぁ……うぅむ。もう少し倍率欲しいな   (2023/3/5 03:07:17)

白金燐子> さすがに眠くなってきたねよう確実に昼まで寝るけどいたしかたなし...では、おやすみなさい...(すやぁ   (2023/3/5 03:08:39)

おしらせ> 白金燐子さんが退室しました。  (2023/3/5 03:08:43)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> おやすみ~っ   (2023/3/5 03:08:50)

犬走椛> ウェイは1.6ですが……Ｌ字2個組むよりウェイ3つのほうが良さそうな……。おやすみなさいです   (2023/3/5 03:09:05)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ウェイは組みやすいってのがあるしなぁ   (2023/3/5 03:09:38)

犬走椛> 次条づつされていくことを考えると、沢山組めるほうが十強の恩恵を受けやすいかと……。   (2023/3/5 03:10:37)

犬走椛> 組みやすいと言うのは時短にも繋がるので……。そこを鑑みればかなりウェイのほうが優秀な気がします…   (2023/3/5 03:11:25)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ウェイは最近推されてるってのもあるしなぁ。   (2023/3/5 03:12:03)

犬走椛> かなりキツイですよねぇ……凶兆は諦めましょうか…   (2023/3/5 03:12:48)

犬走椛> 私の建てたオプチャでも、クリア報告が僅か数件ですし…。周回してたのは実況者さんの動画に乗るくらいの猛者さんでしたからねぇ…   (2023/3/5 03:13:55)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> だよなぁ。ボーダー高すぎんのよ……   (2023/3/5 03:15:24)

犬走椛> 今回はトゲが一番ヤバいです。何がヤバいってもう…単体でも害悪なのに、ルーレットと混ざると凶悪度が……   (2023/3/5 03:16:11)

犬走椛> しかもあれ、目覚めで付くんですよね…。目覚め耐性も実装すべきだった気がします…。   (2023/3/5 03:17:00)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 体力持ってく割合もキモイじゃんあれ。   (2023/3/5 03:17:36)

犬走椛> あれ、どんな計算で持ってかれるんですか、？余りそこは調べず蓋をしてたのですが…   (2023/3/5 03:18:34)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 1回動く度に4%。あの釘の4倍が自分に降かかる。累加算系だし   (2023/3/5 03:20:13)

犬走椛> うーん…詰みですねぇ…。釘ドロの凶悪さと比べても…%計算はキツいです…   (2023/3/5 03:21:44)

犬走椛> 運営は一度常闇さんの動画を見てもらいましょう…。割合ダメの凶悪さがよく分かります…   (2023/3/5 03:22:30)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> エグすぎ。毒はまだ結構優しい計算式になってるっぽいけど   (2023/3/5 03:23:03)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> あれはやばいよまじで   (2023/3/5 03:23:12)

犬走椛> 1つ2つじゃ無いですから……。かなり降ってくる上に、ノーチだとあこからＬ字です…。時間が足りません…   (2023/3/5 03:24:35)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 時間もHPも足りない、よなぁ   (2023/3/5 03:24:54)

犬走椛> 全く足りませんね…。ボス階層で回復無しでツーパン耐えないと五十%ワンパン出来ません…   (2023/3/5 03:25:53)

犬走椛> 鬼畜の所業です…   (2023/3/5 03:26:05)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> うぁ~。マジで運営やってるなぁ、それ   (2023/3/5 03:26:18)

犬走椛> エクシアを編成に突っ込んでこれです。リダフレ同時スキルはほぼ必須かと…   (2023/3/5 03:28:11)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> エクシア詰め込んでこれかぁ。格差酷いな、うん   (2023/3/5 03:28:50)

犬走椛> トゲが降ってるせいでＬ字組むとワンパンが耐えられなかったりするんですよね……。ゴリゴリ削れるので…   (2023/3/5 03:29:01)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> トゲ害悪すぎる、なぁ……   (2023/3/5 03:29:20)

犬走椛> ですね…。因みにこれ、超重力で火力200分の1なんですよ…（遠い目）   (2023/3/5 03:30:15)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> しってるぅ。あっあ……ぅ   (2023/3/5 03:32:10)

犬走椛> おかしいですねぇ…ほんと…。エクシア、ハロチャコル、王騎、コンラート詰めてるんですよ…？その上でかなり辛いって…   (2023/3/5 03:34:16)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 結構理想編成……うぁぁ。ほんと、うあぁ   (2023/3/5 03:37:30)

犬走椛> アマツ武器無いだけで、こんだけ苦しいんですよね……   (2023/3/5 03:38:12)

犬走椛> もう辛すぎて瀕死です…   (2023/3/5 03:38:31)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> アマツ結構有用だよねぇ   (2023/3/5 03:40:28)

犬走椛> 昔はHPで使われてたんですけど…。モンハン復刻の際には既にHP3盛り武器はありましたしスルーしたんですよ…。まさかL字が……   (2023/3/5 03:41:47)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> あのL字地味に強すぎる   (2023/3/5 03:43:00)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> あれ、あの武器ってHP2じゃない？   (2023/3/5 03:43:28)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 3盛りじゃなかった気がする   (2023/3/5 03:43:41)

犬走椛> L字2つ積めないと火力出せませんし…。そうなんですよねぇ…2つでしたから、スルーしたんです…。3つのほうが使えますし…。今回L字2つでHP盛り武器としてぶっ刺さったんですよね…   (2023/3/5 03:44:31)

犬走椛> もはやクリティカルです…   (2023/3/5 03:44:58)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> L2HP2ってあとプリムしかないしねぇ……。正直HPは2と3てあんまり大差ないと思ってる。割とどこでも盛れちゃう覚醒だから~。   (2023/3/5 03:46:24)

犬走椛> ガヴリールさんは、もしかして激減系は余り使わなかったりします、？   (2023/3/5 03:48:03)

犬走椛> リダスキがHP増加じゃなくて高軽減率の   (2023/3/5 03:48:56)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> いや~？むしろそっちの方が使ってたりする~。   (2023/3/5 03:51:27)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> アルジェキティやら、ダイフェノン。まぁ多色寄りだけどかなり使ってるぞー   (2023/3/5 03:52:23)

犬走椛> ゴリゴリ多色ですね…。私も多色揃いですが…。激減系だと、HPの増加ってもろに響くじゃないですか。だから意外と5%ってデカく感じるんですよね   (2023/3/5 03:53:41)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 今は多色はやってないからあれだけど、あの頃のダンジョンってダメージボーダーあんまり高くなかったからさ、1個くらいなら抜いても行けたんだよね…。それこそリーベとか、ハロドゥルガーとかで軽減ループ入れたらもっと楽にもなったし…。
  (2023/3/5 03:55:17)

犬走椛> 今は軽減ループは必須です……   (2023/3/5 03:56:02)

犬走椛> その上、HP盛りつつ必要なギミック対策をアシストで補うという…   (2023/3/5 03:56:25)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> でもまぁ多色でもハロチャコル普通に入れてたけどねぇ   (2023/3/5 03:57:34)

犬走椛> ハロチャコルは、暗闇と操作不可を対策できる上に、スキブまで盛れる軽減ループですから…（こう羅列してみると有能すぎですね）   (2023/3/5 03:59:21)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> あと火力もでるっ   (2023/3/5 04:02:54)

犬走椛> 昔はあれがトップレベルの火力枠でした。今は言わずもがな…   (2023/3/5 04:03:37)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 今も十分でるよー   (2023/3/5 04:08:06)

犬走椛> 超重力で考えると駄目ですね…   (2023/3/5 04:12:52)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> たしかにぃ   (2023/3/5 04:16:46)

