/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月21日 18時22分 ～ 2023年03月24日 01時14分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

クレー> 食べにくいからとか？>ひとりお姉ちゃん   (2023/3/21 18:22:29)
おしらせ> 後藤ひとりさんが入室しました♪  (2023/3/21 20:14:17)

後藤ひとり> こんばんは……少しだけお邪魔します……   (2023/3/21 20:14:26)

桐ヶ谷直葉> わっ。初めましてー！こんばんはー！   (2023/3/21 20:15:14)

後藤ひとり> はい、あ、ご、後藤ひとりです、よろしくお願いします……結束バンドというバンドのギター役です…   (2023/3/21 20:16:34)

桐ヶ谷直葉> あ、桐ヶ谷直葉です！…えーっと、ただの一般高校生、です、あはは……。よろしくお願いします、ひとりさんっ。   (2023/3/21 20:17:08)

後藤ひとり> 直葉さんですね……あ、いえいえ可愛くて美人さんな時点で一般では無いですよ……   (2023/3/21 20:18:58)

桐ヶ谷直葉> かわいくて美人さん！？ひとりさんもすっっ…ごくかわいいですけどね！？…というか口説かれた気分です、あはは…(にへ)   (2023/3/21 20:19:56)

後藤ひとり> あ、いや私は素直な感想を……、私は普通です……陰キャだし根暗だし………。あ、いやだったらすいません……   (2023/3/21 20:21:05)

桐ヶ谷直葉> 全然嫌じゃないですよ、すっごく嬉しいです！…そ、そうかなぁ…？こんなにかわいいのに…絶対クラスの男子とか好きですよ…！(じーっ。)   (2023/3/21 20:23:42)

後藤ひとり> 良かった……あ、いや……私……ぼっちで……クラスの人と話したことろくになくて……(見つめられると思わず目逸らし)   (2023/3/21 20:24:34)

桐ヶ谷直葉> クラスの人と話したことない…！？じゃあ、その話したことない分、あたしがひとりさんと話します…！(謎理論吹っ掛けながらずい、と距離詰め)   (2023/3/21 20:25:20)

後藤ひとり> あ、は、はい！是非とも……ここでならまだお話しやすいので……//(距離近いなぁと恥ずかしがりつつも見つめ)   (2023/3/21 20:26:20)

桐ヶ谷直葉> あたしもちょっと分かります、なんか居心地いいですよね、えへへ……。あ、近すぎましたか？つい、女の子同志だからと思って…。(あは、)   (2023/3/21 20:27:23)

後藤ひとり> かわいい女の子いっぱいだし……。あ、いいと思います……///少し恥ずかしいですが……////(改めて可愛い顔を見つめつつ照れて)   (2023/3/21 20:28:38)

桐ヶ谷直葉> かわいい女の子って癒されますよね、分かります…。は、恥ずかしいだけなら～、えへへ…。(遠慮なく近付いてはにまー。)   (2023/3/21 20:31:16)

後藤ひとり> それだけで心がホンワカと……。きょ、距離近いです……////悪い気はしないけど////(顔が真っ赤になって)   (2023/3/21 20:32:36)

後藤ひとり> 【あ、す、すいません少し呼ばれたので少しだけ離脱を…】   (2023/3/21 20:33:05)

桐ヶ谷直葉> 分かります、なんだろ…花園に足突っ込んでる、みたいな？　悪い気しないならそばにいまーす…！えっへへ…！(顔を真っ赤にする相手を微笑ましそうに眺め)【はーい、いってらっしゃい！】   (2023/3/21 20:34:07)

おしらせ> 絹川みちほさんが入室しました♪  (2023/3/21 20:37:16)

絹川みちほ> こんばんはー   (2023/3/21 20:37:29)

桐ヶ谷直葉> こんばんはー、はじめまして、ですね！いらっしゃいませー！   (2023/3/21 20:38:02)

桐ヶ谷直葉> …いらっしゃいませっていうとあたしの場所みたいだな…！？(はっ。全然そう言うことではない。)   (2023/3/21 20:38:21)

絹川みちほ> はじめまして。いいんじゃないですか？挨拶の一つなんですからー   (2023/3/21 20:39:13)

絹川みちほ> 私は絹川みちほです。よろしくお願いしますね   (2023/3/21 20:39:46)

桐ヶ谷直葉> そ、それもそうだね！なんか自分でツッコミ入れちゃった……！　あたしは、桐ヶ谷直葉です、よろしくお願いしますッ。   (2023/3/21 20:40:01)

後藤ひとり> あ、は、はい……花園です……天国です………改めて見ると綺麗ですね……///(顔は真っ赤だけど直葉さんの顔を見てにへっと)   (2023/3/21 20:41:28)

後藤ひとり> あ、こ、こんばんは   (2023/3/21 20:41:34)

絹川みちほ> でも、たしかに「はっ！」となっちゃいますよね。わかりますよ。…直葉さんですね、よろしくお願いしますね。   (2023/3/21 20:42:47)

桐ヶ谷直葉> 天国…！確かにそれもそうかも…？じゃあ、天国度をもっとあげたーいっ。なーんて、…抱き着くのはセーフですか…？(両手を広げながらも、笑みを浮かべる相手に、)　き、綺麗って言われちゃった…。   (2023/3/21 20:42:53)

桐ヶ谷直葉> そうなんですよ、ちょっと図々しかったかも！みたいな…！はいっ、よろしくお願いします、みちほさんっ。…仲良くしましょう！(えへへ、)   (2023/3/21 20:43:23)

絹川みちほ> こんばんは、ひとりちゃん。   (2023/3/21 20:43:38)

後藤ひとり> この世の天国……死んでませんけど……は、はいっ抱きつくくらいなら何時でも……(緊張するけどばっと直葉さんにハグして)   (2023/3/21 20:43:47)

後藤ひとり> こんばんは……は、恥ずかしいところをお見せしてすいません……   (2023/3/21 20:43:57)

絹川みちほ> でも私は親しみがあっていいと思うよー、だからあんまり気にしなくていいと思うな。えへへ、仲良くしてね、直葉ちゃん   (2023/3/21 20:45:48)

桐ヶ谷直葉> でも気持ちは分かりますよー。…わぁ、えへへ、嬉しいですっ。いいにおいがする…っ。(ぎゅ～♡嬉しそうに相手の背中に手を回して)   (2023/3/21 20:46:13)

桐ヶ谷直葉> …ってもしかして、あたし達同い年くらいかな…じゃあ、あたしもタメ口で。もちろん！色んな人と仲良くしたいんだ、(あは)   (2023/3/21 20:46:42)

絹川みちほ> ふふっ、私は大丈夫だよ？ひとりちゃん   (2023/3/21 20:46:49)

後藤ひとり> 私もいい匂いが………シャンプーの匂いかな………(抱きつかれて直葉さんの体にもたれかかって温もりを感じて……)よ、良かったです…   (2023/3/21 20:48:17)

絹川みちほ> 多分大体一緒だと思うよー。そして、ここにいる私達は皆、何処とは言わないけどおっきいね……♪   (2023/3/21 20:48:42)

桐ヶ谷直葉> シャンプーですかね、あはは……お風呂上りなので……。(ぎゅーっと抱きしめては優しく背中を撫で、)   (2023/3/21 20:50:52)

桐ヶ谷直葉> お、おおきい…確かに、胸が大きい人がい……。ってつい見ちゃった！見ていいのかな、これ！？(そのままみちほさんの胸を流れるように見ながらもぶんぶん首を振って)   (2023/3/21 20:51:33)

後藤ひとり> 私もさっきお風呂でした……いい匂いですね……(そのまま肩に甘えるように顔をすりすりと)   (2023/3/21 20:51:55)

後藤ひとり> 大きいですね……みちほさんも……直葉さんも   (2023/3/21 20:52:03)

絹川みちほ> ふふっ、大丈夫だよ？私が、直葉ちゃんもひとりちゃんもあたしも大きいって言い出したんだし？（ふふっと笑いながら、二人を微笑ましく見ていて）   (2023/3/21 20:53:35)

絹川みちほ> ひとりちゃんも大きいね   (2023/3/21 20:53:50)

桐ヶ谷直葉> えへへ、…じゃあ、ひとりさんもあとは寛ぐだけだー。(すりすりされては嬉しげにこちらも頬を摺り寄せ。)   (2023/3/21 20:54:05)

後藤ひとり> わ、私は普通くらいです……アニメだとナーフされてるし……   (2023/3/21 20:54:34)

桐ヶ谷直葉> ……や、やっぱり胸を見すぎるのはよくないような…？いや、女の子同士だもん、セーフだよね！　   (2023/3/21 20:54:50)

後藤ひとり> ですね……寛ぎます……あ、癒される……♪(ポワントした顔で頬ずりして)   (2023/3/21 20:54:55)

後藤ひとり> ここで胸のお話はあるあるかと……   (2023/3/21 20:55:03)

絹川みちほ> え？ナーフされてるの？タピオカドリンクが乗るくらいなひとりちゃんのおっぱいが？   (2023/3/21 20:55:43)

後藤ひとり> アニメだと……   (2023/3/21 20:56:36)

桐ヶ谷直葉> あたしも癒されてる～。やっぱり抱きしめ合うのっていいですね…！(えへへ、と嬉しげに笑み浮かべて、)   (2023/3/21 20:57:23)

桐ヶ谷直葉> タピオカドリンクが乗ったら普通に大きいですよ…！(/)   (2023/3/21 20:57:54)

絹川みちほ> セーフセーフ。セーフだよ直葉ちゃん   (2023/3/21 20:58:19)

後藤ひとり> ハグは暖かいですよね……はい……///(抱き合いながら密着して温もりを感じ)   (2023/3/21 20:58:45)

絹川みちほ> そうなんだ…ちょっとショックだなあ…   (2023/3/21 20:58:56)

後藤ひとり> あ、端末だけ変えますね   (2023/3/21 20:58:57)

おしらせ> 後藤ひとりさんが退室しました。  (2023/3/21 20:59:00)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/3/21 20:59:11)

後藤ひとり> か、悲しくは…   (2023/3/21 20:59:28)

桐ヶ谷直葉> 夏だとしてもあたしはハグしたいですけどね…！(ふふふ、と何故か得意げにしつつ、此方も温もりに嬉しげに)   (2023/3/21 20:59:53)

後藤ひとり> ですね……夏でも癒されたいですから……(抱きしめながらもニコッと笑い)   (2023/3/21 21:02:25)

絹川みちほ> だってひとりちゃん、アニメとかゲームだと大抵盛るから…   (2023/3/21 21:02:54)

絹川みちほ> ふふっ、二人とも尊いね   (2023/3/21 21:03:08)

後藤ひとり> 盛られるんですか！？   (2023/3/21 21:03:10)

絹川みちほ> その傾向は多いよ？もちろん、もとからスタイルがいいキャラだけどね   (2023/3/21 21:03:45)

後藤ひとり> な、なるほど…   (2023/3/21 21:04:16)

桐ヶ谷直葉> みちほちゃんもいっしょに来るー？三人で抱きしめ合うのもいいと…あたしは思う！(ぐぐっ。)   (2023/3/21 21:05:50)

絹川みちほ> そう、たがらナーフされたのが私は残念なんだ…   (2023/3/21 21:05:56)

おしらせ> 無名さんが入室しました♪  (2023/3/21 21:06:15)

桐ヶ谷直葉> ひとりさんの胸目的でアニメ見ようかな…   (2023/3/21 21:06:22)

桐ヶ谷直葉> こんばんはーっ。はじめましてー！   (2023/3/21 21:06:33)

無名> こんばんは〜   (2023/3/21 21:06:36)

後藤ひとり> 1クールなので見やすいかと……   (2023/3/21 21:06:53)

絹川みちほ> いいのかな？直葉ちゃん、ひとりちゃん   (2023/3/21 21:06:54)

絹川みちほ> こんばんは   (2023/3/21 21:06:56)

後藤ひとり> 荒らしかと思いました……()   (2023/3/21 21:07:00)

絹川みちほ> 私はホラーゲーム出身だけどね(汗)   (2023/3/21 21:07:08)

絹川みちほ> うん、一瞬びっくりしたよ(汗)はじめまして   (2023/3/21 21:07:22)

桐ヶ谷直葉> ひとりさんがいいならっ。どう…かな？ひとりさん、(ちらちら、)   (2023/3/21 21:07:24)

桐ヶ谷直葉> あたしもちょっとびっくりしたけどみんな同じだった…()   (2023/3/21 21:07:36)

無名> あ、荒らしとかじゃないよ…（汗汗）安心して   (2023/3/21 21:07:40)

桐ヶ谷直葉> そっか、まだまだ1クールなんだね、ぼっちざろっく…！   (2023/3/21 21:07:58)

後藤ひとり> ハグするなら歓迎です……はい。2期はまだ…   (2023/3/21 21:08:29)

後藤ひとり> よかったです   (2023/3/21 21:08:35)

絹川みちほ> しらべてみたけど可愛いね、無名さん   (2023/3/21 21:08:58)

無名> え？本当？ありがと〜皆怖がるからそう言ってもらえると嬉しいよ   (2023/3/21 21:09:20)

桐ヶ谷直葉> 二期もすぐに来そうだよね…！じゃあ、ハグしよう…！(にしし、)   (2023/3/21 21:10:09)

桐ヶ谷直葉> 無名さん、かっこよかった…。(   (2023/3/21 21:10:21)

後藤ひとり> かっこよい……   (2023/3/21 21:11:03)

無名> ちょっと！？好評なんだけど…来てよかった…   (2023/3/21 21:11:22)

後藤ひとり> その点SAOは人気ですよね…   (2023/3/21 21:11:26)

おしらせ> 大道寺きら ◆i6fJKa45IIさんが入室しました♪  (2023/3/21 21:11:29)

大道寺きら ◆> 邪魔するぞ？（スライムに乗って中へ入り）   (2023/3/21 21:11:57)

桐ヶ谷直葉> ま、まぁ、良くも悪くも有名だよね～、って感じだなぁ……。えへへ、作品の話になるとは…。(にへら、)   (2023/3/21 21:12:08)

桐ヶ谷直葉> あー、きらちゃんだ！また会えて嬉しいな、こんばんはー！(ひらひら、)   (2023/3/21 21:12:21)

絹川みちほ> こんばんは   (2023/3/21 21:12:52)

無名> こんばんはー   (2023/3/21 21:13:02)

後藤ひとり> 悪くも！？……あ、こんばんは   (2023/3/21 21:13:04)

絹川みちほ> ひとりちゃんと直葉ちゃんのとこ行こ   (2023/3/21 21:13:04)

桐ヶ谷直葉> おいでおいで、みちほちゃん！(手招き、)   (2023/3/21 21:13:22)

大道寺きら ◆> 直葉またあったな（スライムから滑り降りて）   (2023/3/21 21:13:28)

桐ヶ谷直葉> いやぁ、あたし達はともかくお兄ちゃんの異名…が…？(たは、)   (2023/3/21 21:13:52)

桐ヶ谷直葉> きらちゃんも覚えててくれてあたしすっごく嬉しいよ！(てて、と近付いては笑い掛け、)   (2023/3/21 21:14:11)

後藤ひとり> あ、そ、そういう事でしたか……   (2023/3/21 21:14:40)

おしらせ> 中野一花 ◆WY5HuZnICQさんが入室しました♪  (2023/3/21 21:14:44)

後藤ひとり> あ、こんばんは   (2023/3/21 21:15:06)

無名> こんばんは。お、満席！めでたいね   (2023/3/21 21:15:08)

桐ヶ谷直葉> こんばんはー、一花さんっ。   (2023/3/21 21:15:40)

大道寺きら ◆> 邪魔しているぞ？＞一花　まだあって２回目なのに随分嬉しそうだな＞直葉   (2023/3/21 21:15:43)

中野一花 ◆> やっほ〜♪みんなこんばんは〜♪   (2023/3/21 21:16:18)

桐ヶ谷直葉> そうそう、そういうこと。…ぼっちざろっくの曲とかも色々聞いてみたいんだよね…。(むむ。)   (2023/3/21 21:16:27)

桐ヶ谷直葉> だって、二回目に会えたのきらちゃんが初めてだからね！(にひひ、)　＞きらちゃん   (2023/3/21 21:16:45)

後藤ひとり> こんばんはです。聞くのはありですね……それだけならYouTubeで何時でも…   (2023/3/21 21:17:15)

絹川みちほ> こんばんは   (2023/3/21 21:17:17)

大道寺きら ◆> そうなのか？既に何人かあっているとは思っていたが   (2023/3/21 21:19:20)

絹川みちほ> 直葉ちゃんとひとりちゃんの所とうちゃーく   (2023/3/21 21:19:39)

桐ヶ谷直葉> ギターと孤独と蒼い惑星って曲だけ前に聞いたんだけど、これそのまま気に入ってたかも…。(ふむ、)   (2023/3/21 21:19:46)

後藤ひとり> あ、それ私も好きです…   (2023/3/21 21:20:06)

桐ヶ谷直葉> 実はあたし全然来れてなくてさ…今日来たのもあの日以来二日目？なんだよね。もっと来たいなぁ……。　＞きらちゃん   (2023/3/21 21:20:16)

桐ヶ谷直葉> じゃあ、みちほちゃんをぎゅーっとしちゃいます！ぎゅーっ。(たどりついた相手を巻き込み、みちほちゃんとひとりさんをぎゅーっと抱きしめて)   (2023/3/21 21:20:52)

後藤ひとり> 3人なら尚更ホカホカですね……♪(2人をまとめて抱きしめて)   (2023/3/21 21:21:14)

大道寺きら ◆> なるほどな・・・まぁ私でよければすきにしてもらってもかまわんぞ？（ソファーに寝てセクシーな脚を横に並べて）   (2023/3/21 21:22:23)

桐ヶ谷直葉> お、そんなこと言うと抱きしめちゃうぞ…！(分身してないかというつっこみはさておき。じりじりと相手に近付いて、)   (2023/3/21 21:23:05)

絹川みちほ> 暖かいなあ…♪   (2023/3/21 21:23:23)

中野一花 ◆> ぉぉう…？お姉さん、どうしたらいいか困っちゃうなぁ…   (2023/3/21 21:23:28)

絹川みちほ> 一花ちゃんも混ざる？   (2023/3/21 21:23:47)

無名> 私のとこ空いてるよ〉中野一花   (2023/3/21 21:23:52)

後藤ひとり> 一花さんの入りたい所へ…   (2023/3/21 21:23:58)

桐ヶ谷直葉> はい、みんなで抱き着くの賛成でーす！   (2023/3/21 21:24:16)

大道寺きら ◆> 私も混ざるのか？（ツンデレ気味に答えるが結局直葉の隣に来て）   (2023/3/21 21:25:14)

桐ヶ谷直葉> 混ざろう、きらちゃんもっ。(なでなでと頭を撫でながらきらちゃんも巻き込んで抱きしめ、)   (2023/3/21 21:25:48)

中野一花 ◆> いいよいいよ〜お姉さんは此処で見てるからさ♪   (2023/3/21 21:26:47)

無名> せっかくいるんだし楽しもうよ〜   (2023/3/21 21:27:10)

絹川みちほ> 無名さんも、ね？   (2023/3/21 21:27:22)

無名> 私も混っちゃってもいいの？   (2023/3/21 21:27:48)

大道寺きら ◆> （頭をなでられ少しずれたスク水の尻部分が無防備になって）おおう！   (2023/3/21 21:28:02)

中野一花 ◆> 人だからはあんまり得意じゃないからさ…(そろっと視線を逸らしつつ…無名ちゃんの背中をトントンと押して)ほらほら！お姉さんのところよりも向こうのあったかい所に行きなよ〜♪   (2023/3/21 21:29:36)

桐ヶ谷直葉> ……きらちゃん、ちょっとえっちなことになってる……！(相手の臀部部分に気が付いてしまってはわたわたと指摘し)   (2023/3/21 21:30:08)

無名> んぅん…（ちょっと暫し考えてみて…）分かった！じゃあ私は向こうの方行ってくるからその気になったらこっちへ来てね（向こうの方へと行く）   (2023/3/21 21:30:45)

中野一花 ◆> はいは〜い…♪   (2023/3/21 21:30:59)

絹川みちほ> 一花ちゃんも来てほしいな   (2023/3/21 21:31:12)

大道寺きら ◆> 今日は私の誕生日だから多少サービスはしてやらんことも・・・   (2023/3/21 21:32:16)

絹川みちほ> きら様、誕生日おめでとう〜   (2023/3/21 21:35:32)

無名> おめでとう〜   (2023/3/21 21:35:49)

大道寺きら ◆> どうもな二人とも？   (2023/3/21 21:36:00)

桐ヶ谷直葉> きらちゃん誕生日だったの！？おめでとうっ。っていうかサービスされる側じゃない？何でも言ってよ、キスでもなんでもしてあげるから！(あは、)   (2023/3/21 21:36:33)

大道寺きら ◆> そうだな・・・足を舐めろ！話はそこからだ！（びしっ！）   (2023/3/21 21:37:48)

桐ヶ谷直葉> 足舐め！？いきなりSMプレイが始まった！？(がんっ！)   (2023/3/21 21:38:21)

中野一花 ◆> お姉さんは此処で良いんだよ〜…。   (2023/3/21 21:40:34)

大道寺きら ◆> どうする？無理にとはいわんが   (2023/3/21 21:42:20)

絹川みちほ> そう？一花ちゃん   (2023/3/21 21:42:21)

桐ヶ谷直葉> …し、仕方ないな……。舐めるよ……誕生日だしね、(かがみこんでは相手の足を両手で抱え、舌を這わせて)   (2023/3/21 21:43:24)

大道寺きら ◆> うむ、以外と素直に舐めたものだな？（直葉の頭をなでていって）   (2023/3/21 21:44:36)

中野一花 ◆> わ〜お…♪   (2023/3/21 21:46:22)

桐ヶ谷直葉> ……ま、まぁ、ちょっと恥ずかしいけど、意外とやればなんとか…。な、なんか犬扱いされてる気がする～…！？(そっと口を離しては、撫でられることに謎に驚きを)   (2023/3/21 21:47:25)

絹川みちほ> 直葉ちゃん、すごい   (2023/3/21 21:47:30)

桐ヶ谷直葉> 足を舐めただけだが…？みたいな状況になってるよ、あたし…！   (2023/3/21 21:47:59)

大道寺きら ◆> そういわれると罪悪感を感じるな・・・そのぐらいでいいだろう   (2023/3/21 21:49:02)

桐ヶ谷直葉> よし、きらちゃんの謎に足を舐められたいというお願いを叶えたよ…！(ててん、)   (2023/3/21 21:49:37)

中野一花 ◆> 足舐めはさせる側かなぁ…   (2023/3/21 21:49:43)

桐ヶ谷直葉> 一花さん、させる側なんだ……   (2023/3/21 21:49:58)

大道寺きら ◆> 攻め側か？   (2023/3/21 21:50:15)

絹川みちほ> 一花ちゃん、意外   (2023/3/21 21:51:00)

大道寺きら ◆> 何か引っかかるがまぁいいだろう   (2023/3/21 21:51:11)

桐ヶ谷直葉> きらちゃんはSだったということをあたしは胸に刻み込んだ…   (2023/3/21 21:52:13)

中野一花 ◆> え〜？だってさせる側なら楽しいじゃん♪   (2023/3/21 21:52:58)

大道寺きら ◆> フッお察しの通りだ   (2023/3/21 21:53:25)

絹川みちほ> まあ、ね。   (2023/3/21 21:53:40)

無名> ちょっと落ちるね。皆ありがとう   (2023/3/21 21:56:08)

おしらせ> 無名さんが退室しました。  (2023/3/21 21:56:11)

大道寺きら ◆> お疲れだ   (2023/3/21 21:56:15)

後藤ひとり> お疲れ様です   (2023/3/21 21:56:22)

絹川みちほ> お疲れ様です   (2023/3/21 21:56:39)

中野一花 ◆> お疲れさまかな〜   (2023/3/21 21:56:55)

桐ヶ谷直葉> おつかれさまっ、またねー！   (2023/3/21 21:57:57)

桐ヶ谷直葉> …足舐めした代償にきらちゃんには…って普段なら言えるけど、誕生日サービスだからもっと奉仕する以外にあたしに出来ることがない…！ということで、きら様、してほしいことは…！(がく、)   (2023/3/21 22:02:55)

大道寺きら ◆> ん？ほかにも何かお願いがききたいのか？   (2023/3/21 22:05:10)

桐ヶ谷直葉> まぁ、なんだろ、あたしのお願い聞いてもらうってのも変な話じゃん…？そういう意味で聞こうかなぁ、と…？   (2023/3/21 22:05:37)

大道寺きら ◆> うーん・・・なら一つ聞いておこう、直葉は攻め側か受け側か？   (2023/3/21 22:06:23)

桐ヶ谷直葉> え、受け側だよ…？というかそのレベルのことをする気なんですか！？きらちゃん！？   (2023/3/21 22:07:32)

中野一花 ◆> きらちゃんは大胆だねぇ…(ほほう関心関心♪)   (2023/3/21 22:07:56)

絹川みちほ> んにゃ   (2023/3/21 22:08:34)

大道寺きら ◆> まぁ時間さえ空いていればの話だがな？   (2023/3/21 22:08:45)

桐ヶ谷直葉> 時間…　どうだろ、明日学校だからちょっとだけなら…？   (2023/3/21 22:09:35)

大道寺きら ◆> 見た目は子供、頭脳は大人。それがきら様だ！　やるのなら地下でやることになるが   (2023/3/21 22:11:19)

桐ヶ谷直葉> ……ちょっとヤバい事させられない？あたし？大丈夫かな？(/)   (2023/3/21 22:12:04)

大道寺きら ◆> https://chat.luvul.net/ChatRoom?room_id=364970 [https://chat.luvul.net/ChatRoom?room_id=364970]   (2023/3/21 22:13:38)

大道寺きら ◆> ここだ   (2023/3/21 22:13:40)

桐ヶ谷直葉> あ、こういうお部屋があったんだ…！知らなかった…。あれ、こういうことしたいんですか、きら様！？よ、よ～し、腹くくるか…！   (2023/3/21 22:14:56)

中野一花 ◆> 気をつけてね〜、2人とも♪   (2023/3/21 22:15:03)

大道寺きら ◆> では移動するぞ？   (2023/3/21 22:15:27)

おしらせ> 大道寺きら ◆i6fJKa45IIさんが退室しました。  (2023/3/21 22:15:33)

絹川みちほ> 早いな…   (2023/3/21 22:15:42)

桐ヶ谷直葉> …い、行ってきます！(びし)　大人の階段…登りますっ！(？)   (2023/3/21 22:16:01)

おしらせ> 桐ヶ谷直葉さんが退室しました。  (2023/3/21 22:16:04)

絹川みちほ> いってらっしゃい   (2023/3/21 22:17:27)

中野一花 ◆> (ひとりちゃんにタオルケットでも掛けておこうっと…)   (2023/3/21 22:22:34)

絹川みちほ> ひとりちゃん、離れちゃったかな   (2023/3/21 22:22:47)

後藤ひとり> あ、話すことなくて…   (2023/3/21 22:23:23)

絹川みちほ> あ…私も…   (2023/3/21 22:24:02)

後藤ひとり> 上行こうかな…   (2023/3/21 22:25:01)

絹川みちほ> 上？   (2023/3/21 22:25:52)

後藤ひとり> 2階に…   (2023/3/21 22:26:07)

中野一花 ◆> 行ってきても良いよ？お姉さんは此処に残ろうかな〜…。みちほちゃんも3階とかさ？   (2023/3/21 22:26:38)

後藤ひとり> 一花さんが寂しい思いするのは…   (2023/3/21 22:27:41)

中野一花 ◆> 3階は…ダメだね…   (2023/3/21 22:27:46)

後藤ひとり> このままでも私は…   (2023/3/21 22:28:11)

中野一花 ◆> みちほちゃんはどうする〜？   (2023/3/21 22:28:39)

絹川みちほ> ３階はお楽しみ中かな？……じゃ、私が離れようかな。   (2023/3/21 22:30:49)

中野一花 ◆> それは違うと思うなぁ〜！(がしっ)   (2023/3/21 22:34:54)

絹川みちほ> ふぇ   (2023/3/21 22:37:07)

中野一花 ◆> ひとりちゃんは…うーん…   (2023/3/21 22:46:05)

後藤ひとり> どうしました？   (2023/3/21 22:46:14)

中野一花 ◆> …上、行きたいなら行ってもいいんだよ？   (2023/3/21 22:47:10)

後藤ひとり> ではすいません。また今度お話を…   (2023/3/21 22:48:14)

おしらせ> 後藤ひとりさんが退室しました。  (2023/3/21 22:48:21)

中野一花 ◆> じゃあみちほちゃん…ごめんねっ？お姉さんは色々と済ませてくるからさ   (2023/3/21 22:48:50)

おしらせ> 中野一花 ◆WY5HuZnICQさんが退室しました。  (2023/3/21 22:48:52)

絹川みちほ> いってらっしゃい   (2023/3/21 22:55:54)

絹川みちほ> 私も一旦離れようかな   (2023/3/21 22:56:27)

絹川みちほ> それじゃ   (2023/3/21 22:57:25)

絹川みちほ> あれ？出れない…なんで   (2023/3/21 22:57:40)

