チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年05月21日 23時47分 ～ 2023年05月27日 04時20分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

琴葉茜> いや祥鳳さん別に全裸やないから。服着とるから。肩出しとるだけやから。   (2023/5/21 23:47:49)
桜衣乃> ふふー♪はゆちゃんもへもちゃんも、私を慕ってくれてます♪　ロコ先輩はまだ全然デレてくれませんが……　って、私は普段からやさしいですよ〜！？   (2023/5/22 00:01:16)

響> 此処でむかえる初めての夏か……   (2023/5/22 00:01:20)

後藤ひとり> 慕ってくれる人は私にはいませんね……   (2023/5/22 00:01:51)

小春六花> 慕ってくれる人……？（まがお）   (2023/5/22 00:02:15)

桜衣乃> まじめにすけべな子がいいんですね！　結構……わかるかもしれません……♪   (2023/5/22 00:02:52)

響> 私も今初めて知ったよ、焦燥の燥なんだね…。…慕ってくれる人か…   (2023/5/22 00:02:57)

後藤ひとり> 真面目にスケベってなかなかに矛盾してるような……   (2023/5/22 00:04:15)

クレー> クレーはみんなにそれぞれ優しくしてもらって、みんな大事だよ♪(うんうん)   (2023/5/22 00:05:15)

琴葉茜> うちは慕われるより可愛がりたい（なんか違う）　えっちするごとに反省点とか次への課題とかをレポートにまとめるタイプ。（それもなんか違う）　よし日付変わったからうちはこのへんで。まーたなー（とうっ）   (2023/5/22 00:05:37)

おしらせ> 琴葉茜さんが退室しました。  (2023/5/22 00:05:39)

後藤ひとり> あ、お疲れ様でした   (2023/5/22 00:05:57)

桜衣乃> はーい、茜ちゃんはおやすみなさいませ〜♪　また遊んでくださいね〜♡   (2023/5/22 00:06:09)

クレー> 茜お姉ちゃんおやすみなさい〜♪   (2023/5/22 00:06:23)

小春六花> まーたーねー   (2023/5/22 00:06:32)

響> おやすみなさい、どうもありがとう、茜ちゃん   (2023/5/22 00:06:51)

おしらせ> 中野三玖 ◆WY5HuZnICQさんが入室しました♪  (2023/5/22 00:08:23)

中野三玖 ◆> …ねむたし…   (2023/5/22 00:08:36)

桜衣乃> さて、月曜日になってしまいましたね……　私も学校がありますし、もしかしたらそろそろ寝てしまうかもしれませんので……誰か添い寝しませ〜んか♪   (2023/5/22 00:08:52)

後藤ひとり> いつも眠いイメージありますね……   (2023/5/22 00:09:00)

響> おや、こんばんはだね。   (2023/5/22 00:09:19)

桜衣乃> わっ、三玖ちゃんこんばんは〜？   (2023/5/22 00:09:35)

中野三玖 ◆> …いつも眠たい…   (2023/5/22 00:09:37)

後藤ひとり> 私はお昼に絡んだので他の人お譲りしますっ   (2023/5/22 00:09:38)

後藤ひとり> 三玖さんはもう直ぐに寝落ちしそうなイメージが…   (2023/5/22 00:09:54)

クレー> 三玖お姉ちゃんこんばんは♪   (2023/5/22 00:10:21)

中野三玖 ◆> …多分するよ…ねおち   (2023/5/22 00:12:29)

クレー> クレーもそろそろ寝ちゃいそうだから、クレーでよければ…？(きょと、と上を見上げて)   (2023/5/22 00:12:43)

後藤ひとり> そんな自信満々に言われても……！？   (2023/5/22 00:12:56)

クレー> (衣乃お姉ちゃんのおひざの上から上を見上げて)   (2023/5/22 00:13:00)

響> ん…私は…どうしようかな…   (2023/5/22 00:13:07)

桜衣乃> おねむな方は何人でも…♪　そうしましたら、添い寝でおやすみする方は、しばらくぶりにネズミ荘の方の私のお部屋に来てくださいな〜♪   (2023/5/22 00:14:40)

後藤ひとり> 個別じゃないなら行こうかな……   (2023/5/22 00:14:59)

中野三玖 ◆> 私はここで…自分のこと運命を受け入れる…（背景で、「にん〜げん、ごじゅ〜ねん…」と）   (2023/5/22 00:16:41)

響> 衣乃とも絆を深めておきたいし…私も同行しようかな   (2023/5/22 00:17:04)

後藤ひとり> 寝てください…   (2023/5/22 00:17:17)

桜衣乃> では、そういうことで……お先に失礼しますね♪添い寝でない方は、おやすみなさいませ〜……♪   (2023/5/22 00:17:25)

小春六花> ほーい、おやすっすー   (2023/5/22 00:17:31)

おしらせ> 桜衣乃さんが退室しました。  (2023/5/22 00:17:36)

小春六花> みんな行くならさらっと解散かな   (2023/5/22 00:17:41)

おしらせ> 後藤ひとりさんが退室しました。  (2023/5/22 00:17:48)

響> おやすみなさい…だね。六花ともまた…色々お願いね…//   (2023/5/22 00:19:37)

おしらせ> 響さんが退室しました。  (2023/5/22 00:19:54)

中野三玖 ◆> …おやすみ…   (2023/5/22 00:20:42)

おしらせ> 中野三玖 ◆WY5HuZnICQさんが退室しました。  (2023/5/22 00:20:46)

おしらせ> 香風智乃さんが入室しました♪  (2023/5/22 00:23:20)

クレー> あっ、チノお姉ちゃんだーこんばんは♪   (2023/5/22 00:24:14)

香風智乃> こんばん……と解散の流れでしたか？…(辺りを見回すと既に人は少なくて……既に寝落ちしてる人すら居ないかと思いながらもとりあえずソファに座り)   (2023/5/22 00:24:19)

香風智乃> こんばんはクレーさん。クレーさんは皆さんに着いていかないんですか？……(満員からようやくお部屋に着いたと思いつつ首を傾げ)   (2023/5/22 00:24:57)

クレー> クレーも行く予定だったけど、寝る準備ちょっとしたくて…(お昼寝は特に大丈夫だったんだけど)   (2023/5/22 00:25:48)

香風智乃> 寝る支度ですか。そうですね明日の支度をしておくと朝余裕を持って行動できます。歯磨きとかもしておきましょう   (2023/5/22 00:26:26)

クレー> うん…♪ちょっとだけしかお話できなくてごめんね？また会えたらしっかりお話しようね♡>チノお姉ちゃん   (2023/5/22 00:27:36)

クレー> 六花お姉ちゃんもまたねっ♪   (2023/5/22 00:28:09)

香風智乃> ROMさんが8人も……さっきまで6人で満席ですからね。仕方ないのかも知れません。いえいえ、行ってらっしゃいです♪添い寝楽しんできてくださいね♪(手を振り)   (2023/5/22 00:28:14)

クレー> はーい！おやすみなさいっ   (2023/5/22 00:28:32)

おしらせ> クレーさんが退室しました。  (2023/5/22 00:28:38)

香風智乃> 私は……そうですね。とりあえず誰かが来るか待ってみますね(この夜に来る人はそうそう居なさそうですけど……とココアを暖めながら一息)   (2023/5/22 00:30:51)

小春六花> ぼーっとしてたら新しいロリが！   (2023/5/22 00:33:29)

香風智乃> あ……起きてましたね。ロリ！？これでも原作では高校生なんですよ(胸を張ってドヤ顔を噛まします)   (2023/5/22 00:34:41)

小春六花> まーじで。千冬ちゃんと同い年？まじ？   (2023/5/22 00:35:07)

香風智乃> アニメだとまだ中学生ですけどね……これでも身長も4センチ伸びてます(ふふん)   (2023/5/22 00:36:34)

小春六花> …４ｃｍ伸びてなんぼになったん？   (2023/5/22 00:38:21)

香風智乃> 5センチでしたね。144から149に……   (2023/5/22 00:39:03)

小春六花> ……ロリ！！！！（合法ロリ印を押印）   (2023/5/22 00:39:33)

香風智乃> 貴女が女性でなければ通報されてもおかしくありませんからね……(不満げに頬をふくらませつつも携帯を片手に)   (2023/5/22 00:40:48)

小春六花> 安心して、私が死んでも変わりがいるから捕まってもあんまり問題ないんだ   (2023/5/22 00:43:12)

香風智乃> 貴女はクローン人間か何かですか！？(少しは自分の体を大切にしてくださいね)   (2023/5/22 00:44:23)

小春六花> 実際ほら、DLサイトとかヨドバシで私いくらでも売ってるよね   (2023/5/22 00:47:30)

香風智乃> 人身売買……！？そんな家電製品みたいな？   (2023/5/22 00:48:31)

小春六花> 家電製品みたいなものよ   (2023/5/22 00:48:46)

香風智乃> 掃除機とか……ですか？   (2023/5/22 00:50:19)

小春六花> 合成音声ソフトですね   (2023/5/22 00:51:00)

香風智乃> ぼーかろいどとかぼいすろいどって奴ですか？   (2023/5/22 00:52:23)

小春六花> そーそー。私はその類のCevioAIなのだ   (2023/5/22 00:52:43)

香風智乃> 初めて見ました……でも確かにここにはそういう系の人結構来てますよね……(過去ログを見てみるとなかなかに……と目を通して)   (2023/5/22 00:57:28)

小春六花> さっきまで茜ちゃんもいたしねー。ちょこちょこいるのよ   (2023/5/22 00:58:13)

香風智乃> 私もそういうのに詳しくなった方が良かったですかね……(あんまり詳しくなくて……とメジャーなのは分かりますけどと色々と想像して)   (2023/5/22 01:02:39)

小春六花> 別に詳しくなる必要はないよ。あくまで趣味の範囲だし。ただそうだなー、詳しくなるって言うかコンテンツとして好きになってもらえるとなんだろう。日々の動画視聴がちょっとたのしくなるかもしれないね、って思う。   (2023/5/22 01:04:39)

香風智乃> なるほど……でしたら少し調べてみようかと……と、すいませんが眠気が来てしまいました……(こくこくとソファで船を漕ぎ)   (2023/5/22 01:08:25)

小春六花> うんうんゆっくり寝ちゃいな寝ちゃいな。　ほら、ニコニコとかボイスロイドの調理とか、車載とか色々あるからねー。そこから見れる動画がぐっと増える感じだねー。　ゆっくり寝といで   (2023/5/22 01:09:26)

香風智乃> 分かりました。ではおやすみなさい……(そのままお布団を持って奥の部屋へひとまず先に帰宅)   (2023/5/22 01:11:27)

おしらせ> 香風智乃さんが退室しました。  (2023/5/22 01:11:34)

おしらせ> 小春六花さんが退室しました。  (2023/5/22 01:11:47)

おしらせ> クルミさんが入室しました♪  (2023/5/22 19:01:56)

クルミ> よっと…。邪魔するぞ〜？（柔らかそうな長い金髪を揺らし、眠たげな声を出しながら部屋に入ってきて）ここに来れば興味深い人間に会えると聞いたが…どうだろうな〜。（よたよたとソファーまで辿りつくとノートパソコンや飲料を広げて遠慮なしに自分の場所を作って）
  (2023/5/22 19:07:32)

クルミ> ……こういう所に来るならもう少し着飾った方がいいんだろうか…。でも着るものなんてこれとリコリコの制服
くらいしかないもんな。これがボクの正装って事でいいか……うん…。（着ているブカブカのパーカーを指で摘んでそんな事を呟いた後、開き直ったようにパソコンに視線を戻して）   (2023/5/22 19:15:55)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/5/22 19:21:29)

後藤ひとり> お邪魔します……は、はじめまして…(ちらっとなかを見て始めてみる顔だけどすっかり自分の空間かのように寛いでいる小さい子に会釈して)   (2023/5/22 19:22:44)

クルミ> おー？悪い悪い、ちょっと調べ物に夢中になってたみたいだ…。はじめましてだな。ボクはウォー……いや、クルミだ。（声がしたので画面から視線を外して新たな入室者の方へと向いて）ほうほう……なるほど、結構面白そうなやつが来たじゃないか…♪（そして興味をもったとばかりにソファーから立ち上がってそちらに寄って）
  (2023/5/22 19:27:49)

後藤ひとり> あ、は、は、い気にせず……クルミさん…私は……後藤ひとりです……(ウォー……？と首を傾げながらもこちらも挨拶………)え、いや……全然面白くないです……私なんてただの陰キャギタリストです……(面白いやつと言われて思わず動揺しながらも初対面の人にも遠慮なくいつもの暗い感じのオーラを出して……)
  (2023/5/22 19:29:58)

クルミ> 後藤ひとり……それならひとりって呼んでもいいか…？（カメラのようなものを相手に向け、周りをくるくると移動しながら話して）ふふん、ボクを欺こうとしても無駄だぞ？後藤ひとり……結束バンドのリードギター…。そしてそれ以前からギターヒーローとしてネットで活動しているプロ顔負けの腕を持つギタリスト…。（カメラでとったデータをパソコンに送るとそこから検索された情報をドヤ顔で読み上げて）
  (2023/5/22 19:37:07)

後藤ひとり> あ、はいひとりです…ぼっちとも言われてます……(ウンウンと頷きながら…)あ、はいそうです……全部ただs………えっなんでそこまで知ってるんですか！？……結束バンドのことはともかくギターヒーローの事まで……！？…(自分が隠してることすらも知ってる彼女の恐ろしさに顔を崩壊させながらも……もしかして自分の追っかけ……！？と)
  (2023/5/22 19:40:39)

おしらせ> クレーさんが入室しました♪  (2023/5/22 19:42:05)

後藤ひとり> 小さい子2人目が……   (2023/5/22 19:42:40)

後藤ひとり> 【あ、すいません少しだけお呼ばれしたのでお待ちを…】   (2023/5/22 19:43:10)

クレー> こんばんはー♪クレー登場〜！(とびらを開けて声に出してごあいさつ)、夜ご飯も食べてきたから、このあとのんびり過ごすんだー♪   (2023/5/22 19:43:21)

クレー> あ、はーい。いってらっしゃいひとりお姉ちゃんっ   (2023/5/22 19:43:38)

クルミ> そうか、変わったあだ名だな？でもそっちの方が面白そうだ……それならぼっちと呼ばせてもらおう…♪ふふんっ、ボクの検索網をもってすれば顔や体格のデータでこれくらいは調べられるんだぞ♪（腕組みをして更にドヤ顔を加速させて）   (2023/5/22
19:44:38)

クレー> わっ……！クレーと同じこえ……？はじめまして、クレーだよ♪よろしくねっ黄色パーカーのお姉ちゃんっ♡(自分と同じ声色をもつクルミお姉ちゃんの方を向いて初めましてのごあいさつ♪)   (2023/5/22 19:46:42)

クルミ> おー、今度はちびっこか…？クレーか…こんばんはだ。ボクはクルミ……確かに少し声質が似てる気はするな？さて、よろしくついでに少しだけデータを取らせてもらうぞ…♪（クレーに挨拶をするとぼっちにしたように周りをクルクル回ってデータをとろうとして）  
(2023/5/22 19:48:36)

クレー> わー…なになに…？(クルクルとクレーのまわりを歩くクルミお姉ちゃん。とりあえずじーっと動かないようにしつつ、動くクルミお姉ちゃんを目でおって)…はわぁ…クレーのデータ取られちゃう♡   (2023/5/22 19:50:53)

後藤ひとり> 戻りました……ていうか検索網ってなんですか！？……インターネット詳しいんですか？…ていうかそもそも私の情報が載ってるんですか！？……(小さい子なのに恐ろしい子って……顔を崩壊させて)   (2023/5/22 19:52:32)

後藤ひとり> 言われてみれば声がそっくり……血の繋がりが……？   (2023/5/22 19:53:00)

おしらせ> 朝倉可憐さんが入室しました♪  (2023/5/22 19:53:10)

朝倉可憐> こんばんは、お邪魔させてもらうわね…？   (2023/5/22 19:53:22)

クレー> あ、可憐お姉ちゃん♪こんばんはー   (2023/5/22 19:53:33)

後藤ひとり> こんばんは……   (2023/5/22 19:54:43)

クレー> 血はつながってないよ…？クレーひとりっこだもん。クレーのことお世話してくれるお兄ちゃんはいるけど…！お姉ちゃんはこのお部屋でできた♡>ひとりお姉ちゃん   (2023/5/22 19:54:45)

クルミ> データを取ってこんなに喜ばれたのは初めてだな…。さて、結果はー？……おかしい…まるでデータが出て来ないぞ…？SNSの類を全くしないのか…もしくは他の世界の住民なのか…？（なんのデータも出てこないクレーにますます興味を持って近くで見ようとして）  
(2023/5/22 19:55:03)

クルミ> おー、こんばんはだ。ボクはクルミ、よろしく頼むぞ？   (2023/5/22 19:55:53)

朝倉可憐> 私は朝倉可憐、ただのゲーム好き。よろしくお願いします。   (2023/5/22 19:56:52)

後藤ひとり> なるほど……つまり赤の他人…声だけ似てると……でもなんか小さい子同士だからなんかこう……妹みたいですね……(さすがにふたりよりは上だろうけど……と)   (2023/5/22 19:57:09)

クルミ> 今どきのネットを舐めない方がいいぞ〜？特にぼっちはネットへの露出が多いから気をつけないとファンが自宅に押しかけてきたりするかもな…♪（からかうように言いながら面白がって口元をおさえて）   (2023/5/22 19:57:53)

クルミ> 勘違いしてるようだけど、ボクは少なくとも二人よりは年上だぞ〜？言うならばクルミお姉ちゃんだ…♪   (2023/5/22 19:59:39)

後藤ひとり> あ、大丈夫です……私にファンなんて居ませんし何より今までも家に来た人はいませんからね……むしろクルミさんの方が怖いです……そんな小さいのにネット使いこなせるって……もしかして5ちゃんねらーとかそういう類ですか？……(小さい子にいいように遊ばれながらもクルミさんの恐ろしさに脅え)
  (2023/5/22 19:59:39)

後藤ひとり> 何歳ですか！？   (2023/5/22 20:00:05)

クレー> わわっ…//(クレーよりはおっきいクルミお姉ちゃんがクレーの前にぴょんと現れて)…クルミお姉ちゃんのその頭のリボンかわいいね♪クレーも低くおしゃべりしたら、クルミお姉ちゃんの声が出せるかも…？あ、あー…あー…(低くしようとして少しむせたのでやめた♪)
  (2023/5/22 20:00:13)

クルミ> おー、ゲームはボクも好きだぞ〜？ボードゲームからテレビゲームまでできるから、いつか人を集めて対戦したいな…♪   (2023/5/22 20:01:39)

後藤ひとり> ゲームって1人で黙々とやるのもじゃないんですか……！？   (2023/5/22 20:03:14)

クルミ> ボクは…5ちゃんねらーと言うよりは2ちゃんねらーだったけど…。（年齢不詳故のジェネレーションギャップを感じるとぼっちから目を逸して）まああまり語ると身に危険が及ぶからな、単なるコンピューターに詳しいやつだと思っておいてくれ。   (2023/5/22
20:04:59)

クレー> ゲームはひとりでも楽しいかもだけど、みんなでするのも楽しいと思うよ♪クレーも遊ぶの好き〜！   (2023/5/22 20:05:33)

朝倉可憐> 私がやるやつは…そうね…PVPが多いから…一人で黙々と、は多いかも。……ヘブバンは一人向けのソシャゲなんだけれど。   (2023/5/22 20:05:52)

クルミ> 年齢は秘密だ…見た目とのギャップに驚かれるのも少しつらいからな。まあ、制服を着て街を歩く母を持つぼっちならその辺の耐性はあるかもしれないけどな…。   (2023/5/22 20:07:36)

後藤ひとり> どちらにしてもその年で……という顔クルミさん何歳なんですか？……(見た目は10代にしか見えないけど……もしかして30代とか言ってたり？……)なるほど……私はパソコンで動画しか上げないけど……詳しいなら今度教えてもらおう   (2023/5/22
20:07:57)

後藤ひとり> は、はぁ……しかも当然のようにお母さんの情報まで！？   (2023/5/22 20:08:19)

後藤ひとり> ゲームはまあみんなでやるのも多いですよね   (2023/5/22 20:08:32)

クレー> ぴーぶいぴーってなぁに？クレーたちの世界にある七星召喚っていうカードゲームもそういうものだって聞いたことあるよ♪>可憐お姉ちゃん   (2023/5/22 20:10:06)

クルミ> ああ、これがないと髪が落ちてきて不便なんだ…。無理して低い声は出さない方がいいぞ？ボクだってできるならキャピキャピな声で話したいくらいだけどな…。（クレーが触りやすい位置にリボンを持ってくると目の前でピョコピョコさせてみて）   (2023/5/22
20:11:39)

クレー> クルミお姉ちゃんの声もクレー好きだよ♪(クルミお姉ちゃんの方が中の人の地声に近いみたいだし！)…わぁ、ぴょんぴょんしてるー…♡(クルミお姉ちゃんのうさみみリボンを触ってクレーもにこかこ♪)クルミお姉ちゃんも金色の髪なんだね♪   (2023/5/22
20:14:16)

朝倉可憐> プレイヤーVSプレイヤーのこと。人と人が戦うゲームといえばいいかな…。反対語はPVEね。   (2023/5/22 20:14:35)

クルミ> 一人用のゲームも楽しいけどボードゲームとか人を集めてやるのもいいもんだぞ？PVPもネットで人が集めやすくなった……ぼっちを主催にしてアマンガスや人狼ゲームでもやるか？（ぼっち相手にめちゃくちゃハードルの高い事を要求して反応を楽しんでいるようで）  
(2023/5/22 20:15:19)

後藤ひとり> むむむむりです！………そういうのじゃなくてマリカとかスマブラとかにしましょう………(分かっててしてますよね！？とそんなゲームしたことないです……と)   (2023/5/22 20:16:42)

朝倉可憐> レースゲーは専門じゃないけど望むところ。（うんうん）   (2023/5/22 20:17:48)

おしらせ> 無名さんが入室しました♪  (2023/5/22 20:19:57)

無名> こんばんは   (2023/5/22 20:20:19)

クレー> わー、みんなクレーの世界にはないゲームだ♪おもしろそう(わくわく)   (2023/5/22 20:20:29)

後藤ひとり> こんばんは…   (2023/5/22 20:20:30)

クレー> 無名お姉ちゃんこんばんはー♪   (2023/5/22 20:20:37)

朝倉可憐> こんばんは。   (2023/5/22 20:22:12)

後藤ひとり> 5人ですね……   (2023/5/22 20:24:24)

朝倉可憐> じゃー、二人組作って…？   (2023/5/22 20:24:48)

クルミ> そうか……まあ、いつか成長したらクレーもボクに近い声になるのかもしれないな…。ああ、あんまり手入れはしてないけどね〜。金色でフワフワしててキレイだって言って貰えると嬉しいからそれなりに伸ばしてるんだ…。クレーも伸ばしたら似合いそうだな〜…？  
(2023/5/22 20:25:07)

クルミ> お、こんばんはだぞ〜。   (2023/5/22 20:26:08)

後藤ひとり> (げろげろげろ～！)   (2023/5/22 20:26:15)

無名> わぁひとりが大変！？   (2023/5/22 20:26:35)

クレー> ひとりお姉ちゃんカエルさんになっちゃった！   (2023/5/22 20:26:54)

朝倉可憐> よし♪   (2023/5/22 20:27:04)

クルミ> おまっ…二人組って…。言ってはならない事をやすやすと…。（ゾゾッ）   (2023/5/22 20:27:32)

後藤ひとり> 吐いてる方ですね……(げそっ…)   (2023/5/22 20:27:59)

クルミ> 大丈夫だ……最終的に一箇所だけ三人組っていう救済措置もあるから…。   (2023/5/22 20:28:55)

朝倉可憐> あ、後藤さん余っちゃった？あっちのグループ入れてあげてもらえ……あ、無理…？じゃあそっち……   (2023/5/22 20:29:40)

後藤ひとり> 後は先生と組むとか…   (2023/5/22 20:29:41)

クルミ> それも辛い…。これは偶数にするしかないな…。じゃあボクはお風呂に入るから一度抜けるよ〜。（手をフリフリ）   (2023/5/22 20:31:32)

朝倉可憐> お風呂いってらいっしゃい。   (2023/5/22 20:31:54)

無名> 行ってらっしゃい   (2023/5/22 20:32:01)

クレー> ありゃま、お風呂いってらっしゃい♪またクレーとお話してねっクルミお姉ちゃん♡   (2023/5/22 20:32:29)

後藤ひとり> あ、行ってらっしゃいです   (2023/5/22 20:33:50)

クルミ> また来るかもだけど…。それじゃあまたな〜？（お風呂用の桶を片手に部屋から出て行って）   (2023/5/22 20:35:33)

おしらせ> クルミさんが退室しました。  (2023/5/22 20:35:42)

後藤ひとり> はい……お疲れ様でした   (2023/5/22 20:35:58)

無名> お疲れ様   (2023/5/22 20:36:03)

後藤ひとり> 私はお風呂もご飯も済ませましたね…   (2023/5/22 20:37:36)

朝倉可憐> 私も済ませてお風呂上がりのアイスまで済ませちゃった。   (2023/5/22 20:38:20)

クレー> わっ、可憐お姉ちゃんそれすごく良いやつだね♪(お風呂上がりのアイスは絶対美味しい♡)   (2023/5/22 20:39:26)

無名> 私もご飯もお風呂も済ませたよ   (2023/5/22 20:40:39)

後藤ひとり> みんな済ませてますね……   (2023/5/22 20:42:31)

朝倉可憐> いい時間だしね…   (2023/5/22 20:43:20)

後藤ひとり> あとはゴロゴロするだけ……   (2023/5/22 20:43:29)

無名> うん…   (2023/5/22 20:44:07)

後藤ひとり> でも少し疲れてるんですよね…   (2023/5/22 20:44:32)

無名> 大丈夫？   (2023/5/22 20:44:44)

クレー> クレーはお風呂これからなの…！だからもう少ししたらクレーも一度抜けるよっ   (2023/5/22 20:45:11)

後藤ひとり> まあそこそこに……あ、それは言ってらっしゃいです   (2023/5/22 20:45:39)

朝倉可憐> 無理はしないほうがいいよ…？   (2023/5/22 20:45:39)

後藤ひとり> なら少しだけ仮眠しようかな……   (2023/5/22 20:46:23)

無名> それが良いと思うよ   (2023/5/22 20:46:59)

朝倉可憐> 仮眠というか、ちゃんと本睡眠してきたほうがいいと思う   (2023/5/22 20:47:11)

後藤ひとり> 今から寝ると夜寝れない……でもとりあえず寝てきますね……   (2023/5/22 20:48:29)

朝倉可憐> 生活リズム平気…？   (2023/5/22 20:48:45)

後藤ひとり> ま、まあまあ……何とか……   (2023/5/22 20:49:35)

朝倉可憐> 平気ならいいけど…   (2023/5/22 20:50:27)

クレー> 流石に今から朝まで寝るのは途中で起きちゃうかもしれないね♪仮眠でいいんじゃないかな？   (2023/5/22 20:50:38)

後藤ひとり> とにかく少しだけ休めてきます……寝れなければ戻りますね………   (2023/5/22 20:51:18)

クレー> はーい、ゆっくりやすんでね♪   (2023/5/22 20:52:06)

後藤ひとり> はい……♪ではまた……   (2023/5/22 20:52:22)

おしらせ> 後藤ひとりさんが退室しました。  (2023/5/22 20:52:23)

無名> おやすみ   (2023/5/22 20:52:47)

クレー> 2人は普段何時寝て寝るのー？   (2023/5/22 20:53:51)

朝倉可憐> 私は12時ころにはねたい…かな。   (2023/5/22 20:54:20)

無名> いつだろ…でもそんな遅くまでは起きてない感じかな？   (2023/5/22 20:55:17)

クレー> クレーも一時くらいには寝ちゃうよ♪(クレーちょっと遅いね…！)、予定があるとそれより早く寝ることがあるけど…！   (2023/5/22 20:56:49)

朝倉可憐> 昨日は頑張ってヘブバン走ってたからちょっと今日は寝不足ね。   (2023/5/22 20:57:20)

クレー> そうなんだ…！じゃあ、どこかでその分寝なきゃだねっ>可憐お姉ちゃん   (2023/5/22 20:58:03)

無名> 皆よりは私寝るの早いかも…？   (2023/5/22 20:58:05)

クレー> 無名お姉ちゃんは早いイメージあるかも！でも、早く寝てしっかり睡眠時間とるの大事だもんねっ   (2023/5/22 20:58:50)

