/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年01月08日 15時11分 ～ 2023年01月09日 10時54分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

後藤ひとり> ですよね……油断してたら寝そう……   (2023/1/8 15:11:45)
中野一花> えーっと…初めまして…だっけ？(制服を着込んでる女の子に話しかけて)   (2023/1/8 16:04:10)

井ノ上たきな> 昨日、1回お会いしました、っけ…？(記憶がうろ覚え。なんか、お会いした様な。   (2023/1/8 16:08:51)

中野一花> …とりあえず初めましてでいっか！私は一花。中野一花だよ〜っ   (2023/1/8 16:10:00)

井ノ上たきな> そうですね。はしめましてにしておきましょう。私は井ノ上たきな。たきな、で大丈夫です   (2023/1/8 16:14:31)

中野一花> たきなちゃんだね〜っ。これからよろしく〜   (2023/1/8 16:20:53)

井ノ上たきな> よろしくお願いしますね…一花さん   (2023/1/8 16:21:30)

中野一花> お仕事大丈夫？私もそろそろ打ち合わせあるから…   (2023/1/8 16:26:19)

井ノ上たきな> あと10分くらいですかね…ご都合があれば遠慮なく、解散で構いませんよ…ら   (2023/1/8 16:27:15)

中野一花> お互い忙しいねぇ…？たきなちゃんはどんなお仕事してるの？   (2023/1/8 16:31:15)

井ノ上たきな> 私は、見張り系ですかね…広く言えば、ですけれど   (2023/1/8 16:38:40)

中野一花> …見張り?(それがお仕事…？と首を傾げて)   (2023/1/8 16:43:59)

井ノ上たきな> まぁ、そんな感じで。緊急時に飛び出して。みたいな、かんじですね   (2023/1/8 16:48:22)

井ノ上たきな> っふぅ。それじゃあ、ひと足お先に。私はそろそろ行ってまいります、ね   (2023/1/8 16:55:03)

おしらせ> 井ノ上たきなさんが退室しました。  (2023/1/8 16:55:07)

中野一花> …消防隊員？(不意に浮かんだ仕事を呟いて)   (2023/1/8 16:56:43)

中野一花> さてとっ…私も行ってきま〜すっ   (2023/1/8 16:56:58)

おしらせ> 中野一花さんが退室しました。  (2023/1/8 16:57:00)

おしらせ> 喜多 郁代さんが入室しました♪  (2023/1/8 21:58:10)

喜多 郁代> （すっごいねてたきた…）こんばんは…♪   (2023/1/8 21:58:34)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/1/8 21:58:58)

後藤ひとり> こんばんは……   (2023/1/8 21:59:03)

喜多 郁代> こんばんは、ひとりちゃん…♪   (2023/1/8 22:00:16)

後藤ひとり> こんばんは……よく眠れました？   (2023/1/8 22:01:32)

喜多 郁代> えぇ、これから朝まで起きてても大丈夫そうなくらいにはぐっすりだったわ（苦笑い…）   (2023/1/8 22:03:54)

後藤ひとり> そ、そんなにですか！？……私も2時間は寝ましたが……   (2023/1/8 22:05:18)

喜多 郁代> あれからさっきまでずっと寝ていたからね？（めそらし）   (2023/1/8 22:06:29)

後藤ひとり> ぐっすりですね……中途半端な時間に寝そうです……   (2023/1/8 22:09:03)

喜多 郁代> ま、まぁ、明日も休みだし問題ない……はず？一日で治る気もしないから大問題なんだけどね…   (2023/1/8 22:11:15)

後藤ひとり> 私も明日は休みですね……ゴロゴロ出来る……   (2023/1/8 22:15:22)

喜多 郁代> たまにはそうやってゴロゴロするのもいいわよね…♪私の場合そこからお昼寝に繋がっちゃうから明日はできないけど…（苦笑い…）   (2023/1/8 22:17:39)

後藤ひとり> お昼寝の負のスパイラル………どこかで治さないと……   (2023/1/8 22:18:05)

喜多 郁代> 昼間にどこか遊び行くのがいちばん簡単な治し方よね…？夕方から夜にかけて寝そうだけど……   (2023/1/8 22:19:45)

後藤ひとり> 昼間……遊び………陽キャのやること…………(あわあわ……)   (2023/1/8 22:22:23)

喜多 郁代> 陽キャ特に関係ないけどね！？…ひとりちゃんも一緒にどこか遊びに行かない？（にこ…♪）   (2023/1/8 22:24:31)

後藤ひとり> そうですか……？あ、いいですね……どこ行きます……(首傾げ)   (2023/1/8 22:30:25)

喜多 郁代> んー、ひとりちゃんが行きやすそうなところ…おしゃれなカフェとかデートスポット以外かしらね？（きょと…結構難しい…！）   (2023/1/8 22:32:50)

おしらせ> 廣井きくり ◆lxd9gSfG6Aさんが入室しました♪  (2023/1/8 22:33:39)

後藤ひとり> ……路地裏とか………定食屋とか………(むむむ……)   (2023/1/8 22:33:46)

廣井きくり ◆> えー？なになに、定食屋いくの？（唐突に後ろから現れて/やめろ）   (2023/1/8 22:34:14)

後藤ひとり> あ、こ、こ、んばんは……   (2023/1/8 22:35:22)

喜多 郁代> わっ！？びっくりした、こんばんは…♪   (2023/1/8 22:36:00)

喜多 郁代> でも、定食屋とかなら確かにいいかも…♪   (2023/1/8 22:36:16)

後藤ひとり> チーズ牛丼の特盛に温玉付き頼みますね……   (2023/1/8 22:36:49)

喜多 郁代> 完全に某牛丼屋！？そ、その組み合わせは避けた方が…！   (2023/1/8 22:38:00)

後藤ひとり> ダメですか………？   (2023/1/8 22:38:53)

喜多 郁代> あ、ううん、ひとりちゃんが食べたいならそれでもいいと思うけど……（めそらし…）   (2023/1/8 22:39:32)

廣井きくり ◆> やっは〜、邪魔してるね〜。（ふむふむ）私は豚トロ丼にする（聞いてない）   (2023/1/8 22:40:11)

後藤ひとり> う、嘘です……そもそも私特盛食べるほどのお腹無いです…………   (2023/1/8 22:40:16)

廣井きくり ◆> ...そもそもチーズ牛丼って美味しいの？（うん？）   (2023/1/8 22:42:09)

喜多 郁代> 豚トロも美味しいですよね♪って、もう完全に定食屋ではなくなってる気がするけど…まぁ、みんなで行けるようなところならどこでも…！   (2023/1/8 22:42:17)

喜多 郁代> 特盛って実際結構量多いものね…？お腹すいてる時でも大盛りで十分すぎるわ…   (2023/1/8 22:42:52)

後藤ひとり> なので普通盛りに……   (2023/1/8 22:43:05)

喜多 郁代> うーん…ずっとメニューにあるなら美味しいんじゃないですかね？（こてり、食べたことない……）   (2023/1/8 22:43:48)

廣井きくり ◆> んぇ？今から食べるご飯の話をしてたんじゃ無いの？？（ほえ？みたいな顔で...)ほーん、チーズちょっと苦手なんだよね...（むむ   (2023/1/8 22:46:18)

後藤ひとり> 私もチーズはそこまで得意では………   (2023/1/8 22:47:17)

喜多 郁代> えっと…明日どこか行くとしたら、みたいな話でしたね？多分ひとりちゃんはもうご飯済ませてますし…（苦笑…）みんなあんまりチーズそのものが好きじゃなかった…！   (2023/1/8 22:48:15)

廣井きくり ◆> あー、そう言うこと...（納得）...イクヨちゃんはいつも友達とどこ行くの〜？（ふむ   (2023/1/8 22:50:37)

後藤ひとり> じゃあ………別の頼みますか……   (2023/1/8 22:51:46)

喜多
郁代> 私ですか？んー、相手によってまちまちですけど、みんなでカラオケ行ったり、ふらーっとウィンドウショッピング！みたいなのが多いですね♪その途中にSNSで話題になってるカフェによってイソスタにあげる用の写真撮ったり…♪結束バンド入ってからは忙しくてあんまり行けてないんですけど…
  (2023/1/8 22:53:42)

廣井きくり ◆> .....ぼっちちゃん、、私ちょっとイクヨちゃんの話についていけないかもしれない...（あまりの明るさに目をやられながら助けを求めるようにぼっちちゃんに抱きついて...)   (2023/1/8 22:56:51)

後藤ひとり> 私もです………眩しさのあまりに溶けてしまいそうです……(私も目を閉じてむぎゅうう……)   (2023/1/8 22:58:49)

喜多 郁代> あれ！？なんかついさっきまで親しくしてたはずなのにすごく心の距離を感じる！？（あわあわ）   (2023/1/8 22:59:43)

後藤ひとり> やっぱり喜多ちゃんは本物の陽キャでした……私たちが勝てるわけが無い…………(しくしく……顔面崩壊)   (2023/1/8 23:03:44)

廣井きくり ◆> まあ、一旦落ち着いて...（おにころチャージ/やめろ）んー、私なら居酒屋回るか、楽器屋とか、服屋とか回るかな...ま、大体なくなったベース探してるけどね（ヘラヘラと笑いながら顔面崩壊したぼっちちゃんを抱きしめて...)   (2023/1/8
23:05:17)

喜多 郁代> ちょっ、ちょっと！？陽キャは仲間はずれに弱いんですよ！？ほ、ほら！ひとりちゃん…？廣井さんが言ってたみたいに楽器屋さんとか回りましょ？それなら怖くないし、ね？ねっ…？   (2023/1/8 23:08:16)

後藤ひとり> 私は家にいて寝たり……練習したり………ゴロゴロしたり……(私の人生って果たしてなんなんだろうと……抱き合いながらも悟りを開き始め)良いじゃないですか友達なんて山のようにいるんですから……楽器屋行くのはいいけど……またコミュ症が……  
(2023/1/8 23:09:14)

廣井きくり ◆> あー、ぼっちちゃんあれか、洋服屋行く時店員に話しかけられたら無言で逃げるタイプ？（と質問しながら眺めて）   (2023/1/8 23:13:49)

喜多 郁代> ひとりちゃんが何か考えすぎちゃってる気がする！？止めないと…！！…なんでそんな事言うの！？ひとりちゃんも廣井さんも1人しかいないじゃない！？（廣井さんごとまとめてゆっさ、ゆっさゆっさ…！）…ま、まぁ、その時はまた私が代わりにお話してあげるから…♪
  (2023/1/8 23:13:57)

廣井きくり ◆> お、あ、あ〜（揺さぶられては目が回って）うっ、、き、気持ち悪...（口を抑えてフラフラ...)   (2023/1/8 23:15:53)

後藤ひとり> て、店員に話しかけられたらあわあわしちゃいますね……私はひとりしかいないけど……私よりも上な人はたくさんいますよ………(ゆさゆさされて黒い液体を流して)   (2023/1/8 23:17:04)

喜多 郁代> ふたりしてやばそうな反応！？と、とりあえずひとりちゃんはもっと自信もって！？廣井さんは…堪えてください…！（はっと我に返っては手を離して）   (2023/1/8 23:18:06)

後藤ひとり> はっ……危うく昇天するところでした……と、とりあえず今度楽器屋に行くのはありですね……その時はまた喜多ちゃんに助けてもらうことになりそうですが……   (2023/1/8 23:21:43)

廣井きくり ◆> ちょ、、、ちょっとトイレ...（フラフラ〜〜とトイレの方へ...)   (2023/1/8 23:22:36)

喜多 郁代> ええ、任せて♪また腹話術で何とかしてあげるわ♪   (2023/1/8 23:23:40)

喜多 郁代> 廣井さんは、行ってらっしゃい…？（心配そうに見送り…）   (2023/1/8 23:24:34)

後藤ひとり> ウンッ……ウンッ………   (2023/1/8 23:26:30)

喜多 郁代> ねー♪ひとりちゃん…♡（病み目…（？））   (2023/1/8 23:28:08)

後藤ひとり> ウンッ……ウンッ………(なんか目が怖い……)   (2023/1/8 23:30:01)

廣井きくり ◆> ただいま〜.....何してるの？ふたりとも（いっこくどうみたいな事をしている2人を見ては冷や汗を）   (2023/1/8 23:30:18)

喜多 郁代> てへ…♪ちょっとだけひとりちゃんと遊んでただけですよ♪（にぱっとにこやかな笑顔を廣井さんに向けて…）ね、ひとりちゃん…♪   (2023/1/8 23:32:44)

後藤ひとり> え、あ、は、はい…………(人形の顔のままこくんこくん)   (2023/1/8 23:33:51)

廣井きくり ◆> ぼっちちゃんがそれでいいならいいけど...（なんだろうあの顔、、面白いからいいけど/いいのか）   (2023/1/8 23:34:24)

おしらせ> 伊地知虹夏さんが入室しました♪  (2023/1/8 23:34:32)

伊地知虹夏> やっほ〜！こんばんは！ぼっちちゃんとキタちゃんはお昼以来かな？きくりさんはここでは初めまして！   (2023/1/8 23:35:21)

喜多 郁代> ひとりちゃんもほら、納得してますし…♪（にこ…♪）あ、伊地知先輩もこんばんは…♪   (2023/1/8 23:35:45)

廣井きくり ◆> お、妹ちゃーん！いらっしゃ〜い（手を振って出迎えて）   (2023/1/8 23:35:55)

後藤ひとり> あ、こんばんは……   (2023/1/8 23:37:08)

伊地知虹夏> みんな揃ってるねぇ。こんなに居ると私も嬉しくなっちゃうよ〜♪あとはリョウと…ふたりちゃん？   (2023/1/8 23:38:55)

後藤ひとり> ですね……   (2023/1/8 23:40:39)

喜多 郁代> あと、店長さんも…♪   (2023/1/8 23:40:51)

廣井きくり ◆> 先輩来てくれないかな〜（ふむふむ）   (2023/1/8 23:41:26)

喜多 郁代> 店長さんはまだ1回しか見たことない、かも？   (2023/1/8 23:42:03)

伊地知虹夏> お姉ちゃん来たことあるんだ…。私はここではまだ会ったこと無いかも。いつか会えると良いなぁ♪   (2023/1/8 23:42:38)

喜多 郁代> そもそもあんまり見ませんしね？このひとりちゃんと、誰かしらの伊地知先輩はよく見る…！   (2023/1/8 23:46:56)

伊地知虹夏> このぼっちちゃんいつも居るよね。うんうん。私もそんなに居るんだ…。来始めたばっかりだからあんまり詳しく知らないけど…   (2023/1/8 23:47:56)

後藤ひとり> 私は最近ここに来てます……   (2023/1/8 23:48:10)

廣井きくり ◆> ....私は来たり来なかったりしまーす！（おにころを振りながらそう話して/聞いてない）   (2023/1/8 23:49:09)

喜多 郁代> あれ、もしかして廣井さんってはじめましてじゃなかった！？   (2023/1/8 23:50:15)

廣井きくり ◆> ...ん、、いや、イクヨちゃんは初めましてかな、大体ぼっちちゃんかリョウちゃんに会うからね（ふむ   (2023/1/8 23:51:15)

喜多 郁代> あー、じゃあ時間帯が会わなかったのかな…？たまにひょっこり現れてます…♪また会うこともあるかも…♪   (2023/1/8 23:52:01)

廣井きくり ◆> かもね〜、その時はよろしく〜（へへへ、と笑いながら返して）   (2023/1/8 23:56:09)

伊地知虹夏> もうそろそろ日付も変わっちゃうね〜。話題…話題…。何かあるかなぁ。何かぼっちちゃんみたい。あはは…   (2023/1/8 23:58:33)

喜多 郁代> ふふ、ですね♪とはいえ、いつ頃いる！みたいなのはあんまり確約できませんけど…♪   (2023/1/8 23:58:46)

後藤ひとり> 変わりますね……   (2023/1/8 23:59:30)

おしらせ> PAさんさんが入室しました♪  (2023/1/9 00:01:05)

PAさん> それなら話題として新顔…名前だしてくれてないんですね？（ひとりさんの妹ですら名前あるのにってニコッ）   (2023/1/9 00:02:04)

後藤ひとり> あ、きた……   (2023/1/9 00:03:44)

伊地知虹夏> わっ！びっくりした…。こんばんはっ！えっと…いつもお姉ちゃんと一緒に居る…   (2023/1/9 00:05:15)

PAさん> きた？喜多さんはそっちよ？（きょとん）   (2023/1/9 00:05:55)

喜多 郁代> あ、こんばんはっ、PAさん…♪（名前出さなかったの、ちょっと引け目に思って目を逸らし…）   (2023/1/9 00:06:37)

PAさん> あれ？私って店長付属品扱い？こんばんわ（入室する時に思ったけど…名前もないものね…）   (2023/1/9 00:08:39)

喜多 郁代> あはは…確かにPAさんって謎な部分が多くて素敵ですよね…♪   (2023/1/9 00:12:46)

PAさん> （皆さんが静か…私タイミング間違えたのかしらってそわそわ。）謎？…私は裏方ですからね（素敵と言ってくれるのは嬉しいってニコニコ）   (2023/1/9 00:15:18)

後藤ひとり> 1人寝ましたね……   (2023/1/9 00:15:36)

伊地知虹夏> い、いえ。みんなが話す内容を伺ってたっていうか…さっきから私の動きがぼっちちゃんに似てきてる気が…。あ！きくりさん…！   (2023/1/9 00:17:13)

PAさん> みたいね…大人組が減るのは寂しい。   (2023/1/9 00:17:22)

喜多 郁代> 廣井さんはおやすみなさいですかね？   (2023/1/9 00:17:29)

喜多 郁代> ほら、名前も知らないで魔性の女性！みたいな♪（どんなイメージを持ってるのか。ほわほわ♪ってちょっと羨望の眼差し）   (2023/1/9 00:18:06)

おしらせ> 無言時間が25分を超えたため、廣井きくり ◆lxd9gSfG6Aさんが自動退室しました。  (2023/1/9 00:21:10)

PAさん> 私はそんなわざわざ人に話す事がないだけですよ（10代の眩しさが…！）喜多さんは魔性とかミステリアスなのが好きなんですね…？   (2023/1/9 00:21:49)

後藤ひとり> もしかして厨二病………？   (2023/1/9 00:22:15)

喜多 郁代> 廣井さん、おやすみなさい♪またお話しましょうね♪   (2023/1/9 00:22:22)

PAさん> 違いますよ…？   (2023/1/9 00:22:45)

喜多 郁代> ち、違うわよ！？でもなんかこう、大人な女性！って感じがしてかっこよくて憧れませんか…？   (2023/1/9 00:22:50)

後藤ひとり> 違うんですね……   (2023/1/9 00:23:20)

伊地知虹夏> ありゃりゃぁ。きくりさんはお疲れ様です！またお話ししてください！   (2023/1/9 00:24:05)

PAさん> そもそもPAって役職名ですから自分で付けた訳でもないですよ？（後藤さんに説明しつつ）それなら…喜多さんも高校辞めて大人の仲間入りします？（楽しいですよー♪って）   (2023/1/9 00:25:58)

喜多 郁代> そ、それは…遠慮しておきますね！？大学卒業してからでも遅くないと思いますし……！   (2023/1/9 00:27:17)

PAさん> あら   (2023/1/9 00:29:04)

PAさん> っと、それは残念。喜多さんは大学まで進学予定なんですねー（誤送信しちゃった…まだまだ不慣れでごめんね）   (2023/1/9 00:29:51)

喜多 郁代> んー、もしかしたら行かないかもですけど、順当に行ったら多分進学しますし…♪（私もよくやるので全然大丈夫ですよ…！）   (2023/1/9 00:30:47)

喜多 郁代> ひとりちゃんと伊地知先輩が2人で沈黙しちゃった…あはは…（ほっぺつんつん）   (2023/1/9 00:33:27)

後藤ひとり> あ、すいません特に言うことがなくて……(つんつんされて)   (2023/1/9 00:33:44)

喜多 郁代> あ、ううん、大丈夫よ♪寝ちゃわないようにって思って……♪   (2023/1/9 00:34:10)

PAさん> 順当…（この子達が順当に行く事ってあるのかしらって憐れみの目で）まぁ進学か就職かなんて考えるのは先のことよね。   (2023/1/9 00:34:15)

後藤ひとり> 私は起きてますよ………まだ起きれます   (2023/1/9 00:34:32)

PAさん> ん〜私みたいな大人がいるとやり辛いのかしら。虹夏さんが静かなのも少し珍しいかも？（本当に後藤さんみたいな動きしてそうって目）   (2023/1/9 00:35:42)

喜多 郁代> なんだかすごく哀れみのめで見られてる！？（びく）そうですね…？まぁ、まだ1年生ですし…♪   (2023/1/9 00:36:03)

後藤ひとり> もしかして寝てる……？   (2023/1/9 00:36:57)

喜多 郁代> んー、どっちかって言うとこう、話題があんまりなくて静かになっちゃってる感じだと思いますよ♪   (2023/1/9 00:36:59)

喜多 郁代> …寝てる可能性もある…！   (2023/1/9 00:37:12)

PAさん> き、気のせいよ〜？…挫けないようにだけはしてね？（今から励ます構えだった）…寝てそうですね。（廣井さんの分も含めて毛布取ってきまーす）   (2023/1/9 00:39:48)

伊地知虹夏> 起きてる！起きてるよー！まだ眠くはない…かな？うん。大丈夫！   (2023/1/9 00:40:17)

喜多 郁代> まだ励ますのには早くないですか！？現状まだ希望9割以上ですよ！？   (2023/1/9 00:40:57)

後藤ひとり> あ、起きてた……   (2023/1/9 00:40:58)

喜多 郁代> あ、起きてた…♪ひとりちゃんと伊地知先輩がそろってすやぁってしてたらそれはそれで可愛いからアリですけど……♪   (2023/1/9 00:41:24)

PAさん> 起きてました（ぱたぱたと毛布二つ持ってきて…廣井さんにパサり。折角持ってきたし起きてる虹夏さんの肩にぱさり）   (2023/1/9 00:41:32)

後藤ひとり> 誰が寝落ちするかのデスゲームが始まる……   (2023/1/9 00:42:01)

伊地知虹夏> わわっ！ありがとうございます♪私はお昼寝したしまだ行けると思う！って言う時に限って寝ちゃうんだよなぁ…   (2023/1/9 00:42:42)

喜多 郁代> デスゲームの割に平和……（苦笑い…）   (2023/1/9 00:42:52)

PAさん> でもロックに手を出す人が順当に高校→大学→就職なんて…しますかね？（バンドマンの時点でって危ない発言になりそうねこれ）   (2023/1/9 00:44:10)

喜多 郁代> わ、私達は大丈夫…！……なはず？（ひとりちゃんは高校中退が夢とか、リョウ先輩は脳の容量すごく小さかったりするけど…！）   (2023/1/9 00:45:17)

後藤ひとり> なら早速退学届けを………   (2023/1/9 00:46:04)

PAさん> 別に構いませんよー、お昼寝も良いですよね。それなら仲良く夜を楽しまないとね   (2023/1/9 00:46:12)

喜多 郁代> ひとりちゃんは退学しようとしないのー！？！   (2023/1/9 00:46:32)

後藤ひとり> え、ダメです……   (2023/1/9 00:46:58)

喜多 郁代> 一緒に卒業しましょ…？（じぃ…）   (2023/1/9 00:47:38)

後藤ひとり> はい……喜多ちゃんと卒業します………！   (2023/1/9 00:47:51)

PAさん> 私達の中の1人がもうドロップアウトしてますよー？（山田さんより後藤さんの方が勉強危うかった記憶が…）   (2023/1/9 00:47:55)

PAさん> 留年しないと良いですねー♪   (2023/1/9 00:48:21)

喜多 郁代> そこはちゃんと面倒見るので、多分大丈夫…！   (2023/1/9 00:49:08)

後藤ひとり> (進学できるほど頭良くないって……)   (2023/1/9 00:49:09)

喜多 郁代> 結束バンド、思ったより危ういかも……   (2023/1/9 00:49:43)

後藤ひとり> 解散の危機………！？   (2023/1/9 00:50:32)

PAさん> 今更気づ……大丈夫ですよ意外となんとかなります♪   (2023/1/9 00:50:38)

喜多 郁代> 大丈夫…！例え進学しなくてもバンドは続けられるし…！   (2023/1/9 00:51:16)

後藤ひとり> ならやっぱり早速退学届けを………   (2023/1/9 00:51:43)

PAさん> それはそうですね。むしろ音楽活動と学業を両立できてる方が珍しいと思いますし   (2023/1/9 00:52:49)

喜多 郁代> それはダメーっ！！（ひとりちゃんのほっぺむにぃっ）   (2023/1/9 00:54:52)

後藤ひとり> え、ダメですか………？(むにられて)   (2023/1/9 00:57:20)

PAさん> 前途多難そうですねぇ   (2023/1/9 00:59:02)

喜多 郁代> ダメに決まってるでしょ…？ちゃんと高校までは卒業しましょ…？   (2023/1/9 00:59:03)

喜多 郁代> ひ、ひとりちゃんはやる時はやるこだから……！   (2023/1/9 00:59:20)

後藤ひとり> じゃあ頑張って卒業します……   (2023/1/9 01:00:14)

PAさん> それは知ってますよ♪…なんだか若い学生カップルみたいですね（眩しいって目を細めて）   (2023/1/9 01:01:20)

後藤ひとり> カップル……！？   (2023/1/9 01:01:34)

PAさん> はい、付き合って2、3ヶ月ぐらいって感じの雰囲気   (2023/1/9 01:02:46)

喜多 郁代> そ、そんなのじゃないですよ！？   (2023/1/9 01:03:09)

後藤ひとり> 初々しい感じです………？   (2023/1/9 01:03:35)

PAさん> まだお互いの細かな所を見ずにお熱になってる感じ♪   (2023/1/9 01:04:32)

後藤ひとり> そ、そういうことでは……//   (2023/1/9 01:05:06)

PAさん> 意外と満更でもない…？虹夏さん虹夏さん、結束バンドはバンド内恋愛はどうなんでしょう？（ひそひそと怪しい気配を感知です）   (2023/1/9 01:07:02)

喜多 郁代> 恋愛とかしてる訳じゃないですからね！？（PAさんのかた掴んでゆっさゆっさ…！）   (2023/1/9 01:11:06)

PAさん> わぁ〜…♪（慌ててる姿が可愛くてニコニコしながら揺さぶられ）   (2023/1/9 01:12:04)

喜多 郁代> 全くもう…（変にからかわれたせいで顔暑くなりながらぷくー…）   (2023/1/9 01:14:19)

後藤ひとり> ほんとですよ………(あわあわ)   (2023/1/9 01:14:52)

伊地知虹夏> バンド内恋愛かぁ…。誰か居る…ぁ。キタちゃんとリョウとか？キタちゃんリョウのこと大好きだもんね〜   (2023/1/9 01:17:10)

PAさん> なるほど…後藤さんと喜多さんじゃなく喜多さんと山田さん   (2023/1/9 01:18:29)

喜多 郁代> リョウ先輩は恋愛っていうより…尊敬……？みたいな…♪（最近色々知ってその感情も少しずつ無くなってるのはナイショ。）   (2023/1/9 01:18:30)

PAさん> なら喜多さんと虹夏さん？（消去法的な感じだけど…！）   (2023/1/9 01:19:53)

喜多 郁代> 絶対恋愛してる前提なんですか！？それも違いますからね…！   (2023/1/9 01:20:43)

伊地知虹夏> 私!?私は…恋愛はまだ早いと思うけど……ん〜、でも結束バンドのみんなの事は好きだよ！大事な仲間だもんねっ♪   (2023/1/9 01:21:10)

PAさん> ほら、ロックバンドに恋愛って付きものみたいな所ありますし？（4割ぐらい痴情のもつれで解散みたいなイメージがって）   (2023/1/9 01:23:15)

喜多 郁代> そんなことになったりしませんから！？（じとー…）   (2023/1/9 01:24:06)

伊地知虹夏> 確かに…。恋愛とバンドってよく見る組み合わせかも？もし誰かがそんな関係になっても私なら応援すると思うよ。上手くいってほしいし…   (2023/1/9 01:24:50)

PAさん> なら今はバンド内恋愛はないんですね………なら、虹夏さん、店長と後藤さんだったらどうします？（店長、気に入ってますよね後藤さんの事ってぽそり）   (2023/1/9 01:27:34)

喜多 郁代> っとと…私はそろそろ寝ておくことにしますね…？お話してくれてありがとうございました…♪おやすみなさい♪（ｷﾀｰﾝｯ☆）   (2023/1/9 01:27:40)

おしらせ> 喜多 郁代さんが退室しました。  (2023/1/9 01:27:44)

