/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2018年10月07日 10時11分 ～ 2018年10月19日 17時17分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

九条カレン> 【そうでしたか…お疲れ様です？】   (2018/10/7 10:11:49)
九条カレン> ………？す、凄いデスねー(寝ぼけの状態で感じばかりの自己紹介がまったく理解出来ずとりあえず凄いのはわかったと)私は九条カレンデース   (2018/10/8 06:40:59)

ジブリール> 九条カレンさんですね…覚えておきましょう。(腰から生えた翼でフヨフヨと浮かんでいる   (2018/10/8 06:41:55)

九条カレン> 翼が生えてるデース！凄いデース！あなたはなんと呼べばいいデスか？(興味津々に腰を見つめて)   (2018/10/8 06:43:34)

ジブリール> ジブリールとコールしてくださいませ。天翼種には翼が生えているのが当たり前ですので気になったりすることはナッシングでございます、(突然のルー語   (2018/10/8 06:45:07)

九条カレン> ジブリールデスね？了解デース！まあ私達から見れば珍しいんデスよ～(面白いなって)そういう人でもこういうお部屋って興味あるんデスか？   (2018/10/8 06:46:55)

ジブリール> 人類種のアクションがとてもスピリットになりまして、マスターにシークレットでこうしてこのルームに来たまででございます。(普通にルー語を使い始める   (2018/10/8 06:48:41)

九条カレン> よく分からないデース(ポカーンとしつつも)えっと…じゃあこういうのに興味あるデース   (2018/10/8 06:50:14)

九条カレン> ？(試しに抱きついて)   (2018/10/8 06:50:23)

ジブリール> おっと、失礼しました…この話し方はマスターにもやめた方が良いと言われていた独自言語でございました…(抱きつかれると)人類種は暖かいですね…(抱きしめるとその美しい胸にカレンさんは押し付けられる。   (2018/10/8 06:52:01)

九条カレン> なるほどデース♪そうデスか？照れちゃうデース～////(大きめの胸をマジマジと見つめつつ顔を寄せて)   (2018/10/8 06:54:04)

ジブリール> …(背筋を優しくなぞる   (2018/10/8 06:54:42)

九条カレン> んうっ…////(なぞられるとくすぐったそうにしてお返しに胸に手を触れる)   (2018/10/8 06:57:09)

ジブリール> あんっ……(ピクンと体が跳ねる。   (2018/10/8 06:57:56)

九条カレン> 凄いセクシーな体つきデースっ…////(胸を触れていた手をお尻のほうに触れて、揉んでみる)   (2018/10/8 07:00:31)

ジブリール> んぅっ…(秘部に勢いよく人差し指を挿れる   (2018/10/8 07:01:39)

九条カレン> んんっ！？…///も、もう…///ジブリールも責めなんデスか？…////(此方もジブリールの秘部に指を入れて)   (2018/10/8 07:03:08)

ジブリール> っ〜♡///なんです快感は♡(急にへたり込む   (2018/10/8 07:04:23)

九条カレン> 大丈夫デス？…////(などと心配しつつもそのままキスをしつつ秘部の中に手を入れて)   (2018/10/8 07:06:32)

ジブリール> だ、大丈夫…です♡(襲いくる快楽に飲まれそうになる。   (2018/10/8 07:07:54)

九条カレン> このまま気持ちいことするデース…////？(心配しつつも胸に吸い付いてみる。秘部の手は中に入れたまま掻き回してみる)   (2018/10/8 07:09:04)

ジブリール> っ〜♡何っこれぇ♡凄いです♡(カレンさんに抱きついて快楽に身をまかせる…   (2018/10/8 07:10:50)

九条カレン> 【ご飯なので1度抜けますね。すぐ戻ります】   (2018/10/8 07:11:34)

ジブリール> 【わかりました。   (2018/10/8 07:11:43)

九条カレン> 喜んでもらえて良かったデース…////(胸の先端を撫でながら秘部を壁をぐにぐにと押して)   (2018/10/8 07:24:53)

ジブリール> っ〜♡(イッてしまったのかカレンさんにもたれかかる   (2018/10/8 07:26:37)

九条カレン> お疲れ様デース～////(もたれかかっているジブリールを優しく撫でる)   (2018/10/8 07:29:01)

ジブリール> また…来ます♡(カレンにキスして部屋を出る。   (2018/10/8 07:29:43)

おしらせ> ジブリールさんが退室しました。  (2018/10/8 07:29:46)

九条カレン> っ…♡お疲れ様デース…///   (2018/10/8 07:30:58)

おしらせ> 九条カレンさんが退室しました。  (2018/10/8 07:49:19)

おしらせ> ウオッカ♀ ◆yBxYs5wJysさんが入室しました♪  (2018/10/8 17:05:58)

ウオッカ♀ ◆> お邪魔するぜ（扉を開けてリビングにはいると、ニンジンを食べてくつろいで）   (2018/10/8 17:08:26)

おしらせ> 無言時間が20分を超えたため、ウオッカ♀ ◆yBxYs5wJysさんが自動退室しました。  (2018/10/8 17:29:24)

おしらせ> ウオッカ♀ ◆yBxYs5wJysさんが入室しました♪  (2018/10/8 17:44:16)

ウオッカ♀ ◆> (ストレッチ中)   (2018/10/8 17:46:19)

おしらせ> 無言時間が20分を超えたため、ウオッカ♀ ◆yBxYs5wJysさんが自動退室しました。  (2018/10/8 18:06:37)

おしらせ> 九条カレンさんが入室しました♪  (2018/10/8 20:14:53)

おしらせ> 九条カレンさんが退室しました。  (2018/10/8 20:26:27)

おしらせ> 渋谷凛さんが入室しました♪  (2018/10/8 21:29:26)

渋谷凛> 静かだね…お邪魔するよ（覗いて見れば誰も居ない中、ソファの方へと向かって。腰を下ろしてゆったりと）   (2018/10/8 21:30:02)

おしらせ> ウオッカ♀ ◆yBxYs5wJysさんが入室しました♪  (2018/10/8 22:42:09)

ウオッカ♀ ◆> おう、お邪魔するぜ（バスローブを巻いて入ってくると、ソファーに座ってくつろいでいる）   (2018/10/8 22:54:09)

おしらせ> 無言時間が20分を超えたため、渋谷凛さんが自動退室しました。  (2018/10/8 23:07:06)

ウオッカ♀ ◆> 【お疲れ様】   (2018/10/8 23:09:49)

ウオッカ♀ ◆> 【待機するぜ】   (2018/10/8 23:12:51)

おしらせ> 無言時間が20分を超えたため、ウオッカ♀ ◆yBxYs5wJysさんが自動退室しました。  (2018/10/8 23:35:02)

おしらせ> リグル・ナイトバグさんが入室しました♪  (2018/10/10 08:04:32)

リグル・ナイトバグ> 相変わらずな時間…いや、別にこの時間だけにしか来れない訳じゃ無いけれど。(お邪魔しておこうかな、って顔を出しておく意味も込めて。ソファへとぽすんっと腰を降ろせば…んーっと身体を伸ばし)   (2018/10/10 08:05:16)

リグル・ナイトバグ> …っん。っと、そろそろ戻っておかなきゃ。(また後で来れたら来ようかな。と時計をちらり。ソファから立ち上がればとことこと出口の方へと向かって)   (2018/10/10 08:22:35)

おしらせ> リグル・ナイトバグさんが退室しました。  (2018/10/10 08:22:39)

おしらせ> 九条カレンさんが入室しました♪  (2018/10/10 18:03:26)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2018/10/10 18:24:09)

おしらせ> 竹井 久さんが入室しました♪  (2018/10/10 21:12:10)

竹井 久> 久し振りに来たわ…(最近の多忙さに辟易した状態でリビングに入るとソファーに座るとそのまま寝転がり)   (2018/10/10 21:13:34)

竹井 久> 誰も居ないのかしら？(静かな部屋の空間に眠気に襲われてきて立ち上がると出口に向かって歩いて行って)　   (2018/10/10 21:28:07)

おしらせ> 竹井 久さんが退室しました。  (2018/10/10 21:28:22)

おしらせ> ウオッカ♀ ◆yBxYs5wJysさんが入室しました♪  (2018/10/11 20:24:17)

ウオッカ♀ ◆> 【待機します】   (2018/10/11 20:26:23)

ウオッカ♀ ◆> お邪魔するぜ、誰かいないのか？(最近の多忙さに辟易した状態でリビングに入るとソファーに座るとそのまま寝転がり)   (2018/10/11 20:31:00)

おしらせ> 無言時間が20分を超えたため、ウオッカ♀ ◆yBxYs5wJysさんが自動退室しました。  (2018/10/11 21:07:50)

おしらせ> 九条カレンさんが入室しました♪  (2018/10/11 22:03:26)

おしらせ> ウオッカ♀ ◆yBxYs5wJysさんが入室しました♪  (2018/10/11 22:13:05)

九条カレン> 【こんばんは】   (2018/10/11 22:15:40)

九条カレン> 【居ないようなので失礼します。】   (2018/10/11 22:24:20)

おしらせ> 九条カレンさんが退室しました。  (2018/10/11 22:24:21)

おしらせ> 無言時間が20分を超えたため、ウオッカ♀ ◆yBxYs5wJysさんが自動退室しました。  (2018/10/11 22:33:06)

おしらせ> ウオッカ♀ ◆yBxYs5wJysさんが入室しました♪  (2018/10/11 22:46:02)

ウオッカ♀ ◆> 【待機します】   (2018/10/11 22:49:05)

おしらせ> 無言時間が20分を超えたため、ウオッカ♀ ◆yBxYs5wJysさんが自動退室しました。  (2018/10/11 23:14:05)

おしらせ> ウオッカ♀ ◆yBxYs5wJysさんが入室しました♪  (2018/10/11 23:14:19)

ウオッカ♀ ◆> 【待機します】   (2018/10/11 23:24:43)

おしらせ> 無言時間が20分を超えたため、ウオッカ♀ ◆yBxYs5wJysさんが自動退室しました。  (2018/10/11 23:45:17)

おしらせ> ウオッカ♀ ◆yBxYs5wJysさんが入室しました♪  (2018/10/12 00:26:47)

おしらせ> 無言時間が20分を超えたため、ウオッカ♀ ◆yBxYs5wJysさんが自動退室しました。  (2018/10/12 01:09:23)

おしらせ> 九条カレンさんが入室しました♪  (2018/10/12 21:11:12)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2018/10/12 21:31:28)

おしらせ> 渋谷凛さんが入室しました♪  (2018/10/12 23:57:53)

渋谷凛> 色々と気温も落ち着いたというか寒くなってきたね…（ふぅと吐息を零してやってきて温かい飲み物を用意して）…   (2018/10/12 23:59:00)

渋谷凛> （紅茶を片手にリビングに戻ってくるとソファに腰を下ろして）ふぅ……   (2018/10/13 00:27:11)

おしらせ> マヤさんが入室しました♪  (2018/10/13 00:42:41)

マヤ> こんばんは。ここは初めてだけど…お邪魔してもいい？(部屋に入ると軽く会釈をして挨拶をし)   (2018/10/13 00:44:10)

おしらせ> 輿水幸子さんが入室しました♪  (2018/10/13 00:44:44)

渋谷凛> うん、いらっしゃい。邪魔というか誰が来てもいいしね？（コトリとカップを置いては挨拶を返して）   (2018/10/13 00:44:52)

輿水幸子> はい！　可愛いボクのお出ましですよ！   (2018/10/13 00:44:57)

渋谷凛> 幸子もまぁいらっしゃいかな？（入り口の方へと視線を向けて）   (2018/10/13 00:46:25)

マヤ> そうなの？じゃあ、お邪魔させてもらわね(向き合う位置のソファーへと腰を下ろして行儀よく座り)   (2018/10/13 00:46:44)

輿水幸子> 凛さんもマヤさんもこんばんはっ（にっこり挨拶）   (2018/10/13 00:46:55)

マヤ> こんばんは。えっと、私のこと知ってるの？(新しく来た子に挨拶を返すと、名前を呼ばれて首を傾げ)   (2018/10/13 00:48:37)

輿水幸子> え、あ、いや、は、ははは！　可愛いボクに知らないことはないのですよ（汗だらだら。名前見てそのまま挨拶しちゃって焦り）   (2018/10/13 00:49:41)

マヤ> そうなんだ。貴女すごいのね(素直に感心して頷き)   (2018/10/13 00:50:52)

輿水幸子> も、もももちろんです！（胸張って、汗だらだらだけどどや顔！）   (2018/10/13 00:51:19)

マヤ> ふふっ、面白い人ね(どや顔に微笑み返して)   (2018/10/13 00:52:12)

渋谷凛> うん幸子は色々と相変わらずだね……？（誤魔化さなくてもねぇ）渋谷凛だよ。よろしく。   (2018/10/13 00:52:33)

輿水幸子> お、面白い…？（慣れない反応にどぎまぎしちゃって）   (2018/10/13 00:52:45)

輿水幸子> そ、そうですか…？（ばれてそうだけど凛さんなら言わないだろうという安心感で少し落ち着いて）   (2018/10/13 00:53:09)

マヤ> 私はマヤ。暁の賢……いえ、見ての通り普通の学生よ(自己紹介に対して自分も自己紹介しようとするも、途中で言い直して)   (2018/10/13 00:54:35)

輿水幸子> ボクは、みんな既に知ってるでしょうけど、輿水幸子！　一番かわいいアイドルです！（胸張りどや顔）   (2018/10/13 00:55:24)

マヤ> 二人はお知り合いなの？性格は対照的っぽいけど…(自分と年齢が近そうな二人を見比べては尋ね)   (2018/10/13 00:56:46)

渋谷凛> まぁ出身は同じだからね。それ以上は…まぁわからないかな？（細部は違うからねと）   (2018/10/13 00:58:09)

輿水幸子> まぁ…（ほっぺかきかき）　いろいろあるけど、ボクの可愛さはどこでも同じですよ   (2018/10/13 00:59:03)

マヤ> あいどる…？あぁ、たしかアイドルってトーキョーでは有名な職業だったわね(少し考えて思い出し)   (2018/10/13 00:59:09)

渋谷凛> 【設定次第で別事務所もありえるからねぇシンデレラガールズは…】   (2018/10/13 01:01:21)

輿水幸子> 日本中で有名ですよ！   (2018/10/13 01:01:27)

輿水幸子> 【そこらへん難しいですよね…】   (2018/10/13 01:01:35)

マヤ> 二人とも何かしらのメディアで見たことあるのだけど、あまり詳しくはなくて…ごめんなさいね(苦笑いして謝り)   (2018/10/13 01:01:43)

渋谷凛> いいよ、もっと有名になるくらい仕事をすれば良い話だからね（軽く手を振って謝るのを止めて）   (2018/10/13 01:03:02)

輿水幸子> いえいえ、これを機にボクの可愛さだけでも覚えてくだされば！（どやぁ）   (2018/10/13 01:03:08)

マヤ> ありがとう。二人ともいい人ね(ほっとしたように笑顔で返し)   (2018/10/13 01:04:29)

輿水幸子> どういたしまして！   (2018/10/13 01:04:44)

マヤ> 私もまだまだね。もっと【ジャンル：芸能】を勉強しないと…(カテゴリー的には【ジャンル：アニメ＆ゲーム】だけれど)   (2018/10/13 01:07:59)

渋谷凛> まぁ私達がSランク、SSランクのアイドルと呼ばれるようにならないとその辺はね…   (2018/10/13 01:10:17)

輿水幸子> そうですね…努力有るのみです！   (2018/10/13 01:10:35)

渋谷凛> その辺を気にせずに遊んでも良いわけだしね…ここはそういう場所でもあるんだから   (2018/10/13 01:12:02)

マヤ> …ランク？アイドルの世界も大変なのね。沢山いるみたいだし、ライバル同士な感じなのね(ふむふむと頷き)   (2018/10/13 01:12:02)

輿水幸子> ふぁ…すみません、今日は僕、もう寝ますね…おやすみなさい！   (2018/10/13 01:12:57)

おしらせ> 輿水幸子さんが退室しました。  (2018/10/13 01:13:01)

マヤ> おやすみなさい。また会えたらその時はよろしくね(立ち去る幸子に手を振って)   (2018/10/13 01:13:51)

マヤ> ここって不思議な場所よね。色んな人が集まるみたいだし(部屋中を見渡してから凛を見て)   (2018/10/13 01:16:28)

渋谷凛> ライバルであり仲間ってところかな（おやすみと見送って改めて彼女へと）貴女の方も大変そうだけれどね　うん、色々と面白い人に会えるかな   (2018/10/13 01:17:20)

マヤ> なるほどね。うん、私の学校でもランクシステムはあるし…。でも、ライバルのみんなは良い友達よ(自信を持って語り)私、にぎやかな所好きだから、ここにこれて良かった♪   (2018/10/13 01:20:55)

渋谷凛> まぁ賑やかかどうかはわからないけれど（少しだけ首を傾げて見せて肩を竦める）悪い遊びを覚えて帰るところでもあるかもね？（口元にクスと小さく笑みを浮かべて見つめやって）   (2018/10/13 01:23:04)

マヤ> でも、色んな人と色々話せるのは楽しいと思うけど……悪い遊び？(つられるように首を傾げてみて)   (2018/10/13 01:25:54)

渋谷凛> うん、そういう楽しみだね……（首を傾げたところに手を伸ばしてそっと頬に触れる。じっと見つめて覗きこんで）話すだけじゃなくて触れあうこともね   (2018/10/13 01:27:59)

マヤ> 何だか意味深な言い方だけど…(不思議そうな表情で凛を見て)ふれあいは大事よね………あっ(凛の挙動にじっとしたまま見つめ返して)   (2018/10/13 01:30:44)

渋谷凛> まぁ意味がわからないかどうかは貴女次第だしね（頬から目元を指先でなぞってこつんとおでこを合わせる）それで本当にわからないのかな？   (2018/10/13 01:33:06)

マヤ> いや…あの…それは…その…(言葉を濁しながらも顔を赤らめ、気恥ずかしさから視線は泳いでしまっていて)   (2018/10/13 01:35:43)

渋谷凛> わからなければ教えてみるけれどマヤはどうするのかな（赤くなってればそこまで知らなくはないよねと。すっと顔を傾けて唇を軽く寄せて）   (2018/10/13 01:37:00)

マヤ> 凛って…結構いじわる…よね…(若干声が震えるも、唇を寄せられれば自ら目を閉じて)   (2018/10/13 01:39:55)

渋谷凛> そんなことはないけれど（ちゅっと唇を重ねてから離れて）ここにたどり着いてしまうくらいだしね？　うん、お部屋の方へと動こうか？   (2018/10/13 01:41:56)

マヤ> ………(唇を重ねてから離れると幾分頬が上気しており)……うん(凛の言葉に頷くと、彼女の腕の裾を握り)   (2018/10/13 01:44:23)

渋谷凛> 【うん、鍵のありなしはどうかな？】   (2018/10/13 01:44:58)

マヤ> 【どちらでも大丈夫ですし、どちらも行けますよ】   (2018/10/13 01:45:31)

渋谷凛> （ぎゅっと捕まれた手元、ゆるりと一度払ってはギュッと指を絡める様に掴み直す。握った手を引いてはちらりと視線を向けて一緒にと連れて行き）   (2018/10/13 01:46:46)

渋谷凛> 【それじゃあいこっか】   (2018/10/13 01:47:07)

マヤ> 【はい、分かりました】   (2018/10/13 01:47:26)

おしらせ> 渋谷凛さんが退室しました。  (2018/10/13 01:48:14)

おしらせ> マヤさんが退室しました。  (2018/10/13 01:48:23)

おしらせ> 竹井 久さんが入室しました♪  (2018/10/13 17:46:06)

竹井 久> こんばんは…(リビングに入ると奥のキッチンに向かうとお湯を沸かしながら紅茶の用意をし始めて)   (2018/10/13 17:48:36)

おしらせ> フランさんが入室しました♪  (2018/10/13 20:42:02)

フラン> こんばんはぁー　久しぶりぃー　（カレー片手にお部屋に入ってくる）   (2018/10/13 20:42:32)

竹井 久> あら、フラン…こんばんは。久し振りね…(カレー持ってるのを見て相変わらずカレー好きなのねと思いながら見てるわ)   (2018/10/13 20:46:23)

竹井 久> 【急落ちかしら？】   (2018/10/13 20:56:50)

おしらせ> 無言時間が20分を超えたため、フランさんが自動退室しました。  (2018/10/13 21:03:10)

竹井 久> 【お疲れ様でした。おやすみなさい】   (2018/10/13 21:03:37)

おしらせ> フランさんが入室しました♪  (2018/10/13 21:10:25)

フラン> ごめん……　背後が……   (2018/10/13 21:10:34)

竹井 久> 【大丈夫なの？】　   (2018/10/13 21:11:08)

フラン> 【ご飯の用意しながらだから……　落ち着いてはいないかも？】   (2018/10/13 21:15:20)

竹井 久> 【無理に入る事無いのよ？】   (2018/10/13 21:15:52)

フラン> 【ん……じゃぁ時間出来たらまたくるー】   (2018/10/13 21:22:33)

おしらせ> フランさんが退室しました。  (2018/10/13 21:22:35)

竹井 久> 【ええ、また話しましょう】   (2018/10/13 21:23:32)

おしらせ> 無言時間が20分を超えたため、竹井 久さんが自動退室しました。  (2018/10/13 22:07:57)

おしらせ> 福路美穂子さんが入室しました♪  (2018/10/14 16:43:50)

福路美穂子> [上埜さんまた会いたい   (2018/10/14 16:44:53)

おしらせ> 福路美穂子さんが退室しました。  (2018/10/14 16:45:05)

おしらせ> 竹井 久さんが入室しました♪  (2018/10/14 17:27:05)

竹井 久> 【あら、美穂子来てたのね？また来るかしら？】   (2018/10/14 17:28:02)

おしらせ> 無言時間が20分を超えたため、竹井 久さんが自動退室しました。  (2018/10/14 17:48:26)

おしらせ> 竹井 久さんが入室しました♪  (2018/10/14 17:50:44)

竹井 久> 【美穂子が気づくか待ってみようかしら】   (2018/10/14 17:51:15)

竹井 久> 【見てないのかしらね…】   (2018/10/14 18:07:25)

おしらせ> 竹井 久さんが退室しました。  (2018/10/14 18:14:36)

おしらせ> ウオッカ♀ ◆yBxYs5wJysさんが入室しました♪  (2018/10/14 22:17:35)

ウオッカ♀ ◆> 【待機します】   (2018/10/14 22:25:02)

おしらせ> 福路美穂子さんが入室しました♪  (2018/10/14 22:25:54)

福路美穂子> [こんばんはウォッカさん   (2018/10/14 22:26:21)

ウオッカ♀ ◆> 【こんばんは】   (2018/10/14 22:28:23)

おしらせ> 竹井 久さんが入室しました♪  (2018/10/14 22:28:43)

竹井 久> 【美穂子見つけたわ(クスッ)】   (2018/10/14 22:29:18)

竹井 久> 【こんばんは…】   (2018/10/14 22:29:30)

ウオッカ♀ ◆> 【オレ、空気に】   (2018/10/14 22:30:25)

竹井 久> 【魚にも用があったのよ。先日の待機ロル…私の待機ロルをコピペね？あれは止めてちょうだいね】   (2018/10/14 22:32:07)

ウオッカ♀ ◆> 【おう、以後気をつけるぜ】   (2018/10/14 22:33:52)

竹井 久> 【ちゃんと自分で考えて待機なさい】   (2018/10/14 22:35:28)

ウオッカ♀ ◆> 【ありがとうな、久】   (2018/10/14 22:38:50)

おしらせ> 無言時間が20分を超えたため、福路美穂子さんが自動退室しました。  (2018/10/14 22:49:25)

おしらせ> 無言時間が20分を超えたため、竹井 久さんが自動退室しました。  (2018/10/14 22:55:40)

おしらせ> 無言時間が20分を超えたため、ウオッカ♀ ◆yBxYs5wJysさんが自動退室しました。  (2018/10/14 22:59:08)

おしらせ> ウオッカ♀ ◆yBxYs5wJysさんが入室しました♪  (2018/10/14 23:02:28)

おしらせ> 無言時間が20分を超えたため、ウオッカ♀ ◆yBxYs5wJysさんが自動退室しました。  (2018/10/14 23:23:13)

おしらせ> 九条カレンさんが入室しました♪  (2018/10/15 15:44:11)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2018/10/15 16:04:27)

おしらせ> ウオッカ♀ ◆yBxYs5wJysさんが入室しました♪  (2018/10/15 16:55:46)

ウオッカ♀ ◆> 待機するぜ(ソファーでニンジンを食べながらくつろいで)   (2018/10/15 17:04:51)

おしらせ> 無言時間が20分を超えたため、ウオッカ♀ ◆yBxYs5wJysさんが自動退室しました。  (2018/10/15 17:48:50)

おしらせ> ウオッカ♀ ◆yBxYs5wJysさんが入室しました♪  (2018/10/15 18:27:14)

おしらせ> 無言時間が20分を超えたため、ウオッカ♀ ◆yBxYs5wJysさんが自動退室しました。  (2018/10/15 18:47:16)

おしらせ> ウオッカ♀ ◆yBxYs5wJysさんが入室しました♪  (2018/10/15 19:10:53)

おしらせ> 無言時間が20分を超えたため、ウオッカ♀ ◆yBxYs5wJysさんが自動退室しました。  (2018/10/15 19:30:54)

おしらせ> 九条カレンさんが入室しました♪  (2018/10/15 20:01:07)

おしらせ> 九条カレンさんが退室しました。  (2018/10/15 20:01:28)

おしらせ> ウオッカ♀ ◆yBxYs5wJysさんが入室しました♪  (2018/10/15 23:42:07)

ウオッカ♀ ◆> 待機するぜ(ソファーでニンジンを食べながらくつろいで)   (2018/10/16 00:18:34)

おしらせ> 無言時間が20分を超えたため、ウオッカ♀ ◆yBxYs5wJysさんが自動退室しました。  (2018/10/16 00:40:27)

おしらせ> 竹井 久さんが入室しました♪  (2018/10/16 22:36:28)

竹井 久> 【こんばんは、誰か居るかしら？】   (2018/10/16 22:37:10)

おしらせ> 無言時間が20分を超えたため、竹井 久さんが自動退室しました。  (2018/10/16 23:02:37)

おしらせ> 竹井 久さんが入室しました♪  (2018/10/17 15:54:25)

竹井 久> 【こんにちは…】   (2018/10/17 15:55:05)

おしらせ> 無言時間が20分を超えたため、竹井 久さんが自動退室しました。  (2018/10/17 16:43:20)

おしらせ> 九条カレンさんが入室しました♪  (2018/10/17 18:41:56)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2018/10/17 19:02:00)

おしらせ> 竹井 久さんが入室しました♪  (2018/10/17 19:14:31)

竹井 久> 【こんばんは…誰か居るかしら？】   (2018/10/17 19:14:53)

おしらせ> ウオッカ♀ ◆yBxYs5wJysさんが入室しました♪  (2018/10/17 20:42:05)

竹井 久> 【魚、こんばんは】   (2018/10/17 20:44:04)

ウオッカ♀ ◆> 【おう、久し振り】   (2018/10/17 20:44:41)

竹井 久> 【そうね…久し振りね】   (2018/10/17 20:46:50)

おしらせ> 無言時間が20分を超えたため、ウオッカ♀ ◆yBxYs5wJysさんが自動退室しました。  (2018/10/17 21:04:52)

竹井 久> 【お疲れ様】   (2018/10/17 21:05:28)

