/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2021年07月17日 02時54分 ～ 2021年08月14日 07時42分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> マヤさんが入室しました♪  (2021/7/17 02:54:49)
吉田優子> うぅ…そんなに誉められたら照れちゃいますよぉ…(しっかりとマヤさんに抱きつきながら、頬を寄せてすりすり…って甘えていて)   (2021/7/17 03:53:33)

マヤ> でも胸は…身体に反しておっきいような…(こちらからも頬擦りしては、そっと貴女の胸に手を添えてみたり)   (2021/7/17 03:56:02)

吉田優子> あっ…ちょ、っ…っん、っ…(胸を指摘され、触られると再び顔が真っ赤に…。)…は、はずかしい…です…(貴女の服の袖をつかみ、外に視線を向けながらくいって引っ張って)   (2021/7/17 03:57:47)

マヤ> 別に女の子同士だし…そんなに恥ずかしがることはないと思うけど…(外が気になるの？という表情をしながらも、今度はお腹をさするように撫でて)   (2021/7/17 04:00:34)

吉田優子> ん、っ…も、ぉ…そうですけどぉ…。(くたり、と脱力し、貴女の手に身を委ねて。お腹は、ちょっとぷにぷに…)   (2021/7/17 04:04:20)

マヤ> もぅ……(脱力してる身体を再び抱き寄せると、不意に耳たぶにちゅっとキスしてみたり)   (2021/7/17 04:06:39)

吉田優子> …っ…ま、まやさん…？(真っ赤になった耳たぶにキスをされて。貴女を見上げたら、こちらからも顔を寄せ、頬にキスを返して   (2021/7/17 04:07:30)

マヤ> いきなりでごめんね。優子ちゃん可愛い過ぎて…キスしたくなっちゃって…(頬にキス受けしてはにかむと、さらにお返しにと唇へ軽くちゅっとキスしてから離し)   (2021/7/17 04:09:32)

吉田優子> ぁ、…い、え…大丈夫、ですっ…(唇にキスをもらったら、今度は私から…唇をくっつけて…)   (2021/7/17 04:10:47)

マヤ> 優子ちゃ………んっ(目をつむり唇同士を密着させていけば、ソファの背もたれにゆっくりと押し倒して)   (2021/7/17 04:12:48)

吉田優子> ん、っ…は、ん…(目をつむってキスの感触を味わって…そのまま、抵抗せずに押し倒されて)   (2021/7/17 04:13:56)

マヤ> んぅ…んんっ……(唇の感触を味わうように押し合い続けながら、お互いの片手をそっと恋人繋ぎにしてきゅっと握り   (2021/7/17 04:15:41)

吉田優子> ん、んっ…ふ、ん…っ…(唇を押し付け、食み合わせて…。片手を握られたら指を絡めるように恋人繋ぎで握り返して)   (2021/7/17 04:16:51)

マヤ> はふっ…んぅ……んむぅ…(唇の隙間から熱い吐息を洩らし、貴女の上唇を自身の上下の唇で挟み込んで優しく圧迫していき)   (2021/7/17 04:19:34)

吉田優子> ん、く、ぁ…んぁっ…(貴女の口の中に熱い吐息を漏らし、唇を挟み、舌をねだるように差し出して)   (2021/7/17 04:21:20)

マヤ> んんぅ……んくっ…あむぅ…ん(貴女の唇をなぞるように舌先を動かすと、差し出してきた舌をくっつけるようにゆっくりと絡めていき)   (2021/7/17 04:24:09)

マヤ> (ゆっくりと自身の舌を絡めていき)   (2021/7/17 04:24:49)

吉田優子> ん、ん、ふ、ぁ、ん…っ…(舌先が絡んだら頭が蕩け、びく、びく…と震えて。私からも舌を絡め返し、貴女と首に腕を絡めて)   (2021/7/17 04:25:28)

マヤ> んちゅっ…はふぅ……んんんっ…(恋人繋ぎの手の握る力を強めると、お互いの唾液を混ぜ合わせるように舌をうねらせては卑猥に絡ませあって)   (2021/7/17 04:27:54)

吉田優子> んは、ぁん、んぅっ…(きゅっと呼応するようにてに力を込め、うねる舌を付け根まで絡ませ、擦って…唾液を泡立たせて)   (2021/7/17 04:30:38)

マヤ> んふぅ……あむっ…んんぅ…はふぅ(舌を押し込んで貴女の口内を蹂躙するように掻き回し、逆に貴女の舌を自身の口内へ引き込んではしゃぶり回し、唾液のくちゅくちゅという水音を部屋に響かせ続けて)   (2021/7/17 04:33:10)

吉田優子> ん、ひ、ぁぅ…んっ、ふ、っ…っ…(舌が押し込まれ口中をなめ回されたら、力なく舌をつきだして…それを吸い出されれば、背中がそりかえって…。口からは唾液がこぼれてしまって…)   (2021/7/17 04:34:41)

マヤ> んっ…んぅ………ぷはっ…ふぅ…(呼吸が苦しくなって舌を解放して唇を離すと、お互いの唇に唾液のアーチを描いたまま…熱に浮かされたような表情を貴女へ向けて)   (2021/7/17 04:37:05)

吉田優子> はぁ、はぁ…んふぁ、ぅ…(唇がはなれたら、肩で息をしながら舌をつなぐ唾液の橋をながめ、蕩けた表情で見つめあっていて…)   (2021/7/17 04:38:26)

マヤ> はぁ…はふぅ……こんなにキスしたのは…久しぶりかな。優子ちゃん…キス上手だね(貴女の口からこぼれて垂れる唾液を舌でぺろっと舐め取りはにかんで)   (2021/7/17 04:40:02)

吉田優子> …ぅ、うっ…マヤさんがリードしてくれたから…っ…(うつむき加減に貴女をみあげ、しがみついたままで…)   (2021/7/17 04:43:10)

マヤ> それは…優子ちゃんが可愛いから…つい…したくなっちゃったというか…ね(いたずらっぽくウィンクすると、そっと頭を撫でてあげて)   (2021/7/17 04:45:06)

吉田優子> はふっ…もう、朝になっちゃいましたね…。(撫でられたら、うとうと…と)   (2021/7/17 04:46:02)

マヤ> そ、そうだね…。このまま一緒に寝ちゃう？(おでこにキスすると、抱っこしたまま立ち上がって)   (2021/7/17 04:47:36)

吉田優子> はいっ。…また、お会いできればな、と…(すや、すや)   (2021/7/17 04:48:19)

マヤ> うん、おやすみなさい…。また会えたら…よろしくね(一緒に連れ添い部屋をあとにしたのでした)   (2021/7/17 04:49:12)

吉田優子> おやすみなさぁい   (2021/7/17 04:49:35)

おしらせ> 吉田優子さんが退室しました。  (2021/7/17 04:49:43)

おしらせ> マヤさんが退室しました。  (2021/7/17 04:50:08)

おしらせ> 天々座理世さんが入室しました♪  (2021/7/19 22:07:54)

おしらせ> 無言時間が20分を超えたため、天々座理世さんが自動退室しました。  (2021/7/19 22:28:34)

おしらせ> 藤岡ハルヒさんが入室しました♪  (2021/7/22 17:13:29)

藤岡ハルヒ> こんにちわ…。夕方になると幾らか涼しいかなと…。   (2021/7/22 17:13:59)

おしらせ> 無言時間が20分を超えたため、藤岡ハルヒさんが自動退室しました。  (2021/7/22 17:34:01)

おしらせ> 藤岡ハルヒさんが入室しました♪  (2021/7/22 17:54:29)

藤岡ハルヒ> うぅ…一歩でも外に出ると、溶けますなぁ…。   (2021/7/22 17:54:57)

おしらせ> 無言時間が20分を超えたため、藤岡ハルヒさんが自動退室しました。  (2021/7/22 18:15:14)

おしらせ> 藤岡ハルヒさんが入室しました♪  (2021/7/22 20:49:13)

藤岡ハルヒ> また来てしまいました…。   (2021/7/22 20:49:28)

藤岡ハルヒ> さて…   (2021/7/22 21:02:22)

おしらせ> 藤岡ハルヒさんが退室しました。  (2021/7/22 21:06:24)

おしらせ> ライダーさんが入室しました♪  (2021/7/25 01:17:22)

おしらせ> 島風さんが入室しました♪  (2021/7/25 01:21:07)

島風> 【こんばんは〜♪】   (2021/7/25 01:21:15)

ライダー> ……ここに来るのも、随分久しぶりな気がしますね。今日は衛宮家にセイバーも凛もいない、士郎とサクラだけですからね。邪魔者はいないに越したことはありません。ここなら、本もたくさんありますし、のんびりさせてもらいましょうか。（部屋に入って来るなり独り言つように呟くと、マスターの顔を思い浮かべ小さく笑みを零す。ソファーに腰かけ適当に取ってきた文庫本を広げて）
  (2021/7/25 01:23:41)

ライダー> 【こんばんは】   (2021/7/25 01:23:48)

島風> 【人違いだったら申し訳ないけど、もしかしたらお話ししたことあるカタかな…？】   (2021/7/25 01:25:14)

ライダー> 【はて、こちらとしては記憶にございませんが、もしどこかで会っていましたら申し訳ないです。】   (2021/7/25 01:26:58)

島風> 【あ、ううん、大丈夫…会ってたとしても数年前だし…よかったらお話しから大丈夫かな？】   (2021/7/25 01:28:27)

ライダー> 【構いませんよ。どういった内容をお考えですか？】   (2021/7/25 01:30:28)

島風> 【そうだね…ライダーさんみたいなスタイルの人大好きだから…そのことについてたかもお話ししたいかも♪…良かったら移動してお話しとかできる？】   (2021/7/25 01:31:31)

ライダー> 【申し訳ないですが、できればここでお願いしたいですね。私はこのお部屋での交流を目的としていますので。】   (2021/7/25 01:33:32)

島風> 【あぁ、そうだったんだね…！実はその…なんとなーくここでやるのが小っ恥ずかしくて…どうしてもダメなら大丈夫なんだけども…】   (2021/7/25 01:34:49)

ライダー> 【申し訳ありません。私としてもここでの交流という目的がありますゆえ、ご希望にはお応えいたしかねます。】   (2021/7/25 01:41:14)

島風> 【ごめんね〜失礼しました】   (2021/7/25 01:42:43)

おしらせ> 島風さんが退室しました。  (2021/7/25 01:42:45)

ライダー> 【お疲れさまです。そちらにも良いご縁がありますよう。】   (2021/7/25 01:46:50)

おしらせ> セイバーさんが入室しました♪  (2021/7/25 02:09:17)

セイバー> 急に降ってくるなんて想定外でした（外出中に突然の大雨。緊急避難でこの部屋へ飛び込みます。幸いあまり濡れずに逃げ込めました）あまり無駄遣いするつもりはありませんが…お茶の一杯くらいは。すみません、熱い紅茶を…あれ？貴女は…（店員さんだと思い声をかけた相手は見知った顔で）
  (2021/7/25 02:09:22)

セイバー> 【こんばんは　はじめまして】   (2021/7/25 02:09:47)

ライダー> （ソファーにゆるりと腰かけ、しばらく本を読んでいただろうライダー。不意に開かれたドアの音と声に、先ほどまで活字を追っていた視線をふと上げて）おや…セイバーではないですか。奇遇ですね、このようなところで。（顔を上げ、その人物を見遣ると、そこに会ったのは見知った顔。セイバークラス、自分と同じサーヴァントと呼ばれる存在だ。真っすぐ視線を向け、少し意外そうな表情で）【こんばんは。初めましてです】
  (2021/7/25 02:16:28)

セイバー> やはりライダーでしたか。外出してたのは知っていましたがまさかこちらに居たなんて。あ、隣…いいです？（雨に祟られての入室、見知らぬ部屋なので知り合いがいるとなんだか落ち着く気がしたのでライダーの隣をお伺い…返事を待つ間にハンカチを取り出し、少し濡れた頭周りを拭いたりして）
  (2021/7/25 02:24:09)

ライダー> えぇ、まぁ。散歩のついでと言った所でしょうか。家で家事のひとつでも手伝おうかとは思いましたが、サクラと士郎がいますので、私の出る幕ではないでしょう。あぁ、どうぞ、私のような大女の隣でよろしければ。（彼女の言葉に軽く経緯を口にしながら、雨に降られたのだろうその姿に、少し早めで出かけて正解でした、なんて小さく付け加えて。隣いいか、と彼女の問いには小さくコクリと頷いて）
  (2021/7/25 02:31:16)

セイバー> ありがとうございます、ライダー（ライダーの許しが出ましたので、隣へ腰掛けます。濡れたのは頭と肩くらいなものでしたのでソファーを汚すようなことはないでしょう）そうなのです。凛にお小遣いをいただきまして、しばらく散歩でもと言われましたのでこんびににて肉まんでも、っと思った矢先にこれですから（窓の向こうは大雨、まだ降り続いています）桜と士郎…あっ！（凛が私に言いつけた理由、わかった気がして）もしかしてライダーも…それで、ですか？（思わず訪ねてしまいます）
  (2021/7/25 02:38:48)

ライダー> （彼女は感謝をひとつつけ、ソファーに腰を下ろす。ソファーに並ぶと、小柄な彼女との対比に、心の中で小さくため息。さして濡れた様子もなく落ち着いた様子であるが、サーヴァントは病気になることはありませんので問題ないでしょう。）お小遣いをもらって即買い食いとは、あなたらしいですね。まぁそれは置いておいて、そう言うことには野暮なセイバーにしては察しがいいではないですか。えぇ、仰る通り、サクラのためです。士郎は朴念仁ですから、サクラが何処まで攻められるかはわかりませんがね。（クスリと、冗談めかすように笑みを零して）
  (2021/7/25 02:48:21)

セイバー> そそ、即買い食いだなんて…前にお使いの際に新作ののぼりを見かけていましたし、私は特に予定がなかったものですから立ち寄ろうと思っただけで…（わたわたと言い訳しようとすればするほどライダーの指摘は的を得ていまして、あう…）察しが良いと言いますか、なんだか桜を見ていますと応援したくなるというか…士郎の性格を思えばライダーの仰る通りだと（私もかつては通った道…っと実感こもったため息を）ところでライダー、ここは喫茶店かと思ったのですが店員さんは居ないのでしょうか？（ここがどんなお店（部屋）なのか知らないので、勝手に居座って良いのかと不思議がってみたり）
  (2021/7/25 02:55:18)

ライダー> いえ、別に責めているわけではないですので。衛宮家の食費がそれで少しでも浮くなら士郎も喜ぶでしょう。（ニィ、と口角を上げると意地悪そうに笑いながら）そうですね…サクラはどこか押しが弱いところがあります。リンやイリヤスフィールのラブコメ力（らぶこめちから）に負けないよう、こういうチャンスはしっかり者にしていただかないと。（彼女の物言いに、同意するように頷くと、辟易としながらも、どこか楽し気にクツクツと喉を鳴らして笑う。もっとも、リンは士郎をからかっているところが大きいでしょうが。）喫茶店、ではありませんが、お部屋の仕様上、セルフサービスで、飲食は自由みたいですよ。（何か淹れてきましょうか？と一言聞いてみて）
  (2021/7/25 03:08:24)

おしらせ> 無言時間が20分を超えたため、セイバーさんが自動退室しました。  (2021/7/25 03:15:38)

おしらせ> セイバーさんが入室しました♪  (2021/7/25 03:17:35)

セイバー> そ、そうですか？なんだか恥ずかしいような…別に肉まんだけしか用が無いわけではありませんし…便利ですよねコンビニ？（飲み物もスイーツも充実してますし…っと士郎の知らない所で満喫っぷりをちらちらと♪）士郎は私に食べてもらえるほうが嬉しいと言ってます！（ライダーの一言には妙にムキになって。実は心にチクリとしたものを感じては居ます、一応…）そうなのです！凛はなぜあの様に人をからかうのでしょうか？イタズラ好きなのかどうも士郎だけではなく私にもちょっかいを…いえ、何かされたわけではないのですが、私を見る目が、その…そんなに召喚でセイバークラスを外したのが悔しかったのでしょうか、ね？（凛と一緒じゃなかったのはそっちを恐れて…みたいな雰囲気を）はあ、
喫茶店ではないのに…夢みたいな部屋ですね？（驚きつつも自由と聞くと目を輝かせ）なら紅茶を飲みたいですライダー♪（勝手がわからないのでお願いを）   (2021/7/25 03:17:38)

セイバー> 【びっくりしました（汗）別で書いてて助かりました////】   (2021/7/25 03:17:54)

ライダー> そうですか？いつか「俺は時々桜が怖い、次にセイバーの食費が怖い」と士郎は漏らしていましたよ。まぁ、三杯目くらいはそっと出す気遣いはした方がいいかもしれませんね。（クツクツと意地悪そうに言う。サーヴァント同士の相性か、どうにもウマが合わないようだ）ふふ、リンはあれで根に持つ方ですからね。ですが、何かするにも、アーチャーがいいところで止めてくれるでしょう。彼の性格上、ギリギリまで待って楽しむかもしれませんがね。……アッサムでよかったですか？（そうなのです、と少し口を尖らせるセイバーに気持ち程度のフォローを。余計な一言を咥えるのはライダーの性格の悪さからだろうか。そうこう言っている内に紅茶を淹れてきたのか、ことりとカップを彼女の前に置いて）
  (2021/7/25 03:34:54)

ライダー> 【お返事遅くなりました申し訳ないです】   (2021/7/25 03:35:10)

セイバー> 【いえ、私も楽しくて長文化してますし、ね？】   (2021/7/25 03:36:16)

ライダー> 【ありがとうございます。今更ですが、勝手にホロウくらいの時期を念頭に話していましたが、大丈夫でしたでしょうか？】   (2021/7/25 03:38:58)

セイバー> 【私もそのくらいの気持ちでしたよ♪ちょっぴり今日ご飯寄りかもですが♥】   (2021/7/25 03:43:41)

セイバー> 桜が怖い…はわかる気がします士郎に「美味しい♥」なんて返事をしてると桜の方から刺すような視線が…（闇に飲み込まれそうな感じで…っと身体震わせ）なな、なあ！ライダー、それは本当なのですか！私にはそんな事…イリヤにはいわれますけどその度に士郎は否定してくれますのに…（ライダーの弄りにじんわりと涙貯めて）……助けてくれますかぁ？どうも最近のアーチャーは釣りに夢中なようで…（釣りに勤しむ姿は私より子供じゃないですかと口を尖らせ）え？アッサム！意外です。いんすたんとの粉かペットボトルのかと思っていましたが…ますます妙な部屋ですね？（フリーだなんてと首を傾げつつ、冷えた身体には温かい紅茶が身にしみて♥）美味しいですライダー♥（涙目はどこへやらほっこり笑顔に♥）
  (2021/7/25 03:43:45)

ライダー> 士郎は貴女をとにかく甘やかしますからね、可愛らしいヤキモチと言うものです。（ククク、と楽しげに笑う。当然他人事なのでフォローも適当である）えぇ、いつか妹がどうのと騒いでいた日（イベント：しすたーくらいしす～衛宮家妹王争奪杯～　より）にそんなことを言っていましたね。…貴女もバイトのひとつもされては？（涙目で訴えるセイバー。やれやれと肩を竦めながら）あぁ、そう言えばランサーがそんなことを言っていました。アーチャー改めアングラーにでもクラスチェンジした方がいいですね。（彼女の言葉に頷きながら苦笑い。ドヤ顔で釣りに勤しむ姿が容易に想像できる）……そ、そうですか。喜んでもらえるなら何よりです。（先ほどまでの表情はどこへやら、その笑顔に毒気を抜かれたようで、茶化す言葉もなく少し嬉しそうに笑みを返し）
  (2021/7/25 03:59:24)

ライダー> 【よかったです。いいですね、今日ご飯。ホロウもそうですが、聖杯戦争もなく、サーヴァントとマスターが全員現界しているというところがたまらなく好きです】   (2021/7/25 04:00:31)

おしらせ> 無言時間が20分を超えたため、セイバーさんが自動退室しました。  (2021/7/25 04:03:50)

おしらせ> セイバーさんが入室しました♪  (2021/7/25 04:07:27)

セイバー> い、いいえっ！士郎は私を甘やかすのではなく皆に甘いのです！凛なんて押しかけで住み始めましたしイリヤに至っては膝の上にちょこん！ですよ？（イリヤの大胆さに私だってされたことありませんのに…っとほっぺをぷうっと♪）あ、ああ……そ、その、私は衛宮家の留守を守るという大切な役職に…（ここでいつもの面々が揃っていたのなら皆口を揃えて言ったでしょう「それは自宅警備員なのでは…？」という光景が目に浮かぶのが悔しいところ）まあそういうわけで今の凛はわがまま放題やりたい放題と言いますか…（度を増してくる凛の厚かましさにちょっと引き気味に）さすがに取り置きでこの香りは出ないと思います。ライダーが煎れてくれたにお茶がこんなに美味しいなんて♪（お粗末さまでした、っとカップを戻します）
  (2021/7/25 04:07:30)

セイバー> 【キャスター（メディア）さんが出てくる度に可愛くなってる気がするんですよね♥】   (2021/7/25 04:08:11)

ライダー> えぇ、士郎は博愛主義です、みんなに優しいのは確かですがセイバー、やはり士郎にとって貴女は特別なのだと思いますよ。リンには振り回されていますし、イリヤスフィールに至っては扱いは妹です。そう顔をふくらませないでください。端正な顔が台無しですよ。（彼女の言葉に同意しながらも、目を伏せ首を振り冗談めかすように告げて。）……衛宮家の留守を守るのは結構ですが、それは多少のアルバイトをこなしながらでもできるのでは？仮にあなたが不在の時は、私とサクラ、何ならリンもいます。（彼女の言いたい言葉を遮るように、いじわるに退路を断とうと言葉を並べていく。性格が悪い。）…あ、ありがとうございます。こういったものは本来リンやアーチャーの方がよく知っているので、少し恐縮ですが、そう言ってもらえるなら嬉しく思いますよ。（彼女の言う素直な言葉に、誤魔化すように控えめに言葉を返し）
  (2021/7/25 04:25:32)

ライダー> 【ですね。「葛木メディアでございますぅー」は笑えるし可愛いし。とても好きです】   (2021/7/25 04:27:47)

おしらせ> 無言時間が20分を超えたため、セイバーさんが自動退室しました。  (2021/7/25 04:28:25)

おしらせ> セイバーさんが入室しました♪  (2021/7/25 04:34:58)

セイバー> 特別は特別でも大切にされすぎと言うか、遠ざけられてると言うか……も、求められたなんて一切ありませんし……凛は色々知ってるみたいですが教えてくれませんし、イリヤだってたまに見せるあの妙に大人びた余裕の笑みがなんだか……何かしらの事があった節の士郎はものすごく目が泳いでるんですけど、絶対に口を割りませんし…桜は桜であざといと言いますか、あれだけお膳立てされておいて本当に何もないのでしょうか？そうなると今の二人が気になってきます！（ふんすっ！桜には負けたくありませんと妙に乗り気に！）あ……これは盲点でした。ライダー、貴方は士郎には思うところは何も無いのでしょう、か？（痛いところをついてきます。誤魔化すようにライダーに疑いの目を向け…）い、いえ、ライダーは桜が大好きなのは知っています。ですが皆何かしら士郎に絡んでますよ、ね？（勢いで誤魔化そうとますます乗り気に♪）
  (2021/7/25 04:35:02)

セイバー> 【ふはっ♪部屋を追い出されてからが勝負、みたいになってきました＞制限時間（笑）】   (2021/7/25 04:36:46)

ライダー> まぁ、言いたいことはわからなくもないですが、士郎が自ら誰かを求めたりと言うのは想像がつきませんね。リンやイリヤスフィールは、今の状況に関して何かしら知っていると言った所でしょうか。聖杯戦争がない今、私たちが現界していることも関係しているのかもしれません。サクラにとってはそれどころではないでしょうがね。あのままでは熟年夫婦のように枯れてしまいます。（そうですね、なんて頷きながらも、苦笑いで）む……私が士郎に、ですか？べ、別に特に思うところは…私の願いは、サクラの幸せ以外ありませんので。（彼女が誤魔化しついでに尋ねてくる。普段の無表情がわずかに綻ぶように、ぴくッと眉が動くと、少しだけ動揺したように。隙を見ては士郎の血を吸って、その度に記憶を操作しているなどと言うわけにもいかず、誤魔化すようにカップを片付けようと）
  (2021/7/25 04:50:05)

ライダー> む…もうこんな時間ですか。申し訳ありませんセイバー。私はそろそろ行くとします。貴女もあまり遅くならないうちに、衛宮家に戻るといいでしょう。それでは。（ふと時間に気が付くと、いそいそと腰を上げ、早く帰るように、と一言告げては部屋を後にして）【ごめんなさい。眠気がかなり強くなってきましたので、半端ですがここで失礼しますね。遅くまでお相手ありがとうございました。楽しかったです、お休みなさいませー】
  (2021/7/25 04:53:18)

おしらせ> ライダーさんが退室しました。  (2021/7/25 04:53:24)

おしらせ> 無言時間が20分を超えたため、セイバーさんが自動退室しました。  (2021/7/25 04:57:06)

おしらせ> セイバーさんが入室しました♪  (2021/7/25 04:57:36)

セイバー> 話はまだ終わってませんよ？（士郎の事に触れだすとバツの悪そうな顔で席を立つライダー）……もしや貴女もですかっ！待ちなさい！（慌てて後を追いますが見えるのは自転車で駆け出し遠くに消えていくライダーの背中）くっ…（慌てて追いかけますがこの続きはまた別の話に）【もう朝なのですね。お疲れさまでしたライダー。こちらも楽しかったです♥】
  (2021/7/25 04:59:25)

おしらせ> 無言時間が20分を超えたため、セイバーさんが自動退室しました。  (2021/7/25 05:20:06)

おしらせ> スワイヤーさんが入室しました♪  (2021/7/28 18:47:32)

