/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年01月03日 20時29分 ～ 2023年01月04日 21時42分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

クレー> ふにゃあ………流石衣乃お姉ちゃんにライネスお姉ちゃんだ…♡   (2023/1/3 20:29:03)
おしらせ> 無言時間が25分を超えたため、八重神子 ◆zj4nGVXxckさんが自動退室しました。  (2023/1/3 23:27:21)

ケオベ> （距離をとって、ぽすんと座り込むとまわりをじーっと見回してみる。壁と天井があって、窓があって、床…は、これ木なのかな。ふろーりんぐっていうんだっけ？興味ぶかげに、爪先でこつこつ。かりかり。あ、爪研ぎはしないよ？おいら猫ちゃんじゃないからね！）  
(2023/1/3 23:30:02)

ケオベ> （あと、ソファもある。いいよねソファ。上で丸まったらあったかそう。今は先客が寝てるけど。もちろん、おいらの巣にも、ドクターの巣にも、ソファちゃんはあるけど。べつのソファの"ねごこち"を確かめてみたっていいよね？今は先客が寝てるけど。…うー。）  
(2023/1/3 23:40:44)

ケオベ> （…でも、この床も悪くないね？手のひらで撫でてると、つめたいけど、なんとなくあったかい。かたいけど、いたくない。ごつごつして、つめたくて、いたいゆかより。つるつるして、つめたくて、かたいゆかより。"ねごこち"いいかもしれない。ちょっと試してみようかな…ころん、と横に転がってみる。うん、かたいけどあんまりいたくない。くうきがつめたくないから、床もそんなにつめたくないし。…ふぁ。あくびでちゃった。ちょっとだけ、おやすみしていこうかな。あんまり遅くなるとドクターに怒られちゃうから、ちょっとだけ。ちょっとだけ………。）
  (2023/1/3 23:49:57)

ケオベ> （すやぁ）   (2023/1/3 23:50:08)

おしらせ> ケオベさんが退室しました。  (2023/1/3 23:50:09)

おしらせ> 結月ゆかりさんが入室しました♪  (2023/1/4 00:36:06)

結月ゆかり> ……なんです？マゾの反転が流行ってるんです？誰でしょうね、そんなことやりだした人(すっとぼけ)   (2023/1/4 00:36:57)

結月ゆかり> イチから責めをやるって受けの人って難しいと思うので、もう最後だけ主導権奪うような感じでやってもらうとスムーズに行くかもしれませんね。何よりゆかりさんが喜びます。…まぁ、最後までしっかり主導権握ってたいっていう人も居ると思うのでそこはケースバイケースということで……どうも、凝った設定を相談しすぎて一時間以上たった後、急に冷めることもあるゆかりさんです
  (2023/1/4 00:48:42)

結月ゆかり> シチュエーションの相談や打ち合わせって大事ですよね…相談しててお相手の人の意図に一瞬でも背くと蹴られるっていうのは、それどうなんですか？なんて思いますけども。そうならないように相談してるんじゃないんですか？と。そんな選択肢一回ミスっただけでゲームオーバーとか4に覚えゲーでしたっけ？だとしたら何回もやらせてくださいよっ、ってなるんですよね。次のゆかりさんはきっと上手くやりますから…。
  (2023/1/4 00:52:11)

おしらせ> 桜衣乃さんが入室しました♪  (2023/1/4 00:53:58)

桜衣乃> こんばんは…♡お昼は混ざってあげられなくてごめんなさいね…♡   (2023/1/4 00:54:20)

結月ゆかり> 別にいいですよ、わざわざ部屋から出て来てくれなくても！   (2023/1/4 00:55:08)

桜衣乃> なんですか、イメチャで失敗しちゃったんですか？（くすくす）　わざわざ、でもないですよ♪   (2023/1/4 00:55:49)

結月ゆかり> いやー、割と失敗しかなくないですか？相手が寛容でない限り大体このパターンなんですよねぇ…。最近はもう行ってないですけど(ぼそ)　わざわざ、ですよ。せっかく予約までしたんですから最後まできっちり楽しんでてくださいよ   (2023/1/4
00:57:23)

桜衣乃> 打ち合わせや相談が大事なのは私もひしひしとわかっているところです…。っていうか、私の場合は相談の最中にナニガ悪いのかわかんないまま蹴られることも多いですけど……。（ぼそ）   (2023/1/4 00:58:51)

桜衣乃> …？予約…？しましたっけ…？   (2023/1/4 00:59:08)

結月ゆかり> それの事を言ってたんですよ、蹴るなら蹴る、閉じるなら閉じるで何も言わずにされたら直しようもないじゃないですかって。…？暇な日を聞かずに一日部屋に閉じこもってたんです？都合良すぎませんか？なろう小説でもなかなかないですよ   (2023/1/4
01:01:17)

桜衣乃> ごめんなさい、ゆかりちゃん…？もうちょっと順序立てて言ってもらわないと私何の話かわからないです…？   (2023/1/4 01:04:12)

結月ゆかり> ああ、ライネスさんと予定合わせてお部屋行ったんじゃないんですか？ってお話ですよ。予定も合わせずに一日籠もるとかなかなかできない事ですし、って   (2023/1/4 01:05:20)

桜衣乃> えっと、まず、はい。昨日の20時に予定を合わせて、ちょっと一晩…。そこでライネスちゃんがまだまだしたいっていうので、お部屋変えて……夜分は寝落ちしちゃったのでお部屋を立て直して、で…お昼はちょっと寝落ちながらしたのですが、3部屋目がちょうどゆかりちゃん達としてたときですね。
  (2023/1/4 01:08:19)

桜衣乃> ゆかりちゃん達「が」ですね。   (2023/1/4 01:08:36)

結月ゆかり> あ、眠いなら寝ちゃっていいですからね？その手の話はまたいつでもできますし…   (2023/1/4 01:08:55)

桜衣乃> で、お互い満足するまで…なんといいますか、今までできなかったぶんを一気にするみたいにしちゃった感じで……   (2023/1/4 01:09:34)

結月ゆかり> ……ふむふむ。まぁ、そう言われたら衣乃さんだったら合わせてくれそうですしねぇ   (2023/1/4 01:09:43)

桜衣乃> なろうとか言われましても……お互いにしたいだけしちゃったので……？たぶんお互いに満々足だと思いますが……   (2023/1/4 01:10:53)

結月ゆかり> ならいいんですけど。…その辺に厳しい人とか居るじゃないですか？そっちの心配とか、でした   (2023/1/4 01:12:43)

桜衣乃> ライネスちゃんは夜遅い時間でもまだ繋がっていたいんだ…って求めてくれましたから、じゃあ満足するまで繋がってましょ…って。本当に駄目なら途中でやめてるでしょうし、昨日までは三が日だったので、たぶんライネスちゃんも一日私のために使ってくれて本当に有難い限りです……。（ぺこり）
  (2023/1/4 01:13:38)

桜衣乃> …その厳しいヒトって、ゆかりちゃんですか？   (2023/1/4 01:13:51)

結月ゆかり> いいえ、全然厳しくないですね。いるかも知れない、っていうもしもの話でした。杞憂でしたね   (2023/1/4 01:14:36)

結月ゆかり> そんな大事な時間なのに出てきちゃってよかったのかな、って思ったので   (2023/1/4 01:15:15)

桜衣乃> んーーーー……？途中のLINEのやつですか…？あれは、このままだと今日一日顔出せなくなっちゃうかもということでご挨拶だけ…。結果ライネスちゃんも、見せつけていいよっておゆるしだしてくれましたし……   (2023/1/4 01:16:59)

結月ゆかり> そんなログボが途切れるから…みたいな感覚だったんですね。いえ、相手の許可とかあるならいいんですよ。余計な心配でしたね   (2023/1/4 01:17:45)

結月ゆかり> …まぁあの人も、ああ見えて性欲めちゃくちゃ強……ゲフんげｈ   (2023/1/4 01:19:09)

桜衣乃> ちなみに、私の打ち合わせとかイメチャの件とかは私以外で出てるときのアレなのでたぶんゆかりちゃんの考えてるのとはまったく別の話かもしれませんね〜……   (2023/1/4 01:20:04)

桜衣乃> …上でさりげなく衝撃展開になってますね……   (2023/1/4 01:20:33)

結月ゆかり> ん、そのへんも同じだと思いますよ？ゆかりさんもゆかりさんじゃない格好ですし。ああ、よくあるネタばらしですね。ちなみにあのミヤコ、どっかでゆかりさんとヤッた覚えが…   (2023/1/4 01:21:30)

桜衣乃> 私は昨日のお昼にいた小傘ちゃんかなって思ってました……   (2023/1/4 01:22:05)

結月ゆかり> あの子も上手いですよ(捕食済)   (2023/1/4 01:22:22)

桜衣乃> ですよね。お会いできたらお近づきになりたいなぁ……と。   (2023/1/4 01:22:51)

結月ゆかり> …この界隈って広いように見えて何処かで繋がってますからね。この人いいなぁって思ったら昔遊んだ相手だったとか   (2023/1/4 01:23:31)

桜衣乃> ちなみに私は原作で女の子好きなのにいろいろと報われないのでifで暴れさせてる感じです。汚すというよりは……こうさせてあげたいなぁって想いのほうが強いですかね。たぶん喜びますから……   (2023/1/4 01:25:08)

桜衣乃> そうですよね。私も去年まであの子が実はあの子でしたとか、トリップつけられてなおわからないこともあったので。   (2023/1/4 01:25:59)

結月ゆかり> ……衣乃さん、ちょっとお部屋行きませんか。表だとセンシティブなお話も飛び出しそうですし…(ひそひそ)   (2023/1/4 01:26:01)

桜衣乃> ん？いいですよ〜？   (2023/1/4 01:26:28)

結月ゆかり> もうありますよー   (2023/1/4 01:26:41)

桜衣乃> はいりました〜♪   (2023/1/4 01:26:57)

おしらせ> 桜衣乃さんが退室しました。  (2023/1/4 01:26:58)

結月ゆかり> では(そそくさ)   (2023/1/4 01:27:05)

おしらせ> 結月ゆかりさんが退室しました。  (2023/1/4 01:27:07)

おしらせ> レムさんが入室しました♪  (2023/1/4 01:36:25)

レム> こんばんは…♪ 新年から皆様楽しんでいるみたいでレムはとても嬉しく思いますよ、お正月はお餅にみかんなどなど…色々と美味しくて油断していると太っちょさんになってしまいそうです… 皆様も食べた分は運動してカロリー消費をしましょうね♪
まあ…皆様は軽い運動はなさっているみたいですし…時には激しく…ですが♡   (2023/1/4 01:39:55)

おしらせ> 中野一花さんが入室しました♪  (2023/1/4 01:51:30)

中野一花> どっこいしょっと。いやー…お昼寝って寝過ぎちゃうとダメだね〜。(たはーっ。と情けない声を出しながら、パジャマ姿でお邪魔します♪)   (2023/1/4 01:52:29)

レム> いらっしゃいませ…♪ お休みの日はレムも寝てしまいます… 夜眠れなくなってお仕事の時にはネムネム状態になってしまいますけど… (ソファに座り直しながら笑みを浮かべています)   (2023/1/4 01:54:45)

中野一花> やっほ〜♪(五月ちゃんの声にそっくりなレムちゃんに手を振りながら、冷蔵庫の中をガサガサ漁り…。牛乳を一杯入れてくると、ちびちび飲みながら戻ってきて)   (2023/1/4 01:56:52)

レム> 今夜はしっかりと服を着ていて偉いです…♪   (2023/1/4 02:00:58)

中野一花> えっ…？！普段は服着てないイメージなのっ？！   (2023/1/4 02:02:31)

レム> 普段は着ていないイメージです…♪ (クスクスっと笑いながら冗談を言っていて)   (2023/1/4 02:03:37)

中野一花> お姉さん悲しいなぁっ…五つ子の長女として普段は頑張ってるから…私生活ぐらいダラダラってしたいから…(よよよ…。と泣いたフリをしつつ)   (2023/1/4 02:05:27)

レム> 一花様が頑張っているって話は聞いていますので…ダラけるくらいはレムは許せますし…服を着ていないことをダメだと指摘しているわけでもございませんよ？　ただ…体調を悪くしないか心配でしたので…
(泣き真似を見たら近寄って耳元で…ごめんね、お姉ちゃんって…囁きです♡)   (2023/1/4 02:10:01)

中野一花> おっ、おおおっ、お姉ちゃんっ？！(泣いたフリから一転。耳元での『お姉ちゃん』呼びに飛び起きては、囁かれた方の耳を塞いで)不意打ちは良くないぞーっ！おねえさんが許しませんっ！！(真っ赤な顔で慌てふためき、ごくっと固唾を飲んで)   (2023/1/4
02:13:02)

レム> 一花様に許されなくても何も問題はないとレムは思うのですが… それに…嫌だったようにも見えなかったような…♪ 一花お姉ちゃん　(真っ赤なお顔で慌てる姿を見て可愛らしくレムの目には見えて…もう少し悪戯を継続です♡)   (2023/1/4
02:16:52)

