/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]
https://pcmax.jp/?ad_id=rm176481
2019年02月14日 16時37分 ～ 2019年03月08日 00時42分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

竹井 久> 誰か居るかしら？   (2019/2/14 16:37:34)
竹井 久> 話しておきたかったけど…もう来ないみたいだし、良いかしらね。   (2019/2/17 22:32:33)

竹井 久> 最後に時雨達と話したかったわ…   (2019/2/17 22:33:15)

おしらせ> 竹井 久さんが退室しました。  (2019/2/17 22:33:22)

おしらせ> 小路綾さんが入室しました♪  (2019/2/18 19:25:55)

おしらせ> 無言時間が20分を超えたため、小路綾さんが自動退室しました。  (2019/2/18 19:46:24)

おしらせ> 博麗霊夢さんが入室しました♪  (2019/2/19 22:30:48)

博麗霊夢> お邪魔するわね…って、誰もいないし…最近この部屋も静かみたいね…(お部屋の扉を開けて中を覗くとしーんと静まり返っていて…中に入ってソファーに座ると脚をばたばたさせて、誰か来ないかしら…と待ってみて)   (2019/2/19 22:32:34)

おしらせ> 九条カレンさんが入室しました♪  (2019/2/19 22:44:00)

九条カレン> 【こんばんはー】   (2019/2/19 22:44:07)

おしらせ> 無言時間が20分を超えたため、博麗霊夢さんが自動退室しました。  (2019/2/19 22:52:37)

九条カレン> 【お疲れ様です】   (2019/2/19 22:56:21)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2019/2/19 23:19:47)

おしらせ> 朝比奈涼風さんが入室しました♪  (2019/2/20 19:59:13)

朝比奈涼風> 【美紀との百合プレイを希望します。当方400字〜の長文派です】   (2019/2/20 20:00:03)

おしらせ> lizasexyさんが入室しました♪  (2019/2/20 20:01:48)

削除> 削除  (2019/2/20 20:01:59)

おしらせ> lizasexyさんが退室しました。  (2019/2/20 20:02:07)

おしらせ> 朝比奈涼風さんが退室しました。  (2019/2/20 20:23:01)

おしらせ> 朝比奈涼風さんが入室しました♪  (2019/2/20 20:23:19)

おしらせ> 無言時間が20分を超えたため、朝比奈涼風さんが自動退室しました。  (2019/2/20 21:27:37)

おしらせ> 朝比奈涼風さんが入室しました♪  (2019/2/22 08:42:46)

おしらせ> 無言時間が20分を超えたため、朝比奈涼風さんが自動退室しました。  (2019/2/22 09:21:42)

おしらせ> 朝比奈涼風さんが入室しました♪  (2019/2/22 17:50:04)

朝比奈涼風>  【美紀との百合プレイを希望します。当方400字〜の長文派です】   (2019/2/22 17:50:49)

おしらせ> 無言時間が20分を超えたため、朝比奈涼風さんが自動退室しました。  (2019/2/22 18:30:45)

おしらせ> リグル・ナイトバグさんが入室しました♪  (2019/2/24 08:22:08)

リグル・ナイトバグ> 久々……なのは相変わらずだけどみんな元気にしてると良いんだけどね。(ふうっと息を漏らしながら寒いしこたつがある和室にでもしよう。と言う事でこたつにもぞもぞと入ってみたり。みかんとかはきっと常備されてるだろうし一つ手に取れば皮を剥いて)  
(2019/2/24 08:24:06)

リグル・ナイトバグ> (この時間かつ日曜日だし人が来る感じはもしかしたらそんなにないのかもしれないなぁって思いながらこたつの天板に顎を乗せて。はふ。みかんをもぐもぐ)   (2019/2/24 08:46:54)

おしらせ> ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ ◆KLZ6n2PkL6さんが入室しました♪  (2019/2/24 08:58:01)

おしらせ> 九条カレンさんが入室しました♪  (2019/2/24 08:58:08)

九条カレン> 【おはようございますー。】   (2019/2/24 08:58:17)

ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ
◆> ちぃーっす…ふぃー、ここに来るのも久々ですねぇ。(お部屋に誰かがいる…そんな雰囲気を感じてはこっそり、扉から顔を出して。コタツでゆるゆるとしている彼女を見遣れば後ろから歩み寄って)…リグ、アンタもスローライフ同盟に入ってみない？(───その名の通り、ぐーだらをモットーとする同盟。…もしかしたらグースカしているかもしれないけれどいちおうこえをかけてみたり。)
  (2019/2/24 09:01:11)

リグル・ナイトバグ> お久しぶりだね。シャルさん。(久々すぎてシャルさん呼びだったかなくらいの状態なのはきっと気のせい、気のせいなんだ)――スローライフ同盟…結構普段からスローライフしてたりするけどね！(ぐーすか一歩手前だった。振り返りながらそんなことを言ってみたり)
  (2019/2/24 09:06:04)

おしらせ> シェリル・ノームさんが入室しました♪  (2019/2/24 09:07:24)

シェリル・ノーム> おはようございます。大分前にお邪魔してから時間がたっちゃったけど、遊びに来ちゃった。（以前訪れたお部屋に顔を覗かせると少し緊張してるのかペコリと頭を小さく下げて、先客に挨拶をして）   (2019/2/24 09:08:58)

九条カレン> おはようデス！   (2019/2/24 09:09:49)

ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ
◆> ん、久しぶり…♪アンタにしちゃぁ、随分と早い冬眠からのお目覚めじゃないの？(けらけら、眠たげな顔で挨拶を返した彼女。…思えば彼女はホタルの妖怪…なんて言っていたっけ。朧気な記憶を頼りにからかいの言葉をひとつ言いながらも後ろからぎゅむーっと抱きついてみようか。)…尤もアタシの背後はよーやくぐーだら出来るようになったんだけどさ…っとおぃっす、おはようさーんっ。(…途中、扉から続く挨拶に顔を向ければ…一際大人っぽさを際立たせているおねーさんが。ひらひら、フランクに挨拶をしながらこっち来なよ、なんて手招きをしてみたり。)
  (2019/2/24 09:10:29)

リグル・ナイトバグ> 意外とね――……けどボーっとしてるとそれはそれで勿体ないから早めの冬眠からのお目覚めって事にしておこうかな。(くすくすと笑い。蛍の妖怪、といっても人間の姿はをしているから比較的動けたりはするのかもしれない)　中々ぐーたら出来る時期とかはあるもんね――私も疎らだったし、と。おはようだよ。(新しく来た人たちには挨拶。何だかんだで顔を見た時ある人が集まっていた、お久しぶりでもあるけど初顔の人も来てくれたらそれはそれで嬉しかったりもある私)
  (2019/2/24 09:12:45)

シェリル・ノーム> この前来たときは、人があまりいなかったのに、こんなに人が来るお部屋だったんだね。（手招きをされれば、そちらに近寄っていき一人一人顔を除き混めば、にっこりと微笑みよろしくと挨拶をして見せて）私は２回目くらいだからほぼ初めてだけどよろしくね  
(2019/2/24 09:15:11)

ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ
◆> そだね、けどまぁ…たまにはぼーっとすんのも良いんじゃね？忙しいとそんな余裕すらなくなって切羽詰まるだけなんだしさ。(そろ、と抱きつきから解放し、お隣にこたつの中をもそもそ。───こう見えて多忙な御子様…なのかもしれない？)んー、沢山来る時なんて稀によくあることなんよー、この部屋。まっ、なんつーか、ちゃんとしたロールが回せている人がいたら自然と来る感じ？(ﾒﾀｧ。ちなみにつられて来た人。)ん、アタシは随分と久々かな。…あ、アタシはシャルと呼んでいいかんね。よろしくっ、おねーさんっ♪(そっと手を伸ばし、握手を求めてみようか)
  (2019/2/24 09:19:10)

リグル・ナイトバグ> 切羽詰まっちゃうと本当息苦しくなっちゃうし、息抜きしようっていう選択さえも出来なくてただただ身体を休めちゃう感じになるからね……(抱き着きから解放されちゃうと若干の名残惜しさを感じている私だった)――だねぇ。稀…時々謎の集まり方をするときはあるけれど――…と。せっかくにぎやかになってくれたのにそろそろ一度出かけないとだ。(こたつからもそもそと出れば、また後でお話しできたらお話しようねって手を振りつつ一度お部屋を後にして)
  (2019/2/24 09:21:31)

おしらせ> リグル・ナイトバグさんが退室しました。  (2019/2/24 09:21:44)

九条カレン> 【お疲れ様です】   (2019/2/24 09:22:33)

シェリル・ノーム> 【すみません。来客のため少し席をはずします】   (2019/2/24 09:22:42)

ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ
◆> んぁ…あー、もう行っちゃうのか。ん、雪に埋もれないように気をつけなよー？(蛍雪の功…という事なのか。見知らぬ苦学生に光を灯しにとは限らないけれども、お部屋から出ていく彼女にほんのり残念そうにしながらも手を振って見送りを一つ。尤も雪が積もるような天気には…？)
  (2019/2/24 09:26:55)

ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ ◆> 【っと、ごめーん、これ以上待機しても居づらいだけだからお部屋移動しまーす。】   (2019/2/24 09:31:50)

おしらせ> ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ ◆KLZ6n2PkL6さんが退室しました。  (2019/2/24 09:31:51)

九条カレン> 【あ、ご、ごめんなさい。電話してました】   (2019/2/24 09:33:23)

おしらせ> 九条カレンさんが退室しました。  (2019/2/24 09:33:25)

シェリル・ノーム> ただいまっと…って誰もいないお邪魔しました。   (2019/2/24 09:35:46)

おしらせ> シェリル・ノームさんが退室しました。  (2019/2/24 09:35:59)

おしらせ> 朝比奈涼風さんが入室しました♪  (2019/2/25 08:24:04)

朝比奈涼風>  【美紀との百合プレイを希望します。当方400字〜の長文派です】   (2019/2/25 08:24:18)

おしらせ> 無言時間が20分を超えたため、朝比奈涼風さんが自動退室しました。  (2019/2/25 10:28:17)

おしらせ> リグル・ナイトバグさんが入室しました♪  (2019/3/2 08:04:38)

リグル・ナイトバグ> 相変わらずな疎らな感じになっちゃっているけれどお邪魔していこうっと。(洋室、暖房をつけてからソファの方へと向かって――途中で毛布とかを入手していたりするちゃっかりっぷり。…ぽすんとソファに腰を下ろすと毛布を膝にかけて一息――)  
(2019/3/2 08:06:13)

おしらせ> 八雲紫さんが入室しました♪  (2019/3/2 08:24:59)

八雲紫> おはよう〜（ご挨拶しながら部屋の中に入ってくると今日も寒いわねと言いながらあったかいお茶の入った急須と湯飲みを持ってきて   (2019/3/2 08:25:55)

リグル・ナイトバグ> ん。おはようだね。(小さく手を振りつつ、温かいときもあるけれど寒いときの方が多いかもしれないと頷いて。挨拶をしながら視線をそちらに向け)   (2019/3/2 08:28:27)

八雲紫> もうそろそろしたら暑くなっていくわねぇ…体が耐えられないわ（そう言いながら隣に座ると飲む？とお茶を見せつつ自分の湯のみにお茶を注ぎながら見つめて   (2019/3/2 08:30:34)

リグル・ナイトバグ> わたしとしては温かい方が過ごしやすいけどね。…ん、せっかくだし貰っておこうかな。(隣に座る紫さんを見ながらうなずいて。お願いして…「ありがとうね」って先に伝えておこう。んーっと身体を伸ばして一息――。)   (2019/3/2
08:38:12)

八雲紫> はぁい（相手に頷くとしばらくして相手にお茶を渡してあげて、夏が本番だものね…リグルの場合と言いつつお茶を飲みながらせんべいを齧り、胸元にカスが転がるが気にしない   (2019/3/2 08:39:57)

リグル・ナイトバグ> 夏場が私の本領発揮…ってまではいかないけど私みたいな種族は暖かい時期が一番だしね。(そして虫嫌いな人の家に出そうな虫は私が責任をもって別の場所に移したりする仕事もするかもしれない。…胸元に食べかすが転がるほど大きいんだろうねってお茶を啜り)
  (2019/3/2 08:43:13)

八雲紫> 去年の夏は暑すぎて虫もでない感じだったけど今年はどうかしらね…あの暑さは勘弁なのだけど（そう言いながらゆったりとお茶を飲みながら時間を過ごしていて   (2019/3/2 08:46:17)

リグル・ナイトバグ> 暑すぎると流石にね――蚊さえも飛ばない暑さだったかな確か――……っと、そろそろ9時になっちゃうし私は一度戻っておくね。(少しお出かけしてこないと。と。あたたかなお茶はしっかり頂いて。…紫さんのお胸の上の食べかすを払ってあげてから「また今度ね」と告げれば手をひらり)
  (2019/3/2 08:49:37)

おしらせ> リグル・ナイトバグさんが退室しました。  (2019/3/2 08:49:42)

八雲紫> またね〜   (2019/3/2 08:49:58)

おしらせ> 八雲紫さんが退室しました。  (2019/3/2 08:50:03)

おしらせ> 竹井 久さんが入室しました♪  (2019/3/2 23:03:08)

竹井 久> 【こんばんは…一応今日のうちに書いておくわ…】   (2019/3/2 23:03:41)

竹井 久> 【夏に会った、時雨及び白露及び副路美穂子及び古明地さとり及びベルリーナ及びフラン】   (2019/3/2 23:06:57)

竹井 久> 【話し相手してくれた事を感謝するわ…】   (2019/3/2 23:07:45)

竹井 久> 【本当なら直接会って言いたかったけど…どうやら来たくないみたいね…】   (2019/3/2 23:08:32)

竹井 久> 【それじゃ…ルブルのお仲間を大切になさいな。お疲れ様でした…】   (2019/3/2 23:10:03)

おしらせ> 竹井 久さんが退室しました。  (2019/3/2 23:10:12)

おしらせ> ネロ・クラウディウスさんが入室しました♪  (2019/3/6 14:10:46)

ネロ・クラウディウス> 余の登場である！(花弁を撒き散らしながらリビングへ華麗に登場)むぅ、別に不満を言うつもりはないが余が休む部屋にしては少々地味ではなかろうか(花嫁のような格好をしてリビングを歩き回るとソファーへ腰かける)   (2019/3/6
14:13:37)

おしらせ> 渋谷凛 ◆346.Rf.llEさんが入室しました♪  (2019/3/6 14:29:11)

渋谷凛 ◆> （部屋に入ってくれば落ちている花びらに首を傾げて少し避けつつ）何か散らかってるみたいだね……（そうして見渡せば先客の姿に目を留めて）こんにちわ、かな   (2019/3/6 14:30:08)

おしらせ> kikiさんが入室しました♪  (2019/3/6 14:34:24)

kiki> セックスチャットサイト http://folshin.com/obt5 [/JumpUrl2/?url=http%3A%2F%2Ffolshin.com%2Fobt5]   (2019/3/6 14:34:35)

おしらせ> kikiさんが退室しました。  (2019/3/6 14:34:43)

おしらせ> 無言時間が20分を超えたため、ネロ・クラウディウスさんが自動退室しました。  (2019/3/6 14:40:27)

おしらせ> 無言時間が20分を超えたため、渋谷凛 ◆346.Rf.llEさんが自動退室しました。  (2019/3/6 14:51:09)

おしらせ> 九条カレンさんが入室しました♪  (2019/3/6 15:09:01)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2019/3/6 15:30:45)

おしらせ> ネロ・クラウディウスさんが入室しました♪  (2019/3/6 19:21:47)

ネロ・クラウディウス> うむむ……余としたことが不覚をとってしまった(よろよろ)   (2019/3/6 19:22:22)

ネロ・クラウディウス> この時間では誰も来ぬであろうな。余も食事へ参ろうか(再び花弁を撒き散らしながら去っていく)   (2019/3/6 19:29:39)

おしらせ> ネロ・クラウディウスさんが退室しました。  (2019/3/6 19:29:41)

おしらせ> 九条カレンさんが入室しました♪  (2019/3/6 21:00:49)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2019/3/6 21:21:23)

おしらせ> ネロ・クラウディウスさんが入室しました♪  (2019/3/7 07:48:27)

ネロ・クラウディウス> 余の目覚めである(相変わらず花弁を撒き散らしながら華麗に参上。寝起きから花嫁姿なのはさすがは余といったところか)いつだって、美しく華麗でなければならないのが皇帝の勤めであるからな……(でも、眠い)   (2019/3/7
07:50:55)

おしらせ> 島風さんが入室しました♪  (2019/3/7 08:26:42)

島風> 【おはよーございまーす！……その、生えててもヘーキ、ですか？】   (2019/3/7 08:27:26)

ネロ・クラウディウス> 【おはようだな。うむ？構わんぞ。ちなみに余は生えてない】   (2019/3/7 08:28:45)

島風> 【わーい！ありがとー！それじゃ続けますね、よろしくお願いしまーす！】   (2019/3/7 08:30:14)

島風> おはよーございまーす！（元気良く扉を開け、部屋の中へと駆け込んで行く。が、不意に足元に散らばる花弁に足を取られ、滑ってその場で尻餅ついて。）オゥッ！？なんでこんなところに花弁なんて落ちてるのさー。もしかしてあなたのせい？（拾い上げた花弁、眠そうにしている先客へと視線を向けて。）
  (2019/3/7 08:32:50)

ネロ・クラウディウス> うむ？よくぞ参った…！余の御前であるが固くなる必要はないぞ。楽にするがよい(簡素な部屋の中で花嫁姿で尊大に振る舞う態度はかなり浮いている。むむむ、やはり玉座ぐらい用意すべきだったか)
花弁か華麗なる余の演出の一端に過ぎん。いつの世も真に華麗なものには花が似合うものよ(答えになってるんだかなってないんだな。そんな回答をしながらも自身は満足そうに頷いて)   (2019/3/7 08:37:32)

島風> むむむ？お姉さんなんだか偉そう。もしかして偉いの？（所謂ウエディングドレス……にしては少し装飾と露出が過多気味な服装に、変な思考回路は何故か偉い人というイメージを結び付けてしまって。）ふーん……？よく分かんないや、私は島風！とっても早いんだよ！（ソファの上へちょこん、と座りながら自己紹介。ねー、と同意を求める先は肩に乗せてきた小さな連装砲ちゃん。）
  (2019/3/7 08:41:06)

ネロ・クラウディウス> 偉いぞ。何と言っても余はかの偉大なローマ帝国の皇帝であるからな(ふふん、と自慢気に大きな胸を揺らすように胸を這って)余はネロ・クラウディウスと言う。む、その珍妙な物体は。そなたのペットか何かか？(肩に乗る見たこともない生き物？に目を丸くすれ。いや、それともロボだろうか。)
  (2019/3/7 08:46:11)

島風> こーてー？あ、ローマなら聞いたことあるよ！（但し国としてではなく、同じ艦娘として存在している方だが。すごいでしょー、と言わんばかりにネロとは対称的なない胸を張って。）ネロさんでいいよね？よろしくお願いしまーす！えっとね、連装砲ちゃんって言うんだ！私の大事なお友達だよ？（小さく動くそれはロボにも生き物にも見えるナニか。一応お辞儀してるつもりらしい。）
  (2019/3/7 08:50:25)

ネロ・クラウディウス> そうであろう。そうであろう。何せ余が治めた国だ。知っているのは当然と言えよう(当然と言いながらも知っていると言われて気分を良くして)レンソーホーちゃん？むむ、何やら奇妙たが余の周りににも似たよ頷いてなのがある故、たぶん、ギャグ補正とかが強かったりするのだろう(第六天魔王やら竜のアイドルのメカを思い出す)
  (2019/3/7 08:58:01)

島風> すごーいっ！ネロさんってすごいんだね！（誉め殺す意図がある訳ではなく、何処か抜けているだけ。純真さ故にネロを見つめる眼はキラキラと光っていて。）え？連装砲ちゃんに似たのがいるの？お友達になれるかな？（と言っても思いつくのはせいぜい連装砲ちゃんのバリエーション違いみたいなのが思いつく程度。）
  (2019/3/7 09:01:36)

ネロ・クラウディウス> いやいやいや、大したことはない。いや、余であるからな。どうしても大きく見えるのは仕方ないことであるが……ハーハッハッハッハ(誉められると、わかりやすく調子に乗り、鼻高々といった様子で笑みを浮かべて)……友達？なれるのではないか。あやつは確か自分の意志は持っていたし、意志疎通はできよう。(ノッブ、ノッブ鳴いてる方は知らぬ)
  (2019/3/7 09:10:46)

島風> でも、私だってすごいんだよ？とっても早いんだよ？（何となく、自分に対する評価の乏しさを感じると意味もなく張り合ってみたりする。）ホントに！？また会ってみたいな、連装砲ちゃんも、ね？（お友達が増える、とワクワクした様子を見せながら連装砲ちゃんの方を見遣れば、喜んでいる……ように見える。）……ネロさんも、もうお友達……だよね？（ふと、そんな問いかけと共に彼女の側へと寄って、ピタリと身体をくっつけて。）
  (2019/3/7 09:14:17)

ネロ・クラウディウス> 早い？確かにそなたは身軽そうであるな(対する余は装いからして無駄に華美である。でも、これで戦闘もしたりする)うむ、機会があれば会えるであろう……ハハ、なんだ甘えておるのか愛い奴よのう。こうして談笑している仲だ。余とそなたは友に決まっておろうが(ピトッと甘えるように寄り添う島風の肩に手を回して、笑いながら抱いて)
  (2019/3/7 09:22:03)

島風> でしょ？きっとかけっこだって私の方が早いもん！（身軽そう、という言葉を勝手に早そう、という言葉へと結び付けて理解しては、嬉しそうに声を上げて。）ん……えへへ、ネロさんは優しいね。えいっ。（肩に腕を回して抱いてくれるネロの正面へと回り、抱き着く。小さな身体故落ちる事もないが、その分しっかりと抱き着くが故に顔が胸元へ押し付けられるかもしれない。）
  (2019/3/7 09:25:20)

ネロ・クラウディウス> 余は剣技や容姿に自信はあるが敏捷に自信があるわけではない。確かにそなたの方が速いかもしれぬな？(それにこの姿だと走りにくい。走るなら体操着姿があるからそっちのほうがマシか)当然だな。皇帝たるもの慈愛の精神を持っていなければならぬ……うむうむ、存分に甘えるがよい(ウェディングドレスと言うよりはボディスーツに近い生地。胸元に顔を押しつけられると、キメ細かな生地に包まれた柔らかな乳房が島風の顔にふにゅうと触れて、心地よい弾力を伝える)
  (2019/3/7 09:34:48)

島風> だよね！だよね！……って、ネロさんその格好で剣を使えるの？（走りにくい、という割には剣技は自信があるという。もしかしてこの格好で振舞うのだろうか、と少し期待に満ちた視線を送り。）んっ……あったかくて、やわらかい……（普段ならば落ち着かずにいるのが通常運転、だけど今この瞬間はなんだか走り回る事を忘れるくらいに心地が良くて。柔らかくも心地良い弾力に顔を押しつけているうち、抱き着いて密着したネロの身体へ布地越しに熱く硬い何かが当たるのがわかるかもしれない。）
  (2019/3/7 09:38:29)

ネロ・クラウディウス> うむ、花嫁は華やかであると同時に強くなくてはな。華麗な剣舞で観衆を虜にするのは当然と言えよう(ただ、強いだけではなく華やかなのが余の最大の強味であるな)……っ(固い感触が触れる。肌に貼りつくような生地のため、その感触はダイレクトに伝わり。顔を紅潮させる)む、むぅ……そなた見かけによらず……いや、何でもない……(もじもじと落ち着かない様子を見せる。うむ、このあと少々立て込むのだがそれでも良ければ移動はできたりする)
  (2019/3/7 09:46:11)

