チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年04月14日 19時39分 ～ 2023年04月15日 21時58分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

羽鳥智世 ◆> ……この、言葉にできない激情みたいなOP好きだなぁ……   (2023/4/14 19:39:04)
絹川みちほ> あたしもバイオレットかったけど、わたしには合わなかったな……   (2023/4/14 23:12:18)

ジャックザリッパー ◆> 私のお母さんもバイオレットなの   (2023/4/14 23:12:57)

絹川みちほ> そうなんだねー   (2023/4/14 23:14:45)

桜花あさひ ◆> 赤い方が良かったかもな〜……(ソファにごろり)   (2023/4/14 23:15:23)

ジャックザリッパー ◆> スカーレット？   (2023/4/14 23:15:41)

桜花あさひ ◆> うん〜…昔のポケモンの方が可愛いし〜っ   (2023/4/14 23:19:25)

絹川みちほ> なるほどね   (2023/4/14 23:19:36)

ジャックザリッパー ◆> あー無印かー   (2023/4/14 23:19:45)

クレー> みんなポケモン好きなんだね♪(ごくごく…んー♡炭酸が効くのっ)   (2023/4/14 23:23:19)

ジャックザリッパー ◆> 喉越しよさそうだねクレー♪私も飲みたくなっちゃうな♪   (2023/4/14 23:23:50)

絹川みちほ> サイダーいいなー   (2023/4/14 23:25:09)

桜花あさひ ◆> 昔の見た目のポケモンの方が良かったぞ〜……ふふ、クレー美味しそうだな〜♪   (2023/4/14 23:25:15)

ジャックザリッパー ◆> うちはサンダースお世話になったなー６４の   (2023/4/14 23:25:46)

桜花あさひ ◆> 昔のって古来？ノポケモンのことだぞっ   (2023/4/14 23:26:09)

無名> 何その飲み物…美味しそう…（じゅるり…）   (2023/4/14 23:26:14)

絹川みちほ> 美味しいよ〜皆のぶんのサイダーもあるよ〜どうぞ〜   (2023/4/14 23:27:07)

ジャックザリッパー ◆> わーいありがとー（みちほおねえちゃんから頂いて）   (2023/4/14 23:27:42)

クレー> クレー炭酸はよく飲むの〜。モンドでも炭酸のジュース売ってるよ♪(みんなの分も用意してあげてもっていってあげるね！)   (2023/4/14 23:27:43)

無名> ありがと〜（みちほから頂く）   (2023/4/14 23:28:20)

クレー> って、みちほお姉ちゃんが用意してくれてたっ(5人分クレーがひとりでもっていくのは大変だった…！)   (2023/4/14 23:28:33)

絹川みちほ> クレーちゃんの世界のもまた呑みたいな〜   (2023/4/14 23:28:34)

絹川みちほ> 【ちょっと先走っちゃいましたね(汗)】   (2023/4/14 23:28:57)

ジャックザリッパー ◆> へぇー炭酸って何かやめられないよねー人によるけど   (2023/4/14 23:29:16)

桜花あさひ ◆> えへへっ、みちほ姉ちゃんありがとうだぞ〜っ♪ひとり姉ちゃんも一緒に飲もうなーっ♪   (2023/4/14 23:30:50)

絹川みちほ> 私の世界のだけどね〜。クレーちゃんの世界にもあるんだね〜また飲みたいな   (2023/4/14 23:32:23)

クレー> ひとりお姉ちゃん炭酸苦手だったよね…(一応用意しちゃったけど、クレーが飲んであげよっかな)   (2023/4/14 23:32:56)

無名> （ごきゅごきゅ）ん〜おいし〜なんかこの泡が口を囲ってくれる感がいいよ〜（時代的に炭酸を知らない）   (2023/4/14 23:33:38)

絹川みちほ> 別のソフトドリンクあったかな……（冷蔵庫物色中）   (2023/4/14 23:33:52)

ジャックザリッパー ◆> （こちらも喉に注いでいって）ああーおいしー♪   (2023/4/14 23:33:57)

絹川みちほ> クレーちゃんの世界のジュース、ここの世界のとはまた違うのかな？それともほぼ同じ？   (2023/4/14 23:35:15)

クレー> 多分、作れるよ♪アップルサイダーとか、多分こっちの世界でもできるよ♪   (2023/4/14 23:35:55)

ジャックザリッパー ◆> メロンサイダーとかもできるかな？   (2023/4/14 23:36:16)

絹川みちほ> しらべてみたけど、蒸気機関車の時代なんだね、無名ちゃんの世界   (2023/4/14 23:37:08)

絹川みちほ> じゃあ、何かひとりちゃんが飲めるドリンクを作らないとね   (2023/4/14 23:37:50)

桜花あさひ ◆> はっ、苦手だったのか……   (2023/4/14 23:37:55)

桜花あさひ ◆> んく……んぅ、ぷはっ♪しゅわしゅわ美味しいぞ〜っ♪   (2023/4/14 23:38:12)

無名> そうそう。侍もいるよ〜〉みちほ   (2023/4/14 23:38:35)

絹川みちほ> （ごくごく）ん〜、炭酸の刺激がたまりませんなぁ〜   (2023/4/14 23:39:14)

後藤ひとり> 苦手ですね……   (2023/4/14 23:39:40)

ジャックザリッパー ◆> ほんっとに刺激がいいよねー♪   (2023/4/14 23:39:58)

絹川みちほ> パラレルなサムライの時代って感じかな？   (2023/4/14 23:40:01)

ジャックザリッパー ◆> うちのところも侍何人かいるよ？   (2023/4/14 23:40:15)

無名> うん！そう解釈して〉みちほ   (2023/4/14 23:40:22)

絹川みちほ> じゃあタピオカドリンクをひとりちゃんに…   (2023/4/14 23:40:33)

無名> え？ほんと？私のとことそっくりなのかな…？〉ジャックザリッパー   (2023/4/14 23:40:42)

絹川みちほ> なるほどねえφ(..)メモメモ   (2023/4/14 23:40:59)

クレー> っとと、クレーお風呂いってこなきゃ   (2023/4/14 23:41:30)

無名> 行ってらっしゃ〜い   (2023/4/14 23:41:44)

絹川みちほ> 武蔵ちゃんとか沖田ちゃんとか…？ジャックちゃん   (2023/4/14 23:41:52)

絹川みちほ> いってらっしゃい、クレーちゃん   (2023/4/14 23:42:03)

クレー> ごめんねひとりお姉ちゃん……   (2023/4/14 23:42:11)

クレー> クレーが責任持って飲んどく！(ごくごくっ)   (2023/4/14 23:42:37)

ジャックザリッパー ◆> 知ってるの？みちほお姉ちゃん   (2023/4/14 23:43:29)

クレー> けぷ……、それじゃクレーお風呂いってきまーす。みんなまたね♪   (2023/4/14 23:43:37)

おしらせ> クレーさんが退室しました。  (2023/4/14 23:43:43)

後藤ひとり> 行ってらっしゃいです   (2023/4/14 23:43:53)

絹川みちほ> いい飲みっぷりだねえ、いってらっしゃいクレーちゃん   (2023/4/14 23:43:54)

無名> 行ってらっしゃい。クレー   (2023/4/14 23:44:18)

ジャックザリッパー ◆> おつかれさまー炭酸にげっぷはつきものだね（くすくす）   (2023/4/14 23:44:21)

絹川みちほ> まあ、ちょっとだけ。ガチャ渋すぎだから今は遊んでないけど   (2023/4/14 23:44:32)

桜花あさひ ◆> あさひもちょっと離れちゃうぞ……っ、また来るなぁ♪   (2023/4/14 23:45:29)

おしらせ> 桜花あさひ ◆gAmHDzY8Wcさんが退室しました。  (2023/4/14 23:45:31)

ジャックザリッパー ◆> そういえば今日けいぶひめあたっちゃったんだよねー   (2023/4/14 23:45:44)

無名> またね〜   (2023/4/14 23:45:55)

ジャックザリッパー ◆> お疲れ様ー   (2023/4/14 23:46:02)

絹川みちほ> お疲れ様、あさひちゃん   (2023/4/14 23:46:12)

絹川みちほ> おお〜〜   (2023/4/14 23:47:13)

ジャックザリッパー ◆> らいこうお母さん狙おうとしたら当たったの   (2023/4/14 23:47:36)

絹川みちほ> そうだったんだてすね、   (2023/4/14 23:54:25)

ジャックザリッパー ◆> うん   (2023/4/14 23:56:42)

絹川みちほ> ライコウさん狙ってたんだ   (2023/4/14 23:58:16)

ジャックザリッパー ◆> うん、そうなんだ   (2023/4/14 23:58:52)

絹川みちほ> よしよし   (2023/4/15 00:00:12)

ジャックザリッパー ◆> もしかしてと思ったら違うのだったー的な   (2023/4/15 00:00:53)

絹川みちほ> やった！って思ったらそうじゃないのはつらいよね…   (2023/4/15 00:02:13)

ジャックザリッパー ◆> もってなかったからまだいいけどね   (2023/4/15 00:02:32)

絹川みちほ> 新しく仲間にした幹事なんだ   (2023/4/15 00:04:36)

ジャックザリッパー ◆> うん、初めて出たんだ♪   (2023/4/15 00:05:10)

おしらせ> シェヘラザードさんが入室しました♪  (2023/4/15 00:29:12)

シェヘラザード> こんばんは、、、   (2023/4/15 00:29:21)

ジャックザリッパー ◆> こんばんはー   (2023/4/15 00:29:24)

後藤ひとり> あ、こんばんはです   (2023/4/15 00:29:29)

おしらせ> 無言時間が25分を超えたため、絹川みちほさんが自動退室しました。  (2023/4/15 00:30:12)

シェヘラザード> よろしく、お願いします、、あら、ジャックさん、いらしたんですね。（ゲーム繋がりでそちらの方は、はじめましてですね＞後藤さん   (2023/4/15 00:30:53)

シェヘラザード> 【お疲れ様です】   (2023/4/15 00:31:02)

ジャックザリッパー ◆> お疲れサマー   (2023/4/15 00:31:09)

おしらせ> 無言時間が25分を超えたため、無名さんが自動退室しました。  (2023/4/15 00:31:11)

ジャックザリッパー ◆> ｍｓ　お疲れさまー   (2023/4/15 00:31:13)

シェヘラザード> 【無名さんお疲れ様です】   (2023/4/15 00:31:34)

シェヘラザード> ちなみに、ジャックさん、、けいぶ姫ではなく「おさかべひめ」ですよ、、、   (2023/4/15 00:32:25)

後藤ひとり> はい、ご、後藤ひとりです……(ぺこ)   (2023/4/15 00:32:39)

シェヘラザード> 後藤さん、、よろしくお願いします、、(お辞儀)   (2023/4/15 00:33:01)

ジャックザリッパー ◆> うん！シェヘラザードさん聞いてたんだね・・・刑部姫だね？うん、分かったよ？   (2023/4/15 00:33:10)

シェヘラザード> あの方は、引きこもっていらして、、中々出てきませんから、、   (2023/4/15 00:34:02)

ジャックザリッパー ◆> うちのお母さんみたい・・・   (2023/4/15 00:34:22)

シェヘラザード> あら、今日のお母さんは、マスターではないのですね   (2023/4/15 00:34:51)

後藤ひとり> こ、こちらこそよろしくお願いします…   (2023/4/15 00:35:00)

ジャックザリッパー ◆> そんなところかな？・・・   (2023/4/15 00:36:14)

シェヘラザード> 、、(私の子も、ひとつ間違えたらジャックさんと同じ霊格になっていたのでしょうか、、、)   (2023/4/15 00:38:25)

ジャックザリッパー ◆> どうしたの？シェヘラザードさん？   (2023/4/15 00:38:50)

シェヘラザード> いいえ、なんでも、ありません   (2023/4/15 00:39:07)

ジャックザリッパー ◆> そう？（サイダーを飲み終えて）   (2023/4/15 00:40:38)

シェヘラザード> あぁ、すみません、、呼び出されているようですので私はこれで、【背後失礼します】ジャックさん、後藤さん、お先に失礼します。あまり、遅くならないように、してくださいね   (2023/4/15 00:42:19)

ジャックザリッパー ◆> はーい！またねー（手を振ってあげて）   (2023/4/15 00:42:45)

後藤ひとり> あ、お疲れ様でした…   (2023/4/15 00:42:47)

シェヘラザード> 【バグって退室できないのでそのままで抜けます】   (2023/4/15 00:43:48)

ジャックザリッパー ◆> 【了解です】   (2023/4/15 00:48:52)

おしらせ> 無言時間が25分を超えたため、後藤ひとりさんが自動退室しました。  (2023/4/15 01:07:48)

おしらせ> 無言時間が25分を超えたため、シェヘラザードさんが自動退室しました。  (2023/4/15 01:09:53)

おしらせ> 無言時間が25分を超えたため、ジャックザリッパー ◆i6fJKa45IIさんが自動退室しました。  (2023/4/15 01:13:56)

