チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年08月25日 02時16分 ～ 2023年09月01日 04時38分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

高坂桐乃 ◆> じゃあTOP4になった   (2023/8/25 02:16:32)
高坂桐乃 ◆> 虹夏は奥の部屋(今のこの部屋の設定がわからないけど…)って行かないの？ 時間も時間だから添い寝したいなーって(上目遣いしたいけど、みおろし目線？状態…)   (2023/8/25 03:12:25)

伊地知虹夏 ◆> 君ほんとに中学生？……スタイルもいいし(じい)   (2023/8/25 03:12:26)

伊地知虹夏 ◆> 奥の部屋かーいいねっ！行こいこ！私も眠いからねっ！   (2023/8/25 03:12:45)

高坂桐乃 ◆> んじゃあ、お部屋用意するねー。鍵はある？   (2023/8/25 03:13:08)

伊地知虹夏 ◆> あるよー！   (2023/8/25 03:14:17)

高坂桐乃 ◆> 作ったよー   (2023/8/25 03:14:29)

伊地知虹夏 ◆> はーい！そっち行くねー！   (2023/8/25 03:14:43)

おしらせ> 伊地知虹夏 ◆qdBZ5U32c6さんが退室しました。  (2023/8/25 03:14:45)

おしらせ> 高坂桐乃 ◆7ALWpexvKsさんが退室しました。  (2023/8/25 03:14:49)

おしらせ> スレッタ・ﾏｰｷｭﾘｰ ◆VpeFG8lScoさんが入室しました♪  (2023/8/25 16:56:11)

スレッタ・ﾏｰｷｭﾘｰ ◆> こんにちはです（ふんすぅ）   (2023/8/25 16:56:24)

おしらせ> 山田リョウ ◆qdBZ5U32c6さんが入室しました♪  (2023/8/25 17:07:23)

山田リョウ ◆> こんばんは(ずい)   (2023/8/25 17:07:32)

スレッタ・ﾏｰｷｭﾘｰ ◆> こんばんはです（ぺこっ）   (2023/8/25 17:08:23)

山田リョウ ◆> こんばんは。昨日の虹夏だよ   (2023/8/25 17:08:53)

スレッタ・ﾏｰｷｭﾘｰ ◆> しってます（ふんすぅ）   (2023/8/25 17:09:18)

山田リョウ ◆> 知られてた。やっぱり私は陰よりの方がやりやすいからね(どや)   (2023/8/25 17:10:48)

スレッタ・ﾏｰｷｭﾘｰ ◆> 言ってましたねぇ（ふんす）   (2023/8/25 17:12:03)

山田リョウ ◆> ずっとふんすしてる……(つんつん)   (2023/8/25 17:12:43)

スレッタ・ﾏｰｷｭﾘｰ ◆> ふんすしてるとえらくみえるので（ふにゃ）   (2023/8/25 17:13:22)

山田リョウ ◆> まるで偉くないみたいな……(じぃ……)   (2023/8/25 17:15:56)

スレッタ・ﾏｰｷｭﾘｰ ◆> ミオリネさんがえらいので……（めそらし）   (2023/8/25 17:17:42)

山田リョウ ◆> 大丈夫、ベースしか弾けない私よりは偉いよ(うん)   (2023/8/25 17:19:56)

スレッタ・ﾏｰｷｭﾘｰ ◆> そ、それはそうですが…（ふにゅ）   (2023/8/25 17:20:27)

山田リョウ ◆> あ、そこ謙遜しないんだ………(うりうり)   (2023/8/25 17:22:50)

スレッタ・ﾏｰｷｭﾘｰ ◆> あ、ごめんなさい……（ふにゅう）   (2023/8/25 17:23:22)

山田リョウ ◆> 気にしてないけどね。可愛いヤツめ(ぎゅ)   (2023/8/25 17:24:32)

スレッタ・ﾏｰｷｭﾘｰ ◆> ありがとうございます。えへぇ（ぎゅう）   (2023/8/25 17:24:49)

山田リョウ ◆> にしても今日もお疲れ様かな？(よーしよしよし)   (2023/8/25 17:26:34)

スレッタ・ﾏｰｷｭﾘｰ ◆> 寝すぎたのでちょっぴりお疲れです…（すりすり）   (2023/8/25 17:27:10)

山田リョウ ◆> 私も沢山寝ちゃった……(よしよし)   (2023/8/25 17:28:56)

スレッタ・ﾏｰｷｭﾘｰ ◆> 休みだったのでたくさん寝ちゃいました…（すりすり）   (2023/8/25 17:30:02)

山田リョウ ◆> お疲れ様……(むにむに)   (2023/8/25 17:33:13)

スレッタ・ﾏｰｷｭﾘｰ ◆> えへぇ……（ふにゃ）   (2023/8/25 17:33:40)

山田リョウ ◆> 私もお昼寝してるからね……   (2023/8/25 17:37:29)

スレッタ・ﾏｰｷｭﾘｰ ◆> お疲れ様です（よしよｓ）   (2023/8/25 17:38:36)

山田リョウ ◆> そっちもね……(なでなで)   (2023/8/25 17:39:24)

スレッタ・ﾏｰｷｭﾘｰ ◆> お部屋でいっぱいあまえますか？（なでなで）   (2023/8/25 17:40:23)

山田リョウ ◆> どっちでもいいよ？そんなに時間ないけどね   (2023/8/25 17:43:20)

スレッタ・ﾏｰｷｭﾘｰ ◆> １時間くらいですね。   (2023/8/25 17:44:48)

山田リョウ ◆> なら甘えよっかな   (2023/8/25 17:45:05)

スレッタ・ﾏｰｷｭﾘｰ ◆> ひとりさんとにするかリョウさんにするかまよいます…（んー）   (2023/8/25 17:47:04)

山田リョウ ◆> どっちでもいいよ？   (2023/8/25 17:47:19)

スレッタ・ﾏｰｷｭﾘｰ ◆> 建てました   (2023/8/25 17:47:47)

山田リョウ ◆> なら行くね。   (2023/8/25 17:48:28)

おしらせ> 山田リョウ ◆qdBZ5U32c6さんが退室しました。  (2023/8/25 17:48:29)

スレッタ・ﾏｰｷｭﾘｰ ◆> はーい   (2023/8/25 17:48:37)

おしらせ> スレッタ・ﾏｰｷｭﾘｰ ◆VpeFG8lScoさんが退室しました。  (2023/8/25 17:48:40)

おしらせ> フィリス ◆0yEVK5l4B6さんが入室しました♪  (2023/8/26 00:51:50)

フィリス ◆> く、ふぁぁ……全然眠れてないや……なのになんだかぼーっと目が覚めちゃう〜。(ぽけーっとした表情であったかいミルクをこくこくと啜り。)   (2023/8/26 00:52:44)

おしらせ> 東北ずん子さんが入室しました♪  (2023/8/26 01:13:33)

東北ずん子> そういう時は悪戯させてもらえばいいと思います！こんばんはー(ひょいっとはいりこんで)   (2023/8/26 01:14:05)

フィリス ◆> んにゃ……んんむ、誰か来た……いらっしゃいま……ふぁ。ぁ、ここ、私のアトリエじゃないや。えーと、えと、あ、こんばんはか。こんばんはーっ。(少し寝ぼけた様子で会釈を返し)   (2023/8/26 01:17:49)

東北ずん子> おっと、だいじょうぶですかー？おきてますかー？(じーっとかおをみつめて、つんつんっとかるくほっぺをつつき)   (2023/8/26 01:19:18)

フィリス ◆> ん……起きてる、起きてます、ほんの少しだけ待ってくださいね。ん、あむ。(ごそごそとポケットの中を弄り、クッキーを一つ取り出せば小さく食べ始めて) んむ、んむ……糖分が染みる〜。   (2023/8/26 01:21:03)

東北ずん子> あ、せっかくならこっちもどうですか(すすっとずんだ餅を差し出して)この時間にあんまりたべちゃうとって話もありますけど。あ、折角だし私もクッキー貰っていいです(ずいずいっとみをのりだして   (2023/8/26 01:26:10)

フィリス ◆> あみゅあみゅ……はっ、なにこれ、お餅？えへへ、やったぁ、差し出されて食べないわけにはいかないよね〜♪(目線に映る新しい食べ物に興味を惹かれ、すぐに手に取り食べ始め)
んむむむ、もみもふいいふぇふほ、はふはんあひまふ……んく。たくさんありますから！(ポケットのは非常用に……と忍ばせていたのか、鞄から皮袋を取り出し、どっさりと大量の焼き菓子をテーブルに乗せて。再びむにむにと餅を頬張り始めて)   (2023/8/26
01:30:15)

東北ずん子> おー……とてもいいたべっぷり！(嬉しそうに食べる様子をみながら、相手のクッキーをかるく一つまみ)あ、東北ずん子です、よろしくお願いしますね、こんな時間に起きちゃうと寝るときに迷っちゃいますよねー   (2023/8/26 01:35:02)

フィリス ◆> 美味しいものはねー、どんな時間に食べたって美味しいんだよ〜♪んぐ、んむ。私はフィリス、フィリス・ミストルート、錬金術師！もうそろそろばたんって寝ちゃおうと思ってたけど〜、私の事起こしちゃう？なんて。   (2023/8/26 01:38:52)

おしらせ> 羽鳥智世 ◆TaduQjWkbwさんが入室しました♪  (2023/8/26 01:41:26)

羽鳥智世 ◆> お邪魔しても大丈夫……でしょうか。　誰かいるみたいだから顔を出そうかとも思ったんですけれど……   (2023/8/26 01:41:57)

東北ずん子> いらしゃいませー、どうぞどうぞ。ごゆっくり、私はフィリスさんとおやつパーティしながらゆっくりしていますので！(ひらひらっとてまねきしつつ、しれっとフィリスさんにぎゅーっとだきついちゃいます)   (2023/8/26 01:43:38)

羽鳥智世 ◆> こんな時間におやつ…！？大丈夫なのかな……腹回りとか……。（食べにくそうな距離感だけど……つっこみどころ満載な絵面だけれど…いいのかな…、って複雑な顔を見せつつ。まぁ、いいか）   (2023/8/26 01:45:41)

フィリス ◆> ええっ、パーティじゃなくてとりあえずお腹空いたから食べてるだけなんだけど……パーティってもっとこう、山積みに食べ物がないと……あ、好きなように食べていいですからね！(既にお餅は食べ終え、自身の持ち込んだクッキーを両手にもくもくと食べ進め)  
(2023/8/26 01:46:42)

東北ずん子> つまりもっとおやつが欲しいと(きょとん)お腹いっぱいに食べるくらいがいいと思います！あれですよ。むしろ沢山食べるのもなんていうか夜の楽しみではありますし、お腹いっぱいになったら悪戯をやりやすいかもしれませんし！   (2023/8/26
01:51:00)

羽鳥智世 ◆> すごい…両手にクッキーを持ってるのに一切の罪悪感のない顔だ……私だって少しは躊躇うのに…！（凄い食欲だ……って持ってきた紅茶を啜りながら……喜色満面におやつを、食べる相手を眺めていて）   (2023/8/26 01:51:37)

フィリス ◆> あんまり食べすぎるとあれだよね〜……お腹空いちゃって、ちゃんとしたもの食べたくなる。でも今は素材も釜もないし、我慢しないと……お肉が食べたくなっちゃう……(悩ましそうに頭を傾げつつ、そろそろ袋の中が空になりそう)   (2023/8/26
01:55:06)

東北ずん子> 一緒に食べましょうよー。ほらほら、深夜に食べるおやつはおいしいですよー(ずんだもちもふもふ。クッキーも美味しいですし。お腹すいてきちゃいますね   (2023/8/26 01:59:26)

羽鳥智世 ◆> これは危ないやつだ……カロリーとかそういう意味で……。多分私は食べてもなんとかなりそうだけど……（一回くらいなら…いいのかもだけど、どか食いは流石に不安だ……となんともいえない顔でクッキーを一口）   (2023/8/26 02:02:28)

フィリス ◆> ん、くぁぁ……む〜、だんだん眠くなって来ちゃった……寝ても大丈夫かな？(こてん、寄り添ってる彼女の肩に頭乗っけて疑問符)   (2023/8/26 02:05:16)

東北ずん子> ん－、ほら、いっぱい食べたら運動すればいいとおおもいます！(こくこく、フィリスさんを抱えて)あ、ゆっくりねちゃってくださいー   (2023/8/26 02:08:20)

羽鳥智世 ◆> 寝ちゃっていいと思います……   (2023/8/26 02:13:37)

東北ずん子> いい時間ですからねー。そちらはどうしますかー(わきわき、とりあえず抱き着きに行こうと智世さんの方にずいずい   (2023/8/26 02:14:42)

羽鳥智世 ◆> どうしよう、特に何も考えずに割って入っただけだからな……（うーん…と抱きつきに来る相手を受け入れようと）   (2023/8/26 02:15:32)

東北ずん子> 凄くわかる、なんとなーく話したくなるときってありますよねー(軽く凭れかかってむぎゅ   (2023/8/26 02:16:10)

羽鳥智世 ◆> そうそう、なにかするには時間が遅すぎるなぁ…とか思っちゃうと動けなくなりがちですね。（優しく頭を撫でてあげては。抱きしめてくる相手を振り払ったりはせずに）   (2023/8/26 02:17:14)

東北ずん子> わかりますー、でもそういうときこそ悪戯したり、悪戯したりがあるとおもいます！(きらきらっと見上げつつ。はふーっとかるくほっぺをよせて)   (2023/8/26 02:19:07)

羽鳥智世 ◆> いたずらをするしか選択肢が無い…！？（見上げられてる相手に、頬ずりされつつ。変わらないですね……って苦笑い）   (2023/8/26 02:28:05)

東北ずん子> 私はいつもどおりですからねー。ふふふ、寝るまで悪戯されちゃいます？(わきわき、まぁ特にこのままもいいかなぁってのんびり   (2023/8/26 02:29:07)

おしらせ> 無言時間が25分を超えたため、フィリス ◆0yEVK5l4B6さんが自動退室しました。  (2023/8/26 02:30:38)

羽鳥智世 ◆> なんだろう……その選択肢ない質問……あんまり激しいのはだめだよ。（こんな時間だから、ってたしなめつつ。拒絶はしないように）   (2023/8/26 02:31:36)

東北ずん子> そんな、激しいのができないなんて、私そんな事いわれたら……(がくん、ぎゅうっとだきつき、腰もくっつけちゃいましょう)   (2023/8/26 02:34:11)

羽鳥智世 ◆> そりゃあ……この時間からむちゃくちゃにされるのは流石に意識が保たないから……（苦笑いを崩せないままに。どうぞ、って抱きつく相手そのものは嫌じゃないと優しく抱きしめ返して）   (2023/8/26 02:36:40)

東北ずん子> ふふー、ちょっとの時間二人でいちゃいちゃもいいですけどねー(ほっぺをかるくつんつん、じーっとみつめて   (2023/8/26 02:37:49)

羽鳥智世 ◆> そうですね。久しぶりに会えたわけですし…こうして同じ時間を共有するのも。（つつかれれば、キスがほしいのか？と少し考えてから、唇に軽く乗せるように）   (2023/8/26 02:45:13)

東北ずん子> うｈぁーい、ねるまでゆっくりしましょうー(ちゅっと小さくキスをして、むぎゅ、むぎゅっともたれかかり   (2023/8/26 02:47:50)

羽鳥智世 ◆> うん…それくらいなら今日は大丈夫。（もう3時だし…時間の問題であることは強調しながら。キスにはキスを返して……。優しくお腹をぽすぽすと叩いてあげて）   (2023/8/26 02:49:53)

東北ずん子> そうですねー、ゆっくりねましょうかー(ふにゅー、くてー   (2023/8/26 02:54:19)

羽鳥智世 ◆> うんうん、ゆっくり寝ちゃおう。（その方がいいよ、って）   (2023/8/26 02:56:14)

おしらせ> 無言時間が25分を超えたため、東北ずん子さんが自動退室しました。  (2023/8/26 03:20:14)

おしらせ> 無言時間が25分を超えたため、羽鳥智世 ◆TaduQjWkbwさんが自動退室しました。  (2023/8/26 03:22:15)

おしらせ> スレッタ・ﾏｰｷｭﾘｰ ◆VpeFG8lScoさんが入室しました♪  (2023/8/26 17:30:32)

スレッタ・ﾏｰｷｭﾘｰ ◆> こんばんはです（ふにゅ）   (2023/8/26 17:30:48)

おしらせ> 中野二乃さんが入室しました♪  (2023/8/26 17:32:42)

中野二乃> こんばんは   (2023/8/26 17:32:58)

スレッタ・ﾏｰｷｭﾘｰ ◆> こんばんはです（ぺこっ）   (2023/8/26 17:33:15)

中野二乃> ん、あんまり見ない顔ね。私も常連じゃないけど（過去ログ的な意味で）   (2023/8/26 17:33:57)

スレッタ・ﾏｰｷｭﾘｰ ◆> そうですねぇ、極稀にしかこないので常連ではないです（こくっ）   (2023/8/26 17:34:49)

中野二乃> ふ～ん、珍しいのねそっち関連の作品の娘、あんまり見かけないし   (2023/8/26 17:36:09)

スレッタ・ﾏｰｷｭﾘｰ ◆> そうですねぇ、過去の作品ですしする人がすくないとおもいます（ふにゅ）   (2023/8/26 17:37:39)

中野二乃> 寧ろ新しいほうじゃない、キャラのイメージ変わるからどの時点か大事ね   (2023/8/26 17:39:40)

スレッタ・ﾏｰｷｭﾘｰ ◆> 新しいほうではありますがアニメしなくなるとみんなしなくなっちゃいますからねぇ、そうですねぇわかるひとはわかるかもです。（ふんすぅ）   (2023/8/26 17:41:02)

中野二乃> それ言ったら長編のアニメとかの方が多くなるわね   (2023/8/26 17:42:41)

スレッタ・ﾏｰｷｭﾘｰ ◆> そうですねぇ、私はあまりあったことないですけどねぇ。   (2023/8/26 17:43:29)

中野二乃> 水星の魔女もいいキャラ多いのだけどメイン覗くと知名度が薄いかも、残念ね   (2023/8/26 17:45:07)

スレッタ・ﾏｰｷｭﾘｰ ◆> 多いですけど私かミオリネさんくらいしかみたことないです、ざんねんです…（しょぼん）   (2023/8/26 17:46:42)

中野二乃> 私は他のお部屋でセセリアを見たくらいね、チュチュとかならまだ良そうな気はするんだけどね   (2023/8/26 17:48:56)

スレッタ・ﾏｰｷｭﾘｰ ◆> セセリアさんみたことないです、チュチュさんもそうですねぇしやすいキャラなんだけどなぁ   (2023/8/26 17:49:50)

中野二乃> 好きな作品だけどインパクト弱かったのかな   (2023/8/26 17:51:37)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/8/26 17:52:36)

後藤ひとり> お邪魔します……(こそこそ)   (2023/8/26 17:52:44)

中野二乃> ん、どーぞ   (2023/8/26 17:53:05)

スレッタ・ﾏｰｷｭﾘｰ ◆> かもしれません   (2023/8/26 17:53:12)

後藤ひとり> あ、はい……   (2023/8/26 17:54:10)

スレッタ・ﾏｰｷｭﾘｰ ◆> こんばんは   (2023/8/26 17:54:20)

後藤ひとり> 少しだけ失礼しますね……   (2023/8/26 17:54:56)

スレッタ・ﾏｰｷｭﾘｰ ◆> 少しだけ？（きょとん）   (2023/8/26 17:58:08)

後藤ひとり> 1時間ほどです…   (2023/8/26 17:58:15)

スレッタ・ﾏｰｷｭﾘｰ ◆> なるほど   (2023/8/26 17:58:33)

中野二乃> 最近、きくりの断酒した姿がちょっと話題になっていたり   (2023/8/26 17:58:56)

後藤ひとり> 陰キャでしたからね……   (2023/8/26 17:59:10)

中野二乃> 酒ぬけると人格が変わっているとか   (2023/8/26 17:59:45)

後藤ひとり> そうなんですよね……   (2023/8/26 18:02:12)

スレッタ・ﾏｰｷｭﾘｰ ◆> 人格変わる、まるでエランさんみたいですね（おもいうかべるのがそこしかなかった）   (2023/8/26 18:04:37)

後藤ひとり> というかここ2/3が陰キャですね……   (2023/8/26 18:06:01)

スレッタ・ﾏｰｷｭﾘｰ ◆> そうですね？   (2023/8/26 18:07:26)

後藤ひとり> 二乃さんも気を抜いたら陰キャに……？   (2023/8/26 18:07:51)

中野二乃> ならないならない   (2023/8/26 18:09:28)

中野二乃> スレッタは陰キャ判定なの   (2023/8/26 18:10:10)

後藤ひとり> 私と同じはず……   (2023/8/26 18:10:49)

スレッタ・ﾏｰｷｭﾘｰ ◆> 私は陰キャです（はい）   (2023/8/26 18:11:14)

中野二乃> どっちかといえばミオリネの方じゃ…   (2023/8/26 18:11:18)

後藤ひとり> ミオリネさんは怖いです……   (2023/8/26 18:12:02)

中野二乃> エランもそうだけど…違う   (2023/8/26 18:12:12)

スレッタ・ﾏｰｷｭﾘｰ ◆> エランさんは４ごうさんがそうでしたねぇ。   (2023/8/26 18:13:50)

後藤ひとり> そういえばそうですね……   (2023/8/26 18:14:23)

中野二乃> 5号の性格で氷の君は無理があるわ   (2023/8/26 18:16:12)

スレッタ・ﾏｰｷｭﾘｰ ◆> なんで、あーなちゃったんでしょうねぇ。   (2023/8/26 18:18:06)

後藤ひとり> 私も5号になれば……   (2023/8/26 18:19:18)

スレッタ・ﾏｰｷｭﾘｰ ◆> ならないでください！？（がしっ）   (2023/8/26 18:21:16)

後藤ひとり> だ、ダメですか！？(がーん)   (2023/8/26 18:22:22)

中野二乃> まあ、いろいろあるのよ   (2023/8/26 18:23:04)

スレッタ・ﾏｰｷｭﾘｰ ◆> だめです！？ぜったいだめです！？（ゆさゆさ）   (2023/8/26 18:24:40)

後藤ひとり> わ、分かりました………(ぐわんぐわん)   (2023/8/26 18:27:22)

中野二乃> 大丈夫なのかな…   (2023/8/26 18:27:38)

スレッタ・ﾏｰｷｭﾘｰ ◆> なったら恨みます…（ゆさゆさ）   (2023/8/26 18:27:56)

後藤ひとり> 後藤ひとり3号になります……(？)   (2023/8/26 18:31:07)

スレッタ・ﾏｰｷｭﾘｰ ◆> ならないでください…（じーーーー）   (2023/8/26 18:31:34)

中野二乃> なんか極めだしたわね   (2023/8/26 18:31:58)

後藤ひとり> ２号……はふたりだし……   (2023/8/26 18:35:25)

中野二乃> 最近、スレッタの中の人がEDカバーしててよかったわね   (2023/8/26 18:38:57)

スレッタ・ﾏｰｷｭﾘｰ ◆> ならないでください……（ひとりさんをゆさゆさゆさゆさ）   (2023/8/26 18:40:51)

後藤ひとり> なら1号になります……(グラグラ揺れて)   (2023/8/26 18:44:09)

スレッタ・ﾏｰｷｭﾘｰ ◆> ならないでください……（ゆさゆさゆさゆさゆさゆさ）   (2023/8/26 18:45:40)

中野二乃> 1号ってオリジナルとなにが違うの   (2023/8/26 18:46:09)

後藤ひとり> じゃあゼロ号に……(ぐわんぐわんぐわんぐわん)   (2023/8/26 18:47:10)

スレッタ・ﾏｰｷｭﾘｰ ◆> わからないですね。   (2023/8/26 18:47:47)

スレッタ・ﾏｰｷｭﾘｰ ◆> だ・か・ら・な・ら・な・い・で・く・だ・さ・い（ゆさゆさゆさゆさ）   (2023/8/26 18:48:29)

後藤ひとり> じゃあ何になればいいんですか～～(次第に体が崩れて)   (2023/8/26 18:49:11)

中野二乃> なろうなろう明日は希望の木になろうbyりそなろう   (2023/8/26 18:49:56)

スレッタ・ﾏｰｷｭﾘｰ ◆> ひとりさんのままでいてください（じー）   (2023/8/26 18:50:26)

後藤ひとり> なら私のままで……   (2023/8/26 18:50:39)

スレッタ・ﾏｰｷｭﾘｰ ◆> 説得にだいぶ時間もっていかれました…   (2023/8/26 18:51:04)

後藤ひとり> そろそろご飯ですね……   (2023/8/26 18:52:38)

スレッタ・ﾏｰｷｭﾘｰ ◆> 私もそろそろご飯です…   (2023/8/26 18:53:46)

中野二乃> んじゃ、そろそろ解散ね   (2023/8/26 18:54:09)

