/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2018年06月09日 13時36分 ～ 2018年06月11日 09時28分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

フカ次郎> いや、大丈夫……14時からちょっと野暮用だから   (2018/6/9 13:36:14)
京町セイカ> 蒸し暑いですしここはひとつ……（たくさんある飲み物から選んだのは、ヱビスビール。暑い日の定番ですね。金色の缶とグラスを手にソファへと移動して、さっそく開封。グラスにこぽこぽと注いでって……泡こぼれちゃいそうになったの、慌てて口付けて啜っちゃいましょう）
  (2018/6/10 03:25:09)

京町セイカ> んく…ぷは…ぁ……やっぱり暑い時はこれに限りますねー（爽やかな喉越しを楽しみながら一気に半分ぐらい飲んじゃいました。ビールはちびちびいくより、ぐびっといく方が合うと思うんです。減った分を注ぎ足して、今度はしっかり狙って泡立ててみましょう。クリーミーな泡ってやつです♪）
  (2018/6/10 03:47:25)

京町セイカ> んー……痒みも治まって来ましたし、そろそろ寝直すとしましょうか（残りのビール飲みながら、蚊に刺された指をチェック。塗ったおくすり効いてきたのか痒みも腫れも控えめになってきました。これなら安心して眠れそうです。グラスと空き缶片付けて、寝直すとしましょう）
  (2018/6/10 04:06:32)

おしらせ> 京町セイカさんが退室しました。  (2018/6/10 04:06:51)

おしらせ> 霍青娥さんが入室しました♪  (2018/6/10 04:26:18)

霍青娥> おはよう、この時間じゃ誰もいないわね（そう言いながら部屋の中に入るとソファに座りゆったりとしつつ   (2018/6/10 04:26:55)

霍青娥> 朝ごはん用意しますかね（そう言いながら立ち上がると台所にきておにぎりと味噌汁を作り始めて   (2018/6/10 04:35:06)

霍青娥> …（おにぎりを作り味噌汁も出来上がると火を止めて用意したものを持ってソファに戻り座るとテーブルに置いて   (2018/6/10 04:44:45)

霍青娥> もぐ（そのままおにぎりにぱくつきつつ時々味噌汁をすすったりしてゆったりと食べていて   (2018/6/10 04:52:36)

おしらせ> 十六夜 咲夜さんが入室しました♪  (2018/6/10 05:07:12)

十六夜 咲夜> 【おはようございます。はじめまして】   (2018/6/10 05:07:39)

霍青娥> 【おはようございます、よろしくね♥   (2018/6/10 05:07:53)

十六夜 咲夜> 失礼致します(部屋の扉を開く   (2018/6/10 05:08:28)

霍青娥> あら、おはようございます…咲夜さま（扉が開かれるとそちらの方を見て、おにぎりを頬張りながらご挨拶して   (2018/6/10 05:09:11)

十六夜 咲夜> おや、青娥様でしたか。   (2018/6/10 05:09:36)

霍青娥> 咲夜さまもここにくるのね〜（そう言いながら食べ終わるとゆったりとお茶の用意をしていて   (2018/6/10 05:11:07)

十六夜 咲夜> まぁ…一応…(青娥さんのとなりに座る   (2018/6/10 05:11:38)

十六夜 咲夜> 時間さえあれば時々来てます。   (2018/6/10 05:13:23)

霍青娥> なるほどねぇ、何か飲む？（首を傾げつつ聞いてみて自分はあったかい緑茶を飲んでいて   (2018/6/10 05:14:21)

十六夜 咲夜> お茶で大丈夫です   (2018/6/10 05:14:49)

霍青娥> はぁい（相手の言葉に頷くとゆったりと自分は飲みつつ   (2018/6/10 05:16:35)

十六夜 咲夜> ありがとうございます。(茶を飲む   (2018/6/10 05:17:13)

霍青娥> んん…（ゆったりと飲みながらゆっくりとしていて   (2018/6/10 05:18:25)

十六夜 咲夜> 青娥様ってお胸が大きいですよね…(羨ましそうに見つめる   (2018/6/10 05:19:03)

霍青娥> んふふ、ありがとう…自慢よ♥（相手に言われると嬉しそうにしつつ強調するように揺らして   (2018/6/10 05:21:40)

十六夜 咲夜> そういえば…ここに来ると…その…エッチな事に誘われると聞いたのですが………本当ですか？///(顔を赤くしながらと真っ直ぐな目で問いかける   (2018/6/10 05:23:06)

霍青娥> んん〜、雰囲気次第？わたしは…積極的に誘う方だけど（相手が問いかけてくると微笑みかけながら恥ずかしげもなく伝えつつ優しく相手の頬を撫でてみて   (2018/6/10 05:24:19)

十六夜 咲夜> んっ…そうですか…(青娥の手を取り温もりを感じている   (2018/6/10 05:25:05)

霍青娥> うんうん（相手に頷きつつ優しく頬を撫でつつ綺麗な肌と思いながら見つめていて   (2018/6/10 05:26:44)

十六夜 咲夜> んっ…あのっ…えっと…その…///(どんどん小声になる(目は冷たい雨に打たれたかのように悲しそう   (2018/6/10 05:28:01)

霍青娥> どうしたの？（そう言いながら相手を見つめながらクール系かと思っていたが意外に？と思いながら見つめていて   (2018/6/10 05:29:05)

十六夜 咲夜> いや…なんでもないです…(青娥の手を離すとき少し名残惜しそうな表情になるがすぐに表情を戻す(目は変わらない   (2018/6/10 05:30:36)

霍青娥> んっ…気になるわ（そう言いながら相手の悲しそうな目に少しぞくっと来ていて体を密着させて見つめながら顔を近づけて   (2018/6/10 05:31:29)

十六夜 咲夜> なんでも…ないです…(別の方向を向こうとする   (2018/6/10 05:32:24)

霍青娥> んっ…（そのままこちらを向かせるとそのまま見つめながらゆっくりと顔を近づけてキスをしようとして   (2018/6/10 05:33:30)

十六夜 咲夜> んっ………(抵抗しない   (2018/6/10 05:34:05)

霍青娥> んちゅ…（まだ出会って少しなのにキスをしてれろぉ…とねっとりと舌で唇を舐めて   (2018/6/10 05:35:14)

十六夜 咲夜> んっ…ふ…ぁっ…(少し目に表情が戻ったかと思ったら自責の念を感じられる目になっている。   (2018/6/10 05:36:18)

霍青娥> はぁっ…んちゅ…（そのまま一度キスをすると逃がさないように相手の腰に腕を回しつつレロレロと唇を舐め回しながら見つめていて   (2018/6/10 05:37:11)

十六夜 咲夜> はぁっ…んっ…ふぁっ………(青娥の背中に手を回そうとするが途中で止まる   (2018/6/10 05:38:26)

霍青娥> はぁっ…んっ…（相手が手を回そうとして途中で止まると片手で無理やり自分の背中に手を回させて密着しながらソファに押し倒して   (2018/6/10 05:39:44)

十六夜 咲夜> んっ…ごめんなさい…(悲しそう   (2018/6/10 05:42:20)

霍青娥> んっ…はふ…いいのよ（そう言いながら口を離すと優しく頭を撫でてあげて   (2018/6/10 05:43:39)

十六夜 咲夜> んっ…(青娥の胸に顔を埋める   (2018/6/10 05:44:14)

霍青娥> あらあら（優しく頭を撫でつつ、何か嫌なことでもあったかしら？と聞いてみて   (2018/6/10 05:45:41)

十六夜 咲夜> ………時々、人肌が恋しくなるんです…欲を出してはいけないのに…(痛いくらいに青娥の服を握る   (2018/6/10 05:45:46)

霍青娥> ふふ、かわいい…レミリアさまとかには甘えられないの？（そう言いながら相手の頭を優しく撫でつつゆったりとしていて   (2018/6/10 05:48:22)

十六夜 咲夜> 愛を求めては…いけないのに…心が求めてしまう…   (2018/6/10 05:49:19)

十六夜 咲夜> レミリア様に迷惑をかけたくないんです………   (2018/6/10 05:50:12)

霍青娥> なるほどねぇ…なら、いつでもわたしが受け止めてあげる（そう言いながら相手に微笑みかけつつゆったりとおでこにキスをして   (2018/6/10 05:51:34)

十六夜 咲夜> んっ…ありがとうございます…青娥様…   (2018/6/10 05:51:58)

十六夜 咲夜> (青娥を押し倒しそうになるがなんとか抑える   (2018/6/10 05:53:11)

霍青娥> んふふ…そのまま身も心も夢中にしてあげる♥（そう言いながら優しく相手のお尻に手を這わせて優しく撫で回していき   (2018/6/10 05:54:31)

十六夜 咲夜> んっ…ふ…ぁっ………   (2018/6/10 05:54:49)

十六夜 咲夜> (震える華奢な手で青娥の服を脱がせようとする。   (2018/6/10 05:56:42)

霍青娥> あん♥積極的なの好きよ♥（そう言いながら舌舐めずりしながら脱がされると大きな胸がどたぷんと露わになり   (2018/6/10 05:57:14)

おしらせ> 大宮忍さんが入室しました♪  (2018/6/10 05:57:52)

大宮忍> おはようございます…   (2018/6/10 05:57:59)

十六夜 咲夜> んっ…(青娥の胸に顔を埋めている   (2018/6/10 05:58:07)

十六夜 咲夜> (指先まで震えている   (2018/6/10 05:58:58)

霍青娥> おはよう、忍ちゃん…あぁん♥（忍にご挨拶しつつ胸に顔を埋めてくるとビクッとしながら咲夜のお尻を両手で掴み揉みしだいていき   (2018/6/10 06:00:04)

十六夜 咲夜> んっ…ふぁっ…んんっ…   (2018/6/10 06:00:41)

大宮忍> はい…   (2018/6/10 06:00:41)

十六夜 咲夜> お客…人ですか…？   (2018/6/10 06:02:20)

大宮忍> 大宮忍です…はじめまして   (2018/6/10 06:03:05)

十六夜 咲夜> はじめまして…十六夜咲夜です…   (2018/6/10 06:03:22)

霍青娥> 忍ちゃんもおいで♥（そう言いながら忍に手を伸ばしつつ微笑みかけて胸を丸出しで咲夜に顔を埋められている姿でソファに横になっていて   (2018/6/10 06:04:00)

十六夜 咲夜> では、邪魔をしてはなりませんね…(名残惜しそうに青娥から離れようとする   (2018/6/10 06:05:25)

大宮忍> よろしくお願いします>咲夜 あ、はい…((そっと近づいて)   (2018/6/10 06:05:49)

霍青娥> 何離れようとしてるの（咲夜を引き寄せて優しくおでこにキスをしてあげて忍が近づいてくると手を握って優しく引き寄せ二人とも抱きしめてあげて   (2018/6/10 06:06:31)

十六夜 咲夜> んっ…でも…邪魔をしては………   (2018/6/10 06:07:16)

大宮忍> はわわ.../////(恥ずかしそうにしつつも抱きついて)   (2018/6/10 06:07:51)

霍青娥> 邪魔じゃないわ、わたしに甘えてくる子たちは全員受け止めてあげる♥（ソファだと3人は辛いので二人の手を繋いでそのままベッドに二人とも押し倒して、二人に微笑みかけて   (2018/6/10 06:09:04)

十六夜 咲夜> っ…ありがとう…ございますっ………   (2018/6/10 06:09:36)

大宮忍> お姉ちゃんよりお姉ちゃんらしいです…///(まだ慣れてないため動揺しつつ)   (2018/6/10 06:10:16)

十六夜 咲夜> (少し遠慮気味に青娥の腕に額を当て、温もりを感じようとする   (2018/6/10 06:12:16)

霍青娥> んふふ…勇ちゃんもわたしの妹みたいになってるわ（そう言いながら咲夜の頭を撫でつつゆっくりと二人の前で服を脱いで裸になると見つめて）ほら…服を脱いで（二人に微笑みながら伝えてゆっくりとベッドに座ると見つめていて   (2018/6/10
06:12:33)

霍青娥> 【よかったら咲夜さま、一レスでロルまで入れてくれると嬉しいですっ、わがまま申し訳ありませんっ   (2018/6/10 06:13:04)

十六夜 咲夜> (何も言わず服を脱いで青娥の腕に額を当てる   (2018/6/10 06:13:33)

十六夜 咲夜> 【了解です。尽力します】   (2018/6/10 06:13:54)

大宮忍> というと私も青娥さんの妹のなのですか？(いつの間にか姉が増えていたことに驚きつつも言われた通り服を脱いでみる)   (2018/6/10 06:14:39)

霍青娥> そうね、あなたが良ければだけど（忍にクスクス微笑みながら二人が裸になるとそのまま二人の腰に腕を回して抱き寄せて密着すると交互に二人の唇にキスをしていき   (2018/6/10 06:15:35)

霍青娥> 【ありがとうね   (2018/6/10 06:15:38)

十六夜 咲夜> んっ…(青娥の腕に縋り付くように頰を擦り付け、温もりを感じようとする。   (2018/6/10 06:16:48)

大宮忍> 別に嫌ではありませんよ？いきなりで驚いただけです…////(キスをされると体をピクンとさせて)   (2018/6/10 06:17:10)

霍青娥> んふふ…なら、いいわね（忍ちゃんにクスクス微笑みながら咲夜が縋り付くように腕に頬を擦り付けてくると優しくキスをしながら二人の胸に手を這わせて優しく揉みしだいていき   (2018/6/10 06:18:35)

十六夜 咲夜> んっ…ふぁっ…そこ…気持ち…いい…(青娥に縋り付きながら感じている   (2018/6/10 06:19:58)

大宮忍> 大丈夫ですよ…///んっ…くひゅぐったいです…(勇よりもない胸を揉まれて恥ずかしそうに)   (2018/6/10 06:20:17)

霍青娥> んふふ、かわいいおっぱい♥（そう言いながらお互いの胸を優しく刺激しつつしばらくするとゆっくりと手を離してそのまま腰を経由するように撫でつつそのまま二人の股間にきて優しく股間を撫で回していき   (2018/6/10 06:21:49)

十六夜 咲夜> んっ…ふぁっ…あったかい…   (2018/6/10 06:22:33)

大宮忍> んんっ…くすぐったいです…///(他人に触られたことの無い股間を撫で回されると身体を震わせて)   (2018/6/10 06:23:45)

霍青娥> 二人ともいい反応…触られたことは？（クスクス微笑みながら二人の股間を優しく撫で回しつつ聞いてみて二人を寝かせつつ自分は膝立ちして二人の割れ目を優しく刺激していき   (2018/6/10 06:25:15)

十六夜 咲夜> ないです…んっ………あったかぁい…(恍惚とした表情を浮かべる   (2018/6/10 06:26:04)

大宮忍> ないですぅ…///(初めての感覚で不思議に思いつつ割れ目からは透明な液が)   (2018/6/10 06:26:43)

霍青娥> 二人とも初めてなのねぇ♥ふふ…♥（その言葉にゾクゾクしながらそのまま二人の割れ目が濡れてくるとそのまま指を一本軽く突っ込んでグッチュグッチュとかき回し始めて   (2018/6/10 06:28:19)

十六夜 咲夜> ぁっ…音…鳴らしちゃらめぇ…///(恥ずかしそうに青娥の胸で顔を隠す   (2018/6/10 06:29:29)

大宮忍> んんっ…///中まで入ってます…////(指が中に入ってくる感じ、いやらしい音までたてられてしまい興奮しえ)   (2018/6/10 06:29:59)

霍青娥> んんっ…♥（咲夜がしがみついてくるとぐいっとまた押し倒して）顔を隠しちゃ見えないでしょう♥（そう言いながらまたかき回しながら二人の中を確認して楽しそうに笑っていて   (2018/6/10 06:31:01)

十六夜 咲夜> ぁっ！ふぁっ！(青娥の手を押さえつけてもっとと要求する。   (2018/6/10 06:32:05)

大宮忍> こんな感覚は初めてですっ…////ああっ…(身体を震わせてて液を漏らしつつまだなれない感覚で)   (2018/6/10 06:32:24)

霍青娥> はっ…♥夢中にしてあげる♥（忍に言いながら指を二本に増やすとそのままズッポズッポズッポと指を激しく動かし始めて   (2018/6/10 06:34:04)

大宮忍> はぁぁ…/////なんなんでしょう…////(指を2本に入れられるとさらに変な感覚が強くなり、何かよくわからないものをだしそうで)   (2018/6/10 06:35:24)

霍青娥> いいのよ、ほらいきなさいっ♥（そう言いながら激しく指でかき回していきつつ忍の中をたっぷりと刺激していき   (2018/6/10 06:41:15)

大宮忍> へ、変なの出ちゃいますよ…////(腰をガクガクとさせて割れ目から愛液を出して逝ってしまい～)   (2018/6/10 06:42:33)

霍青娥> はぁっ…ふふ、逝っちゃたわね♥（クスクス微笑みながら言って相手の腰がガクガク震えている姿を堪能しつつゆっくりと指を引き抜いて   (2018/6/10 06:43:54)

大宮忍> も、漏らしちゃいました…////(恥ずかしそうに手で隠して)   (2018/6/10 06:45:17)

霍青娥> かわいい♥（そう言いながらおでこにキスをして、ちょっとそろそろ時間なので最後におでこにキスをして）咲夜ちゃんは気絶しちゃったかしら…（そう言いながら指を引き抜いて   (2018/6/10 06:46:04)

大宮忍> ひゃん…////(おでこにキスをされて、私からもちゅっと)咲夜さんも気持ちよかったんですよ//.   (2018/6/10 06:48:30)

霍青娥> ふふ、それならいいのだけど…じゃあ、そろそろ時間だから出るわ…またしましょうね（服を着直すと二人に投げキッスをしていなくなり   (2018/6/10 06:49:10)

霍青娥> 【なんか急ぎですいません、また次回ゆっくりと遊びましょう〜ではでは   (2018/6/10 06:49:36)

おしらせ> 霍青娥さんが退室しました。  (2018/6/10 06:49:38)

大宮忍> はわわ…////(照れながらも見送り)   (2018/6/10 06:51:08)

おしらせ> 無言時間が20分を超えたため、十六夜 咲夜さんが自動退室しました。  (2018/6/10 06:52:52)

おしらせ> 大宮忍さんが退室しました。  (2018/6/10 07:00:47)

おしらせ> 古明地こいしさんが入室しました♪  (2018/6/10 12:31:11)

古明地こいし> きゃん？！（ポトリ、間違えて落ちてきてしまった無意識。）いったーい……まぁ、誰もいないみたいだし……すぐに戻っちゃおう……。（よじよじ。また登っていった）   (2018/6/10 12:32:32)

おしらせ> 古明地こいしさんが退室しました。  (2018/6/10 12:32:38)

おしらせ> リグル・ナイトバグさんが入室しました♪  (2018/6/10 12:47:48)

リグル・ナイトバグ> (若干目を軽く擦りながら､ふあ、っと小さく欠伸を漏らして――)時間帯的にきっとのんびりな状況……に、しても。(雨に濡れちゃった様子で髪の毛をタオルで拭ったりしながら――とりあえずリビング設定にはしておこう。びしょ濡れにはなってないだけマシだったかもしれない…水気をぱっぱと払って)
  (2018/6/10 12:50:18)

