チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月12日 00時34分 ～ 2023年03月12日 14時18分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

モリガン ◆> さあ、二人とも召し上がれ♪（二人に手を差し伸べて）   (2023/3/12 00:34:48)
絹川みちほ> 興味がないわけではないですから。…あんまり慣れてはないですけど…がんばりますから…（甘い声を響かせるモリガンさんの姿を見ながら、白い肌の見えている胸全体に舌を這わせていって）   (2023/3/12 00:45:36)

犬走椛> まずは、生やさずでしょうか…♡（股から淫汁を垂らしつつ、スカートの中に顔を突っ込めば、パンツをずらして…ペロペロと…）   (2023/3/12 00:46:52)

モリガン ◆> こんな時間に私ごと舐めるなんて・・・二人とも贅沢だわ？・・・私がいうのもなんだけど、はぁあああん♪   (2023/3/12 00:48:12)

御魂・アリア> 全く……動きが急に早いですね…（どうぞ、と。舐めさせてあげながら。そんなに舐めたかったのか、と。バター犬でも飼ってるかのような気分になりつつ。悪くない、とスカート越しに耳をフニフニとつまんで）   (2023/3/12 00:49:29)

絹川みちほ> ふふっ、たしかに贅沢してるからちょっと背徳感もあるかも……（胸元から顔を離して、服の上から胸を軽くつついてみて）   (2023/3/12 00:50:06)

後藤ひとり> 2人分ですからね……♡(胸をつついてる様子をニヤニヤと)   (2023/3/12 00:51:04)

犬走椛> わふぅ…♡この匂い、この味…♡大好きです…♡（耳をつままれれば、腰を跳ねさせつつ…ピチャピチャと舐めていって）   (2023/3/12 00:51:25)

モリガン ◆> あん♪私のおっぱいがまるでプリンみたい♪（かるくつつかれて）   (2023/3/12 00:52:03)

御魂・アリア> ……っ、武器をなめようだなんて、奇特ですね…（大砲（ほんたい）に縋りつくようにしながら足をかく、と震わせながら、片手で耳をふにり、ふにりとつまんで、わずかに仕返しを）   (2023/3/12 00:52:33)

絹川みちほ> モリガンさんもスタイルいいですよね。ふふっ、柔らかさの中にハリもある……（モリガンさんの胸を軽くつついて、反応と感触を楽しんでいて。ひとりちゃんもそれを見ていて）   (2023/3/12 00:53:59)

モリガン ◆> スタイルにはとても自身があるの・・・うふん♪（つつかれるたびにぷるんとゆれて）   (2023/3/12 00:55:14)

犬走椛> イキそうになったら、遠慮せずにイッて良いですからね♡（もし、よもおしてもちゃんと飲みますよ♡なんていいつつ…クリをペロリと舐めて皮を剝いて）   (2023/3/12 00:56:50)

絹川みちほ> モリガンさんって、やっぱり悪魔…的な感じなんですか？（本当にプリンみたいにぷるぷる揺れるおっぱいに目線が泳いで）   (2023/3/12 00:59:17)

御魂・アリア> もう……本当に、奇特…ッ…♡（なんて、太ももでほっぺたを押さえつけつつ。むず、っとしながら…腰を落として股を押し付けて、むしろ顔面にこすりつけて）   (2023/3/12 01:01:08)

モリガン ◆> サキュバスなのは確かだけどね・・・んん♪（ぷるぷる）ごめんなさい・・・今はここまでね？とても楽しかったわ♪二人ともまた遊びましょ？ではまた（とここを去っていって）   (2023/3/12 01:02:01)

おしらせ> モリガン ◆i6fJKa45IIさんが退室しました。  (2023/3/12 01:02:05)

絹川みちほ> おやすみなさい、モリガンさん。ふふっ、また会いましょうね   (2023/3/12 01:02:48)

犬走椛> んむ…♡はむ…♡ジュルル♡（顔面に擦り付けられて、愛液まみれになっても、不快感を示すどころか興奮したように尻尾を振って…）ジュルル♡ピチャ♡ジュル…♡（そのまま熱心に舐め続ける）   (2023/3/12 01:03:02)

後藤ひとり> お疲れ様ですでした   (2023/3/12 01:03:31)

御魂・アリア> んっ……♡はっ……♡ふぅ……っ…ふっ……♡くっ…、イキそ…っ（そのまま、熱心に舐め続けられて、なんなら尻尾を振るわれたら、今にもイきそうに体を震わせて）   (2023/3/12 01:07:02)

犬走椛> わふぅ…♡（声を聞けば、促すように…ペロ…♡と尿道やクリ、膣を刺激しながら…自身の股に指を入れて、気持ち良くなりつつ、チュウ♡と吸って）   (2023/3/12 01:08:53)

絹川みちほ> あっちも続けてるね……（また会える事を願ってモリガンさんを見送ると、そっとひとりちゃんのほうへと）   (2023/3/12 01:10:13)

後藤ひとり> そうですね……(とりあえず見ておきましょうか……と)   (2023/3/12 01:10:40)

御魂・アリア> んぅ……っくぅ…あ………っ……！（そのまま、達してしまえば、ぼた、ぼたと愛液を濁らせたものを溢れさせて、すいあげる口に流し込んでしまったり）   (2023/3/12 01:12:32)

絹川みちほ> うんっ……とりあえず見てましょう（しれっと隣に座ってみて）   (2023/3/12 01:15:00)

犬走椛> んふぅ…♡（コク…コク…と嬉しげに飲みつつ…びちゃびちゃと興奮を示すように愛液を垂らして…）ぷぁ…♡ペロ…♡（飲み干せば、綺麗にするように口を付けつつ、舐めて）   (2023/3/12 01:15:17)

御魂・アリア> はー…♡はーー……♡味は、いかがでしょうか。（飲み干した相手を眺めながら。後舐めまでする相手を見つめて）   (2023/3/12 01:16:12)

犬走椛> 美味しいですよぉ…♡（んぁ…と口を開いて飲み干したのを見せつけて…♡）次はどうしますか？（ペロリと舌なめずりしつつ、期待した目を向けて）   (2023/3/12 01:18:36)

おしらせ> 中野三玖さんが入室しました♪  (2023/3/12 01:19:13)

中野三玖> ……ふあ   (2023/3/12 01:20:37)

絹川みちほ> 三玖ちゃんこんばんは   (2023/3/12 01:21:32)

後藤ひとり> あ、こんばんは……   (2023/3/12 01:22:47)

御魂・アリア> どうしましょう……その期待の目は、なんですか？（どうしてほしいんでしょう。と相手をじぃーと見つめて。）   (2023/3/12 01:23:02)

犬走椛> やらしいプレイもいけますから、どんな事でもって目ですよ♡（アリアさんにお任せです…♡なんて尻尾ふりつつ）こんばんはですね   (2023/3/12 01:24:09)

中野三玖> …こんばんは   (2023/3/12 01:25:47)

おしらせ> 松原花音さんが入室しました♪  (2023/3/12 01:28:55)

松原花音> こんばんは...   (2023/3/12 01:29:08)

絹川みちほ> こんばんは   (2023/3/12 01:29:49)

後藤ひとり> こんばんはです   (2023/3/12 01:29:50)

犬走椛> こんばんはですねぇ…♡   (2023/3/12 01:30:11)

御魂・アリア> ふなるほど……やらしいこと……。とはいえ、少し急に振られても悩んでしまいますね。（相手と同じ高さにへたり込んで、ぎゅ、とクリをつまんで見せては）　あ、こんばんはです。   (2023/3/12 01:30:41)

松原花音> あっ...試験運用しにきただけなのでどうぞおかいまなくつづけていいです...(ふにゅっ）   (2023/3/12 01:32:05)

御魂・アリア> 試験運用ですか、いいと思います。   (2023/3/12 01:32:51)

犬走椛> なんでもいいですよぉ…♡（やらしいです…♡と一挙手一投足に発情した視線を送りつつ）   (2023/3/12 01:32:53)

御魂・アリア> なんでも……。そんなに私も欲が強くタイプではないので……（とりあえずと。乳首と、クリをつまんで、指先で扱きながら。カプ、と歯型を付けたり）   (2023/3/12 01:33:37)

犬走椛> んっ…♡歯型…♡（なんでももう快楽に感じます…♡なんてダラダラ汁を垂らしながら）   (2023/3/12 01:36:18)

中野三玖> んぁ…ん   (2023/3/12 01:36:20)

絹川みちほ> んんっ   (2023/3/12 01:37:49)

御魂・アリア> 汁勿体ないですね……。（チューブを割れ目に取り付けては……あなたの目の前で、コップにたまるようにしてみたりしようかと…）   (2023/3/12 01:38:00)

犬走椛> ふぁ…♡んっ……♡（ポタポタとコップを満たしていく液体をみれば、そのやらしさにゾクゾク♡して…）   (2023/3/12 01:39:19)

松原花音> 眠気も多少あるので...   (2023/3/12 01:39:57)

後藤ひとり> あさひさんの所にでも行こうかな……   (2023/3/12 01:41:02)

中野三玖> ぇっ…   (2023/3/12 01:41:15)

絹川みちほ> ん…   (2023/3/12 01:41:25)

松原花音> いってらっしゃい?   (2023/3/12 01:41:28)

後藤ひとり> そ、そんな嫌がられるとは……   (2023/3/12 01:41:36)

御魂・アリア> ふふ……。たまらないですね、視覚に現れると。（と、クリを扱いて。乳房をもんで。蜂蜜は舐めとらなかった分、指先がべたべたになって、べっとりと押し付けって）   (2023/3/12 01:42:43)

絹川みちほ> 嫌がってはないんだけどな   (2023/3/12 01:43:13)

後藤ひとり> あ、いや三玖さんが……   (2023/3/12 01:43:34)

犬走椛> あはぁ…♡辱めが…気持ちいい…♡（蕩けきった顔で、震えながら、コップをどんどん満たしていって…♡）   (2023/3/12 01:44:53)

絹川みちほ> 三玖ちゃんが、なのね   (2023/3/12 01:45:06)

中野三玖> …ん(こくこく)   (2023/3/12 01:47:02)

御魂・アリア> はい、こうしてみると。どんどん満たされていくのがわかりますね……変態さんです。（そういいながら、クリに電流を走らせるようにびちっと弾けさせるようにして）   (2023/3/12 01:47:10)

後藤ひとり> というか三玖さんも来れば良いのでは？……定員は3人ですし……(つんつん)   (2023/3/12 01:47:33)

犬走椛> ひぅぅ…♡♡（あまりの刺激に、目を向きながらチョロチョロと失禁しつつ…）へ、ぉ…♡（縋るように抱きつきながら…）   (2023/3/12 01:49:39)

御魂・アリア> 抱き着いてきてどうしましたか？武器の強み、見せて差し上げますよ。（そのまま、バチ、パチ、とわずかにスパークさせるように。失禁してもお構いなしに、小さく電流で攻め立てて）   (2023/3/12 01:51:36)

松原花音> (何時からだったけあのアニメ)   (2023/3/12 01:53:38)

犬走椛> おっ…♡ぉぉお、♡♡（舌を、だらりとさらしながら…びちゃびちゃと漏らす量は増えて…）おひっ…♡んぉぉ…♡（ぎゅうぅ…とだきついて…）   (2023/3/12 01:53:39)

後藤ひとり> (あのアニメとは？)   (2023/3/12 01:54:05)

松原花音> （英雄王のやつだね)   (2023/3/12 01:54:24)

中野三玖> …ここが良い(駄々こね)   (2023/3/12 01:55:36)

後藤ひとり> (分からないですね………)   (2023/3/12 01:55:44)

後藤ひとり> 三玖さんがそこまで言うなら………   (2023/3/12 01:56:05)

松原花音> (英雄王、武を極めるものですよ)   (2023/3/12 01:56:47)

絹川みちほ> （ん、）   (2023/3/12 01:57:18)

後藤ひとり> (見たことないですね……)   (2023/3/12 01:57:46)

松原花音> (面白いけどなぁ)   (2023/3/12 01:58:29)

後藤ひとり> (アニメ見る気力ないのと百合アニメしか見るモチベなくて………)   (2023/3/12 01:59:33)

御魂・アリア> なんですか、そんなに抱き着いてきて。（ばち、ばちって刺激を増やして、抱きしめ返してながら。コップから溢れる汁を横目に眺めながら。椛さんを電流で攻め立てて。感じてしまえ、壊れてしまえ、と）   (2023/3/12 01:59:35)

松原花音> (一応百合ではあるねぇ、男の人もでちゃうけど)   (2023/3/12 02:00:00)

後藤ひとり> (あれ、そうでしたか？百合作品は転生とおにまいしか認識してませんでした……)   (2023/3/12 02:01:44)

松原花音> (中身はおじいちゃんだけど女の子だねぇ)   (2023/3/12 02:03:56)

中野三玖> (両腕を広げてひとりちゃんをじっと見て)   (2023/3/12 02:04:59)

後藤ひとり> (まあ………アマプラで見れそうなので見ますか……)   (2023/3/12 02:05:57)

後藤ひとり> (三玖さんに近寄りむぎゅ)   (2023/3/12 02:06:06)

松原花音> (多分見れると思うよぉ)   (2023/3/12 02:06:25)

後藤ひとり> (見れますね……)   (2023/3/12 02:06:51)

御魂・アリア> 椛は気絶ですね…   (2023/3/12 02:11:19)

松原花音> (ちなみにゲームもあったりする)   (2023/3/12 02:11:37)

松原花音> 気絶しちゃいましたね...   (2023/3/12 02:11:53)

後藤ひとり> (ふむふむ)   (2023/3/12 02:12:14)

後藤ひとり> まあ夜も遅いですし   (2023/3/12 02:12:19)

松原花音> (はむはむ)   (2023/3/12 02:12:56)

松原花音> 私も英雄王見たら寝よう...   (2023/3/12 02:13:17)

後藤ひとり> (ハム美味しいですよね)   (2023/3/12 02:14:08)

松原花音> (ひとりちゃんのみみもおいしそう)   (2023/3/12 02:14:48)

後藤ひとり> (耳！？)   (2023/3/12 02:15:20)

松原花音> (耳)   (2023/3/12 02:15:31)

後藤ひとり> (耳は普通です……)   (2023/3/12 02:16:39)

松原花音> (耳は普通かぁ)   (2023/3/12 02:17:25)

中野三玖> 渡さない…   (2023/3/12 02:17:52)

おしらせ> 無言時間が25分を超えたため、犬走椛さんが自動退室しました。  (2023/3/12 02:18:48)

後藤ひとり> (普通です……)   (2023/3/12 02:19:00)

後藤ひとり> 取られてませんよ！？………椛さんはお疲れ様です   (2023/3/12 02:19:10)

松原花音> 取ってないですからね...?   (2023/3/12 02:19:29)

松原花音> (じゃあ、胸は?)   (2023/3/12 02:19:51)

おしらせ> 無言時間が25分を超えたため、絹川みちほさんが自動退室しました。  (2023/3/12 02:22:31)

松原花音> お疲れ様です   (2023/3/12 02:22:47)

後藤ひとり> (胸は………まあ……よく狙われます……)   (2023/3/12 02:22:49)

おしらせ> 弦巻こころさんが入室しました♪  (2023/3/12 02:23:03)

中野三玖> (ぎゅ…っ…ぎゅー…)   (2023/3/12 02:23:42)

松原花音> (まーある方だからねぇ)   (2023/3/12 02:23:52)

弦巻こころ> こんな時間なのにまだみんな起きていたのね！花音を見かけたから、今晩はあたしで来てみたわ(花音の隣に腰下ろし)   (2023/3/12 02:23:54)

松原花音> あっ、こころちゃんこんばんは(こころちゃんの頭撫で撫で）   (2023/3/12 02:24:24)

後藤ひとり> (むぎゅ……よしよし)   (2023/3/12 02:25:12)

弦巻こころ> ええ、こんばんは花音！でもこんな時間まで起きてたの？そろそろ眠くないのかしら(花音の頬をすりすり)   (2023/3/12 02:25:36)

後藤ひとり> バンド仲間でしたか……そもそも普段が誰か分かりませんが………(胸はまあ……ここには私よりある人たくさん……)   (2023/3/12 02:25:39)

御魂・アリア> 人が来ますね   (2023/3/12 02:25:48)

松原花音> うん、寝れなくてアニメ見たら寝ちゃうけどそれなでならいるよ?(頭撫で撫で）   (2023/3/12 02:26:24)

弦巻こころ> あたしは普段は七深で来てるわ、ひとりもよろしくね   (2023/3/12 02:26:31)

松原花音> 七深ちゃんだよ(うんうん)   (2023/3/12 02:26:45)

後藤ひとり> あ、なるほど…(こくん)   (2023/3/12 02:26:52)

弦巻こころ> もう花音ったら呂律も回ってないじゃない！寝ないとダメよ？ふふっ、アニメは楽しかったかしら？(ぎゅ♡)   (2023/3/12 02:27:55)

御魂・アリア> なぞのバンドリ二人組界隈   (2023/3/12 02:28:45)

松原花音> えへへついっ...うん、アニメ見たら寝るよ、今見てるんだよ?(ぎゅう💕)   (2023/3/12 02:28:54)

弦巻こころ> アリアでいいのかしら？あなたもよろしくね   (2023/3/12 02:29:23)

弦巻こころ> まだ終わってなかったのね！あたしはアニメ視聴はほとんどリアルタイムではしないわ。SNS覗きながら楽しむならリアルタイムが1番なのでしょうけど(すりすり♡)   (2023/3/12 02:31:01)

御魂・アリア> はい、こんばんはです。よろしくお願いします。   (2023/3/12 02:31:34)

松原花音> まだ終わってないよぉ。私はどうがサイトとかでみてるからリアルタイムじゃないんだよね(すりすり💕)   (2023/3/12 02:32:22)

弦巻こころ> アリアもそろそろ眠気が限界かしら？みんな寝落ちてしまったみたいだし…口数も少ないわ。流石にこの時間だもの   (2023/3/12 02:32:32)

後藤ひとり> ネムネムです私も……   (2023/3/12 02:33:04)

中野三玖> (ちゅ…ちゅ…)   (2023/3/12 02:33:22)

御魂・アリア> 話す相手がいない…ですかね   (2023/3/12 02:33:35)

弦巻こころ> 今は配信も多いもの、意外とAbemaとかもいいわよね(首筋にちゅ♡)   (2023/3/12 02:33:41)

後藤ひとり> (んちゅ……)   (2023/3/12 02:34:19)

松原花音> そうだねぇ、私はニコニコとabemaだけど(んゆっ💕)   (2023/3/12 02:35:02)

弦巻こころ> あら、落ちてしまったのね？アリアもこっちに来る？あたしも花音が落ちたら寝てしまうと思うけど(手招き)   (2023/3/12 02:35:05)

弦巻こころ> ニコニコは使ったことが無いわ…無料で配信してるのかしら？有料のイメージがあったけど(ちゅ♡)   (2023/3/12 02:36:32)

中野三玖> …ひとりちゃん…寝ちゃう？   (2023/3/12 02:37:05)

松原花音> 無料もあるし有料もあるねぇ?(ちゅ💕)   (2023/3/12 02:37:24)

後藤ひとり> 寝ましょうかね……   (2023/3/12 02:38:31)

弦巻こころ> そうなのね！なら今度覗いてみるわ。今期のアニメは無料とかかしら…(唇にちゅ♡)   (2023/3/12 02:38:35)

御魂・アリア> あ、いえ。流石に二人の邪魔をするのは。   (2023/3/12 02:39:17)

中野三玖> …ん…(ぎゅ…)   (2023/3/12 02:40:35)

弦巻こころ> 邪魔じゃないわよ？みんなでくっつけばいいじゃない！他の人が邪魔だと思うなら、あたしはとっくに花音をお部屋に連れ込んでいるんだから(アリアにもぎゅ♡)   (2023/3/12 02:41:06)

後藤ひとり> 三玖さんも眠そうですね……   (2023/3/12 02:41:52)

弦巻こころ> この時間だからね。あたしも眠いもの   (2023/3/12 02:42:56)

松原花音> 1話ずつずつがむりょうだね1話はきほんむりょうだけど、2話以降は有料になっていくかんじ(ちゅ💕)   (2023/3/12 02:43:04)

中野三玖> …ねむたい   (2023/3/12 02:43:30)

松原花音> 私も眠たい...   (2023/3/12 02:43:43)

後藤ひとり> 私もそろそろ……   (2023/3/12 02:44:23)

弦巻こころ> 1話無料は定番よね！でもせめて３話まで無料にして欲しいわ。ふふっ、花音も無理せずに寝なさい。明日、会えたらお話ししましょう(なでなで)   (2023/3/12 02:44:42)

弦巻こころ> そうそう！忘れてたわ！花音はお帰りなさい！夕方に言うつもりが遅れてしまったわ(ふふっ)   (2023/3/12 02:45:57)

中野三玖> ……でも目が覚めてきた   (2023/3/12 02:46:28)

後藤ひとり> 分からなくもないです   (2023/3/12 02:46:55)

松原花音> その気持ちはわかるなぁ私も思うし。まだちょっと話してたいなぁ？(すりすり)寝ちゃってたならしかたないとおもうよ?こころちゃん   (2023/3/12 02:47:45)

御魂・アリア> まぁ…そういうなら。   (2023/3/12 02:48:19)

弦巻こころ> じゃあ眠くなるまでお話しましょう！急に落ちても構わないから(頬にちゅ♡)でも夕方は花音、ゲームに夢中だったみたいね、ふふっ   (2023/3/12 02:49:58)

弦巻こころ> とは言っても、あなたも眠そうじゃない！何時くらいからお話しているのかしら？明日はお休みなの？(アリアもなでなで)   (2023/3/12 02:51:25)

松原花音> 寝る前にいうからだいじょうぶだよ?(えへへ💕)ちょっと縦込んでたからねぇ   (2023/3/12 02:54:31)

弦巻こころ> 花音は寝落ちはしないもの、何時もちゃんと落ちて寝るイメージがあるし。えらいわ、花音♡(ちゅちゅ♡)またswitchのゲームかしら？それともアプリ？   (2023/3/12 02:56:30)

中野三玖> (ひとりちゃんをぎゅぅ)   (2023/3/12 02:56:34)

松原花音> まーたまに寝ちゃうときもあるんだけどねぇ。ここでしたことはあまりないけど、んっ💕(ちゅっちゅっ💕)さっきまでしてたけど今はもうしてないよぉ   (2023/3/12 02:58:00)

御魂・アリア> ありがとうございます。（頷き）えっと、０時頃でしょうか。今裏でVCしたりしてるので…はい。本日も非番ですね   (2023/3/12 02:58:45)

後藤ひとり> (三玖さんよしよし)   (2023/3/12 02:59:25)

後藤ひとり> 私はさっきまで……カービィwiiしてました……   (2023/3/12 02:59:52)

弦巻こころ> ふふっ、あたしの前でなら遠慮しないで寝落ちでもいいのよ？んっ♡(少し深めにちゅ♡)よくチャットしながら出来るわね、目を離せる感じかしら？オートとか   (2023/3/12 02:59:55)

中野三玖> 私も最近…カービィしてる   (2023/3/12 03:00:14)

後藤ひとり> wiiデラックスですか？   (2023/3/12 03:00:54)

弦巻こころ> それならもう3時間だもの、あなたも無理しちゃ駄目よ？みんなチャットしながらよく色々と出来るわね！あたしは基本的にはチャットする時は常にお布団の中なのよ   (2023/3/12 03:01:19)

松原花音> えへへ、大丈夫その前にねるよ?んっ💕(ちゅ💕)流し目で見れるからそれでかなぁ?   (2023/3/12 03:01:48)

弦巻こころ> ひとりはカービィに似てるわね！   (2023/3/12 03:02:00)

御魂・アリア> 別に無理はさして。落ちるタイミングを見失っているだけの節はありますが。   (2023/3/12 03:02:10)

後藤ひとり> 色合いだけです……この会話既視感……   (2023/3/12 03:02:31)

松原花音> 前も何かこのかいわきいたなぁ...   (2023/3/12 03:02:55)

後藤ひとり> 色合いと……人外な点だけ……   (2023/3/12 03:03:22)

松原花音> ねっ...本当それだけ...   (2023/3/12 03:03:59)

弦巻こころ> この時間は花音を見かけるの珍しいもの。今晩は運が良かったわ(なでなで♡)ふふっ、やりたい事はたくさんあるもの、待ち時間とか無駄にしたくないのは分かるわ   (2023/3/12 03:04:17)

後藤ひとり> 私なんか吸ってもどうせスカですし……   (2023/3/12 03:04:36)

弦巻こころ> 類似点ふたつもあるじゃない！   (2023/3/12 03:04:40)

中野三玖> ううん…ほんぺん   (2023/3/12 03:04:48)

中野三玖> カービィはまぁるい人だから…一応人間？   (2023/3/12 03:05:03)

後藤ひとり> ふたつだけですよ！？   (2023/3/12 03:05:17)

弦巻こころ> ひ、人なのかしら…？   (2023/3/12 03:05:24)

後藤ひとり> ほ、本編……なんのですか？ひ   (2023/3/12 03:05:33)

松原花音> 基本寝てるんだけどねぇ。運がよかったねぇ?(すりすり💕)今はちょっとバンドリの星3確定のやつ引いてるけど見事に星3ばかりでましたと...   (2023/3/12 03:06:11)

松原花音> ディスカバリー？   (2023/3/12 03:06:22)

後藤ひとり> あ、そっちはまだ出来てない……   (2023/3/12 03:06:48)

御魂・アリア> 広義で言えばどちらも宇宙人ですから。   (2023/3/12 03:07:43)

弦巻こころ> ふふっ、折角だし花音を補充しちゃうわ(ぎゅ♡)バンドリも大型アプデ直前だったかしら、3年は卒業みたいよね。星3もシールになるじゃない！   (2023/3/12 03:08:03)

後藤ひとり> ここ見ながらカービィしてたらスリープコピーしちゃった   (2023/3/12 03:08:22)

弦巻こころ> ディスカバリーって何時もと視点が違うやつよね…   (2023/3/12 03:08:38)

後藤ひとり> 3dのカービィですね   (2023/3/12 03:08:56)

御魂・アリア> とはいえ私はそろそろ失礼しますね。お疲れ様です。   (2023/3/12 03:09:21)

おしらせ> 御魂・アリアさんが退室しました。  (2023/3/12 03:09:24)

松原花音> えへへ、していいよぉ(ぎゅう💕)後4日だね200連確定してるからいいよねぇ新規さんもはじめやすい   (2023/3/12 03:09:30)

松原花音> お休み   (2023/3/12 03:09:35)

中野三玖> …星のカービィWii…   (2023/3/12 03:09:36)

弦巻こころ> ええ、おやすみなさい。またね、アリア   (2023/3/12 03:09:37)

後藤ひとり> 私もストーリーモードしてますよ……バンドリは最近できてないなぁ……   (2023/3/12 03:09:55)

松原花音> 私もログインばかりだから...   (2023/3/12 03:11:05)

弦巻こころ> ふふっ、じゃあもっと補充しちゃうわ(唇にちゅ♡)バンドリはまだ途中からも始め易い方だからね、スキルもシンプルだもの。あたしはデレマスとか脱落したわ   (2023/3/12 03:11:24)

後藤ひとり> カバー曲だけは気にしてます………リコリコのop来ないかなぁ……   (2023/3/12 03:11:31)

弦巻こころ> 音ゲーはイベントが辛くてね、アニメとか観ながら走らないもの   (2023/3/12 03:12:00)

後藤ひとり> そもそもソシャゲのモチベが……   (2023/3/12 03:12:39)

弦巻こころ> それこそ、ぼざろとかきて欲しいけど…うーん、無理かしら？   (2023/3/12 03:12:48)

中野三玖> Wiiリモコンで遊んでる…   (2023/3/12 03:13:20)

松原花音> えへへ、もうこころちゃん(照れて💕)ねーほんとうやりやすいよねぇ。   (2023/3/12 03:13:27)

松原花音> wiiだった。   (2023/3/12 03:13:34)

後藤ひとり> コラボとかでありそう……ごちうさみたいな感じで衣装とカバーだけ……   (2023/3/12 03:13:36)

後藤ひとり> そっち！？   (2023/3/12 03:13:39)

弦巻こころ> きらら系はけいおんとかごちうさとかnewgameとか来てるし、ワンチャンあるかもだけれど   (2023/3/12 03:13:49)

後藤ひとり> デラックスいいですよ……アーマーすごい使いやすいです……   (2023/3/12 03:13:54)

弦巻こころ> Wiiなの！？   (2023/3/12 03:14:15)

中野三玖> うん…。1人で真格闘王回してるよ…   (2023/3/12 03:14:43)

後藤ひとり> 真格闘王は……プラズマで陰キャしてた思い出が……   (2023/3/12 03:15:03)

松原花音> ぼざろ来てほしいよねぇ...   (2023/3/12 03:15:53)

中野三玖> ニンジャ…はたきぎり返4連…   (2023/3/12 03:16:33)

弦巻こころ> いいじゃない。こうして花音に会えたんだから♪ふふっ♡(舌先で唇つんつん♡)バンドリは属性とバンドを揃えるだけだからね、かなりシンプルで新規も入り易いわ   (2023/3/12 03:16:41)

後藤ひとり> 忍者強いらしいですね……あとは3DSのスナイパーとかすごい強いです   (2023/3/12 03:17:31)

弦巻こころ> ぼざろ来るとしても1年後とかかもしれないわ、カバー曲って実装が遅いし…殆ど昔の作品の曲なのは何か理由があるのかしら…？   (2023/3/12 03:17:45)

松原花音> それもそうだねぇ。こうしてこころちゃんとあえて嬉しいよ?(んっ💕)ねー本当新規さんにオススメできるよねバンドリは   (2023/3/12 03:18:35)

