/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年02月22日 19時50分 ～ 2023年02月23日 09時11分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

東北ずん子> ふたりに添い寝してもらえるときいて！(ぎゅ、ぎゅ   (2023/2/22 19:50:56)
羽鳥智世 ◆> 了解です、またそしたらタイミングが合えば…。（頷きながら。乃々の手をそっと握って）クレーは、入れ替わりでごめんなさい。   (2023/2/22 20:08:58)

東北ずん子> クレーこんばんはぁ(ぎゅ、ぎゅっとクレーにだきついて   (2023/2/22 20:09:14)

森久保乃々> こんばんは……（忘れそうでしたけど）にゃんくぼです……   (2023/2/22 20:09:50)

クレー> うーうん、だいじょうぶだよ♪いってらっしゃい～   (2023/2/22 20:09:51)

クレー> わぁあ～猫みみかわいいねっ♡>もりくぼお姉ちゃん   (2023/2/22 20:10:22)

東北ずん子> クレーも2月２２でねこの日なのでねこになりましょう(わきわき、猫耳よういして   (2023/2/22 20:10:51)

クレー> いいよー♪(ずん子お姉ちゃんが持ってきたネコミミかぽり…と装着してねこさんクレー♪)…にゃん♡   (2023/2/22 20:11:56)

森久保乃々> それじゃあ……お部屋用意してもらっちゃってるようですし…行きましょうか？（ちらりと扉の方に目をやって）   (2023/2/22 20:12:03)

羽鳥智世 ◆> あ、はい。それでは…みなさんはまたおあいしましょう。失礼します。   (2023/2/22 20:12:24)

森久保乃々> お、いいですね……クレーにゃん……かわいいですよ！   (2023/2/22 20:12:37)

クレー> またねー！(ふりふり)   (2023/2/22 20:12:38)

羽鳥智世 ◆> （乃々の手を握りしめて…部屋を後に、奥の方へ）   (2023/2/22 20:12:51)

おしらせ> 羽鳥智世 ◆TaduQjWkbwさんが退室しました。  (2023/2/22 20:12:54)

森久保乃々> いってきまーす…（手を引かれては部屋を後にして）   (2023/2/22 20:13:08)

おしらせ> 森久保乃々さんが退室しました。  (2023/2/22 20:13:22)

クレー> にゃんにゃん♪   (2023/2/22 20:14:05)

東北ずん子> わー、とってもかわいいです(なでなで、ぎゅ、ぎゅう♥   (2023/2/22 20:14:33)

クレー> クレーのお友達にねこの女の子いるよ～♪(ごろごろ、にゃー♡)   (2023/2/22 20:15:32)

おしらせ> 犬走椛さんが入室しました♪  (2023/2/22 20:16:38)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/2/22 20:18:31)

犬走椛> わふ…お風呂に入るまでの少しだけ   (2023/2/22 20:18:37)

後藤ひとり> ぐでえ…   (2023/2/22 20:18:38)

クレー> もみじお姉ちゃん、ひとりお姉ちゃんもこんばんは♪(にゃん♡)   (2023/2/22 20:19:07)

東北ずん子> おふたりもこんばんはー(くれーぎゅぎゅ   (2023/2/22 20:19:55)

犬走椛> こんばんはですね。今日は猫の日でしたか   (2023/2/22 20:20:06)

犬走椛> ひとりさんは死んでますね…。何があったのでしょうか…   (2023/2/22 20:20:30)

クレー> もみじお姉ちゃんは1/11だねっ…！犬の日っ   (2023/2/22 20:21:19)

クレー> でも、かんけーなく楽しもうよ♪(にゃんこもわんこもクレー好きっ♡)   (2023/2/22 20:21:43)

後藤ひとり> 旅行の移動で死にかけてます………   (2023/2/22 20:21:59)

クレー> りょこうー！楽しんでねっ♪>ひとりお姉ちゃん   (2023/2/22 20:23:02)

後藤ひとり> 今日はほぼ移動だけなので…   (2023/2/22 20:23:47)

犬走椛> 11月11日はとあるお菓子の日。1月1日は元旦ですからねぇ…。ひとりさんはお疲れ様です（モフります…？なんて尻尾振って）   (2023/2/22 20:23:58)

後藤ひとり> もふらせて……(しっぽ触り)   (2023/2/22 20:24:54)

東北ずん子> (クレーのほっぺもふもふ   (2023/2/22 20:25:13)

クレー> ずん子お姉ちゃんもねこみみつけないの？(ずん子お姉ちゃんなら黒髪にあわせて黒猫みみとかどうかなって…♪)   (2023/2/22 20:26:08)

犬走椛> はい、どうぞ♡（ふわりとひとりさんに尻尾を…）猫耳は皆さん付けるべきです   (2023/2/22 20:26:29)

後藤ひとり> ふかふかですね……私の猫耳はいらないけど……(しっぽ触り)   (2023/2/22 20:27:58)

東北ずん子> 私にねこみみですか、うーん。可愛いのでしょうか(クレーをなでなで   (2023/2/22 20:28:28)

クレー> かわいいに決まってるよ♡今日はみんなでねこさんパーティだよっ…！(ずん子お姉ちゃんにもおみみかぽってつけてあげて)   (2023/2/22 20:29:24)

犬走椛> ひとりさんも猫耳をつけましょう？（私は既に耳がありますからつけれませんが…）   (2023/2/22 20:30:38)

後藤ひとり> わ、わかりました……(仕方ないと猫耳をつけて)   (2023/2/22 20:30:55)

東北ずん子> にゃーん？(黒のねこみみゆらして、手招き手招き   (2023/2/22 20:31:29)

クレー> ひとりお姉ちゃんはぴんくねこみみだねっ…♪ほら、にゃんにゃん♪(やって？ってねこさんポーズを誘うように)   (2023/2/22 20:31:35)

後藤ひとり> ………にゃ……にゃんにゃん……(か細い声でそう言い)   (2023/2/22 20:32:32)

おしらせ> 中野三玖 ◆WY5HuZnICQさんが入室しました♪  (2023/2/22 20:32:42)

中野三玖 ◆> (ガタッ…可愛いひとりちゃんの気配…！)   (2023/2/22 20:32:57)

犬走椛> 皆さん可愛いですね（今日は猫さんがいっぱいです、と）こんばんは〜   (2023/2/22 20:33:08)

後藤ひとり> ！？誰か来た……   (2023/2/22 20:33:58)

東北ずん子> こんばんはー(ふわふわのままにゃんにゃん   (2023/2/22 20:34:03)

クレー> 三玖お姉ちゃんこんばんは～   (2023/2/22 20:34:07)

中野三玖 ◆> (床下から頭を覗かせて)   (2023/2/22 20:35:53)

後藤ひとり> 床下から……？   (2023/2/22 20:36:02)

クレー> ずん子お姉ちゃんこれ振って～(おもちゃの猫じゃらし手渡しして)   (2023/2/22 20:38:27)

東北ずん子> にゃー♥(ひらひら、クレーにも猫じゃらし振って　すごいとうじょうしてました！？   (2023/2/22 20:39:14)

クレー> 三玖お姉ちゃんもねこみみつけないと…ね？(ひとりお姉ちゃんと目配せして…)   (2023/2/22 20:39:40)

クレー> わぁあ…♡にゃん、にゃ、にゃん♪(ずん子お姉ちゃんが振ってくれたねこじゃらしに合わせてクレーも遊んであげて)   (2023/2/22 20:40:28)

後藤ひとり> 三玖さんも猫耳ですね   (2023/2/22 20:40:43)

中野三玖 ◆> えっ…(そーっと床下の隙間を閉じて逃げようとして…)   (2023/2/22 20:42:28)

犬走椛> 猫の日には、強制猫耳ですね。（南無…）   (2023/2/22 20:43:25)

クレー> もみじお姉ちゃんに猫じゃらしって効くのかな？(ふりふりと目の前で振ってみて)   (2023/2/22 20:43:36)

中野三玖 ◆> じゃあ…1/11は犬耳と…犬尻尾？   (2023/2/22 20:45:49)

後藤ひとり> あ、逃げようとしてる……(がしっ)   (2023/2/22 20:47:00)

中野三玖 ◆> …ぎゃぅっ…(床下から這い上がって…)   (2023/2/22 20:47:16)

クレー> わんこパーティはやらなかったね…！(きょと)   (2023/2/22 20:48:13)

後藤ひとり> 猫耳つけましょう？   (2023/2/22 20:48:14)

犬走椛> 私は猫では無いので…（流石に釣られませんよ…と）犬耳も有りですねぇ   (2023/2/22 20:48:20)

東北ずん子> はふ、(クレーにもたれて、なでなで   (2023/2/22 20:49:48)

中野三玖 ◆> ……んん(諦めもーど…)猫耳を受け取って)   (2023/2/22 20:49:54)

クレー> ごろごろ…♪(もたれかかってきたずん子お姉ちゃんにクレーも身を寄せてすりすり…)   (2023/2/22 20:50:41)

後藤ひとり> 可愛いです   (2023/2/22 20:50:45)

クレー> うんうん♪三玖ねこにゃんかわいいよっ   (2023/2/22 20:51:31)

中野三玖 ◆> …にゃかの…みく…だにゃん   (2023/2/22 20:52:27)

犬走椛> 破壊力抜群ですね…これ…   (2023/2/22 20:53:33)

後藤ひとり> (ぱしゃぱしゃ)   (2023/2/22 20:53:33)

中野三玖 ◆> (もぞ…クッションの山の中に隠れて)   (2023/2/22 20:56:45)

クレー> みんなねこみみ似合うねっ♪   (2023/2/22 20:56:54)

クレー> もみじお姉ちゃんはもう耳ついてるからだけど、遊んでくれるもんねっ♡(ここでは犬さんもネコさんも仲良し♡なんてにゃんにゃんってポーズして)   (2023/2/22 20:57:58)

後藤ひとり> あ、隠れた……(クッション漁り)   (2023/2/22 20:58:02)

犬走椛> 仲が良いことはいいことです（にゃんにゃん、と言いつつポーズ真似て）   (2023/2/22 20:59:24)

クレー> クレーにゃんは今日も寒くて暖をとる…♪(ごろごろ、ずん子お姉ちゃんにむぎゅうとだきついて)   (2023/2/22 21:02:46)

東北ずん子> 私もぐだぐだしてます(ぎゅ、ぎゅっとクレーにだきついて   (2023/2/22 21:03:23)

中野三玖 ◆> (奥の方で尻尾をユラユラ)   (2023/2/22 21:04:01)

後藤ひとり> (三玖さんつんつん)   (2023/2/22 21:04:44)

おしらせ> 京町セイカさんが入室しました♪  (2023/2/22 21:06:13)

京町セイカ> おーっす！はじめましてー   (2023/2/22 21:06:21)

京町セイカ> セイカお姉さんがやってきたぞー♪   (2023/2/22 21:06:39)

クレー> こんばんは♪はじめましてー！クレーだよっよろしくね(ねこみみつけながら猫の手でふりふりと)   (2023/2/22 21:07:47)

後藤ひとり> どうも……   (2023/2/22 21:08:27)

中野三玖 ◆> (くるりとクッションの中で身体をくねらせて)……なに…(じとぉ…)   (2023/2/22 21:08:37)

後藤ひとり> いやほら……陰キャ同士つるもうかと………(へへへ……)   (2023/2/22 21:09:59)

中野三玖 ◆> (ひとりちゃんの手首を掴んで、クッションの山の中に)   (2023/2/22 21:10:59)

京町セイカ> やー、しっかり挨拶できていい子だねー(腰を屈めてネコちゃんの頭をなでてあげながら)よろしくお願いしますクレーちゃん♪   (2023/2/22 21:11:17)

後藤ひとり> ！？………(クッションの山に埋もれて)   (2023/2/22 21:12:16)

クレー> えへへ……ありがとう♪(今はねこみみつけてるからごろごろ…♡と撫でられて)…よろしくねセイカお姉ちゃんっ   (2023/2/22 21:13:36)

中野三玖 ◆> (狭くて暗い空間に2人きり…♡)   (2023/2/22 21:14:26)

後藤ひとり> (2人きりですね……♡)   (2023/2/22 21:17:24)

京町セイカ> クレーちゃんはかわいいねえ…よしよし   (2023/2/22 21:17:34)

クレー> もみじお姉ちゃんー…？(つんつこ…、こっそりしっぽももふっちゃお…♪って)   (2023/2/22 21:20:31)

東北ずん子> (クレーの背中にぎゅう   (2023/2/22 21:21:21)

中野三玖 ◆> (くんくん…と匂いを頼りにひとりちゃん探し…)   (2023/2/22 21:22:16)

後藤ひとり> (三玖さんの傍により)   (2023/2/22 21:22:39)

クレー> よしよし…♪(ずん子お姉ちゃんの頭なでてあげて)   (2023/2/22 21:23:34)

クレー> セイカお姉ちゃんは緑が好きなの？(きょとん)   (2023/2/22 21:24:04)

京町セイカ> うへへえ…仲良きことは美しきかな…(缶ビールを開けながら)   (2023/2/22 21:24:07)

京町セイカ> え？緑？(不意の質問に目を丸くして)   (2023/2/22 21:24:32)

おしらせ> 無言時間が25分を超えたため、犬走椛さんが自動退室しました。  (2023/2/22 21:24:32)

クレー> おやすみなさいもみじお姉ちゃんっ   (2023/2/22 21:25:13)

クレー> うん、ほらお洋服とか…！あとそのステッキ♪(ホントはプロフィールに書いてあったのを見たけどっ)   (2023/2/22 21:26:17)

中野三玖 ◆> (ぎゅー…)   (2023/2/22 21:26:54)

後藤ひとり> (むぎゅ)   (2023/2/22 21:27:27)

京町セイカ> あー、これは私の制服…お仕事の服よ。精華町って街の色なの   (2023/2/22 21:27:33)

クレー> そうなんだ～(こくこくとうなづいて)、セイカお姉ちゃん大人さんだ～！クレーは子供だからお酒はまだダメなのっ(えへへー)   (2023/2/22 21:30:02)

中野三玖 ◆> (鼻先を擦り合わせて、猫キス…)   (2023/2/22 21:30:03)

後藤ひとり> (鼻と鼻でキス)   (2023/2/22 21:31:24)

中野三玖 ◆> …にゃー   (2023/2/22 21:36:41)

京町セイカ> そうだねえクレーちゃんも大人になったら美味しさがわかるよー？きっとー(ぐびぐび)   (2023/2/22 21:38:41)

後藤ひとり> 可愛いです   (2023/2/22 21:39:32)

クレー> そうかなぁ～？(きょとん)…クレーの住んでるモンドはね、お酒が有名なんだよ♪バーとかもあるし、お酒好きな人いるっ   (2023/2/22 21:39:59)

中野三玖 ◆> ……ねぇ…交尾しよ…(猫の手にゃんにゃん)   (2023/2/22 21:44:14)

京町セイカ> おお、それは素敵な情報！どんなお酒なのかなー？   (2023/2/22 21:45:23)

クレー> わっ…//だいたんっ   (2023/2/22 21:45:23)

後藤ひとり> 交尾……いいですけどやるならお風呂の後ですね……   (2023/2/22 21:46:10)

中野三玖 ◆> …ん…わかった   (2023/2/22 21:47:45)

クレー> ビールもあるし、くだもののお酒とか…モンドにはたんぽぽのお酒もあるよ、蒲公英酒っ   (2023/2/22 21:48:00)

後藤ひとり> なのでお風呂入ってきます……   (2023/2/22 21:48:38)

おしらせ> 後藤ひとりさんが退室しました。  (2023/2/22 21:48:40)

クレー> はーい、いってらっしゃい♪   (2023/2/22 21:48:59)

クレー> ひとりお姉ちゃん旅行だったと思うけど、お風呂はふつうのお風呂なのかな？(きょと)   (2023/2/22 21:49:32)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/2/22 21:50:27)

後藤ひとり> 大浴場です   (2023/2/22 21:50:32)

クレー> ！？   (2023/2/22 21:50:41)

おしらせ> 後藤ひとりさんが退室しました。  (2023/2/22 21:50:43)

クレー> お風呂からわざわざっ…！   (2023/2/22 21:50:50)

クレー> はわー、いいなぁ♪クレーもおっきなお風呂最近入ってないからなぁ…(うんうんっ)   (2023/2/22 21:51:41)

中野三玖 ◆> (ｽｰｯ…とクッションの山から気配を消して)   (2023/2/22 21:55:33)

京町セイカ> ほうほうたんぽぽ…果物のお酒はイメージできるけどそこは馴染みがないわね…   (2023/2/22 21:56:25)

クレー> クレーは飲んだことないけど、セイカお姉ちゃんのお口にも合うといいね♪   (2023/2/22 21:57:28)

おしらせ> 錦木千束 ◆zMYfgmhp9wさんが入室しました♪  (2023/2/22 21:58:25)

錦木千束 ◆> 今晩は…♪ 今夜は賑わってる時に来られたっぽいねぇ   (2023/2/22 21:59:52)

京町セイカ> へー、ぜひ飲んでみたいなぁ   (2023/2/22 22:00:13)

クレー> あ、千束お姉ちゃんこんばんは～♪(サメさんだー♡とネコミミクレーもおててふりふり)   (2023/2/22 22:00:21)

京町セイカ> あ、お邪魔してまーすはじめましてー   (2023/2/22 22:00:40)

中野三玖 ◆> (クッションの中…ぽかぽか)   (2023/2/22 22:02:09)

おしらせ> ライネスさんが入室しました♪  (2023/2/22 22:02:51)

錦木千束 ◆> クレーと会うのめっちゃ久しぶりな気がする…嬉しい…♪ (サメの手で挨拶を返して近くのソファに腰掛けて…)   (2023/2/22 22:03:48)

中野三玖 ◆> …ライナスだ   (2023/2/22 22:04:45)

錦木千束 ◆> おおっと、初めましての人っ…初めまして、私は千束でーすっ♪ よろしくっ♪   (2023/2/22 22:05:00)

錦木千束 ◆> ライネス……間違えたらヤられちゃう……   (2023/2/22 22:05:14)

京町セイカ> 初めまして、セイカお姉さんですよー！   (2023/2/22 22:05:43)

クレー> そうかなっ？えへへークレーも最近早く寝ちゃったりしてるもんねっ>千束お姉ちゃん   (2023/2/22 22:09:06)

おしらせ> 無言時間が25分を超えたため、東北ずん子さんが自動退室しました。  (2023/2/22 22:09:47)

クレー> ずん子またね…？また今度ちゃんと遊ぼうね！   (2023/2/22 22:10:16)

おしらせ> 天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄさんが入室しました♪  (2023/2/22 22:10:19)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> や ~っほ。(天井から落下天使   (2023/2/22 22:10:42)

錦木千束 ◆> 私も最近はめっちゃ早く寝ちゃって…多分お仕事疲れもあるしぃ… だから、寝落ちたら許してほしいんだぁ…(頬を掻きながらふにゃって笑顔…迷惑かけてる自覚はしっかり持ってるぅ…ー   (2023/2/22 22:10:45)

ライネス> あ…こほん。やぁ、久しぶりと…初めましてかな？相変わらず元気そうで何よりだね！（若干微睡んだ結果うっかり顔出してるって内心驚きつつ…手をひらひらと）って今のは故意に間違えてないだろうか！（びしっと、若干一名のことは指差して）  
(2023/2/22 22:11:58)

錦木千束 ◆> ライネスは入って寝ちゃうって私と変わんないっ…てゆうか、ずぅーっと会えなかったんだし…私の相手しろぉ〜〜　(両手を肩に添えてゆさゆさ揺らして…起きろ起きろ〜って… 起きないなら色々しちゃおっか…)   (2023/2/22 22:12:33)

中野三玖 ◆> ……一花が寂しがってる(そう言い残してチェシャ猫はクッションの山に帰るのだった…)   (2023/2/22 22:13:32)

クレー> ライネスお姉ちゃん久しぶりだー！(にゃんにゃん♡とねこみみアピールしてポーズっ)   (2023/2/22 22:13:40)

クレー> ガヴリールお姉ちゃんもこんばんは♪   (2023/2/22 22:14:03)

京町セイカ> お、おお…この賑やかさ…   (2023/2/22 22:15:07)

錦木千束 ◆> 天使が天井から舞い降りた… 今晩は、ガヴリール…♪   (2023/2/22 22:16:58)

ライネス> な、ぁ…っと…起きてる…ま、まだ一応起きてるからやーめーろー？（ガサガサ揺さぶられつつも…落ち着けーっと両手で制しつつ）>千束　うぐ、寂しい思いをさせてたなら申し訳なくはあるが…事前に今月は立て込むと申告してた筈だが…（知らぬ間に心地良さそうな山ができてるって見送りつつ、すまないねと小さく謝罪はつけて）>三玖　あー、クレーも久しぶり。っと…また愛らしい格好になっているじゃないか？（やぁっと手をあげつつ…この顔出しはうっかりなのが少し恥ずかしいね！って苦笑い）>クレー
  (2023/2/22 22:19:18)

中野三玖 ◆> (天井目・天使属・堕天使科「がぶりーる」。床下木・姉妹属・三女科「みく」)   (2023/2/22 22:21:30)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 突然寝てるかもしれないけも20分くらいで帰ってくから。起きてたら(メガホンでポソポソアナウンス。初めましてもいるーって服整えつつ   (2023/2/22 22:23:04)

錦木千束 ◆> やーめーなーいー！覗いてたって私がぼっちでいる時も見て見ぬふりしてたって事なんだぁ…ふーんっ… 寝ちゃえ…人前では寝ない自信あるって前に言ってたけど…無理はしなくて良いと千束は思うなぁ…
(ゆさゆさしてる手を離して…少し頬を膨らませて…別に怒ってない…… 少し拗ねてるだけッッ)   (2023/2/22 22:24:05)

クレー> ライネスお姉ちゃん、最近いそがしそーだったから、今度会えたらクレーもいやしてあげる♪って書いたのみたかな？(えへへ…)、クレーはライネスお姉ちゃんにまた会えてうれしいよっ♪いつもおつかれっ(にゃん♡)   (2023/2/22 22:26:22)

中野三玖 ◆> …ライネス、がんばれ。(クッションの山は快適だぞう〜……一花お姉さんは今日も今日とて新しい寝床を作るのだ〜…)   (2023/2/22 22:26:25)

クレー> ふふー♪最近は人も集まることもあってにぎやかな日もあるんだよっ>セイカお姉ちゃん   (2023/2/22 22:27:23)

ライネス> ん、んん？…いや、そこは少し勘違いだよ千束。今は軽く覗いてたが近頃は余裕のない日々が続いててだな（言い訳がましくなってる…と自身でも思うが弁明はさせてもらいつつ）ん…そうだな。無理をするつもりはないが…今日は少し余裕があるのも確かでね。顔を見せてしまったからには…多少は寂しくさせたツケは払おうか（手を離されて自由になれば…目の前の相手をよしよしと撫でて）>千束
  (2023/2/22 22:32:19)

ライネス> 【流石にこの賑わいを慣れない端末で捌くのはきつい！少し出直す！】   (2023/2/22 22:33:06)

おしらせ> ライネスさんが退室しました。  (2023/2/22 22:33:25)

おしらせ> ライネスさんが入室しました♪  (2023/2/22 22:33:36)

クレー> チェンジはやっ！(ぱちくりっ)   (2023/2/22 22:34:22)

ライネス> ふぅ…あぁ、それについては拝見していたとも。実際忙しかったのも確かだし…癒しが欲しいのも事実な程には疲労困憊さ（見た時は嬉しかったともって微笑みを浮かべつつ）私も…こうして仮にも顔を出せるように戻ったのは何よりだ♪クレーの顔を見ただけでも自然と元気が戻っていくね（チェンジが早いのは準備も並行してたからね…ふふん。準備は万端なのさ！）＞クレー　ありがとう、まだ多少立て込む予定もある分…応援は身に染みるよ（ただ、今その快適空間に行くと意識を飛ばす自信があるから近寄りにくいが…というか心の中が義姉上になっているよ！）＞三玖　そして初めましての人は慌ただしくしてしまってすまないね…私はライネス。しがない時計塔の魔術師だよ（っと、落ちてきた金髪美少女には挨拶をってそちらも忙しそう？）＞ｶﾞｳﾞﾘｰﾙ
  (2023/2/22 22:39:56)

おしらせ> 無言時間が25分を超えたため、京町セイカさんが自動退室しました。  (2023/2/22 22:40:16)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/2/22 22:40:17)

後藤ひとり> 戻りました………人が満員でびっくりしましたが……   (2023/2/22 22:40:39)

クレー> セイカお姉ちゃんはまたね～♪おやすみなさいっ   (2023/2/22 22:40:59)

クレー> ひとりお姉ちゃんはおかえりなさいっ♪お風呂どうだった～？   (2023/2/22 22:41:18)

中野三玖 ◆> …おかえり？   (2023/2/22 22:42:09)

後藤ひとり> 極楽でした……鼻血出たけど……   (2023/2/22 22:42:21)

ライネス> やぁ…おかえりかなひとり？少し前になってしまうが…その節は申し訳なかったよ（確か以前顔出した時に寝落ちしてたよなって朧気な記憶と共に顔を出した相手に軽く頭を下げて）後、１日遅れたが…Happy
Birthdayだ…ってそれはのぼせていないだろうか！？   (2023/2/22 22:42:48)

クレー> えへへ♪ライネスお姉ちゃん忙しいって言ってたもんね…！衣乃お姉ちゃんが今日明日はいそがしいみたいだけど会えると思うよ…！クレーはライネスお姉ちゃんが癒せるようにしてあげるね♪(にゃんにゃん♡って笑顔でねこポーズして)   (2023/2/22
22:44:01)

後藤ひとり> 別に大丈夫ですよ……寝落ちは誰にでもあるので……(気にしないで……と言いながら)ありがとうございます……のぼせては無いですね……今は布団でゴロゴロと   (2023/2/22 22:44:33)

クレー> ありゃりゃ…だいじょうぶ？>ひとりお姉ちゃん   (2023/2/22 22:44:38)

クレー> うんうん、旅館のお布団でごろごろやすむといいと思うのっ♪>ひとりお姉ちゃん   (2023/2/22 22:45:08)

中野三玖 ◆> …交尾できない   (2023/2/22 22:46:40)

後藤ひとり> はい……直ぐに止まったのでなんとか……千束さんとガヴさんは大丈夫です？   (2023/2/22 22:46:50)

後藤ひとり> え、いや大丈夫ですよ……出来ます……   (2023/2/22 22:46:59)

おしらせ> 無言時間が25分を超えたため、天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄさんが自動退室しました。  (2023/2/22 22:48:08)

おしらせ> 無言時間が25分を超えたため、錦木千束 ◆zMYfgmhp9wさんが自動退室しました。  (2023/2/22 22:49:06)

クレー> ありゃりゃ、2人ともゆっくりやすんでね…？(ふりふり)   (2023/2/22 22:49:51)

ライネス> それはもう…まだ解決したとは言い難いが、迷宮入りにしてしまいたいような難事件に挑まされているよ（ははっと乾いた笑いがこぼれつつ）ん、その辺りの事情というか情報自体は拾い上げているから大まかには把握しているよ、衣乃に会えた時はその時はその時で…彼女からも元気は貰わないとね。ふふっ、先ほどから気にはなっていたが…今日は猫なんだねクレーは（似合っているよ♪とまさにヒーリング効果にはもってこいだ）＞クレー　あくまで個人的な我儘として留めておきたいが…寝落ちはしたくない性質でね（誰にでもあるの例が二人程…増えたのから少し目を逸らしつつ）のぼせてないのなら良いが…そのまま身体は休めるようにね？（と言いつつ、興奮するような約束が目の前で交わされている気もするけれど）＞ひとり
  (2023/2/22 22:51:58)

中野三玖 ◆> …(クッションからひょっこり顔を出して)   (2023/2/22 22:53:37)

後藤ひとり> ま、まあ寝落ちをしたいという人の方がレアですからね………はい……とりあえず布団にゴロゴロとしてようと思います………＞ライネスさん   (2023/2/22 22:55:21)

後藤ひとり> どうしました？……(じい)   (2023/2/22 22:55:28)

クレー> ほら、今日はにゃんにゃん、にゃん♪ねこの日らしいから、ずん子お姉ちゃんにねこみみつけてもらって今日はクレーもねこさんなの♡(えへへ～)…にゃん！   (2023/2/22 22:57:09)

後藤ひとり> 可愛いですね……   (2023/2/22 22:57:49)

おしらせ> 京町セイカさんが入室しました♪  (2023/2/22 22:59:06)

後藤ひとり> あ、おかえりなさいです   (2023/2/22 22:59:25)

クレー> おかえりなさい～   (2023/2/22 22:59:37)

ライネス> それもそうだね、稀に故意に寝落ちまでの時間を共にするケースはあれど…基本的には当人も不本意なのは大半だろうな（そもそも寝落ちてしまうぎりぎりまで粘る時点で…心配してしまう所があるんだが、と寝落ちた二人にチラッと視線を向けつつ）ん、ゴロゴロできるならそれが良い。この時間だしな＞ひとり
  (2023/2/22 22:59:46)

京町セイカ> はっ！いけないいけない私としたことがすっかりまどろんでしまったわ(口の端じゅるりと音を立てながら)   (2023/2/22 22:59:48)

中野三玖 ◆> (こっち…こっち)   (2023/2/22 23:00:18)

京町セイカ> ただいまー、というよりおはようございますなのかしら>クレー、ひとり   (2023/2/22 23:00:24)

