/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月02日 10時38分 ～ 2023年03月02日 23時18分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

白金燐子> そ、そんなことは…   (2023/3/2 10:38:44)
白金燐子> そ、そうでしょうか…？まー大きいほうではありますけど…（よしよしとあたまなでなでしながらふにゃあ）   (2023/3/2 10:54:22)

後藤ひとり> ですよね……大きくて羨ましい………可愛くてスタイル良いとか私の上位互換……(ニヤニヤしながらも胸に頬ずり)   (2023/3/2 10:55:46)

後藤ひとり> 偉い……偉いです……   (2023/3/2 10:55:52)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> あぁ〜…せんせぇやさしぉぉ   (2023/3/2 10:56:34)

白金燐子> 羨ましいですか？ひとりさんもあるほうだしスタイルもいいと思いますけど…（よしよし）   (2023/3/2 10:57:56)

後藤ひとり> ガヴさんが感動してる……   (2023/3/2 10:59:00)

後藤ひとり> わ、私はそれほどでも……とりあえず落ち着きます……(ぎゅうう)   (2023/3/2 10:59:20)

白金燐子> 感動するほどのやさしさ…？   (2023/3/2 10:59:47)

白金燐子> あると思います…それはよかったです（ぎゅうう）   (2023/3/2 11:00:14)

後藤ひとり> そ、そうだといいんですけど……すごい……大きさだけではなく柔らかさもあります……(すりすり)   (2023/3/2 11:02:50)

白金燐子> あると信じましょう…よ、よくいわれます…（よしよし）   (2023/3/2 11:04:52)

後藤ひとり> し、信じます……ですよね……素敵でいいと思います……(うっとりしながら目を細め)   (2023/3/2 11:07:01)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 感動、感動ぅ(しくしく   (2023/3/2 11:07:41)

白金燐子> 信じたらいいことがあると思います…よかったです…（よしよし）   (2023/3/2 11:07:54)

白金燐子> 泣いてますね…   (2023/3/2 11:08:03)

小春六花> え…こわ…   (2023/3/2 11:09:24)

後藤ひとり> な、涙拭いて………(六花さんの辛辣な反応に笑いかけて)   (2023/3/2 11:09:43)

後藤ひとり> いい事あるかな……あ、はい……いいと思います………柔らかい……♡(すっかり燐子さんの胸にうっとり)   (2023/3/2 11:10:12)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 眠すぎる、学校ついたらあたし、星になるんだ。   (2023/3/2 11:10:55)

白金燐子> あると思います…ふふ、それならよかったです。そろそろお仕事ですけどね…（ふふってわらいながらあたまなでなで）   (2023/3/2 11:11:03)

後藤ひとり> 星に！？消えたら悲しみますよ……   (2023/3/2 11:12:12)

後藤ひとり> あ、そうなんですね……分かりました……ありがとうございます相手してくれて……今度会えたら私の胸も是非味わってくれると……(撫でられつつも名残惜しそうに)   (2023/3/2 11:13:04)

白金燐子> いえいえ、どういたしまして。はい、わかりました（にこっ）では、そろそろお疲れ様でした…（ぺこっ）   (2023/3/2 11:13:44)

おしらせ> 白金燐子さんが退室しました。  (2023/3/2 11:13:49)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> いってらっしゃ〜い   (2023/3/2 11:14:51)

後藤ひとり> お疲れ様です……   (2023/3/2 11:15:39)

小春六花> おつさまー。   (2023/3/2 11:17:54)

後藤ひとり> 私も眠気が……   (2023/3/2 11:20:19)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> お昼寝する〜？   (2023/3/2 11:21:17)

小春六花> ねてくるー？   (2023/3/2 11:21:38)

後藤ひとり> まだ起きますよ……(ぐでえ)   (2023/3/2 11:22:28)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ねむ、ねむ。   (2023/3/2 11:27:44)

後藤ひとり> 寝てもいいんですよ……   (2023/3/2 11:28:10)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ねれなぁぁい   (2023/3/2 11:28:41)

後藤ひとり> 登校中ですもんね   (2023/3/2 11:32:18)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> もうすぐ着くけどね〜   (2023/3/2 11:35:14)

小春六花> 着いたら構内セックスが…（？）   (2023/3/2 11:36:27)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 出来るもんならしたいけどねぇ〜   (2023/3/2 11:37:08)

後藤ひとり> 頑張れ…？   (2023/3/2 11:37:58)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> んん〜(あしばったばった   (2023/3/2 11:47:20)

後藤ひとり> ど、どうしました？   (2023/3/2 11:47:36)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> グラフ6枚…うぅ〜ぁ〜   (2023/3/2 11:48:35)

後藤ひとり> 頭痛くなりそう……   (2023/3/2 11:51:06)

小春六花> エクセルちゃんのでばん…（？）   (2023/3/2 11:51:31)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> いたい。エクセルちゃん禁止っていわれた。ぴぇ   (2023/3/2 11:51:42)

後藤ひとり> よしよし   (2023/3/2 11:55:10)

小春六花> 表計算ソフトなのに……   (2023/3/2 11:56:54)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> んぅ……意味わかんない。   (2023/3/2 11:58:00)

後藤ひとり> 私も高校の頃はExcelダメでした……   (2023/3/2 12:00:31)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> なんで、って思う、ほんとに   (2023/3/2 12:06:10)

後藤ひとり> 手書きさせるとかあるあるですよね……   (2023/3/2 12:09:06)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> やめてほしい、ほんとに   (2023/3/2 12:12:25)

後藤ひとり> 切実……手痛くなりますよね   (2023/3/2 12:13:08)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 手痛いのと頭狂う……   (2023/3/2 12:13:40)

小春六花> 高校まではまぁ……パソコンを買ってもらえる家庭とそうじゃない家庭みたいな差がね……あるからね……   (2023/3/2 12:15:27)

小春六花> 大学はPC必須だったりするので、そんな差もないから手書きにする意味は……ないですね…。   (2023/3/2 12:16:12)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> Excelなんでダメなんですか！！(台パン   (2023/3/2 12:16:58)

小春六花> わからへん……   (2023/3/2 12:17:52)

後藤ひとり> 台パンしないで……(なでなで)   (2023/3/2 12:18:14)

小春六花> 私もそろそろご飯食べてくるねー。またいにー。   (2023/3/2 12:20:25)

おしらせ> 小春六花さんが退室しました。  (2023/3/2 12:20:28)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> いってらっしゃーい   (2023/3/2 12:20:52)

後藤ひとり> あ、いてらです   (2023/3/2 12:21:33)

後藤ひとり> ガヴさんは大丈夫です？   (2023/3/2 12:25:52)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> いちおーねぇ。今日は3つだけ出して帰ることにした   (2023/3/2 12:27:29)

後藤ひとり> 残り半分ですね……気をつけておかえりを……   (2023/3/2 12:31:09)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 頑張らないと……ぅ〜。   (2023/3/2 12:32:05)

後藤ひとり> がんばれ……応援ならいくらでも……   (2023/3/2 12:34:33)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ありがとぉ〜。   (2023/3/2 12:36:32)

後藤ひとり> 終わったら私の胸好きにしていいですし……   (2023/3/2 12:37:24)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> するするぅ   (2023/3/2 12:38:01)

後藤ひとり> 触ったり吸ったり………   (2023/3/2 12:40:25)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> うふぅぅ〜ぁ。   (2023/3/2 12:42:32)

後藤ひとり> 私も眠い……   (2023/3/2 12:43:33)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ねてもいーぞぉる   (2023/3/2 12:43:48)

後藤ひとり> 出かけないとなので……(むぎゅ)   (2023/3/2 12:46:25)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ふむふむぅ   (2023/3/2 12:51:36)

後藤ひとり> そうでもしないとずっと引きこもりなので……   (2023/3/2 12:53:41)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> あぁ〜。   (2023/3/2 12:57:37)

後藤ひとり> 外に出る用事もないし……出たくもないし……   (2023/3/2 12:58:26)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 陰のもの〜。   (2023/3/2 12:59:08)

後藤ひとり> ガヴさんもこちらよりですよ……   (2023/3/2 13:04:15)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> あたしは……うっ、否定できない   (2023/3/2 13:04:37)

後藤ひとり> ガヴさんもこちら側へ……(手招き)   (2023/3/2 13:11:01)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ぅ〜(いそ、いそ。   (2023/3/2 13:14:06)

後藤ひとり> いらっしゃいませ……(なでなで)   (2023/3/2 13:15:10)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> もうちょい頑張ったら甘える、ぅ(ぎゅむぎゅむぅ   (2023/3/2 13:17:34)

後藤ひとり> 頑張れ……しばらくはここにいるので……   (2023/3/2 13:18:01)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> あと1個やったら絶対帰る(お昼ご飯買いに来てる   (2023/3/2 13:19:18)

後藤ひとり> 偉いです……私なら多分飽きて先延ばしにしますし……(抱きしめ)   (2023/3/2 13:19:58)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 先延ばしに出来ないんだよぉ   (2023/3/2 13:20:51)

後藤ひとり> 期限は何時までですか？……   (2023/3/2 13:22:56)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 来週月曜日……   (2023/3/2 13:23:41)

後藤ひとり> なかなかきついですね……   (2023/3/2 13:24:44)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 1から書くわけじゃないからまだいけそう……。ぅ   (2023/3/2 13:25:05)

後藤ひとり> ちなみにどのくらい終わってますか……？   (2023/3/2 13:27:18)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> やり直し自体は無いから大丈夫だよ。3個残ってるのの書き足すのがちょい物量あるだけー。   (2023/3/2 13:28:12)

後藤ひとり> なるほど……にしてもほんと大変ですね……私ですら1つのレポート面倒くさがってるレベルだったのに……   (2023/3/2 13:31:37)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 溜めすぎたってのが災いしてるんだよねぇー。   (2023/3/2 13:33:17)

後藤ひとり> 溜まりがちなの分かる……私も毎日コツコツやろうとするけど学校帰りは疲れてて結局土日にやる羽目に……   (2023/3/2 13:35:00)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 土日はバイトなんだよね〜   (2023/3/2 13:37:48)

後藤ひとり> あー……私はバイトする気力がなくて……そもそもバイトするほどお金使うものないし……   (2023/3/2 13:38:25)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> あたし一人暮らしだしね〜。生活かがてるのよー   (2023/3/2 13:42:48)

後藤ひとり> 一人暮らし……！？その歳でできるの凄くないですか………！？   (2023/3/2 13:43:48)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 学校が遠くてなんの。致し方なく〜。   (2023/3/2 13:44:54)

後藤ひとり> なるほど……それは仕方ないですね……私も登下校に2時間かかるけど……一人暮らしできる自信なくて……   (2023/3/2 13:46:17)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 一日かかる距離だからさ〜。   (2023/3/2 13:51:09)

後藤ひとり> それはどうしようも無いですね………一人暮らしすごいと思います……全部1人でやらないといけないんだから……   (2023/3/2 13:52:13)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 結構、一年目なのもあってそれがメンタルにも来てる   (2023/3/2 13:55:07)

後藤ひとり> なるほど……そうですよね……私には到底無理です……頑張って……(なでなで……わしゃわしゃ)   (2023/3/2 13:57:35)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> がんばる、ぅ〜(もぞもぞ。   (2023/3/2 13:58:54)

後藤ひとり> ガヴさんはご飯とかで落ちなくて大丈夫ですか？……(ずっといるけど大丈夫かなって撫でながら心配だ)   (2023/3/2 14:00:27)

後藤ひとり> (心配で)   (2023/3/2 14:00:31)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ご飯は食べてきたから大丈夫〜   (2023/3/2 14:09:50)

後藤ひとり> あ、よかったです……今は帰宅中ですか？   (2023/3/2 14:10:49)

おしらせ> 月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙさんが入室しました♪  (2023/3/2 14:18:18)

後藤ひとり> あ、ヴィーネさんこんにちは   (2023/3/2 14:18:56)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> なによ、これ…2人とも気絶してない？（ほほつん）   (2023/3/2 14:19:01)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> わっ…起きてた。黙ってるから居ないかと思ったわよ   (2023/3/2 14:19:33)

後藤ひとり> 私は生きてますよ…   (2023/3/2 14:20:46)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> ガヴは10分も放置してるんだけど…生きてるの？（ゆさゆさ）   (2023/3/2 14:20:57)

後藤ひとり> 多分忙しいのかと……(ゆさゆさ)   (2023/3/2 14:21:22)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> 私もそんな長くはいれないけどね、あはは。ひとりさんは今日は暇なの？   (2023/3/2 14:22:31)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 課題に張り付いてる……   (2023/3/2 14:24:29)

後藤ひとり> なるほど……私は休みなので……出かけてます   (2023/3/2 14:24:33)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> ま、待ちなさいよ…アンタ…課題、終わったって言ってなかった？   (2023/3/2 14:25:38)

後藤ひとり> あの……無理せず……ここみながらやると集中出来ないし………   (2023/3/2 14:26:18)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 再提出……食らった。   (2023/3/2 14:26:47)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> 正論よね…課題に集中すれば？   (2023/3/2 14:26:55)

後藤ひとり> まあ私もたまにアニメ見ながら課題することあるけど……   (2023/3/2 14:28:05)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> もうっ…大丈夫なの？ほら、やる時は集中してやった方が絶対に効率いいんだから   (2023/3/2 14:28:20)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> グラフだけ集中してみる。たまに覗く〜。   (2023/3/2 14:28:53)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> アニメとか動画ならね、別に良いと思うけどチャットは無理でしょ…まったく…   (2023/3/2 14:29:13)

後藤ひとり> チャットは無理かと……私もたまにするし……   (2023/3/2 14:30:01)

後藤ひとり> ヴィーネさんまで果てた！？   (2023/3/2 14:35:45)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> お、起きてるわよ！私も外だからね…歩きながら見れないんだってば   (2023/3/2 14:36:22)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> でもガヴも放置だし…落ちちゃおうかしら…う〜ん   (2023/3/2 14:36:56)

後藤ひとり> あ、起きてた……あの無理せずとも……ﾜﾀｼﾊｱﾙｷｽﾏﾎｼﾁｬｲﾏｽｶﾞ   (2023/3/2 14:37:04)

後藤ひとり> ガヴさんは私が見てるので……   (2023/3/2 14:37:13)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> 歩きスマホとか絶対だめだからね？自分が怪我するならともかく…相手に怪我させたら大変じゃない   (2023/3/2 14:38:08)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ふにぃ〜(くてん。くてん   (2023/3/2 14:39:32)

後藤ひとり> 返す言葉もない……はいまあ何とか気をつけます……   (2023/3/2 14:39:39)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> がんばれ♡がんばれ♡   (2023/3/2 14:40:02)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 部屋に連れ込むぞ。(ぢと〜   (2023/3/2 14:41:58)

後藤ひとり> 推しカプなんで是非連れて行ってあげて……   (2023/3/2 14:42:43)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> 課題、終わったらね〜？ガヴはそれどころじゃないでしょ…あはは   (2023/3/2 14:42:53)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 終わったら連れ込む。絶対   (2023/3/2 14:44:36)

後藤ひとり> 頑張れ～   (2023/3/2 14:45:09)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> この課題終わったら部屋に連れ込むんだ…ってフラグになってないわよね？大丈夫？頑張りなさいよ   (2023/3/2 14:45:59)

後藤ひとり> 月曜まで期限はあるそうなので……   (2023/3/2 14:46:31)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> えっ、そうなの？月曜なら余裕じゃないの？   (2023/3/2 14:47:05)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 大丈夫だって。おわんなくてもエンジェルマジックで何事も無かったように上がってるから   (2023/3/2 14:47:05)

後藤ひとり> なにそれ！？   (2023/3/2 14:48:13)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> 風つよ…   (2023/3/2 14:58:17)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ぁ〜ぅ   (2023/3/2 14:58:26)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> 泣き言、言わないの   (2023/3/2 14:58:38)

後藤ひとり> 風強いですよね……花粉には辛い…   (2023/3/2 15:00:59)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> 花粉の季節には早いんだけどなぁ   (2023/3/2 15:03:51)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> がんばる……！   (2023/3/2 15:04:10)

後藤ひとり> とりあえずご飯食べます……   (2023/3/2 15:04:15)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> うんうん、頑張りなさいよ   (2023/3/2 15:05:17)

後藤ひとり> 頑張って…   (2023/3/2 15:05:29)

後藤ひとり> 食べ終えました……   (2023/3/2 15:17:56)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> お帰りなさい、私はどうしようかな〜   (2023/3/2 15:18:17)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> あふぅ……   (2023/3/2 15:19:25)

後藤ひとり> おふたりとも無理せず……   (2023/3/2 15:19:41)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> な、鳴き声だけあげるのやめてよ…怖いでしょ   (2023/3/2 15:20:11)

後藤ひとり> 鳴き声……   (2023/3/2 15:21:38)

後藤ひとり> ｲｲﾈｸﾚｰ   (2023/3/2 15:21:43)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> 承認欲求モンスターきちゃった…   (2023/3/2 15:22:13)

後藤ひとり> あ、知ってました！？   (2023/3/2 15:22:31)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ｺﾚｸﾚｰ   (2023/3/2 15:23:01)

後藤ひとり> それはオネダリです！   (2023/3/2 15:23:18)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> 知ってるわよ、ぼざろちゃんと観てたもん。ガヴドロより覚えてるまであるしね…もうガヴドロもかなり前だもん   (2023/3/2 15:24:21)

後藤ひとり> ありがとうございます……6年くらい前でしたねガヴドロ……   (2023/3/2 15:25:38)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> そんな前なの⁉︎あ〜…でもそれくらい経つのかなぁ   (2023/3/2 15:26:21)

後藤ひとり> 2017年放送です……   (2023/3/2 15:27:18)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> 同時期のアニメって何あったのかしら…あの頃は結構、録画とかしてたかも…まだ配信とかあまりされてなかったし   (2023/3/2 15:28:55)

後藤ひとり> 私は……ほぼ見てないですねうらら迷路帖くらいしか……   (2023/3/2 15:32:26)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> けもフレとかメイドラゴンとか…   (2023/3/2 15:35:01)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> 少女終末旅行とか懐かしすぎだってば…   (2023/3/2 15:35:37)

後藤ひとり> メイドラゴンは見ようと思って見れてなくて……去年のアベマの一挙放送で見ました……   (2023/3/2 15:36:36)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> ブレンドSもこの頃だったわ   (2023/3/2 15:37:20)

後藤ひとり> 秋でしたね……夏帆さん好きです……   (2023/3/2 15:37:58)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> 懐かしい様な最近の様な…微妙な感覚よね…ブレンドSとか最近な印象あったもん   (2023/3/2 15:39:02)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ふぁ〜。   (2023/3/2 15:39:24)

後藤ひとり> あとはごちうさの映画もその頃してましたね……眠そうですね！？   (2023/3/2 15:39:41)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> アンタ…ちゃんとやってるの？寝てないでしょうね？   (2023/3/2 15:39:49)

後藤ひとり> なんかお母さんみたい……   (2023/3/2 15:40:44)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> ガヴは適度にお尻叩かないとだもん   (2023/3/2 15:41:35)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> おわったぁ。今日の分は終わらせてもう帰るぅ   (2023/3/2 15:42:51)

後藤ひとり> ですね……あ、お疲れ様です   (2023/3/2 15:43:23)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> お疲れ様、ちゃんと片付けて帰るんだからね？   (2023/3/2 15:43:42)

おしらせ> 白羽=ﾗﾌｨｴﾙ=ｴｲﾝｽﾞﾜｰｽさんが入室しました♪  (2023/3/2 15:44:37)

後藤ひとり> 同作に囲まれた！？   (2023/3/2 15:45:32)

白羽=ﾗﾌｨｴﾙ=ｴｲﾝｽﾞﾜｰｽ> こんにちは〜…♪お邪魔してしまってもよろしかったでしょうか〜…？（にっこり。ひょこひょこって皆さんの所に近づいていき）   (2023/3/2 15:45:46)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> ち、ちょっと…！ラフィまで来てるんだけど！めちゃくちゃになっちゃう！   (2023/3/2 15:46:18)

後藤ひとり> あ、は、は、い……私だけ同作じゃないですが………それでも良ければ………   (2023/3/2 15:46:24)

後藤ひとり> サターニャさん……やれるか自信ない……(目逸らし)   (2023/3/2 15:46:38)

月乃瀬=ｳﾞｨﾈｯﾄ=ｴｲﾌﾟﾘﾙ> サターニャまで来たら収集つかなくなるってば！   (2023/3/2 15:47:09)

後藤ひとり> あ、ダメならいいです……いやほら同作全員来るの珍しいし……(去年結束バンドは揃ったけど)   (2023/3/2 15:47:45)

