/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年02月13日 13時17分 ～ 2023年02月13日 19時56分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

結月ゆかり> 錬金術じゃないですか   (2023/2/13 13:17:33)
ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> 一応話すのが苦手って言う三玖の特訓の為じゃなかったっけ…？全部把握してないから私も適当だけど……   (2023/2/13 13:34:04)

結月ゆかり> まぁまぁそう言わずに。眺めてるだけじゃ勿体ないじゃないですか(くす)   (2023/2/13 13:34:23)

結月ゆかり> ん、それもありますね。でも…意識せずにできたら最高ですよね？ということでいきなり実践です   (2023/2/13 13:34:56)

中野三玖> コレでも頑張ってる…   (2023/2/13 13:35:09)

後藤ひとり> 何円だすんだろう……   (2023/2/13 13:35:12)

結月ゆかり> がんばれ♡がんばれ♡   (2023/2/13 13:35:35)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> まー人との距離感はそれぞれで難しいんだけど実際問題……噛み合わない人と延々話すのもねー…   (2023/2/13 13:35:54)

井ノ上たきな> 勿体ない、んですかね…。お昼ご飯を食べて少しぽやついてる中なので。ハイテンポに話すの、結構難しいんですよね   (2023/2/13 13:36:19)

結月ゆかり> んー、そうですね。ゆかりさんがミキサーしてグッチャグチャになってるから話せる、なんてのもありそうですし   (2023/2/13 13:36:31)

結月ゆかり> ぁ、そういう理由があるならよくかんで食べてくださいね？   (2023/2/13 13:36:54)

中野三玖> (ぽん…。ブラックカードを一枚出して)   (2023/2/13 13:36:59)

結月ゆかり> ……ハイテンポに話してるのは一人だけなんですよね、実は   (2023/2/13 13:37:12)

後藤ひとり> ……(唖然)   (2023/2/13 13:37:28)

結月ゆかり> (…黒いだけのポイントカードですよってひそひそ)   (2023/2/13 13:37:55)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> たきなの目当ては緩やかな時か或いは誰かか……まー私も話すのそんな得意な方じゃないからどれだけー…   (2023/2/13 13:38:30)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> っと…あれ何だっけ…クレカの上位種だっけ…？   (2023/2/13 13:38:52)

結月ゆかり> ちなみに距離感云々は一対一になると露骨に出ますよね！難易度急上昇します   (2023/2/13 13:39:09)

井ノ上たきな> 私はまぁ、のんびり、このまま寝落ちるまで話せたらなぁ……くらいです(こく   (2023/2/13 13:39:12)

結月ゆかり> ん、制限額無制限のお金持ち御用達の魔法のカードです   (2023/2/13 13:39:33)

結月ゆかり> 寝かせると思ってるんですか！(さささ)   (2023/2/13 13:40:02)

中野三玖> 五月が持ってた…(ぼそぼそ)   (2023/2/13 13:40:11)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> 合わせやすい人次第かなー……普段の外からの言動見てこの人は…って選別も有るし…   (2023/2/13 13:40:25)

井ノ上たきな> 実は寝れないんですけど、ね(こく   (2023/2/13 13:40:45)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> ……それ二人して(ゆかり・たきな)ばたんきゅーするパターンじゃ…？   (2023/2/13 13:40:54)

結月ゆかり> (選別で真っ先に外されてそうって顔)   (2023/2/13 13:40:58)

中野三玖> (以下同文って顔)   (2023/2/13 13:41:11)

結月ゆかり> んー、それならそれで…ゆかりさんは一向に構いませんよッッ   (2023/2/13 13:41:21)

後藤ひとり> そうですね私の場合は私の事完全に無視する人は嫌いですね(同じく………)   (2023/2/13 13:41:34)

結月ゆかり> むしろ早めに寝たいんですけど   (2023/2/13 13:41:38)

結月ゆかり> ゆかりさんは無視しませんよっ、無視されますが！   (2023/2/13 13:42:08)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> 実際三玖についてはまだ何とも……   (2023/2/13 13:42:15)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> ひとりの場合それブーメランになってない……？   (2023/2/13 13:42:35)

結月ゆかり> (あれ、ゆかりさんセーフ…？)   (2023/2/13 13:42:35)

井ノ上たきな> 出かけないといけないので……実はもうお外です   (2023/2/13 13:42:39)

結月ゆかり> 外で寝たら襲われますよ襲います   (2023/2/13 13:42:59)

中野三玖> きをつけようね…   (2023/2/13 13:43:07)

後藤ひとり> いや……私の場合は完全に無視されたこともあるので………   (2023/2/13 13:43:09)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> 外………露出プレイ……？(ぼそっ   (2023/2/13 13:43:17)

結月ゆかり> …そう、ですね。ひとりちゃんとは四年前に頑張って対話を試みたゆかりさんもいましたね…   (2023/2/13 13:44:05)

中野三玖> (五月の練習しておかないと…)   (2023/2/13 13:44:14)

結月ゆかり> ぁ(絶命)   (2023/2/13 13:44:22)

結月ゆかり> 電池切れました、おやすみなさい   (2023/2/13 13:44:30)

結月ゆかり> すやぁ…   (2023/2/13 13:44:41)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> あー寧ろトラウマ側の方か………と…ゆかりはお休みっと…？   (2023/2/13 13:44:42)

おしらせ> 結月ゆかりさんが退室しました。  (2023/2/13 13:44:44)

井ノ上たきな> おやすみなさい……？   (2023/2/13 13:45:00)

後藤ひとり> おやすみすみなさいです   (2023/2/13 13:45:46)

中野三玖> おやすみすみなさい…？   (2023/2/13 13:46:37)

後藤ひとり> いやまあ名前は出さないけど前に挨拶すらされなかった事はありますし……別部屋だとある人が特定の1人が好きすぎて他の利用者を悪く言ったり部屋主でもないのにお部屋の使い方に文句を言う人とか………   (2023/2/13 13:46:47)

中野三玖> ……それ以上は良くない(そっと口元に手を被せて)   (2023/2/13 13:48:05)

後藤ひとり> (ふがっ)   (2023/2/13 13:48:31)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> まーこの界隈だと永遠の課題って奴かなー……あれ…いつの間にかひとり買われてる感じ…？(じとー…   (2023/2/13 13:49:01)

中野三玖> …ダメ。わかった…？   (2023/2/13 13:49:07)

後藤ひとり> 私はみんなのものです……要らないと思いますが   (2023/2/13 13:50:46)

後藤ひとり> すいませんいまのはなしで……   (2023/2/13 13:50:56)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> 脱がせたの私なんだけどなー……(ぼそっ、そもそも手出ししてないのは置ry   (2023/2/13 13:51:44)

井ノ上たきな> 界隈によりけり、問題があるのは…永遠の課題ですよね……   (2023/2/13 13:52:37)

中野三玖> …ほしいよ   (2023/2/13 13:53:16)

後藤ひとり> そういえば脱がされたままでした………   (2023/2/13 13:53:52)

中野三玖> …服、着る?   (2023/2/13 13:54:58)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> 個々人で直せるんなら兎も角ねぇ……私も人の事言える類じゃないし……　　え、折角脱がせたのに…？   (2023/2/13 13:55:21)

後藤ひとり> 暫くはこのままで……   (2023/2/13 13:56:19)

中野三玖> もう一回脱がせる楽しみ…   (2023/2/13 13:56:45)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> …それなら残ってるの脱がせるだけでも良くない…？そーゆーシュミならもう仕方ないけどさー…   (2023/2/13 13:57:20)

後藤ひとり> 私の意思が全然反映されない！   (2023/2/13 13:58:22)

中野三玖> あ…着てもいいよ(私の服)   (2023/2/13 13:59:29)

後藤ひとり> 三玖さんは私のを着るんですか？   (2023/2/13 14:00:27)

井ノ上たきな> ふぁ……欠伸、凄いでます   (2023/2/13 14:00:54)

後藤ひとり> 私もお昼食べてぽやんです   (2023/2/13 14:01:13)

中野三玖> …そうしようかな(はい。と着ていたパジャマを渡して)   (2023/2/13 14:01:25)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> ひとりの意思とか有って無い様なものだよね…？(ｷｮﾄ)あれ、さっき外出てるって言ってなかったっけ…事故らないでよ…？   (2023/2/13 14:01:46)

後藤ひとり> では……(ジャージとズボンを渡して)ま、まあ私に人権は無いので……   (2023/2/13 14:02:05)

井ノ上たきな> 事故は、さすがに起こしません……かなりあくびが出てます、けど   (2023/2/13 14:03:09)

中野三玖> …ちゃんと有るからね…   (2023/2/13 14:03:56)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> …何時も良いようにされてるひとりの経験談…？　　　寧ろ何でそんな状態に出掛ける羽目になってるのか疑問なんだけど…   (2023/2/13 14:05:36)

中野三玖> …人権がないというか…作者さんから人間じゃないって言われてるし   (2023/2/13 14:06:06)

後藤ひとり> 良いようにされてますね……確かに人じゃなかった……   (2023/2/13 14:06:47)

井ノ上たきな> 普通に、お昼食べて眠くなってるだけですよ…午後の用事はもとからありましたから   (2023/2/13 14:07:55)

中野三玖> …私も眠いかも   (2023/2/13 14:09:30)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> 嗚呼あのスライムみたいなひとり……？　　んー…つまり何かでパーンと目を覚ませるぐらいの衝撃が…？   (2023/2/13 14:09:49)

後藤ひとり> メンダコとかツチノコとか……私も眠いです実は……   (2023/2/13 14:10:47)

井ノ上たきな> 衝撃、欲しいかなぁ。ほんとに   (2023/2/13 14:10:52)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> メンダコ……？ツチノコは幻の、って意味で解るけど…   (2023/2/13 14:12:17)

中野三玖> …くぁ、   (2023/2/13 14:12:35)

後藤ひとり> 詳しくは本編を………というかググれば出ます……   (2023/2/13 14:13:07)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> …大きな音，或いは盛大にぶつかるとか痛みとか…？って言っても唯暴力だとなー何か違うし……   (2023/2/13 14:13:17)

中野三玖> (ひとりちゃんの唇をジィ…!   (2023/2/13 14:14:18)

井ノ上たきな> もう少し目が覚めてたらえっちしたいとかいってたと思いますけどね   (2023/2/13 14:14:50)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> …何か平たいタコ？みたいなの出てきたんだけど……うわ不気味…   (2023/2/13 14:15:04)

中野三玖> …メンダコは可愛いと思う   (2023/2/13 14:15:15)

後藤ひとり> なんで唇を見るんですか！？不気味言われました……   (2023/2/13 14:15:52)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> …外居てもって中々強者……？   (2023/2/13 14:16:14)

中野三玖> …キスしたいなって   (2023/2/13 14:16:25)

井ノ上たきな> 外いても、関係ないですねっ   (2023/2/13 14:16:37)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> いや如何見ても不気味じゃん……まだ狩れる魔物の方が良いっ…   (2023/2/13 14:16:53)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> ぅゎすご……私外だと集中出来ないんだよねー……   (2023/2/13 14:17:36)

後藤ひとり> キスします？………外だと私はお話だけにしてます   (2023/2/13 14:17:57)

後藤ひとり> あと他には承認欲求モンスターとかいます……   (2023/2/13 14:18:09)

井ノ上たきな> 外でも普通にしちゃうからなぁ   (2023/2/13 14:18:39)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> …野外プレイとか好きそう(偏見   (2023/2/13 14:19:00)

井ノ上たきな> ……バレました…！？   (2023/2/13 14:19:10)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> いや解るでしょ大体っ………それ下手したら露出狂に繋がって…   (2023/2/13 14:20:00)

後藤ひとり> ＞   (2023/2/13 14:20:05)

後藤ひとり> ！？   (2023/2/13 14:20:10)

後藤ひとり> 野外でするんですね………   (2023/2/13 14:20:24)

井ノ上たきな> 結構そういうの、好き…。これ以上はここでは話せないけど、かなり過激なことしたい質で。   (2023/2/13 14:20:53)

後藤ひとり> なるほど……   (2023/2/13 14:21:59)

中野三玖> …ん…する、したい…   (2023/2/13 14:22:05)

井ノ上たきな> 聞きたいなら、お部屋で…っ。ここで話せないですから。(こくこく   (2023/2/13 14:22:38)

後藤ひとり> じゃあします？……(顔近づけて)   (2023/2/13 14:24:01)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> …ひとりはもう露出狂の気有るから大丈夫でしょ(更に偏見)…過激…どれぐらいな事なんだろ……んー…折角だしちょっと聞いてみても良いけど今外って言ってたっけ   (2023/2/13 14:25:07)

中野三玖> (両頬に手を添えて、ちゅ…)   (2023/2/13 14:25:56)

井ノ上たきな> ん、返信ゆっくりでも大丈夫なら、おきかせ出来ますよ……？   (2023/2/13 14:26:06)

後藤ひとり> なんで私まで露出狂のお仲間に！？   (2023/2/13 14:26:19)

後藤ひとり> (目を閉じながらちゅ……)   (2023/2/13 14:26:26)

中野三玖> …はむ…ちゅ…っ   (2023/2/13 14:26:56)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> …ならあっちは二人に任せてちょっと連れてこっか…ご足労願えますかお嬢様？(右手を差し出してﾆｺﾘ   (2023/2/13 14:27:36)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> って、そもそも鍵付きで作ったけど行けるか聞いてなかったや…だいじょぶ？   (2023/2/13 14:28:37)

後藤ひとり> んっ……ちゅ……れろっ……   (2023/2/13 14:29:25)

井ノ上たきな> 大丈夫ですよ…っ。ふふ。入れましたし。一旦、そちらの方に……？(おてて握り返して   (2023/2/13 14:29:46)

後藤ひとり> あ、お疲れ様ですおふたりとも……   (2023/2/13 14:30:16)

ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱ> ン、了解確認した…そんじゃふたり共まったねー…♪(そのまま腰を抱いて連れ攫い完了   (2023/2/13 14:30:43)

おしらせ> ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱさんが退室しました。  (2023/2/13 14:30:46)

井ノ上たきな> では、こちらは失礼しますね……っ(そのまま連行されてしまって   (2023/2/13 14:31:20)

おしらせ> 井ノ上たきなさんが退室しました。  (2023/2/13 14:31:22)

中野三玖> …お疲れ様   (2023/2/13 14:31:29)

中野三玖> ちゅ…ちゅ…   (2023/2/13 14:31:37)

後藤ひとり> んちゅ…   (2023/2/13 14:31:44)

中野三玖> ……ひとりちゃん…   (2023/2/13 14:34:13)

後藤ひとり> は、はい！   (2023/2/13 14:34:25)

中野三玖> ……んっ(ぎゅー)   (2023/2/13 14:35:41)

後藤ひとり> 私も眠くて……(むぎゅ)   (2023/2/13 14:36:02)

中野三玖> …ねよ   (2023/2/13 14:39:22)

中野三玖> …一緒に寝よう…   (2023/2/13 14:40:06)

後藤ひとり> いいですね(おふとんに2人でくるまり)   (2023/2/13 14:40:39)

中野三玖> …(ちゅ…ちゅっ…)   (2023/2/13 14:41:20)

後藤ひとり> おやすみすみなさい……(んちゅ……)   (2023/2/13 14:43:15)

中野三玖> …おやすみ   (2023/2/13 14:43:22)

後藤ひとり> ではまた夜とか会えたらぜひ……   (2023/2/13 14:45:03)

おしらせ> 後藤ひとりさんが退室しました。  (2023/2/13 14:45:04)

中野三玖> …ん…   (2023/2/13 14:48:42)

おしらせ> 中野三玖さんが退室しました。  (2023/2/13 14:48:46)

おしらせ> 倉内安奈さんが入室しました♪  (2023/2/13 15:19:05)

倉内安奈> こんにちはー、こちらは初めてですけどお邪魔しますね…(きょろきょろと部屋を見渡しながら入ってきては)   (2023/2/13 15:20:12)

倉内安奈> むむむ、添い寝良いですね…。甘々するのは憧れでもありますから…わたしも……うふふ(ほにゃぁと顔を緩めてはあまりよろしく内笑みを見せ)   (2023/2/13 15:23:39)

おしらせ> 羽鳥智世 ◆TaduQjWkbwさんが入室しました♪  (2023/2/13 15:30:09)

羽鳥智世 ◆> こんにちは…。忙しいですけれど…少し休憩に…いいでしょうか？   (2023/2/13 15:31:16)

倉内安奈> ええ、お話だけでももちろん大歓迎ですよー。休憩ということならお茶でも入れましょうね。お任せください(来客ににこりと笑いかけるメイドさんです)   (2023/2/13 15:32:42)

羽鳥智世 ◆> あ、ありがとうございます…。えっと…隣で仕事とかになってしまいますけど…。私も添い寝とか気になってるのもあって…   (2023/2/13 15:37:31)

倉内安奈> おやや、欲しいものはお茶より添い寝でしたかー。これは気がつきませんでした。正直に伝えてくれてありがとうございますね？(むふふー、と嬉しそう表情を浮かべれば、ベッドへぽすんと座り)私も大歓迎ですよ。どうぞっ(両手を広げてちせさんをお待ちしちゃいます)
  (2023/2/13 15:40:55)

羽鳥智世 ◆> あ、ありがとうございます…。（小声で礼を述べながら。ここでいいかとすこしきょろりと相手を見つめて、ベッドに、隣に腰掛けて）   (2023/2/13 15:43:20)

倉内安奈> ふふ、私の隣にようこそです。ぎゅーっ♪(チセさんが隣に座ればすぐにむぎゅうーっと抱きつきにいってしまいます。そのまま二人まとめてお布団の上にぽすんと寝転ぶ形にしちゃいましょうかね)あ、そうそう。私は倉内安奈っていうんです。よろしくお願いしますね？(懐っこく抱き締めた後に今更感のある自己紹介をしてしまいます)
  (2023/2/13 15:47:11)

羽鳥智世 ◆> あ、ぎゅ…っです。（右腕でそっと抱きしめるようにして。忙しくて短文ごめんなさい）あ、ありがとうございます。私は羽鳥智世です。（相手の瞳を見つめながら。胸の中で会釈をして、恥ずかしさから目をそらして）   (2023/2/13 15:50:51)

おしらせ> ペコリーヌさんが入室しました♪  (2023/2/13 15:54:05)

倉内安奈> 文量なんて私にとってはどうでもいいものなので気にしないで下さい(シチュと反応しか求めてない私は安心できるようにこりと笑って、抱き締め返してくれるチセさんに嬉しそうに気持ちを伝えます)よしよし、お仕事でお疲れの分沢山癒されて下さいね♪　ちせさんも、ぎゅーってするのお好きなんですか？(胸の中のチセさんの頭をぽーん、ぽん。優しく撫でちゃいます)
  (2023/2/13 15:55:01)

ペコリーヌ> 羨ましい光景が、おいっすー。おじゃましまーす(ひらひら、うらやましい限りです   (2023/2/13 15:55:31)

羽鳥智世 ◆> ありがとうございます…。メイド…なんだか落ち着きますね。（そういう服を着てる人、普段がそばにいる）えっと、はい…癒やされます…。はぐも、好きですね。（ここにいていい気がする。と、頷き。優しく撫でられるとうと…と）   (2023/2/13
15:59:38)

羽鳥智世 ◆> あ、えっと…（見られたと思うと声が出ないけど。顔が真っ赤に会釈）   (2023/2/13 16:00:06)

倉内安奈> 新しいお客様ですね。こんにちは。私のぎゅーは可愛い方ならいつでも誰にでもプレゼントしますよー、うふふ(チセさんをむぎゅーっとしながらペコリーヌさんにご挨拶を)   (2023/2/13 16:00:46)

倉内安奈> 触れ合ってるときは落ち着きますね。それに、チセさんみたいな可愛らしい人なら余計にです。このまま寝てしまってもいいんですよ。寝かしつけというのも良いものです(髪から頬へゆっくりと手を下ろしていけば、そこも優しくすりすりと撫でちゃいます。二人でくっついてるとぽかぽかしてきますね)
  (2023/2/13 16:02:47)

ペコリーヌ> いえいえ、おかまいなく、あ、でもぎゅーはとってもしてほしいので(可愛い反応でいいですねーなんてにこにこ。うーん、よ奥から二人を眺めるのも楽しいものです♪近くにぽすっと座っておきましょう)   (2023/2/13 16:02:48)

おしらせ> メジロマックイーンさんが入室しました♪  (2023/2/13 16:04:03)

メジロマックイーン> では、私でよければ！( ▽ ばばーん。)   (2023/2/13 16:04:37)

ペコリーヌ> きゃー、マックイーンさんかっこいー(わー   (2023/2/13 16:06:14)

羽鳥智世 ◆> あ、え……ぁ…。（人が増えてますますしどろもどろに。それでもこくこくと会釈はして、嫌では無い…と伝えたい）   (2023/2/13 16:08:15)

メジロマックイーン> こう言うお部屋で奇数の余りになって辛い思いをした経験は幾星霜ですので、思わず飛び込んでしまいました…。(着地してこくん。お構いなく、と先客の2人には手を振りつつ、ぺこちゃんの隣に腰を下ろして。)   (2023/2/13
16:08:53)

羽鳥智世 ◆> そ、そのつもりだったんですけど…。（人前で寝るのは少し恥ずかしくもあり。撫でてもらえるのはどこか遠い記憶を呼び覚ますように少し目を潤ませながら。すり、と頬を自分からも押し付けて）   (2023/2/13 16:09:22)

ペコリーヌ> ふふ、私は私で好きなようにしてますけどね。あ、でも奇数になっちゃうと人寂しいってなりますけど…寂しいって思うようなときはそもそも顔を出さなかったりも(小さく苦笑しながら二人をみつつ、マックイーンさんをぎゅーっとくっついちゃいましょう)  
(2023/2/13 16:11:00)

メジロマックイーン> まあ…なんだかんだ1：1のお話が一番やりやすいものですし。──あ、ごちゃごちゃするな、とお思いでしたらお部屋に移動してもかまいませんわ、ふふ。(優しく抱き止めて、きらきら光る美しいブロンドの髪を撫で下ろし。)   (2023/2/13
16:12:05)

