/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年11月24日 02時40分 ～ 2022年11月26日 01時16分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

渋谷凛 ◆> やっぱり…クレーの頭の中はまだまだピンク色そうだけど……？   (2022/11/24 02:40:31)
渋谷凛 ◆> うん、おやすみだね   (2022/11/24 02:59:29)

おしらせ> 無言時間が25分を超えたため、ナンジャモさんが自動退室しました。  (2022/11/24 03:17:22)

おしらせ> 渋谷凛 ◆346.Rf.llEさんが退室しました。  (2022/11/24 03:17:37)

おしらせ> 小春六花さんが入室しました♪  (2022/11/24 21:58:25)

小春六花> ぐでりん   (2022/11/24 21:59:12)

おしらせ> 無言時間が25分を超えたため、小春六花さんが自動退室しました。  (2022/11/24 22:24:25)

おしらせ> クレーさんが入室しました♪  (2022/11/24 23:30:43)

クレー> こんばんは、ちょっとだけおじゃましますっ   (2022/11/24 23:31:11)

クレー> それにしても、最近新しい人たちがたくさんきてくれて、クレーうれしいなぁ。クレーで良かったら、色んな子たちと遊んでみたいかも、えへへ   (2022/11/24 23:36:01)

クレー> 遊ぶって…まあ、遊ぶ   (2022/11/24 23:36:39)

クレー> えへへ♡   (2022/11/24 23:36:47)

おしらせ> 十六夜ノノミさんが入室しました♪  (2022/11/24 23:50:45)

十六夜ノノミ> あら…こんばんは、クレーちゃん。今日は静かなんですね（ひょっこりと覗いて中にいたクレーちゃんににこっと笑いかけて近づいて行って）   (2022/11/24 23:52:10)

クレー> あっ、ノノミお姉ちゃん、こんばんは♪(玄関から現れたノノミお姉ちゃんにおててふりふりしながらごあいさつ)   (2022/11/24 23:53:54)

クレー> うん。でも、昨日すっごく遅い時間に人きたから…。うーん、でもクレー何度も夜遅くなっちゃうと流石に大変かなっ   (2022/11/24 23:54:45)

おしらせ> 後藤ひとりさんが入室しました♪  (2022/11/24 23:55:50)

後藤ひとり> こんばんは……   (2022/11/24 23:55:55)

クレー> あっ！ひとりお姉ちゃん、こんばんはー   (2022/11/24 23:56:13)

十六夜ノノミ> ふふ、よくお会いしますね♪人の生活リズムは様々ですからね。私も明日も学校があるのでそこまで遅くはいないのですけど、来ちゃいました……ひとりさんも、こんばんは～   (2022/11/24 23:56:31)

後藤ひとり> こんばんはです……   (2022/11/24 23:57:50)

クレー> ノノミお姉ちゃんもひとりお姉ちゃんも、クレーが初めて会ってからよく会ってる気がする♡クレーはうれしいよっ(えへへとにっこり笑顔で)   (2022/11/24 23:58:47)

後藤ひとり> わ、私も嬉しいです……   (2022/11/24 23:59:37)

十六夜ノノミ> 私もクレーちゃんとお会いできてくれしいですよ♪ひとりさんも、先日ぶりですね♪（にこっと笑いかけて、ひとりさんの手をぎゅっと握ってみて）   (2022/11/25 00:00:46)

後藤ひとり> は、はい……この間ぶりですね……(手を握り握手)   (2022/11/25 00:01:49)

クレー> ひとりお姉ちゃんだいじょうぶ…？(そっと近づいて覗き込むように心配しながら)、今日はクレーもそんなに長くいないからのんびり一緒にすごそ？♡   (2022/11/25 00:01:58)

後藤ひとり> だ、大丈夫です……私もそんなにいないので………(こくんとうなづいて)   (2022/11/25 00:03:41)

十六夜ノノミ> 私もそんなに長くはないんですけど、仲良くしてもらえたら嬉しいです♪…ひとりさんは、これくらいの時間によくくるんですか？（おててをにぎにぎしながら聞いてみて）   (2022/11/25 00:04:00)

後藤ひとり> いえ夜ならもっと早めに来れますが……昨日もこの時間に人がいたので……誰かいるかなーと……思って今覗きました(手を握られその感触にドキドキ)   (2022/11/25 00:05:50)

クレー> ひとりお姉ちゃん…えいっ♡(クレーからぎゅっと抱きついてくっつく)   (2022/11/25 00:05:53)

後藤ひとり> わっ！？………///(後ろからクレーさんに抱きつかれてびっくりして)   (2022/11/25 00:07:29)

十六夜ノノミ> そしたらちょうどよかったかもしれないですね。私は今日はいろいろ用事済ませてたらこの時間になっちゃったので（くすくす。手を握ったまま微笑んで。クレーちゃんとの様子もにこにこと見ていて）   (2022/11/25 00:07:49)

クレー> クレーは、暇なときいるよ。ジン団長に怒られちゃうから夜はこっそり来てるんだーえへへ♡うーん、平日だと21時くらいからがクレーの時間かもっ   (2022/11/25 00:07:49)

クレー> いちゃいちゃしたら……クレーもがんばっちゃうかな…♡えへへっ   (2022/11/25 00:08:55)

クレー> ノノミお姉ちゃんお用事おつかれさまっ   (2022/11/25 00:09:24)

後藤ひとり> お疲れ様です………用事があるなら仕方ないですよね……もう金曜日ですからもう少し頑張りましょう……(手を握られつつクレーさんも撫でて)   (2022/11/25 00:10:12)

十六夜ノノミ> ふふ、ありがとうございます♪何もなければもう少し早い時間にはこられると思うんですけど……これからしばらくは、時間が不規則になっちゃうかもしれませんね～（視線を上の方に向けながら予定を思い返して）   (2022/11/25 00:10:43)

クレー> みんなの大丈夫な時間   (2022/11/25 00:11:09)

クレー> にきてくれて、それで会えたらクレーはうれしいから無料しないでねっ   (2022/11/25 00:11:33)

クレー> 【誤字と誤送信がー><】   (2022/11/25 00:12:00)

クレー> 無理しないでね！、今日クレー噛み噛みだよぅ   (2022/11/25 00:12:23)

後藤ひとり> お疲れ様です……私は学校の後バンドの練習終えたらあとは自由なのでよくここは覗いてますよ……いつでも来てくださいね？   (2022/11/25 00:12:56)

十六夜ノノミ> ひとりさんもですよ～、がんばれがんばれ～♪（お手てをふりふり。がんばれ～）はい。クレーちゃんも無理しないで、こられるときに来てくださいね♪（クレーちゃんもなでなで。）   (2022/11/25 00:13:17)

クレー> ふたりとも撫でてくれる～♪えへへ♡(ふたりになでなでされて満足にこにこ♡)   (2022/11/25 00:14:06)

十六夜ノノミ> 大丈夫ですよ。そんなクレーちゃんも可愛いですから♪（にこー）   (2022/11/25 00:14:39)

おしらせ> 錦木千束さんが入室しました♪  (2022/11/25 00:14:51)

後藤ひとり> クレーさんを可愛がるのもいいですね………(ふへへ……とまるで妹をあやす様に撫でて)   (2022/11/25 00:16:03)

錦木千束> おーおー、こんな時間なのに賑わってんねぇ〜！夜更かしする悪い子ばっかりだぁ〜っ！(ばんっ！っと大部屋の扉を開け、一同ににっこりと笑みを向け)   (2022/11/25 00:16:03)

後藤ひとり> あ、千束さんこんばんは……   (2022/11/25 00:16:09)

十六夜ノノミ> バンドの練習って、すごいなーって思っちゃいます。そういえば私の周りって、そういう人っていない気がします（ん－、と思い返してみても該当する人が思いつかないで）   (2022/11/25 00:16:22)

十六夜ノノミ> あら、こんばんわ～。はじめまして、ですね。十六夜ノノミと申します。よろしくお願いします～（両手をあわせてぺこりとお辞儀をして）   (2022/11/25 00:17:07)

クレー> こんばんはー、初めてまして♪クレーです！よろしくね！(おててふりふり)   (2022/11/25 00:17:36)

錦木千束> ひとりは昨夜ぶり〜！ノノミとクレーだね？私は錦木千束っていうんだ〜。よろしくっ！(ひらり、と片手を振り。)   (2022/11/25 00:19:07)

後藤ひとり> そ、そんな……バンドって言ってもメジャーじゃないので……まだまだ新米です……それに私一人でやるならともかく他の人と合わせるのが苦手で……   (2022/11/25 00:19:12)

後藤ひとり> は、はい！……昨日は一緒に寝てあげれなくてすいません……   (2022/11/25 00:19:28)

クレー> 千束お姉ちゃんもこっちきてー(みんなでソファ座っておしゃべりしてるところに千束お姉ちゃんもお招きして。)   (2022/11/25 00:20:44)

おしらせ> 小春六花さんが入室しました♪  (2022/11/25 00:20:57)

小春六花> あ、人が増えてる。（よーぐるともひもひれ   (2022/11/25 00:21:12)

後藤ひとり> こ、こんばんは……   (2022/11/25 00:21:45)

クレー> あ、小春お姉ちゃんだーこんばんはっ。あー！またヨーグルト食べてるぅー！   (2022/11/25 00:21:53)

十六夜ノノミ> ふふ。とっても元気な方ですね～（千束さんにくすくすと微笑んで）そういう楽器ができるだけですごいですよ～。この手で演奏とかしているんですね（なんとなく手のひらじっとみて。もみもみ）   (2022/11/25 00:21:58)

十六夜ノノミ> こんばんわ～。はじめまして、十六夜ノノミと申します。よろしくお願いします～（ぺこりと頭をさげてから微笑みかけて）   (2022/11/25 00:22:42)

錦木千束> 昨日……寝る？一緒にぃ……あー……。なんだぁ、そんなこと気にしてんのー？いいのいいの！(クレーに誘われるままにソファーに腰をおろし、ぐーっ…と。)そりゃぁ、人生元気だしてたのしまないとねぇ〜っ。(うんうん。)   (2022/11/25
00:22:59)

小春六花> おいっすおいっす。こはるりだよー、よろしくっすー。（手のひらひらひらり   (2022/11/25 00:23:51)

後藤ひとり> き、気にしてないならよかったです……(こういうの意外に気にするタイプなので……っと気にしてないならよかったですっ……とホットして)ま、まあこの手で一応演奏はしてます……///(手を揉み揉みされて顔を赤くさせて反応して)   (2022/11/25
00:25:04)

クレー> ひとりお姉ちゃんの手、クレーもぉ(ひとりお姉ちゃんの手をもってぷにぷにと触ってみる)えへへ、クレーより全然大きいね♡   (2022/11/25 00:25:55)

後藤ひとり> み、みんなして私の手を触って……///触っても全然面白くないですよ？/////(演奏をしてるってだけで手を触られてしまう私です……)   (2022/11/25 00:27:34)

十六夜ノノミ> とても素敵な心がけですね。どうぞどうぞいらっしゃーい♪（もぞもぞ。千束さんが座る分ソファの場所をあけるようにして）ふわー、すごいですねぇ……。嫌じゃなければこんど聞かせてもらいたいです♪（ふふー。もみもみ。むにむに。）  
(2022/11/25 00:28:02)

後藤ひとり> 今からでも大丈夫ですよ………？///(手を揉まれてかぁっと頬を赤くさせて)   (2022/11/25 00:29:32)

錦木千束> 演奏してる人の手って綺麗なんだねぇ…(わかんないけど。ナンカスゴイ状態だから、手を触ったりしてる様を生暖かく見守り)うんしょっと。や〜、なんか、居心地いいなぁ〜…帰りにフラッと寄りたくなるっていうか。(ノノミにあけてもらったスペースにすぽっと収まり。)
  (2022/11/25 00:31:14)

十六夜ノノミ> いいんですか？それだったらぜひ聞かせていただきたいです♡（こっちはぱぁって顔を輝かせて）   (2022/11/25 00:31:46)

十六夜ノノミ> あ、その気持ちわかります。はじめて来たのはつい最近なんですけど、それからずいぶんお邪魔させてもらってる気がします（千束さんにうんうんと頷いて）   (2022/11/25 00:34:00)

後藤ひとり> で、では………少しだけ演奏しますね………(ギターを取りだして少しだけギターを弾いて流行りの曲を演奏して言って)   (2022/11/25 00:34:12)

クレー> ギターの弦って、さわっても指切らないのかなぁ？(指先ぷにぷに)、でもひとりお姉ちゃんたっくさん練習してるんだもんね。すごいなー♡(ぷにぷに♡)   (2022/11/25 00:34:16)

小春六花> おー、陰なる私頑張れー。   (2022/11/25 00:34:23)

後藤ひとり> わたしも……バンド帰りに友達作るために来るの……ありかも   (2022/11/25 00:34:30)

クレー> クレーも初めて来てから、ここによくくるんだぁ♡ここのお部屋の雰囲気がクレー好きなのっ♡   (2022/11/25 00:35:15)

後藤ひとり> 怪我はしないように……調整してますよ……たまに忘れて怪我する時もありますけど……(指先をぷにぷにされてあわあわと)   (2022/11/25 00:35:30)

錦木千束> がんばれ〜、若人よ〜……。(混ざろうかどうか迷ってそうな子を誘うでもなく、面白そうに…によによと見つめ)   (2022/11/25 00:36:02)

錦木千束> 私もつい…昨日かなぁ？んま、前々から気になってはいたけどねっ。ほらぁ、なんだ。前を通ったら声がさ。色々聞こえて……。きゃー、はずかしはずかし！(わざとらしく両手で顔を覆い、首を横にぶんぶんっ。)   (2022/11/25 00:37:42)

十六夜ノノミ> わぁ…♡こうやって近くで演奏してもらうのって、ネットとかで聞くのとはなんだか違う感動がありますね…♡（ぱちぱちぱちぱち。演奏の邪魔にならないように小さめに拍手をして）   (2022/11/25 00:37:48)

後藤ひとり> 千束さんも若いのでは……それに……手が何となく鍛えられてるような気がします……楽器とか演奏したことあるんですか？………(千束の指をじっと見てそういい…)   (2022/11/25 00:38:20)

後藤ひとり> は、は、い……喜んで頂いて何よりです………お、お金は取らないのでご安心を……なにか引いて欲しい曲があれば……言ってくれると嬉しいです……(本当はダンボールに隠れてしたいけど何とかこらえて演奏しきり)   (2022/11/25 00:39:57)

十六夜ノノミ> わ、そうなんですね。私は一昨日にはじめてお邪魔させてもらったのでほとんど同じような時にきたんですね♪私の場合はふと見かけてふらーってきたかんじだったんですけど……昨日はどんな声がきこえていたんでしょう（こてんと首を傾げて、昨日千束さんと一緒にいたっぽいひとりさんをちらり。）
  (2022/11/25 00:40:19)

後藤ひとり> き、昨日はそこまで声が出るほどの事はしてないですよ！？   (2022/11/25 00:40:54)

おしらせ> アリアルさんが入室しました♪  (2022/11/25 00:41:12)

アリアル> やぁ、アリアルさんだよ。今日は賑やかだね   (2022/11/25 00:41:26)

クレー> こえ…？なんのことかなぁ？クレーわかんないや、えへへ   (2022/11/25 00:41:28)

小春六花> やっほー。（手をふりふり   (2022/11/25 00:41:42)

クレー> アリアルお姉ちゃんこんばんはっ(おててふりふり)   (2022/11/25 00:42:00)

後藤ひとり> こ、こんばんは   (2022/11/25 00:42:03)

十六夜ノノミ> こんばんわ～。はじめまして、十六夜ノノミと申します。よろしくお願いします～（ぺこりと頭を下げた後でにっこりと）   (2022/11/25 00:42:35)

錦木千束> まぁまぁ、今日はさ。素敵な音色が聞こえてくる〜って事で……！(ふふん。)え？ほら！綺麗な手でしょー？(ば、っと手を広げて開いたり閉じたり。)およ、こんばんはぁ〜。   (2022/11/25 00:42:44)

後藤ひとり> 綺麗ですね………はい。それに千束さんはボーカルとかも似合いそうです……声キレイですから………(手をまじまじ見ながらそう呟いて)   (2022/11/25 00:44:20)

十六夜ノノミ> ふふ♪何かはあったのかもしれませんね～（ひとりさんとクレーちゃんの様子に笑みを浮かべると、なでなで）   (2022/11/25 00:44:28)

小春六花> 大丈夫、ひとりちゃんだって歌える歌える。同じ声の私が言うんだからもーまんたいっ。   (2022/11/25 00:44:49)

クレー> あっ、そうだよね！ひとりお姉ちゃんと小春お姉ちゃんってちょっと声似てるっ、というか同じ！？(えっとびっくり顔)   (2022/11/25 00:45:36)

小春六花> 同じ声で、同じ楽器やってる。   (2022/11/25 00:46:26)

十六夜ノノミ> あ、確かに千束さんって歌ってる姿が似合いそうですね～。ステージの上にいる姿が浮かんできちゃいます♪（両手を合わせて思い浮かべて）わ、そうなんですか。それはすごい偶然というか……すごいですね～（ひとりさんとこはるりさんを見比べて。語彙力。）  
(2022/11/25 00:47:13)

クレー> ノノミお姉ちゃんのおてても触ってみてもいーい？♡   (2022/11/25 00:48:18)

後藤ひとり> い、言われてみれば………似てますね………でもボーカルはもう既にいるので大丈夫ですよ……   (2022/11/25 00:48:23)

十六夜ノノミ> はい、いいですよ。どーぞ♪（クレーちゃんに広げた両手を差し出して）   (2022/11/25 00:49:06)

アリアル> ああ、よろしくね。うむ、確かに…   (2022/11/25 00:49:20)

錦木千束> んぁ。うん。歌っちゃえ。私、応援するよ、めいっぱい！私?歌かぁ……ん〜…やりたくなったらやろっかなぁー……。(想像してみると割と楽しそうではあるけど、色々と前準備や後処理が面倒なことになりそう。顎に手を当て宙を見つめ。)   (2022/11/25
00:50:32)

クレー> えへへ♡クレーこのおててにいろいろ…//ふふ、ぷにぷに♡(ちょっと違う意味でうれしそうにぷにぷに触ってる)   (2022/11/25 00:50:49)

小春六花> ニコニコにぼっちちゃんカバー（私）の動画も結構あるからぜひ見てくれよなー？（だらんこふ   (2022/11/25 00:52:45)

後藤ひとり> 私はギターだけですからね……それ多分やらないやつですね………楽しいので少しやるだけでもいいので……(千束さんを見て苦笑しつつもそう言い)   (2022/11/25 00:54:04)

後藤ひとり> せ、宣伝をしていった……！   (2022/11/25 00:54:24)

十六夜ノノミ> ふふ♡クレーちゃんの手はちいちゃいですね（嬉しそうさわっているクレーちゃんのぷにぷにの手。こっちからもふにふにって触ってみて）   (2022/11/25 00:54:49)

錦木千束> うん、多分やんない！(にっこり。笑顔です。)   (2022/11/25 00:56:31)

小春六花> 宣伝大事よー？バンド仲間だしねー。ね？（なにが「ね？」なのか）   (2022/11/25 00:56:37)

十六夜ノノミ> そしたら、まずはカラオケでー、とか。そういうところなら気負うこともないと思いますし（なんだか難しそうな顔をしている千束さんにくすくす笑って）   (2022/11/25 00:56:54)

クレー> ひとりお姉ちゃんは楽器をさわって…クレーはボンボン爆弾♪この手で手入れとかしたり、ばくだん投げてどかーんとかするんだよ♡   (2022/11/25 00:57:45)

後藤ひとり> すごい満面の笑みで言われました……まあ無理にはすすめないです……演奏の時だけ来てくれればそれでいいです…(ガーンとなりつつもそう言い)   (2022/11/25 00:59:53)

後藤ひとり> ば、爆弾を投げる………！？小さい少女なのになんてことを……   (2022/11/25 01:00:14)

十六夜ノノミ> そういえばクレーちゃん、火がどうのって言っていましたっけ。爆弾ってきちんと扱わないと大変なことになっちゃいますから、クレーちゃんはすごいですね♡（にこー）   (2022/11/25 01:00:26)

錦木千束> お…！いいねいいねぇ〜！カラオケ！ノノミもよく行くのー？私、こう見えて割といそがしいからさぁ。中々そ〜いう時間はとれないんだよなぁー。(クレーとひとりとノノミが手を触ってるなら…？それなら私は、真隣のノノミにハグっ、としてやりましょうか！)ってことで、ひとりもカラオケなら歌えるんじゃない？
  (2022/11/25 01:02:20)

クレー> そう！クレー炎元素が使えるのっ♪(神の目をちゃらっとみんなに見せて)、この力でボンボン爆弾を投げて悪い魔物とかどかーんするんだぁ。   (2022/11/25 01:02:29)

クレー> カラオケ♪クレーも歌えるかなぁ   (2022/11/25 01:03:27)

後藤ひとり> か、からおけ……そ、そんな陽キャが集まるところに私が来たら……！溶けてしまいます！………や、やりますけど………   (2022/11/25 01:03:53)

後藤ひとり> 凄いですね……小さいのにちゃんとしてます……戦える女の子……すごい……   (2022/11/25 01:04:24)

十六夜ノノミ> そんなに頻繁ではないですけど、同じ学校の人たちといきますよ～。ふふ、そしたら時間があったときにみんなでぜひ行きましょう～、みんなで一緒に♪（千束さんに頬をよせて、すりすり♪）クレーちゃんも、ひとりさんも…こはるりさんとアリアルさんはいかがですか？
  (2022/11/25 01:05:48)

後藤ひとり> な、何を歌えばいいんでしょう……(わなわな)   (2022/11/25 01:06:50)

クレー> 今度クレーがこのお部屋一番にきたら、カラオケに設定変えとこうかな♡お部屋のルールにもそう書いてあったし♪   (2022/11/25 01:07:08)

十六夜ノノミ> そういうものがあるんですか…不思議ですね～（クレーちゃんがもっているものをまじまじと見つけて）でも、怪我とかしないように気をつけてくださいね？必要な時は私も援護射撃しますから～   (2022/11/25 01:07:48)

クレー> 援護射撃っ！？(ええっ！)ノノミお姉ちゃんも何か武器が使えるの…？   (2022/11/25 01:08:26)

十六夜ノノミ> わかる歌でいいんですよ～。ひとりさんは音楽をやっていますし、いろんな歌を知っていそうです   (2022/11/25 01:09:29)

錦木千束> 行ってみたら案外楽しいかもよ？ほら、じゃあ〜……私がめをつむって、適当に選んだ曲を雰囲気で歌うとか！(名案とばかりに目を輝かせ。頬をすりっ…とされたら意外そうに目を丸め、そのまますりすり。)   (2022/11/25 01:09:32)

アリアル> ふむ？悪くないね、レパートリーはやや偏っているかもしれないが   (2022/11/25 01:09:37)

後藤ひとり> ま、まあ……歌えるかはともかく知ってる曲はそこそこ………   (2022/11/25 01:09:57)

小春六花> 大丈夫、私はカバーソングもめっちゃ歌ってる……ひとりちゃんも便乗すれば、うん。　   (2022/11/25 01:10:10)

錦木千束> こはるりの歌に口パクあわせたら、実質ひとりが歌ってることになるよなぁ…(？)   (2022/11/25 01:11:17)

後藤ひとり> わ、私がボーカルに……   (2022/11/25 01:11:41)

十六夜ノノミ> あ、はい～。普段はガトリングを愛用してますよ～（クレーちゃんにこくりと頷いて）あ、そうやって曲を決めるのも楽しそうですね～。誰も知らなくても、それはそれで楽しめそうです♪（ふふー。すごく楽しそう。身体もぎゅって押し付けて）  
(2022/11/25 01:12:01)

クレー> ガトリング……すごいっ、クレーとノノミお姉ちゃんのふたりなら無敵だねっ☆   (2022/11/25 01:13:18)

クレー> クレー何歌おうかなぁ。うーん   (2022/11/25 01:13:54)

後藤ひとり> が、がとりんぐ……！？ここには武器を扱うやばい人の集まり………スラム街……ち、治安が………(可愛い顔してなんていかつい武器をとわなわなぶるぶる)   (2022/11/25 01:14:03)

十六夜ノノミ> ふふ、そうですね♪悪い人たちはどかーんって二人でやっつけちゃいましょう♡（にこー♡）なんの武器もなかったら、銃撃戦に遭遇したときとか困っちゃいませんか？（きょとん。首傾げて）   (2022/11/25 01:15:48)

錦木千束> だいじょーぶだいじょーぶ。非戦闘区域のはずだよ。多分？にしても、あんな重火器一人で振り回すのはスゴイなぁ…。うん、まぁー…そういうのは使わないのが一番なんだけどね。(ちょっぴり難しい顔。むぎゅむぎゅ、っと身体押し付け合い、ふわふわしてきて)  
(2022/11/25 01:16:29)

後藤ひとり> 戦闘に放れてません……ふ、普通は銃撃戦に遭遇しませんから………！そんなのは漫画やアニメの世界だけですよ………ち、千束さんの言う通り……平和的に行きましょう(銃を使ったり撃たれたりなんて無理です………)   (2022/11/25
01:19:07)

小春六花> でもひとりちゃんきらファン   (2022/11/25 01:20:25)

後藤ひとり> あ…………   (2022/11/25 01:21:00)

十六夜ノノミ> クレーちゃんは、歌うものに迷ったら一緒に歌いましょうね♪（にこー。）私の住んでるあたりでは街を歩くと良く遭遇しちゃうんですよねー。学校にもよく暴徒が押し寄せてきたりしますし。でも、誰かが死んじゃったりとかそういう事はないので安心してください♪（難しそうな顔をしている千束さんに、こっちからもぎゅーって抱き着いて）
  (2022/11/25 01:22:08)

クレー> ひとりお姉ちゃんも戦えるのー？じゃあ、クレーがひとりお姉ちゃんをえんごするっ！ボンボン爆弾っ♪   (2022/11/25 01:22:12)

クレー> えへへ、デュエットっていうんでしょ♪クレーノノミお姉ちゃんと一緒に歌う♡   (2022/11/25 01:24:04)

後藤ひとり> い、異世界で戦った経験があるだけですよ……現実の私は何も使えません……ち、ちなみに千束さんや六花さんは戦えるんですか？………(さすがにこれ以上はいないですよね………と)   (2022/11/25 01:24:05)

小春六花> わたしはーむーりー。スクーター走らせることと、ラジオのMCすることと、歌うことと、踊ることと、ギター弾くことくらい？   (2022/11/25 01:26:06)

錦木千束> うん、悪いやつでも捕まえられるに越したことはないよね！(ぎゅーぅ…とノノミと抱き合い。ぬくめな体温伝わり頬がふにゃりと。)私ぃー……？戦えるっていうか。戦う？っていうか……鎮圧……？(ひとりの問に言葉を選び、しどろもどろになりつつ答え)  
(2022/11/25 01:26:11)

小春六花> あ、私もバンドでギターやってまーす。（おそろーい）   (2022/11/25 01:26:31)

十六夜ノノミ> ふふ、その時はよろしくお願いしますね。クレーちゃん♡   (2022/11/25 01:26:45)

後藤ひとり> 鎮圧……それも余り変わらない……さ、最近の若い女の子は戦闘がブームなんですか！？…………(千束さんまでそっち側でした！とビクビクしつつ後ずさり)あ、バンド仲間でしたかそれと非戦闘員仲間……   (2022/11/25 01:28:58)

十六夜ノノミ> さて。そしたら私は明日の学校にそなえてそろそろお休みさせていただきます。今日はありがとうございました♪（もう一度千束さんをぎゅーって、温盛と柔らかさを伝えてから立ち上がって）   (2022/11/25 01:30:13)

錦木千束> お疲れ様ぁ〜   (2022/11/25 01:30:28)

十六夜ノノミ> バンド要員であり戦闘経験もあるひとりさんが最強にみえます……（じぃ。）   (2022/11/25 01:30:48)

後藤ひとり> あ、はいお疲れ様です   (2022/11/25 01:30:52)

クレー> あっ、うん♡今日もきてくれてありがとう(ノノミお姉ちゃんぎゅー♡)またきてねー、おやすみなさいっ   (2022/11/25 01:30:54)

錦木千束> ひとりだって若いじゃん！(じとり。)   (2022/11/25 01:30:58)

後藤ひとり> せ、戦闘経験は異世界でしただけです！   (2022/11/25 01:31:01)

十六夜ノノミ> 私の方こそ、今日もお話してくれてありがとうございます♪（クレーちゃんいぎゅーってして、おでこにちゅ♡）   (2022/11/25 01:31:34)

小春六花> そーそー、風校で軽音部やっててね、そこでギター！   (2022/11/25 01:31:53)

後藤ひとり> わ、私は皆さんと違って無力ですから！……(ガタガタ)   (2022/11/25 01:31:55)

クレー> にゃっ♡クレーもおかえしだよっ、ちゅつ♡   (2022/11/25 01:31:57)

小春六花> おつかれさまー。   (2022/11/25 01:32:00)

後藤ひとり> 仲間ですね……   (2022/11/25 01:32:03)

