/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月19日 01時24分 ～ 2023年03月20日 20時06分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

後藤ひとり> なら行ってらっしゃいです♪待ってますね   (2023/3/19 01:24:05)
五十鈴れん> こ、こんにちはです…思ったより全然、早く用事が終わりました…お昼まで1時間くらいです…微妙に半端です…はい（お部屋の隅のソファへと腰を落ち着けると、長い前髪の隙間から瞳だけ動かして時間を確認します…）   (2023/3/19 10:47:20)

おしらせ> 十六夜ノノミさんが入室しました♪  (2023/3/19 11:21:18)

おしらせ> 桜衣乃さんが入室しました♪  (2023/3/19 11:21:51)

十六夜ノノミ> こんにちわ～、午前中からお疲れさまです～……と思ったら。衣乃さんもこんにちわ～（れんさんに挨拶…とおもったら衣乃さんの気配を感じて、そちらにも挨拶を）   (2023/3/19 11:22:50)

桜衣乃> 上は……なんだかセイカちゃんとシルヴィちゃんでいい雰囲気だったのでこちらに……♡　あ、れんちゃんはさっきぶりで、ノノミちゃんはこんにちは〜♡ちょっと添い寝してきたイノですよ〜♪（と、奥のお部屋から出てきて…♪）   (2023/3/19
11:23:41)

五十鈴れん> あっ…ノノミさんお久し振りです。元気でしたか？今日はお休みですか？ノノミさんも何時も忙しそうですから…（久しい顔を見られれば頬を緩ませて、ソファから立ってお出迎えしました…）   (2023/3/19 11:24:32)

おしらせ> ジャックザリッパー ◆i6fJKa45IIさんが入室しました♪  (2023/3/19 11:24:40)

おしらせ> 天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄさんが入室しました♪  (2023/3/19 11:24:44)

ジャックザリッパー ◆> ふああ・・・おはよー・・・   (2023/3/19 11:24:53)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 寝ようと思ったら人集まるんだから…もぉ……。顔出さないわけにゃいかんでしょうに(もそもそ   (2023/3/19 11:25:05)

十六夜ノノミ> はい、元気でやってますよ～♪やっぱり時期的にまだしばらくは忙しいんですけど。伊野さんも朝からお疲れさまです～……と、思ってたら続々と集まってきましたね。みなさんこんにちは～♪（にこーっと微笑みながら手をふりふりー）   (2023/3/19
11:25:56)

五十鈴れん> 衣乃さんもお帰りなさい。あっ…カールスルーエさんと添い寝してたんですね。ジャックさんもガヴさんもこんにちはです…はい（急に人が一気に増えて、挨拶追いつかなくて瞳ぐるぐるです…）   (2023/3/19 11:26:05)

桜衣乃> おっと、ジャックちゃんにガヴリールちゃんも♪こんにちは〜♪　…あらあら、おふたりは眠たそうですね…♪   (2023/3/19 11:27:10)

ジャックザリッパー ◆> 起きたばっかりだからねー・・・（強く首をふって眠気を覚まそうとして）   (2023/3/19 11:27:44)

五十鈴れん> 年度の節目ですから…色々大変だと思いますけど、身体には気を付けて下さい。それでもノノミさんの姿は前より少しづつ見かけてた感じなので…また会えて嬉しいです…えへへ（こくこく…）   (2023/3/19 11:28:07)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> まぁあたしは体調崩して。今から寝ようかと思ってたとこ…けど。できそうなうちにみんなに挨拶しとこ〜かなと思ってさ～   (2023/3/19 11:28:08)

桜衣乃> 衣乃は衣乃ですよお、ノノミちゃん〜。　…ふふ、昨日は静かでしたが、今日みたいに賑やかにいっぱい集まることもあって……なんとなく、楽しいですね♪   (2023/3/19 11:28:15)

桜衣乃> 寝起きのジャックちゃんと、寝る前のガヴリールちゃんですか♪　ふふ、せっかくのおやすみですから、ガヴリールちゃんはよく寝て体調を治してくださいね。お大事に〜……   (2023/3/19 11:29:37)

十六夜ノノミ> お休みの日はこれくらいの時間までねちゃいますよね～。私もさっきまで寝ていたところです。はい～、私もこうしてれんさんにお会いできてうれしいですよ～♪（にこー）   (2023/3/19 11:29:47)

ジャックザリッパー ◆> うんうん、休みの日はいっつも起きるの遅いんだよねー、うちの背後も・・・   (2023/3/19 11:30:23)

五十鈴れん> ジャックさんは起きたばかりで、ガヴさんは寝るところですか…今日、お休みなら…2人とものんびり休めるといいですけど…はい   (2023/3/19 11:30:32)

十六夜ノノミ> あら…ガヴリールさん大丈夫ですか？季節の変わり目ですし、気を付けて……ゆっくりおやすみしてくださいね？   (2023/3/19 11:30:50)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> あたしはほら、明日から来れないからさ～。その内に挨拶できなかったら申し訳なさの極み～って感じになっちゃうから。うん。ここにいるみんなはとりあえずいっぱい世話になった思い出あるから。そんな感じ…(ただの季節の変わり目偏頭痛だろうけど…。って顔)
  (2023/3/19 11:32:31)

五十鈴れん> ノノミさんと昼間にお話するのは初めてです…日曜だからですね。寝惚けてませんか？そろそろ目を覚まさないと休日を無駄にしちゃいます…はい（ノノミさんの頬に冷えた手の平を軽く当てて、目を覚ませちゃいます…）   (2023/3/19 11:33:31)

桜衣乃> ノノミちゃんも今起きでしたか？　ふふ、私は夜寝て朝起きる生活ですから、こうして夜お仕事で朝寝る人たちや、生活リズムの違う子とのお話は楽しいですね〜♪　…あ〜〜〜、ガヴリールちゃんはそんな時期でしたね…。とっても、お疲れ様です♡私がガヴリールちゃんの手助けになれたなら幸いですよ♡落ち着いたらまた、遊べるといいですね……♪
  (2023/3/19 11:33:52)

ジャックザリッパー ◆> （自分の紅茶を入れてソファーに座り込み飲み始めて）   (2023/3/19 11:34:42)

十六夜ノノミ> ガヴリールさん、わざわざありがとうございます♪お互いにおちついたらまたお話とかしてくださいね～   (2023/3/19 11:35:03)

五十鈴れん> ガヴさん、明日から来れないんですか？暫くの間…みたいな感じでしょうか？戻って来れるなら…その時はまたお話して下さい…（こくこく…）   (2023/3/19 11:35:58)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 正直、待ち合わせ部屋に日程はチラホラあげてくつもりだけど、23に帰ってきてからも、ほんと遊べる余裕はなさそうで、もうこのまま流れで就活終わるまで～。な流れが気がして。だから、今日のうちに声掛けれるぶんは声掛けとこうかなって。せっかくお休み頂いちゃったし。(ぐでぇ
  (2023/3/19 11:36:29)

十六夜ノノミ> 基本的に平日は学校ですから、お昼にはこられないんですよね～。土日もなんだかんだ洗濯とか掃除とか買い物とかがあるんですけど、今日はちょっとだけ時間があいて…そこでれんさんのお姿を見かけたので、こうしてきちゃいました♪（当ててくれる手にすりすりって額をすりつけて）
  (2023/3/19 11:37:22)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> わかんないよぉ？そのまま当分。って言って、もうここに来なくなるかも知んない…(なんて、そんなのはなさそうだけど一応冷やかしに～。)結局話しつける話も出来ずじまいだからモヤモヤしてるけど、時間は待ってくれないし、仕方ないや～。と。
  (2023/3/19 11:37:35)

桜衣乃> 自分の都合を最優先に♪　私にできることはみなさんの癒やしと応援を送るくらいですから……　来たいときに、来れるときに来ていただいていいんです♪　お忙しいときはそちらに集中してくださいね〜   (2023/3/19 11:40:45)

五十鈴れん> あっ…そうなんですね。私は逆でお昼までが時間ある事が多いです。その代わり帰りが遅いですけど…はい。ノノミさんも休日、ゆっくり過ごして下さい。あ…ありがとうございます、私の方がなかなかノノミさんを見つけられないので…嬉しいです（柔らかいノノミさんの頬を優しく擦りますっ…）
  (2023/3/19 11:40:51)

十六夜ノノミ> ふふ、衣乃さんも相変わらずですね♪でも衣乃さんもご自身がお忙しい時は無理はしないでくださいね～。この部屋のみんな、衣乃さんのことを大切に思っていると思いますから～   (2023/3/19 11:42:49)

五十鈴れん> 確かに顔を出さなくなる切っ掛けって些細な事です…少し離れて他に夢中になれる事ができたら、自然と足が遠のきますから。また全部、落ち着いた後でもいくらでも時間はあると思いますから…はい（ガヴさんの髪を手櫛で梳かして、目を細めます…）  
(2023/3/19 11:43:14)

ジャックザリッパー ◆> （紅茶を飲み終えると横になり、うつぶせになって足をばたばたさせて）   (2023/3/19 11:44:36)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> それはお互い様にな～。衣乃だって最近はかなり疲れてそうじゃんか～。癒しになれてるかわかんないけど。あたしは衣乃のことかなり癒しと思ってるから、また来た時は癒してくれよ～…？(くす。   (2023/3/19 11:44:44)

十六夜ノノミ> えへへ…じゃあこうして会えることはラッキーでしたね♡ご存知のとおり最近こられること自体少ないですから見つけられないのも無理ないです。でも時間があうときがあれば、こうやって仲良くしてもらえると嬉しいです♡（にこーと微笑んで、こっちからレンさんの頬に手をあてて、軽く撫でて）
  (2023/3/19 11:45:01)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> まぁ、あたしはどこまで行ってもチャットから趣味を離すことは無いと思うし。その時にちゃんと会えたら、にはなると思うけどな～……。んぅぅ。時間捻出できるなら、今日か明日本当は遊びたいとこなんだけど…。明日どうなんだろ…半日が飛行機移動だから正直分からないがいちばん強い(れんに頭撫でられながら、こくん。こくん。)
  (2023/3/19 11:46:14)

五十鈴れん> 衣乃さんはいつ顔出しても居てくれる安心感ありますから…誰も居なくても衣乃さんは居てくれる…なんて、心の何処かで思ってます。だからこそ数日、見ないと大事件なのですけど…   (2023/3/19 11:46:16)

桜衣乃> もちろんですよ〜♪…私の場合は、お仕事を頑張るためのエネルギー源はみなさんからもらってますから、私のことはご心配なく♡あんまり忙しくて、顔を出せないこともご愛嬌…♪　……え〜……、私がいなかったら…ですか……？そんなふうに思われてるんですか私……。
  (2023/3/19 11:47:47)

五十鈴れん> えへへ…ノノミさんの手、暖かいです…♡また時間があったら私にも膝枕、させて下さいね。こ…こちらこそ、会えたらのんびりお話させて下さい…はい（火照った頬の熱が手の平に伝わるのを恥ずかしそうに俯くと、嬉しそうに頷きます…）   (2023/3/19
11:51:47)

五十鈴れん> ご…ごめんなさい、私はお昼の用意があるのでこの辺で失礼します。お話、ありがとうございました、皆さんも良い休日をです…はい（手を振ってぱたぱたと退室しました…）   (2023/3/19 11:54:41)

おしらせ> 五十鈴れんさんが退室しました。  (2023/3/19 11:54:47)

ジャックザリッパー ◆> お疲れ様ー   (2023/3/19 11:54:59)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> お疲れ様～。またね～、れん。(ふりふり手振ってお見送り～   (2023/3/19 11:55:09)

十六夜ノノミ> れんさんにもきちんと覚えてますからね♪膝枕もお話も、どっちもしちゃいましょうね♪こちらこそありがとうございました。れんさんも良い一日をおすごしくださいね～♪   (2023/3/19 11:56:14)

十六夜ノノミ> そして私もそろそろ時間なので失礼させていただきます。それではまた～…ガヴリールさんはお大事に～（ぺこりとお辞儀をして、手をふりながら外へ）   (2023/3/19 11:57:30)

おしらせ> 十六夜ノノミさんが退室しました。  (2023/3/19 11:57:36)

ジャックザリッパー ◆> お疲れ様ー   (2023/3/19 11:57:42)

桜衣乃> はーい、れんちゃんもノノミちゃんもお疲れ様でした……♪   (2023/3/19 11:58:12)

桜衣乃> さて……では、私もちょっとご飯を作ってきますから、いったん離席ですよ。   (2023/3/19 11:58:52)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> お疲れ様～っと。そろそろみんなお昼かぁ…あたしも、ぼちぼち眠気きそうだしねてたらごめんなぁ   (2023/3/19 11:59:18)

ジャックザリッパー ◆> 私もでよっかな・・・またね   (2023/3/19 11:59:34)

おしらせ> ジャックザリッパー ◆i6fJKa45IIさんが退室しました。  (2023/3/19 11:59:36)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> お疲れ様～   (2023/3/19 11:59:52)

桜衣乃> よいしょ……　いえいえ、ガヴリールちゃんも…連日お疲れ様ですよ…♪いつでも寝落ちでも、寝てもらっても大丈夫ですから……　また、落ち着いたときにでも、気分を変えたいときにでも、遊びに来てくださいね♪   (2023/3/19 12:03:30)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 衣乃もお疲れ様ぁ…。まだ寝ないよぉ。せっかく話してるから。できる限り起きてたい…幸い明日飛行機の移動中は寝れると思うし。今日明日、どっちが遊べたら大部屋でちょっぴり遊びたいなぁ…って。考えてる。地下使うかもしれないから。合いそうなら、遊ばない…？(つん、つん。ほっぺ突っついて)
  (2023/3/19 12:07:36)

おしらせ> 中野三玖 ◆WY5HuZnICQさんが入室しました♪  (2023/3/19 12:08:01)

中野三玖 ◆> …ぁ…(タイミング最悪だったかも…)   (2023/3/19 12:08:19)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> いらっしゃ～い。タイミングなら大丈夫だから気にせずおいでよ～   (2023/3/19 12:10:12)

おしらせ> 堂領姫子さんが入室しました♪  (2023/3/19 12:13:58)

堂領姫子> …こんにちは   (2023/3/19 12:14:18)

中野三玖 ◆> こんにちは…   (2023/3/19 12:16:11)

桜衣乃> んしょ……。あら、みなさんもこんにちは♪ちょっとバタついててお返事できないかもですが……   (2023/3/19 12:16:26)

堂領姫子> 大丈夫ですよ、こんにちは   (2023/3/19 12:16:41)

桜衣乃> カヴリールちゃんは……ふふ、じゃあ今は寝て……あとで、夜辺りに地下に、って感じでしょうか？私はいいですよ♡お仕事を前に、一緒に遊びましょう♪   (2023/3/19 12:17:20)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> おぉ、お昼食べてるうちに来てた。いらっしゃ～い   (2023/3/19 12:18:24)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ん、とりあえず食べてて眠くなってくるくらいだからお昼寝はとるぅ。今日夜来れたら来るね。明日は上手く行けば来れる…かなぁと思う。(こくん。)   (2023/3/19 12:18:59)

堂領姫子> こんにちは   (2023/3/19 12:20:41)

堂領姫子> 三玖さんに衣乃さんにガヴリールさん、ですね。みちほから皆さんの事はお聞きしていますよ   (2023/3/19 12:23:10)

中野三玖 ◆> …うん…(もそ…)   (2023/3/19 12:24:52)

堂領姫子> （三玖さんつんつん）   (2023/3/19 12:25:46)

中野三玖 ◆> ……うん…？   (2023/3/19 12:26:21)

桜衣乃> あうーっ……お昼ごはんだけじゃなくて、他にも…！ごめんなさーい、また今度…！ガヴリールちゃんは……起きたら地下室に行っててくださいね〜！私は19時からたぶんいますので…！   (2023/3/19 12:27:33)

桜衣乃> それでは、みなさんお疲れ様です…♡三玖ちゃんと、…はじめまして♡のお姉さんも、またお会いしましょう…♪それでは……。   (2023/3/19 12:28:22)

堂領姫子> あ、いえ。話すきっかけが欲しくて、つい   (2023/3/19 12:28:39)

おしらせ> 桜衣乃さんが退室しました。  (2023/3/19 12:28:40)

堂領姫子> お疲れ様です   (2023/3/19 12:28:48)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> いってらっしゃ～い♪またねぇ。あ、うん、起きて時間ありそうなら顔出しに行ってると思うから～(こくこくん、ふりふりー   (2023/3/19 12:29:16)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ん、みちほの友達？？よろしくね～？(おててふりふり   (2023/3/19 12:29:30)

堂領姫子> はい、私は堂領姫子です。みちほは友達ですね。よろしくお願いしますね   (2023/3/19 12:31:06)

中野三玖 ◆> またね。あ   (2023/3/19 12:33:47)

中野三玖 ◆> んっんん…衣乃…   (2023/3/19 12:35:15)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> そかそか。じゃあ改めてよろしく～、だなぁ(こくんこくんって頷きながら   (2023/3/19 12:37:42)

堂領姫子> ふふっ、こちらこそよろしくお願いします   (2023/3/19 12:40:12)

中野三玖 ◆> (ねむ…ねむ…)   (2023/3/19 12:46:42)

堂領姫子> 三玖さんは眠そうですね   (2023/3/19 12:47:09)

中野三玖 ◆> 指切った……(包丁)   (2023/3/19 12:50:38)

堂領姫子> み、三玖さん！手当て手当て！   (2023/3/19 12:54:53)

おしらせ> 無言時間が25分を超えたため、天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄさんが自動退室しました。  (2023/3/19 13:03:06)

堂領姫子> あら、お疲れ様です   (2023/3/19 13:03:25)

中野三玖 ◆> …どうでもいいなって   (2023/3/19 13:04:06)

堂領姫子> 駄目ですよ、ちゃんと手当てしないと…ほら、傷口を見せてください？   (2023/3/19 13:04:47)

中野三玖 ◆> ……はい   (2023/3/19 13:07:29)

堂領姫子> ああ…まあまあ切っちゃってるじゃないですか…とりあえず血を洗い流して消毒しないと。少し痛いですけど我慢してくださいね？（三玖さんの手をそっと取って水道のほうへ向かおうと）   (2023/3/19 13:11:24)

中野三玖 ◆> …うん。(染みるのは仕方ないけど…我慢しよう)   (2023/3/19 13:24:15)

堂領姫子> 私もみちほも心配してるんですから、どうでもよくなんかないですよ。（そっと優しい流水で血を流して、脱脂綿につけた消毒液をピンセットで近づけようと）   (2023/3/19 13:31:50)

中野三玖 ◆> ……いたっ……(ギュッと手を握りしめて、痛いのを我慢しようと…)   (2023/3/19 13:43:31)

堂領姫子> ごめんなさい、三玖さん。…消毒は終わりましたから。…はい、これで大丈夫です。（そっと絆創膏を貼って覆いをして手当てが終わって）   (2023/3/19 13:46:09)

中野三玖 ◆> …(血の滲む絆創膏をジッと見つめて)   (2023/3/19 13:46:50)

堂領姫子> …ごめんなさいね、三玖さん。痛かったですよね…（絆創膏を見つめる三玖さんが気になって、隣へとそっと向かって）   (2023/3/19 13:48:38)

中野三玖 ◆> …痛かったけど…大丈夫   (2023/3/19 13:51:49)

堂領姫子> すみません、三玖さん…よしよし   (2023/3/19 13:55:27)

中野三玖 ◆> …撫でなくてもいいよ   (2023/3/19 13:56:11)

堂領姫子> …そう、ですか…わかりました   (2023/3/19 13:59:27)

中野三玖 ◆> ……嫌なわけじゃないけど…うん…   (2023/3/19 14:00:54)

堂領姫子> わかりました、少しでも落ち着いていただこうかと思ったものでして   (2023/3/19 14:03:49)

中野三玖 ◆> ……(もぞ…)   (2023/3/19 14:06:26)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/3/19 14:07:56)

後藤ひとり> こんにちは……   (2023/3/19 14:08:16)

堂領姫子> こんにちは   (2023/3/19 14:08:25)
