/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2018年08月17日 17時11分 ～ 2018年08月20日 17時23分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

竹井 久> 【ちなみに部屋は継続して露天風呂のままよ】   (2018/8/17 17:11:26)
モードレッド> 唯一合ったやつがそれだからな他もそうじゃないかって思うんだよな（尻尾に手を伸ばして付け根をなでる）   (2018/8/18 00:01:30)

レム・ガレウ ◆> ///   (2018/8/18 00:02:53)

モードレッド> どうした？顔赤いぞ（にやにやしながら尻尾をゆっくり上下になでる）   (2018/8/18 00:05:56)

レム・ガレウ ◆> ハアハアおねがい   (2018/8/18 00:07:07)

レム・ガレウ ◆> 駄目です///   (2018/8/18 00:07:17)

モードレッド> お前もその口か（抱き寄せて甘噛みをする）ん   (2018/8/18 00:08:25)

レム・ガレウ ◆> （背負い投げ）   (2018/8/18 00:09:06)

レム・ガレウ ◆> 【補足ですが、シェラの声優さんとお誕生日一緒です】   (2018/8/18 00:09:54)

モードレッド> 【おーそうなんですか】   (2018/8/18 00:10:10)

レム・ガレウ ◆> 【はい】   (2018/8/18 00:10:22)

モードレッド> うわ、お前も戦えるタイプか（笑い少し引き締まった顔をして）前のあいつもそうだったし、お前も同じ口だな（前から抱きしめて足を回す）これならいいかな   (2018/8/18 00:11:37)

レム・ガレウ ◆> ///   (2018/8/18 00:20:04)

モードレッド> （そのまま耳を加えて尻尾をなでる）   (2018/8/18 00:21:22)

レム・ガレウ ◆> はあはあ   (2018/8/18 00:25:11)

モードレッド> 奴隷って言ってたなその容姿だご主人様にいろんなご奉仕してるんだろうな（尻尾を触った手はお尻をなでるようになり）   (2018/8/18 00:26:33)

レム・ガレウ ◆> 変態///やめて   (2018/8/18 00:31:33)

モードレッド> ん？やめてもいいのかその顔はやめないでって言ってるぞ（お尻を強めに揉み始め）ここに入ってきたんだ期待もあるだろ   (2018/8/18 00:32:53)

レム・ガレウ ◆> ありますけど、私には///   (2018/8/18 00:35:05)

モードレッド> 私にはなんだ？（耳の中に舌を入れて息をかけながら耳を犯す）   (2018/8/18 00:36:00)

レム・ガレウ ◆> 愛し合ってる人があ   (2018/8/18 00:37:30)

モードレッド> 思い人かならそいつの部屋に忍び込めばよかったな（お尻のきわどいところを触り）ここに入ったらそれは関係ないな   (2018/8/18 00:41:48)

レム・ガレウ ◆> （ピクン）   (2018/8/18 00:46:50)

モードレッド> ここに来たからには観念しな（そのまま横になって尻尾を咥える）   (2018/8/18 00:48:51)

レム・ガレウ ◆> いいいい   (2018/8/18 00:57:00)

レム・ガレウ ◆> （ぴく）   (2018/8/18 01:03:03)

おしらせ> 無言時間が20分を超えたため、モードレッドさんが自動退室しました。  (2018/8/18 01:09:21)

レム・ガレウ ◆> 寝ますね   (2018/8/18 01:10:09)

おしらせ> レム・ガレウ ◆yBxYs5wJysさんが退室しました。  (2018/8/18 01:10:16)

おしらせ> HK416さんが入室しました♪  (2018/8/18 01:45:29)

HK416> 眠いような…眠くないような……始めましてだけど、お邪魔するわ…。(少し遠慮がちに扉を開きながら、お部屋の内装を見渡すように中へ。その際に見つけたソファに腰を掛けると、ふぁぅ、と欠伸を一つ)   (2018/8/18 01:49:26)

おしらせ> リグル・ナイトバグさんが入室しました♪  (2018/8/18 02:08:21)

リグル・ナイトバグ> 何だか珍しい時間帯に人が――……珍しいかどうかも何だか久々な感覚だから判らないけれど。(お部屋の中、入ってみればソファで何だか眠たそうにしている人を見つけ。手を小さく振りつつ「こんばんは」と)   (2018/8/18 02:08:59)

HK416> ふぁあ………(こてん、ソファに寝そべって。思った以上にフカフカでこのまま眠気に引きずられそうな、そんな感覚に苛まれた時…)んー………あ(誰かいる。慌てて起き上がると、眠気を払うように首を振りつつ「こんばんは」と、小さく返して)  
(2018/8/18 02:13:43)

リグル・ナイトバグ> ――のんびりソファで寝そべってたりすると眠たくなっちゃうからね、静かだと余計に。(過去に似たような経験をした事がある故に頷いて一人納得していたり)…ある意味ではおはようでもありそうだね。(起き上がって、眠気を払うようにしてかあいさつをする相手に笑みを向け。とりあえず其方の方へと歩み寄っていき)
  (2018/8/18 02:16:12)

HK416> ……状況のせいもありましたが、これは悪魔のソファですね。簡単に寝れてしまいます。(うんうんと、賛同するように頷いて。)そう、ですね…時計の上ではもう午前中ですし。(壁掛けの時計を見やりつつ、くすりと微笑んで)…っと、お隣…どうぞ？(ぽんぽん。ソファを軽く叩いて誘導してみたり)
  (2018/8/18 02:20:58)

リグル・ナイトバグ> 油断した瞬間に私たちを睡魔という魔物と戦わせる恐ろしいソファだからね…。…そういえば時間で言えばもう午前中――だった。(うん。…おはようでもある意味当たってた様子)――と、それじゃお邪魔するね？(誘導されればその隣にぽすっと腰を掛け。…ああ、と)...自己紹介がちょっぴり遅れちゃった。私、リグル・ナイトバグ。(蛍の妖怪、という事も告げながら。呼び名が無ければ不便だろうと)
  (2018/8/18 02:23:21)

HK416> そう言えばそうでした…。と、リグルさんですね。私はHK416(ヨンイチロク)。どうぞ呼びやすいように呼んで頂いれば幸いです。(ちょっぴり頭を下げながらの自己紹介。こういう時アルファベットと数字だけの名前は不便ですね…。なんて付け加えつつ)
それにしても妖怪、ですか。確かに今の時間は丑三つ時ですし…リグルさんのような異形の方々の活動が活発になる、というのも本当みたいですね。(オカルトとか信じない方だったけれど、頭の触覚を見ればどこか納得したかのように手を叩いて)   (2018/8/18
02:31:49)

リグル・ナイトバグ> 416さんだね。割とそういう感じの呼び名の人は居たり居なかったり立ったりするけど、かと言って変に呼び方考えちゃうとそれはそれでこんがらがりそうっていうジレンマはあるよね……。ふふ、意識こそしてなかったけど妖怪の時間だからね今は。(触角に視線を向けられるならぴこぴこと動かして。流石に妖怪でも、いきなり脅かしたり食べにかかったりするような感じの妖怪じゃないから安心してね。って付け足して)
  (2018/8/18 02:35:43)

HK416> まあ、そうですね。任務上とかだと便利だったりするのですが…。それは分かっていました。リグルさんからは…何か優しい物を感じてましたので。(安心感、とでも言うのでしょうか。リグルさんの肩に頭を預けつつ、うっすらと微笑んで。)   (2018/8/18
02:42:34)

リグル・ナイトバグ> 任務とかそういう時にふっと呼べたりする名があったりすると色々と便利な場面は確かに。――…そ、そうかな？そういわれると何だか照れちゃうかも。(安心感、そういう形で言われてしまえば何処か照れた様子で。うっすらと微笑みながら肩に頭を預ける416さんを見てはちょっと手を伸ばし頭を撫でて)
  (2018/8/18 02:45:22)

おしらせ> ｼｽﾃｲｰﾅ･ﾌｨｰﾍﾞﾙさんが入室しました♪  (2018/8/18 02:47:49)

HK416> ん、ふふ…。妖怪さんでも照れたりするのですね。(だんだん妖怪のイメージ像が崩れつつあるけれど、まあそこは気にせずに。ほんのり甘い空気感を楽しむようにくすりと微笑んで。頭を撫でられると、少し擽ったそうに身を震わせ)と、こんばんはです。(新たな来客さんに軽く頭を下げて会釈してみたり)
  (2018/8/18 02:51:04)

ｼｽﾃｲｰﾅ･ﾌｨｰﾍﾞﾙ> こ、こんばんは   (2018/8/18 02:51:33)

リグル・ナイトバグ> 妖怪でも割と、この見た目だから大体人と変わらないし、ね。(甘い空気をこちらも楽しんで。身を震わせる様子を見ながら頬に少し触れつつ――)ん。こんばんはだね。(来客を見れば頭を小さく下げて)   (2018/8/18 02:52:42)

ｼｽﾃｲｰﾅ･ﾌｨｰﾍﾞﾙ> 【ちょっとごめんｃｃ】   (2018/8/18 02:55:57)

HK416> 確かに。言われるまで妖怪さんとは気付かないわけでしたし…(頬に触れられると、その手を取って自らの頬に押し当ててみたり。)   (2018/8/18 02:58:13)

おしらせ> ｼｽﾃｲｰﾅ･ﾌｨｰﾍﾞﾙさんが退室しました。  (2018/8/18 02:58:26)

おしらせ> レム・ガレウ ◆yBxYs5wJysさんが入室しました♪  (2018/8/18 02:59:02)

HK416> と、今度こそこんばんはですね。(また会釈してみて。)   (2018/8/18 02:59:46)

リグル・ナイトバグ> 実際問題多分、この触角が無かったら普通に人間だと勘違いされそうだからねぇ…。(自分の頭をちらり。…頬に押し当てられる形になれば指先を動かし擽って見せて)   (2018/8/18 03:00:14)

リグル・ナイトバグ> 改めてこんばんはって感じかな。(肩手をひらひら)   (2018/8/18 03:00:22)

HK416> でも…少々特集な服装をされてますよね。後から見たらそれこそ昆虫、という感じに見えますが(マント？の辺りをちらり。)ん…と、半分私から触らせてるようなものですが…少し手付きがいやらしくないですか…？やっぱりその、手慣れている感じなので…？(また擽ったくなると、今度は何かひとりでに紅くなって)
  (2018/8/18 03:05:42)

レム・ガレウ ◆> 今晩は、お待たせです   (2018/8/18 03:07:58)

リグル・ナイトバグ> ああ、このマントがそれっぽく見えるかも――…何の変哲もないマントだけれどね。(ちらりとマントを見て。割とこういう服装は珍しいかもしれない。意外と使い道は色々ありそうなマント)…あ、いやいや、つい。…手付きがやらしかったり、手慣れたりしているのは否定は、しないけど。(変に暈すよりかは素直に口にする方がある意味健全と判断。赤くなる様子を見ながら頬を指先で擦り)
  (2018/8/18 03:08:10)

HK416> っと、指揮官……いえ、私の雇い主が呼んでいるようです。そちらの猫耳の方とあまり話せなかったのが心苦しいですが…(ゆっくりと起き上がって。)また、機会がありましたらその際はお相手頂ければ幸いです。それでは今日はこの辺で。(失礼します、と軽く一礼。慌ただしそうにパタパタと駆け出して行って)【眠気の方が限界ですので落ちます…今日はありがとうございました汗】
  (2018/8/18 03:14:55)

おしらせ> HK416さんが退室しました。  (2018/8/18 03:15:04)

リグル・ナイトバグ> っと。お疲れ様だね。そして気付けば既に3時過ぎている事に気付いた私だった…。ん、それじゃ、そっちの人には悪いけれど私もそろそろ。(んーっと身体を伸ばして。はふーっと吐息を漏らし。おやすみなさい。って手をひらひらと振ってお部屋を後にしよう)
  (2018/8/18 03:17:20)

おしらせ> リグル・ナイトバグさんが退室しました。  (2018/8/18 03:17:27)

レム・ガレウ ◆> 【お疲れ様です】   (2018/8/18 03:18:41)

おしらせ> 無言時間が20分を超えたため、レム・ガレウ ◆yBxYs5wJysさんが自動退室しました。  (2018/8/18 03:38:44)

おしらせ> 竹井 久さんが入室しました♪  (2018/8/18 03:49:13)

竹井 久> おはよう。   (2018/8/18 03:49:51)

竹井 久> 【軽く見て回ったけど…あそこまで手当たり次第だったとはね…消して良かったわね】   (2018/8/18 03:54:55)

竹井 久> なんだか朝は肌寒いわね…   (2018/8/18 04:03:23)

おしらせ> 十六夜 咲夜さんが入室しました♪  (2018/8/18 04:53:09)

十六夜 咲夜> 【はじめまして】   (2018/8/18 04:53:29)

十六夜 咲夜> 【どなたかいらっしゃいますか？】   (2018/8/18 04:55:05)

竹井 久> 【おはよう。ごめんなさい、もう落ちないとなのでまた会ったらよろしくね】   (2018/8/18 04:55:59)

十六夜 咲夜> 【わかりました。】   (2018/8/18 04:56:20)

おしらせ> 十六夜 咲夜さんが退室しました。  (2018/8/18 04:56:23)

おしらせ> 竹井 久さんが退室しました。  (2018/8/18 04:56:30)

おしらせ> 九条カレンさんが入室しました♪  (2018/8/18 05:42:06)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2018/8/18 06:02:09)

おしらせ> クロエさんが入室しました♪  (2018/8/18 14:44:40)

おしらせ> 九条カレンさんが入室しました♪  (2018/8/18 14:51:30)

九条カレン> こんばんはデス！   (2018/8/18 14:51:40)

クロエ> とと、こんにちわー！　ここではあなたとあったっけ、あ、わたしクロエっていうの。よろしくね？   (2018/8/18 14:52:31)

九条カレン> えっと、中の人は面識あるデスが私はないデース！私は九条カレンデース！   (2018/8/18 14:53:31)

クロエ> 　(外の日差しから逃げるように室内へ入りソファでのんびり、くたー。　今日は薄いピンクのキャミソールワンピ。　桃色がかった銀髪をサイドテールにしつつ入ってきた人にご挨拶するように手をひらひら)　あ、なるほどなるほど、その手のメタは、うぅんちょっと反応しずらいわね！　まあいいけど。
  (2018/8/18 14:55:20)

九条カレン> おう、sorryデース！(まあ他に言う方法がなかったので仕方ないね。)兎に角よろしくお願いしますデース！(私の容姿……金髪ロングデース！)   (2018/8/18 14:56:50)

クロエ> 　うん、よろしくねー！　それにしてもアレよねー。連日うだるよーな暑さだったっていうのに昨日今日といきなり秋じみてきたような感じしない？　もっとも来週からまたいつものよーに熱くなるらしいけど。　これくらいのだとちょうどいいわよねー。　(ソファに座ってぐたー、っとのんびり。　元から地黒だけどここんとこ更に日に焼けた褐色の足をぷらぷら)
  (2018/8/18 15:00:05)

九条カレン> ハーイ！そうデスね…今日は凄いいい感じの温度なのにまた元の暑さに戻るなんて嫌デース！(そばによって眺めつつ、尚こちらは対照的に肌は白い模様、外に出てないとか言ってはいけないデース)   (2018/8/18 15:02:43)

クロエ> 　あ、名乗ってなかったわね。　わたしはクロエ、よろしくね。　別にキラキラネームとかじゃないわよ、ドイツハーフなの。　カレンもそのなまりとかすると海外？　(興味深そうに琥珀色の瞳がくりっ、と動いて)   (2018/8/18 15:07:15)

九条カレン> よろしくお願いしますデース！私はイギリスハーフデース！(私も同じだよって)カレンはギリギリ可憐とかでなりそうだけどデース！   (2018/8/18 15:09:40)

クロエ> 　カレンと可憐、まあどっちもいけるっちゃいけるのかー(ふーむ)　紅茶と朝ごはんが美味しい国ね(ふむんと頷いて)   (2018/8/18 15:12:51)

九条カレン> クロエは…黒江ならなんとかデース！(うんうん)そうデスよー、今は幼なじみを追って日本にいるデース(まあだいたいあってるデースって)   (2018/8/18 15:15:17)

クロエ> 　名字ならともかく名前でそれはちょっと厳しくなーい？(ふふっ、と笑いつつ)　その幼馴染さんとは会えたの？　すごいわね、イギリスからはるばる？   (2018/8/18 15:17:27)

九条カレン> んー、まあ何でもいいデース！(能天気にそう言う)そうデスよ飛行機でパッーと着いたデース！ハイ！同じ高校にいるデース！(ちなみにその子は純イギリス人、あとカレンの家はお金持ちいわゆるお嬢様である)   (2018/8/18 15:20:30)

クロエ> 　ん～、そっか～。　じゃあ仲良くできていいわね。　そのうちそのお友達もこちらに来るかしら？　　と、んん？　　あ、ちょっとごめんね、呼び出されたみたい。またね！(手をひらっと彼女に振って部屋をあとに)   (2018/8/18 15:25:05)

おしらせ> クロエさんが退室しました。  (2018/8/18 15:25:08)

九条カレン> お疲れ様デース！(私はまだいるデース！)   (2018/8/18 15:26:21)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2018/8/18 15:53:42)

おしらせ> 竹井 久さんが入室しました♪  (2018/8/18 17:26:25)

竹井 久> 今日は過ごしやすい気候よね(リビングに入って麦茶をコップに注ぐと一気に飲むわ)   (2018/8/18 17:27:43)

竹井 久> 皆、この気候だから遊びに行ってるのかしらね？(ＴＶ付けてバカンスの話題を見ながら呟くわ)   (2018/8/18 17:55:49)

おしらせ> レム・ガレウ ◆yBxYs5wJysさんが入室しました♪  (2018/8/18 18:13:34)

竹井 久> 【魚、こんばんは】   (2018/8/18 18:13:57)

レム・ガレウ ◆> 【入ろうと思ったら咲きこされた】   (2018/8/18 18:15:21)

竹井 久> 【ん？】   (2018/8/18 18:16:15)

レム・ガレウ ◆> 「いきつけの   (2018/8/18 18:20:03)

竹井 久> 【ああ…取られちゃったのね？まあ、よくある事よね】   (2018/8/18 18:20:45)

レム・ガレウ ◆> 【うん】   (2018/8/18 18:24:56)

竹井 久> 【結構好きなユーザー居るのね。専用部屋があるんだから】   (2018/8/18 18:25:56)

レム・ガレウ ◆> 【オウッカが、興奮してる】   (2018/8/18 18:31:01)

竹井 久> 【オウッカ…興奮し過ぎw】   (2018/8/18 18:32:18)

レム・ガレウ ◆> 【「したくて、しょうがねえんだ」だって】   (2018/8/18 18:36:25)

竹井 久> 【発情期かしら？】   (2018/8/18 18:37:15)

レム・ガレウ ◆> 【そうみたいです】   (2018/8/18 18:42:13)

竹井 久> 【大変ね…】   (2018/8/18 18:51:42)

レム・ガレウ ◆> ///   (2018/8/18 18:58:32)

竹井 久> 【まあ、今日はマシュとたくさんすれば良いじゃないの？】   (2018/8/18 18:59:09)

レム・ガレウ ◆> 【そうですね】   (2018/8/18 19:01:48)

竹井 久> 【ちょっとロムするわ…明日の仕事の準備しないと】   (2018/8/18 19:05:13)

レム・ガレウ ◆> 【了解】   (2018/8/18 19:14:32)

おしらせ> 無言時間が20分を超えたため、レム・ガレウ ◆yBxYs5wJysさんが自動退室しました。  (2018/8/18 19:35:09)

竹井 久> 【ただいま…っと、魚は落ちたのね】   (2018/8/18 19:48:59)

おしらせ> 時雨さんが入室しました♪  (2018/8/18 19:53:21)

時雨> 久しぶり…かな   (2018/8/18 19:53:44)

竹井 久> あら、時雨。久しぶりね？(にっこり笑み浮かべるわ)   (2018/8/18 19:54:03)

時雨> やあ久、最近は忙しくてなかなか足を運べなくてね、お待たせ(ちょっとだけ近づいてみて)   (2018/8/18 19:58:40)

竹井 久> しょうがないわよ。忙しいのは皆そうなんだから。私も来週はあまり足を運べないもの(近づく時雨を手招きするわ)   (2018/8/18 20:00:17)

時雨> うん、まさか夏休みだっていうのに平日以上に忙しいとはね。そうなんだ…旅行でも行くの?(久の近くまで行き、ぎゅっと抱きしめながら)   (2018/8/18 20:03:05)

竹井 久> 違うわ、会社の親睦会と送別会が立て込んでるのよ(忙しいわ…と呟きながら時雨を抱き締めるわ)   (2018/8/18 20:04:45)

時雨> なるほど…飲みの席だね。(そっと久に身体を預けてはお酒が飲めるいい機会じゃないかって微笑んで)   (2018/8/18 20:06:48)

竹井 久> 私はお酒が飲めないのよね。(時雨を膝に乗せて背中を撫でながら唇にキスするわ)   (2018/8/18 20:07:55)

時雨> そうなんだね…むしろボクは呑兵衛だから飲まないとダメなんだ(唇を当てられると微笑んで、そのままちゅっちゅ…)   (2018/8/18 20:12:27)

竹井 久> 豪酒なのかしら？(フフ…と笑ってからちゅっ…ちゅっ…と何度もキスするわ)   (2018/8/18 20:13:51)

時雨> 時雨は呑兵衛、雪風は助兵衛ってね。もう70年以上も前からさ…んっ…(幸せだ。って微笑みながらキスを繰り返す)   (2018/8/18 20:18:50)

竹井 久> そうなのね？助兵衛って…時雨も十分助兵衛じゃないの？(ちゅっ…ちゅっ…と何度もキスしながら時雨の胸を優しく揉むわ)   (2018/8/18 20:20:35)

時雨> まあね…ただ、酔ったボクが脱ぐと彼女がそれを見るのさ。双眼鏡でまじまじとね……んんっ///久だって立派なスケベさんだよ…(胸を触られながらうっとりして)   (2018/8/18 20:26:54)

竹井 久> あら、それはちょっと嫌ね。時雨は私のお嫁さんなんだから嫁以外の他の人に見せたらダメよ？(胸をゆっくり揉みながら指で乳首を撫で回すわ)   (2018/8/18 20:28:52)

おしらせ> ウオッカ ◆yBxYs5wJysさんが入室しました♪  (2018/8/18 20:42:10)

竹井 久> 【魚、おかえりなさい】   (2018/8/18 20:43:38)

ウオッカ ◆> 【ただいま   (2018/8/18 20:44:29)

竹井 久> 【そろそろ２１時だったわね】   (2018/8/18 20:45:31)

ウオッカ ◆> 【ああ】   (2018/8/18 20:47:07)

おしらせ> 無言時間が20分を超えたため、時雨さんが自動退室しました。  (2018/8/18 20:47:07)

竹井 久> 【時雨は疲れたのかしらね(時雨を寝かせて布団被せるわ)】   (2018/8/18 20:47:59)

ウオッカ ◆> 【おやすみ   (2018/8/18 20:51:42)

竹井 久> 【今日はもう誰も来なさそうだわ】   (2018/8/18 20:53:57)

ウオッカ ◆> 【部屋作って待機】   (2018/8/18 20:58:50)

竹井 久> 【私は寝落ちまで居ようかしら…】   (2018/8/18 21:00:18)

おしらせ> セレニケさんが入室しました♪  (2018/8/18 21:00:19)

セレニケ> こんばんは、というところかしら。   (2018/8/18 21:00:44)

ウオッカ ◆> 【よう。今日はオレが】   (2018/8/18 21:00:48)

竹井 久> こんばんは。   (2018/8/18 21:01:05)

セレニケ> あら、今日のお相手は貴女ね？　シールダーの知り合いだという牝馬ちゃん   (2018/8/18 21:01:34)

