/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月25日 17時02分 ～ 2023年03月31日 01時32分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

後藤ひとり> 私には千束さんみたいな陽キャの塊は出来ませんが……   (2023/3/25 17:02:55)
中野三玖 ◆> ひとりちゃんも可愛い…(ちゅ)   (2023/3/25 17:56:45)

アロナ> 休んだほうがいいのでは？（よしよし）   (2023/3/25 17:56:55)

後藤ひとり> ありがとうございます……(ちゅ)   (2023/3/25 17:57:05)

後藤ひとり> 少し休もうかな……それなら……   (2023/3/25 17:57:11)

アロナ> 無理して起きてると疲れやすいので（よしよし）   (2023/3/25 17:57:53)

後藤ひとり> 分かりました……(では……少しだけ……寝れなかったら戻ります)   (2023/3/25 17:59:32)

おしらせ> 後藤ひとりさんが退室しました。  (2023/3/25 17:59:34)

アロナ> お疲れ様でした（ひらひら）   (2023/3/25 18:01:32)

おしらせ> 佐月マリさんが入室しました♪  (2023/3/25 18:11:40)

佐月マリ> 完全に打とうとしてました……佐月マリ……不覚です……。   (2023/3/25 18:12:07)

中野三玖 ◆> (すぴすぴ…)   (2023/3/25 18:12:35)

犬走椛> ふぁ…！？危うくまた寝落ちを…！？   (2023/3/25 18:14:00)

アロナ> お帰りなさい   (2023/3/25 18:14:39)

アロナ> ぽかぽかしてますからねぇ   (2023/3/25 18:16:08)

犬走椛> 春眠暁を覚えず…です   (2023/3/25 18:16:41)

おしらせ> 絹川みちほさんが入室しました♪  (2023/3/25 18:17:10)

佐月マリ> お布団の上で返信をしていたので都合30分前後意識が落ちてましたね…。   (2023/3/25 18:17:13)

絹川みちほ> こんばんは。私もマリちゃんと同じ。しかも２回落ちちゃった(汗)   (2023/3/25 18:17:36)

アロナ> 私もぽかぽかしてて眠いです   (2023/3/25 18:18:13)

アロナ> こんばんは   (2023/3/25 18:18:17)

絹川みちほ> アロナさんはじめまして、ですね   (2023/3/25 18:20:38)

アロナ> はじめまして   (2023/3/25 18:21:08)

佐月マリ> 眠いときは無理しないでおきましょう。つい寝落ちた私が言うのはなんかもしれませんけれど。   (2023/3/25 18:21:31)

絹川みちほ> 皆ねむねむかな   (2023/3/25 18:23:01)

アロナ> 大丈夫ですよ、夜ご飯あるのでおきてます（ふんすっ）   (2023/3/25 18:23:17)

絹川みちほ> 私は絹川みちほです   (2023/3/25 18:23:18)

絹川みちほ> よろしくお願いしますね   (2023/3/25 18:23:27)

アロナ> よろしくお願いします   (2023/3/25 18:23:35)

絹川みちほ> ふふ、嬉しいですね   (2023/3/25 18:25:22)

絹川みちほ> 私も夜ご飯あるから流石に起きてないと   (2023/3/25 18:26:08)

佐月マリ> そちらの尻尾がある方は…また寝落ちてそうですね♪   (2023/3/25 18:29:39)

アロナ> 二人とも寝てそうですねぇ   (2023/3/25 18:31:27)

絹川みちほ> おやすみなさい、かな（お布団ぱさり）   (2023/3/25 18:32:47)

絹川みちほ> ソーシャルとコンシューマー、アドベンチャーとホラーの違いはあるけど、ゲーム世界が残ってるね   (2023/3/25 18:37:18)

おしらせ> 無言時間が25分を超えたため、中野三玖 ◆WY5HuZnICQさんが自動退室しました。  (2023/3/25 18:37:47)

絹川みちほ> お疲れ様だね   (2023/3/25 18:39:29)

アロナ> お疲れ様でした   (2023/3/25 18:39:49)

おしらせ> 無言時間が25分を超えたため、犬走椛さんが自動退室しました。  (2023/3/25 18:41:55)

絹川みちほ> お疲れ様だよ   (2023/3/25 18:42:03)

アロナ> 入れ替わりましたねぇ   (2023/3/25 18:42:24)

絹川みちほ> だねぇ（アロナさん、つんつん）   (2023/3/25 18:42:58)

佐月マリ> 皆様お疲れ様です♪   (2023/3/25 18:46:57)

絹川みちほ> ちょっとご飯呼ばれたから急いで食べてきますね   (2023/3/25 18:48:01)

アロナ> いってらっしゃいです。   (2023/3/25 18:48:38)

佐月マリ> 別に急がずとも…？   (2023/3/25 18:54:01)

アロナ> はわっ   (2023/3/25 18:58:01)

佐月マリ> えっと、どうされましたか？   (2023/3/25 19:03:15)

アロナ> 眠りかけました。   (2023/3/25 19:03:53)

佐月マリ> 無理しないでくださいね♪   (2023/3/25 19:10:31)

絹川みちほ> お疲れ様だね   (2023/3/25 19:11:48)

アロナ> んっ、そろそろ夜ご飯も近いので落ちますねぇ、お疲れ様でした。   (2023/3/25 19:12:50)

おしらせ> アロナさんが退室しました。  (2023/3/25 19:12:54)

絹川みちほ> お疲れ様、アロナさん。また会いましょうね   (2023/3/25 19:13:16)

佐月マリ> お疲れ様です♪   (2023/3/25 19:13:28)

絹川みちほ> 私達はどうします？   (2023/3/25 19:15:04)

佐月マリ> どちらでも。   (2023/3/25 19:16:34)

絹川みちほ> もうちょっと居ようかな   (2023/3/25 19:16:50)

佐月マリ> そうですか、そしたらわたしは失礼しますね♪   (2023/3/25 19:17:19)

おしらせ> 佐月マリさんが退室しました。  (2023/3/25 19:17:21)

絹川みちほ> お疲れ様、マリさん   (2023/3/25 19:17:30)

絹川みちほ> 私も一旦離れようかな   (2023/3/25 19:18:27)

おしらせ> 絹川みちほさんが退室しました。  (2023/3/25 19:18:29)

おしらせ> 佐月マリさんが入室しました♪  (2023/3/26 11:59:38)

佐月マリ> 本日も準備されてる間に少し盛り上がりを見せていたみたいですね。　今日は誰か来るかはわかりませんけど軽く準備はしておうかな。（お店の準備をするためについてそうそう軽く伸びをして、手早く組み立てと陳列をはじめだして）   (2023/3/26
12:02:16)

おしらせ> 無言時間が25分を超えたため、佐月マリさんが自動退室しました。  (2023/3/26 12:30:05)

おしらせ> 鹿目まどかさんが入室しました♪  (2023/3/26 14:49:52)

鹿目まどか> こんにちは。お昼食べたら少し眠くなっちゃった…。今日は夜までずっと雨みたいだねぇ。   (2023/3/26 14:52:04)

おしらせ> 朝倉可憐さんが入室しました♪  (2023/3/26 14:54:04)

朝倉可憐> こんばんは。　もしよかったらご一緒してもいいかしら。   (2023/3/26 14:54:33)

鹿目まどか> あっ、こんにちはー♪ どうぞどうぞ！   (2023/3/26 14:55:43)

朝倉可憐> よかった。それじゃあお邪魔するわね（よいしょって近くのソファに腰を下ろして）   (2023/3/26 14:56:13)

鹿目まどか> えへへ、こちらこそよろしくお願いします！　えーと…お茶は何がいいですか？（マグカップを2つ用意すると、冷蔵庫の前に立って）   (2023/3/26 14:59:11)

朝倉可憐> a,   (2023/3/26 15:03:45)

朝倉可憐> あ、お構いなく…かな。（コーラもってきた、って自分の横に置いて   (2023/3/26 15:03:55)

鹿目まどか> わかりました。じゃあわたしは紅茶で…。（自分の分のマグカップを持って、ティーバッグを入れるとポットからお湯を注いで、ソファに戻り）   (2023/3/26 15:08:00)

朝倉可憐> うん、紅茶の方が多分いいと思う。私は片手で食べられるものが好きで…それに合うのがコーラな感じなのだけど…（と、少し照れたようにしながら。小さく頷いて）   (2023/3/26 15:14:29)

鹿目まどか> はい。今日はちょっと涼しいので…。（マグカップで手を温めながら、紅茶をひと口飲んで）パンとかハンバーガーだとコーラ欲しくなりますよね…。（たしかに、と頷いて）   (2023/3/26 15:18:35)

朝倉可憐> 後はエナドリ…なんだけど流石にこういうタイミングで飲むものじゃないわね…（苦笑いしつつ。手元のコーラを一口飲んで）   (2023/3/26 15:20:31)

鹿目まどか> そうですか？　わたしもたまに飲みたくなりますけど…飲みたいときに飲むのがいいかなーって。（マグカップを両手で持ちつつ微笑んで）   (2023/3/26 15:23:51)

朝倉可憐> そういわれると…確かにそうかも。体には全くよくないから、節制しちゃうけれど。美容とかにもよくなさそうだし…（好きだけど、体には本当によくないのはよく理解している、と苦笑い）   (2023/3/26 15:24:41)

朝倉可憐> あ、少し端末変えるね   (2023/3/26 15:24:50)

おしらせ> 朝倉可憐さんが退室しました。  (2023/3/26 15:24:52)

おしらせ> 朝倉可憐さんが入室しました♪  (2023/3/26 15:25:06)

鹿目まどか> あはは…わかります。でも、身体に悪いものに限って美味しいんですよね…。（苦笑いしつつ）いつもじゃなくて、たまーにならいいと思いますよ？   (2023/3/26 15:28:06)

朝倉可憐> わかる…。私も普段からファーストフードとかばかり食べていたいけれど…それだとよくないから…。（サラダくらいは食べないと、と苦笑い）そうよね……。たまになら…うん。だからこそ今は我慢ね…。   (2023/3/26 15:35:42)

鹿目まどか> お手軽ですもんね。わたしもそういうの好きなんですけど、あんまり食べるとお腹がゴロゴロしちゃって…。（野菜も大事ですねー、と頷いて）…でも、ひとつ思ったんですけど…コーラとエナドリなら、糖分はそこまで変わらないような気が…   (2023/3/26
15:43:31)

朝倉可憐> あー…。油こいのはだめ…なのかな。（なんて、相手のお腹をすこ見つめて)…か、かふぇいんの差とか…？   (2023/3/26 15:49:23)

鹿目まどか> はい…好きなんですけど、最近油（脂）ものがちょっと…合う合わないが身体にすぐ出ちゃって。（苦笑いしつつ）そうですね。なので…我慢するくらいなら今飲んだ方がお得かなー…なんて。   (2023/3/26 15:52:49)

朝倉可憐> それは…えっと…どんまい…かな。（老化、とか思わず言いかけたけど、我慢できた。）なるほど…そういう考え方もあるかも。   (2023/3/26 15:56:10)

おしらせ> 絹川みちほさんが入室しました♪  (2023/3/26 15:56:31)

絹川みちほ> こんにちは…   (2023/3/26 15:56:44)

絹川みちほ> 離れてるかな   (2023/3/26 16:01:48)

鹿目まどか> 霜降りのお肉とかも、食べるのは好きなんですけどねー…。（これも老化…？　とか思いつつ）あっ、こんにちはー！   (2023/3/26 16:05:27)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/3/26 16:06:13)

後藤ひとり> ババババババ(機関銃でまどかを攻撃   (2023/3/26 16:06:26)

おしらせ> 後藤ひとりさんが退室しました。  (2023/3/26 16:06:28)

絹川みちほ> こんにちは、はじめましてかな。絹川みちほです。よろしくお願いしますね   (2023/3/26 16:06:35)

鹿目まどか> 鹿目まどかです。こちらこそよろしくお願いします。（微笑みながらぺこりと頭を下げて）   (2023/3/26 16:09:31)

絹川みちほ> まどかさんですね、よろしくね。（私もお辞儀をして）   (2023/3/26 16:10:18)

鹿目まどか> えーと…みちほさんはお茶飲みます？（自分のマグカップを手にソファから立ち上がると、ポットの近くへ行って）   (2023/3/26 16:12:40)

絹川みちほ> お願いしてもいいかな、まどかさん？（お茶をまどかさんにお願いすると、自分のぶんのカップは持っていこうと思ってまどかさんのほうへ）   (2023/3/26 16:15:45)

鹿目まどか> はい、いいですよー♪（ティーポットにお湯とティーバッグを入れると、2人分の紅茶を作って、それぞれのマグカップに注いで）   (2023/3/26 16:17:59)

絹川みちほ> ありがとうー♪（紅茶を淹れてくれるまどかさんの姿をそっと見ていて）   (2023/3/26 16:19:56)

おしらせ> 無言時間が25分を超えたため、朝倉可憐さんが自動退室しました。  (2023/3/26 16:21:39)

絹川みちほ> お疲れ様だね、可憐ちゃん（そっと毛布ぱさり）   (2023/3/26 16:22:19)

鹿目まどか> 可憐さんおつかれさま…。   (2023/3/26 16:22:37)

鹿目まどか> いえいえ。みちほさん、どうぞ。（2人分のマグカップを持ってくると、ひとつはみちほさんに手渡して）   (2023/3/26 16:23:54)

絹川みちほ> ありがとう、まどかさん。（マグカップを受け取ると、ふー、と息を吹きかけて冷ましながら近くのソファーに座ろうとして）   (2023/3/26 16:26:24)

鹿目まどか> わたしもいただきます…。（マグカップを両手で持ちつつ、ソファに戻るとゆっくりと紅茶を飲んで)   (2023/3/26 16:29:38)

絹川みちほ> 隣いいかな、まどかさん？（少し離れたソファーに座ろうとしたものの、そっとまどかさんの座ったほうに行こうかと思って聞いてみて）   (2023/3/26 16:31:55)

鹿目まどか> はい、いいですよー？（自分の座っているソファの隣を少し空けて）   (2023/3/26 16:35:50)

絹川みちほ> ありがとう、まどかさん。（空けてくれたスペースにそっと座って、私もそっと紅茶を一口飲んで）落ち着くなあ   (2023/3/26 16:39:11)

おしらせ> 無言時間が25分を超えたため、鹿目まどかさんが自動退室しました。  (2023/3/26 17:01:31)

絹川みちほ> お疲れ様、まどかさん。また会おうね   (2023/3/26 17:02:51)

絹川みちほ> じゃ、私も一旦お暇しようかな。   (2023/3/26 17:03:06)

絹川みちほ> それじゃ   (2023/3/26 17:03:15)

おしらせ> 絹川みちほさんが退室しました。  (2023/3/26 17:03:23)

おしらせ> 無名さんが入室しました♪  (2023/3/26 22:00:14)

おしらせ> 無言時間が25分を超えたため、無名さんが自動退室しました。  (2023/3/26 22:25:27)

おしらせ> 朝倉可憐さんが入室しました♪  (2023/3/27 06:02:48)

朝倉可憐> 朝から誰かいる…と思ったらまさかの夜更かしさんだったわ。   (2023/3/27 06:03:14)

朝倉可憐> 朝は…流石に静かね……。（サンドイッチを取り出しては口に運びつつ、他の階の様子をぼんやり伺いつつ。）   (2023/3/27 06:27:30)

おしらせ> 無言時間が25分を超えたため、朝倉可憐さんが自動退室しました。  (2023/3/27 07:13:48)

おしらせ> 緒山ひまりさんが入室しました♪  (2023/3/27 09:27:29)

緒山ひまり> 余韻に浸りたいから私でいよっとお邪魔します   (2023/3/27 09:27:55)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/3/27 09:32:02)

後藤ひとり> お、おはようございます……   (2023/3/27 09:32:08)

緒山ひまり> おはようございます   (2023/3/27 09:32:20)

後藤ひとり> 後、後藤ひとり…です   (2023/3/27 09:34:08)

緒山ひまり> 緒山ひまりです、よろしくお願いします。   (2023/3/27 09:35:00)

おしらせ> 朝倉可憐さんが入室しました♪  (2023/3/27 09:35:56)

朝倉可憐> おはよう、少しだけお邪魔させてもらうね…？   (2023/3/27 09:36:18)

緒山ひまり> おはようございます、はいどうぞ   (2023/3/27 09:36:52)

後藤ひとり> よろしくお願いします…ひまりさん、あ、おはようございます   (2023/3/27 09:36:55)

朝倉可憐> うん、おはよう。　誰かがいると安心する。(ソファにとすん）   (2023/3/27 09:38:17)

後藤ひとり> ですね(うつらうつら)   (2023/3/27 09:39:39)

緒山ひまり> 最終回はいろいろと危なかったなぁ（しみじみ）   (2023/3/27 09:39:54)

朝倉可憐> アニメ出てたんだね。お疲れ様です、   (2023/3/27 09:40:52)

後藤ひとり> 私も早く見ないと…   (2023/3/27 09:42:07)

緒山ひまり> いろいろと危ない最終回でした（しみじみ）   (2023/3/27 09:43:59)

朝倉可憐> あぶない…   (2023/3/27 09:44:30)

緒山ひまり> 危ないですは内容はひとりさんみてるからいえないけど、本当危ない   (2023/3/27 09:45:54)

後藤ひとり> あ、すいません全然見れてないばかりに……   (2023/3/27 09:46:28)

朝倉可憐> 危ないかぁ……カレンちゃんみたいな…？（殺人鬼）   (2023/3/27 09:47:08)

緒山ひまり> なんであーなったんだって終わり方でした   (2023/3/27 09:47:30)

後藤ひとり> ふむふむ…   (2023/3/27 09:50:23)

朝倉可憐> 俺たちの戦いはこれからだみたいな。   (2023/3/27 09:50:40)

緒山ひまり> 艦これもなんだかんだで引っ張るだけひっぱって結局そうなんのかいって終わり方でしたしねぇ   (2023/3/27 09:51:53)

後藤ひとり> 打ち切り……   (2023/3/27 09:54:24)

朝倉可憐> 艦これ…見ようと思って見なかったなぁ…   (2023/3/27 09:55:12)

緒山ひまり> すごい雑な終わり方でしたよ。えーってなりましたもん   (2023/3/27 09:55:43)

後藤ひとり> 本当だ……アマプラの評価悪い…   (2023/3/27 09:57:12)

緒山ひまり> １期もなかなかにひどい終わり方だけどそれよりひどい終わり方でした   (2023/3/27 09:58:43)

後藤ひとり> いつかあの海での評価1.5…   (2023/3/27 09:59:23)

朝倉可憐> 艦これもアニメ化が下手なのね。   (2023/3/27 09:59:46)

緒山ひまり> 下手というか伸ばすだけのばしてそうなるのか感はありましたね   (2023/3/27 10:00:26)

後藤ひとり> ネタバレというか結末はききました   (2023/3/27 10:00:58)

緒山ひまり> まだ１期のほうがましまである   (2023/3/27 10:03:06)

後藤ひとり> ていうかおにまいもそんな終わり方に？   (2023/3/27 10:06:36)

朝倉可憐> ……やっぱりソシャゲというか、ゲームのアニメ化は日常物にするのが吉ね。   (2023/3/27 10:08:01)

緒山ひまり> おにまいはそれよりましだけど、ちょっとねぇ   (2023/3/27 10:08:02)

緒山ひまり> グラブルがいいれいだとおもいます。   (2023/3/27 10:08:25)

後藤ひとり> そうなんですね……日常ぽいので普通に終わりそうなイメージでしたが   (2023/3/27 10:08:55)

緒山ひまり> ちょっと危ない方向っぽい雰囲気に   (2023/3/27 10:09:24)

後藤ひとり> 危ない！？………   (2023/3/27 10:10:04)

朝倉可憐> グラブルは…廃課金編が面白かったね。   (2023/3/27 10:10:09)

後藤ひとり> とりあえずアマプラで4話見ながら話します……   (2023/3/27 10:10:20)

緒山ひまり> 危ないというかうんちょっと日常アニメ？とはなったかな   (2023/3/27 10:10:45)

後藤ひとり> そんなに……   (2023/3/27 10:11:24)

緒山ひまり> 廃課金というかゲームの内容をそのまましてるからよかったってかんじですね   (2023/3/27 10:11:51)

緒山ひまり> 色濃い雰囲気になったというか   (2023/3/27 10:12:27)

後藤ひとり> 気になる……   (2023/3/27 10:12:55)

朝倉可憐> 本編はストーリーなぞってたけど、主人公がジータちゃんになった途端に廃課金仕様になったのがバランス良かったなって…   (2023/3/27 10:13:36)

緒山ひまり> 気長にみることをお勧めします   (2023/3/27 10:14:23)

緒山ひまり> ファイターなグラン君とガチ編成なジータちゃん   (2023/3/27 10:15:14)

後藤ひとり> ジータさん可愛いです……それしか知らないです   (2023/3/27 10:15:35)

おしらせ> 中野三玖 ◆WY5HuZnICQさんが入室しました♪  (2023/3/27 10:16:03)

中野三玖 ◆> おはよ……   (2023/3/27 10:16:11)

後藤ひとり> とりあえずおにまい4話見ながら話してます…おはようございます   (2023/3/27 10:16:23)

緒山ひまり> かわいいしこえいいし   (2023/3/27 10:16:47)

緒山ひまり> おはようございます   (2023/3/27 10:16:56)

朝倉可憐> おはよう。   (2023/3/27 10:17:58)

後藤ひとり> スタイルも良い…   (2023/3/27 10:18:01)

朝倉可憐> 当然のようにリミ武器だすのが良かったよね。   (2023/3/27 10:18:22)

後藤ひとり> ふむふむ……   (2023/3/27 10:20:56)

緒山ひまり> 胸の発育もいい   (2023/3/27 10:21:10)

緒山ひまり> エクストラ２でフユンフの杖持ってたのもなかなか   (2023/3/27 10:21:57)

朝倉可憐> ジョブもだいたいコンプしてたし…。   (2023/3/27 10:23:48)

後藤ひとり> 内容はさっぱりです…   (2023/3/27 10:23:58)

緒山ひまり> グラン君はずっとファイターでがんばるのに落差が本当   (2023/3/27 10:26:48)

