/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年02月19日 11時23分 ～ 2023年02月20日 08時27分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> ｱﾆｽﾌｨｱ･ｳｨﾝ･ﾊﾟﾚｯﾃｨｱさんが退室しました。  (2023/2/19 11:23:04)

絹川みちほ> そうだね……（つんつん）   (2023/2/19 13:25:02)

おしらせ> 無言時間が25分を超えたため、犬走椛さんが自動退室しました。  (2023/2/19 13:25:51)

後藤ひとり> とりあえず私たちはどうしましょう……(ぎゅ)   (2023/2/19 13:26:04)

絹川みちほ> そうだね……どうしよか（むぎゅ）   (2023/2/19 13:27:43)

後藤ひとり> とりあえずイチャつきます？……(すりすり)   (2023/2/19 13:30:53)

絹川みちほ> うん、そうしよ（むぎゅむぎゅ）   (2023/2/19 13:33:43)

後藤ひとり> 分かりました……(頬にちゅ)   (2023/2/19 13:35:45)

絹川みちほ> ふふっ…ひとりちゃん好きだよ（ぎゅ）   (2023/2/19 13:36:46)

後藤ひとり> 私も好きです……(すりすり)   (2023/2/19 13:38:05)

絹川みちほ> 嬉しいな……（すりすり）   (2023/2/19 13:39:24)

後藤ひとり> 私もですよ……(ちゅっ)   (2023/2/19 13:46:07)

絹川みちほ> よかった……（ちゅ）   (2023/2/19 13:46:51)

後藤ひとり> みちほちゃん可愛いですから……(おっぱいつんつん)   (2023/2/19 13:49:18)

絹川みちほ> ふふっ、ひとりちゃんも可愛いよ？（ちょっとくすぐったそうにして）   (2023/2/19 13:51:14)

後藤ひとり> わ、私は普通ですけどね……(顔を胸に押し付けて)   (2023/2/19 13:52:59)

絹川みちほ> そうかな？……ふふっ（胸に押し付けるひとりちゃんの頭を軽く撫でて）   (2023/2/19 13:54:00)

後藤ひとり> はい………オシャレにも全然気使ってないし……(撫でられながら顔をすりすりと)   (2023/2/19 13:58:06)

絹川みちほ> そうかな？私はそのままのひとりちゃんが好きだけどな。（すりすりしてくるひとりちゃんに、服越しでいいのかな？なんて囁いてみて）   (2023/2/19 14:00:57)

後藤ひとり> あ、ありがとうございます……///(じゃ、じゃあ脱いで欲しいです……と言って)   (2023/2/19 14:05:19)

絹川みちほ> いえいえ…私の素直な気持ちだからね？////（それじゃ…と言いながら、そっと身体を離して、シャツのボタンを外していって…ブラジャーに包まれた胸の谷間を見せて）   (2023/2/19 14:07:49)

後藤ひとり> おっきくて素敵な胸ですね……///(ブラの上からでも分かるサイズの胸と谷間に釘付けになりながらも再度顔を近づけて)   (2023/2/19 14:12:57)

絹川みちほ> ありがと…おいで、ひとりちゃん…////（近づいてくるひとりちゃんの顔に合わせて、そっとブラジャーに指をかけて下にずらして、顔を埋めやすくしてあげて）   (2023/2/19 14:18:05)

後藤ひとり> 行きますね……////(ブラもズラしてくれておっぱいに直接顔を近づけて頬ずりして感触を確かめるように)   (2023/2/19 14:21:38)

絹川みちほ> ふふっ……いいよ、ひとりちゃん。……どうかな……////（胸への頬ずりに少しだけくすぐったそうにしながらもそっと頭を撫でてみて）   (2023/2/19 14:24:30)

後藤ひとり> 柔らかくて……大きくていいと思います……///(頭を撫でられながらも頬ずりして乳房の柔らかさを確認しつつ指で先っぽをつついて)   (2023/2/19 14:30:15)

絹川みちほ> よかった……////…んっ…////（そのまま感触を楽しんでもらえるように、そっと頭を撫でつつ、指でつつかれると思わず声を出して）   (2023/2/19 14:34:33)

後藤ひとり> ここ固くして可愛いですね……♡(指で硬くなってる乳首をつついたりこねくり回したりして)   (2023/2/19 14:39:08)

絹川みちほ> んぁ…ひとりちゃんが突くからだよ…////（指からの刺激で固くなってきた乳首に刺激を受けて思わず声を出して）   (2023/2/19 14:45:01)

後藤ひとり> えへへ……///く、咥えてもよろしいですか？…♡(指でいじったままそう尋ねて)   (2023/2/19 14:48:24)

絹川みちほ> んん……////いいよ、ひとりちゃん////（指でいじられて固くなった乳首を咥えたいという言葉に顔を赤くしながら頷いて）   (2023/2/19 14:53:06)

後藤ひとり> ありがとうございます……///で、では……はむっ……♡(唇で乳首を咥えながら舌で転がし)   (2023/2/19 14:54:25)

後藤ひとり> 【ご飯なので少しお待ちを…】   (2023/2/19 14:54:32)

絹川みちほ> 【大丈夫だよ、いってらっしゃい】   (2023/2/19 14:54:57)

絹川みちほ> ん…んん、ちょっとくすぐったい、かな…////（外気に触れていた乳首が口に咥えられて、吸い付かれる刺激と舌先での刺激から身体を震わせて）   (2023/2/19 14:57:14)

後藤ひとり> でも美味しいですよ……♡んむっ♡れろっ……(舌で乳首を転がしたり……時折甘噛みしたりして乳首を味わおうと)   (2023/2/19 15:18:16)

絹川みちほ> ん、んっ……ひとりちゃん……////（舌の刺激だけではなく、時折くる歯で甘噛みする刺激に思わず声が出てしまって）   (2023/2/19 15:27:45)

後藤ひとり> わ、私のもどうでしょうか……///(乳首を噛んだまま自分のジャージのホックも外し始めていき)   (2023/2/19 15:33:09)

絹川みちほ> ひとりちゃん、のも……？////（声を我慢しつつ刺激に身体を震わせていると、ひとりちゃんもジャージのホックを外し始めたためにそこに目が泳いで）   (2023/2/19 15:35:17)

後藤ひとり> はい……♡みちほさんにならいいですよ……♡(ブラも外してみちほちゃんと同じように生乳を見せながら誘惑して)   (2023/2/19 15:44:44)

絹川みちほ> ふふ……じゃあ、お言葉に甘えようかな……♪（軽く上がっている息を整える。ブレザーとワイシャツとブラジャーを外して、まだ赤い顔のまま、露わになったひとりちゃんの生乳のほうへと近づいて）   (2023/2/19 15:49:48)

後藤ひとり> は、はい……♡え、遠慮なく……♡(みちほちゃんの顔を手で押え自分の胸の方に押付けて)   (2023/2/19 15:55:30)

絹川みちほ> ふふっ…ひとりちゃんのも柔らかいよ…♪（ひとりちゃんの胸に顔をむぎゅ、と押し付けると、その感触を楽しんで）   (2023/2/19 16:00:36)

後藤ひとり> はい……♡いくらでも好きにしていいですよ……♡わたしのおっぱい……♡(頭を撫でながらもみちほちゃんの好きなように触ってほしそうに)   (2023/2/19 16:08:17)

絹川みちほ> ふふ…どうしようかなあ…♪（いくらでも好きにしていいと言われて、どうしようかなあ、といじわるそうな事を言って。とりあえずはそのまま谷間に顔を埋めていて）   (2023/2/19 16:11:30)

後藤ひとり> して……♡いいんですからね？……♡(谷間に顔を押し付けてるみちほちゃんを見ながら両手でおっぱい持って挟んであげて)   (2023/2/19 16:15:21)

絹川みちほ> ふふっ…ふかふかで柔らかいなあ…♪（していい、というひとりちゃんの言葉には後で甘えることにして……そのままむにゅっと顔がおっぱいで挟まれるとその感触を堪能して）   (2023/2/19 16:21:08)

後藤ひとり> えへへ……♡私ので癒されてください……♡(ムニムニと手で器用に胸を動かしてみちほちゃんの顔をおっぱいで包み込み)   (2023/2/19 16:28:04)

絹川みちほ> うん…落ち着くな…ひとりちゃんのも大きいし……♪（ムニムニと動く胸の谷間に挟まれて包み込まれる、おっぱいの柔らかさと感触に癒やされて）   (2023/2/19 16:31:50)

後藤ひとり> ありがとうございます………♡(私も挟まれて満足するみちほちゃにドキドキして少しだけ乳首を固くさせて)   (2023/2/19 16:39:01)

おしらせ> 滞在時間が360分を超えたため、絹川みちほさんが自動退室しました。  (2023/2/19 16:43:36)

おしらせ> 絹川みちほさんが入室しました♪  (2023/2/19 16:44:12)

絹川みちほ> 【あう…(泣)】   (2023/2/19 16:44:42)

絹川みちほ> いえいえ…♪…ふふっ……（しばらくひとりちゃんの胸の谷間の感触を楽しみながら、さっきのお返しとばかりに乳首のありそうな所を指でそっとなぞり始めて）   (2023/2/19 16:46:14)

後藤ひとり> ひゃうっ……♡んっ……♡(乳首の場所を当てられて甘い声を上げながら下をほんの少しだけ濡らして)   (2023/2/19 16:51:15)

絹川みちほ> ここなのかな……？//ほらほら…//（聴こえるひとりちゃんの声から、どうやら正解だったみたいで、そっと顔を上げながら続けて突いてみて）   (2023/2/19 16:53:31)

後藤ひとり> そ、そこですっ……♡乳首も触っていいですからね………♡(突かれる度に感じながら潤んだ目つきでみちほちゃんを見つめ)   (2023/2/19 16:57:39)

絹川みちほ> ふふっ…合ってたんだ。さっきのお返しだよ、ひとりちゃん…♪（潤んだ目つきでこちらを見つめてくるひとりちゃんをそっと撫でて…胸から顔をそっと離して片方の乳首に舌を這わせようとして）   (2023/2/19 17:01:08)

後藤ひとり> んっ……♡もう……♡でもいいですよ……みちほちゃんにされるなら……♡すきに……♡(乳首に舌が当たって勃起してるのがバレてしまい)   (2023/2/19 17:09:45)

絹川みちほ> ごめんね、ひとりちゃん。でも私も我慢できないから、ね？（乳首に舌先を這わせていると、乳首が膨らみはじめてるのが舌の感触で伝わってきて。そのまま軽くチュッと音を立ててみて。そっと指先を谷間からお腹にかけてなぞるように動かして…そのまま下まで行きそうな勢いで）
  (2023/2/19 17:14:34)

後藤ひとり> いいんですよ……♡好きにしてください……♡乳首もそっちも……♡(舌で乳首を舐められたり吸われたりしながらも下にたどり着こうとしてる指も受け入れようと)   (2023/2/19 17:19:58)

絹川みちほ> ほんとにいいのかな……？//（一旦乳首から口を離して舌先で乳首を突いて…そのまま下のほうに滑りこませた指先にほんの少しの湿り気を感じて、ふふっと妖しく微笑んで）   (2023/2/19 17:23:59)

後藤ひとり> ここまで来ていやなんて言うわけないですから……♡(足を少しだけモジモジさせて恥ずかしそにしながらも抵抗する気は一切なく、好きにしてください……♡と)   (2023/2/19 17:27:16)

絹川みちほ> ここまで私が進めちゃったからね。なんだか今日は積極的になっちゃったね。なんでだろうね…？（恥ずかしそうにするひとりちゃんの片手で頭をそっと撫でながら…下を触る指はそっと下着の中で割れ目を擦りはじめて）   (2023/2/19 17:30:35)

絹川みちほ> （ひとりちゃんの頭を片手でそっと撫でながら）   (2023/2/19 17:31:24)

後藤ひとり> 他に人も来ずに……甘える雰囲気になったからでしょうか……んっ……♡(頭を撫でられて嬉しそうにしつつ下着越しに割れ目をなぞられるとそれだけで感じ、シミも増やしていき……♡)   (2023/2/19 17:33:29)

絹川みちほ> たしかにそうだね、ふたりきりだったからね…♪   (2023/2/19 17:34:12)

絹川みちほ> （下着ごしに指で割れ目をなぞると、湿り気がどんどん広がっていって…指先でいけない所を下着ごしに探るように擦り付けていって）   (2023/2/19 17:35:48)

後藤ひとり> はい……♡いっぱいしてください……♡(割れ目を撫でられながらも下着をどんどん汚していき、直接いじって欲しそうに下着をずらして割れ目を露出させて)   (2023/2/19 17:46:50)

絹川みちほ> うん、わかった…ごめんね、下着汚しちゃったね…//（下着がずらされて視界に飛び込んで来た割れ目。直接そこを指でなぞりつつ…そっと顔を近づけてみて）   (2023/2/19 17:50:44)

後藤ひとり> いいですよ……♡どうせ洗うので……♡なので……♡そこ……♡直接っ……♡触って欲しい……♡(指で弄られて濡らされた割れ目に顔を近づけられると濃厚な雌の匂いをみちほちゃんに嗅がせて)   (2023/2/19 18:00:29)

絹川みちほ> じゃあ、また洗わなくちゃね……♪うん、わかったよ……♪（顔を近づけると、割れ目から香る濃厚な匂いを嗅いで…そっと割れ目を広げてみようとして…）   (2023/2/19 18:04:33)

後藤ひとり> はい……♡よ、よろしくお願いします……♡(割れ目をくぱっと開かれると愛液が糸を引きながらもヒクヒク疼いており)   (2023/2/19 18:10:12)

絹川みちほ> ふふっ…こんなになっちゃってたんだね……♡（くぱっと広げた秘部がヒクヒクと疼いて居るのを見て、糸を引く愛液がにじむ膣口に指先を押し当てて）   (2023/2/19 18:13:46)

後藤ひとり> あんっ……♡んっ……♡奥まで……♡入れて……♡(割れ目から愛液が垂れ落ちながらも指先が当てられるときゅっと締め付けてしまい)   (2023/2/19 18:23:10)

絹川みちほ> いいのかな？……じゃあ、入れるよ……♡（押し当てた指先にきゅっと締め付ける膣口の感触が伝わって。奥まで入れてと言われて断る理由なんてなくて、膣口を捉えた指先をゆっくり挿入し始めて）   (2023/2/19 18:28:03)

後藤ひとり> はい……♡あんっ…♡んっ……♡気持ちいい……♡すき……♡♡(みちほちゃんの指が置くまで入ってきてビクッと体を浮かせながらも、膣を締め付け蜜を隙間から垂らしていき……♡)   (2023/2/19 18:34:13)

絹川みちほ> ふふっ…そう言われたら少しいじわるしたくなっちゃうな…しちゃおうかな？♡（奥まで入れた指を締め付ける膣内と震えて身体を浮かせるひとりちゃんを見ると、感情がどうにかなっちゃって、思わず指を腰を振るみたいにゆっくりうごかしはじめて）  
(2023/2/19 18:43:26)

後藤ひとり> す、すきにしてください……♡意地悪しても構いません……♡んっ……♡でも、も、物足りない……♡(身体をのけぞらせながらも奥まで入った指がゆっくり焦らされるように動かされる。気持ち良いけどやっぱり少し物足りない様子でみちほちゃんを見つめ)  
(2023/2/19 18:54:52)

絹川みちほ> わかった…好きにするね♡（そのまま焦らすようにゆっくりと動かしはじめて、ひとりちゃんの反応を楽しんでいて）物足りないの？どうしてほしいのかな……？♡（指だと刺激が少し物足りないのか、こちらをせつなそうに見つめてくるひとりちゃんに問いかけてみて）
  (2023/2/19 19:00:42)

後藤ひとり> 【すごい良いところでお風呂に呼ばれました……ど、どうします？】   (2023/2/19 19:06:12)

絹川みちほ> 【こちらもご飯などの時間が近づいてきたので…一旦ここまでにしますか？また時間があって可能な時に続けませんか？】   (2023/2/19 19:08:29)

後藤ひとり> 【そうですね。途中とは言え沢山遊べて楽しかったです、また会えたらよろしくお願いします……♡(ちゅ)】   (2023/2/19 19:09:00)

絹川みちほ> 【こちらこそ楽しかったし嬉しかったです。こちらこそまたよろしくお願いしますね♪】   (2023/2/19 19:09:52)

後藤ひとり> 【ではまた……】   (2023/2/19 19:10:48)

後藤ひとり> 【お疲れ様でした♡】   (2023/2/19 19:10:55)

おしらせ> 後藤ひとりさんが退室しました。  (2023/2/19 19:10:56)

絹川みちほ> 【お疲れ様でした♡】   (2023/2/19 19:11:30)

絹川みちほ> 【それじゃ私も…またね、ひとりちゃん】   (2023/2/19 19:11:44)

おしらせ> 絹川みちほさんが退室しました。  (2023/2/19 19:11:46)

おしらせ> 羽鳥智世 ◆TaduQjWkbwさんが入室しました♪  (2023/2/19 19:16:17)

羽鳥智世 ◆> お邪魔します……。誰かこの時間…くるかな…。   (2023/2/19 19:16:44)

おしらせ> ペコリーヌさんが入室しました♪  (2023/2/19 19:17:39)

ペコリーヌ> 智世さん、こんばんはっ(ぎゅうっとだきついて   (2023/2/19 19:17:50)

羽鳥智世 ◆> わ…びっくりした…。（誰も来ないと思ってた）   (2023/2/19 19:24:29)

ペコリーヌ> もう、わたしのこと忘れちゃだめですよ(ほっぺつんつん   (2023/2/19 19:28:26)

羽鳥智世 ◆> え、何の話ですか…？（つつかれて、きょとんと   (2023/2/19 19:30:31)

ペコリーヌ> ん－。その場の勢いですっ(胸をぎゅうっとおしつけて   (2023/2/19 19:33:12)

羽鳥智世 ◆> 勢い？え、えぇ…？（ついていけないけど、胸を押し付けられるととても幸せな気持ちで…）   (2023/2/19 19:34:56)

ペコリーヌ> ん、ともあれ悪戯しましょう(ぎゅ、ぎゅ、むねをこすらせ。腰をぐっとおしつけちゃいます   (2023/2/19 19:38:19)

羽鳥智世 ◆> も、もぉ……。早いって…（焦らなくてもいなくならないことを伝えるように頬ずりしながら。胸の柔らかさを堪能して）   (2023/2/19 19:40:12)

ペコリーヌ> これくらいならスキンシップですよ！(なでなで、ぎゅうっとくっついて。満喫しちゃいます)   (2023/2/19 19:41:48)

羽鳥智世 ◆> あはは…。激しいと思うけど…。えっと、いらっしゃい、ペコリーヌ。（満喫されて、苦笑いを溢して。けれども、改めて迎える）   (2023/2/19 19:43:43)

ペコリーヌ> はい、改めてこんばんはっ。智世さんを見かけたのでとりあえず飛び込みました(じーっと見つめて顔をよせていき   (2023/2/19 19:45:30)

羽鳥智世 ◆> あ…ありがとうございます……。うれしいよ。（顔を寄せられると少しあかあか）   (2023/2/19 19:49:30)

ペコリーヌ> ふふ、智世さん♥(ぎゅう、くっついて、すりすり。ほっぺにかるくちゅっと口づけしちゃいます   (2023/2/19 19:51:04)

羽鳥智世 ◆> わっ…。ちゅうされるとドキドキするね…（くっつかれて、ペコリーヌの体に自分の体を預けて。頬へのキス、嬉しそうに）   (2023/2/19 19:53:57)

ペコリーヌ> 唇にもしちゃいます？(じーっと見上げて。軽く耳元にふーっといきをはいて   (2023/2/19 19:59:47)

ペコリーヌ> （おふとんかけときましょう   (2023/2/19 20:13:41)

おしらせ> 無言時間が25分を超えたため、羽鳥智世 ◆TaduQjWkbwさんが自動退室しました。  (2023/2/19 20:19:03)

ペコリーヌ> 　   (2023/2/19 20:23:08)

ペコリーヌ> (あ、間違えた、ちょっとだけこの間にいろいろしましょう。折角だからこのままゆっくりさせてもらいます   (2023/2/19 20:23:35)

ペコリーヌ> ん、とりあえず色々やることはすませました！(ぺかー。このまま失礼させてもらいますっ   (2023/2/19 21:06:27)

おしらせ> ペコリーヌさんが退室しました。  (2023/2/19 21:06:31)

おしらせ> レムさんが入室しました♪  (2023/2/19 21:33:57)

レム> こんばんは♪ 今夜はレムが一番乗りみたいですね、上の方は少し賑わっているみたいでレムは嬉しいです…♪   (2023/2/19 21:37:20)

おしらせ> 桜花あさひ ◆gAmHDzY8Wcさんが入室しました♪  (2023/2/19 21:48:43)

桜花あさひ ◆> こんばんはだ〜♪   (2023/2/19 21:48:50)

レム> おや、いらっしゃいませ…♪ ごゆっくりしていってください♪   (2023/2/19 21:50:47)

桜花あさひ ◆> えへへ、メイドさんだ〜っ♪……んぅ、ちゃんとお話するの初めて〜…？ふふっ、あさひはあさひだよ〜♪   (2023/2/19 21:52:15)

レム> あさひ様…レムはレムです♪ 初めましてになると思うのでゆっくりと仲良しさんになっていきましょうね (ソファに腰掛けて微笑んでいます♪)   (2023/2/19 21:54:43)

桜花あさひ ◆> レム姉ちゃんだな〜っ♪ふふ、もちろんっ！いっぱいお話して仲良しになるぞ〜っ♪(隣に腰かけニコニコ笑い返して)   (2023/2/19 21:56:00)

レム> 元気いっぱいですね、良いことです♪ あさひちゃん…ちゃん付けの方がよろしいでしょうか？　(素敵な笑顔にレムも自然と笑顔になってしまいます♪)   (2023/2/19 21:59:28)

桜花あさひ ◆> そうだぞ♪あさひは毎日元気だ〜♪えへへ、そうだな〜…様って言われるより、そっちの方が好きだな〜っ♪   (2023/2/19 22:00:44)

レム> それでは…あさひちゃんっとお呼びしますね♪ お元気でクレーちゃんを思い出してしまいます…♪ 今夜はまだ集まらないようですね… 皆様…   (2023/2/19 22:06:10)

桜花あさひ ◆> うん！ふふ、クレーも元気だよなーっ♪んぅ忙しかったりするのかな〜……   (2023/2/19 22:07:36)

レム> はい、クレーちゃんはいつもお元気でレムは元気をもらっています…♪ そうですね…日曜ですから休日を満喫してる方達もいらっしゃるのかもしれません♪   (2023/2/19 22:09:19)

桜花あさひ ◆> じゃああさひもレム姉ちゃんに元気分けてあげるぞっ♪…日曜の夜だからガックリしてる人もいるかもだな〜…あさひも日曜日の夜は少しやだなぁ……   (2023/2/19 22:12:26)

レム> ありがとう、あさひちゃん♪ レムも日曜の夜はあまり好きではありません… 月曜日が来ると憂鬱になってしまいますので…(ずーん…)   (2023/2/19 22:17:42)

桜花あさひ ◆> 学校は好きだけど〜…朝寒いのに早起きしないとだから苦手だぞ〜…わっ、レム姉ちゃん元気出すんだぞっ(なでなで)   (2023/2/19 22:21:49)

レム> レムは元気いっぱいです…♪ あさひちゃんも朝には弱い方なのですね、レムもあまり強くないので貴女のお気持ちはわかりますよ… (お返しにぎゅっと抱き締めてあげます♡)   (2023/2/19 22:24:02)

桜花あさひ ◆> んぅ…えへへ、あさひなのに朝に弱いんだぞ〜…♪ふふ、暖かいな〜っ♪(クスクス笑いながらむぎゅぅっと抱きついて)   (2023/2/19 22:25:10)

レム> レムも暖かいです…♪ (優しく頭を撫でてあげて)   (2023/2/19 22:37:09)

桜花あさひ ◆> ふふふ、元気いっぱい分けてあげるからなぁ……♪(すりすりと擦り付き、撫でられれば心地よさそうに笑って)   (2023/2/19 22:39:28)

レム> もうたくさん貰っていますよ♪ レムは元気いっぱいになりました、あさひちゃんのおかげですね♪ すみません、少し眠気が…   (2023/2/19 22:46:08)

桜花あさひ ◆> ほんとかっ♪？えへへ、元気になったなら嬉しいぞ〜♪(むぎゅ)そっか〜♪ふふ、眠たい時は無理しない方がいいぞ……っ♪   (2023/2/19 22:50:12)

レム> せっかく来てくれたのに…すみません、あさひちゃん。寝落ちしない前に落ちてしまいます…眠れなかったら戻ってくると思いますので…(なでなで)   (2023/2/19 22:54:59)

桜花あさひ ◆> ん、気にしなくていいのに〜♪ゆっくり休むんだぞ〜♪(すりすり)   (2023/2/19 22:56:53)

