/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2020年09月19日 17時59分 ～ 2020年10月09日 00時39分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

東北イタコ> むむむむ…(何かお悩みなイタコちゃんですわ)   (2020/9/19 17:59:58)
東北イタコ> ずんちゃんのずんだー…　ずんちゃんのずんだー…　なんだか取っても卑猥な気配がしますわ！(おいこら)   (2020/9/19 18:29:26)

東北イタコ> さてはて、ずんちゃんは気楽に構えて下さいな。仮眠してそのまま「だるーい」って成っても全然構いませんから。辛い時には「だるーい」ってするの、大事ですわよ   (2020/9/19 18:31:09)

東北ずん子> ずんだはえろい、これは明白(こく　んー、そうですね。ちょっと動く気持ちもつけつつ。ゆっくりねてきますー(ずるずる   (2020/9/19 18:31:55)

東北イタコ> はぁい。　お疲れ様ですわ、ずんちゃん。(ちょっと回り込むとオデコにちゅっ、ちゅっ、ってしてあげて)   (2020/9/19 18:33:40)

東北イタコ> それでは私もお暇しますわー(ヘルメット被ってグローブ付けて)   (2020/9/19 18:34:08)

おしらせ> 東北イタコさんが退室しました。  (2020/9/19 18:34:15)

東北ずん子> …いってらっしゃーい？   (2020/9/19 18:34:16)

おしらせ> 東北ずん子さんが退室しました。  (2020/9/19 18:34:20)

おしらせ> 東北イタコさんが入室しました♪  (2020/9/19 22:02:53)

東北イタコ> ちゅわーっ。思ったより時間がかかりましたわ　(尻尾パタパタ)   (2020/9/19 22:03:22)

東北イタコ> 時間の流れは早いですわねえ…ちゅわ。   (2020/9/19 22:08:16)

東北イタコ> ちゅーちゅーちゅわ、わ～   (2020/9/19 22:17:02)

東北イタコ> んー、背筋が少し痛いですわ   (2020/9/19 22:23:42)

東北イタコ> 前傾姿勢ですものねぇ…角度が浅いとは言え   (2020/9/19 22:35:36)

東北イタコ> ちゅわわ…はふう   (2020/9/19 22:44:51)

東北イタコ> べありんぐの死にかけてる換気扇はゴロゴロ五月蠅いですわー   (2020/9/19 22:49:41)

東北イタコ> んふーふ。ROMさんが一人ですわねぇ…(ぼんやりと)   (2020/9/19 23:06:18)

東北イタコ> 一旦お暇しますわぁ   (2020/9/19 23:14:22)

おしらせ> 東北イタコさんが退室しました。  (2020/9/19 23:14:32)

おしらせ> 東北きりたんさんが入室しました♪  (2020/9/20 01:17:47)

東北きりたん> こんばんはです。目が覚めてしまいました。   (2020/9/20 01:18:13)

おしらせ> 東北ずん子さんが入室しました♪  (2020/9/20 01:20:00)

東北ずん子> おはようございましたー？   (2020/9/20 01:20:09)

東北きりたん> ん、ずんねえ様。おはようございました(ふわわ。寝起きなのでお顔トロットロなきりたんです   (2020/9/20 01:20:41)

東北ずん子> おや…おねむですか？寝起きの顔ってちょっとえっちいですよね(じーっと顔を見つめて   (2020/9/20 01:21:20)

東北きりたん> ん、おねむではないのです。むしろ、今の欠伸で眠気さんがいなくなりました…って、姉様はすぐそっちの方向へ〜(恥ずかしそうにむぅー   (2020/9/20 01:22:20)

東北ずん子> 私にえろいことをぬかしたらずんだとふとももしかのこりません！　眠気ですかー、最近ちゃんと起きれないから悩ましい(うーんっと)   (2020/9/20 01:24:27)

東北きりたん> じゃあその太ももでずりずりして欲しいですかね(むふぅ)最近ちゃんと起きれてないのですか？それなら私がそばで寝てあげます。   (2020/9/20 01:25:25)

東北ずん子> きりたんのまくら、これが本当のきりたんぽ！あ、えっとふとももでずりずりするのはいいのですが…ふとももでずりずり？(きょとん、首傾げ)   (2020/9/20 01:27:00)

東北きりたん> はい。私のきりたんぽはいくらでも使っていいので、それの対価として。姉様の極上の太ももをいただきます(手を握ってにひ。と   (2020/9/20 01:27:59)

東北ずん子> もっとわからなくなったよきりたん！？い、いやわたしのふとももはいくらでもフリーダムだけど(てをにぎにぎ。しっかり触れておきましょう)   (2020/9/20 01:29:27)

東北きりたん> えへへ、姉様。お部屋行きませんか…？太ももの使い方を教えてあげます♡(目をとろんとさせながらも、意識はしっかり持っている様子で   (2020/9/20 01:31:28)

東北ずん子> え、あ、はい(よいしょ、てをひいていきましょう。お部屋はきりたんにお任せもーど)   (2020/9/20 01:32:25)

東北きりたん> 完全なるプライベートルームです。さあ、行きましょうねえ様♪(お部屋立てたよって言うのを遠回しにちょっとえっちく表現♪   (2020/9/20 01:33:34)

おしらせ> 東北ずん子さんが退室しました。  (2020/9/20 01:34:48)

おしらせ> 東北きりたんさんが退室しました。  (2020/9/20 01:35:22)

おしらせ> 琴葉茜さんが入室しました♪  (2020/9/20 02:06:51)

琴葉茜> よいしょっと、明日お休みやー！今日は死ぬほどねてやるでー！！………あれ？(といいながらこの時間で起きてるのに自分でも疑問？まぁ、ええかぁ。寝るためにゆっくり起きるで！)   (2020/9/20 02:07:53)

おしらせ> 無言時間が20分を超えたため、琴葉茜さんが自動退室しました。  (2020/9/20 03:15:40)

おしらせ> 東北ずん子さんが入室しました♪  (2020/9/20 13:11:13)

東北ずん子> あつい、せつめいふよう！(扇風機ほしいです、夏は、まだなつはつづくんでしょうか)   (2020/9/20 13:18:16)

おしらせ> 東北きりたんさんが入室しました♪  (2020/9/20 13:33:37)

東北きりたん> ……(背後からそろ〜り。ほっぺたにアイスくっつけて   (2020/9/20 13:33:55)

東北ずん子> ふぇあう!?(びっく、おもわずからだ跳ねちゃいます)   (2020/9/20 13:37:22)

東北きりたん> 暑いならアイスを、です(にっこり微笑みながらも、突然はさすがにやりすぎたかな？なんて   (2020/9/20 13:38:06)

東北ずん子> アイスですけど、ですけど。どっちかというと私はカップアイスがすきですっ(ぐわんっとふりかえって、むぅっとほほを膨らまし)   (2020/9/20 13:39:57)

東北きりたん> もちろんそっちも買ってきましたよ？(頬に当てるなら棒系がいいかと。なんてくすくす笑って   (2020/9/20 13:41:12)

東北ずん子> わーい、ともあれこんにちはー、きりたん。あついですねー、本当に(ぺろり、ちょっとアイスをもらってなめておきましょう)   (2020/9/20 13:46:05)

東北きりたん> 姉様の暑い日のアイスには弱い…♪挨拶が遅れましたね。こんにちは。姉様(2人でアイス食べながらのんびり。   (2020/9/20 13:49:50)

東北ずん子> アイスよりきりたんぺろぺろがいいですー。ともあれこんにちはー、ちょっとまってくださいね(ぱったぱた、ちょっとあつさでだらけずんだー)   (2020/9/20 13:56:11)

東北きりたん> きりたんぺろぺろ？な、なにするきですか姉様。あ、わかりましたー(暑さでだらけてる姉様横目にアイスぱく   (2020/9/20 14:05:17)

東北ずん子> (ひとまずちょっとおさがしものちゅうだけどきりたんのほっぺぺろっとなめるずんだ)   (2020/9/20 14:05:31)

東北きりたん> (お探し物に集中しろー。ってツンデレ気味に声上げちゃうきりたんぽ   (2020/9/20 14:06:03)

東北ずん子> よーし、あいすもいいけどぽっきーもいかがですかー(ぱたぱた、とりあえずあらためてアイスをたべつつ用意できたしきりたん抱き着きもーど)   (2020/9/20 14:10:12)

東北きりたん> それを言うならトッポでは……？仲間でホワイトチョコたっぷり…♡(ぎゅ。と抱きしめ返して   (2020/9/20 14:14:05)

東北ずん子> その点とっぽってすげぇよな！ホワイトチョコ…きりたんにたっぷり？(きょとんっとしながらきりたんぽのあったかなぬくもりぬくぬくたんのうしましょう)   (2020/9/20 14:15:06)

東北きりたん> ずんねえ様がポッキーなら、わたしはトッポですね(えへへ。なんて口元緩ませながら   (2020/9/20 14:18:10)

東北ずん子> むしろぎゃくじゃないでしょうか。というかなんのはなしですかー！(きりたんのほっぺ手でのばしー)   (2020/9/20 14:20:09)

東北きりたん> 逆なんですか〜…？中までホワイトチョコたっぷり、ですね(頬伸ばされながら、ぎゅむぅー   (2020/9/20 14:21:55)

東北ずん子> いや、まぁいいですけど、よーし、とりあえずきりたんをゆっくり最後までたのしまめばいいでしょうか(ふにふに。)   (2020/9/20 14:29:49)

東北きりたん> んふふ。それなら個室へGO、ですかね？(お手手握ってくすくす。   (2020/9/20 14:31:21)

東北ずん子> よーしいきますよー(てをにぎってぱたぱた)   (2020/9/20 14:34:29)

東北きりたん> えへへ、行きましょう〜♪(くすくす   (2020/9/20 14:36:19)

おしらせ> 東北きりたんさんが退室しました。  (2020/9/20 14:36:43)

おしらせ> 東北ずん子さんが退室しました。  (2020/9/20 14:36:46)

おしらせ> 東北イタコさんが入室しました♪  (2020/9/20 16:21:26)

東北イタコ> お暇ですわ…　(ソファにころりん)   (2020/9/20 16:21:44)

東北イタコ> 何方かとお会いするには表現悪いですけれども、釣り糸垂らしておく他ありませんわー…(玩具の釣り竿からキーコキーコと釣り糸垂らして、床にぺたん)   (2020/9/20 16:33:06)

東北イタコ> ちゅわぁぁ。　はふん。(ピコピコ釣り竿揺らして)   (2020/9/20 16:42:47)

東北イタコ> ゴソゴソ…(カルピス作ってコクコク…)   (2020/9/20 16:56:46)

東北イタコ> ちゅわーん…   (2020/9/20 17:09:22)

東北イタコ> あっと言う間に1時間、ですわぁ   (2020/9/20 17:20:05)

東北イタコ> どうしましょうかしらねぇ…(ぽややん)   (2020/9/20 17:32:00)

東北イタコ> ぁふん。(玩具の釣り竿ぺちぺち)   (2020/9/20 17:46:52)

東北イタコ> 暇ですわぁ…(釣り竿放り投げてソファにころりん)   (2020/9/20 18:06:08)

東北イタコ> …そろそろ一旦お暇しましょうか？　気配もありません事ですし   (2020/9/20 18:11:02)

東北イタコ> ではでは、ちゅわわー   (2020/9/20 18:11:11)

おしらせ> 東北イタコさんが退室しました。  (2020/9/20 18:11:14)

おしらせ> 東北イタコさんが入室しました♪  (2020/9/22 09:12:00)

東北イタコ> ちゅわ～…眠いですわー…　おはようございますですの   (2020/9/22 09:12:31)

東北イタコ> 朝早くから目が覚めてしまって眠気が酷いんですの。　やれやれ、ですわ   (2020/9/22 09:14:21)

東北イタコ> 今朝の気温は、と…   (2020/9/22 09:17:08)

東北イタコ> ２４℃ですわねぇ。道理で涼しい訳ですわ   (2020/9/22 09:18:09)

東北イタコ> 暇ですわぁ…ちゅわぁ～ま   (2020/9/22 09:23:15)

東北イタコ> …誤字って恥ずかしいですわ！　ちゅわっ！   (2020/9/22 09:24:07)

東北イタコ> ちゅわ～…   (2020/9/22 09:31:42)

東北イタコ> 倦怠感著しいですわぁ…　　   (2020/9/22 09:36:56)

おしらせ> 無言時間が20分を超えたため、東北イタコさんが自動退室しました。  (2020/9/22 09:57:05)

おしらせ> ミント・ブラマンシュさんが入室しました♪  (2020/9/22 10:43:44)

ミント・ブラマンシュ> こんにちは、随分と久しぶりになってしまいましたが、少しだけお邪魔しますわね。（扉を開けると、以前訪れた時と同様、洋風のリビングが広がっていて。誰に言うでなく一言呟くと、戸棚から適当に駄菓子を取り出し、ソファーへぽすり。小さな身体には似つかわしくない年寄りじみたため息とともに、気だるそうにソファーの背にもたれ）
  (2020/9/22 10:47:18)

ミント・ブラマンシュ> しかしあれですわ、ここは天国ですわね。駄菓子はもちろん、ジャンクフードも完備だなんて。お給料さえ何とかなれば、もういっそここで暮らしたいくらいですわ。このハンバーガーも……ん～…ピクルスの配置が絶妙ですわね。（ダラダラとソファーでだらけながら、傍らに置いてあるハンバーガーを一口。うにょーん、とチーズの糸を引かせながら、どストライクに配置されたピクルスを噛みしめ、何とも幸せそうな顔で頬を緩ませて）
  (2020/9/22 11:03:50)

おしらせ> ユニさんが入室しました♪  (2020/9/22 11:09:25)

ユニ> ───やぁ、今日もいい天気だ。最初の連休から最後までこうも清々ささえ感じられる好天気なら、象牙の砦に引きこもるよりも外に旅するのがいいかも知れないな。……だがぼくぁ歩き疲れたよ。そういう事でお邪魔させてもらおうか。(ひょっこり、扉から顔を出しては…ゆるゆるとした空間におぉー、となる声を漏らしつつ。ひょこひょこと近くの、彼女がだらけている方とは向かい合った方のソファーに座り込んでははふ、と一息。)
  (2020/9/22 11:12:37)

ミント・ブラマンシュ> あ、あらあら、これはお見苦しいところを。おほほ…こんにちはですわ。（他の隊員たちの目がないことをいいことにだらけまくるミントだが、やってきた少女に気づくと、慌てて居住まいを正し、バツが悪そうに笑いながら口元に手を当て、先ほどまで想うさまテーブルに広げていた駄菓子やら何やらを、そっと端へ避けて）
  (2020/9/22 11:18:32)

ユニ> いやいや、気にしないよ。今更かしこまったところで心理的配慮疲労───端的に言うと、堅苦しいだろうから、気軽に寛ぎたまえ♪…その代わりだが、この某菓子を一つ頂いておこうか。(了承を得ることも無く勝手に伸ばした手は〇ッキーの箱をひょいと手に取って。ポリポリ、宛ら自分のものと言わんばかりに食べながら…漸く気づく、最初の礼儀を忘れたと。)……ああ、失礼。自己紹介をしてなかったね。…ぼくはユニ。聖テレサ女子学院(仲良し部)のギルドマスターさ。…だがらと言って余計に堅苦しくなるのはやめたまえよ？(にひぃ。)
  (2020/9/22 11:23:48)

ミント・ブラマンシュ> あら、そうですの？では、遠慮なくくつろがせていただきますわね。…お菓子ですか？えぇ、もちろん、わたくしもそこの戸棚から拝借しただけですから遠慮はいりませんわ。（気軽に、そう口にする彼女に小さく微笑みながら、そんな彼女の様子にこちらも返すように遠慮しなくていい、とひとつ添えて）ユニさん、ですわね。可愛らしいお名前ですわ♪わたくしは、ミント。トランバール皇国軍、ムーエンジェル隊所属・ミント・ブラマンシュですわ。（彼女の自己紹介にこちらも答え、名を名乗る。ギルドマスター、という肩書に少しだけ目を丸くしながらも、堅苦しくなるのは、と彼女の気遣いに、小さく微笑んで）
  (2020/9/22 11:37:17)

ユニ> そうそう、弛緩的自然体……ざっくり言えばだらだら過ごすのは休日の特権だからね。…ふむ、つまりミント君はあれかい？名の知らぬ姿なき主の部屋に勝手に寛ぎ、あまつさえ食糧を頂戴して僕に片棒を担がせたのかな？(くわっ、目を見開き詰め寄ってイチャモンを付けるけれども、あくまで戯言系交流……ジョークである。｢間に受け取らないでくれたまえ｣、なんて言ってはさりげなくお隣に詰め寄って。)それにしても大層な肩書きを持っているじゃないか。…むむ、だがぼくは軍には屈しないぞっ。(ふんす、変なところで反抗心をむき出しにしつつ…最後の1本をポリポリしながら…ぎゅ、と彼女の手を両手で掴んでみたり)
  (2020/9/22 11:44:39)

ミント・ブラマンシュ> ふふふ、大丈夫ですわ、バレなきゃ犯罪ではありませんのよ？くすくす、これでユニさんも、共犯ですわ。（彼女のたしなめるような言葉に、どこか楽し気に言葉を返す。もちろんジョークなのはわかってはいる。でも、楽しくてついその言葉に乗っかってしまったようで）大層だなんてとんでもありませんわ。わたくしはしがない一軍人。駄菓子とジャンクフードを愛する一般ピーポーですのよ。（そうこう言っている内にお隣に来てくれた彼女はミントの手を取る。123cmと小さなミントは、とりわけ小柄な彼女と並んでも二回りは小さいだろうか。彼女とのやり取りにクスリ、と一つ笑みを零しながら掴まれたてをぎゅ、と握り返して）
  (2020/9/22 11:57:11)

ユニ> ふむ…実に便利な言葉だね。ならば共犯に仕立てた責任を取ってもらおうか♪(こちらのジョークを良い形で切り返す彼女におぉ、と感嘆しながらも。いたずらっぽく笑っては肩どうし合わせるようにくっつけつつ…けれども時間をちら、とみては｢期限は無いよ｣とも言っておこう。)ふむ、キミは実に世俗的で、青春と恋愛にも経験している風に見えてぼかぁ羨ましいよこの野郎♪(…とあるギルドの少女達以上に小柄な彼女、きっとナチュラル無礼な後輩が見たら…。ケホンケホンと咳払いをしながらも｢お昼は大丈夫なのかね｣なんて聞いてみよう。挨拶程度でお開きしても構わないつもり。)
  (2020/9/22 12:03:58)

ミント・ブラマンシュ> ふふ、えぇ、わたくしでとれる責任であれば如何様にも。（他愛もないジョークのやり取りに目を細めながら、頭から伸びるロップイヤーがピコピコ。互いにくっついた肩に気恥しそうに、でも嬉しそうに小さく笑い）ふふ、買いかぶり過ぎですわ。…そうですわね。お名残り惜しいですが、一度退散してお昼をいただかないといけませんわね。食後にまた戻ってきますので、そのあとにまたお話してくれるなら、お時間はいつまででも大丈夫ですわね。（伺うような彼女の言葉に少し申し訳なさそうに答える。バツが悪いようなでも期待するような視線でそんな彼女を見遣って）
  (2020/9/22 12:16:40)

おしらせ> 無言時間が20分を超えたため、ユニさんが自動退室しました。  (2020/9/22 12:23:59)

おしらせ> ユニさんが入室しました♪  (2020/9/22 12:24:56)

ユニ> 【すまない、先程から電波が悪いみたいだ…時間が掛かるのがもどかしいのならまた時間か日を改めてお邪魔させてもらおうかな…】   (2020/9/22 12:25:49)

ユニ> 【…む、下記の返事は少しして返すが、とりあえずはお昼を食べに行きたまえ。ぼくも後ほど食べ終わった時にまたお邪魔させてもらおう。】   (2020/9/22 12:27:12)

ミント・ブラマンシュ> 【いえ、どうかお気になさらないでくださいまし。ではお言葉に甘えて、一度失礼しますわね。また後程、お気が向くようでしたらお声化下さいまし。それでは。】   (2020/9/22 12:29:00)

おしらせ> ミント・ブラマンシュさんが退室しました。  (2020/9/22 12:29:09)

おしらせ> 無言時間が20分を超えたため、ユニさんが自動退室しました。  (2020/9/22 12:47:20)

おしらせ> ユニさんが入室しました♪  (2020/9/22 13:27:37)

ユニ> ふう…ただいま戻ってきたよ。(しれっと。電波が戻ってきて一安心＆食事を済ませて満足気な表情を浮かべながら…先程居たソファーの上に座り込んで。)…さて、彼女は来るのだろうか…いや、他の来訪者もきっと来るはずだ、うん間違いない。尤もぼくは余程の頓珍漢でない限り、この心広い気持ちで歓迎しようではないか。(んばっと両手広げてアピール)
  (2020/9/22 13:31:18)

おしらせ> 無言時間が20分を超えたため、ユニさんが自動退室しました。  (2020/9/22 13:51:28)

おしらせ> ミント・ブラマンシュさんが入室しました♪  (2020/9/22 13:51:53)

おしらせ> ユニさんが入室しました♪  (2020/9/22 13:53:26)

ミント・ブラマンシュ> 【こんにちは。申し訳ありません。遅くなってしまいましたわ。それから、もうひとつ、本当に申し訳ないのですけど、背後の都合で、3時くらいから急な用事が入ってしまいましたの。せっかく待ってくれたというのに、ほとんどお時間取れなくなってしまって、本当に申し訳ありません。】
  (2020/9/22 13:56:49)

ユニ> 【やぁ、おかえり。成程、急用は誰もが起こり得る突発的事態…故にぼくの事は気にしないでくれたまえ。…早速だけど個室の方でのんびりするかい？それともここでまったり過ごすかい？】   (2020/9/22 13:58:46)

ミント・ブラマンシュ> 【本当にお気遣いありがとうございますわ。では、お言葉に甘えて少しばかり個室でおしゃべりさせていただいてもよろしいですか？】   (2020/9/22 14:00:41)

ユニ> 【なぁに、ぼくもお昼時に失態をおかしてしまったからね、お互い様さ。…ふふ、了解した、早速お部屋を建てたから、準備が出来次第きたまえ。ぼくはひと足早く待っているよ。】   (2020/9/22 14:01:51)

おしらせ> ユニさんが退室しました。  (2020/9/22 14:02:04)

ミント・ブラマンシュ> 【はい。では、伺いますわね。】   (2020/9/22 14:02:24)

おしらせ> ミント・ブラマンシュさんが退室しました。  (2020/9/22 14:02:31)

おしらせ> 琴葉茜さんが入室しました♪  (2020/9/22 20:17:51)

琴葉茜> まーるきゅーちるのはーおいしーそおやーけどー。うーん、この間のひじきのニコニコ流星群凄かったわぁ。あーいう手がこんだ動画見れるのはうれしいでー。(んしょっと。祝日終わって逆にひといきついたあかねちゃんやデー。)   (2020/9/22
20:19:53)

おしらせ> 無言時間が20分を超えたため、琴葉茜さんが自動退室しました。  (2020/9/22 20:43:44)

おしらせ> ユニさんが入室しました♪  (2020/9/23 20:28:45)

ユニ> やぁ、四連休も終わって皆肉体的疲労、精神的疲労…砕けて言うとへとへとアンドへろへろの状態では無いかね。
…ぼくは1番忙しいこの日はお休みだったものでね、本を読み耽り、秋風に靡かれたまま心地よい惰眠を耽って…嗚呼、いい一日だった…♪(くぁ、と軽く欠伸しつつ、ソファーの上でごろごろ)   (2020/9/23 20:31:20)

ユニ> しかし、しかしだ…今日が水曜日と言うのを全くと言っていいほど認知出来なかった。皆も今日は火曜日とか思っていたんじゃないかね。
…そして明日は木曜日、要するに1週間の半分が終わってしまったということだよ。……やれやれ、なんて一日一日が早く過ぎてしまうのだろうね。とは言えだ、早いということはそれだけ休日も早く来るということ。希望的観測、言い換えればポジティブに捉えようじゃないか。  
(2020/9/23 20:43:35)

おしらせ> 無言時間が20分を超えたため、ユニさんが自動退室しました。  (2020/9/23 21:06:12)

おしらせ> 東北イタコさんが入室しました♪  (2020/9/25 22:07:48)

東北イタコ> ちゅわっとお邪魔致しますわ   (2020/9/25 22:08:12)

東北イタコ> 何方か会えるか。それは結局は顔を出せるか否かで決まりますものね…   (2020/9/25 22:09:15)

東北イタコ> (ソファに座ってぼんやりぼんやり。なんとなーく軽い読書をしてみたり。)   (2020/9/25 22:17:35)

東北イタコ> あら、ぞろ目   (2020/9/25 22:22:25)

東北イタコ> ちゅわ。秒までニアミスですわ(ちょっとびっくり)   (2020/9/25 22:23:21)

東北イタコ> こう言う事もあるのですわねぇ…(偶然ってびっくり)   (2020/9/25 22:31:06)

東北イタコ> ちゅわぁ…(暇ですわ。ってぼんやり)   (2020/9/25 22:35:50)

東北イタコ> ちゅわん。   (2020/9/25 22:48:19)

東北イタコ> (小腹が空いたのでインスタントのお味噌汁をひとつ…)   (2020/9/25 22:51:25)

東北イタコ> はふー…   (2020/9/25 23:01:01)

東北イタコ> 何方も来ませんわねぇ…　明日はサタデーナイトフィーバーですから、それに備えているのかしら？   (2020/9/25 23:01:42)

東北イタコ> お暇しましょ。　るんるるーん   (2020/9/25 23:04:43)

おしらせ> 東北イタコさんが退室しました。  (2020/9/25 23:04:48)

おしらせ> 東北きりたんさんが入室しました♪  (2020/9/26 11:02:16)

東北きりたん> こんにちは。土日はいつも大抵休み。東北きりたんです   (2020/9/26 11:02:39)

おしらせ> 東北きりたんさんが退室しました。  (2020/9/26 11:22:02)

おしらせ> 東北きりたんさんが入室しました♪  (2020/9/26 20:21:47)

東北きりたん> こんばんはです。お邪魔しますね   (2020/9/26 20:22:03)

おしらせ> 東北きりたんさんが退室しました。  (2020/9/26 20:45:00)

おしらせ> 東北イタコさんが入室しました♪  (2020/9/30 23:16:22)

東北イタコ> ちゅわ～。久しぶりに顔出しですわ～。　皆様御元気にしてます事？   (2020/9/30 23:16:55)

東北イタコ> イタコおねーちゃんは、辛いこともあるけれど、ぼちぼち何とかやって居ますわ   (2020/9/30 23:18:55)

東北イタコ> そんなイタコおねーちゃんはラブラブちゅっちゅしたいのですわ！　健全でも不健全でも(ぉ)   (2020/9/30 23:21:20)

東北イタコ> でも人が居ないことにはラブラブ出来ませんわー　とほほ…   (2020/9/30 23:23:30)

東北イタコ> (版権百合物って需要が少ないのかしら？　知りませんけれども)   (2020/9/30 23:25:50)

東北イタコ> (とりあえずソファーに腰掛け)   (2020/9/30 23:30:51)

東北イタコ> ちゅわー。もう11時半なのですわねぇ   (2020/9/30 23:34:16)

東北イタコ> さてはて如何しましょうかしら？   (2020/9/30 23:38:29)

東北イタコ> このままぼんやりしても構いませんけれども、誰かが顔を出す保証もありませんものねぇ   (2020/9/30 23:45:00)

東北イタコ> さてはてもう12時前ですわねぇ   (2020/9/30 23:55:16)

東北イタコ> そろそろお暇の時間かしら。ちゅわ～   (2020/10/1 00:01:37)

東北イタコ> んー。あと少しだけ   (2020/10/1 00:03:55)

東北イタコ> ちゅわー。   (2020/10/1 00:10:49)

東北イタコ> お暇しましょ。　おやすみなさいですわー   (2020/10/1 00:11:10)

おしらせ> 東北イタコさんが退室しました。  (2020/10/1 00:11:17)

おしらせ> 東北イタコさんが入室しました♪  (2020/10/1 21:14:43)

東北イタコ> ちゅわっと参上。イタコおねーちゃんですわ   (2020/10/1 21:15:06)

東北イタコ> もー、ツンツン遊んでる携帯電話のゲームが難しくてやんなっちゃいますわ。敵がワラワラ出て来て切りが無いったら、ねぇ？   (2020/10/1 21:16:15)

東北イタコ> はて、爪切りは何処かしら～？   (2020/10/1 21:23:44)

東北イタコ> (ありましたわ～！　ぉ)   (2020/10/1 21:28:31)

東北イタコ> 平和ですわねぇ…   (2020/10/1 21:33:49)

東北イタコ> ちゅわ～…(やる事も無いのでぼんやり)   (2020/10/1 21:47:42)

東北イタコ> (ぽややん)   (2020/10/1 21:56:00)

東北イタコ> 誰も来ませんわねぇ～   (2020/10/1 22:04:43)

東北イタコ> ふぅ。お暇しちゃいましょ。ですわ～   (2020/10/1 22:07:46)

おしらせ> 東北イタコさんが退室しました。  (2020/10/1 22:07:53)

おしらせ> 琴葉葵さんが入室しました♪  (2020/10/2 20:22:54)

琴葉葵> やっほー。家事と生き物飼育と仕事に疲れてる葵ちゃんだヨ。(本気の疲れ目でアハハと笑いならがらピノアイスもぐもぐ)   (2020/10/2 20:25:36)

おしらせ> 無言時間が20分を超えたため、琴葉葵さんが自動退室しました。  (2020/10/2 20:46:48)

おしらせ> 琴葉葵さんが入室しました♪  (2020/10/2 22:09:37)

