/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年12月26日 01時28分 ～ 2022年12月26日 12時05分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

錦木千束> 平和…ってことだね。少なくとも、今のこの国じゃ（うんうん）   (2022/12/26 01:28:51)
藤原妹紅 ◆> ギター、、、？、、確か...外国の楽器か（なんか妖精が引いてるのを見た気がする...）通りで指に弦タコがあるわけだ（と納得しては、、あんまり似合わないな、と失礼な事を考えて>後藤   (2022/12/26 01:38:10)

喜多 郁代> アニメの曲ね！私もいくつか聞いてみようかしら…♪（にこ）…歌わない気満々…！？>ひとりちゃん   (2022/12/26 01:38:54)

後藤ひとり> あ、はい…まあギターを少しやっていて……妹紅さんは何か楽器を引くとかあるんですか？……(じーっ)   (2022/12/26 01:39:09)

喜多 郁代> そ、そういうことじゃないわよ！？も、もうっ！曲解だから…！>藤原さん   (2022/12/26 01:39:13)

後藤ひとり> 色々ありますよ………！あ、違います！ウケ狙いで叫んだり変な曲歌わないってことです……！   (2022/12/26 01:39:38)

喜多 郁代> あ、そういうこと…♪じゃあ、ひとりちゃんのオススメいくつか教えて貰っちゃおうかな…♪カラオケでデュエットしたり…♪…あ、そういうことなのね！？それなら良かった…♪   (2022/12/26 01:41:48)

藤原妹紅 ◆> 私？....さっき言った琴だよ琴（平安貴族である...）まぁ三味線も一応引けるけど...（器用貧乏>後藤   (2022/12/26 01:43:30)

後藤ひとり> は、はい！……2人で歌える曲なら是非……！そうですね私は基本的にきららのアニメの曲なら………はい……デスメタルな曲とかは入れませんね………   (2022/12/26 01:43:41)

後藤ひとり> 琴……三味線………渋いですね………   (2022/12/26 01:43:55)

藤原妹紅 ◆> そうかぁ？...顔はそう言ってないけどな（と意地悪な感じで揶揄って...）>喜多   (2022/12/26 01:44:27)

喜多 郁代> き、気の所為！気の所為ですからっ！（左右に目を泳がせ、少しだけ顔も赤くなりながら否定して…）>藤原さん   (2022/12/26 01:45:11)

藤原妹紅 ◆> まぁ、な、、古い人間だしな私も（見た目と発言が合っていない）...ギターってのはどんな感じの楽器なんだ？（渋い、と言われれば逆にどんなものか気になって...>後藤   (2022/12/26 01:45:39)

藤原妹紅 ◆> そうか？...まぁそこまで言うなら気のせいなんだろうな（と分かっていながら優しく引き下がる>喜多   (2022/12/26 01:46:22)

喜多 郁代> ふんふん、きららアニメ、なんかそういうジャンルがあるのね…♪帰ったら色々調べてみるわっ…！そんなの入れたら多分伊地知先輩と私が心配してとめるとは思うけど…（苦笑い…）   (2022/12/26 01:46:25)

後藤ひとり> と言う割には若いですけど………ギターは………こんな感じですね……(ギターケースから普通に取り出して見せつけて)   (2022/12/26 01:47:13)

後藤ひとり> はい！……(実は私たちもその仲間ですけど……)そ？そうですか？ここはやっぱり無難に……新時代とか入れた方が……   (2022/12/26 01:47:53)

喜多 郁代> あ、それは聞いたことある…！ふふ、ひとりちゃんの歌う新時代どんな感じになるのか楽しみ…♪   (2022/12/26 01:50:47)

藤原妹紅 ◆> ほぉ...なんか、こう、、ごつい三味線、だな（感想ェ...）弦も...鉄か？これ、、、なんか凄いな、もし良かったら触ってみても良いか？（とちょっと好奇心に駆られて質問してみる...>後藤   (2022/12/26 01:51:37)

喜多 郁代> ほっ…もう、勘違いしないでくださいね？（何とか逃れることが出来れば一息付きながら視線を逸らし…）   (2022/12/26 01:51:53)

後藤ひとり> あ、逆に喜多ちゃんはどんな曲を歌ったりするんですか………？ もちろんいいですよ？……引いてください……＞妹紅さん   (2022/12/26 01:52:53)

喜多 郁代> そうね、わたしは自分の好きな曲と、あとはやっぱり盛り上がる知名度の高い新曲とかが多いかしら…♪   (2022/12/26 01:54:22)

後藤ひとり> らしいですね……好きな曲とか気になります………   (2022/12/26 01:56:30)

藤原妹紅 ◆> 悪い悪い、、、気をつけるよ（間違いなく惚気だな>喜多   (2022/12/26 01:57:10)

喜多 郁代> うーん…でも、恋愛ソングとか多いし、ひとりちゃんの青春コンプレックスに思いっきり触っちゃうと思うけど大丈夫…？   (2022/12/26 01:59:19)

喜多 郁代> （なんか見透かされてる気がする…！）>藤原さん   (2022/12/26 01:59:35)

藤原妹紅 ◆> ひ、弾けるかなぁ...（どう見ても三味線より複雑そうなギターを借り受けて...）.....（ギャギャッ、と鳴る音に驚きながらも...）、、、こんな感じか？（と1〜3弦だけを使って音だけロックな三味線曲を鳴らし始める...）>後藤  
(2022/12/26 02:00:50)

後藤ひとり> だ、大丈夫ですよ……最悪耳を塞げばギリギリ何とか………   (2022/12/26 02:00:52)

藤原妹紅 ◆> ...ん？（ニコニコ>喜多   (2022/12/26 02:01:08)

後藤ひとり> そ、そんな感じですね……私も逆に琴とか三味線今度は引くことにしますね……   (2022/12/26 02:02:21)

喜多 郁代> 耳塞いでたら意味無いでしょ！？…もう、ちゃんとひとりちゃんでも聞けるような歌にするからね？>ひとりちゃん   (2022/12/26 02:02:29)

おしらせ> 伊地知星歌さんが入室しました♪  (2022/12/26 02:02:31)

喜多 郁代> な、なんでもないですっ…！（じとっ…）>藤原さん   (2022/12/26 02:02:50)

伊地知星歌> お邪魔しますよっと   (2022/12/26 02:02:52)

藤原妹紅 ◆> こんばんは。   (2022/12/26 02:03:01)

後藤ひとり> あ、こんばんは   (2022/12/26 02:03:45)

喜多 郁代> こんばんは、店長さん…♪   (2022/12/26 02:04:36)

伊地知星歌> 思わず寝れないからきちまった。(しかも怖そうな人いるよって)   (2022/12/26 02:04:41)

藤原妹紅 ◆> 結構激しい音だな（引きながら、何故かバリバリスラップを三味線のバチで弾くというなんとも奇妙な事を披露する...）琴は難しいからやめた方がいいぞ（ハハハ>後藤   (2022/12/26 02:05:02)

伊地知星歌> (喜多ちゃん呼びであってるのかなとちょっと戸惑いのかお)   (2022/12/26 02:05:19)

喜多 郁代> って、もうこんな時間…わたしもそろそろ寝ないと…ひとりちゃんに、藤原さん、遅くまでお話付き合ってくれてありがとう…♪   (2022/12/26 02:06:03)

藤原妹紅 ◆> ......（新しく入ってきた人に無言で親近感を覚えながら後藤に借りたギターを弾いて...）   (2022/12/26 02:06:20)

後藤ひとり> 私でも聞ける曲ですか………無理に合わせなくても大丈夫ですからね………あ、はいお疲れ様ですまた今度……♪   (2022/12/26 02:06:25)

喜多 郁代> 店長さんは入れ違いなっちゃってごめんなさいっ！またお話しましょうねっ！   (2022/12/26 02:06:32)

伊地知星歌> お疲れ様ちゃんと寝るんだよ。   (2022/12/26 02:06:44)

喜多 郁代> それじゃあおやすみなさい♪（キターーンｯ♪）   (2022/12/26 02:06:48)

おしらせ> 喜多 郁代さんが退室しました。  (2022/12/26 02:06:51)

後藤ひとり> (言われてみればさんだったかも……がーん)   (2022/12/26 02:06:56)

藤原妹紅 ◆> ん、お疲れ様。実るといいな！（謎の送り言葉）   (2022/12/26 02:07:04)

後藤ひとり> ギターすっかりハマってますね…   (2022/12/26 02:07:28)

伊地知星歌> なんか、親近感もたれた!?(ぼっちちゃんどうしようと見てて)   (2022/12/26 02:07:39)

後藤ひとり> 確かに2人とも見た目が強面ですよね……   (2022/12/26 02:08:12)

藤原妹紅 ◆> ....あ、（ハッとして）悪い悪い、つい新しいものに夢中に...（申し訳なさそうにギターを返して...）>後藤   (2022/12/26 02:08:33)

藤原妹紅 ◆> こわもっ、、、（え？そうなの？と自分の顔を触りながらハッとして）   (2022/12/26 02:08:56)

伊地知星歌> なにか言った？ぼっちちゃん(ん?)   (2022/12/26 02:08:56)

後藤ひとり> あ、いいんですよ……また今度見せますね………え？い、いや今のは聞かなかったことに……(目逸らし)   (2022/12/26 02:10:06)

伊地知星歌> なにか聞こえた気がするんだけど気のせいかごめんごめん(ぼっちちゃんの頭撫で撫でしてあげよう)   (2022/12/26 02:11:10)

後藤ひとり> 気のせいですよ……(目逸らしながらも撫で受けしてウトウト……)   (2022/12/26 02:12:45)

伊地知星歌> そうだよな、気のせいだよね。(頭撫で撫で）   (2022/12/26 02:13:09)

藤原妹紅 ◆> ...ん、私もそろそろ帰るかな。後藤、また今度お前が弾いてる姿を見せてくれ。（と言い残して会釈をしながら帰った）   (2022/12/26 02:13:19)

おしらせ> 藤原妹紅 ◆lxd9gSfG6Aさんが退室しました。  (2022/12/26 02:13:22)

伊地知星歌> お疲れ様(なんだろ親近感わかれたのまさか)   (2022/12/26 02:13:48)

後藤ひとり> 私も眠くて…   (2022/12/26 02:14:19)

伊地知星歌> あー寝てもいいんだよ、無理に起きてなくても私も暇だったからきただけだし（うんうん)   (2022/12/26 02:15:12)

後藤ひとり> なら寝ます？……(布団被り)   (2022/12/26 02:16:29)

伊地知星歌> え、私も寝ることかくてい?(きょとん)   (2022/12/26 02:17:18)

後藤ひとり> あ、なら私だけ……   (2022/12/26 02:19:00)

伊地知星歌> うん、お休みぼっちちゃんよく寝るんだよ？(頭撫で撫で）   (2022/12/26 02:20:12)

後藤ひとり> はい……♪ではまた♪   (2022/12/26 02:20:54)

おしらせ> 後藤ひとりさんが退室しました。  (2022/12/26 02:20:55)

伊地知星歌> 私も眠くなるまで、ゆっくりしてるかぁ。   (2022/12/26 02:36:29)

伊地知星歌> 思ったより早く眠くなってきたしねるかぁ、お休み   (2022/12/26 02:46:12)

おしらせ> 伊地知星歌さんが退室しました。  (2022/12/26 02:46:14)

おしらせ> ライネスさんが入室しました♪  (2022/12/26 03:45:14)

ライネス> 一階も二階も盛り上がりだろこれ…（なんだこのマテリア（と書いて過去ログと読む）の量を見て）これがイベント日…または休日という奴か…（流石に追いきるのに時間を要するだろうし後日として）いや、何…別に皆が楽しそうだから羨ましいという訳でもなくてだな。
  (2022/12/26 03:47:51)

おしらせ> アリスさんが入室しました♪  (2022/12/26 03:51:59)

ライネス> 寝る前に軽く年末の挨拶でもと思ってね…別に確定しているわけではないんだが、今年中に顔を出せる自信がないんだよ（どうも私の所の運営は世界を救うのに年末年始が丁度良いと思ってるらしい…そう。分かりやすく言うならFGOのメインストーリーで手一杯だ！絶対今回も物量あるの知ってるんだ私は！）と言う訳でね、こんな夜更けなら誰かの邪魔にもならないだろうから…いち早くの挨拶だ。この場が、またこんな風に活気付いて…おや？
  (2022/12/26 03:52:13)

アリス> どうも、こんばんは。　寝付けずにいたところに同じような方がいらっしゃったので。　少しだけご一緒してもよろしいですか？（ドアをあけては顔を覗かせて）   (2022/12/26 03:53:32)

ライネス> まさかこんな時間でもまだ起きてる悪い子が居るとは驚いた…。あぁ、長居するつもりはなかったが、折角だ。私で良ければ多少は付き合おうじゃないか（画面の向こう的な何かを向いていた視線をそちらに向ければおいでと手招きを）   (2022/12/26
03:56:24)

アリス> 今日はちょっと事情があってお昼に寝ていたせいか寝付けなくて。ありがとうございます、でっかい助かります。（自分より小さな少女に手招かれるのもなんだかこそばゆいが、素直にそちらに歩いてそばに）   (2022/12/26 03:58:42)

ライネス> それは何処かのタイミングで調整しないといけない奴だな…かと言う私も、昨日は帰宅してから横になってしまっていたが…何、袖振り合うのも多生の縁ともいうし。来てくれた相手は歓迎するとも（立ち話もなんだし、近くのソファにでもって手を取ってエスコートでもしようか）
  (2022/12/26 04:03:24)

アリス> そうですね、多分今日はエスプレッソでも飲まないとやってられないかもしれないです。そう言っていただけるなら。（ホストに歓迎されるなら、エスコートされるのが礼儀だろうとソファに座って）   (2022/12/26 04:05:57)

ライネス> 君はコーヒー派なのかい？それともカフェイン目的だろうか…（日中をそれで乗り切るつもりなら後が怖いぞー？なんて驚かすようにニヤけて）ま…私も大体この時間まで起きてると、ガムやチョコでも噛んで誤魔化さないと日中は辛いだろうなぁ（相手をソファまでつれれば隣同士で座ろうかとか…）
  (2022/12/26 04:09:48)

ライネス> （って今見てみたら私の方が身長高いじゃないか！小さくないな私…）   (2022/12/26 04:10:54)

アリス> そうですね、ネオ・ヴェネツィアは様々な風土が絡み合えど……基本的にはイタリアをベースにしているので。仕事中はコーヒー文化のほうが多いんです。もちろん、煎茶を頂いたり、紅茶を嗜まれる方も多いですけれどね（どう過ごしても結局カロリーかカフェインを摂るしかないのだ）
  (2022/12/26 04:15:31)

アリス> （そのプロフィール、私がペア（両手袋）時代のものなので今はもうちょっと伸びてますし……多分）   (2022/12/26 04:16:11)

ライネス> ネオ…？ヴェネツィアというと、あの運河の流れてる都市だよな。実際に赴いた事はないが、なかなかに景観の良い場所のイメージがあるよ。（頭にネオとかついてると…こう、何か仕掛けやネタがありそうな雰囲気あるな…とか内心思ったり）まー、オフィスだとコーヒーメイカーな所は多いか…コンビニも機械で入るのはコーヒーだものな（紅茶派な私としては少し残念な所だ）
  (2022/12/26 04:21:56)

ライネス> （なる、ほど…？何年か越しの続編があるのだったか…伸びてると………いいな？）   (2022/12/26 04:22:48)

アリス> そうですね、あのヴェネツィアの再現都市が私の住む場所なので。（色々あるんです。実は私は火星人だとか、色々）そうですね。理由はわかりませんけれど……煮出す時間が解決できないとかじゃないでしょうか。   (2022/12/26 04:29:22)

アリス> （流石に伸びてる……はずです。14歳の頃の身長ですし……。作中だけでも地球時間で6年近く経過してるはずなので…）   (2022/12/26 04:31:45)

ライネス> やはりネオとつくからには実際の場所とは異なるのか。まぁ有名な場所ではあるし…再現するには良いと思うが（でもあの運河、不憫な時とかない？って頭の中に記憶だけのヴェネツィアの風景を思い出し）ん〜、コーヒーも大概だが風味を活かすには温度の管理に浸す時間もあるしなぁ…美味しく淹れるには機械じゃ難しいか
  (2022/12/26 04:37:28)

ライネス> （それなら流石に伸びてないと不自然だね…ってさり気ないカミングアウトがあった気がする…火星、火星かぁ）   (2022/12/26 04:38:53)

アリス> まぁ…大分。様々に文化を移植した地域がありますが……私達はネオ・ヴェネツィアが職場になりますから。（不憫？といわれてもよくわからないけれど。どこも迷路のよう）緑茶とかもないですし基本的にはお茶は難しいんじゃないでしょうか。ティーバッグの方が手軽で美味しいとか。
  (2022/12/26 04:43:29)

アリス> （でっかい気の所為ですよ。）   (2022/12/26 04:43:48)

ライネス> なるほど、景色や立地をそのままに異なった文化の発展をしたか。（すでに不憫そうな要素がチラ見してるじゃないか…複雑な立地だろうしな）ティーバッグなら、持ち運びも手頃で種類も豊富なのは確かではあるが…必然洗い物が増えるんだよなぁ（お陰で最近は紅茶といってもペットボトルになるって少し残念そうに項垂れ）
  (2022/12/26 04:50:02)

ライネス> （異星の神とか…宇宙からの刺客とかユニヴァース時空とかの悩みの棚を抱えるこちらとしては宇宙人カミングアウトは見逃せないのだがっ！）   (2022/12/26 04:52:03)

アリス> まぁ……大体そんな感じだと思ってもらえれば。（とても濁した。立地は惑星単位で違うとか言い出すときりがないのだ）最近は大量に紅茶を作ってストックできる専用のおしゃれなピッチャーとかもあるので検討されてみてはどうでしょうか。   (2022/12/26
04:54:47)

アリス> （およそ私達が生まれる150年前、地球からすると22世紀あたりに大規模なテラ・フォーミング(火星を地球と同じ環境に改造する）計画が成功した世界の人間なだけですので……。血筋は地球人ですよ。）   (2022/12/26 05:00:04)

ライネス> そうだな。これ以上を知るとなれば…現地に行って実際に見聞きした方が早くなりそうだ（あぁ、ここで1から世界観の手解きを受けても仕方ないだろうしその辺は察していこう）紅茶をピッチャーで？…大量に作るとなれば質は落ちてしまうかもだが…一考の余地はある、か
  (2022/12/26 05:02:12)

ライネス> （そして結局受ける世界観の…ん？なんかそれ聞いたことがあるな。大丈夫かそれ、火星は黒光の生物でいっぱいだったりしないよな…？ちゃんと人間ってじぃーっと疑いの眼差しを）   (2022/12/26 05:04:21)

アリス> そうですね、その際はぜひ私達をご予約ください。こう見えて、観光案内を主にしたプロのゴンドリエーラなんですよ。（説明するのも仕事なので出来るけど。今は非番だし、そこまで言われても困るだろうし。）ですね。基本は水出しになるでしょうが。いちいち淹れる手間とかはでっかい減ります。
  (2022/12/26 05:08:22)

アリス> (成功したのでセーフです。そんなじょうじじょうじ言う生き物はいないです。)   (2022/12/26 05:09:20)

ライネス> んんん？？あ、あぁ…そういう、良いな。優雅に船観光をしつつ冷ややかな風が……なぁ。この季節にヴェネツィアでゴンドラなんて乗ると凍えないだろうか？（急に自分達を予約なんて言葉に訝しんで…。聞く分には楽しいが、そこに興味を持つぐらいなら…元を見るべきだろうしな。）特にこういう、いつ誰が使うかもわからない場所なら尚のこと適切だろうな。
  (2022/12/26 05:16:06)

ライネス> （良かった。水の都だけに水棲生物の力を借りてゴンドラを漕ぐ彼女たちなんていなかった！）   (2022/12/26 05:17:49)

アリス> 水路はどうしても風は強いのでそういったお客様に合わせて温かい煎茶のサービスでしたり、ブランケットの貸出、小型のランタン型ヒーター等の設置等の対策はこちらの方で準備いたしますよ。（柔らかなプロのスマイルを見せながら。）職場等なら、便利ですね。私はゴンドラの上なので普通に魔法瓶ですけれど。
  (2022/12/26 05:21:36)

アリス> （これでもヒーリング作品なので……）   (2022/12/26 05:25:51)

ライネス> ニーズにあったサービス提供で、利用者側はありがたいが…必然と荷物や業務量は増して大変そうだな。と、まぁそれが仕事と言ってしまえばそこまてだが。（なるほど…これなら商売としても問題なく成り立つ…と確信を得たのは説明より彼女の笑顔を見た結果の感想で）そう多くは乗らないだろうし…乗る相手が飲むとも限らなければそうもなるだろうな（需要と供給の割合的にも）それで行くと私の出先も人はそう多くはならんか…むしろ飲む人物も減る一方だろうし…
  (2022/12/26 05:31:55)

ライネス> （平和な日常作品は…気楽に見れるから良いよね。）   (2022/12/26 05:32:50)

アリス> 準備するのもお仕事の一貫ですし、貴重な観光のお時間を割いていただいているので。（プロの矜持は持たねばならないのだ。花形の仕事なのだから。）蓋ができないとこぼれちゃう方の都合ですね。お客様のお召し物を汚すのはでっかいNGです。  
(2022/12/26 05:37:16)

アリス> （ですね。ただ…それなりに古い作品なので百合アニメというわけじゃないですし、なんていうか……含蓄が深いというか……）   (2022/12/26 05:42:27)

ライネス> 殊勝な心掛けだね、その思いで頑張っていればその貴重な観光の思い出として振り返られる対象になり得そうだ（本人の真面目さと、職へのプライドが伝わってくる気がすると思えば微笑ましくなってしまうなと表情は和らいで）あー、どうしても揺れるだろうし仕方ないな（想像にかたくないイメージ映像が浮かぶのだった）
  (2022/12/26 05:47:10)

ライネス> （ん、だが直近とまでは言わないが、最近話題に出ていたし…何、ここは百合作品から百合をする訳じゃなく、各々が楽しく百合の花を咲かせる場所だと思うよ。…その時代の特色だな）   (2022/12/26 05:49:01)

アリス> そうですね。私達はそうなれることを常々望んでいますね。それが仕事ということもありますが。（そうと決めたあの日から、って自分の手のひらをなんとなく撫でたり）私達は極力揺らさない努力をしても、お子様連れとかですと揺れることも多いですからね。風が強いので、おてせいのしおりを飛ばされて身を乗り出されたりだとか。　
  (2022/12/26 05:55:06)

アリス> （多分話題に出したのも私ですかね……ここでなら。　それはそうなんですけれど。　胸がじんわりあたたまる不朽の名作なので…ぜひ。アマプラとかで見れるらしいですし。）   (2022/12/26 05:56:32)

ライネス> ふふっ、君は…おそらくにはなるが随分とな優等生みたいだね（相手がいつの思い出を掘り返してるかは不明だが…見て取れるものはあるわけで）ははっ…そう言うトラブルは仕方ないね。何、トラブルがあったとしても最悪濡れるだけで済んでしまうから味気ないもとい…そんな程度の話だろ。それも人によったら思い出になるだろうしっと…さて、このまま君との楽しい時間は過ごしたいが。それ程まで大切な仕事なんだ。影響が出てしまってもいけないし…そろそろ眠気は復活し始めたかい？
  (2022/12/26 06:04:14)

ライネス> （あー、この部屋でという意味なら察しているよ。元ネタとして映画化？とかだったか…？ダイマされてしまった。来季であまり好ましいのがなければその言葉を思い出すとしようか）   (2022/12/26 06:05:41)

アリス> 優等生ですか。それほど優等生というわけでもなかったと思いますが、もしそうであるなら周りの人のおかげですね。（皆さんから、本当にたくさんのものを頂いてきた）水路に落ちたり、泳げないお子さんが落ちることはとても危険なことですからね。……何言ってるんですか、私達の朝はとても早いんですよ。（つまり、活動時間にもう踏み込んでる）
  (2022/12/26 06:08:49)

アリス> （隠すつもりもないので書いてますし。話したことはないですけど。　映画もカーテンコールという形で三部作でされました。でっかいいい出来でしたね（二作目主人公です）ぜひ、甘さじゃなくて…ぬくもりが欲しいときに見てもらえると。）   (2022/12/26
06:10:43)

ライネス> 良い表情をするね、良い出会いと環境があったらしい幸せそうな顔だ（純真な相手を見るのは…悪くない。）…でも、それも君達が居れば何とかできる仕事の内、なんだろ？………えっ？あー、だからエスプレッソか（既に手遅れだった訳か…）   (2022/12/26
06:16:34)

アリス> 最高の笑顔をいつもしている先輩がいらしたので。（にっこり。）なので、密閉できる容器じゃないとっていう話に戻ったりしました。（こく）……そういうことです。もともと寝るにはもう厳しかったんですよね……。えっと……あなたはそろそろ寝てこられるならおみおくりしますよ？（そういや名前聞いてなかったなぁ、まぁいいかって）
  (2022/12/26 06:20:35)

ライネス> （明記されてた方がわかりやすいのは確かだ。そうだな…あの子達は基本結束してたから機会がな…だが、まぁ初対面という訳でもないし問題ないさ。あぁ。心が弱まった時とかにでも…かな）   (2022/12/26 06:23:11)

アリス> （そう言ってもらえるならでっかい助かります。　弱ってる時にも……なにもないときに見てもらえると、スパイスになるかもしれません）   (2022/12/26 06:29:56)

ライネス> その少女の影響を受けてしまっていると…泳げない子供の話から密閉できる容器の話に戻る……事件の香りがするな。（なんて真面目な顔で手を顎にあてて）…とっくに諦めた後だったか。…そうだね。ここ最近まともに休んだ記憶もないし。私はまだ多少時間はあるから……なぁ、サービスの一つに安眠枕の準備とかはあるかい？（ふぁ…と欠伸を出しつつ相手を見て…から視線下げて膝をじぃ。名前は…私も密かに思ったが今更感はあるな…）
  (2022/12/26 06:30:02)

ライネス> （この部屋が賑わってる間は…スパイスには事欠かない気もするが、覚えておくよ）   (2022/12/26 06:33:56)

アリス> そうですね、いろんなことを教わりました。そういうホラーは小説だけで十分かと。でっかい陰謀論です。……今日は多分軽めなのでなんとかなります、します。そういうのは（陸の上での給仕）ホテルマンの仕事では…？私はせいぜい謠を歌うくらいしかできませんね……（といいつつ、ちょうどあちらにクッションがありますよ）
  (2022/12/26 06:37:23)

アリス> （そういうバチバチの刺激じゃなくて……。日常に落ちてる幸せの拾い方のような。）   (2022/12/26 06:39:36)

ライネス> そうかそうか…ん？あぁ…ジャンル的にミステリじゃなくホラーと捉えるか。…今日散々仕事の良さを話してたしな。そこでなんとかできなかったら…困るよ。   (2022/12/26 06:44:28)

ライネス> なら、多少の時間でも癒される曲を一つ頼もうか…本格的に寝る訳にもいかないし…（クッションでも良いが…人肌のヒーリングが欲しいとこだったが…とか思いつつ、クッションを方に行けば、そのままその場で横になるか…仮眠程度だし）   (2022/12/26
06:47:33)

ライネス> （この場所も、いつもばちばちしてる訳ではないから…。まぁ、そちらのアニメのジャンルとは程遠い場所なのは確かかもだが。と…うっかり途中送信してしまうぐらいには）   (2022/12/26 06:49:40)

おしらせ> 後藤ひとりさんが入室しました♪  (2022/12/26 06:50:14)

後藤ひとり> zzz……(すやすや)   (2022/12/26 06:50:23)

アリス> 人間を容器にねじ込むのはもうホラーでしょう。（間違いなく）仕事の良さ……なんですかね…私はゴンドラを漕ぐのが好きなだけですよ。（にこ）では、僭越ながら。（と、小さくたゆたうような民謡を一つ、小声で奏でながら）   (2022/12/26
06:50:52)

ライネス> （使い慣れない端末と指の動きが緩慢になっているからここまでだな。私は仮眠して仕事に向かうから…後は、私の代わりにこのピンクを好きにしてくれ）   (2022/12/26 06:50:55)

アリス> （でっかいお疲れさまです。こちらのピンクさんはどうしたら。好きにと言われても。）   (2022/12/26 06:51:38)

後藤ひとり> (ウトウト……あ、おやすみなさいです)   (2022/12/26 06:51:59)

アリス> どうしましょう。気づいたら一人増えてます……こっちのほうがでっかいミステリーなんですけど。   (2022/12/26 06:55:43)

ライネス> （あぁ、お疲れ様。今日はお互い生きて帰れるよう頑張ろうじゃないか。好きには…好きに？　と、ひとりもすれ違いになるが…また。）   (2022/12/26 06:55:50)

後藤ひとり> (またお話しましょうね)   (2022/12/26 06:57:23)

後藤ひとり> …………(むくり)   (2022/12/26 06:57:27)

アリス> あ、置きました。   (2022/12/26 06:57:34)

アリス> ……起きました   (2022/12/26 06:57:45)

後藤ひとり> おはようございます……(駆使草)   (2022/12/26 06:58:09)

後藤ひとり> (くしくし)   (2022/12/26 06:58:13)

アリス> はい、おはようございます。   (2022/12/26 06:58:31)

ライネス> （死体を運ぶなら容器にでもねじ込むこともあるような…とか。思えてしまう辺り私の日常は毒されてるか…と思いつつ。小声の歌から…微笑ましい会話に映る声を聞きながら…寝ておこう。というか落ちておこう。二人に対してだけじゃなく…良いお年をと残してね）  
(2022/12/26 06:59:55)

