/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月14日 18時20分 ～ 2023年03月16日 08時57分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> 丸山彩さんが退室しました。  (2023/3/14 18:20:13)
後藤ひとり> 擬人化は日本の文化ですからね………   (2023/3/14 19:06:07)

後藤ひとり> 元気ならよかったです………   (2023/3/14 19:06:13)

白金燐子> 擬人化ですか…   (2023/3/14 19:06:52)

白金燐子> ひとりさんも元気でしたか…？   (2023/3/14 19:07:13)

後藤ひとり> そこそこに……今日寝てばっかですが……   (2023/3/14 19:07:54)

白金燐子> 寝すぎはよくないですよ…   (2023/3/14 19:08:43)

ホウオウ・アルマ> な、なにか問題でもありますか…！？   (2023/3/14 19:09:25)

後藤ひとり> 夜寝れずにお昼寝てます………問題は無いですね……(一花さんつんつん)   (2023/3/14 19:09:57)

ホウオウ・アルマ> それなら良かったです…   (2023/3/14 19:10:15)

白金燐子> 昼夜逆転というやつですね…   (2023/3/14 19:10:47)

中野一花 ◆> '   (2023/3/14 19:11:32)

中野一花 ◆> んんっ…？(ひとりちゃんの方をチラリと見てから、腕を伸ばして抱きしめて)   (2023/3/14 19:11:50)

後藤ひとり> 昼夜逆転です……   (2023/3/14 19:13:17)

後藤ひとり> あ、いやまたご飯なのかなーって話してなかったので……(抱きしめられて)   (2023/3/14 19:13:36)

中野一花 ◆> 今はご飯の片付け中だよ〜…？   (2023/3/14 19:14:24)

白金燐子> 私もたまになりますね…   (2023/3/14 19:15:53)

後藤ひとり> あ、もう食べたんですね……   (2023/3/14 19:16:27)

後藤ひとり> なりますよね……気をつけてるんですが………   (2023/3/14 19:16:35)

白金燐子> 昼ねれなすぎて夜起きてることが多々あります…   (2023/3/14 19:17:27)

後藤ひとり> あ、そういう事ですか……   (2023/3/14 19:18:24)

白金燐子> ３時まではおきてるときはおきてますね…   (2023/3/14 19:18:54)

後藤ひとり> 仲間だ……   (2023/3/14 19:19:15)

白金燐子> 仲間…   (2023/3/14 19:19:39)

後藤ひとり> 夜更かし同盟……   (2023/3/14 19:20:16)

白金燐子> 夜更かし陰キャ同盟…   (2023/3/14 19:20:39)

後藤ひとり> 凄いネガティブワードしかないですね……   (2023/3/14 19:21:14)

中野一花 ◆> よいしょっ…   (2023/3/14 19:21:27)

白金燐子> これがいいかなって思っていっちゃいました…   (2023/3/14 19:22:28)

後藤ひとり> 仲間意識は大切ですので……   (2023/3/14 19:23:14)

白金燐子> そうですね…さて、そろそろおちますね。ではおつかれさまでした…   (2023/3/14 19:26:10)

おしらせ> 白金燐子さんが退室しました。  (2023/3/14 19:26:13)

後藤ひとり> お疲れ様です……   (2023/3/14 19:26:46)

ホウオウ・アルマ> おつかれさまでしたっ…！   (2023/3/14 19:26:54)

後藤ひとり> 私は30分くらいでご飯ですね   (2023/3/14 19:27:18)

中野一花 ◆> それじゃあっ…お姉さんはお風呂に行ってきま〜す♪   (2023/3/14 19:29:52)

おしらせ> 中野一花 ◆WY5HuZnICQさんが退室しました。  (2023/3/14 19:29:55)

後藤ひとり> お疲れ様です……   (2023/3/14 19:31:12)

ホウオウ・アルマ> お疲れさまですっ…   (2023/3/14 19:32:00)

後藤ひとり> 私たちはどうします？   (2023/3/14 19:36:34)

ホウオウ・アルマ> どうしましょう…ひとまず忙しいので落ちてもよろしいでしょうか…？   (2023/3/14 19:51:51)

後藤ひとり> あ、はいいいですよ。また会えたらよろしくお願いします   (2023/3/14 19:52:26)

ホウオウ・アルマ> すいません…！この埋め合わせはいつか必ず…！   (2023/3/14 19:55:15)

おしらせ> ホウオウ・アルマさんが退室しました。  (2023/3/14 19:55:18)

後藤ひとり> お疲れ様です   (2023/3/14 19:57:47)

おしらせ> 後藤ひとりさんが退室しました。  (2023/3/14 19:57:49)

おしらせ> 弦巻マキさんが入室しました♪  (2023/3/14 20:46:09)

おしらせ> 無言時間が25分を超えたため、弦巻マキさんが自動退室しました。  (2023/3/14 21:11:14)

おしらせ> 桐ヶ谷直葉さんが入室しました♪  (2023/3/14 22:05:01)

桐ヶ谷直葉> (ひょこっ。)　帰ってきちゃった…！ってことで寛がせてもらうね。   (2023/3/14 22:05:26)

おしらせ> 大道寺きら ◆i6fJKa45IIさんが入室しました♪  (2023/3/14 22:08:03)

大道寺きら ◆> （スライムを動かし中へ入っていって）邪魔するぞ？   (2023/3/14 22:08:31)

桐ヶ谷直葉> …！可愛い子。こんばんはー、どうぞどうぞっ。(手招きしては、)   (2023/3/14 22:08:47)

大道寺きら ◆> （手招きに甘えてスライムから降りて）私は見た目ほどかわいくはないがな？名前は大道寺きらだ、きら様とよぶがいい（腕を組み）   (2023/3/14 22:10:40)

桐ヶ谷直葉> きら様。あはは、かわいい～！きらちゃんだね、あたしは桐ヶ谷直葉だよ、気軽に直葉お姉さんって呼んでねっ。(幼い見た目からかわいがり対象へと認定した様子で微笑ましい目で眺めながら、しゃがみ込んでは目を合わせ)   (2023/3/14
22:12:02)

大道寺きら ◆> 貴様・・・私をバカにしていないか？・・・まあいい、ともかくよろしく頼むぞ？（しゃがみこむ直葉を見て少しめを細めて）   (2023/3/14 22:14:34)

桐ヶ谷直葉> バカにはしてないよ！？かわいいなって。あたし、妹とかいないからそんな感じでかわいいなぁって……えへへ。うん、よろしくね、きらちゃん。たくさん仲良くしようね。(目を細める相手に嬉しそうに笑みを浮かべ、)   (2023/3/14 22:15:28)

大道寺きら ◆> そうか・・・私も妹も姉もいなかったがな・・・まぁ私でよろしければ仲良くしてやらんこともないぞ？（身長は小さくても上から目線なのは相変わらず   (2023/3/14 22:17:38)

桐ヶ谷直葉> そうなんだ？じゃあ、あたしお姉ちゃんになっちゃおうかな、なーんて！かわいい～～！嬉しいなぁ、仲良くしてね、きらちゃん。飴食べる？(上から目線の相手に頬ゆるゆるなお姉さん。そっと懐から飴を取り出しつつ。)   (2023/3/14
22:19:59)

桐ヶ谷直葉> あたしなんかここの空気感分かってない感あるから教えてね～、せんぱい……というのは伝えておくねー……。(そろー……)   (2023/3/14 22:22:33)

大道寺きら
◆> 別にいい！飴だと？・・・そんな幼稚なもの誰が欲しがるか！・・・といいたいところだがせっかくだから頂いておくとするか（ツンデレさを見せ付けてしまったまま飴をもらって口に含んで）ここは基本雑談もそうだが大胆ないちゃつきも可能なところだ、男は当然断れているがな？
  (2023/3/14 22:24:22)

桐ヶ谷直葉> かわいい～！もうどんどん食べていいからねっ。はい、あ～ん…♡(相手の口にそのまま食べさせてあげてはすっかり餌付けに夢中の様子。)　今の感じの空気感でも大丈夫そうな感じかなぁ？一応過去ログ見たりしてるんだけど、大胆に行くとかもうちょっとフランクにーとかありそうな……。(むむむ。)
  (2023/3/14 22:26:28)

大道寺きら ◆> あーんって・・・お前恥ずかしくないのか？・・・（やむを得ずあーんと口をあけて）まぁ問題なかろう、そういうところでもあるからな？   (2023/3/14 22:28:53)

桐ヶ谷直葉> 恥ずかしくないよー。女の子同士だもん。(飴を放り込んでは満足気。)　それならよかったー…？一応空気はちゃんと読みたいから！あたし頑張る…！   (2023/3/14 22:29:56)

大道寺きら ◆> あむ・・・（飴を舐めていって）ふむ・・・これは何味だ？（と味を聞いて）まぁ問題を起こさない限りは問題なかろう   (2023/3/14 22:31:16)

桐ヶ谷直葉> いちごミルク味！…あたし、やっぱり定番の味が好きだからね、(くすくすと笑いながら自分も飴を食べて。)　問題は起こさないように努めるから大丈夫…！トラブルダメ絶対、だね。   (2023/3/14 22:32:21)

大道寺きら ◆> いちごミルクか・・・私も毎日欠かさず牛乳を飲んでいるぞ？特に朝はな？（自慢げに答えて）その通りだ、問題起こした奴には仕置きをしてやりたいところだ   (2023/3/14 22:34:02)

桐ヶ谷直葉> ふふ、きらちゃん偉いねっ。っていうかかわいいなぁ……もう頭撫でたくなっちゃう！(きゅん。)　そういう人もいるの？(はて、)   (2023/3/14 22:36:38)

大道寺きら ◆> まぁ朝も一杯飲んで今日も生きてきたからな？ああ、たまに出てくるがな？   (2023/3/14 22:39:35)

桐ヶ谷直葉> コーンフレークとか入れるとおいしいよね。あたしもたまには飲もうかなぁ……。(ふむり。)　そ、そうだったんだ…！？へぇ……。   (2023/3/14 22:41:58)

大道寺きら ◆> わかるぞ！朝食にもあうからな（こくこく）ああ、まぁ私とスライムがいれば何とでもなるがな？（どや！）   (2023/3/14 22:44:23)

桐ヶ谷直葉> 食べさせてほしかったらいつでも言ってね？(じーっと。/ぇ)　そういえばスライムさんに乗ってきてたよね。友達なの？(ちらり。)   (2023/3/14 22:45:08)

大道寺きら ◆> 今はいい、研究によって作られた生物だ。戦う時は私の動きを真似ている）   (2023/3/14 22:46:03)

おしらせ> 香風智乃さんが入室しました♪  (2023/3/14 22:46:27)

大道寺きら ◆> 先に邪魔してるぞ？（新しく入ったチノに挨拶して）   (2023/3/14 22:46:48)

香風智乃> こんばんは……おふたりとも初めましてですね。お邪魔してもいいですか？……(にこっと会釈しつつも初めましてのお2人に挨拶)   (2023/3/14 22:47:08)

桐ヶ谷直葉> いつでも呼び出してくれたらお姉さんは食べさせるよ！(すっかりお姉ちゃんに浸ってる直葉さん。)　へぇ……研究によってかぁ。なんだか、すごいね…。(ぱちくり。)   (2023/3/14 22:47:14)

桐ヶ谷直葉> わっ、はじめまして！もちろん、お邪魔してほしいな、良かったら一緒に飴食べる？　たくさんの人と仲良くしたいって思ってたから会えて嬉しいな。(ひらりと手を振っては手招きして)   (2023/3/14 22:48:10)

大道寺きら ◆> ああ、かまわんぞ？ゆっくりしていくといい（こくりと頷いて）＞チノ　フッありがたいやつだ、まぁ今日はホワイトデーだから３時にはヨーグルトも飲んでいたがな？ああ、私はいつもこいつに乗って動かしている＞直葉   (2023/3/14
22:50:46)

香風智乃> あ、はい……では遠慮なく…私は香風智乃です……よろしくお願いします…(1人は私より年上……もう1人は私よりも年下ですね？と思いつつ手招きされた方へ近寄り)   (2023/3/14 22:51:10)

桐ヶ谷直葉> ホワイトデーだとヨーグルトもサービスで付いてくるのかな…？(不思議そう。)　へえ、いいなー、なんだかバランスボールみたいで楽しそう…！　＞きらちゃん   (2023/3/14 22:51:52)

桐ヶ谷直葉> あたしは桐ヶ谷直葉、気軽に直葉って呼んでくれたら嬉しいなっ。よろしくね、智乃ちゃん、(えへへ、と嬉しそうに表情綻ばせて)　＞智乃ちゃん   (2023/3/14 22:52:32)

大道寺きら ◆> 私は大道寺きらだ、きら様とよぶがいい（どや顔しつつ自己紹介していって）＞チノ　こいつの弾力は相当なものだからな、こいつとともに空を泳ぐこともできる＞直葉   (2023/3/14 22:53:37)

桐ヶ谷直葉> 空を……お、泳ぐ？飛ぶじゃなくて？(きょとん。)　きらちゃんは空をおよ…いでるの？(不思議そうな表情。)　＞きらちゃん   (2023/3/14 22:54:45)

香風智乃> 直葉さんですね………よろしくお願いします き、キラ様………少し抵抗がありますね……(ジト目で見つめ)   (2023/3/14 22:55:08)

大道寺きら ◆> 確かに空を飛ぶというが常にスク水のためスライムの中でバタ足しているのだ＞直葉　な、なんだそのめは・・・＞チノ   (2023/3/14 22:57:10)

桐ヶ谷直葉> うん、よろしくね。今日はたくさんの人と出会えて嬉しいな、智乃ちゃんもよくここに来てるの？(こて、)　＞智乃ちゃん　あぁ、なるほど…！スライムは空を飛んでるんだけど、きらちゃんはスライムの中なんだ！(納得がいったように手を叩き。)　＞きらちゃん  
(2023/3/14 22:58:09)

香風智乃> いえ……年下に様呼びをするのは抵抗あるので……(ジト目をしつつも会釈だけはして)   (2023/3/14 22:58:31)

香風智乃> 私ですか？私は最近ここへ来たので……まだまだ初心者というやつですね……   (2023/3/14 22:59:04)

桐ヶ谷直葉> あ、じゃあ、あたしよりちょこっとだけ先輩の同期みたいな感じかな…！(なっとく。)　色んな人がいそうでわくわくしてるよ…！　＞智乃ちゃん   (2023/3/14 22:59:43)

大道寺きら ◆> 体の半分ぐらいは入っているがな？＞直葉　ふうむ、まぁいい。こんな私でも仲良くしてくれてもかまわんぞ？・・・よろしくな？＞チノ   (2023/3/14 23:00:15)

桐ヶ谷直葉> ……それって一体化しないの？よく出れるね…？(交互に見ながら不思議そう。)　ということは下半身が見れてるのはレアなんだー…(じー…) ＞きらちゃん   (2023/3/14 23:01:15)

大道寺きら ◆> スライム丸ごと入ったら息ができなくなるからな？＞直葉   (2023/3/14 23:01:55)

桐ヶ谷直葉> なんだろ…下半身がスライムになりそうだなって。(しんけん。)　＞きらちゃん   (2023/3/14 23:02:35)

香風智乃> つまり直葉さんの方が後輩なんですね……(ふむふむ……と) あ、はい……仲良くしますよ……よろしくお願いします。きらさん   (2023/3/14 23:02:55)

桐ヶ谷直葉> そうそう、今日なんとなく人恋しくて来ちゃっ…　あ、いや、ホワイトデーは関係ないんだけどね！？か、返してくれる人もいなかったけど…！智乃ちゃんはホワイトデーどうだった…？(ちら。)　＞智乃ちゃん   (2023/3/14 23:04:27)

大道寺きら ◆> それだと私自身がモンスターになりかねんぞ・・・＞直葉　ああ、こちらこそな？（後ろのスク水のズレを治して）＞チノ   (2023/3/14 23:04:51)

香風智乃> ホワイトデーですか？私の場合は……普通に友達の間で渡しましたね………直葉さんはどうでしたか？……(こてんと首をかしげ)   (2023/3/14 23:06:45)

桐ヶ谷直葉> ……モンスターになってもきらちゃんはきっとかわいいよ！(親指立て/ぇ)　＞きらちゃん　あたしもそんな感じだったからホワイトデーは何もなかったんだよね…。華のあるホワイトデーにしたかった…(がく。)　＞智乃ちゃん   (2023/3/14
23:08:56)

香風智乃> 大丈夫ですよ……直葉さん可愛いのできっといつか本命も貰えますよ……♪(落ち込んでる直葉さんの背中を撫でてあやしてあげます……年下にあやされてもあれですけどね……)   (2023/3/14 23:09:51)

大道寺きら ◆> ・・・それ褒めてるのか？因みに私のスライムは筋肉の塊になるんだ、プロレススタイルの戦い方でな？＞直葉   (2023/3/14 23:10:24)

桐ヶ谷直葉> 智乃ちゃん……！いつか本命上げたいな……！智乃ちゃんもすっごくかわいいから本命だらけになりそうだな、ってあたしは思ったよ…。(あやされては嬉しそうににへら、と頬緩ませ。)　＞智乃ちゃん　褒めてるよ！？筋肉の塊……え、ムキムキマッチョなスライムなの？(ぱちくり。)　＞きらちゃん
  (2023/3/14 23:11:37)

大道寺きら ◆> そうだ、私の動きを真似てそうなっているのだ＞直葉   (2023/3/14 23:12:17)

香風智乃> ありがとうございます……け、けどわ、私は普通ですよ……それに……スタイルも良くないですし……(褒められ返されると照れちゃうけど……ついついスタイルを見比べしまい……今度はこちらがずーんと落ち込んでしまい)   (2023/3/14
23:13:53)

桐ヶ谷直葉> …ってことはきらちゃんも筋肉ムキムキ…？そうは見えないけどなー…(じーっと。)　＞きらちゃん　えぇっ！？すっごくかわいいのに！クラスの男子とか絶対智乃ちゃんのこと気になってるって！あたしもつい頭撫でたくなっちゃうくらいかわいいもん。(うんうん、と頷きながらもスタイル面のフォローにはなってない様子…)　＞智乃ちゃん
  (2023/3/14 23:16:02)

大道寺きら ◆> いや、私自身はそうはならない。スライムだけだ（首をふってそうじゃないと答えて）＞直葉   (2023/3/14 23:16:55)

桐ヶ谷直葉> ……な、なるほど……？　＞きらちゃん   (2023/3/14 23:18:06)

香風智乃> 男の人と話したのは……お父さんとおじいちゃんくらいしかいません……直葉さんの方がモテそうです……(うぅ……)   (2023/3/14 23:18:41)

桐ヶ谷直葉> すごく簡潔になっちゃってごめんね、出るからいっかなって……てへ。ということできらちゃんいっぱい色々教えてくれてありがとう！また話そうねー！智乃ちゃんもまたねっ。今度は智乃ちゃんにも飴を上げて餌付けしないと…！(目標。)   (2023/3/14
23:19:06)

おしらせ> 桐ヶ谷直葉さんが退室しました。  (2023/3/14 23:19:10)

大道寺きら ◆> ああ、お疲れだ（ここを出る直葉を見送って）   (2023/3/14 23:19:26)

香風智乃> お疲れ様でした……(手を振り)   (2023/3/14 23:22:13)

香風智乃> 私も……少しだけ眠気が……(目をゴシゴシ)   (2023/3/14 23:25:47)

大道寺きら ◆> もうこんな時間か・・・   (2023/3/14 23:26:25)

香風智乃> ですね……   (2023/3/14 23:27:05)

大道寺きら ◆> 時間という者はあっという間にすぎるものだな・・・   (2023/3/14 23:28:20)

香風智乃> もう日付も変わりますね…   (2023/3/14 23:29:18)

大道寺きら ◆> ホワイトデーとやらもあっけないものだな   (2023/3/14 23:29:46)

香風智乃> 私には関係ないものです……   (2023/3/14 23:30:30)

大道寺きら ◆> 私にもな・・・   (2023/3/14 23:34:05)

香風智乃> お互い様でしたね……(よしよし)   (2023/3/14 23:37:17)

大道寺きら ◆> まぁそういうことだな（よしよしされて顔を赤めて）   (2023/3/14 23:37:47)

香風智乃> 可愛いですね……♪(年下感覚でなでなでしちゃいます)   (2023/3/14 23:45:29)

大道寺きら ◆> が、外見ほど可愛くはないぞ？・・・（というも抵抗せず頭をなでられて）   (2023/3/14 23:46:12)

香風智乃> 可愛いですよ？……守りたくなっちゃいますね……♪(頬を緩めながら撫で続けて)   (2023/3/14 23:50:54)

大道寺きら ◆> な、何を言う・・・寧ろ守るのは私のほうだぞ？・・・（顔を赤めて頭をなでられ続け）   (2023/3/14 23:51:52)

香風智乃> そうなんですか？……その時はよろしくお願いしますね……♪(にこ)   (2023/3/14 23:53:12)

大道寺きら ◆> あ・・・つい口がすべってしまたー（白目になって恥ずかしそうに顔を隠して）   (2023/3/14 23:54:41)

香風智乃> と、そろそろ眠く…(顔を隠してるのを面白そうに眺めつつ)   (2023/3/14 23:56:51)

大道寺きら ◆> ああ、お休みか？   (2023/3/14 23:57:24)

香風智乃> はい……また会えたらお話しましょうね   (2023/3/15 00:02:01)

大道寺きら ◆> ああ、お疲れだな（チノの頬にキスして）   (2023/3/15 00:02:31)

香風智乃> んっ……///ありがとうございました……ではまた……(頬にキスを受けてこちらも返します……///)   (2023/3/15 00:05:36)

おしらせ> 香風智乃さんが退室しました。  (2023/3/15 00:05:37)

大道寺きら ◆> おお・・・返してきたか・・・またな（キス返されてチノを見送ってあげて）   (2023/3/15 00:06:11)

大道寺きら ◆> さて・・・私もいくとするか   (2023/3/15 00:06:18)

おしらせ> 大道寺きら ◆i6fJKa45IIさんが退室しました。  (2023/3/15 00:06:21)

おしらせ> 倉田ましろさんが入室しました♪  (2023/3/15 02:19:22)

倉田ましろ> 寝れないからつい来ちゃった...   (2023/3/15 02:19:48)

倉田ましろ> さすがに誰も来ないよね...   (2023/3/15 02:40:47)

おしらせ> 広町七深さんが入室しました♪  (2023/3/15 02:52:23)

広町七深> この時間はさすがに広町も眠いよ〜？しろちゃんもう寝てるかな？それはそれでいいことなんだけど、ふふっ♪(頬つん♪)   (2023/3/15 02:53:29)

倉田ましろ> んっ起きてるよぉ(ふにゅっ）   (2023/3/15 02:54:25)

広町七深> ゲームしてたでしょ〜？ふふっ、広町はお見通しなんだ〜♪   (2023/3/15 02:55:09)

倉田ましろ> バンドリしてるよぉ。   (2023/3/15 02:55:32)

広町七深> わ、しろちゃんがやる気、出してる〜？私、明日から復帰勢   (2023/3/15 02:56:31)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/3/15 02:57:09)

後藤ひとり> 私も復帰しようか迷ってて……   (2023/3/15 02:57:19)

広町七深> ひとりちゃんもこんばんは〜♪周年だからね〜♪ガチャ無料もあるよ〜？   (2023/3/15 02:57:52)

倉田ましろ> メインストーリー見てるだけだよぉ?バンドリってフレンドって概念あったけ?   (2023/3/15 02:57:57)

後藤ひとり> ならそれだけでもやろうかな…   (2023/3/15 02:58:03)

倉田ましろ> こんばんは...   (2023/3/15 02:58:08)

後藤ひとり> ありますね確か   (2023/3/15 02:58:12)

広町七深> あるよ、フレンド。フレンド誘ってイベランも出来るよ〜♪   (2023/3/15 02:58:33)

広町七深> ひとりちゃんって推しバンドあるの？   (2023/3/15 02:58:53)

倉田ましろ> あるのかぁ。まーそらあるかぁ   (2023/3/15 02:59:07)

後藤ひとり> 推しですか……悩みますね……   (2023/3/15 02:59:16)

広町七深> そらあるかぁ…可愛い♡(ふにふに)   (2023/3/15 02:59:46)

倉田ましろ> 私は最初ハロハピだったんだけどモルフォニカにおちついたかんじかなぁ?   (2023/3/15 03:00:12)

広町七深> バンド(箱)とキャラ推しもまた違うしね〜   (2023/3/15 03:00:19)

倉田ましろ> 可愛い💕?(ふにゅっ）   (2023/3/15 03:01:11)

広町七深> 私は最初パスパレかな〜？その後モニカって感じ、でもRoselia嫌いな人はあまり聞いたことないかも〜   (2023/3/15 03:01:17)

後藤ひとり> そうですね……   (2023/3/15 03:01:20)

