チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月18日 13時09分 ～ 2023年03月19日 01時23分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

中野一花 ◆> 目玉焼きを乗っけます…！   (2023/3/18 13:09:25)
後藤ひとり> きゅうりあげるので怒らないでください………！   (2023/3/18 13:31:28)

中野一花 ◆> 今は夏じゃないよ〜♪(コツッと軽くゲンコツして)   (2023/3/18 13:32:21)

絹川みちほ> あいたっ、ごめんね一花ちゃん   (2023/3/18 13:32:40)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> そー、メンタル。精神的疲弊がね~。   (2023/3/18 13:32:55)

後藤ひとり> あうっ、す、すいません…(しゅん)   (2023/3/18 13:33:08)

絹川みちほ> メンタルはね……私も不安定……   (2023/3/18 13:36:10)

後藤ひとり> 私は普通です…   (2023/3/18 13:39:30)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 最近苦悩してばっかりだからさ～。モヤモヤも晴れなくて尚更う~……って感じ   (2023/3/18 13:39:51)

絹川みちほ> ごめんね、一花ちゃん。怒らないで〜   (2023/3/18 13:41:06)

後藤ひとり> 居ませんね……   (2023/3/18 13:50:16)

絹川みちほ> んにゃ…   (2023/3/18 13:50:29)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ふやぁ～。2時からまた戻んなきゃ……うぅ~ぁ~。   (2023/3/18 13:51:54)

絹川みちほ> あともうちょっとだ…   (2023/3/18 13:52:18)

後藤ひとり> 頑張れ…   (2023/3/18 13:53:11)

絹川みちほ> 頑張って…   (2023/3/18 13:53:22)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> いってくる~。またなぁ～   (2023/3/18 13:55:55)

おしらせ> 天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄさんが退室しました。  (2023/3/18 13:55:56)

絹川みちほ> 気をつけてね   (2023/3/18 13:56:10)

おしらせ> 無言時間が25分を超えたため、中野一花 ◆WY5HuZnICQさんが自動退室しました。  (2023/3/18 13:57:38)

後藤ひとり> あ……   (2023/3/18 13:58:00)

絹川みちほ> 一花ちゃん、ごめんね。今度は一緒にTKGたべようね   (2023/3/18 13:58:15)

後藤ひとり> 私たちはどうします？   (2023/3/18 14:00:56)

絹川みちほ> そうだね、どうしようかな…私はもう少しここに居れるけど   (2023/3/18 14:02:14)

後藤ひとり> 私も少しここにいます……   (2023/3/18 14:04:04)

絹川みちほ> じゃ、もう少し一緒に居よ？   (2023/3/18 14:04:29)

後藤ひとり> で、ですね……(近くにより)   (2023/3/18 14:07:07)

絹川みちほ> うん、おいで   (2023/3/18 14:09:27)

後藤ひとり> はい……(ぎゅ)   (2023/3/18 14:10:54)

絹川みちほ> よしよし   (2023/3/18 14:13:01)

後藤ひとり> 2人きりなのも珍しいですね…   (2023/3/18 14:15:27)

絹川みちほ> たしかにめずらしいね…ぎゅ、   (2023/3/18 14:15:44)

後藤ひとり> なかなかレアです……いつもは人たくさんなので……(むぎゅ)   (2023/3/18 14:19:07)

絹川みちほ> いつもにぎやかだよね…すりすり   (2023/3/18 14:19:40)

後藤ひとり> 今日は人いませんものね……(よしよし)   (2023/3/18 14:22:19)

絹川みちほ> そうだね…皆何かしら用事なのかな……（すりすり）   (2023/3/18 14:24:20)

後藤ひとり> お出かけとか……年度が変わるからですかね……(撫で)   (2023/3/18 14:27:32)

絹川みちほ> それもあるだろうね……（ぎゅ）   (2023/3/18 14:28:41)

後藤ひとり> 退屈です……(すりすり)   (2023/3/18 14:31:35)

絹川みちほ> そうだね、多少はにぎやかじゃないとね。（すりすり）   (2023/3/18 14:32:26)

後藤ひとり> ですね……(なでなで)   (2023/3/18 14:35:59)

絹川みちほ> ふふ   (2023/3/18 14:41:05)

後藤ひとり> お腹空いた……   (2023/3/18 14:41:36)

絹川みちほ> ふふ、こうやって独占出来る所はあるけどね、静かだと。……ひとりちゃん何かたべる？   (2023/3/18 14:42:01)

後藤ひとり> まだですね……親も出かけてますし   (2023/3/18 14:46:12)

絹川みちほ> まだ食べれない、か……   (2023/3/18 14:47:31)

後藤ひとり> はき……   (2023/3/18 14:48:04)

後藤ひとり> はい……   (2023/3/18 14:48:07)

絹川みちほ> もう少し待たないとね…   (2023/3/18 14:48:20)

おしらせ> 犬走椛さんが入室しました♪  (2023/3/18 14:49:35)

犬走椛> わふ…明日が大会の淫乱狼ですよ〜、と   (2023/3/18 14:50:07)

絹川みちほ> 何の大会かな？   (2023/3/18 14:50:18)

犬走椛> 弓ですよ。弓。（しんどいですが頑張らねば…）   (2023/3/18 14:50:43)

絹川みちほ> 弓道かな？   (2023/3/18 14:50:58)

犬走椛> そうです。4月にも昇段試験があるので、大変です   (2023/3/18 14:52:35)

後藤ひとり> あ、頑張ってください……   (2023/3/18 14:53:20)

犬走椛> 明日は朝早いので、今のうちに寝るつもりなんですよー   (2023/3/18 14:53:50)

絹川みちほ> 気をつけてね。どれだけ早いんだろ   (2023/3/18 14:55:26)

後藤ひとり> 今のうち！？   (2023/3/18 14:55:44)

犬走椛> 6時くらいなんですがねー…私は朝が弱々なので…   (2023/3/18 14:56:45)

絹川みちほ> 早いねー   (2023/3/18 14:57:30)

後藤ひとり> 6時に始まるんですか？   (2023/3/18 14:58:39)

犬走椛> 早いんですよ…。6時集合ですね。会場で練習は出来ないので、練習してから会場へゴーです   (2023/3/18 14:59:18)

絹川みちほ> それから練習してから会場入りなんだね   (2023/3/18 15:00:11)

犬走椛> そーいうことです。ですから早めに寝てしまうのです   (2023/3/18 15:00:38)

後藤ひとり> 大変ですね(……)   (2023/3/18 15:00:48)

絹川みちほ> うにゃ…大変だ…   (2023/3/18 15:01:36)

犬走椛> 起床予定は11時ですねぇ…   (2023/3/18 15:02:54)

絹川みちほ> もしかして、夜の？   (2023/3/18 15:03:47)

犬走椛> そうですよ？   (2023/3/18 15:04:13)

後藤ひとり> 朝まで寝てるのかと思いました……   (2023/3/18 15:04:25)

絹川みちほ> しんやに移動かあ…   (2023/3/18 15:05:08)

犬走椛> ねむねむですよ〜…   (2023/3/18 15:05:41)

後藤ひとり> ご飯だけ食べてきます……   (2023/3/18 15:08:21)

犬走椛> はーい   (2023/3/18 15:08:35)

絹川みちほ> いってらっしゃい   (2023/3/18 15:09:03)

犬走椛> っ…眠気が……   (2023/3/18 15:17:18)

絹川みちほ> あらら、よしよし   (2023/3/18 15:19:28)

犬走椛> ん…（ギュム…）わふぅ…   (2023/3/18 15:19:57)

犬走椛> 駄目です…限界なので、落ちます…   (2023/3/18 15:22:58)

犬走椛> また、夜に会えたら会いましょう…。それでは、良い休日を…   (2023/3/18 15:23:24)

おしらせ> 犬走椛さんが退室しました。  (2023/3/18 15:23:45)

絹川みちほ> おやすみなさい、椛ちゃん   (2023/3/18 15:30:23)

後藤ひとり> 戻りました……   (2023/3/18 15:32:19)

絹川みちほ> おかえりなさい   (2023/3/18 15:32:36)

後藤ひとり> けふ……   (2023/3/18 15:35:21)

絹川みちほ> お腹いっぱいになれたかな   (2023/3/18 15:35:39)

後藤ひとり> 慣れました……   (2023/3/18 15:35:57)

絹川みちほ> ふふっ、よかった。   (2023/3/18 15:36:09)

後藤ひとり> みちほさんはどうします？   (2023/3/18 15:36:20)

絹川みちほ> うーん、どうしよかな…特に何もないし、もう少しここに居ようかな   (2023/3/18 15:37:35)

後藤ひとり> 分かりました……(むぎゅ)   (2023/3/18 15:40:08)

絹川みちほ> うん……むぎゅ   (2023/3/18 15:40:25)

後藤ひとり> よしよし……   (2023/3/18 15:41:46)

絹川みちほ> すりすり…   (2023/3/18 15:43:39)

後藤ひとり> ……(つんつん)   (2023/3/18 15:44:46)

絹川みちほ> ふにゃ   (2023/3/18 15:46:09)

後藤ひとり> (抱きしめて胸に顔を当てて)   (2023/3/18 15:46:52)

絹川みちほ> ん……（そっと頭を撫でて）   (2023/3/18 15:47:46)

後藤ひとり> 落ち着きますね……(にへ)   (2023/3/18 15:49:28)

絹川みちほ> ふふっ、よかった   (2023/3/18 15:50:15)

後藤ひとり> しばらくこうしてたいです……♪   (2023/3/18 15:52:30)

絹川みちほ> いいよ、ひとりちゃん♪   (2023/3/18 15:53:07)

後藤ひとり> 分かりました……♪(むぎゅ)   (2023/3/18 15:53:41)

絹川みちほ> ふふ…♪（むぎゅ）   (2023/3/18 15:56:40)

後藤ひとり> おっぱい柔らかいです……♪(ぎゅ)   (2023/3/18 15:57:17)

絹川みちほ> えへへ…♪   (2023/3/18 15:58:31)

後藤ひとり> あ、だんだん眠気が…   (2023/3/18 16:01:23)

絹川みちほ> ん…眠くなってきた？   (2023/3/18 16:03:40)

後藤ひとり> 少しだけ……   (2023/3/18 16:04:33)

絹川みちほ> ふふっ、じゃあ添い寝してあげる   (2023/3/18 16:05:01)

後藤ひとり> はい……あ、でもまだ起きれます…(抱きしめ)   (2023/3/18 16:05:38)

絹川みちほ> じゃ、起きれるだけ起きてようか（私も抱きしめて）   (2023/3/18 16:06:19)

後藤ひとり> はい……♪(抱き合いながら頬にちゅ)   (2023/3/18 16:07:02)

おしらせ> 天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄさんが入室しました♪  (2023/3/18 16:08:05)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ダメ天使の降臨じゃぁ(ずさぁ   (2023/3/18 16:08:22)

絹川みちほ> ん…♪   (2023/3/18 16:09:01)

絹川みちほ> おかえり、ガヴリールちゃん   (2023/3/18 16:09:13)

後藤ひとり> あ、おかえりなさいです   (2023/3/18 16:09:33)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 終わったぁ~。10時間労働完了~。   (2023/3/18 16:09:56)

後藤ひとり> お疲れ様だした……   (2023/3/18 16:10:10)

絹川みちほ> お疲れ様だね…   (2023/3/18 16:10:55)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> あぅ~~(もぞ。布団に丸くなりぐでりんこ   (2023/3/18 16:12:30)

絹川みちほ> よしよし   (2023/3/18 16:13:59)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 2人とも眠そ~……？(よしよしされながらこてん   (2023/3/18 16:16:27)

後藤ひとり> 私は少しだけ……   (2023/3/18 16:16:49)

おしらせ> 倉田ましろさんが入室しました♪  (2023/3/18 16:17:06)

絹川みちほ> 私もちょっと、ね   (2023/3/18 16:17:08)

後藤ひとり> あ、こんにちは   (2023/3/18 16:17:23)

倉田ましろ> こんにちはぁ…（ふにゃ）   (2023/3/18 16:17:36)

後藤ひとり> お元気ですか……？   (2023/3/18 16:18:01)

倉田ましろ> お元気だよぉ…   (2023/3/18 16:18:14)

絹川みちほ> こんにちは、ましろちゃん   (2023/3/18 16:18:14)

後藤ひとり> 元気そうでなによりです……(にへ)   (2023/3/18 16:20:50)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> いらっしゃ~い   (2023/3/18 16:22:34)

倉田ましろ> 後はリコリコの曲が私たちのとこどったのがちょっとびっくりしたくらいかな…（ふにゅっ）   (2023/3/18 16:22:56)

後藤ひとり> あ、まだそういえば聞いてない……Roseliaとかも合いそうですよね   (2023/3/18 16:23:25)

絹川みちほ> ふにゅ   (2023/3/18 16:24:58)

倉田ましろ> １８秒のやつだけどきいたけど、私たちかとはなった…。   (2023/3/18 16:27:03)

後藤ひとり> 花の塔も来ないかな…   (2023/3/18 16:28:57)

倉田ましろ> きそうだけど…ロゼリアなきがするなそれは…   (2023/3/18 16:29:31)

後藤ひとり> パスパレもありそです   (2023/3/18 16:30:27)

倉田ましろ> かもしれない…   (2023/3/18 16:31:05)

後藤ひとり> 先になりそうですけどね…   (2023/3/18 16:34:19)

倉田ましろ> いつになることやら…   (2023/3/18 16:35:30)

後藤ひとり> 今年の秋には……   (2023/3/18 16:36:29)

倉田ましろ> 先は長い…   (2023/3/18 16:36:48)

後藤ひとり> 気の遠くなる話です……   (2023/3/18 16:38:16)

倉田ましろ> まだ春なのに…   (2023/3/18 16:38:51)

後藤ひとり> まあ予想ですからね……あくまで   (2023/3/18 16:40:33)

倉田ましろ> まーでもそこらへんにきそうだよね…   (2023/3/18 16:46:11)

後藤ひとり> 楽しみですね…   (2023/3/18 16:47:30)

倉田ましろ> 楽しみだぁ…   (2023/3/18 16:47:41)

おしらせ> 無言時間が25分を超えたため、天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄさんが自動退室しました。  (2023/3/18 16:47:41)

後藤ひとり> あ……   (2023/3/18 16:47:46)

倉田ましろ> あ…   (2023/3/18 16:48:06)

後藤ひとり> 眠かったでしょうか……   (2023/3/18 16:48:39)

倉田ましろ> そうかもしれない…   (2023/3/18 16:48:51)

後藤ひとり> 私も眠く……   (2023/3/18 16:49:41)

倉田ましろ> 寝ちゃう？   (2023/3/18 16:50:01)

後藤ひとり> 寝ようかな……   (2023/3/18 16:51:21)

おしらせ> 中野一花 ◆WY5HuZnICQさんが入室しました♪  (2023/3/18 16:53:19)

後藤ひとり> あ、おはようございます……   (2023/3/18 16:53:37)

中野一花 ◆> お布団は…眠くなっちゃうねぇ   (2023/3/18 16:53:50)

後藤ひとり> 私も眠く……   (2023/3/18 16:54:09)

倉田ましろ> どうする…？   (2023/3/18 16:54:46)

倉田ましろ> こんにちは…   (2023/3/18 16:54:54)

後藤ひとり> もう少し起きます…   (2023/3/18 16:55:20)

倉田ましろ> 無理はしちゃだめだよ…？   (2023/3/18 16:55:43)

後藤ひとり> Abema見てるので…   (2023/3/18 16:56:48)

倉田ましろ> なにみてるの？   (2023/3/18 16:57:22)

後藤ひとり> 転生王女の一挙放送を…   (2023/3/18 16:58:33)

倉田ましろ> なるほど…   (2023/3/18 16:59:02)

後藤ひとり> なのでキリの良い所まで…   (2023/3/18 16:59:24)

倉田ましろ> おきてると…？   (2023/3/18 16:59:48)

後藤ひとり> はい…   (2023/3/18 17:00:09)

倉田ましろ> よしよし…   (2023/3/18 17:00:43)

後藤ひとり> ん……(すりすり)   (2023/3/18 17:01:04)

倉田ましろ> ふふ、かわいい（よしよし）   (2023/3/18 17:02:27)

中野一花 ◆> 寝起きからアツいものを見れた見れた…♪(ほんわか)   (2023/3/18 17:03:02)

おしらせ> 無言時間が25分を超えたため、絹川みちほさんが自動退室しました。  (2023/3/18 17:03:41)

倉田ましろ> アツいもの？   (2023/3/18 17:03:52)

後藤ひとり> みんな眠そうですから……(ぎゅう)   (2023/3/18 17:03:55)

倉田ましろ> お疲れ様です…   (2023/3/18 17:04:01)

倉田ましろ> 眠そうではあるね…（よしよし）   (2023/3/18 17:04:41)

後藤ひとり> はい……(胸に顔を当てて)   (2023/3/18 17:05:22)

倉田ましろ> ふふ…（よしよしちゅっ）   (2023/3/18 17:06:25)

中野一花 ◆> そうそう…♪アツアツなもの〜…♪(うと…)   (2023/3/18 17:07:03)

後藤ひとり> 一花さんも眠そうですね……(ちゅう)   (2023/3/18 17:07:20)

倉田ましろ> アツアツなものですか…？（ひとりさんなでなで）   (2023/3/18 17:08:41)

倉田ましろ> 私もコタツのせいで若干眠い…   (2023/3/18 17:09:40)

中野一花 ◆> 寝起きは人一倍眠くて機嫌が悪い自信がありまぁ〜す…♪(きょしゅ)   (2023/3/18 17:09:50)

後藤ひとり> みんなで寝ますか……   (2023/3/18 17:12:06)

中野一花 ◆> お姉さん寝起きだよ？！   (2023/3/18 17:12:54)

後藤ひとり> 3度寝とか……   (2023/3/18 17:14:30)

中野一花 ◆> 夜ご飯は外食かもだし…寝たらダメなんだよねぇ…   (2023/3/18 17:14:57)

後藤ひとり> なるほど……それは確かにダメですね……私の夜は餃子です……   (2023/3/18 17:19:29)

後藤ひとり> (ましろさんつんつん)   (2023/3/18 17:19:40)

倉田ましろ> ふにゃっ…   (2023/3/18 17:22:30)

後藤ひとり> 何も話してなかったので……   (2023/3/18 17:23:12)

中野一花 ◆> おっ…？お姉さんもだぞ…？   (2023/3/18 17:25:49)

中野一花 ◆> シャワー浴びてきま〜す♪   (2023/3/18 17:26:14)

後藤ひとり> あ、行ってらっしゃいです   (2023/3/18 17:27:49)

倉田ましろ> 打つのに苦戦しちゃって…   (2023/3/18 17:27:50)

倉田ましろ> いってらっしゃいです   (2023/3/18 17:27:59)

後藤ひとり> 私もバンドリ起動出来ました……   (2023/3/18 17:31:05)

倉田ましろ> おー…   (2023/3/18 17:32:47)

後藤ひとり> ALIVEだけやって寝よう……   (2023/3/18 17:33:11)

倉田ましろ> がんばれぇ…   (2023/3/18 17:35:11)

後藤ひとり> 25ですらクリア出来ないとは……   (2023/3/18 17:37:11)

倉田ましろ> あらら…   (2023/3/18 17:37:37)

後藤ひとり> 昔は26まではギリ行けたんですけどね…   (2023/3/18 17:41:32)

倉田ましろ> ブランクだねぇ…   (2023/3/18 17:41:51)

後藤ひとり> 示された答え選ぶより新しい夢が目指せない……   (2023/3/18 17:43:57)

中野一花 ◆> (ざばっ)   (2023/3/18 17:45:26)

倉田ましろ> よしよし…   (2023/3/18 17:45:42)

倉田ましろ> お帰りなさい   (2023/3/18 17:45:47)

後藤ひとり> あ、おかえりなさいです…   (2023/3/18 17:46:20)

後藤ひとり> ときめきポポロンとかも残りライフ50ですね…   (2023/3/18 17:53:21)

中野一花 ◆> お姉さんは大好きだった音ゲームが終わっちゃったから…やる気がないねぇ   (2023/3/18 17:54:46)

後藤ひとり> それは萎えますね…   (2023/3/18 17:55:52)

中野一花 ◆> ……んぁぁ   (2023/3/18 17:57:05)

後藤ひとり> 腕がすごい落ちてました…   (2023/3/18 17:58:55)

倉田ましろ> 私もできなくなったゲームは多かったな…   (2023/3/18 17:59:02)

後藤ひとり> 無理ですねこれ…   (2023/3/18 18:00:24)

倉田ましろ> よしよし…   (2023/3/18 18:01:12)

後藤ひとり> むぎゅ…   (2023/3/18 18:01:20)

倉田ましろ> 私もやりたいけどまずはeasyかな…（むぎゅう）   (2023/3/18 18:01:56)

中野一花 ◆> (ぐでっ)   (2023/3/18 18:02:00)

後藤ひとり> フルコン出来た曲ですら無理ですからね…   (2023/3/18 18:02:48)

倉田ましろ> ブランクだねぇ…   (2023/3/18 18:03:19)

後藤ひとり> ハードならまあそこそこでした……   (2023/3/18 18:05:16)

倉田ましろ> 私はeasyですらできるかあやういなぁ…   (2023/3/18 18:05:58)

後藤ひとり> easy割とミスることありますよね……   (2023/3/18 18:06:47)

中野一花 ◆> どうしようかなぁ…   (2023/3/18 18:09:59)

倉田ましろ> 難しい…   (2023/3/18 18:10:17)

おしらせ> 天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄさんが入室しました♪  (2023/3/18 18:10:27)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> へふぅ~ぁ。   (2023/3/18 18:10:31)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> みんなバンドリの話してる~…？   (2023/3/18 18:11:56)

倉田ましろ> なんとかクリアできた…   (2023/3/18 18:12:08)

後藤ひとり> 好きな曲追加されたので演奏したら…ボロボロでした、あ、おめでとうございます   (2023/3/18 18:14:18)

倉田ましろ> ２５０残しでなんとかクリアできた…   (2023/3/18 18:15:24)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> AtoZのexpertくらいなら叩ける…。(一応プレイ民)   (2023/3/18 18:16:06)

後藤ひとり> 現実逃避しようと転生見たら……8話だし……   (2023/3/18 18:18:13)

中野一花 ◆> バンドリはしてないしねぇ   (2023/3/18 18:20:25)

後藤ひとり> いつの間にか眠気が…   (2023/3/18 18:25:17)

倉田ましろ> さめちゃった？   (2023/3/18 18:25:55)

後藤ひとり> はい……しかもどうせしばらくしたらご飯だし……   (2023/3/18 18:26:16)

中野一花 ◆> 外食じゃなくなった〜！   (2023/3/18 18:26:59)

倉田ましろ> 重たい…   (2023/3/18 18:29:23)

後藤ひとり> な、なるほど……   (2023/3/18 18:31:07)

後藤ひとり> 重たいなら無理せず……   (2023/3/18 18:31:13)

倉田ましろ> 何でこんなに重くなったんだ…   (2023/3/18 18:31:45)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ねむ……   (2023/3/18 18:31:53)

中野一花 ◆> みんな眠そうだね〜…   (2023/3/18 18:33:25)

後藤ひとり> 端末のせいですね…なんの端末ですか？   (2023/3/18 18:33:37)

倉田ましろ> アンドロイド…   (2023/3/18 18:34:12)

後藤ひとり> それだと思いですよ……iPhoneの方が軽いです   (2023/3/18 18:36:03)

倉田ましろ> iphoneたかい…   (2023/3/18 18:37:08)

後藤ひとり> それはわかりますけど……   (2023/3/18 18:37:43)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> iPhoneでも、3Dmv見るとアホ程重くなったりするぞ~。   (2023/3/18 18:40:36)

中野一花 ◆> (のびっ.!   (2023/3/18 18:41:50)

後藤ひとり> な、なるほど……   (2023/3/18 18:42:50)

倉田ましろ> いつか解決することを祈ってる…   (2023/3/18 18:43:43)

後藤ひとり> 出来ますかね……   (2023/3/18 18:45:35)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> まぁ、ゲーム自体そこそこの大きさあるから、解決っていう解決策はユーザー側が端末スペックあげるしか見当たらないんだよなぁ   (2023/3/18 18:45:53)

倉田ましろ> わからない…   (2023/3/18 18:45:56)

後藤ひとり> そうですよね…   (2023/3/18 18:47:22)

倉田ましろ> ふにゅっ…   (2023/3/18 18:53:31)

中野一花 ◆> 暇だなぁ…   (2023/3/18 18:53:33)

後藤ひとり> 眠い……   (2023/3/18 18:54:09)

おしらせ> 絹川みちほさんが入室しました♪  (2023/3/18 18:57:43)

絹川みちほ> んにゃ…寝ちゃってた   (2023/3/18 18:58:37)

中野一花 ◆> おっはよ〜♪   (2023/3/18 18:59:46)

絹川みちほ> おはよ〜   (2023/3/18 19:00:16)

後藤ひとり> あ、おはようございます   (2023/3/18 19:02:13)

倉田ましろ> さてと、すれ違いだけど落ちるねぇお疲れ様でした   (2023/3/18 19:02:27)

おしらせ> 倉田ましろさんが退室しました。  (2023/3/18 19:02:34)

後藤ひとり> お疲れ様です   (2023/3/18 19:02:45)

絹川みちほ> お疲れ様、ましろちゃん。また会おうね   (2023/3/18 19:03:31)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> おつおつー   (2023/3/18 19:04:02)

後藤ひとり> 私もお風呂とか入らないとですね   (2023/3/18 19:06:31)

絹川みちほ> そっか、お風呂ね   (2023/3/18 19:07:03)

