/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年11月15日 00時27分 ～ 2022年11月18日 19時32分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

東北ずん子> また二人でお話もさせてくださいね(ぎゅ　はふー   (2022/11/15 00:27:29)
おしらせ> クレーさんが入室しました♪  (2022/11/15 22:43:55)

クレー> こんばんは、ぐでぇ   (2022/11/15 22:44:16)

クレー> ふふっ、小春お姉ちゃんのまねっ   (2022/11/15 22:45:10)

クレー> まーた放置だっ！   (2022/11/15 22:49:44)

おしらせ> 桜衣乃さんが入室しました♪  (2022/11/15 22:55:42)

桜衣乃> 六花ちゃんの悪いところですよね〜。まぁ私も昔はそんなこともありましたが…。   (2022/11/15 22:56:15)

クレー> あっ！衣乃お姉ちゃん♡   (2022/11/15 22:56:27)

クレー> こんばんはっ(おててふりふり)   (2022/11/15 22:56:39)

小春六花> え、あぁ、やっほー   (2022/11/15 22:56:50)

桜衣乃> こんばんは、クレーちゃん♡今日は他の待ち合わせがあるので、チラ見せだけですが…   (2022/11/15 22:57:21)

桜衣乃> あら、六花ちゃんは戻ってきましたね♪こんばんは、最近おつかれじゃないですか？   (2022/11/15 22:57:43)

クレー> 小春お姉ちゃんも起きたっ、こんばんはっ   (2022/11/15 22:57:52)

小春六花> んー、疲れって言うかやることが…！やることが多い…！みたいな。   (2022/11/15 22:59:00)

桜衣乃> またデュエルですか？ふふ、私もあっちこっちで色々やってて、なかなかお部屋に来れなくてごめんなさいね。   (2022/11/15 23:00:05)

クレー> クレーも西風騎士団のお仕事があったり、冒険者ギルドのお願いがあったり…でも、時間があるとよくきちゃう…えへへっ(頭ぽりぽり)   (2022/11/15 23:01:04)

小春六花> え、別にデュエルとかではないよー？　ただポケモンに向けての準備したり、友人の配信に茶々入れたりだとかー、後は動画を作るかー作らないかーでグダついてるかんじー？   (2022/11/15 23:01:36)

クレー> 小春お姉ちゃん、多趣味っ！   (2022/11/15 23:02:00)

小春六花> そんなに多趣味というわけでも！あ、FF14にログインしたりとかもしてるかも。   (2022/11/15 23:03:13)

桜衣乃> あ〜、そういえば作る側なんでしたっけ…。アリアルちゃんといい趣味があって楽しそう…。   (2022/11/15 23:03:26)

クレー> クレー、えむえむでぃー？っていうの知ってるっ。なんかぁ、クレーのモデル？もあるよってきいたっ   (2022/11/15 23:06:06)

小春六花> まぁ、私雑談と実況くらいしかできないけどね。（HAHAHA)   (2022/11/15 23:06:46)

クレー> 配信者さんだっ、すごいねっ小春お姉ちゃんっ   (2022/11/15 23:07:14)

桜衣乃> 配信ですかー…。すごいなぁ、そっち側になったこと、私はありませんからねぇ。   (2022/11/15 23:08:58)

桜衣乃> 憧れますよね〜……動画配信者……。   (2022/11/15 23:09:53)

小春六花> 配信はさすがにできないけどできるようにはなりたいよねぇ   (2022/11/15 23:10:08)

小春六花> あーでも、モデルがないからきついかぁ   (2022/11/15 23:10:20)

桜衣乃> あっても狭き門ですけどね…。はー、私のおっかけてるのもなかなか1万フォロワーに届かなかったり…。でもいずれはやってみたいですね〜♪   (2022/11/15 23:12:56)

クレー> クレーわかんないけど、小春お姉ちゃんの配信みでたいなっ   (2022/11/15 23:13:02)

小春六花> フォロワーなんて増えぬ増えぬ……あれは自己満足で現実にしばかれ太郎するしかないのよ……   (2022/11/15 23:15:10)

桜衣乃> 最近は2434やホロも見るようになったんです。あと、名取ちゃんとか！みんな可愛いですよね〜！ついみんなのを見ようとして、時間があっという間に…。   (2022/11/15 23:17:33)

クレー> ほえー…衣乃お姉ちゃん好きそうっ   (2022/11/15 23:19:37)

クレー> V沼は圧倒的に時間がないのさ…って誰かが言ってた！   (2022/11/15 23:20:29)

桜衣乃> そういう子がこのお部屋に来ちゃったら、私つい沼っちゃいそう…。赤スパチャもポンポン投げてしまったり…！   (2022/11/15 23:20:52)

クレー> 衣乃お姉ちゃんお金持ち！   (2022/11/15 23:21:24)

小春六花> おかしいなぁ。私も無限に動画あるんだけどなぁ（？）   (2022/11/15 23:21:41)

クレー> クレーもなんか知らないけど踊ってみたり歌ってみたりの動画、紹介動画とかあるらしいんだけどなぁ(？)   (2022/11/15 23:22:28)

桜衣乃> ……ちなみに、私の借金はあと1億あります！(どん！)   (2022/11/15 23:25:21)

小春六花> じゃああとちょっと１千万くらい抱えても誤差じゃない？   (2022/11/15 23:26:06)

クレー> ……(ポカーンとおどろき)   (2022/11/15 23:26:28)

桜衣乃> やめてください　しんでしまいます   (2022/11/15 23:26:44)

クレー> ……衣乃お姉ちゃん、がんばって(肩をぽん)   (2022/11/15 23:26:59)

桜衣乃> …というわけで、したくても出来ないのが実情なんです…。落ちこぼれアイドルだから…。(クレーちゃんにすりすりしながら涙目…)   (2022/11/15 23:27:24)

クレー> よしよし…衣乃お姉ちゃんなでなで…(すり寄ってきた衣乃お姉ちゃんをやさしくあわれむように頭をなでり)   (2022/11/15 23:29:22)

小春六花> （大判焼きもひもひ）   (2022/11/15 23:29:36)

クレー> あっ、衣乃お姉ちゃんっ   (2022/11/15 23:31:06)

桜衣乃> なーのーでー　ここならお金で女の子を買わずにえっちが出来ますから、みなさんに定期的に元気もらっちゃいますね！あ、みなさんにも元気わけますから！   (2022/11/15 23:31:16)

桜衣乃> はい、なんでしょうクレーちゃん？   (2022/11/15 23:31:26)

クレー> クレーが、衣乃お姉ちゃんの幸せイノっちゃうぞ♡   (2022/11/15 23:31:26)

クレー> えへへっ♡   (2022/11/15 23:31:41)

桜衣乃> そ、それはっ！私が公式で言ってない公式セリフ！…クレーちゃん、私のこと調べてきてくれたんですね、嬉しいです〜♡(すりすりすりすりすりすり〜♡)   (2022/11/15 23:32:35)

クレー> きゃあ♡衣乃お姉ちゃんっすりすりはげしいっ♡喜んでくれてよかったっ   (2022/11/15 23:34:05)

桜衣乃> うぇっへへへへへ…♡クレーちゃんはかわいいですねぇ…♡   (2022/11/15 23:36:27)

桜衣乃> 本当はこのままクレーちゃんをお持ち帰りしたいところですが、さっきも言った通り今日は先約が…。…なので、今日はおあずけなんです〜。んー、ざんねん！私があと10人くらいいたらいいのに…。   (2022/11/15 23:37:40)

クレー> おやくそくの時間大丈夫？   (2022/11/15 23:38:22)

クレー> 小春お姉ちゃん、大判焼きおいしいっ？   (2022/11/15 23:38:51)

小春六花> うんー？んまいよー？   (2022/11/15 23:39:09)

桜衣乃> んー…。そろそろだとは思うんですが、時間の指定をしてないんですよねー…。もしかしたらもっと遅くなるのかも？(ちら、ちら)   (2022/11/15 23:40:13)

クレー> 誰かくるのかなっ   (2022/11/15 23:40:29)

桜衣乃> このお部屋のお外のお話なので〜…ここには来てくれませんね〜…。   (2022/11/15 23:40:58)

クレー> 小春お姉ちゃんのえむえむでぃーもでるくるくるしたいっ   (2022/11/15 23:40:59)

クレー> ここにくる人たち、クレーの知らない子ばかりだからお外でたまに調べてるっ   (2022/11/15 23:44:30)

小春六花> 無料で落とせるから頑張ってねー   (2022/11/15 23:44:34)

クレー> 小春お姉ちゃん、何色のパンツはいてるのかなーぐへへ(？)   (2022/11/15 23:45:33)

桜衣乃> 私も外見だけ調べて、あとは流れで…   (2022/11/15 23:45:33)

桜衣乃> あらあら、クレーちゃんったら…。…ちなみに今何色ですか？   (2022/11/15 23:46:00)

クレー> はっ、クレー一体何をっ！   (2022/11/15 23:46:13)

クレー> え？クレーの…？//   (2022/11/15 23:46:45)

桜衣乃> クレーちゃんと六花ちゃん両方♡   (2022/11/15 23:47:01)

桜衣乃> …っと！もう時間です…。今度また遊びに来ますから、その時はまた一緒に遊びましょうね♪では、おやすみなさい〜   (2022/11/15 23:47:56)

おしらせ> 桜衣乃さんが退室しました。  (2022/11/15 23:48:01)

クレー> 衣乃お姉ちゃん…ぱんつの色聞いてきて嵐のように去っていた…(ほえーと呆けて)   (2022/11/15 23:49:01)

小春六花> なんか答える前に行っちゃったなー（またいにーって掌ひらひら   (2022/11/15 23:50:37)

クレー> ちなみに何色っ？♡   (2022/11/15 23:51:05)

小春六花> しろー？   (2022/11/15 23:53:07)

クレー> おそろだー♡   (2022/11/15 23:53:16)

小春六花> おそろなのかー。しまむ……ちゃんとモールで買ってるけどね！   (2022/11/15 23:53:51)

クレー> クレーはママが買ってきてるっ   (2022/11/15 23:54:18)

クレー> 小春お姉ちゃんの制服？かわいいよねー♡あとお団子の髪の毛もっ   (2022/11/15 23:55:20)

小春六花> あー、パーカー？いいよね、私も結構気に入ってるよ   (2022/11/15 23:56:27)

クレー> それからこのくまさんも♡かわいい♡(カバンのラキストン)   (2022/11/15 23:56:35)

小春六花> そー、ラキストンはいいやつだからね。私の相棒なのよ（うんうん   (2022/11/15 23:57:29)

クレー> 小春お姉ちゃんは作業してるって言ってたけど、お部屋にのぞいて裏で別のことしてるってことっ？   (2022/11/15 23:58:46)

クレー> さむっ…(リビングにあるブランケット借りて身体にまきまき)   (2022/11/16 00:07:19)

小春六花> あー、そういう感じだったり今は友達の配信眺めたり―？   (2022/11/16 00:15:28)

クレー> そうなんだっ、クレーもお部屋にいたり、(原神内の)冒険者ギルドのデイリーやったりするっ   (2022/11/16 00:16:45)

小春六花> いいんじゃないかなー。好きに過ごすのが一番だと思うよ   (2022/11/16 00:16:59)

クレー> あ、あの小春お姉ちゃ…ん(もじもじと)   (2022/11/16 00:18:32)

小春六花> んー？なにー？   (2022/11/16 00:19:00)

クレー> ちょっと…変なこと聞いても…いい？   (2022/11/16 00:19:04)

小春六花> 別にこたえられることなら―？   (2022/11/16 00:19:21)

クレー> 小春は…その………(ちょっと顔赤くしながら)、は、生えての…？   (2022/11/16 00:19:45)

クレー> あ、お姉ちゃんつけ忘れちゃった、ごめんなさいっ   (2022/11/16 00:20:09)

小春六花> んー、基本は生やしてるかなぁ？   (2022/11/16 00:20:27)

クレー> っ…//(びくっとしながら)、やっぱりそうなんだっ   (2022/11/16 00:20:52)

クレー> へ、変なこと…聞いてごめんね？//   (2022/11/16 00:23:21)

小春六花> んぇ、別に大丈夫だよ？   (2022/11/16 00:23:41)

クレー> 意外と生えてる子…いるんだねぇ…//   (2022/11/16 00:25:11)

小春六花> まーなにかとべんりだしねぇ   (2022/11/16 00:25:36)

クレー> ずん子お姉ちゃんも…生えてるの…//   (2022/11/16 00:27:35)

小春六花> あー、まぁボイロだしねぇ（？）   (2022/11/16 00:27:54)

クレー> フィーお姉ちゃんも…なんかできるんだよねっ//   (2022/11/16 00:28:01)

小春六花> カリカチュアだしねー   (2022/11/16 00:28:13)

クレー> 小春お姉ちゃんのは…どんなのなの…？(チラッと小春お姉ちゃんの下半身みて)   (2022/11/16 00:29:25)

小春六花> どんなのって言われると普通の…？   (2022/11/16 00:29:38)

クレー> こわい…？クレーよりおっきい？   (2022/11/16 00:29:56)

小春六花> 流石に小さいんじゃないかな……   (2022/11/16 00:30:54)

クレー> そ、そうだよね…//えへへっ(あせあせと照れ隠しで)   (2022/11/16 00:31:38)

小春六花> そんなでかいのどうこうできないしねぇ   (2022/11/16 00:32:17)

クレー> クレーも生えたらもっとなかよしできるかなっ？(冗談言ってごまかしに)   (2022/11/16 00:34:44)

小春六花> それは相手次第じゃなーい？   (2022/11/16 00:35:01)

クレー> く、クレーはいいかなっ！ちょっとこわいし…えへへ   (2022/11/16 00:36:49)

小春六花> まぁ無理にやるものじゃないし、それでいいと思うなぁ   (2022/11/16 00:38:19)

クレー> 小春お姉ちゃんは眠くないの…？まだ起きてる…？   (2022/11/16 00:40:09)

小春六花> んー？そろそろ寝るよー   (2022/11/16 00:40:24)

クレー> そっか…そうだよねっもうこんな時間だもん   (2022/11/16 00:40:45)

小春六花> うんうん、流石にねー   (2022/11/16 00:40:58)

クレー> 小春お姉ちゃんは…クレーのこと好き…？(チラッと 顔を見て)   (2022/11/16 00:42:18)

クレー> こどもだから苦手…？   (2022/11/16 00:42:30)

小春六花> んー、どういう意味でー？   (2022/11/16 00:42:45)

クレー> お友達としても…だし、女の子としても…？でいいのかなっ？   (2022/11/16 00:43:39)

小春六花> お友達としては特に考えてないけど、エッチ相手としてはちょーっときついかなー。   (2022/11/16 00:44:07)

クレー> そうなんだねっ。これからもお話とか相談とかしてもいい…？   (2022/11/16 00:45:30)

小春六花> 私でよければよろこんでー？   (2022/11/16 00:46:01)

クレー> えへへっ、ありがとっ   (2022/11/16 00:46:18)

小春六花> いるときはいるから好きにしてもろてー。   (2022/11/16 00:47:00)

クレー> 小春お姉ちゃんは…その…サバサバしてるんだねっ(意味はよく分かってないけど、とっさに出てきて)   (2022/11/16 00:48:03)

小春六花> え、そぉー？基本的に何も考えてないだけでしょーって千冬ちゃんからよく言われるけどそーなのかな   (2022/11/16 00:49:23)

クレー> クレーは…よくこーきしんこーせーだねってよく言われるっ。衣乃お姉ちゃんもずん子お姉ちゃんも良い子だって褒めてくれるけど、クレーお魚ドカーンしちゃう悪い子だし…   (2022/11/16 00:50:53)

小春六花> 日本でその漁法は禁止されてるからやめようね…   (2022/11/16 00:52:10)

クレー> モンドにいるときだけだよっ   (2022/11/16 00:52:37)

小春六花> さ、私もぼちぼち寝てくるよーっと   (2022/11/16 00:52:56)

小春六花> またねー   (2022/11/16 00:53:00)

クレー> うん、またねっ！お話してくれてありがとうっ   (2022/11/16 00:53:17)

おしらせ> 小春六花さんが退室しました。  (2022/11/16 00:54:56)

クレー> 誰も来なかったら、クレーもモンドに帰って寝よっかな…(ちょっとうとうとしながら)   (2022/11/16 00:55:23)

クレー> (ソファに横になってさっき巻いてたブランケットをよりくるっと身体に巻き付けて、そのままうとうとと…)誰か来たらおこして……おやすみっ…   (2022/11/16 01:04:32)

おしらせ> 東北ずん子さんが入室しました♪  (2022/11/16 01:17:56)

東北ずん子> (クレーのほっぺつんつん)   (2022/11/16 01:18:03)

クレー> ん…？   (2022/11/16 01:27:35)

東北ずん子> あ、ぎりぎりおきました？(そのまま私も落ちようかと思いましたが   (2022/11/16 01:27:58)

クレー> 【お風呂入ってました笑】   (2022/11/16 01:28:20)

クレー> そのこえ…ずん子お姉ちゃん…？(ぐしぐしと目をこすって)   (2022/11/16 01:28:44)

東北ずん子> おはようごうございまーす(ぎゅーっと抱き着いて   (2022/11/16 01:29:04)

クレー> えへへ…おはよぅ   (2022/11/16 01:29:42)

東北ずん子> ふふ、見かけたので来てみましたが、おきてたのならよかったです(つんつん、あらため頬をつついて   (2022/11/16 01:30:19)

クレー> 今何時…？えっ、こんな時間なの…ずん子お姉ちゃん…よくきたね…   (2022/11/16 01:31:32)

東北ずん子> ちょうど寝ようか迷ってたので、おじゃましましたよぉ   (2022/11/16 01:32:13)

クレー> クレーいたから…?♡   (2022/11/16 01:33:16)

東北ずん子> ふふ、そうですね(ぷに   (2022/11/16 01:34:01)

クレー> 今日、衣乃お姉ちゃん来てたの…でも、なんかおやくそくがーって言ってたから、今ごろお楽しみかも…(眠けで顔とろとろながらにこーって)   (2022/11/16 01:35:20)

東北ずん子> そういうのはお楽しみさせてあげないと、楽しいのはわかりますしねー(こくこく、いない人の事をいってもしかたないですし   (2022/11/16 01:36:47)

クレー> あ…あのね、ずん子お姉ちゃんのお話ちょっとだけしちゃったの…だいじょうぶだった…？全部じゃないけどほんの少しだけ…   (2022/11/16 01:37:58)

東北ずん子> あ、それはいいですよ。時と場合でしょうか。いない間の噂ってなかなか難しいですし(説明がむずかしいってうーん   (2022/11/16 01:39:22)

クレー> 昨日はおそくまでごめんね…？大丈夫だった…？   (2022/11/16 01:40:08)

東北ずん子> よくねれましたよー、遅くまでの方が嬉しいですしねぇ(やっぱり遅くまでの方が幸せですし   (2022/11/16 01:40:34)

クレー> クレーも………たのしかった…♡   (2022/11/16 01:41:31)

クレー> えへへっ♡   (2022/11/16 01:41:41)

東北ずん子> それならよかったです(なでなで   (2022/11/16 01:42:15)

クレー> でも、おそくまでしちゃったから…ちょっと心配だったの…   (2022/11/16 01:43:09)

クレー> だから、ずん子お姉ちゃん来たらあやまろって   (2022/11/16 01:43:30)

クレー> だから、少しだけ待ってた…えへへ   (2022/11/16 01:43:43)

東北ずん子> あれくらいのじかんならおきてるので全然いいんですけどねぇ(なでり   (2022/11/16 01:44:24)

クレー> すごいね…ずん子お姉ちゃんは夜型さんなのかな…？   (2022/11/16 01:45:08)

東北ずん子> ん、夜の方が好きですねぇ(のびー   (2022/11/16 01:47:47)

クレー> クレーはお昼が好きかなっ   (2022/11/16 01:48:32)

東北ずん子> お昼もいいですけどね。やっぱり夜の方がいたずらもしやすいですしねぇ(ふふふ   (2022/11/16 01:50:22)

クレー> そればっかり…♡   (2022/11/16 01:50:43)

東北ずん子> 私は悪戯だいすきですからね、スキンシップが一番ですから(ひらり   (2022/11/16 01:51:02)

クレー> ずん子お姉ちゃんは…さっききたばかり？それとも、ほんとはちょっと前からいた…？   (2022/11/16 01:52:00)

クレー> まさか、クレーがひとりなるのまってた…？♡   (2022/11/16 01:52:11)

東北ずん子> ん－、いい時間になってきてますよー？私は基本あそんでますしね(ふふ   (2022/11/16 01:53:34)

クレー> でも、クレーちょっとおねむっ   (2022/11/16 01:54:25)

東北ずん子> 私もねるところだったので、ちょっとのんびりです(はふ   (2022/11/16 01:55:12)

クレー> そっか…   (2022/11/16 01:55:53)

東北ずん子> ふふ、クレーさんはゆっくりしてたんじゃないんですか(つんつん   (2022/11/16 01:56:37)

クレー> ちょっとだけ…甘えたいなって…//   (2022/11/16 01:57:03)

東北ずん子> 甘えるならいくらでもいいですけどね(なでり   (2022/11/16 01:57:25)

クレー> えへへっ…ぎゅう♡   (2022/11/16 01:57:49)

東北ずん子> ん、ふふ(なでなで   (2022/11/16 01:58:47)

クレー> ずん子お姉ちゃん好きっ…//   (2022/11/16 01:59:15)

クレー> 初めてお話してから…毎日会ってるね…♡   (2022/11/16 02:00:36)

東北ずん子> そういえばそうでしたっけ？中々ずんだづくりで忙しくて(ふふ、(ぎゅ   (2022/11/16 02:01:41)

クレー> クレーに会いたくてきてる…？//   (2022/11/16 02:02:13)

クレー> それともぐーぜん？♡   (2022/11/16 02:02:28)

東北ずん子> クレーさんが色々してくれたらあいたくなるかもですねー(くすくす   (2022/11/16 02:02:56)

クレー> そういうこと言うずん子お姉ちゃん…きらい…(ぷいっとそっぽ向いて)   (2022/11/16 02:04:13)

クレー> (でも本当に嫌いになったわけじゃなくてチラッと顔を見て)   (2022/11/16 02:04:52)

東北ずん子> ふふー、私はエッチな子ですから(にこにこ   (2022/11/16 02:06:47)

クレー> もぉ…クレーをこどもだと思ってばかにしてるでしょ(ぷんぷんとちょっと怒りながら)   (2022/11/16 02:07:29)

東北ずん子> 私は悪戯する相手には悪戯返す方が好きですからねぇ(くすくす　すきかってばっかりはさせませんってにこやかに   (2022/11/16 02:09:57)

クレー> ずん子お姉ちゃんいじわるさんっ   (2022/11/16 02:11:11)

東北ずん子> 悪戯と意地悪のずんだですから(ふふん　スキンシップも含めて、なんていうかこう。こういう性格でやってますしねー(ぼんやり   (2022/11/16 02:14:00)

クレー> ふーん、そうなんだっ…(ぷいっとちょっと拗ね気味で)   (2022/11/16 02:16:37)

クレー> お姉ちゃん寝ちゃった…？   (2022/11/16 02:20:00)

東北ずん子> そういう事です。そこも含めて好きってなってくれるのが嬉しいですからね(すべてって言わないけど好きを楽しめるのが一番って   (2022/11/16 02:20:02)

クレー> クレーは素直にいちゃいちゃできるのがいいなぁ…単純かな…？   (2022/11/16 02:21:16)

クレー> ずん子お姉ちゃん…クレー…ずん子お姉ちゃんとイチャイチャしたい…   (2022/11/16 02:22:02)

東北ずん子> そうそう、それくらい単純な方がいいですよ(ぎゅう   (2022/11/16 02:22:36)

クレー> ちょっとだけでいいから…クレーと遊んで？(うるうると上目遣いで)   (2022/11/16 02:22:50)

東北ずん子> 遊ぶのならいくらでも、歓迎ですから(ぎゅう   (2022/11/16 02:23:42)

クレー> またお部屋いく…？//   (2022/11/16 02:24:18)

東北ずん子> ん(ぎゅう　いきましょうか   (2022/11/16 02:25:17)

クレー> お願いしますっ   (2022/11/16 02:26:59)

東北ずん子> はーい(てをひいて、つくりましたよー   (2022/11/16 02:28:12)

クレー> 入ったよー   (2022/11/16 02:28:44)

おしらせ> 東北ずん子さんが退室しました。  (2022/11/16 02:29:08)

おしらせ> クレーさんが退室しました。  (2022/11/16 02:29:12)

おしらせ> クレーさんが入室しました♪  (2022/11/16 19:27:29)

クレー> こんばんはっ！…ってちょっと早くきちゃった。最近、夜ふかし気味だからなぁ…(とりあえず来てしまったので、リビングに上がって背負ってるリュックを下ろして、ソファにすとんと座って何しようかなと考えるの)   (2022/11/16 19:29:41)

おしらせ> 桜衣乃さんが入室しました♪  (2022/11/16 19:30:38)

桜衣乃> じゃあ、今日は早めに寝られるように……早めにしちゃいますか？♡(ちょっとだけ遅れて入れば、クレーちゃんを背中からぎゅ…♡)   (2022/11/16 19:31:21)

クレー> えっ…！わぁっ！♡衣乃お姉ちゃんっ♡♡こんばんはっ(びくっとびっくりしたけど知ってる匂いですぐわかって)   (2022/11/16 19:32:23)

クレー> こんな時間にくるのめずらしいね…♡クレーびっくりしちゃった…♡(ぎゅってされて、衣乃お姉ちゃんだと気づいて嬉しくてにこにこ♡)   (2022/11/16 19:33:56)

桜衣乃> こんばんは…♪ ふふ、本当はもう少し遅くに顔を出すつもりだったんですが……夜ふかししてる悪い子を見つけちゃったので♡……お話もしたいところですが、今日も夜ふかしになっちゃうといけませんから…ね？(奥のお部屋がかちゃり、と開き…)…どうですか…♡  
(2022/11/16 19:35:23)

クレー> うんっ…♡クレーね、衣乃お姉ちゃんがもしきたらお願いしたいことあったから…♡多分まだ、誰もこないかもだし、ゆっくり衣乃お姉ちゃんとお話したいなって…えへへ♡(衣乃お姉ちゃんに誘われてクレーも乗り気だったから、うんうんとちょっと顔赤くして快く了承して)
  (2022/11/16 19:38:09)

桜衣乃> じゃあ、お話からもうあっちでしちゃいましょう…♪待ち合わせのお部屋で、待ってます…♡(手をひらひらさせながら、先にお部屋に行ってしまいます…)   (2022/11/16 19:40:00)

クレー> あっ待ってークレーも行くっ！(たったたと荷物は置いて走って衣乃お姉ちゃん追いかけて♡)   (2022/11/16 19:41:02)

おしらせ> クレーさんが退室しました。  (2022/11/16 19:41:07)

おしらせ> 桜衣乃さんが退室しました。  (2022/11/16 19:41:16)

おしらせ> 小春六花さんが入室しました♪  (2022/11/16 20:40:47)

小春六花> ちゃーっす、と。軽く顔出しだけー、みたいなね。   (2022/11/16 20:41:03)

おしらせ> 無言時間が25分を超えたため、小春六花さんが自動退室しました。  (2022/11/16 21:53:04)

おしらせ> 小春六花さんが入室しました♪  (2022/11/17 15:46:54)

小春六花> どうも、おひるりっかです。   (2022/11/17 15:47:01)

おしらせ> 無言時間が25分を超えたため、小春六花さんが自動退室しました。  (2022/11/17 16:14:33)

おしらせ> 小春六花さんが入室しました♪  (2022/11/17 19:39:52)

小春六花> ぐでぇばーん   (2022/11/17 19:40:05)

おしらせ> クレーさんが入室しました♪  (2022/11/17 19:41:38)

クレー> こんばんは！クレー参上っ   (2022/11/17 19:42:07)

小春六花> こんばんー   (2022/11/17 19:42:26)

クレー> えへへ、きちゃった♡   (2022/11/17 19:42:46)

クレー> 小春おねえちゃんって他のお部屋とか遊びに行ったことある？   (2022/11/17 19:43:35)

小春六花> んー、まぁあったりなかったりはするけどどったの？   (2022/11/17 19:45:00)

クレー> 特に何もないよっ。たまに入ってみようかなとか思っちゃうけど、このお部屋の雰囲気が好きだからここにきちゃうだけってだけ   (2022/11/17 19:46:21)

クレー> 小春おねえちゃんはどんなケーキが好きっ？   (2022/11/17 19:46:37)

小春六花> え、私は大体なんでも好きだよー？   (2022/11/17 19:46:54)

