/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2018年03月16日 20時53分 ～ 2018年03月30日 01時54分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

吉川ちなつ> こんばんは～   (2018/3/16 20:53:37)
おしらせ> 吉川ちなつさんが入室しました♪  (2018/3/17 06:49:01)

吉川ちなつ> 【大丈夫ですか？】   (2018/3/17 06:49:19)

歳納京子> 【おかえりなさい。もう大丈夫ですっ、失礼しました。】   (2018/3/17 06:50:26)

吉川ちなつ> 【なら良かったです】   (2018/3/17 06:51:06)

歳納京子> えへ、折角ちなつちゃんと会えたからねぇ？(抱き寄せたままスリスリと手を撫で回して)   (2018/3/17 06:52:04)

吉川ちなつ> は、はいい…///   (2018/3/17 06:53:01)

歳納京子> どうしよっか？今日は、する…？(ゆっくりと脚へ手を這わせて尋ねる)   (2018/3/17 06:54:30)

吉川ちなつ> し、したいです…///   (2018/3/17 06:55:12)

歳納京子> ちなつちゃんのエッチ…。じゃあ、またいつもの所おいで♪   (2018/3/17 06:56:23)

吉川ちなつ> 了解です   (2018/3/17 06:57:05)

おしらせ> 吉川ちなつさんが退室しました。  (2018/3/17 06:57:13)

おしらせ> 歳納京子さんが退室しました。  (2018/3/17 06:57:18)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/17 20:55:09)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2018/3/17 21:15:15)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/17 21:37:00)

おしらせ> 九条カレンさんが退室しました。  (2018/3/17 21:49:01)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/18 06:07:17)

おしらせ> 歳納京子さんが入室しました♪  (2018/3/18 06:09:23)

九条カレン> おはようデス   (2018/3/18 06:09:40)

歳納京子> おはよーカレンちゃん！お邪魔しても良いかな…？   (2018/3/18 06:09:43)

九条カレン> 大丈夫デスよ？   (2018/3/18 06:10:35)

歳納京子> 良かった♪ いやぁ人待ちって書いてあったから、もしかしたらと思って。   (2018/3/18 06:11:13)

九条カレン> あぁ…それは京子のことデスから   (2018/3/18 06:12:13)

歳納京子> そうなの？嬉しいなぁ〜///   (2018/3/18 06:13:05)

九条カレン> 昨日また明日って言ったからデス！   (2018/3/18 06:13:40)

歳納京子> 覚えてるよ♪ でも他の人と絡んでたら…って考えるとね。でも今日もイチャイチャできるんだね♪   (2018/3/18 06:15:29)

九条カレン> ハイ！大丈夫デス   (2018/3/18 06:17:20)

歳納京子> じゃあまた移動かな？今日はどっちが良いかな？   (2018/3/18 06:18:32)

九条カレン> 移動がいいデス   (2018/3/18 06:19:58)

歳納京子> あ、キャラのお話もね。カレンちゃんの気分なのかなーって。   (2018/3/18 06:20:42)

九条カレン> どっちでも大丈夫デス   (2018/3/18 06:23:03)

歳納京子> 了解♪ ちょっとしたい事あるからちなつちゃんお願いしようかなぁ。じゃあお部屋立ててくるね？   (2018/3/18 06:23:50)

九条カレン> ハイ   (2018/3/18 06:24:13)

歳納京子> いつでもどうぞ♪   (2018/3/18 06:24:26)

九条カレン> 了解デス   (2018/3/18 06:25:28)

おしらせ> 九条カレンさんが退室しました。  (2018/3/18 06:25:30)

おしらせ> 歳納京子さんが退室しました。  (2018/3/18 06:25:34)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/18 08:14:19)

九条カレン> 【京子さん。お疲れ様でした。また会えたらよろしくお願いします】   (2018/3/18 08:14:34)

おしらせ> 九条カレンさんが退室しました。  (2018/3/18 08:14:35)

おしらせ> 歳納京子さんが入室しました♪  (2018/3/18 08:20:55)

歳納京子> 【ごめんなさい、またウトウトしてました…。ありがとうございました。】   (2018/3/18 08:21:21)

おしらせ> 歳納京子さんが退室しました。  (2018/3/18 08:21:27)

おしらせ> 吉川ちなつさんが入室しました♪  (2018/3/18 21:33:28)

吉川ちなつ> 【気にしないでください♪。また会えたらつづきしましょー】   (2018/3/18 21:33:51)

おしらせ> 吉川ちなつさんが退室しました。  (2018/3/18 21:33:54)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/19 21:27:09)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2018/3/19 21:48:55)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/20 15:47:38)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2018/3/20 16:07:49)

おしらせ> 松原穂乃果さんが入室しました♪  (2018/3/20 16:24:04)

松原穂乃果> 【5時まで待ちます】   (2018/3/20 16:36:58)

おしらせ> 無言時間が20分を超えたため、松原穂乃果さんが自動退室しました。  (2018/3/20 17:04:28)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/21 13:15:20)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2018/3/21 13:36:03)

おしらせ> 歳納京子さんが入室しました♪  (2018/3/21 17:10:58)

おしらせ> 無言時間が20分を超えたため、歳納京子さんが自動退室しました。  (2018/3/21 17:59:12)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/22 06:46:09)

おしらせ> 歳納京子さんが入室しました♪  (2018/3/22 06:48:34)

九条カレン> Good morning～   (2018/3/22 06:49:05)

歳納京子> おはようカレ…ンちゃん、だよね？ちなつちゃんカラーだけど♪   (2018/3/22 06:49:16)

九条カレン> oh......sorryデス…   (2018/3/22 06:50:46)

歳納京子> 別にいいのに♪ 今朝はご挨拶だけ、かな？   (2018/3/22 06:51:38)

九条カレン> 今日は大丈夫デスよ？   (2018/3/22 06:52:39)

歳納京子> あれ？そうなんだ。じゃあ、遊んで行く？(ちゅっ)   (2018/3/22 06:53:07)

九条カレン> んっ…///OKデス…//   (2018/3/22 06:54:19)

歳納京子> じゃあまたお部屋作っておいたから♪///   (2018/3/22 06:56:36)

九条カレン> はい！   (2018/3/22 06:57:00)

おしらせ> 九条カレンさんが退室しました。  (2018/3/22 06:57:13)

おしらせ> 歳納京子さんが退室しました。  (2018/3/22 06:57:46)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/22 13:08:11)

おしらせ> 九条カレンさんが退室しました。  (2018/3/22 13:22:09)

おしらせ> マシュ・キリエライトさんが入室しました♪  (2018/3/22 20:53:41)

マシュ・キリエライト> （入室しました。環境はデフォルト状態のようですので、室内の整頓と過去ログの参照を行います）   (2018/3/22 20:54:59)

マシュ・キリエライト> （ぱたぱたと周辺の整理整頓を行っています。本日のわたしの装備は白いブラウスの上に黒いワンピースとネクタイ、その上に白いパーカー。視力補正に眼鏡を装備しています）   (2018/3/22 21:06:00)

マシュ・キリエライト> （わたしの着衣は「マシュ　カルデア制服」で説明できてしまうような気もしますが気にしないことにします。整頓を一段落させて日本茶を摂取中です）   (2018/3/22 21:19:45)

マシュ・キリエライト> （過去ログを参照しています……いらっしゃった皆さんが抵抗なく深いラブに及べるように、露出度の向上を図るべきでしょうか）   (2018/3/22 21:28:30)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/22 21:34:38)

九条カレン> Hi～   (2018/3/22 21:34:48)

マシュ・キリエライト> カレンさん！　こんばんは   (2018/3/22 21:34:50)

九条カレン> こんばんはデス   (2018/3/22 21:35:31)

マシュ・キリエライト> 先日は……その、深いラブのご教示、ありがとうございました   (2018/3/22 21:35:51)

九条カレン> そ、そんな大したことはしてないデス   (2018/3/22 21:36:21)

マシュ・キリエライト> い、いえ、なにぶんにも初めてのことでしたので、新鮮な体験でした……   (2018/3/22 21:36:39)

マシュ・キリエライト> （先日わたしの大事なところの中にまで指を入れてくださった記憶を思い返しています）   (2018/3/22 21:38:22)

九条カレン> だ、誰だって初めてはあるデスから大丈夫ね？   (2018/3/22 21:38:44)

マシュ・キリエライト> はっ、はいっ、大変に有意義でしたっ……あの、その節はお世話になりました……（何を言ってるんでしょうかわたし、と思いつつももじもじあたふたしています）   (2018/3/22 21:40:10)

九条カレン> そ、そんなに慌てなくて平気デス？それに私より年上なので敬語も大丈夫デス   (2018/3/22 21:41:28)

マシュ・キリエライト> ええと、わたしは諸般の事情でため口というものをしたことがないのです。わけあって職場で生まれ育ったせいか、敬語口調が板についてしまっています。おいやでなければこの話し方でもよろしいでしょうか。   (2018/3/22 21:44:22)

マシュ・キリエライト> （職場で生まれ育つ……というと話に聞くブラック企業さんの従業員さんのような気がしてきます。わたしの生い立ちなどなどは、FGO本編や漫画版をご参照いただければと思います。カレンさんに似たお声の方もいらっしゃいますよ）  
(2018/3/22 21:45:42)

九条カレン> りょ、了解デス！大丈夫ですよ   (2018/3/22 21:46:34)

マシュ・キリエライト> ありがとうございます、カレンさん。それにしても……カレンさんを見ていると不思議な感じがします。職場の知人がカレンさんに似たお声なのですが、カレンさんとその方ではまるで正反対で、新鮮な印象です   (2018/3/22 21:49:17)

九条カレン> そ、そうなんデスか？その人ともあってみたいデス…   (2018/3/22 21:50:05)

マシュ・キリエライト> 最初は驚かれるかもしれませんが、小柄で可愛らしい方ですよ。最近はマカロンがお気に入りなのだそうです   (2018/3/22 21:51:02)

九条カレン> な、なるほどデス、可愛らしそうデスネ？   (2018/3/22 21:52:04)

マシュ・キリエライト> はい、とっても可愛らしい方です……そういえばカレンさんのようにブロンドの御髪をお持ちですし、頑張り屋さんなところもありますし、存外気が合うかもしれませんね   (2018/3/22 21:53:18)

九条カレン> そうデスか？会ってみたいデスねー   (2018/3/22 21:54:51)

マシュ・キリエライト> 少しシャイな方ですし、わたしたちとは違う文化をお持ちですが、きっとカレンさんとも仲良くなれると思います。なんと言いますか、魂や声帯のレベルで、カレンさんと共通する因子をお持ちなのでは、と思うのです   (2018/3/22
21:56:07)

九条カレン> そ、そこまでデスか…その子に是非私のこと紹介してくださいネ？   (2018/3/22 21:56:52)

マシュ・キリエライト> はい、承りました。ふふ、もしかしたら気が合うかもしれませんね（茨木童子さん、カレンさんとおんなじお声をお持ちの方です。もしかしたら、どこかでお名前をご記憶かもしれませんね）   (2018/3/22 21:58:38)

九条カレン> 友達になれたらいいデス…   (2018/3/22 22:02:23)

マシュ・キリエライト> カレンさんなら大丈夫です、きっと友達になれますよ……そうだ、ご友人といえば、カレンさんのご友人のお話も伺ってよろしいですか？（ポットとティーバッグを使用し、紅茶を二人分入れます。市販のビスケットにミルクポットと砂糖壺を取り出して、カレンさんに勧めますね）
  (2018/3/22 22:06:16)

九条カレン> 私の友人デスか？…私の友人で特に特殊なひとはいないデス…強いて言うなら金髪好きが2人いるとかデスかね   (2018/3/22 22:09:35)

マシュ・キリエライト> 金髪好き、ですか。わたしの職場にも何人か見事なブロンドをお持ちの方がいらっしゃいますが、外の世界の方々にはブロンドの方が好まれるのでしょうか？（自分の紫がかった銀髪を指でつまみながら考え込みます。金髪アホ毛、声優の川澄綾子さんに酷似したお声……職場の同僚のことを考えて考え込んでしまいます）
  (2018/3/22 22:11:47)

九条カレン> いやその2人が特別なだけだと思いますあとマシュに似てる声がの友達がいるデス   (2018/3/22 22:14:19)

マシュ・キリエライト> 特別と称されるほどのブロンドマニア……どのような方なのでしょう。それに、わたしに類似しているご友人……わたし、気になります   (2018/3/22 22:15:52)

九条カレン> 【小路綾ちゃんの声優が種田梨沙さんですからね…色々あるからなんともいえないデスが】   (2018/3/22 22:16:56)

九条カレン> ん、きっと仲良くなれるデス   (2018/3/22 22:17:43)

マシュ・キリエライト> それは楽しみです……なんだかふしぎですね、お互いに似ている人たちが身の回りにいるなんて（お茶のお代わりを勧めるのを口実に、カレンさんの隣に腰かけます。ちょっとこう、ぴたっとした感じで密着を試みたりもします）   (2018/3/22
22:20:29)

九条カレン> そうデスね…(私からもぴたっとくっついてみて)   (2018/3/22 22:22:03)

マシュ・キリエライト> （まずはカレンさんの手にわたしの手を重ねて、じっとカレンさんを見つめます）カレンさん……もしよろしければ、今度はわたしから……   (2018/3/22 22:25:06)

九条カレン> あ、は、ハイ…///30分くらいしかないデスが…   (2018/3/22 22:25:41)

マシュ・キリエライト> はい、では、軽いラブを試行します……（カレンさんを抱き寄せて、軽く口づけます。ひとつ、ふたつ、みっつ、まだまだぎこちないキスを唇に落としますね）   (2018/3/22 22:27:20)

九条カレン> ハイ…//よろしくデス……んんっ…///   (2018/3/22 22:29:41)

マシュ・キリエライト> （抱きしめる力を少しだけ強めて、もっと深くキスをします……舌なども使って、カレンさんのお口の中に、おずおずと差し入れてみますね）   (2018/3/22 22:31:13)

九条カレン> んんっ…///(私もマシュの口の中に舌を入れてみて)   (2018/3/22 22:32:03)

マシュ・キリエライト> んっ……んんっ、んっ、んぅぅ……（カレンさんの舌にわたしの舌をからめます、キスの刺激が新鮮で、夢中になってしまいます）   (2018/3/22 22:34:10)

九条カレン> んんっ…んん～///んぅ～///   (2018/3/22 22:36:30)

マシュ・キリエライト> んんっ、んぅーん……ぷはぁ……（息継ぎで一度口を離します。舌先の唾液が糸を引いて離れていって、えっちな眺めです……）   (2018/3/22 22:38:13)

九条カレン> はぁ…///はぁ…///   (2018/3/22 22:39:57)

マシュ・キリエライト> お綺麗です、カレンさん……綺麗なカレンさんのこと、もっとわたしに、教えてください……（お召し物のリボンをほどきますね。それからブラウスのボタンを一つ一つ外させていただきます）   (2018/3/22 22:41:29)

九条カレン> はぅううう…////よろしくお願いするデス…///   (2018/3/22 22:44:15)

マシュ・キリエライト> こちらこそ、ふつつかものですが……（ブラウスをはだけて、カレンさんのお胸をブラ越しに手のひらで愛撫します。わたしが自分で慰める動きを参考に、左右の手で左右のお胸を触りますね）   (2018/3/22 22:47:13)

九条カレン> 【そ、sorryもう寝ないとデス】   (2018/3/22 22:48:59)

マシュ・キリエライト> （そうでした、もうそんな時間でした）   (2018/3/22 22:49:24)

マシュ・キリエライト> ……そういえば、そろそろお時間ですね。続きはまたの機会に。また、深いラブのお勉強、させてくださるとうれしいです   (2018/3/22 22:50:03)

九条カレン> は、はいぃ…///また会えたらよろしくデス   (2018/3/22 22:51:10)

マシュ・キリエライト> こちらこそ……（カレンさんの着衣を手早く治しますね）。お疲れさまでした、またお会いしましょう   (2018/3/22 22:51:47)

九条カレン> それではさようならデス   (2018/3/22 22:53:03)

おしらせ> 九条カレンさんが退室しました。  (2018/3/22 22:53:05)

マシュ・キリエライト> （自分の着衣を整えると、食器の片づけと整頓を開始します）   (2018/3/22 22:53:49)

マシュ・キリエライト> （片づけ終了しました。左右を確認しつつ、退室します）   (2018/3/22 23:06:24)

おしらせ> マシュ・キリエライトさんが退室しました。  (2018/3/22 23:06:30)

おしらせ> 歳納京子さんが入室しました♪  (2018/3/23 06:34:05)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/23 06:57:53)

九条カレン> ハロー   (2018/3/23 06:57:58)

歳納京子> おはよーカレンちゃん♪   (2018/3/23 06:59:38)

九条カレン> おはようデス！   (2018/3/23 07:00:32)

歳納京子> 今朝は遊べるのかな？？   (2018/3/23 07:02:58)

九条カレン> 大丈夫デス！   (2018/3/23 07:03:55)

歳納京子> りょーかい♪ じゃあガヴちゃん呼んでくるねぇ。   (2018/3/23 07:04:55)

おしらせ> 歳納京子さんが退室しました。  (2018/3/23 07:04:59)

おしらせ> ガヴリールさんが入室しました♪  (2018/3/23 07:05:26)

九条カレン> はーい   (2018/3/23 07:05:41)

ガヴリール> なんだあの中学生…馴れ馴れしいな。   (2018/3/23 07:05:58)

九条カレン> おはようデス…   (2018/3/23 07:06:58)

ガヴリール> ちわっす…。誰？   (2018/3/23 07:07:47)

九条カレン> あー名前は言ってませんでしたか…私は九条カレンデス！   (2018/3/23 07:08:50)

ガヴリール> あー…。あの中学生が言ってた人か。私は天真=ガヴリール=ホワイト…面倒臭いからガヴリールでいいよ。   (2018/3/23 07:11:08)

九条カレン> 了解デス！私のことはカレンと呼んで欲しいデス   (2018/3/23 07:12:25)

ガヴリール> ヨロシクオネガイシマス、九条さん。(ガンスルー)   (2018/3/23 07:13:22)

九条カレン> 九条さん…なかなか呼ばれない名前デス…(しゅんとして)とにかくよろしくデス   (2018/3/23 07:14:33)

ガヴリール> ん、よろしく……カレン。(ボソリ) で、私に何か用事か？   (2018/3/23 07:16:07)

九条カレン> ほら…///私達が結構前に会った時の約束覚えてマスか？   (2018/3/23 07:18:04)

ガヴリール> 前…あぁ、カレンがナンパしてた時の？(違う)   (2018/3/23 07:20:13)

九条カレン> それじゃあ…私がただのチャラい人になるデス   (2018/3/23 07:21:21)

ガヴリール> へいお嬢ちゃん、遊んでかなーい？…的な？ って、この会話前にもしたな。   (2018/3/23 07:23:21)

九条カレン> そうデスよ…私は別にチャラい人じゃないデス   (2018/3/23 07:24:53)

ガヴリール> 派手な見た目してるからつい、な。で、私を襲うために呼んだのか？   (2018/3/23 07:26:13)

九条カレン> まぁ…YESかＮＯで言われればYESと答えるしかないデスよね…ガヴリールは嫌デスか？   (2018/3/23 07:27:29)

ガヴリール> フフッ、変態め。(ニヤニヤして) 嫌なんて事無いって。ん、じゃあ部屋作るか？   (2018/3/23 07:30:11)

九条カレン> お願いするデス   (2018/3/23 07:31:33)

ガヴリール> ホイ、先に待ってるから。   (2018/3/23 07:32:12)

おしらせ> ガヴリールさんが退室しました。  (2018/3/23 07:32:15)

九条カレン> はーい   (2018/3/23 07:32:58)

おしらせ> 九条カレンさんが退室しました。  (2018/3/23 07:33:01)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/23 13:24:08)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2018/3/23 13:44:45)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/23 15:02:08)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2018/3/23 15:22:08)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/24 06:20:33)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2018/3/24 06:40:36)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/24 06:40:48)

おしらせ> 九条カレンさんが退室しました。  (2018/3/24 06:59:25)

おしらせ> 九条カレンさんが入室しました♪  (2018/3/24 08:06:15)

九条カレン> 【今日は来れないのかな？】   (2018/3/24 08:15:33)

おしらせ> らりっくまさんが入室しました♪  (2018/3/24 08:23:15)

九条カレン> 【…？】   (2018/3/24 08:24:15)

らりっくま> おいレズビアンのキモオタ気持ち悪いから死ねよクマー   (2018/3/24 08:24:23)

らりっくま> お前みたいな同性愛者はカマか生きる価値も無いゴミ なんだから死ねやクマー   (2018/3/24 08:25:35)

らりっくま> 生きてて楽しいでちゅか🐻   (2018/3/24 08:26:04)

らりっくま> 漫画村のプレミアム会員になったら許してやってもいいクマー   (2018/3/24 08:26:56)

おしらせ> 赤猫耳@ｱﾘｽｶｰﾀﾚｯﾄ♪さんが入室しました♪  (2018/3/24 08:27:02)

赤猫耳@ｱﾘｽｶｰﾀﾚｯﾄ♪> (ง ˙ω˙)ว踊るのすきっすきっ   (2018/3/24 08:27:11)

赤猫耳@ｱﾘｽｶｰﾀﾚｯﾄ♪> (ง ˙ω˙)ว？？？   (2018/3/24 08:27:24)

赤猫耳@ｱﾘｽｶｰﾀﾚｯﾄ♪> (ง ˙ω˙)วまぁいいやッ   (2018/3/24 08:27:28)

赤猫耳@ｱﾘｽｶｰﾀﾚｯﾄ♪> (ง ˙ω˙)วえいさぁーい   (2018/3/24 08:27:37)

赤猫耳@ｱﾘｽｶｰﾀﾚｯﾄ♪> (ง ˙ω˙)วはらますぅこぉーいー   (2018/3/24 08:27:43)

赤猫耳@ｱﾘｽｶｰﾀﾚｯﾄ♪> (ง ˙ω˙)ว踊るのすっきすっき   (2018/3/24 08:27:50)

赤猫耳@ｱﾘｽｶｰﾀﾚｯﾄ♪> (ง ˙ω˙)วｴｯｴｯｴｯｴｯｴｯ   (2018/3/24 08:27:57)

赤猫耳@ｱﾘｽｶｰﾀﾚｯﾄ♪> (ง ˙ω˙)วえんすぁーい   (2018/3/24 08:28:02)

らりっくま> 今なら月額500円で家族三人までお得で高画質なダウンロードも可能だクマー   (2018/3/24 08:28:03)

赤猫耳@ｱﾘｽｶｰﾀﾚｯﾄ♪> (ง ˙ω˙)วはらますこぉいー   (2018/3/24 08:28:06)

赤猫耳@ｱﾘｽｶｰﾀﾚｯﾄ♪> きんいろモザイク 懐かしい   (2018/3/24 08:28:26)

赤猫耳@ｱﾘｽｶｰﾀﾚｯﾄ♪> そんなの見てるとかッ   (2018/3/24 08:28:36)

赤猫耳@ｱﾘｽｶｰﾀﾚｯﾄ♪> まじありえなーマジックッ！！w   (2018/3/24 08:28:43)

赤猫耳@ｱﾘｽｶｰﾀﾚｯﾄ♪> 🇲🇱ダンスって知ってる？   (2018/3/24 08:28:51)

らりっくま> 新しい病人が来たなクマー   (2018/3/24 08:28:54)

赤猫耳@ｱﾘｽｶｰﾀﾚｯﾄ♪> 昨日🇲🇱にJAPANが   (2018/3/24 08:28:57)

赤猫耳@ｱﾘｽｶｰﾀﾚｯﾄ♪> 同点だったんだよ！w   (2018/3/24 08:29:02)

赤猫耳@ｱﾘｽｶｰﾀﾚｯﾄ♪> ふぁーーーーw   (2018/3/24 08:29:05)

赤猫耳@ｱﾘｽｶｰﾀﾚｯﾄ♪> JAPANよえええぇーw   (2018/3/24 08:29:11)

おしらせ> 赤猫耳@ｱﾘｽｶｰﾀﾚｯﾄ♪さんが部屋から追い出されました。  (2018/3/24 08:29:18)

九条カレン> 【申し訳ありません…今日は抜けます】   (2018/3/24 08:29:55)

おしらせ> 九条カレンさんが退室しました。  (2018/3/24 08:30:00)

おしらせ> 無言時間が20分を超えたため、らりっくまさんが自動退室しました。  (2018/3/24 08:49:01)

