/


「最強勇者VS雑魚サキュバス」の過去ログ

現在のルーム [/ChatRoom?room_id=273774]
過去ログ一覧 [/PastLogList?room_id=273774]

タグ 罰 [/?tag_id=2952#freerooms]  対決 [/?tag_id=4107#freerooms]  サキュバス [/?tag_id=10321#freerooms]  イメチャ [/?tag_id=33#freerooms]  サイコロ
[/?tag_id=1251#freerooms]

2023年09月29日 00時36分 ～ 2023年10月14日 09時57分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

ロニエ♀サキュバス> 【こんばんは、お邪魔してもよろしいでしょうか？】   (2023/9/29 00:36:30)
メア♀サキュバス> (ここは森の中に佇む廃屋敷。ここを探索した兵士や冒険者たちが相次いで行方不明になっていると聞き調査に乗り出したルーク。さっそく始めようと屋敷の中に踏み込むと突然意識が遠くなり、気がつくと地下牢のような場所で寝かされていた）  
(2023/10/7 14:51:56)

メア♀サキュバス> 1d6 → (1) = 1  (2023/10/7 14:52:03)

メア♀サキュバス> ん…？あ、やっと起きたんだ？遅かったからちょっとつまみ食いさせてもらったよ？(着ていたローブは捲りあげられ逸物を舐められている感触に思わず戸惑いの声をあげるルーク。そんな彼を見下ろしながらベットに座り話しかけてきた)  
(2023/10/7 14:56:04)

ルーク♂勇者> 1d6 → (3) = 3  (2023/10/7 14:56:56)

ルーク♂勇者> んんっ（股間の生ぬるい気持ちよさに目を覚ますと、自分のいちもつを加えるサキュバスが）な、なんだおまえっ！！！何をやってる！！（サキュバスを押し倒して距離を取る）そうかお前が最近の事件の…！（冷静に距離をとり、体力を回復しつつ攻撃体制にはいる）
  (2023/10/7 14:59:09)

メア♀サキュバス> 事件って…別に人の家に勝手に入って来た人をどうしようが勝手でしょ？あ、この服もこないだきた人からの”貰い物”なんだ。なかなか似合ってない？(ルークの警戒した態度にまったく悪びれないメア。スカートを短くしたり胸元を開いてみたりと正規品から改造された軍服を誘うように見せびらかしてくる)
  (2023/10/7 15:05:03)

メア♀サキュバス> 1d6 → (5) = 5  (2023/10/7 15:05:15)

メア♀サキュバス> それじゃ軍人として勝手に不法侵入してきた犯罪者くんに尋問しよっか？”どんなことされてみたい？”(力を溜め動きを止めてるルークにもたれ掛かると、そのまま魅了の魔法をかけ誘惑する。)   (2023/10/7 15:07:52)

ルーク♂勇者> くうっ、、、（溜めていた力が解放されてしまう。頭の中は先ほどのフェラがよぎる）ううっ、、な、なめろぉぉ（理性が吹き飛び、熱の発散を求めていたあそこをメアの口にねじこむ）   (2023/10/7 15:10:00)

メア♀サキュバス> うっ、ぷはっ！こんなおっきいのいきなりねじこんでくるなんて…、性犯罪も追加かな…？(魅了の虜になり逸物をねじこんでくるルークを楽しげに嘲笑うとそのまま舌を這わせしゃぶり始める。唇をすぼめ吸い付いたり、舌で小刻みに刺激したりし彼を追い詰める)
  (2023/10/7 15:15:03)

メア♀サキュバス> 1d6 → (3) = 3  (2023/10/7 15:15:26)

メア♀サキュバス> それじゃお仕置きに足で踏みつけてあげる♪(魅了で隙だらけになってるルークの両足を掴み拘束すると、両足で彼の逸物を刺激し始める。素足で音をたてながら擦れ彼の逸物をはさみ扱き上げたり、時折金玉を軽く踏みつけてお仕置きしたりする)  
(2023/10/7 15:19:46)

ルーク♂勇者> うあっ（痛みで我にかえる）これは、、、どうして、、これがサキュバスの秘術か。侮れん   (2023/10/7 15:21:57)

ルーク♂勇者> 1d6 → (2) = 2  (2023/10/7 15:22:00)

ルーク♂勇者> 魔法には魔法で。（呪文を唱えるとサキュバスを壁に吹き飛ばす）これでどうだ！   (2023/10/7 15:22:40)

メア♀サキュバス> きゃあっ！痛たっ、いきなり何すんの…(突然魔法を叩き込まれ無防備で食らってしまうメア。壁に叩きつけられた衝撃で帽子は転がり落ち服装も一部乱れていた)   (2023/10/7 15:26:22)

メア♀サキュバス> 1d6 → (1) = 1  (2023/10/7 15:26:38)

メア♀サキュバス> まったく…いい加減逝ったらどうなの？(3回目のフェラにをされかなり追い詰めたもののなかなか最後までいかず不満気な声を漏らす)   (2023/10/7 15:29:10)

ルーク♂勇者> さすがサキュバスやらしいな（フェラだけでは少し余裕も出てきたのか、相手の方をやらしい目で見てくる）お前らはほんとにそれしか脳がないのか、、、？   (2023/10/7 15:30:03)

ルーク♂勇者> 1d6 → (1) = 1  (2023/10/7 15:30:06)

ルーク♂勇者> じゃあこれならどうだ！（メアの体をらくらくと持ち上げはがいじめにする）こんな力にはたえられまい！！（やらしく密着したと思えば力強くメアの骨格にダメージを与える）   (2023/10/7 15:31:37)

メア♀サキュバス> んっ…さっきからほんと乱暴すぎ…どうせならこっちで攻めてくればいいのに…(締め付けられダメージを負ってるなかスカートを軽くめくりルークを誘う)   (2023/10/7 15:33:31)

メア♀サキュバス> 1d6 → (5) = 5  (2023/10/7 15:33:43)

メア♀サキュバス> まあでも、サキュバス相手にこの距離は悪手だよね、”今すぐ離してやってほしいことおねだりしてよ？”(すぐキスでもできそうな至近距離から魅了を喰らい、メアの言いなりになる)   (2023/10/7 15:36:20)

ルーク♂勇者> くうっ、またそれか、、、！だがさっき対処法は、、、！（咄嗟にメアにあしであそこを踏ませる）これで正気にもどったぞ、、、どうだ！！   (2023/10/7 15:38:38)

メア♀サキュバス> 【ん？足攻めってこと？】   (2023/10/7 15:40:36)

ルーク♂勇者> 【足責めにしました】   (2023/10/7 15:41:19)

メア♀サキュバス> 【了解】   (2023/10/7 15:41:41)

メア♀サキュバス> ふーん…？まあでも魅了が効かないんなら普通に責めるだけだけどね。(無理やり魅了を解かれ少し不満気な顔を浮かべる)   (2023/10/7 15:43:13)

メア♀サキュバス> 1d6 → (2) = 2  (2023/10/7 15:43:30)

メア♀サキュバス> それじゃ我慢比べしよっか？私のこと離すまで搾り取ってあげる(メアを拘束しながら手コキをされ思わず緩み始める。自身の尻に押し当てながら亀頭責めをしたりしてルークを追い詰めなんとか脱出する)   (2023/10/7 15:48:16)

ルーク♂勇者> くうっ、この淫乱悪魔めっ、少し顔をゆがめる！   (2023/10/7 15:48:41)

ルーク♂勇者> 1d6 → (5) = 5  (2023/10/7 15:48:45)

ルーク♂勇者> はぁはぁ、、、（少し意識が朦朧とし、通常攻撃でなく貪るようにメアの胸を揉みしだき、乳首を優しく撫で回す。街の女をメロメロにさせたギャップ責めをみせつける）   (2023/10/7 15:50:21)

メア♀サキュバス> んっ…♥やっとその気になった感じかな？それじゃお互い弄りあおっか♪(正面から胸を揉まれ感じたような声を漏らすメア。負けじと彼女も手コキを続け、互いに責め合う)   (2023/10/7 15:53:21)

ルーク♂勇者> 【HPも10-お願いします】   (2023/10/7 15:54:06)

メア♀サキュバス> 1d6 → (6) = 6  (2023/10/7 15:54:07)

メア♀サキュバス> 【減らしたよ】   (2023/10/7 15:54:27)

ルーク♂勇者> 【ありがとうございます】   (2023/10/7 15:55:40)

メア♀サキュバス> ふっ、はぁ…♥今度はこっちで勝負しよっか？ハンデってことでおっぱいそのままいじっていいよ？(そのまま向かい合うようにして挿入し腰を降り始める。はじめ彼女を抱えるようにして責め合っていたが絶頂が近づくに連れベットに倒れ込み、一方的に責められていく)
  (2023/10/7 15:58:44)

ルーク♂勇者> くうっ、ふうっ、はあぁぁっ（正常位の姿勢からキスをかまし、いきはてる。大量に中出しするが体力は十分なようで）サキュバスまんこエロすぎ、、まだだっ（あそこは大きくそりたっている）   (2023/10/7 16:00:53)

メア♀サキュバス> 1d6 → (5) = 5  (2023/10/7 16:01:30)

メア♀サキュバス> んっ…♥それじゃさき逝っちゃった罰ゲームってことで一方的に攻めてあげる♪(メアの中で絶頂し一息付いたルークを押し倒すと再び魅了をかけ言いなりにする)   (2023/10/7 16:05:00)

ルーク♂勇者> くう、、これはてでっ   (2023/10/7 16:06:24)

メア♀サキュバス> はーい、じゃあたっぷり責めてあげる♪(彼の逸物の上に跨るとさっき出された精液を絞り出しそのまま責め始める。愛液と精液が混ざり合いいやらしい音をたてながらルークを追い詰めていくのをニヤニヤと嗤いながら覗き込む。ギリギリのところで絶頂はさせず彼を弄ぶ)
  (2023/10/7 16:11:28)

メア♀サキュバス> 1d6 → (3) = 3  (2023/10/7 16:19:14)

メア♀サキュバス> それじゃ最後は足で踏みつけて絶頂させてあげる♪(限界まで追い詰めた逸物の上に足を掲げ見せつけるように揺らす。少し勢いをつけて踏みつけられ、その衝撃で絶頂する)   (2023/10/7 16:22:42)

ルーク♂勇者> う、うぁぁぁっ、あうっ（今までにない絶頂が教えせいきはててしまう）   (2023/10/7 16:24:10)

メア♀サキュバス> 【それじゃ私の勝ちだね、お疲れさま】   (2023/10/7 16:25:42)

メア♀サキュバス> 【あれ？抜けちゃった？】   (2023/10/7 16:33:28)

おしらせ> メア♀サキュバスさんが退室しました。  (2023/10/7 16:37:41)

おしらせ> 無言時間が25分を超えたため、ルーク♂勇者さんが自動退室しました。  (2023/10/7 16:56:44)

おしらせ> ハルク♂勇者さんが入室しました♪  (2023/10/8 22:27:58)

おしらせ> 無言時間が25分を超えたため、ハルク♂勇者さんが自動退室しました。  (2023/10/9 00:10:10)

おしらせ> リューマ♂勇者さんが入室しました♪  (2023/10/9 09:14:10)

おしらせ> リューマ♂勇者さんが退室しました。  (2023/10/9 09:19:36)

おしらせ> ハルク♂勇者さんが入室しました♪  (2023/10/9 13:56:19)

ハルク♂勇者> 【こんにちは、サキュバスさんを待ってみます】   (2023/10/9 13:56:36)

おしらせ> 無言時間が25分を超えたため、ハルク♂勇者さんが自動退室しました。  (2023/10/9 15:34:29)

おしらせ> ハルク♂勇者さんが入室しました♪  (2023/10/9 20:33:51)

おしらせ> リリカ♀サキュバスさんが入室しました♪  (2023/10/9 20:39:33)

リリカ♀サキュバス> 【こんばんは、よろしくおねがいします】   (2023/10/9 20:39:46)

ハルク♂勇者> 【こんばんは〜。よろしくお願いしますっ】   (2023/10/9 20:40:18)

リリカ♀サキュバス> 【こちらの設定は150cmAカップ 黒髪ツインでいかがでしょうか】   (2023/10/9 20:44:18)

ハルク♂勇者> 【はい、大丈夫ですよっ。場所はダンジョン内とかになるでしょうか？】   (2023/10/9 20:45:06)

リリカ♀サキュバス> 【ダンジョン内か、ハルクが寝ているところを襲いにくる感じはどうですか？】   (2023/10/9 20:46:11)

ハルク♂勇者> 【後者でも少し面白そうですね、では寝ているところを襲われる形で…！】   (2023/10/9 20:47:04)

リリカ♀サキュバス> 【了解です！】   (2023/10/9 20:47:13)

ハルク♂勇者> 【書き出しはどちらからいきましょうかー？】   (2023/10/9 20:49:58)

リリカ♀サキュバス> 【書き出ししてサイコロ振りますね！】   (2023/10/9 20:50:31)

ハルク♂勇者> 【わかりました、お願いしますー】   (2023/10/9 20:51:17)

リリカ♀サキュバス> (今夜も精気を求めて獲物を探していると、ハルクが寝ている部屋を見つけて窓から侵入してベッドの横に立ち起きないことを確認すると、服を脱ぎ裸になり精気を奪い取る準備を始める)さて、今日の獲物はこの男にしようかな…美味しそうな匂いがしてきた♪
  (2023/10/9 20:53:35)

リリカ♀サキュバス> 1d6 → (3) = 3  (2023/10/9 20:53:41)

リリカ♀サキュバス> まずは大きさチェックからね♡(ハルクの股間に左足を当てて肉棒の大きさを確かめるようにぐりぐりと刺激を与え始める）まだ準備ができていないみたい？   (2023/10/9 20:56:04)

ハルク♂勇者> ………ん、何だ、こんな時間に……わっ！？（宿屋で寝ていると裸の少女がいて驚きの声を出す。人外の証を見て戦闘体勢を整えようとしたがそれより先に寝間着越しに踏まれてしまう。その刺激で成人男性のよりもやや大きなものが少しずつ大きくなっていって）…当たり前だろ、いきなり踏まれて準備とか……っ。
  (2023/10/9 20:58:35)

ハルク♂勇者> 1d6 → (3) = 3  (2023/10/9 20:58:38)

ハルク♂勇者> （多分相手はまだこちらを油断してみているはず。ここは攻撃の準備をもう少し整えてから攻勢に移ろうと決めて）……なんで僕を狙おうと思ったか知らないけど、そういうわけだから見逃してくれない、かな……っ！   (2023/10/9 21:00:40)

リリカ♀サキュバス> わっ！起きてたんですねっ（寝ているつもりで独り言を言ってたので驚き足を離す）今夜あなたの精力を奪いにきたわ、数々の人間から選んであげたんだから誇りに思いなさい。大人しくしていればすぐ終わるから我慢してて♡   (2023/10/9
21:03:21)

リリカ♀サキュバス> 1d6 → (6) = 6  (2023/10/9 21:03:25)

リリカ♀サキュバス> わたしの裸を見てこっちは正直みたいね♡（ハルクのいきりたった肉棒を包むようにぐちょぐちょの股間に挿入して腰を振り出す）んっ…意外と大きいものを持ってるじゃない…でも…サキュバスのマンコは初めてでしょ♡そんな顔して気持ちいいの？  
(2023/10/9 21:07:12)

ハルク♂勇者> 君に起こされたんだよ、全くもう……っ♡っ、ぁっ♡♡い、いきなり、なにを……っ（こちらが起きていることに気づいて離れてくれれば少し息を吐き出すが……すぐに挿入されてしまう。腰を振られたら肉棒は素直にびくびく震えて、必死に快感に耐える顔をしているが）……っ、あぁ♡あああぁぁ……っ♡♡（どびゅっ、どびゅっ、とあっさり精を吐き出してサキュバスに力を渡してしまって）
  (2023/10/9 21:10:02)

リリカ♀サキュバス> 1d6 → (2) = 2  (2023/10/9 21:10:34)

リリカ♀サキュバス> (リリカの子宮に精液が注ぎ込まれ力がみなぎってくる)んんっ〜〜若い人間の精液さいこう♡いきなりサキュバスおまんこは刺激が強かったかなぁ〜♡（射精して小さくなったハルクの肉棒を両手で扱きはじめる）まだこんなもんじゃないんでしょ♡今夜は長いんだから頑張ってね♡
  (2023/10/9 21:14:39)

ハルク♂勇者> っ、うう……。サキュバスに出してしまう、なんて…。……っ、あ、あぁっ♡な、長いって何回するつもり……っ（近頃出してなかったせいかすべすべの両手で扱かれたらすぐに元気を取り戻してしまう）じゃあ、短い夜になるように……しない、と……っ  
(2023/10/9 21:16:59)

ハルク♂勇者> 1d6 → (2) = 2  (2023/10/9 21:17:02)

ハルク♂勇者> ……さすがにやられっぱなしでいるわけにはいかない。これでも勇者だから、ね…っ（伸ばした指先から迸る光。勇者の魔法である雷がサキュバスを襲い、そのドレイン能力の一部を一時的に封じて）ここから一気に終わらせる、よ…！   (2023/10/9
21:19:21)

リリカ♀サキュバス> きゃぁぁ（雷を浴びてダメージを受ける）あなた勇者だったのね…。美味しそうな匂いがしたのも納得だね。勇者と知ったら手加減なしで全部吸い尽くしてあげるから覚悟しててね♡   (2023/10/9 21:23:45)

リリカ♀サキュバス> 1d6 → (1) = 1  (2023/10/9 21:23:50)

リリカ♀サキュバス> (ハルクの肉棒を咥えようと口を近づけると雷の余韻で大きく口が開かずにフェラをすることができない) くそ…、さっきの魔法のせいで口がうまく開けないわ…。   (2023/10/9 21:25:49)

ハルク♂勇者> 【2で防ぐのは攻撃力なのでHPは吸っても大丈夫ですよ……っ】   (2023/10/9 21:26:52)

リリカ♀サキュバス> 【あ、勘違いしてました！】   (2023/10/9 21:27:19)

リリカ♀サキュバス> 【書き直しますね】   (2023/10/9 21:28:04)

ハルク♂勇者> 【ありがとうございますっ】   (2023/10/9 21:28:27)

リリカ♀サキュバス> さっき出したばっかりなのにさすが勇者ね、もうビンビンになってるじゃない♡（肉棒に顔を近づけると口を大きく開けて肉棒を奥まで咥え込み我慢汁を吸い始める) じゅるじゅる……。ぷはぁ♡勇者は我慢汁も美味しいわね♡   (2023/10/9
21:31:00)

ハルク♂勇者> 勇者と聞いてもその調子なのか……っ。……ん、っ、ふぅ、あぁ……♡（射精の余韻で下半身に力が入らずにベッドに寝転んだままになっていると、口のいっぱいに咥えられて快感で脈打ちながら我慢汁を吸われる。その淫靡な光景に興奮していて）……そんなことを褒められても、嬉しくはない…っ
  (2023/10/9 21:33:34)

ハルク♂勇者> 1d6 → (4) = 4  (2023/10/9 21:33:36)

ハルク♂勇者> ……っ、ふぅ……っ。そろそろ目も覚めてきた。本気でいかせてもらう、よ……！（吸われた力を戻すと上半身を起こして、近くに立てかけてあった剣を握ってサキュバスを見つめる）   (2023/10/9 21:35:14)

リリカ♀サキュバス> これだけ吸ってもまだ立ち上がって剣を向けてくるのね…全部吸い尽くして廃人にさせて犯してあげるわ♡   (2023/10/9 21:39:18)

リリカ♀サキュバス> 1d6 → (2) = 2  (2023/10/9 21:39:21)

リリカ♀サキュバス> ふふ…こちょこちょこちょこちょ〜♡（勇者の背中に回ると剣を持って空いている脇腹を両手でくすぐりはじめる）剣を持ったままでいられるかしら？♡   (2023/10/9 21:40:58)

ハルク♂勇者> ひあ、ちょ、まっ……♡それは、はんそく……っ♡く、う、うぅ……っ♡（遊ぶようにこちょこちょされてしまえば闘志がまた薄れてしまって、剣を離してくすぐりに耐えようとしている）あ、しまっ、た……っ！   (2023/10/9 21:43:46)

ハルク♂勇者> 1d6 → (2) = 2  (2023/10/9 21:43:49)

ハルク♂勇者> ええい、こうなったら……こちょこちょしかえし、だっ！（魔法を発動させるとふわりと羽根がサキュバスの周囲を舞って、繊細な刺激であちこちをくすぐり力を削っていく）   (2023/10/9 21:45:50)

リリカ♀サキュバス> ちょっと♡んふっっふふなにこれ♡魔法でくすぐるなんてずるいっ♡（急に現れた羽根にくすぐられて力が抜けてしまう）   (2023/10/9 21:48:37)

リリカ♀サキュバス> 1d6 → (2) = 2  (2023/10/9 21:48:41)

リリカ♀サキュバス> そんな魔法の羽根よりもわたしの羽の方が柔らかいのよ♡(背中の羽をパタパタと動かしてハルクの股間から膝までを覆いくすぐり始める) こしょこしょこしょ〜♡ サキュバスの羽はどう？初めて？♡   (2023/10/9 21:52:30)

ハルク♂勇者> ずるくはないだろ、そっちのほうが色々とずるい、し…っ。ん、あっ♡ちょ、まっ、て……っ（羽根でくすぐられたら微妙な刺激にさっきから勃起しぱなっしの肉棒が跳ねている。いつの間にかくすぐりあいみたいになり、段々と戦っているのかわからなくなってきて）それはこんなこと、ん、はじめてだよ……っ
  (2023/10/9 21:54:40)

ハルク♂勇者> 1d6 → (3) = 3  (2023/10/9 21:54:45)

ハルク♂勇者> はぁ、はぁ…ちょ、ちょっと待って……く、ぅぅ……っ（このままでは何もできないとベッドの端まで下がって息をつく。ちょっと負けた感はあるけれど、今は攻撃体勢を整えるほうが大事で）   (2023/10/9 21:56:20)

リリカ♀サキュバス> あら♡もう降参なの？♡勇者のくせにくすぐりに弱くて可愛いねぇ、ちょっと休憩してていいよ♪(ベッドの端まで下がった勇者をただ見ている)   (2023/10/9 21:59:01)

リリカ♀サキュバス> 1d6 → (2) = 2  (2023/10/9 21:59:05)

リリカ♀サキュバス> こっちはもう休憩いらないみたいね♡(ハルクの肉棒がビンビンになっているのを見つけると片手で扱き始める)くすぐられて敏感になってるんじゃないー？♡しこしこー♡   (2023/10/9 22:01:29)

ハルク♂勇者> はぁ、はぁ…♡あ、ああぁっ♡や、やめ……あ、ふ、ぅ……っ♡♡（敏感になってロリサキュバスの手の感触にもすっかり弱くなってしまっている。しこしこされると我慢汁を大量に溢れさせて、パンパンに肉棒を張り詰めさせてしまっていて）  
(2023/10/9 22:03:26)

ハルク♂勇者> 1d2 → (1) = 1  (2023/10/9 22:03:29)

ハルク♂勇者> ……く、ぅ♡はぁ、はぁ、ぁ……♡（感じすぎてもうまともに立ち上がることも攻撃することもできない。反撃のつもりなのか胸元に手を伸ばせばむにむにと、胸と乳首を手でいじりだして、余計に興奮してしまっている有様で）   (2023/10/9
22:05:51)

リリカ♀サキュバス> あら…？勇者でもおっぱいに興味があるのね♡かわいい♡ (ハルクの力があまり入っていなくて余裕をみせる) そんなにヘロヘロになって…、そろそろおちんぽが苦しいんじゃない？   (2023/10/9 22:10:01)

リリカ♀サキュバス> 1d6 → (5) = 5  (2023/10/9 22:10:04)

ハルク♂勇者> 【何を選んでも詰みな気がする……】   (2023/10/9 22:10:48)

リリカ♀サキュバス> (ハルクの耳元で囁くように誘惑する)今夜は最高の夜にしてあげる♡どうしてほしいかおねだりしてごらん♡   (2023/10/9 22:11:15)

リリカ♀サキュバス> 【1以外はダメですねw】   (2023/10/9 22:12:40)

ハルク♂勇者> はぁ……はぁ…♡かわいい、おっぱい……♡（胸元を触りながら囁かれたらとろんとした顔をしてしまう。肉棒を触ってる手に触れて）このまま、手でシコシコして、欲しい…♡もう、イきたいんだ…♡♡   (2023/10/9 22:15:00)

ハルク♂勇者> 【ここから70すわれて勝つ気もしないので手で負けてしまいます……】   (2023/10/9 22:15:31)

リリカ♀サキュバス> あら…手で廃人にしてほしいのね♡(ハルトの股間に唾液をローション代わりにたっぷりと垂らして両手でシコシコ扱き始める)
サキュバスの唾液は勃起を維持させる効果もあるからこんなにおちんぽシコシコしたらいくら勇者でも壊れちゃうかもね♡シコシコシコシコー♡♡壊れるまで何回も射精してね♡   (2023/10/9 22:22:16)

ハルク♂勇者> んあ、あ、あああぁ……っ♡♡でる、もう、でる……っ♡♡あ、あ、ああぁ……♡（唾液と我慢汁で濡れた肉棒がいやらしい音を立てて扱かれる。チャームにかかったまま我慢できずに、どびゅどびゅと精液を吐き出したが）あ、あぁ、そんな、もう、出したのに♡気持ちいいのが、とまらな……っ♡♡あっ、あっ、あぁっ♡はああぁぁ……っ♡♡♡（サキュバスの手に誘われるまま快楽に浸って壊れたように精液を吐き出し続ける。絞り尽くされるまで幸せそうな顔をしていて…）
  (2023/10/9 22:25:15)

リリカ♀サキュバス> 勇者様♡ごちそうさまでしたっ♡いい夢を見てね(ハルクの精液を全部吸ってサキュバスは夜の闇に帰って行く…)   (2023/10/9 22:30:38)

ハルク♂勇者> 【ありがとうございましたっ。ちょっと勝てるかと思いましたが甘くありませんでした…】   (2023/10/9 22:32:04)

