/


「最強勇者VS雑魚サキュバス」の過去ログ

現在のルーム [/ChatRoom?room_id=273774]
過去ログ一覧 [/PastLogList?room_id=273774]

タグ 罰 [/?tag_id=2952#freerooms]  対決 [/?tag_id=4107#freerooms]  サキュバス [/?tag_id=10321#freerooms]  イメチャ [/?tag_id=33#freerooms]  サイコロ
[/?tag_id=1251#freerooms]

2022年10月22日 19時30分 ～ 2022年10月28日 15時50分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

クライド♂勇者> 【強かった、勝てると思ってました笑】   (2022/10/22 19:30:47)
おしらせ> スモモ♂勇者さんが退室しました。  (2022/10/23 20:38:37)

おしらせ> エリー☆女勇者さんが入室しました♪  (2022/10/23 21:38:26)

おしらせ> エリー☆女勇者さんが退室しました。  (2022/10/23 21:57:00)

おしらせ> ハルク♂勇者さんが入室しました♪  (2022/10/23 22:19:51)

ハルク♂勇者> 【今日は日が悪そうだ……！撤退しよう】   (2022/10/23 23:02:17)

おしらせ> ハルク♂勇者さんが退室しました。  (2022/10/23 23:02:21)

おしらせ> マナ♀サキュバスさんが入室しました♪  (2022/10/24 16:07:07)

マナ♀サキュバス> いやあっ！誰か！誰か助けてッ！やああっ♡いあああああっ♡（夕刻、地平線の向こうへと消えようとしている太陽が狭い路地裏を照らしてはくれない。そんな薄暗い場所から悲鳴を響かせているのは、見た目は10を少し過ぎたくらいの小さな少女。とはいえ、実際に助けを呼んでいるのではなく、見るからに自らの幼い秘部に指を押し込み激しく動かして楽しんでいるだけなのである。しかし、身に着けているものは脚を包む布くらいなもので、この少女が明らかに普通じゃないのは誰が見ても明らかであろう）
  (2022/10/24 16:12:08)

マナ♀サキュバス> 【少し待機してみますー】   (2022/10/24 16:12:27)

おしらせ> 無言時間が25分を超えたため、マナ♀サキュバスさんが自動退室しました。  (2022/10/24 16:37:38)

おしらせ> ティード♂勇者さんが入室しました♪  (2022/10/24 16:59:39)

ティード♂勇者> 【こんにちは、サキュバス様を少々待ってみます】   (2022/10/24 17:00:15)

おしらせ> 無言時間が25分を超えたため、ティード♂勇者さんが自動退室しました。  (2022/10/24 17:25:28)

おしらせ> ミュー♀サキュバスさんが入室しました♪  (2022/10/24 17:28:15)

ミュー♀サキュバス> 【アタシを討伐に来る勇者様を待ってみます】   (2022/10/24 17:28:52)

ミュー♀サキュバス> 【誰かいないのかしら…】   (2022/10/24 17:32:49)

ミュー♀サキュバス> 【夜にでも来ようかな…】   (2022/10/24 17:34:24)

おしらせ> ミュー♀サキュバスさんが退室しました。  (2022/10/24 17:34:39)

おしらせ> アル♂勇者さんが入室しました♪  (2022/10/24 20:29:48)

アル♂勇者> 【さてと、それじゃしばらく待機させてもらうよ】   (2022/10/24 20:30:18)

アル♂勇者> 【こっちの設定は銀髪の少年って感じでよろしく】   (2022/10/24 20:31:49)

おしらせ> アル♂勇者さんが退室しました。  (2022/10/24 20:43:25)

おしらせ> アル♂勇者さんが入室しました♪  (2022/10/24 20:43:27)

おしらせ> 無言時間が25分を超えたため、アル♂勇者さんが自動退室しました。  (2022/10/24 21:08:33)

おしらせ> クライド♂勇者さんが入室しました♪  (2022/10/25 20:27:37)

クライド♂勇者> 【誰もいないのかな、まぁもう少し待ってみるか。】   (2022/10/25 20:35:20)

クライド♂勇者> 【初戦で負けちまったのがよくなかったかな…←】   (2022/10/25 20:54:13)

おしらせ> 無言時間が25分を超えたため、クライド♂勇者さんが自動退室しました。  (2022/10/25 21:21:01)

おしらせ> クウガ♂勇者さんが入室しました♪  (2022/10/26 19:55:08)

おしらせ> 無言時間が25分を超えたため、クウガ♂勇者さんが自動退室しました。  (2022/10/26 21:00:32)

おしらせ> アル♂勇者さんが入室しました♪  (2022/10/27 19:10:43)

アル♂勇者> 【さてと、誰か来るかな？】   (2022/10/27 19:11:02)

おしらせ> ノン♀サキュバスさんが入室しました♪  (2022/10/27 19:14:05)

アル♂勇者> 【こんばんは、はじめましてだね。よろしく】   (2022/10/27 19:14:56)

ノン♀サキュバス> 【こんばんは、初めまして。よろしくお願いします】   (2022/10/27 19:17:45)

アル♂勇者> 【それじゃさっそく始める？】   (2022/10/27 19:19:13)

ノン♀サキュバス> 【はい、お願いします】   (2022/10/27 19:20:05)

アル♂勇者> 【うん、それじゃよろしく。書き出しの方は任せても大丈夫？】   (2022/10/27 19:20:50)

ノン♀サキュバス> 【わかりました】   (2022/10/27 19:21:44)

ノン♀サキュバス> （今までやってきた人を少しずつ倒してきたものの最近はなかなか獲物がやって来ず、しばらく動いていなかった。だからか伸びをすると体が硬くなったように感じて）あーあ、ほんとに誰も来ないじゃん。こんなのじゃノンも欲求不満だよっ（そう言ってふてくされたように座って）
  (2022/10/27 19:23:22)

アル♂勇者> 【あ、僕の方もロル返したほうがいい？】   (2022/10/27 19:26:15)

ノン♀サキュバス> 【じゃあ先にさいころ振ります】   (2022/10/27 19:27:14)

ノン♀サキュバス> 1d6 → (2) = 2  (2022/10/27 19:27:18)

ノン♀サキュバス> 【あ、ごめんなさい。今のサイコロ一回無視してもらっていいですか？それでロル返してもらって、そのあとにこの今出た目を使ってロルの続きかくので】   (2022/10/27 19:29:48)

アル♂勇者> 【うん、了解。じゃあちょっと待ってて】   (2022/10/27 19:30:30)

ノン♀サキュバス> 【ごめんなさい。お願いします】   (2022/10/27 19:31:02)

アル♂勇者> （サキュバスが出たとの情報を聞き調査にやってきたアル。駆け出し勇者とはいえ多少腕もたつこともあり若干油断が伺える）んー…、ちょっと最後の目撃情報古めだけど大丈夫かな…(立ち止まり事前の資料を確認していると突然ノンに襲撃される)  
(2022/10/27 19:35:14)

ノン♀サキュバス> （そのまま地面に座っていると人の足音が聞こえて立ち上がり、陰に隠れながら近づく。その足音が誰なのかわかると飛び出し   (2022/10/27 19:37:13)

ノン♀サキュバス> 【ごめんなさい、打ち直します】   (2022/10/27 19:37:21)

アル♂勇者> 【うん、了解。】   (2022/10/27 19:37:59)

ノン♀サキュバス> （そのまま地面に座っていると人の足音が聞こえて立ち上がり、陰に隠れながら近づく。その足音が誰なのかわかると飛び出して勇者であろうその男を押し倒して）わぁ、よかった。人だっ…！（目をキラキラさせて喜びそのままズボンを手際よく脱がし始める。すると肉棒が露わになり、そのまま手コキを始めて）
  (2022/10/27 19:40:36)

アル♂勇者> え？うわっ、誰っ！？ちょ、やめ…(資料に集中していたため不意打ちに反応できずそのまま押し倒されてしまう。その上いきなり手コキをされ抵抗しようとするもなかなか抜け出せずその間に力を奪われてしまう。)   (2022/10/27 19:45:17)

アル♂勇者> 1d6 → (5) = 5  (2022/10/27 19:46:10)

ノン♀サキュバス> きゃっ…！（最近人を襲っていなかったからか想像以上に体が敏感になっていた。）うわ、私ってこんなに敏感だったっけ…   (2022/10/27 19:50:24)

ノン♀サキュバス> 1d6 → (4) = 4  (2022/10/27 19:50:28)

アル♂勇者> やめろって…！ふう…。その姿、僕が調べに来たサキュバスかな？まあいきなりあんなことしてくる人なんてそういないか…(力づくで体制を反転させると今度はアルが馬乗りになってノンの上に跨る。すでにノンの色気に当てられてるのか彼女の胸を揉み時折乳首を弾く)
  (2022/10/27 19:51:33)

ノン♀サキュバス> ！？ちょっと待っ…！（馬乗りになられて驚いたような表情を見せるがまたすぐに動かし始めて）ん？そろそろ、かなぁ？（そう言うと扱く手を止めて寸止めする。）ね、勇者様苦しい？（そう言ってにこにこ笑いながら聞いて。）   (2022/10/27
19:52:31)

アル♂勇者> ん、くっ…。な、なんの問題もないね…(序盤から手コキをされ続け限界に近づいているも、表情はどうにか取り繕い精一杯の虚勢を見せる。)   (2022/10/27 19:57:17)

アル♂勇者> 1d6 → (4) = 4  (2022/10/27 19:57:27)

ノン♀サキュバス> へぇーほんとに？（そう言って見つめて我慢してるでしょ、と笑って言って）早くイキたいのに我慢して大丈夫ー？   (2022/10/27 19:58:43)

ノン♀サキュバス> 1d3 → (3) = 3  (2022/10/27 19:58:56)

アル♂勇者> んっ…僕は勇者だからね…。そう簡単に負けるわけにはいかないんだよ！(快感に屈しそうになるも堪えつつ、吸われた分の力を溜め直し反撃の機会を伺う)   (2022/10/27 20:00:50)

ノン♀サキュバス> ふーん…まぁいいけど（そう言うと柔らかく右足を上げて肉棒を軽く踏み始める）…ねぇまさかだけど勇者様こんなことで気持ちよくなってないよね？（そう言うと踏みつける足を一層強くして）   (2022/10/27 20:03:00)

アル♂勇者> くっ、ああっ！くそ…(射精しそうになるのを必死にこらえようとするも寸止めされ続けた肉棒では抗いきれずとうとう絶頂してしまう。しかしその目はいまだ反抗的で抵抗の意思が伺える)   (2022/10/27 20:07:59)

アル♂勇者> 1d6 → (2) = 2  (2022/10/27 20:10:53)

アル♂勇者> 【そういえばずっと思ってたけどそっちの攻撃力最初の手コキと僕の乳首責めで25じゃないの？】   (2022/10/27 20:11:58)

ノン♀サキュバス> 【ごめんなさい、ありがとうございます】   (2022/10/27 20:12:56)

アル♂勇者> ふう…はぁ…。ようやく油断したね…！(アルを絶頂させ油断しているノンに魔法弾をぶつけダメージを負わせる。)   (2022/10/27 20:13:59)

ノン♀サキュバス> きゃあっ！（そのまま攻撃を食らい、倒れてしまい）もー最悪！ほんとに油断してた（そう言って立ち上がり体の汚れを軽く払って）   (2022/10/27 20:15:20)

ノン♀サキュバス> 1d6 → (6) = 6  (2022/10/27 20:15:26)

ノン♀サキュバス> まぁいいや…ね、勇者様おとなしくしててよ？挿れにくいから（そう言って仰向きにさせると跨り、一気に奥まで挿れて）んあっ…意外と奥まで来た…（そう言って見下ろすようにして笑って）   (2022/10/27 20:18:05)

ノン♀サキュバス> 1d6 → (1) = 1  (2022/10/27 20:20:21)

ノン♀サキュバス> （勇者様をイかせた後にそのまま抜いて下に行き、肉棒を咥え始める）わ、イッたばっかりだから敏感そう…止めたりはしないけどねー（そう言うと動きを激しくして）   (2022/10/27 20:23:04)

アル♂勇者> だめだったか…。でもまだ…！(不意打ちの攻撃でも仕留めきれず悔しそうな表情を浮かべるアル。まだなお抵抗しようとするも体力が減った状態では抗いきれず、そのまま押さえつけられ一気に咥え込まれてしまい絶頂させられる。再び力が抜けていく感覚に流石のアルも徐々に抵抗の意思が失われていく
  (2022/10/27 20:23:19)

アル♂勇者> もう…やめっ…お願いだからっ…(先程とは違い抵抗の色をなくし情けなく命乞いをする。そんなアルを笑いながら見下すとさらに激しく動き、再びアルを絶頂させる)   (2022/10/27 20:26:08)

アル♂勇者> 1d6 → (2) = 2  (2022/10/27 20:26:27)

アル♂勇者> もっ、もうこれでだめなら…！(体中に残った全部の魔力をかき集め最後の攻撃を叩き込む。)   (2022/10/27 20:28:44)

ノン♀サキュバス> ちょっ、待って…！（急な魔法攻撃に驚き身構えるがかなりのダメージを食らい）嘘でしょ…（思っていた以上にダメージを受け、ふらふらの状態になって）ここまでとは思わなかった…（そう言うと何とか立ち上がって）   (2022/10/27
20:28:58)

ノン♀サキュバス> 1d6 → (4) = 4  (2022/10/27 20:29:28)

ノン♀サキュバス> さっさとイッちゃってよ…もう私もかなりダメージ食らってて限界だから…（そう言ってぎりぎりまで動かして寸止めする）   (2022/10/27 20:30:29)

アル♂勇者> んっ、ふうっ…断る…！こっちもわりと限界だからね…。今度こそ…！(ノンが思いの他ダメージを受けているのと見て勝機を見出したアル。再び責められ寸止め状態にされるも力を振り絞り抵抗する)   (2022/10/27 20:33:36)

アル♂勇者> 1d6 → (1) = 1  (2022/10/27 20:34:00)

ノン♀サキュバス> 【ごめんなさい、急用で落ちます。よければ来週の木曜日にまたお相手していただきたいです。本当にごめんなさい。】   (2022/10/27 20:35:13)

アル♂勇者> 【あ、そういえばさっきフェラでHP吸ってたからそっちHP31のはず】   (2022/10/27 20:35:17)

ノン♀サキュバス> 【ありがとうございました】   (2022/10/27 20:35:20)

アル♂勇者> 【あ、はい…】   (2022/10/27 20:35:34)

ノン♀サキュバス> 【本当にごめんなさい。失礼します】   (2022/10/27 20:35:45)

おしらせ> ノン♀サキュバスさんが退室しました。  (2022/10/27 20:35:47)

アル♂勇者> 【それじゃまた】   (2022/10/27 20:35:59)

おしらせ> アル♂勇者さんが退室しました。  (2022/10/27 20:36:02)

おしらせ> エレノア♂勇者さんが入室しました♪  (2022/10/27 22:43:50)

エレノア♂勇者> 【それでは、正部屋の方に…】   (2022/10/27 22:44:07)

おしらせ> エレノア♂勇者さんが退室しました。  (2022/10/27 22:50:10)

おしらせ> レイシア♀サキュバスさんが入室しました♪  (2022/10/27 22:59:04)

おしらせ> エレノア♂勇者さんが入室しました♪  (2022/10/27 22:59:18)

エレノア♂勇者> 【お手数掛けてしまい、本当すいません…改めましてよろしくお願い致します。】   (2022/10/27 22:59:48)

レイシア♀サキュバス> 【ええ、よろしくお願いしますわね。】   (2022/10/27 23:01:01)

エレノア♂勇者> 【それでは…開始場面は如何しましょうか。どこに生息してる、や、こういった場所がいい等希望はございますか？】   (2022/10/27 23:02:36)

レイシア♀サキュバス> 【主に雪山とかその中の洞窟とかですわね〜、１ターン経過ごとに毎ターンDOT10ダメで火山とかでも…？】   (2022/10/27 23:05:39)

エレノア♂勇者> 【成る程…雪山生息の方が火山を提案するとは、やはり余裕が…流れ的にはやはり此方が雪山・洞窟に討伐や調査にいくといった方が自然でしょうか。火山でもとても面白そうですがそういった場合の理由付けが…】   (2022/10/27 23:08:15)

レイシア♀サキュバス> 【では、そういう形に致しましょうか…じわじわといたぶったりとかそういうのお好きな方が多いと思いましたので言ってみただけですわ…別にわたくしにそういう趣向があるわけじゃありませんわよ！？】   (2022/10/27 23:11:19)

エレノア♂勇者> 【僕もないですから…！正々堂々、参ります。それでは、洞窟内で淫魔討伐の依頼…でしょうか。遭難してきた探索者や一般人に迷惑してる、のような感じで…他何かしていなければ、開始致しますか？】   (2022/10/27 23:13:41)

レイシア♀サキュバス> 【スノウサキュバスによって五感を凍結させられて感情を無くした人々のために、洞窟の奥に咲く魔氷の薔薇を壊しに来たみたいな感じとかどうかしら？それを壊せば呪いが解ける的な？】   (2022/10/27 23:20:36)

エレノア♂勇者> 【…重い、ですね。それなら、此方も遠慮無く斬りにいけそうです。ではその方で参りましょう。それで一つ…此方は其方を「スノウサキュバス 」として認識しているような感じでしょうか？それとも、重要人物としてのスノウサキュバス
の中の「レイシア」として認識している感じでしょうか？】   (2022/10/27 23:24:33)

レイシア♀サキュバス> 【スノウサキュバスとしての認識で良いと思いますわよ〜？再戦だったらレイシアとしての認識で良かったかもしれませんわね…？どちらでもやりやすい方でおまかせ致しますわ〜！】   (2022/10/27 23:29:33)

エレノア♂勇者> 【では、スノウサキュバスとしての認識で…多分、本部屋での対決は初めてですしこのままで参りましょう…他、何かございますか？無ければこちらから洞窟の奥へと入る場面を描写しようかと思うのですが…】   (2022/10/27 23:32:49)

レイシア♀サキュバス> 【他は特にありませんわね…では、よろしくお願いしますわ〜♪】   (2022/10/27 23:34:08)

エレノア♂勇者> 【ではでは…】   (2022/10/27 23:38:20)

エレノア♂勇者> ……冷える…ぅぅ。(日本刀がかちゃかちゃ、足音がざっざ。着込むコートが擦れる音。擬音を鳴らしながら、洞窟内を進む。しっかりとした手袋は抜刀の妨げになる為薄手のもの。時折手を擦り合わせながら暖を取る。…最近多くなってきた、スノウサキュバスの悪事。病院に運ばれた者は五感や感情を封じられる…正確には、凍結させられるといった方が正しいだろうか。それを解決するには魔法ではどうしようも無く、全ての根源である「魔氷の薔薇」を破壊するしかない。調査結果により、淫魔の住処であるこの洞窟の奥に、あるとの報告。何処にあるかまでは正確な位置は把握していないが、とにかく、奥まで進んでいく………)
  (2022/10/27 23:42:42)

レイシア♀サキュバス> ふふ…五感を奪われた人々はわたくし達に搾られるだけの存在…もはや、周囲の人々は餌でしかありませんわ〜…♥（洞窟の奥地に咲く魔氷の薔薇に封じ込められた人々の心…それを破壊するためにこちらへ出迎えるエレノア。洞窟内には精気を抜かれ、そのまま凍死してしまった勇者の白骨化したものが散らばっており、少し不気味な雰囲気が漂っている。薄暗い闇の中からキラキラと結晶を振り撒きながら、歩いてくる一匹のスノウサキュバスの姿が…）また雄がひとり…搾り取られに来ましたのね…♥（氷点下の洞窟内では人間の動きは鈍くなり、逆にスノウサキュバスは活発化する。そんなアンフェアな状況からか余裕気な笑みをこぼし、自信気にあふれた様子でエレノアを迎える。）
  (2022/10/27 23:52:44)

エレノア♂勇者> 【…一つ、質問なのですが…先行は何方でしょうか？】   (2022/10/27 23:55:46)

レイシア♀サキュバス> 【あら、こちらに気づいたロールなどはナシでこちらが一方的にやる感じでよろしくて…？】   (2022/10/27 23:57:04)

エレノア♂勇者> 【あ、いえ…ルール上ですね。何方かの明記が無かったような気がして…もし其方が先行が宜しければ此方も反応、もし此方が先行で良ければこのまま降ろうかと…】   (2022/10/27 23:58:44)

レイシア♀サキュバス> 【確定ロールを含んでも良いのなら、そのまま進めますわよ？】   (2022/10/28 00:00:00)

レイシア♀サキュバス> 1d6 → (3) = 3  (2022/10/28 00:01:00)

エレノア♂勇者> 【では、どうぞ…初手にしては軽いっ。はず。】   (2022/10/28 00:02:06)

レイシア♀サキュバス> ふふ…この冷気で満ちた空間では、わたくしに勝つ事なんて無謀ですわよ…？（レイシアは先手必勝と言わんばかりに即座に地面を蹴り、一気に飛び跳ねて間合いを詰めてエレノアに急接近する。気配を察知したエレノアは、レイシアに対して剣を抜き身構える。しかし寒さの故か動きがかなり鈍くなっていてレイシアの動きに反応しきれず遅れてしまう…そこをすかさずエレノアの懐に目掛けて回し蹴りを放つ。）どう…？これでわかったかしら？お〜っほほほ！（一撃与えただけなのにも関わらず余裕気なレイシアは高笑いしており）
  (2022/10/28 00:07:02)

レイシア♀サキュバス> 【やはり描写は大切にしたいから確定ロールを混ぜましたわ…】   (2022/10/28 00:08:33)

エレノア♂勇者> 【大丈夫です…繋げます。】   (2022/10/28 00:08:53)

エレノア♂勇者> ……根源は、貴女ですね。…覚悟して下さいよ…？悪魔だろうが、淫魔だろうが、罪は償って貰いますから。(どうやら、奥は近いらしい。同時に、住処も近いのだろうか。無残な死体が転がっている。それも、淫魔から連想される死因…それを把握した上で、目の前に現れるスノウサキュバス。様子や言動から明らかに元凶だろう。刀を握りしめ、警戒するが寒さに順応してない体にとって急接近は対応できず…回し蹴りをくらい大きく飛ばされるが…わざとオーバーリアクションして衝撃を逃し受け身を取って)
  (2022/10/28 00:12:26)

エレノア♂勇者> 1d6 → (1) = 1  (2022/10/28 00:12:31)

レイシア♀サキュバス> 【理想通りの出目ですわね…高笑いして油断してるところに攻撃みたいな流れにしようと思ってたから。さすがはわたくしですわね〜！】   (2022/10/28 00:14:19)

エレノア♂勇者> (何方にしろ、このような事をした淫魔。実力がなければここまでは行かないだろう。容赦は出来ない。…コートのボタンを外し、いつもの戦闘服に氷魔法対策で上着を付けたスタイル。金属系は使わないスピード重視の服装だ。…そして、再び納刀し…今度はこちらから急接近。高笑いした相手にやり返すように、抜刀を予想…させてからの腹部に飛び蹴り。やられた事をそのままやり返すような形をして)っ……高笑いするには、少々実力足りないのではないですか？…私、割と強いですよ。
  (2022/10/28 00:15:53)

エレノア♂勇者> 【流石ですね…ただ、それを負け惜しみと捉えられてしまわぬよう頑張らないと、このままいきますよ？】   (2022/10/28 00:16:18)

レイシア♀サキュバス> お〜っほ…ほ？……ッ！？（洞窟内の温度に慣れてきたのかエレノアの動きが急によくなる。それを予測してなかったのか、高笑いして油断しているところに一度距離をとっていたのに、いきなり目の前に出て刀を抜く。）ちっ…なかなかですわね？でも………んぐっ！（刀で斬ってくると思っているとフェイントをかけて腹部に飛び蹴りが当たる。予想外の攻撃により痛みが増し突き刺さるような痛みにお腹を抑えて跪き表情が苦痛に歪む。）
  (2022/10/28 00:22:11)

レイシア♀サキュバス> 1d6 → (2) = 2  (2022/10/28 00:22:34)

レイシア♀サキュバス> そ、その程度の攻撃びくともしませんわー！お〜っほほほ！…でも少しばかりみくびっていましたわ〜！アナタには物理的な攻撃で弱らせるよりこっちの方が苦手そうですわね〜…♥（物理で挑むのをやめ跪きながらも、エレノアの下半身にもたれかかるようにして軽快にベルトを外し、するするとズボンを脱がしていく。そして下着越しに細くて白い指先で肉棒を掴む）ほぉーら、どう…？気持ち良くて力が抜けて行きますの…わかるかしら？♥（掴んだ肉棒を小刻みにシコシコと扱き上げ大きくさせようとする）
  (2022/10/28 00:29:58)

エレノア♂勇者> ふぅ、…元気良さそうですね。(なんとか距離を取ると、刀を振り、再び納刀。次の行動に備えようとすると…再び攻撃。今度は何か…と想像しているとまさかのタックル。あっという間に倒され、慣れた手つきでベルトを外されズボンを脱がされる。相手は淫魔とは言え、予想できず)ちょっ……！なにして、ぁっ…ちゃん、とっ…勝負をっ…!(此方は叩っ斬る意志でやってきた。だが、それとは相反する淫魔の手コキに身体は身震い。しかも冷えた空間と細い指先。小刻みな扱きに、ヌクヌクと大きくなってしまう…今の身体は魔力を使用し暖を確保しているが、ここまでされると集中が乱れ体の暖が再び離れていく…)
  (2022/10/28 00:34:32)

エレノア♂勇者> 1d6 → (4) = 4  (2022/10/28 00:34:34)

エレノア♂勇者> 【まぁまぁ……うん……】   (2022/10/28 00:35:02)

エレノア♂勇者> ふぅっ……ふぅっ…………残念、僕、慣れてるんで…！(急な扱きに驚いたが、深呼吸をして身体を整える。魔力のベールを貼り直し暖を取り、力を蓄え反撃に転じれるように睨みつけ刀を握る。…だが、身体は素直。手コキによる刺激は心地よいようで熱く硬い肉棒は大きくなっていく…華奢な体に似合わないサイズがどんどん露わになってきて)
  (2022/10/28 00:37:28)

レイシア♀サキュバス> 【無意味ではなかっただけ良かったですわね〜…】   (2022/10/28 00:37:41)

レイシア♀サキュバス> 強がっていても無駄ですわよ〜…？こちらは正直ですもの…♥（一瞬理性を失いかけるも、魔力のベール的なものに包まれて再び理性を取り戻す。しかし、しっかりとレイシアの手による愛撫に反応して大きくなってしまっている肉棒を見てはクスクスと妖艶な笑みをして見つめ刀を構えていても説得力は無く魅了されて攻撃もできないだろうと、レイシアは警戒することなくエレノアから離れようとしない。）
  (2022/10/28 00:42:49)

レイシア♀サキュバス> 1d6 → (2) = 2  (2022/10/28 00:43:00)

レイシア♀サキュバス> 下着越しでもこ〜んなに反応しちゃってるおちんちんを…直接お手手でシコシコしたらどうなってしまうのか……楽しみですわね〜…♥（エレノアは斬ろうと思えば直ぐにでも斬れる状態。そんな状況の中でも自信たっぷりで、ついにエレノアの下着を脱がしギンギンに勃起した肉棒にレイシアの冷たくて細い指が触れる。）ほぉーら…いつでもどうぞ？攻撃するには絶好の好機ですわよ〜…♥ん〜…？（ぺろりと舌舐めずりをしながらエレノアの肉棒を掴んでシコシコと扱き上げる…さらに舌を出して先端に舌を当てて上目遣いでエレノアの見つめながら誘惑する）
  (2022/10/28 00:49:24)

エレノア♂勇者> 【んむむ…先に振りますねー…】   (2022/10/28 00:52:31)

エレノア♂勇者> 1d6 → (6) = 6  (2022/10/28 00:52:34)

エレノア♂勇者> 【そんな気がしたんだよー…】   (2022/10/28 00:52:43)

