/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年10月14日 14時08分 ～ 2024年10月15日 14時33分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂13HL ◆> ふむふむ…新婚…結婚…いいね   (2024/10/14 14:08:10)
エロガキ♀13Σ> あ……そうだ……。＜時間＞　お帰り13HL、どうぞ……   (2024/10/14 14:31:13)

胡桃 ◆> 早くしないとだね〜？(ずいっ、)   (2024/10/14 14:31:19)

エロガキ♂19b ◆> 残念だけど脱毛はしないよ～、、おっと！！んじゃ胡桃ちゃんも脱ごっか♡   (2024/10/14 14:31:40)

エロガキ♂12Ω ◆> んじゃサラダバー！   (2024/10/14 14:31:54)

エロガキ♂13HL ◆> あっいやいや…13∑ちゃんいいよ！？壁になるから安心して！(やる気なら任せた！)   (2024/10/14 14:31:55)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが退室しました。  (2024/10/14 14:31:56)

クラリス> う、うん（命じられるままに脱いで…ピンクの下着姿…それとも裸？ で、13ちゃん13くんに挟まれます）   (2024/10/14 14:32:09)

胡桃 ◆> 12Ω君はまた今度遊ぼうね〜！   (2024/10/14 14:32:18)

エロガキ♀13Σ> ん－、私女だから、罰が甘くなる……（嘘）手本見せて…欲しい…（じっと13HL見て）   (2024/10/14 14:32:40)

エロガキ♀13Σ> あ、またね……   (2024/10/14 14:32:54)

胡桃 ◆> はいはーい、脱げばいいんでしょ〜？(時間もないし、ささっと衣服脱ぎ捨て乙女の柔肌顕にして)   (2024/10/14 14:33:14)

エロガキ♂13HL ◆> いやいや僕も甘いですよ！？じゃあ…クラリスお姉ちゃん…∑ちゃんに抱きついてあげてください♡   (2024/10/14 14:33:21)

クラリス> 12さんまた今度〜！   (2024/10/14 14:33:29)

エロガキ♀13Σ> 私見てる……（と言ってもクラリスのオマンコガン見の位置にしゃがんで）   (2024/10/14 14:33:39)

エロガキ♂19b ◆> 胡桃ちゃんとヤるのも久しぶりだな～、、前は2時間ぐらいはめてたっけ？あは！相変わらず綺麗な肌♡♡(胡桃の胸に手を伸ばし両乳首をコリコリと刺激♡♡)   (2024/10/14 14:33:57)

エロガキ♂13HL ◆> 可愛い下着姿でいいのかなー多分…♪   (2024/10/14 14:34:30)

エロガキ♀13Σ> 2時間も……ハメられるもの、なの……（チラ聞きしてボソリ）   (2024/10/14 14:34:44)

クラリス> は、は〜い…ひゃあっ！？（ゆるく正面から抱こうとしたら空振り、足の付け根をじっと見られて）お、女の子同士でも…っていうか同士だから恥ずかしいっ…！   (2024/10/14 14:35:24)

胡桃 ◆> そうだったっけ…？んっ…♡(乳首刺激されて腰がびくっ♡挑発的な笑みで見詰めながら太腿押し付けて♡)   (2024/10/14 14:35:25)

エロガキ♂13HL ◆> 今回は…女の子同士の絡みを見てようかな♪そのままちゅーしてあげて？♡   (2024/10/14 14:36:03)

エロガキ♀13Σ> ん……平気？（抱き付かれるとクラリスを抱き締め返して）ん？チュー？（クラリスにちゅっと）   (2024/10/14 14:36:26)

エロガキ♂19b ◆> そうだよ～、んま急がしすぎて覚えてないかも？(乳首を弄り続けながら、すでに勃起しているチンポを露出し押し付けられている太股に逆に擦り付けてみて♡)   (2024/10/14 14:37:17)

クラリス> （胡桃さんの気持ちよさそうな声が聞こえて、チラ見していたら、13ちゃんに捕まって）だ、だいじょうぶ…はじめてじゃないから…ん、んっ（どこまでしていいのかなと、舌をちょっと出して唇をつんつん、と）   (2024/10/14 14:37:58)

エロガキ♀13Σ> んっ……（クラリスが舌を出したので、舌出してベロチューして）初めてじゃなくても、優しい方が、好き、かなって……   (2024/10/14 14:39:06)

エロガキ♂13HL ◆> そのまま13∑ちゃん   (2024/10/14 14:39:31)

胡桃 ◆> ふふ♡でも今日はアフターいけないし？♡早めにしないと〜…♡(太腿に擦り付けられる立派なﾓﾉ♡こっちの方でも割れ目少し弄ってナカ潤わせて準備だけはしっかりしといて、鎖骨辺りに甘噛みではむっ♡)   (2024/10/14 14:39:33)

エロガキ♂13HL ◆> そのまま13∑クラリスお姉ちゃんのお胸とかその下の方気持ちよく舐めたり触ったりしてあげて…♡   (2024/10/14 14:39:58)

エロガキ♀13Σ> わかった……（口を離すと下にずれてクラリスの乳首吸って）…母乳、出る？   (2024/10/14 14:40:54)

エロガキ♂19b ◆> んん！♡♡(突然甘噛みをされ、声がでてしまい)ふぅ、、なら...即ハメしちゃう？(そのまま胡桃を押し倒しチンポをオマンコにスリスリと擦り付け♡)   (2024/10/14 14:41:02)

クラリス> ん…男の子でも女の子でも、やさしいほうがすきなのは…そうかも…んっ、ちゅ…（積極的に舌を絡められると、受け身がちながらもしっかり返しながら…あちこちがむずむず…）   (2024/10/14 14:41:17)

胡桃 ◆> ん〜？♡好きなタイミングでいいよ？♡私は拒否しないし…♡(割れ目に擦る逸物にどきどき…♡どんな体勢がいいのかなって、ちょっぴり疑問を投げるような視線送りながらちゃんと雌顔見せて♡)   (2024/10/14 14:42:45)

エロガキ♂13HL ◆> かわいいですね♪   (2024/10/14 14:42:51)

エロガキ♀13Σ> うん、たまに……激しいのが…好きって人……いるから……一応…（クラリスの乳首を強く吸って、何故か母乳を出させようとして）   (2024/10/14 14:42:53)

クラリス> はっ、ん、んんっ…ミルクは、でない、よっ…（ブラジャーをずらされて、控えめ？ 標準的？ なサイズの胸、その先っぽを咥えられて、もちろん出なくても吸われたら気持ちよくて）   (2024/10/14 14:43:28)

エロガキ♀13Σ> １３兄も手伝って……欲しい…時間、少ないから……（お願いの眼差し送って）   (2024/10/14 14:43:36)

クラリス> （ミルクは出ないかわりに…ショーツの内側が、だんだん、じわっとして…うっすらと染みっぽくなって）   (2024/10/14 14:44:24)

エロガキ♀13Σ> …ミルク……出ないの…（すっげぇ残念そうに。乳首を甘噛みして、手を伸ばしておっぱいを揉んで）   (2024/10/14 14:44:30)

エロガキ♂13HL ◆> えっ…んーわかった…。(そう言うと後ろからクラリスお姉ちゃんぎゅーって抱きしめて軽く耳に吐息ふきかけてみて)…クラリスお姉ちゃん…可愛いね   (2024/10/14 14:44:41)

エロガキ♂19b ◆> なら、、もうやろうか♡、、そうだな対面座位にしよう♡(胡桃を腰の上に跨がせそのまま奥まで挿入♡抱きつきながら突き上げていき♡)   (2024/10/14 14:44:52)

クラリス> はうっ（前と後ろから挟まれて…まだ全然はげしくされてないのに、体温を感じるだけでどきどき、もじもじして）   (2024/10/14 14:46:28)

エロガキ♀13Σ> ん……クラリス、オマンコ染みてるね……（二人に聞かせるように言い）   (2024/10/14 14:46:45)

胡桃 ◆> あっ…♡ちょっ……とぉ〜…？♡急にがっつきすぎ♡(急に対面座位で挿入されると甘えた声漏れちゃって♡奥まで入った逸物で突き上げられたら子宮がきゅぅ…♡って切なく疼いて♡)   (2024/10/14 14:47:00)

胡桃 ◆> (あっちもあっちで恥ずかしそ…♡なんて横目に思ってたり♡)   (2024/10/14 14:47:19)

エロガキ♂13HL ◆> そしたら…どうしよっか…♡(クラリスお姉ちゃんのショーツに手を持っていけば優しくショーツの上からくちゅくちゅって触ってみて)   (2024/10/14 14:47:51)

エロガキ♂19b ◆> 胡桃ちゃんが可愛すぎるからだよ♡んんっ、、それに中気持ちいいし♡♡(胡桃の背中に手を回し子宮をトントンと突き上げ)油断すると、、胡桃ちゃんのオマンコは搾り取ろうとして来るからね♡♡主導権は渡さないよ！   (2024/10/14
14:49:06)

クラリス> ひゃっ…だって、ずっとさわられてる、からっ…（自分でもなんとなく、そうなってそうな自覚はあって…まだ、そっちを直接さわられてはなかったけど）はっ、あっ、あ…！！（とうとう、そっちも触られて…まだ布越しなのに、びくっ、と膝の震えが止まらなくて）  
(2024/10/14 14:49:57)

エロガキ♀13Σ> 前担当は……私……（クラリスのおっぱいからずれてお臍を舐めて）   (2024/10/14 14:50:35)

胡桃 ◆> そ…♡かなぁ…ｯ♡虜にな…ｯ♡ったの？♡(喘ぎ混じりの言葉は少しだけ途絶え気味。なので、妖しく笑顔を作って表情で雄の本能挑発してあげて♡子宮突き上げられたら締め付けも強くなって、言われたとうりに搾り取ろうと中をきつくさせちゃって♡)  
(2024/10/14 14:51:50)

クラリス> （さっきまでは胡桃さんをチラ見してたのに、今はもう全然余裕なくて…のぼせながら甘い声をあげて）はうっ、んん…っ！！（おへそと、おまた、上から下からのタッチで、子宮のあたりがぎゅっとされる気がして…顎をあげて、のけぞって）   (2024/10/14
14:52:49)

エロガキ♂13HL ◆> …時間ないし触っちゃうね…。(そう言いながらショーツの中に手を入れてはゆっくりと漏れだした汁を指に絡めるようにしながら割れ目を擦り…時折クリも刺激してあげながら耳元で甘く囁いて)   (2024/10/14 14:53:56)

エロガキ♂19b
◆> んんっ♡あぁ、♡この！！そんなことするなら！(妖艶な笑顔を見せられればなにかが弾けそうになるが必死に我慢、、突き上げ続けながら胡桃の唇に自らの唇を当ててキス♡そのまま舌を絡ませようと口の中に滑り込ませていくが♡)んん、やば♡んんっ♡♡んも、、いきそう♡♡んん♡
  (2024/10/14 14:54:14)

エロガキ♀13Σ> 気持ち……よさそう……（よがり顔見て、もう一度唇にキスをして、濡れてる下着の上から13HLと協力するようにクラリスのクリを弄って）   (2024/10/14 14:55:10)

胡桃 ◆> ぁ…♡んむっ♡ん、んｯ……♡いいひょ〜…？いっぱいらして？♡(舌を絡ませたキスに上手く言葉でなくて、何とか声を発して♡いきそうだからって必死な声聞けば誘惑するようにきゅ♡きゅっ♡ってちゃんと締め付けあげて♡)   (2024/10/14
14:56:01)

クラリス> （あっという間にビショビショになったショーツの内側に、手のひらが入り込んで）あっ、あっあっあっ、はあっ、ああっ…！！（もう一つの掌は布越しに割れ目をくすぐって、体のびくびくが、止まらなくて…）   (2024/10/14 14:56:45)

エロガキ♂19b ◆> (態度こそ我慢しているがチンポはもう限界で射精するために膨らんでおり♡♡)んんっ♡もう、無理♡イグ！！♡♡(胡桃とディープキスをしたまま子宮にチンポを押し当て熱い濃厚精子を大量射精♡♡小さなオマンコの中を満たしていき♡)  
(2024/10/14 14:57:02)

クラリス> い…くっ…！！（がまんできなくて、がくっ、てと膝が落ちました）   (2024/10/14 14:58:15)

エロガキ♂13HL ◆> クラリスお姉ちゃん…♡可愛い…気持ちよかったら我慢しなくていいからね？(なんていえば優しく擦りながらゆっくりと指を腟内に…♡)   (2024/10/14 14:58:19)

エロガキ♀13Σ> 気持ち良かった……？（時間見てそろそろとクリから手を放して。崩れ落ちたクラリスを支える）   (2024/10/14 14:58:42)

エロガキ♂13HL ◆> 【はっ…時間だった！】   (2024/10/14 14:58:52)

クラリス> （はいってきた指を、ぎゅっ…と締めちゃいます）   (2024/10/14 14:59:10)

胡桃 ◆> んんｯ…♡あっつい...いっぱい出てるね〜…♡(濃厚な口付けから舌を抜いて吐息整えて♡心拍上がったままで蕩けた目を19君に向けて…♡またいっぱい出されたな〜…♡なんて、最後まで中はキツかったり…♡)さ、お時間だよ〜♡   (2024/10/14
14:59:10)

エロガキ♀13Σ> 【13HL、おっもちかえりぃ…？】   (2024/10/14 14:59:24)

エロガキ♂19b ◆> はぁはぁはぁ...気持ちよかったぁ...間に合わせるためにほんと急いでやっちゃったな(いきを整えながらゆっくりとチンポを抜いていき)   (2024/10/14 15:00:14)

クラリス> 【夕方ちょっと所用ありなので、延長戦はごめんなさい…！】   (2024/10/14 15:00:55)

胡桃 ◆> いいのいいの〜！下振れだった訳だし♡私はアフターせずだから、このまま撤収するね！(にへ、)   (2024/10/14 15:01:16)

エロガキ♀13Σ> 【そうなの……お疲れ…でした……クラリス】   (2024/10/14 15:01:32)

エロガキ♂19b ◆> 胡桃ちゃんありがとね～！、、次はもっとゆっくりやろうね♡   (2024/10/14 15:01:58)

エロガキ♂13HL ◆> 【お疲れ様です〜】   (2024/10/14 15:02:06)

エロガキ♀13Σ> 皆様お疲れ＆対戦有難う……でした…   (2024/10/14 15:02:20)

胡桃 ◆> 私は一足先に！みんなまたねー！   (2024/10/14 15:02:23)

クラリス> また遊びましょうね！   (2024/10/14 15:02:33)

エロガキ♀13Σ> お部屋有難うございました……   (2024/10/14 15:02:36)

おしらせ> 胡桃 ◆Qe8wlfS40Uさんが退室しました。  (2024/10/14 15:02:36)

エロガキ♀13Σ> うん、またねー……   (2024/10/14 15:02:43)

おしらせ> クラリスさんが退室しました。  (2024/10/14 15:02:44)

エロガキ♀13Σ> おやつ食べに…いく……またねー……   (2024/10/14 15:03:14)

おしらせ> エロガキ♀13Σさんが退室しました。  (2024/10/14 15:03:26)

エロガキ♂19b ◆> 皆さんお疲れさま～、、またね！   (2024/10/14 15:03:29)

おしらせ> エロガキ♂19b ◆jPpg5.obl6さんが退室しました。  (2024/10/14 15:03:31)

おしらせ> 胡桃 ◆Qe8wlfS40Uさんが入室しました♪  (2024/10/14 15:09:05)

胡桃 ◆> 13くーん…？   (2024/10/14 15:09:17)

胡桃 ◆> 反応ないみたいだね、寝ちゃったかな〜？   (2024/10/14 15:14:33)

胡桃 ◆> よし、様子見終わり！またね   (2024/10/14 15:16:59)

おしらせ> 胡桃 ◆Qe8wlfS40Uさんが退室しました。  (2024/10/14 15:17:05)

おしらせ> 無言時間が25分を超えたため、エロガキ♂13HL ◆3P8hK58TGgさんが自動退室しました。  (2024/10/14 15:27:24)

おしらせ> エロガキ♂13HL ◆3P8hK58TGgさんが入室しました♪  (2024/10/14 15:58:01)

おしらせ> エロガキ♂19b ◆jPpg5.obl6さんが入室しました♪  (2024/10/14 15:58:07)

おしらせ> エロガキ♂19Q ◆jwzTa4PnO.さんが入室しました♪  (2024/10/14 15:58:07)

おしらせ> 星街すいせいさんが入室しました♪  (2024/10/14 15:58:10)

おしらせ> エロガキ♂19Hさんが入室しました♪  (2024/10/14 15:58:12)

エロガキ♂13HL ◆> 対戦ありがとうございました♪(ぺこり)   (2024/10/14 15:58:19)

おしらせ> 胡桃 ◆Qe8wlfS40Uさんが入室しました♪  (2024/10/14 15:58:19)

おしらせ> ステフさんが入室しました♪  (2024/10/14 15:58:19)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが入室しました♪  (2024/10/14 15:58:21)

おしらせ> ラム ◆r8To80Q7JEさんが入室しました♪  (2024/10/14 15:58:28)

エロガキ♂19Q ◆> どうやって分ける？   (2024/10/14 15:58:30)

おしらせ> 大空スバルさんが入室しました♪  (2024/10/14 15:58:36)

エロガキ♂12Ω ◆> ここまで出目バラけるもんなんだなー。   (2024/10/14 15:58:40)

ステフ> 対戦有難うございましたですわ♡   (2024/10/14 15:58:45)

エロガキ♂12Ω ◆> 取り敢えず姉ちゃん側で指定したい人がいれば挙げてもろてー。   (2024/10/14 15:59:17)

胡桃 ◆> 私最初から居たけど、指名したい人いたらお先に連れ出していいよ〜   (2024/10/14 15:59:24)

エロガキ♂19H> ダイス振って大きい順に半分にしてそこから指名、もとから指名が被らないのであれば選んでもらって移動でどうですか？   (2024/10/14 15:59:24)

エロガキ♂13HL ◆> とりあえず女性陣サイコロ振って出ための高い人からの指名とかにします？お任せしますけど   (2024/10/14 15:59:26)

星街すいせい> 1人ずつにする？グループ分けする？   (2024/10/14 16:00:01)

大空スバル> スバルは別に誰だー！とかわかんないから…。最後でイイっすよ〜   (2024/10/14 16:00:09)

エロガキ♂19b ◆> 1人ずつでいいと思うよちょうど人数いるし   (2024/10/14 16:00:27)

エロガキ♂19H> 誰でもいいが多くてもわけずらいかなって思って   (2024/10/14 16:00:35)

ステフ> 私非表示に個室を用意できますから、個室で。個室が良い意気地なしさんはこちらへどうぞ？   (2024/10/14 16:00:48)

エロガキ♂12Ω ◆> でもこう言うの自信ない人もいるしなー。一人じゃ不安って人いるー？   (2024/10/14 16:01:01)

星街すいせい> じゃあ私も個室にしようかなー、非表示でも公開でもいいけど   (2024/10/14 16:01:24)

エロガキ♂19H> 女性陣のダイス振って勝った人から絶対選ぶでもいいですけど   (2024/10/14 16:01:29)

大空スバル> スバルも個室でいーぞ！   (2024/10/14 16:01:36)

エロガキ♂13HL ◆> 一応非表示行ける民です。   (2024/10/14 16:01:39)

エロガキ♂19Q ◆> 俺も非表示行けるな   (2024/10/14 16:01:52)

エロガキ♂19b ◆> 非表示いけるよ～   (2024/10/14 16:01:54)

ステフ> 意気地なしさん限定ですの♡   (2024/10/14 16:02:01)

エロガキ♂12Ω ◆> じゃあマンツーマンでー。自分も非表示イケるー。   (2024/10/14 16:02:04)

星街すいせい> とりあえず誰がいいか指名してみて被ったらダイスで決めよ？   (2024/10/14 16:02:10)

ラム ◆> (何のアピールかしら、、)   (2024/10/14 16:02:17)

胡桃 ◆> すいちゃんそれいいねー！   (2024/10/14 16:02:21)

エロガキ♂19H> IP ないから非表示無理ですけど移動はできます   (2024/10/14 16:02:34)

エロガキ♂19b ◆> 指名はプロフに書いた方がいいかも？ここだと流れるだろうし   (2024/10/14 16:02:35)

ステフ> 了解ですわ！   (2024/10/14 16:02:41)

星街すいせい> じゃ、プロフ変えてくるねー   (2024/10/14 16:02:56)

エロガキ♂12Ω ◆> 誰が選ばれるかなー？   (2024/10/14 16:03:04)

大空スバル> りょうかい？   (2024/10/14 16:03:16)

ステフ> あ、指名はプロフにってやつにですわ；＜了解   (2024/10/14 16:04:03)

エロガキ♂12Ω ◆> どきんどどきんこ   (2024/10/14 16:04:15)

胡桃 ◆> (にっこり、)   (2024/10/14 16:04:24)

ラム ◆> 余ってるので良いわ。ラムから見れば一緒だもの   (2024/10/14 16:04:50)

星街すいせい> じゃあ決まりかな？   (2024/10/14 16:05:18)

エロガキ♂19Q ◆> 被ってないか？   (2024/10/14 16:05:29)

エロガキ♂19b ◆> 俺はどっちについていけばいいんだー？   (2024/10/14 16:05:33)

エロガキ♂12Ω ◆> さあ、第1ドラフトが指名されましたー！   (2024/10/14 16:05:37)

エロガキ♂19H> bくんがかぶり   (2024/10/14 16:05:37)

星街すいせい> あ、確かに？そこはダイスだねー   (2024/10/14 16:05:45)

エロガキ♂12Ω ◆> じゃあ被った姉ちゃん同士1d100対決！   (2024/10/14 16:06:04)

大空スバル> 13HLくんが選ばれてないんだったら、スバルHL君にしよーかなー。最終診断二択だったし…い、いいやダイスでいいや…！   (2024/10/14 16:06:14)

エロガキ♂12Ω ◆> 出目高かったら19b兄ちゃんゲットで！   (2024/10/14 16:06:19)

ステフ> 勝負……あら？   (2024/10/14 16:06:30)

エロガキ♂13HL ◆> 大丈夫だよ〜余り物なので申し訳ないですが〜   (2024/10/14 16:06:38)

エロガキ♂12Ω ◆> お？これは決まりって事で良き？   (2024/10/14 16:07:04)

エロガキ♂13HL ◆> 勝負するんじゃないのー？   (2024/10/14 16:07:27)

大空スバル> スバル、お菓子貰ったはず…！だから大丈夫！   (2024/10/14 16:07:38)

エロガキ♂19b ◆> ステフちゃんとスバルちゃんが振って高い方に着いていくよ～、ほら！振るんだ！   (2024/10/14 16:07:59)

ステフ> いくつで？振るんですの？？   (2024/10/14 16:08:23)

大空スバル> えーいっ   (2024/10/14 16:08:28)

大空スバル> 1d100 → (71) = 71  (2024/10/14 16:08:31)

エロガキ♂19Q ◆> 1d100、   (2024/10/14 16:08:34)

ステフ> 1d100 → (82) = 82  (2024/10/14 16:08:44)

ステフ> 勝ちました、ですわ！   (2024/10/14 16:08:55)

エロガキ♂19b ◆> わーお、なんてレベルの高い戦い！   (2024/10/14 16:08:59)

ラム ◆> ここも余ってるわね、、(19H様の足後ろから蹴って)   (2024/10/14 16:09:01)

ラム ◆> なに自分は余ってませんって顔してるのかしら   (2024/10/14 16:09:20)

星街すいせい> じゃ、移動かな？   (2024/10/14 16:09:27)

エロガキ♂12Ω ◆> ドラちゃんが19b兄ちゃん、スバル姉ちゃんが13だなー   (2024/10/14 16:09:31)

胡桃 ◆> とりあえず決まった人は移動しよっか〜   (2024/10/14 16:09:35)

エロガキ♂19b ◆> ステフちゃん、俺が部屋作るね～   (2024/10/14 16:09:48)

大空スバル> じゃあ、お部屋用意しとくなー？>HLくん   (2024/10/14 16:09:52)

エロガキ♂13HL ◆> ありがとうございます♪よろしくお願いします〜   (2024/10/14 16:10:04)

ステフ> ＯＫですわ♡   (2024/10/14 16:10:04)

エロガキ♂19H> いっ、、余ってるのはわかってますよ、、   (2024/10/14 16:10:07)

胡桃 ◆> 私はお部屋つくったよ〜＞19Qさん   (2024/10/14 16:10:08)

ステフ> 宜しくお願いします♡   (2024/10/14 16:10:13)

星街すいせい> 作っといたよーじゃあね   (2024/10/14 16:10:15)

エロガキ♂19Q ◆> ありがと、移動する   (2024/10/14 16:10:19)

エロガキ♂19b ◆> 作ったよ～ステフちゃん   (2024/10/14 16:10:20)

おしらせ> エロガキ♂19Q ◆jwzTa4PnO.さんが退室しました。  (2024/10/14 16:10:22)

ラム ◆> 移動する理由が無いから残るわ   (2024/10/14 16:10:23)

おしらせ> 星街すいせいさんが退室しました。  (2024/10/14 16:10:26)

ラム ◆> 分かったわね？   (2024/10/14 16:10:35)

おしらせ> エロガキ♂13HL ◆3P8hK58TGgさんが退室しました。  (2024/10/14 16:10:49)

ステフ> あ、では落ちますわね。   (2024/10/14 16:11:12)

