/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年10月23日 07時29分 ～ 2024年10月24日 14時50分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> クラリス ◆vp1gp540pWaYさんが退室しました。  (2024/10/23 07:29:40)
エロガキ♂18D ◆> 身体に聞いてるんですよ……シャーロットさんの触られて気持ちいいところ…(乳首を弄り、下腹部から股間に手を伸ばし…耳に息を吹きかけ、唇で甘噛み、れろんれろんと絡み付くように耳をなめて…)   (2024/10/23 09:47:11)

シャーロット・レイス ◆> ふざけたことをっん、あっん(身体を調べられるような手つきを見せられて、感じてはだめと思うと、身体は反応ししまい、気持ちいいのを我慢しいると限界も近いようで、身体を相手に預けるようになってしまって)   (2024/10/23
09:49:42)

エロガキ♂18D ◆> ここですね…意外と普通なんですね……可愛いですよ？(とどめと言わんばかりにくりっと乳首をつまみあげ、股間を揉んで、耳の穴まで舐めて……)   (2024/10/23 09:51:39)

シャーロット・レイス ◆> っんん、っんん(可愛いと言われて顔を真っ赤にしては、嬉しそうにしてしまっていると)あっ、あん、っんん(乳首をつまみ上げられ、色んなところを刺激されてしまうと、絶頂を迎えて身体を激しく揺らしてぐったりとしてしまい)  
(2024/10/23 09:54:13)

エロガキ♂18D ◆> ちょうど終わりですね……絶頂も可愛かったですよ、シャーロットさん……お疲れ様でした…この後は、解散でしょうか……？それとも……付き合いますよ？   (2024/10/23 09:55:12)

シャーロット・レイス ◆> はぁ、はぁ、うるさい…(顔を真っ赤にしながら恥ずかしそうにして)【これから出かけるから解散かな。次は勝つから】   (2024/10/23 09:57:37)

エロガキ♂18D ◆> 了解です、お疲れ様でした。次も勝ちますよ。   (2024/10/23 10:00:06)

シャーロット・レイス ◆> 【それではまたね】   (2024/10/23 10:00:34)

おしらせ> シャーロット・レイス ◆QpkzOtGYQEさんが退室しました。  (2024/10/23 10:00:37)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (2024/10/23 10:01:29)

おしらせ> プロメティアさんが入室しました♪  (2024/10/23 11:23:47)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/23 11:23:47)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/23 11:23:50)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (2024/10/23 11:23:50)

おしらせ> ステファニー・ドーラさんが入室しました♪  (2024/10/23 11:24:01)

おしらせ> ジブリールさんが入室しました♪  (2024/10/23 11:24:03)

エロガキ♂14C ◆> （三角座り）   (2024/10/23 11:24:09)

エロガキ♂18D ◆> さて、何をされるやら……   (2024/10/23 11:24:26)

ジブリール> ドラちゃんはマスターの傘下ですから愚かなままでは無いでしょう？   (2024/10/23 11:24:46)

ステファニー・ドーラ> おｋおｋですわ！お疲れさまでした、有難うございました、皆様。   (2024/10/23 11:24:57)

エロガキ♂19b ◆> ものの見事に敗北だねぇー、面白かったからいいけど   (2024/10/23 11:25:04)

おしらせ> エロガキ♀15kbさんが入室しました♪  (2024/10/23 11:25:15)

ステファニー・ドーラ> あ、そういう……くくりなんですのね…   (2024/10/23 11:25:20)

ジブリール> 何をしましょう？私もこれと言って考えていた訳でも無いですからね〜   (2024/10/23 11:25:34)

エロガキ♂18D ◆> 気持ちの良い敗北でしたねぇ……   (2024/10/23 11:25:39)

ステファニー・ドーラ> あ、対戦有難うございました、ですわ。   (2024/10/23 11:25:43)

エロガキ♀15kb> ……（コレ、ワンチャン、使用してる串間違うと、プロメティアさん蹴りだすところだったと今気づく）   (2024/10/23 11:25:51)

プロメティア> （そうですね……お気遣いいただいて感謝します。）   (2024/10/23 11:26:07)

ステファニー・ドーラ> とりあえず、どういたしますの？   (2024/10/23 11:26:28)

ジブリール> 対戦の感謝をしておいてあげましょう♪   (2024/10/23 11:26:36)

エロガキ♂19b ◆> えっと、、時間決めはステフがお願いね～、、決める前に誰が誰をやるのかとか決めてね！   (2024/10/23 11:26:37)

ステファニー・ドーラ> はーい、ですの   (2024/10/23 11:26:48)

プロメティア> さて、ステファニーさんの言っていた罰ですが…相手の皆様に適応できるのなら、それでも構いません。   (2024/10/23 11:26:56)

ステファニー・ドーラ> 10d3 → (2 + 3 + 2 + 2 + 2 + 3 + 2 + 2 + 3 + 1) = 22  (2024/10/23 11:26:59)

エロガキ♀15kb> と、GG……良いゲームをありがとうございました   (2024/10/23 11:27:04)

プロメティア> そうでないのなら、相手を選んでしまいましょうか。人数に差はありますが。   (2024/10/23 11:27:16)

ジブリール> ドラちゃんの言っていた罰ってなんの事です？   (2024/10/23 11:27:43)

ステファニー・ドーラ> 私はですね、皆様あるいはお一人に、ハロウィンの衣装を決めてもらいたいのですわ。   (2024/10/23 11:27:43)

エロガキ♀15kb> 人数差があるということなら……あの、アタシは隅の方でお茶でも飲んでいますので。（ほら、そうすれば皆さん男女ペア   (2024/10/23 11:28:09)

エロガキ♂19b ◆> ハロウィンの衣装かぁ...   (2024/10/23 11:28:33)

ステファニー・ドーラ> あ、48分までですのね。   (2024/10/23 11:28:39)

ステファニー・ドーラ> 私に似合う衣装を、ネタではなく、ですのよ？   (2024/10/23 11:29:05)

エロガキ♂18D ◆> それはまた……中々悩ましいものが……   (2024/10/23 11:29:09)

ジブリール> 逃がしませんよ〜♪(15kb様の背後に、す...)   (2024/10/23 11:29:11)

ステファニー・ドーラ> ペアになってお互いのを決めるんでもいいんですのよ。   (2024/10/23 11:29:40)

エロガキ♂19b ◆> 犬とかでいいんじゃない？あれ可愛かったし   (2024/10/23 11:29:47)

プロメティア> 随分、可愛らしい罰ですね。（微笑ましく見守り…見守り…。）   (2024/10/23 11:29:56)

ステファニー・ドーラ> １５さんも加わってくださいませ♡   (2024/10/23 11:30:06)

エロガキ♀15kb> ……（ワードッグ？）   (2024/10/23 11:30:15)

ステファニー・ドーラ> 犬って…だからネタではなくて、ですわっ！   (2024/10/23 11:30:26)

エロガキ♂18D ◆> (そう言えば、プロメティアさんの姿……何処かで見たような……)   (2024/10/23 11:30:34)

ジブリール> 下等生物らしく犬猫や豚鳥の真似なんて如何でしょう♪   (2024/10/23 11:30:36)

エロガキ♂14C ◆> えっと、決まりでいいのかな？（あまり茶々入れるのもと思って黙ってた）   (2024/10/23 11:30:49)

ステファニー・ドーラ> １４さんも宜しければ加わって下さいませ？   (2024/10/23 11:30:49)

プロメティア> あ…では私は一人借り受けてもよろしいですか？（18Dさんの腕を抱くように組んで、他の女性の皆様に許可を求め。）   (2024/10/23 11:31:26)

ステファニー・ドーラ> ジブリールさんとは一度、別なお話をする必要がありますわね？（ニコ）   (2024/10/23 11:31:37)

エロガキ♂19b ◆> いや、、ほら！似合うじゃん？ステフに犬耳着けて尻尾着けて...いい感じに服を着せて   (2024/10/23 11:31:57)

ジブリール> お好きにどうぞ♪まだ実験...じゃなかった、玩具はありますから♪   (2024/10/23 11:32:10)

エロガキ♂18D ◆> ！？自分ですか……！？え、ええ……自分でよろしければ、構いませんが…(突然抱かれるとまさか指名されたとは思わず少々ビビり)   (2024/10/23 11:32:30)

ステファニー・ドーラ> いやーーー、またそれはいやーー！定着しちゃうじゃないですかっ！   (2024/10/23 11:32:31)

ジブリール> ドラちゃんがお話？私にでしょうか？ふふ♪   (2024/10/23 11:32:51)

ステファニー・ドーラ> １９さんと１４さんを引き取りますね？（ニコリ）   (2024/10/23 11:33:20)

エロガキ♀15kb> ……（O☆HA☆NA☆SHI（性的肉体言語）   (2024/10/23 11:33:24)

プロメティア> ではこちらに…。（腕を組んだままお部屋の隅に…。少し離れれば、「……下をすべて脱いで欲しいのですが。」なんて囁き。）   (2024/10/23 11:33:32)

プロメティア> ＞18Dさん   (2024/10/23 11:33:39)

ジブリール> あら...必然的にこうなってしまいましたね？(15kb様の尻尾撫でて)   (2024/10/23 11:34:13)

エロガキ♂18D ◆> えぇ、はい……かしこまりました…(そう言うと言われるがままに下を脱ぎ…)これで、よろしいでしょうか？   (2024/10/23 11:34:19)

ステファニー・ドーラ> お二人は当日除草でしたわよね？（勝手に決まってる）１４，１９   (2024/10/23 11:34:23)

エロガキ♂14C ◆> 似合う衣装ねぇ……普段からなんか露出高めだし、敢えて露出は少ないけど体型でるよーなのとか着させるのアリかなって思うんだけど   (2024/10/23 11:34:40)

ステファニー・ドーラ> 女装…まずいですわね…   (2024/10/23 11:34:40)

エロガキ♂19b ◆> あぁ、、そういえばそんなことを言ってたね...やるよ、、うん。がんばる   (2024/10/23 11:34:54)

エロガキ♂14C ◆> ……？   (2024/10/23 11:35:09)

エロガキ♀15kb> ひゃっ！？あの、し、尻尾は神経が通っているので……で、出来ればあまり触られるのは……（っていうか、アタシの正体バレバレ？！   (2024/10/23 11:35:16)

ステファニー・ドーラ> 露出少なくて体型が出る？たとえば……？   (2024/10/23 11:35:18)

プロメティア> （すとん、と半ば腰抜けるように18Dさんの前に屈みこんで。その立派なものにうっとりと視線向けて♡）やはり、ここの若い子達はみんなとても立派な物を持っていますね…。（すぅ…♡）   (2024/10/23 11:35:37)

ステファニー・ドーラ> １４さんは何もしなくても女装似合いそうですしね。   (2024/10/23 11:35:45)

エロガキ♂14C ◆> ミイラ女、なんて感じで全身包帯ぐるぐる巻きにして見るとかね。ハロウィンに因んでのだけど。   (2024/10/23 11:36:19)

ステファニー・ドーラ> 犬以外でお願いしますわね！１９さん   (2024/10/23 11:36:21)

エロガキ♂19b ◆> なら！！猫！！   (2024/10/23 11:36:34)

ステファニー・ドーラ> 包帯でですの……胸も締め付ける感じでですの？１４さん   (2024/10/23 11:36:48)

エロガキ♀15kb> ワードッグ、ワーキャット（黒猫）、ワーウルフ辺りは結構ポピュラーだとおもいますよ？   (2024/10/23 11:37:08)

エロガキ♂18D ◆> んっ……そう言われると、緊張しますね…(ズルムケたモノを見られるとムクムク……と反り返って立派さに拍車をかけ……)気に入ってくれたのなら、それはそれで……   (2024/10/23 11:37:18)

ステファニー・ドーラ> どうして尻尾があるものばかり！なら定着するように、１９さんには前回のカリオストロさんのあの衣装でお願いしましょうか？（ニコ）   (2024/10/23 11:37:40)

エロガキ♂14C ◆> んー？締め付けすぎちゃうと苦しいんじゃない？適度に、緩めといてもいいと思うかなー？それでポロリしても僕は責任取らないけどっ。   (2024/10/23 11:37:47)

プロメティア> つい最近、団長さ……とある方と関わる機会があったのですが、それ以降どうも体が…すぅ…♡火照ることが多くて…♡（匂いだけで構いませんから、と和やかな喧噪の陰で欲求不満を満たす人妻。背徳感♡）   (2024/10/23 11:38:10)

ジブリール> あらぁ♪面白いですねぇ♪ここを触られるとどのような感覚があるのでしょう♪知的好奇心を満たしたさで手荒な事はしたくありませんけど貴女は負けたのですから好きにしちゃって構いませんよね♪(早口捲し立てて尻尾の根元の尾骶骨くらい撫でてお尻前になる様に屈んで)
  (2024/10/23 11:38:11)

ステファニー・ドーラ> まさか、ポロリ期待ですの？（１４をじーとみて）   (2024/10/23 11:38:17)

エロガキ♂19b ◆> ごめんって！！謝るからそれだけは勘弁してください...   (2024/10/23 11:38:38)

ステファニー・ドーラ> ワー、一族になるのですね…（ほぅ）   (2024/10/23 11:38:55)

エロガキ♂19b ◆> まぁ...無難なのは魔女とかじゃない？ここは本職の魔女多いけど？   (2024/10/23 11:39:15)

エロガキ♂14C ◆> 責任取らないって言ってるだけだよーだっ。それに僕は下手にポロリされちゃうよりは見えてない方が好きだしね。（ふいっ）   (2024/10/23 11:39:18)

ステファニー・ドーラ> じゃあ、ちゃんと考えてくださいまし！１４さんのアイデア以外に無いですの？１９   (2024/10/23 11:39:22)

ジブリール> 東部連合の獣達の話でしょう？ドラちゃんはイズナ様をお忘れで...？   (2024/10/23 11:39:37)

ステファニー・ドーラ> 魔女ですか……ふぅむ。   (2024/10/23 11:39:45)

エロガキ♂18D
◆> ……なるほど、です……(それにしても、この人の雰囲気、どこかで見た感じが……なんか、ちょっと前にもあったような、雰囲気…)臭いでしたら、こんな感じとか、いかがでしょう…(そう言うとゆっくり玉裏を持ち上げてみたりして……たぷ、たぷ……と揺らし)  
(2024/10/23 11:40:03)

ステファニー・ドーラ> 見えない方がいいんですの！？初めて知りましたわ……てことは、男性側こそポロリがいい感じと言うことですわね！（違）１４さんのぽろり……   (2024/10/23 11:40:39)

エロガキ♀15kb> な、なんというかっひ、か、かさぶたをカリカリってひっかくというか……あの、ムズ痒くて気になるんですけど、荒っぽいと痛いって言いますか……自分で動かせるくらい神経が在って、ぶ、部位的には恥毛に近い感じといいますか？（とにかく触られると落ち着かない、そんな感じ）
  (2024/10/23 11:40:41)

ステファニー・ドーラ> 仮装のことかと思ったんですの＜ワー   (2024/10/23 11:41:04)

エロガキ♂14C ◆> ……誰も喜ばないよ、それ……。いや、おちんちんを見たいって言ってるおねーさんもいた気がするから、そういうおねーさんにならなんとか需要が……？（溜息）<男性のポロリ   (2024/10/23 11:42:01)

ステファニー・ドーラ> 魔女って、ねるねのやつ（ＣＭの）とリゼロとどちらが良いのでしょうか…？１９さん   (2024/10/23 11:42:03)

エロガキ♀15kb> ワーウルフはよくありますし……あ、あれの尻尾と耳を別種にして、犬歯と頬髭をつけると結構様になりますよ？＜ワー○○系仮想   (2024/10/23 11:42:06)

プロメティア> そ、れは…♡だ、だめです…だめ…は、ぁむ♡（匂いだけ、なんて言ってたのに気付けば持ち上げられて匂いのこもったそこに口付けて♡深呼吸を一度、二度。それからは夢中で肉棒にも、玉袋にも、その裏にも…陰毛近くの腰にも唇を何度も何度も落として、やや薄めの紅を残し♡）
  (2024/10/23 11:42:26)

エロガキ♀15kb> ……（むしろ逞しいボロンで、ギンギンを今真横で楽しんでいるコンビがいますが？）   (2024/10/23 11:42:50)

エロガキ♂19b ◆> そうそう....うーん、でもちょっと多すぎるから厳しいかなぁ...無難なのはCMのやつだろうね、、でもリゼロのやつでもいいかも？ステフにできるかわかんないけど雰囲気を出してもらって～って感じでさ   (2024/10/23
11:43:18)

プロメティア> （ぎくっ……）   (2024/10/23 11:43:19)

ステファニー・ドーラ> ああでは、男性は股間もろだしに、それ以外を包帯でとかどうでしょうか！（何言ってんの）１４さん、需要あるんじゃないですの…   (2024/10/23 11:43:21)

エロガキ♂14C ◆> ……（どっちかっていうとボロンに対してより匂いフェチじゃないの、あのおねーさん。）   (2024/10/23 11:43:43)

エロガキ♂18D ◆> んっ…♡ぐっ……ふっ……それは、中々の……んっ、口づけが……あっ…(玉裏や股間にキスをされまくると、やべ……と思いながら…たぷたぷ揺らして……)時間何時でしたっけ……！？   (2024/10/23 11:44:24)

エロガキ♀15kb> おチンポの匂い、始めるって決めた時には結構子宮に響くんですよねぇ……   (2024/10/23 11:44:25)

ステファニー・ドーラ> 出来るかどうかってどういうことですの！？いっそ、版権とエロガキで衣装交換もいいですわね！対戦する時に交換して…ね？１９さん   (2024/10/23 11:44:42)

エロガキ♂14C ◆> 別に当日罰ゲームでやらされる分にはいいけどさー？その格好でウロウロだけは絶対したくないなぁ……お巡りさん飛んできちゃう。<おちんちん以外包帯ぐるぐる   (2024/10/23 11:44:55)

ジブリール> あぁ♪気になるけど触れてはいけないと言うのは興味を唆られますね♪ですが痛みを与えるのが好きな訳でもありませんから...こう言うのは如何でしょう...♪(立ち上がって後ろからするり抱きついて♪尻尾の根元軽く握りながら優し〜く擦って♪お胸を下から持ち上げてあげて♪)
  (2024/10/23 11:45:00)

プロメティア> 未だもう少し…♡（口付けの雨を一旦止めては、18Dさんを潤んだ瞳の上目遣いで見上げて、舌を伸ばしてちろちろ…♡肉棒の先端を舐めて♡）   (2024/10/23 11:45:44)

エロガキ♂14C ◆> （ちなみに時間は一応あと3分だよ、とだけ）   (2024/10/23 11:45:47)

ステファニー・ドーラ> 罰部屋だけの事ですし、ね……やってくれますか？（１４の頭をそっと抱くようにしながら）   (2024/10/23 11:45:54)

エロガキ♂19b ◆> ！？ステフの衣装を俺が着るの！？そういうのは14Cにやらせようぜ～...需要...ある？   (2024/10/23 11:45:57)

ステファニー・ドーラ> そうですわ、私の衣装なら可愛いだけで済みますわ♡   (2024/10/23 11:46:25)

エロガキ♀15kb> だ、ダメじゃないんですけどあの本当に……ほ、他に集中できなくなるといいます、かっ、う、うぅ（胸元も触られて、ちょっとビクビクっとしながら……あ、会う合うってなりつつも、抵抗できない時間ですから……いつの間にかすっかりアタシの獣部分の構造チェックになってる！？）
  (2024/10/23 11:46:36)

ステファニー・ドーラ> 3分ですわね……有難うございますですわ♪   (2024/10/23 11:46:48)

エロガキ♂14C ◆> む……当日負けたら、ね。勝てなかったらやんないよ。（頭を抱かれると少し困惑しつつも鼻を鳴らし）……そーやって僕にヘイトそらすからポンコツにーさんはポンコツにーさんなんだよ。（じとー   (2024/10/23 11:47:32)

エロガキ♂19b ◆> んま、、次負けたときは考えてあげるよ～....負けられない戦いができてしまったな..   (2024/10/23 11:47:34)

エロガキ♂18D
◆> んっ……ふっ……プロメティアさん、これ以上は、スイッチが……♡(肉棒の先端を舐められるとびくんっと跳ねて……♡)終わっ……た……？プロメティアさん、これ終わったら、時間ありますか……？欲しそうでしたし……(うずくまりながら耳元で……好きなだけ、あげますよ♡となんて言ってみたりして)
  (2024/10/23 11:48:02)

エロガキ♀15kb> 3分間だけ待ってやろう！君はラピュタ王の……うんたらかんたら？   (2024/10/23 11:48:33)

ステファニー・ドーラ> はい、また負かして、いえ、勝てるまで何度も対戦させていただきますわ！   (2024/10/23 11:48:35)

エロガキ♂14C ◆> お時間でーす（かんかんかん）   (2024/10/23 11:48:39)

ジブリール> まぁ...お時間もありませんし今日は尻尾だけで満足しておきましょうか♪(ゆっくり...ゆ〜っくり尻尾の根元扱くみたいに優しく擦って♪獣耳にふぅ♪なんて吐息吐きながら衣装の上から胸の突起だけ軽く撫でて♪)   (2024/10/23
11:48:54)

ステファニー・ドーラ> 互いに負けられない…ですわね！１４，１９   (2024/10/23 11:48:59)

エロガキ♂18D ◆> 良かった……終わった…とりあえず14さんと19さんの女装姿が見れるとのことですので……次は観客ですかね？あ、勿論それで雑談部屋に来てもいいですよ？   (2024/10/23 11:49:33)

ステファニー・ドーラ> 今日もお疲れさまでした、私の願い聞いていただき、有難うございました♪   (2024/10/23 11:49:37)

ジブリール> あら、時間？早いですねぇ♪ふふ♪   (2024/10/23 11:49:37)

プロメティア> ……っ、時間、ですか…。（名残惜しそうに肉棒から口を離すとすっと立ち上がって。後のお誘いには）…これはあくまで羞恥の罰として与えただけですから…。その誘いに乗っては浮気になってしまいます。（と断って。十分浮気とか言ってはいけない、言わないで欲しい。）
  (2024/10/23 11:49:51)

エロガキ♂14C ◆> いかないよ？？？18Dにーさん覚えてろ？？？   (2024/10/23 11:49:52)

エロガキ♂19b ◆> そうだねぇ...負けないように頑張らせて貰うよ！   (2024/10/23 11:49:54)

エロガキ♂14C ◆> 背中を打つ味方が多すぎるっ！とりあえず居座るのもなんだし僕は再戦狙いでもっかいゲーム部屋行く！お部屋ありがとうございましたー。   (2024/10/23 11:50:41)

ステファニー・ドーラ> １９さんのフルチン姿が見えますわ……   (2024/10/23 11:50:44)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/23 11:50:50)

ステファニー・ドーラ> 有難うございます、１４さん。頑張ってくださいませ。   (2024/10/23 11:51:12)

エロガキ♂18D ◆> なるほど……その割にはそちら側が楽しんでたように見えますが……(多分、そうだろうとハッとした顔で耳元で……)……次は、娘さんと一緒に、戦いたいものですね……(いつの間に服を着ながら)   (2024/10/23 11:51:18)

エロガキ♀15kb> はぁ、もぉ……あぁ、み、耳は本当に……っ！アタシゾワゾワするだけで（動かせる耳だけに過敏ではある）性感が一切ないくらいに、ダメなので（本当に触られるとムズムズして集中が出来なくなる。加えて尻尾だとそれに少し性感が加わる。けど、胸も含めて集中がそがれて散っちゃうので、うまいタイミングじゃないと、逆に……撫でられてもあんまり効果が無いようなそんな反応に…）
  (2024/10/23 11:51:22)

ジブリール> はーい♪行ってらっしゃいませ〜♪   (2024/10/23 11:51:24)

エロガキ♂19b ◆> こ、、怖いぞ～？...まぁいいや！俺もそろそろ行こうかな！！皆さんお疲れさまでした～！   (2024/10/23 11:51:47)

エロガキ♀15kb> お疲れ様でした～　あたしたちもお部屋でましょ～   (2024/10/23 11:51:47)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/23 11:51:52)

エロガキ♂18D ◆> 14さんご武運を……勿論覚えますし何かしたら何かされるのをお忘れなく……   (2024/10/23 11:51:55)

ステファニー・ドーラ> はい、お疲れさまでしたですわ♪   (2024/10/23 11:52:09)

プロメティア> ……っ、し、失礼します！（逃げるように部屋を後にした。そんなに…似てますか？）   (2024/10/23 11:52:12)

おしらせ> プロメティアさんが退室しました。  (2024/10/23 11:52:15)

エロガキ♂18D ◆> では、自分も……プロメティアさんが誰か、分かりましたし……ステファニーさん、ジブリールさん、kbさんもお疲れ様でした。また会えましたら。   (2024/10/23 11:52:34)

ステファニー・ドーラ> 皆様支援、対戦有難うございました。またよろしくですわ♡   (2024/10/23 11:52:35)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (2024/10/23 11:52:40)

ジブリール> 一つ一つゆっくり解してしまいたいですけれどまた今度調べさせて頂きましょう♪お疲れ様でした〜♪   (2024/10/23 11:52:46)

おしらせ> ジブリールさんが退室しました。  (2024/10/23 11:53:08)

おしらせ> エロガキ♀15kbさんが退室しました。  (2024/10/23 11:53:16)

ステファニー・ドーラ> では私も。お邪魔いたしましたですわ。   (2024/10/23 11:53:29)

おしらせ> ステファニー・ドーラさんが退室しました。  (2024/10/23 11:53:37)

おしらせ> エキドナ ◆r8To80Q7JEさんが入室しました♪  (2024/10/23 21:07:39)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (2024/10/23 21:08:04)

エキドナ ◆> 人が多いのはどうもね、、   (2024/10/23 21:08:09)

エロガキ♂18D ◆> そうでしたね……お疲れ様でした。その分強くてビックリしました……   (2024/10/23 21:08:58)

おしらせ> クラリス ◆vp1gp540pWaYさんが入室しました♪  (2024/10/23 21:09:12)

おしらせ> エロガキ♂10soxさんが入室しました♪  (2024/10/23 21:09:14)

エキドナ ◆> ボクの平均ダイスも壊れてしまってるね、、   (2024/10/23 21:09:22)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが入室しました♪  (2024/10/23 21:09:26)

おしらせ> ステファニー・ドーラさんが入室しました♪  (2024/10/23 21:09:31)

エキドナ ◆> 20の桁から出ないのがほぼなのだけどね、、   (2024/10/23 21:09:39)

ステファニー・ドーラ> 平均ダイス、ですの？   (2024/10/23 21:09:53)

クラリス ◆> 毎回エキドナさんに救われてる気がします！   (2024/10/23 21:09:53)

エロガキ♂18D ◆> それが別方向にぶっ壊れていたのは事実なので……おや、皆様来ましたね……   (2024/10/23 21:09:53)

エロガキ♂10sox> かなり大人数だったからね   (2024/10/23 21:10:01)

エロガキ♂17L ◆> 最初は調子良いのに後半いつも失速してる気がするんだけど、俺……   (2024/10/23 21:10:10)

エキドナ ◆> そうかい？ボクは基本何もしてないと思うんだけどね、、＞クラリスさん   (2024/10/23 21:10:26)

ステファニー・ドーラ> 私にお話がある方は、個室に監禁させていただきますの。   (2024/10/23 21:10:48)

クラリス ◆> 男子みんなに罰を受けてもらうか、先入りのステファニーさんから一人ずつ指名していただくか   (2024/10/23 21:10:49)

エロガキ♂18D ◆> まぁ自分も平均が低いので…20後半が高いレベル、ですから…＞エキドナさんのダイス……   (2024/10/23 21:10:54)

クラリス ◆> だそうです！≫監禁   (2024/10/23 21:11:09)

エロガキ♂17L ◆> ステフが決めればいいと思うよ、その辺は   (2024/10/23 21:11:23)

クラリス ◆> ドラフト会議の結果が出たら時間決めですね   (2024/10/23 21:11:47)

エロガキ♂18D ◆> (個室に監禁……聞かなかったことにしよう)   (2024/10/23 21:11:52)

エロガキ♂10sox> そうだね、勝者が決めれば良いさ   (2024/10/23 21:11:57)

エキドナ ◆> ボクのいつものダイスなら今日は21〜28がいい所だと思っているけどね   (2024/10/23 21:11:58)

ステファニー・ドーラ> ふぅん、では、他の方に先にどうぞ、ですわ。   (2024/10/23 21:12:14)

エロガキ♂18D ◆> 自分もドラフトに申し分はありません   (2024/10/23 21:12:20)

