/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年11月27日 01時48分 ～ 2024年12月01日 17時23分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂?17A> いいよ、十分エロかったからさ   (2024/11/27 01:48:27)
エロガキ♂15AM ◆> おっと、気づけばそろそろ時間だ。お付き合いありがと、お姉さん♪今度はえっちな罰考えてくるよ♡！   (2024/11/28 00:52:12)

クラリス ◆> 勝ったときに限って、は割とあるあるですね！ またの対戦をお待ちしてます！   (2024/11/28 00:53:29)

エロガキ♂15AM ◆> ばいば〜い！   (2024/11/28 00:53:48)

おしらせ> エロガキ♂15AM ◆za77rifW.Yさんが退室しました。  (2024/11/28 00:53:56)

おしらせ> クラリス ◆vp1gp540pWaYさんが退室しました。  (2024/11/28 00:53:59)

おしらせ> 小鳥遊ホシノさんが入室しました♪  (2024/11/28 20:01:53)

おしらせ> エロガキ♂10sxさんが入室しました♪  (2024/11/28 20:01:54)

小鳥遊ホシノ> とうちゃ〜く   (2024/11/28 20:02:35)

エロガキ♂10sx> ホシノ先輩にエッチな事できる時間をきめてもらいます～   (2024/11/28 20:03:38)

小鳥遊ホシノ> はいは〜い、よろしく〜   (2024/11/28 20:03:55)

エロガキ♂10sx> こっちが振っちゃって良いならいきま～す   (2024/11/28 20:04:58)

エロガキ♂10sx> 10d3+10 → (1 + 2 + 1 + 3 + 2 + 1 + 2 + 1 + 2 + 1) + 10 = 26  (2024/11/28 20:05:34)

エロガキ♂10sx> 31分までですね～｡まずはホシノ先輩脱いでもらって僕のしゃぶってもらいますね(年不相応な大きさのチンポ晒けだして…………)   (2024/11/28 20:08:06)

小鳥遊ホシノ> 31分ね〜、は〜い。ん〜？いいよ〜、んしょ、んしょ♡(衣服を一枚づつ脱いでエロガキくんの目の前に肢体を曝け出し♡)お〜、キミのおちんちん、見た目によらずおっきいね〜？口ですればいいんだね〜？ん、、れろ♡れろ…♡(目の前に屈むと年不相応なおちんちんに舌を這わせ♡気持ち良いところ探して上目遣いで表情を観察♡)
  (2024/11/28 20:13:23)

エロガキ♂10sx> (上目遣いでホシノの舌がチンポに這わせられムクムクと勃起していき…………)ホシノ先輩とあまり体格変わらないとはいえ､濡らしてもらわないとこれから入れるの痛いかも知れないし…………(カウパー垂らして舐めてもらいながら少し考えて……)ホシノ先輩は前からと後ろからどちらから入れられたい？
  (2024/11/28 20:16:59)

小鳥遊ホシノ> ん、、れろ♡ん〜、そりゃあいきなりこんなの入れられたらおじさんだって壊れちゃうよ〜？ん、れろ♡ちゅぷ…♡ね、気持ち良い〜？(おちんちんを細い指で握りつつ、玉裏、裏筋、鬼頭の順に舌を這わせて様子見♡段々カウパー溢れて来て気持ち良いのが分かって表情緩め♡)ちゅぷ…♡れろ♡ん〜おじさん前からが好きだけどさ〜？(おちんちん扱いてあげながら上目遣いで舌を這わせ答え♡)
  (2024/11/28 20:23:25)

エロガキ♂10sx> 気持ち良いよホシノ先輩。気を悪くしないで欲しいけどなんか背徳感があるんだよね(カウパー舐めとられながらチンポをしごかれて､カウパーを絶え間なく垂らさせて…………)やっぱり時間少ないから入れるまでは今回は無理そうだから飲んで欲しいな(ホシノの頭を引き寄せ、喉奥までチンポ咥えさせ金玉にキスさせながら膨張させていき………)
  (2024/11/28 20:28:33)

小鳥遊ホシノ> ちゅぷ…♡ん〜♡へ〜、それは〜どういうことかな〜？(舌を這わせ続け、カウパーが顔に垂れるのも気にせず♡)ん♡れろ♡飲む〜？へ…？ぐぶぅっ♡(急に頭を引き寄せられて喉奥まで咥えさせられ♡)   (2024/11/28 20:32:27)

小鳥遊ホシノ> (待ってる人居るみたい〜アフター移ろっか〜)   (2024/11/28 20:33:09)

小鳥遊ホシノ> (ここは出ておくね〜待たせちゃってごめんね〜)   (2024/11/28 20:33:55)

エロガキ♂10sx> 【そうですね、アフターにいきましょう。お部屋ありがとうございました】   (2024/11/28 20:34:30)

小鳥遊ホシノ> (お部屋ありがと〜)   (2024/11/28 20:34:40)

おしらせ> 小鳥遊ホシノさんが退室しました。  (2024/11/28 20:34:41)

おしらせ> エロガキ♂10sxさんが退室しました。  (2024/11/28 20:34:43)

おしらせ> ヤマト ◆6e.Rw8D1SUさんが入室しました♪  (2024/11/28 20:35:54)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/28 20:36:07)

エロガキ♂19b ◆> 改めて対戦ありがとう～！！今回は俺が勝ったから、ヤマトちゃんの身体で好きに遊ばせて貰うね♡   (2024/11/28 20:37:26)

ヤマト ◆> まいったなぁ　負ける気がしなかったんだけど。   (2024/11/28 20:37:43)

エロガキ♂19b ◆> 10d3+10 → (2 + 1 + 1 + 1 + 2 + 3 + 2 + 1 + 2 + 3) + 10 = 28  (2024/11/28 20:37:46)

エロガキ♂19b ◆> こっちには頼れる見方もいたからね～6分までかな！   (2024/11/28 20:38:15)

ヤマト ◆> 了解   (2024/11/28 20:38:35)

エロガキ♂19b ◆> っと...やっぱりでかいなぁ...とりあいず脱いじゃおうか！！全身をくまなく見たいからね！♡   (2024/11/28 20:38:57)

ヤマト ◆> わ、わかったよ。（着物を全て脱ぐとたたんで横に置き）はぁ、これでいいかな   (2024/11/28 20:41:01)

エロガキ♂19b ◆> いいねぇ...さっきからずっと思ってたけどやっぱすごくいい身体♡まずはそのおっぱいから見ていこうか♡(ヤマトに近付き手を伸ばし...両胸を優しく揉みはじめ♡)柔らか！？思ってた以上に柔らかいし弾力もある♡いいもの持ってるねぇ♡  
(2024/11/28 20:43:02)

ヤマト ◆> うっ、いきなり胸をっ（顔を赤らめながら抵抗したい気持ちを抑えつつ）まいったなっ…負けるというのはこういう事かっ   (2024/11/28 20:44:27)

エロガキ♂19b ◆> そういうこと♡負けるってことはこんなことされても抵抗はできないってことだよ♡(胸を揉みながら人差し指で乳首の先っぽを擦り♡)普段はこんなことあんまりされないでしょ？♡   (2024/11/28 20:46:09)

ヤマト ◆> うぅっ、仕方ない 負けたんだからっ…！んおぉっ…！？（乳首を擦り上げられ思わず表情を崩しつつ）こんなことっ、されるわけないだろっ…！！   (2024/11/28 20:47:53)

エロガキ♂19b ◆> あは♡そうだよね～！ヤマトちゃんとはほんとに無縁の行為だもんね♡だからこそ...そのビックリするような反応が面白いんだけどさっ♡(両乳首を摘み捻ったり引っ張ってみたりして♡)   (2024/11/28 20:49:36)

ヤマト ◆> そ、そんなことをっ…！？うぅっ…！（悔しそうな表情を向けつつ乳首を自分でひねり上げて）んひぃぃっ…！！こ、こんなことさせられてっ、あぁっ乳首ぃぃっ　弄らせないでぇぇ   (2024/11/28 20:52:36)

ヤマト ◆> 【ごめん、ちょっと解読に手間取って…引っ張ってみたりしてというボクへの指示と思ったけど違うのかな！？】   (2024/11/28 20:54:00)

ヤマト ◆> 【2分ほど熟考してたので8分までで構わない】   (2024/11/28 20:54:33)

エロガキ♂19b ◆> いいね...すごくいいよ♡♡お兄さん楽しくなってきたなぁ♡♡(ヤマトの反応を楽しみながら手を下へと伸ばしオマンコの割れ目を擦り♡)乳首はヤマトちゃんが弄ってくれてるしこっちの面倒は俺が見てあげるね♡♡   (2024/11/28
20:55:24)

エロガキ♂19b ◆> 【大丈夫です！！ちょっと言い方が悪かったですね！！うまく合わせますので問題ないですよ！】   (2024/11/28 20:55:51)

ヤマト ◆> あぁっ、そんなぁっ！こんな下品な真似をさせられてっ…（女性器をこすられながら自分の乳首責めで思わずガニ股になってしまうヤマト）ひぃっ、いい加減にしろぉぉ   (2024/11/28 20:57:24)

エロガキ♂19b ◆> こんな簡単に情けない姿晒しちゃって、恥ずかしくないのかなぁ♡ここにいるのが俺だけでよかったね♡もし他にもいたら...ヤマトちゃんの下品な姿みんなに見られてたよ♡♡(指をオマンコの中に挿入しクチュクチュと音をたてながら掻き回していき♡)
  (2024/11/28 20:59:53)

ヤマト ◆> まずいっこれっ、あぁぁっ…！（腰を揺らしながら舌を斜めに突き出して悶えながら）このままじゃダメだっ、こんな下品な姿でっ　大勢に見られたら困る姿でっ　イカされちゃううぅぅ（フル勃起した乳首を適格に刺激しながら恍惚の表情で）  
(2024/11/28 21:03:12)

エロガキ♂19b ◆> イっちゃうのかな？♡こんな情けない姿で♡ふふっ♡♡ヤマトちゃんの下品なとこ、お兄さんに見せてごらん♡♡(Gスポットを的確に叩いて刺激しながら中を掻き回し続け、同時にもう片方の手でクリを摘まんで同時に刺激して絶頂を促し♡)  
(2024/11/28 21:05:49)

ヤマト
◆> おっおっ…　んおぉぉっ…！！そこっ、刺激されたらっ、やばっ…！（激しい手まんに腰を振るたびに水滴をほとばしらせながら）だめっ、イクっ！イカされるうぅぅぅ！！このぼくが下品な姿を晒してっ…　イ…ク♡イグゥゥぅ♡（乳首を自分で引っ張り上げながらだらしないアヘ顔でアクメってしまうヤマト）
  (2024/11/28 21:11:45)

エロガキ♂19b ◆> ふふっ...情けなくイッたね♡♡時間はとっくに過ぎちゃってるからここまで♡♡ヤマトちゃんがまだしたいなら続きもできるけど...どうする～？♡(指を引き抜いてニヤニヤとしながらアへ顔を晒しているヤマトを眺めて)   (2024/11/28
21:13:45)

ヤマト
◆> 【本当は続けたいんだけど…どうしても予定があってここまでにさせてもらう。でも続きをお願いしたいのはボクだから…何かペナルティを考えてもらえると嬉しいな。そうでないとボクの中で整理がつかないんだよね。次の勝負の時だったり、次の勝負まででも構わないけど】  
(2024/11/28 21:17:09)

エロガキ♂19b ◆> 【なら次の勝負の時は続きを、俺のことを覚えてくれてたらいいよ～！次はアフターでも個室でもいいから沢山しようねってことでさ！】   (2024/11/28 21:18:53)

ヤマト ◆> OK、今度は勝たせてもらうよ。それじゃ   (2024/11/28 21:20:27)

エロガキ♂19b ◆> またね、ヤマトちゃん！！お疲れさまだよ～！   (2024/11/28 21:20:43)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/28 21:20:47)

おしらせ> ヤマト ◆6e.Rw8D1SUさんが退室しました。  (2024/11/28 21:20:48)

おしらせ> 十六夜咲夜 ◆t1X293JlUEさんが入室しました♪  (2024/11/28 23:30:36)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが入室しました♪  (2024/11/28 23:31:05)

十六夜咲夜 ◆> さーて、時間を決めますか。   (2024/11/28 23:31:30)

十六夜咲夜 ◆> 10d3 → (1 + 1 + 3 + 2 + 3 + 3 + 3 + 3 + 3 + 2) = 24  (2024/11/28 23:31:38)

エロガキ♂12Ω ◆> とう、対ありー。おっぱいの大きさと出目って比例すんのか。   (2024/11/28 23:31:39)

十六夜咲夜 ◆> 平均越え。やっぱり今日は上振れね。55分まで。   (2024/11/28 23:31:57)

エロガキ♂12Ω ◆> やっぱり、これ有力説では？   (2024/11/28 23:32:02)

エロガキ♂12Ω ◆> あーい、優しくやらしくしてくれよな？♡(きゃぴ♡)   (2024/11/28 23:32:25)

十六夜咲夜 ◆> うーん、どうなのかしら？負けが混むときほんとに負けてますので   (2024/11/28 23:32:27)

エロガキ♂12Ω ◆> クソー、負けた時は覚えとけよー。んでどうするん？   (2024/11/28 23:33:02)

十六夜咲夜 ◆> …発言と態度が全然あってないのがまた…んー、どうしようかしら。大きいのは好きみたいねぇ。(後ろから、頭におっぱい押し付ける感じにして聞いてみる)   (2024/11/28 23:33:27)

エロガキ♂12Ω ◆> 優しい姉ちゃんには生意気そうに見えて素直なのが俺です。そりゃあね、おっぱいにケツにタッパと大きいのは良いことよ。(頭を乳置きにされ後ろに体重かけると頭ぐりぐり押し付け)   (2024/11/28 23:35:30)

十六夜咲夜 ◆> じゃあ…まずはそこがおっきくなってるのか、確かめてもらおうかしらぁ？(と、少し膨らんでるズボンを示して)   (2024/11/28 23:35:32)

十六夜咲夜 ◆> …やっぱり生意気ねぇ…   (2024/11/28 23:35:54)

エロガキ♂12Ω ◆> あーい、姉ちゃんもスキモノだなー。(言われるが儘ズボン下ろすと勃起したおちんぽぶるん飛び出て)   (2024/11/28 23:36:20)

エロガキ♂12Ω ◆> 俺の年頃は大抵そうですから。でも人懐っこいって言ってくれよなー。   (2024/11/28 23:36:48)

十六夜咲夜 ◆> 人懐っこいとは言い方いろいろねぇ…ほーら、おっぱい気持ちいいんでしょー(と、触ろうとはしなくて)   (2024/11/28 23:38:00)

エロガキ♂12Ω ◆> ん、やらかくて御立派様だなー。何カップー？(ぱふぱふ、頭に押し付けられおっぱい満喫)   (2024/11/28 23:38:49)

十六夜咲夜 ◆> (明言していいのかどうなのか…少なくとも私の場合)G〜Hくらいだと思って頂いたらいいのではないかなと…(イラスト見る限り)   (2024/11/28 23:41:57)

エロガキ♂12Ω ◆> おぉ、そりゃデカいなぁ   (2024/11/28 23:42:32)

エロガキ♂12Ω ◆> もうグラドルとかそう言うレベルのお乳だ。(Aから呑気に数え始め数える度にぱふぱふ、ぐりぐり頭押し付け)   (2024/11/28 23:43:14)

十六夜咲夜 ◆> んん…触ってあげようと思ったけどおあずけにしようかしらぁ？(立たせたモノを触るか触らないかで)   (2024/11/28 23:44:12)

エロガキ♂12Ω ◆> 咲夜姉ちゃんのイケズー…。せめておっぱい吸うなり直で感じたりさぁー…。(生殺しの様な感覚味わい思わずおちんぽぴくぴく揺れて)   (2024/11/28 23:45:15)

十六夜咲夜 ◆> それじゃお仕置きにならないでしょう…ん、置いてると楽ねぇ(ずしー)   (2024/11/28 23:45:50)

エロガキ♂12Ω ◆> 天国と地獄だ～…。(ぱふぱふ、すりすり)   (2024/11/28 23:46:22)

十六夜咲夜 ◆> そうだ、自分で触ってなさいよー。(ぐりぐり)   (2024/11/28 23:46:56)

エロガキ♂12Ω ◆> むぅ、じゃあ咲夜姉ちゃん片手貸してよー？(にへら)   (2024/11/28 23:47:33)

十六夜咲夜 ◆> どういうことかしらぁ？   (2024/11/28 23:48:08)

エロガキ♂12Ω ◆> 咲夜姉ちゃんは動かさないで良いから、咲夜姉ちゃんに握らせておこっかなーって。   (2024/11/28 23:48:44)

エロガキ♂12Ω ◆> 自分で扱かせれば咲夜姉ちゃんは何もしてない事になるっしょ？(どやぁ)   (2024/11/28 23:49:24)

十六夜咲夜 ◆> あー、そういうことねぇ…ほーら…(サテン手袋持ってきて)   (2024/11/28 23:49:55)

エロガキ♂12Ω ◆> む？(首こてん)   (2024/11/28 23:50:21)

エロガキ♂12Ω ◆> まさかの手袋嵌めた状態で手袋の中におちんぽ突っ込んで生と手袋でのサンドイッチ？   (2024/11/28 23:51:02)

十六夜咲夜 ◆> 手袋コキ？ってやつね…(サテンの質感で…素手より敏感なやつ)   (2024/11/28 23:52:01)

エロガキ♂12Ω ◆> ほえー…。(おちんぽぴくん)   (2024/11/28 23:52:26)

十六夜咲夜 ◆> ほーら…(すり、すり…つるつるの素材で…)   (2024/11/28 23:53:27)

エロガキ♂12Ω ◆> んっ(腰が動き手の中でおちんぽぴくん、ぴくん)   (2024/11/28 23:54:13)

十六夜咲夜 ◆> ふふ、いっちゃう…？すーりすーり   (2024/11/28 23:54:30)

十六夜咲夜 ◆> …時間切れー。残念ね。(わざと時間見計らって、ピタ、と手を止めて)   (2024/11/28 23:55:08)

エロガキ♂12Ω ◆> それはまだ流石に…。(我慢汁ぬちゃぁ)   (2024/11/28 23:55:10)

エロガキ♂12Ω ◆> はふー…。(息漏らし身体凭れさせおっぱいぱふぱふ)   (2024/11/28 23:55:40)

エロガキ♂12Ω ◆> …どうするー？えっちとかするー？(むぎゅ)   (2024/11/28 23:56:20)

十六夜咲夜 ◆> んー…今日はここで終わりかしらね。   (2024/11/28 23:56:57)

十六夜咲夜 ◆> 一度部屋空けるわ。   (2024/11/28 23:57:17)

おしらせ> 十六夜咲夜 ◆t1X293JlUEさんが退室しました。  (2024/11/28 23:57:20)

エロガキ♂12Ω ◆> あーい、今日の分は次回にだなー。   (2024/11/28 23:57:20)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが退室しました。  (2024/11/28 23:57:29)

おしらせ> クラリス ◆vp1gp540pWaYさんが入室しました♪  (2024/11/29 14:03:15)

おしらせ> エロガキ♂13Alさんが入室しました♪  (2024/11/29 14:03:37)

おしらせ> エロガキ♂17C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/29 14:03:39)

エロガキ♂13Al> やるぞっ……！（ふんすふんす）   (2024/11/29 14:03:45)

クラリス ◆> さあどうぞ！（天地なんとかの構え）   (2024/11/29 14:04:16)

エロガキ♂13Al> 10d3+10 → (1 + 1 + 3 + 3 + 1 + 1 + 3 + 3 + 2 + 1) + 10 = 29  (2024/11/29 14:04:40)

エロガキ♂13Al> 33分くらいまで！　……その状態から両手あげて！（どきどきしながら万歳のポーズ要求）   (2024/11/29 14:05:14)

エロガキ♂17C ◆> 元より支援の身、基本手出しはするつもりはないから何かオレの手伝いが必要なら動くことにしようか。ああ、でもその分口は動くけどね。（椅子に腰掛け、片脚膝の上に乗せるように組みつつ様子を伺い。）   (2024/11/29 14:05:48)

クラリス ◆> こうでいいのかな？（脇だしノースリーブで両手あげ、下はスカートとソックス）   (2024/11/29 14:06:21)

クラリス ◆> お行儀わるいよ〜≫17Cくんの座り方   (2024/11/29 14:08:09)

エロガキ♂13Al> う、うん。……おお、すごい……。（ごくりっと喉を鳴らして、ノースリーブから見える脇をじーっ）……つるつるすべすべだ……！（至近距離でふんふんっと鼻息ならしつつ。すすす……と背後へ）……こんな格好してたら我慢できなくて当然……だと思う……！（微妙に言い訳しつつ。ちょっと緊張して震えている手を脇の下からすぽっと差し込んで服と胸の間に突っ込もうと……）
  (2024/11/29 14:08:43)

クラリス ◆> ま、まあ一応、お手入れは気をつけてるしっ？（つるつるすべすべと言われたら悪い気はしないわけで、胸を張っていたら手が滑り込んで、震えているのがちょうど刺激で）んっ…！（と、思わず声が出て）   (2024/11/29 14:10:57)

エロガキ♂17C
◆> 悪いね、口も悪ければ足癖も悪くなってさ。（眼鏡を外し、胸ポケットへとしまいながらクラリスさんの指摘にはくつくつ、と笑いを漏らし。）ま、確かに普通の服装だとは言い張りそうだけど、ノースリーブって異様に唆られる要素があるよね。13Alくんがこういう反応するのも仕方ない。
  (2024/11/29 14:11:51)

エロガキ♂13Al> 直に触ってる……すご、ぷにぷにだ……（直に触れている感触。生地との間に押し込んでるからぎゅっと押さえ込むような形で、服の上から手が動いてるのが見えるはず。ふよん、ふよん、と二つの膨らみを揉みこんで）……しっとりしてる。（バトルの後だからかな……と考えつつも。少し荒い鼻息がふーっとうなじにかかっている）
  (2024/11/29 14:13:15)

クラリス
◆> しょうがないよ、もらう服の中だと一応ましな方だもん！（誘うような衣装だという言及に反論…説得力はないけど事実です）な、なんか、こういう触られ方も久しぶり、かもっ…（興奮と緊張が交錯しているせいか、熱を浴びながらもじっくりと揉まれて…こちらも一戦交えた後からなのか、それとも刺激のおかげか、肌は汗ばみながら体のあちこちが赤く染まって）
  (2024/11/29 14:17:11)

エロガキ♂13Al> おっぱいすご……いいにおいしてる……（はぁ、はぁ……と思わず呼吸を荒くしながら、両手はむにゅん、と掌でつかむようにおおきく動いて。形を変えさせるように指を動かしながら、背中から抱きついているせいでお尻には硬いものをぐりぐり、と押しつけ。だんだんと大きく荒っぽくなる手つきで、指先が先端をかすめてすりすり……）
  (2024/11/29 14:20:11)

エロガキ♂17C
◆> 肌露出は他に比べればマシなんだろう。けど、その分拗らせた男の子の目には毒、ってね。……さて、手は出さない、とは言ったが……これなら許されるかな。13Alくんはクラリスさんの胸に夢中のようだし。（組んだ足を解いて椅子から立ち上がり、椅子を手に向かうはクラリスさんの前。再び膝に脚を乗せるようにしては靴を脱ぎ、靴下を履いたままの爪先伸ばし。スカートを持ち上げては足の甲で軽く腿の付け根をなぞるようにして。）
  (2024/11/29 14:21:21)

クラリス
