/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年10月26日 23時14分 ～ 2024年10月28日 14時15分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

生塩ノア> (誤字ばっかり…ううぅ///!   (2024/10/26 23:14:02)
エロガキ♂15JP> ひぅ…   (2024/10/27 07:09:49)

クラリス ◆> そのつどきめます≫罰   (2024/10/27 07:09:58)

クラリス ◆> なので必然、軽いものになります   (2024/10/27 07:10:17)

キタサンブラック> クラリスさん温情の、罰ゲーム中ですが、ハンディありの王様ゲームですよ   (2024/10/27 07:10:25)

エロガキ♂11T> とりあえず2d13を振るってこと？   (2024/10/27 07:10:27)

クラリス ◆> 了解〜≫先行ハンデは二枚縛りのみ   (2024/10/27 07:10:41)

エロガキ♂15JP> うんっ   (2024/10/27 07:10:45)

エロガキ♂15JP> はーい！じゃあ、時間を決めてから開始だー   (2024/10/27 07:11:03)

キタサンブラック> バーストは負け、1位の人が何かしら質問を投げる程度で、基本性行為とかじゃなく1レスで答えられる命令程度～ですね   (2024/10/27 07:11:09)

キタサンブラック> １０ｄ３ → (3 + 2 + 1 + 1 + 3 + 2 + 1 + 1 + 2 + 3) = 19  (2024/10/27 07:11:12)

クラリス ◆> 集計係します   (2024/10/27 07:11:14)

エロガキ♂15JP> 30〜   (2024/10/27 07:11:24)

キタサンブラック> では、30分まで、2ｄ13全員どうぞ～   (2024/10/27 07:11:31)

エロガキ♂11T> 2d13 → (12 + 7) = 19  (2024/10/27 07:11:40)

エロガキ♂12Ω ◆> 2d13 → (3 + 7) = 10  (2024/10/27 07:11:41)

エロガキ♂15JP> は〜い   (2024/10/27 07:11:43)

エロガキ♂15JP> 2d13 → (8 + 1) = 9  (2024/10/27 07:11:50)

キタサンブラック> Ｔ１７　Ω１０　ＪＰ１９   (2024/10/27 07:11:57)

クラリス ◆> 17、10、9   (2024/10/27 07:11:58)

エロガキ♂12Ω ◆> これバーストしようが無いなー。   (2024/10/27 07:12:00)

キタサンブラック> 2ｄ13 → (10 + 2) = 12  (2024/10/27 07:12:08)

エロガキ♂15JP> むぅ、低い   (2024/10/27 07:12:09)

キタサンブラック> アタシは追加1枚引きます   (2024/10/27 07:12:19)

キタサンブラック> １ｄ１３ → (2) = 2  (2024/10/27 07:12:23)

クラリス ◆> 2d13 → (10 + 9) = 19  (2024/10/27 07:12:31)

クラリス ◆> 勝ちっ   (2024/10/27 07:12:38)

キタサンブラック> 現状ＪＰ君が１９　クラリスさんも19ですが   (2024/10/27 07:12:44)

クラリス ◆> ア。   (2024/10/27 07:12:55)

キタサンブラック> ま、ここは勝ち組優位としましょう、クラリスさん初手権利どうぞ～で   (2024/10/27 07:13:01)

エロガキ♂11T> 俺も19だよ   (2024/10/27 07:13:10)

エロガキ♂15JP> むぅ   (2024/10/27 07:13:12)

キタサンブラック> ちなみに１　Ａは1or19扱いです   (2024/10/27 07:13:21)

キタサンブラック> 12はQ　絵札は10扱いなんですよ＞Tさん   (2024/10/27 07:13:39)

エロガキ♂12Ω ◆> あ、そっち？1か11じゃないんだ   (2024/10/27 07:13:46)

クラリス ◆> JPくんはキタちゃんにどんな仕返ししたかったのか具体的に自供してください   (2024/10/27 07:13:49)

キタサンブラック> 19じゃなくて１１ですね、そこは五時です   (2024/10/27 07:14:00)

キタサンブラック> 誤字orz　誤字～！＞   (2024/10/27 07:14:20)

エロガキ♂12Ω ◆> 時間刻んでくじゃん。(目覚まし時計)   (2024/10/27 07:14:44)

キタサンブラック> ジャパンさんの仕返し内容告発～どうぞ～   (2024/10/27 07:14:46)

クラリス ◆> （いまのうちに次の罰を仕込まないと）   (2024/10/27 07:15:17)

エロガキ♂15JP> ん〜。最近良いようにやられていたから、クリちゃんを虐めて仕返しを考えてたー。時間が長かったら解してから犬みたいにバックで入れたりかな〜   (2024/10/27 07:15:33)

エロガキ♂12Ω ◆> (クラリス姉ちゃんがしこしこしようとしてる…)   (2024/10/27 07:15:46)

キタサンブラック> 割と具体的にいじめる気だった？！   (2024/10/27 07:15:53)

エロガキ♂15JP> そうだよ！！   (2024/10/27 07:16:03)

キタサンブラック> お、OKでは2戦目！　ガキ組2d13どうぞ～   (2024/10/27 07:16:07)

エロガキ♂15JP> 2d13 → (4 + 6) = 10  (2024/10/27 07:16:15)

エロガキ♂12Ω ◆> 2d13 → (3 + 9) = 12  (2024/10/27 07:16:17)

エロガキ♂11T> 2d13 → (6 + 12) = 18  (2024/10/27 07:16:23)

キタサンブラック> と、まぁこんな感じで、1れすな命令する感じですね   (2024/10/27 07:16:27)

キタサンブラック> Tさんが16   (2024/10/27 07:16:35)

キタサンブラック> 2d13 → (8 + 7) = 15  (2024/10/27 07:16:41)

エロガキ♂12Ω ◆> ちょうど追加で振ればバーストしそうな感じだから助かった   (2024/10/27 07:16:41)

キタサンブラック> 15なので1枚追加   (2024/10/27 07:16:48)

キタサンブラック> 1d13 → (7) = 7  (2024/10/27 07:17:00)

キタサンブラック> ぐ、22でアタシはバーストぉ   (2024/10/27 07:17:10)

クラリス ◆> 2d13 → (3 + 7) = 10  (2024/10/27 07:17:13)

クラリス ◆> 1d13 → (5) = 5  (2024/10/27 07:17:22)

エロガキ♂15JP> バーストだー！   (2024/10/27 07:17:28)

キタサンブラック> 16のTさんがトップ、命令をどうぞ～   (2024/10/27 07:17:34)

クラリス ◆> 15で負け   (2024/10/27 07:17:37)

エロガキ♂12Ω ◆> 姉ちゃん側は1～2枚って言ってたしもう1枚イケるんじゃね？   (2024/10/27 07:18:12)

クラリス ◆> 温情いただきました   (2024/10/27 07:18:35)

キタサンブラック> 今回は1枚限定に最初決めたので～　その方がわかりやすいですし   (2024/10/27 07:18:36)

エロガキ♂12Ω ◆> クラリス姉ちゃんワンチャンあるぞ(悪魔の囁き)   (2024/10/27 07:18:36)

エロガキ♂15JP> 今回は1枚みたい〜   (2024/10/27 07:18:44)

クラリス ◆> ですね   (2024/10/27 07:18:55)

エロガキ♂11T> ちょっと待とう   (2024/10/27 07:18:59)

エロガキ♂12Ω ◆> りょうかーい。(ちぇ)   (2024/10/27 07:19:01)

キタサンブラック> 温情はありません！＜キタちゃんはゲームにはうるさい！   (2024/10/27 07:19:03)

キタサンブラック> Tさんは命令どうぞ～   (2024/10/27 07:19:11)

クラリス ◆> わかりやすいし進行も遅くなるので   (2024/10/27 07:19:15)

エロガキ♂11T> おっと、では   (2024/10/27 07:19:27)

エロガキ♂15JP> どんな命令がくるかな？(わくわく)   (2024/10/27 07:19:41)

エロガキ♂11T> お姉さん二人は負けたら、誰にどんなことされたかったの？   (2024/10/27 07:19:44)

クラリス ◆> 誰にというかとっかえひっかえされたい欲は最近わりとあります（自供）   (2024/10/27 07:20:28)

キタサンブラック> JPさんからの仕返し内容は期待しましたね♡　Tさんはデカチンとやらがどの程度かも少しは気になりましたが。主はJPさんが今回はメインかな～と   (2024/10/27 07:20:32)

エロガキ♂12Ω ◆> と言うことで負けたキタサン姉ちゃん回答どうぞ。クラリス姉ちゃんも巻き込まれてるけど答えたければ任意でー。   (2024/10/27 07:20:34)

エロガキ♂15JP> キタちゃんが期待していた！？   (2024/10/27 07:21:04)

エロガキ♂11T> クラリスお姉さんは複数に廻される快感を覚えちゃったんだもんね…   (2024/10/27 07:21:13)

エロガキ♂12Ω ◆> 複数に目覚めてて芝生える。これがビッチ落ちと言う奴か   (2024/10/27 07:21:18)

キタサンブラック> 仕返しされるためにお相手してる部分もありますからね～♪   (2024/10/27 07:21:21)

キタサンブラック> では3戦目！　2d13どうぞ～   (2024/10/27 07:21:31)

エロガキ♂12Ω ◆> 2d13 → (13 + 13) = 26  (2024/10/27 07:21:38)

エロガキ♂11T> 2d13 → (6 + 3) = 9  (2024/10/27 07:21:40)

エロガキ♂15JP> むぅ、なら次は勝ってやるもん！   (2024/10/27 07:21:43)

クラリス ◆> 20だ〜   (2024/10/27 07:21:50)

エロガキ♂15JP> 2d13 → (4 + 13) = 17  (2024/10/27 07:21:51)

エロガキ♂12Ω ◆> お、20だ   (2024/10/27 07:21:53)

キタサンブラック> Ωさんが20（トップのみカウントしますね   (2024/10/27 07:21:59)

キタサンブラック> 1d13 → (8) = 8  (2024/10/27 07:22:02)

キタサンブラック> 間違えた！   (2024/10/27 07:22:07)

キタサンブラック> 2d13 → (3 + 13) = 16  (2024/10/27 07:22:10)

キタサンブラック> 13なので追加って8だったらブラックジャックだった   (2024/10/27 07:22:27)

エロガキ♂12Ω ◆> しかもキングのペアだぞ(謎に強そう)   (2024/10/27 07:22:29)

キタサンブラック> 1d13 → (11) = 11  (2024/10/27 07:22:33)

キタサンブラック> バーストぉ   (2024/10/27 07:22:38)

クラリス ◆> 2d13 → (9 + 12) = 21  (2024/10/27 07:22:44)

エロガキ♂15JP> キタちゃん連続だー   (2024/10/27 07:22:51)

キタサンブラック> 19ですから、もう一枚かな？   (2024/10/27 07:22:57)

エロガキ♂12Ω ◆> クラリス姉ちゃん19か、一瞬ドキッとした   (2024/10/27 07:23:10)

クラリス ◆> 19、普通なら素敵だけど負けちゃうので追加   (2024/10/27 07:23:12)

エロガキ♂15JP> 決めたら凄い   (2024/10/27 07:23:18)

クラリス ◆> 1d13 → (4) = 4  (2024/10/27 07:23:21)

クラリス ◆> ですよねー   (2024/10/27 07:23:28)

キタサンブラック> では、Ωさん1れす命令どうぞ～   (2024/10/27 07:23:34)

エロガキ♂12Ω ◆> はい、二人共バースト。おっぱいおっぱい。   (2024/10/27 07:23:48)

エロガキ♂12Ω ◆> じゃあ、これからの参考に二人共これされるの弱いなーって弱点とかプレイ聞かせて。   (2024/10/27 07:24:29)

エロガキ♂15JP> どうぞ〜   (2024/10/27 07:25:22)

キタサンブラック> 可愛い子二人くらいでの輪姦とかですかねぇ？時間はかかりますが、即ハメよりは……濡らすか何かしら手は込んでいただけると助かりますが＞ここでの期待内容の主   (2024/10/27 07:25:28)

エロガキ♂12Ω ◆> キタサン姉ちゃんも複数好きなのね   (2024/10/27 07:26:32)

キタサンブラック> まぁ、詳しくはそこのJPさんにでも聞いてください。   (2024/10/27 07:26:51)

クラリス ◆> 初手からガツガツされるよりは後半にかけてペースアップしてもらいたい派です   (2024/10/27 07:26:56)

エロガキ♂15JP> された側だしね！   (2024/10/27 07:27:11)

キタサンブラック> それは、そう＜後半にむけて～   (2024/10/27 07:27:14)

キタサンブラック> では4戦目！   (2024/10/27 07:27:19)

エロガキ♂12Ω ◆> クラリス姉は追い込み派と   (2024/10/27 07:27:22)

キタサンブラック> たぶんラスト！   (2024/10/27 07:27:25)

エロガキ♂11T> なるほど、クラリスお姉さんはゆっくりからの最後さしきりか   (2024/10/27 07:27:26)

エロガキ♂12Ω ◆> 時間的にラスト勝負！   (2024/10/27 07:27:32)

エロガキ♂11T> 2d13 → (1 + 11) = 12  (2024/10/27 07:27:43)

エロガキ♂15JP> 2d13 → (5 + 4) = 9  (2024/10/27 07:27:45)

エロガキ♂12Ω ◆> 2d13 → (6 + 7) = 13  (2024/10/27 07:27:47)

キタサンブラック> Tさんブラックジャック！？   (2024/10/27 07:27:53)

キタサンブラック> 1d13 → (1) = 1  (2024/10/27 07:27:58)

エロガキ♂12Ω ◆> お、11BJ！   (2024/10/27 07:28:00)

キタサンブラック> またぁ！   (2024/10/27 07:28:03)

エロガキ♂15JP> 強いっ！   (2024/10/27 07:28:08)

クラリス ◆> うわー≫BJ   (2024/10/27 07:28:08)

キタサンブラック> ２ｄ１３ → (13 + 1) = 14  (2024/10/27 07:28:09)

エロガキ♂12Ω ◆> ブラックジャックによろしくぅ！   (2024/10/27 07:28:14)

キタサンブラック> と、返しちゃった（てへ   (2024/10/27 07:28:15)

クラリス ◆> レベル高いよ！？   (2024/10/27 07:28:33)

エロガキ♂12Ω ◆> そしてキタサン姉ちゃんも決めて行くぅ！   (2024/10/27 07:28:36)

エロガキ♂15JP> やらかしてからの末脚！？   (2024/10/27 07:28:42)

クラリス ◆> 2d13 → (7 + 2) = 9  (2024/10/27 07:28:43)

クラリス ◆> 1d13 → (1) = 1  (2024/10/27 07:28:55)

クラリス ◆> 20   (2024/10/27 07:29:00)

エロガキ♂12Ω ◆> クラリス姉ちゃんは20か   (2024/10/27 07:29:07)

キタサンブラック> では、優位で勝たせていただいてアタシから   (2024/10/27 07:29:26)

キタサンブラック> ガキの皆さん、最後にしたオナニーのおかずネタはなんですか？   (2024/10/27 07:29:32)

エロガキ♂12Ω ◆> 一応勝敗くっきり付けるならジャックとキングの差でキタサン姉ちゃんが上かな   (2024/10/27 07:29:37)

エロガキ♂11T> そういうことなのか   (2024/10/27 07:30:03)

キタサンブラック> 今回は数値で、勝ち組の女性陣有利という形式ですので   (2024/10/27 07:30:04)

エロガキ♂12Ω ◆> んーと藤ます先生のナルメア本一式？   (2024/10/27 07:30:25)

キタサンブラック> 本来なら、絵札の強さだったり、3枚以上ではない2枚のブラックジャックや　5枚引いた場合などの特殊ルールがありますがまぁまぁ   (2024/10/27 07:30:42)

クラリス ◆> おっきいほうが好き？（じと）≫ナルメアさん   (2024/10/27 07:31:08)

エロガキ♂15JP> おかずネター…オリジナル配信者キャラさんがリスナーとネカフェの個室でおふぱこ配信をするやつかなー   (2024/10/27 07:31:26)

エロガキ♂11T> おかずネタは強気な女の子を牝に落とすやつ   (2024/10/27 07:32:07)

エロガキ♂12Ω ◆> んー、大きいのが好きだけどクラリス姉ちゃんも大きくない？ちゃんとクラリス姉ちゃんの本でも抜いたことあるよー。クラリス姉ちゃんヤキモチ？   (2024/10/27 07:32:22)

キタサンブラック> Vさんとかのオフパコですか～ホロとかにじとかアタシも好きですからね～   (2024/10/27 07:32:27)

エロガキ♂15JP> 菖蒲さんのだー   (2024/10/27 07:32:31)

クラリス ◆> ここに出入りしてるVの方々を思い浮かべてしまいました（風評被害）   (2024/10/27 07:32:31)

キタサンブラック> Tさん、歳の割に一番食い気つよい！？＜屈服、クッころ系！？   (2024/10/27 07:32:45)

クラリス ◆> 言わなくていいから、いいから！≫うちでも抜いた   (2024/10/27 07:33:02)

キタサンブラック> と、ではではお時間すぎてますし、本日の罰ゲームはここまでですかね～   (2024/10/27 07:33:08)

クラリス ◆> おつかれさまー   (2024/10/27 07:33:20)

エロガキ♂11T> そうそう、負けるわけないじゃんといいながら、牝落ちする感じ   (2024/10/27 07:33:26)

エロガキ♂12Ω ◆> へーい、対戦ありがとー。   (2024/10/27 07:33:27)

エロガキ♂15JP> 最後のおかずネタが1番恥ずかしい！   (2024/10/27 07:33:29)

エロガキ♂15JP> たいありでしたー。次は負けない！またねー！   (2024/10/27 07:33:47)

キタサンブラック> 団長さんとかおっぱい大きいのいいですもんね～（にやにや   (2024/10/27 07:33:54)

エロガキ♂11T> 終わり   (2024/10/27 07:33:55)

クラリス ◆> キタちゃんは罰のキレも違った件   (2024/10/27 07:33:57)

おしらせ> エロガキ♂15JPさんが退室しました。  (2024/10/27 07:33:58)

おしらせ> エロガキ♂11Tさんが退室しました。  (2024/10/27 07:34:08)

キタサンブラック> では～おつキタでした～   (2024/10/27 07:34:17)

おしらせ> キタサンブラックさんが退室しました。  (2024/10/27 07:34:26)

おしらせ> クラリス ◆vp1gp540pWaYさんが退室しました。  (2024/10/27 07:34:29)

エロガキ♂12Ω ◆> おつおつー。   (2024/10/27 07:34:37)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが退室しました。  (2024/10/27 07:34:40)

おしらせ> エロガキ♂11Tさんが入室しました♪  (2024/10/27 10:24:19)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (2024/10/27 10:24:56)

おしらせ> 高海千歌♀16さんが入室しました♪  (2024/10/27 10:25:09)

エロガキ♂11T> クラリスお姉さんは来ないのか…   (2024/10/27 10:25:36)

高海千歌♀16> あれれ、18さんも勝負だけなのかなーって思ってましたが…   (2024/10/27 10:25:36)

エロガキ♂11T> 自分は落ちますね～   (2024/10/27 10:26:06)

おしらせ> エロガキ♂11Tさんが退室しました。  (2024/10/27 10:26:10)

エロガキ♂18D ◆> ふむ…もし11さんが来るのなら、譲るつもりでは居たのですが……   (2024/10/27 10:26:34)

高海千歌♀16> そうですかっ！では私達も落ちましょーかっ！   (2024/10/27 10:27:03)

エロガキ♂18D ◆> と言っても、来たら来たで見るだけでしたので……   (2024/10/27 10:27:09)

エロガキ♂18D ◆> いえ、これはこれ、今は今で状況変わりましたので……罰はうけて貰いますよ   (2024/10/27 10:27:39)

エロガキ♂18D ◆> まぁ、痛いこと等をする趣味はないので……そこは安心して戴けると？   (2024/10/27 10:28:27)

高海千歌♀16> ぇ…んんー…ほんとに…ですか…？では時間決めます、か？   (2024/10/27 10:28:32)

エロガキ♂18D ◆> ええ、時間を……自分が振るんでしたね   (2024/10/27 10:30:03)

エロガキ♂18D ◆> 10d3+10 → (1 + 3 + 2 + 2 + 1 + 1 + 3 + 3 + 3 + 2) + 10 = 31  (2024/10/27 10:30:18)

エロガキ♂18D ◆> 平均より……11時1分まで、ですね。   (2024/10/27 10:30:42)

高海千歌♀16> ンンン…長ぃ…   (2024/10/27 10:31:06)

エロガキ♂18D ◆> では、ちゃちゃっとやりましょうか。服を脱いで下着姿に……せっかくですから、どんな罰をしようとしていたのか、聞いちゃいましょうか？   (2024/10/27 10:31:27)

高海千歌♀16> ンン…(服を脱いで…下着を両手で隠するようにして)その…恥ずかしい系というか…股間を取り出して恥ずかしい言葉で自己紹介させようとしてましたが…   (2024/10/27 10:33:58)

エロガキ♂18D ◆> おぉ……(脱衣シーンを見ながら)なるほど……ではせっかくです、思いつく限りの恥ずかしい言葉マシマシで自己紹介……それに下着も隠さず、スリーサイズも全部洗いざらい自己紹介して貰いましょうか？   (2024/10/27 10:36:29)

高海千歌♀16> うぅ…(ぺたんとその場にしゃがんで…三角座りで少しショーツを見せながら)その…高海千歌です…82,59,83です…負けたので罰を受けます…私のいやらしい身体でご奉仕させていただきます/////   (2024/10/27 10:40:35)

エロガキ♂18D
◆> こらこら、そんなにしたらショーツがはっきり見えないじゃないですか…脚をがぱぁって開いて、しっかりいやらしい身体を見せてください、千歌さん？じゃあお望み通り…奉仕をお願いできますか？(ズボンをゆっくり下ろしていき、既に大きくなり、反った綺麗なものを千歌さんの目の前に差し出して)
  (2024/10/27 10:43:48)

高海千歌♀16> は、はぃ…(両脚をM字に大きく広げて…)ひっ…ご奉仕します…んっ、はむっ…(小さな口で咥えて)ん…もご…(上目遣いで先端の膨らみを咥えて舌で舐めて)んん…恥ずかしい…もご…ちゅぷ…   (2024/10/27 10:46:28)

エロガキ♂18D ◆> んっ……♡上手いですよ千歌さん……しかし奉仕を受けるだけなのも、申し訳ないので……(小さな口での健気なご奉仕に吐息を漏らし、片方の手は頭を撫でながら、もう片方の手はそのまま伸ばして近づかせて、ブラ越しの胸を優しく揉んで)  
(2024/10/27 10:49:37)

高海千歌♀16> んん…じゅぷ…(少し深く咥え込んでは前後に動いて…根元を指で包みこんでゆっくりとしごくように動かして)はぁはぁ…ンッンッ…(可愛い瞳で男を見あげながら)んぁ…(スポブラの上からイジられてピクンと目を閉じて反応して)   (2024/10/27
10:52:33)

エロガキ♂18D
◆> んっ……ふっ……気持ちいいですけど、苦しい時は無理しないでいいですからね？千歌さん……(無理しなくていいと気遣いながら優しく頭…見上げられたおでこ辺りを撫でながら、スポブラ越しの確かにある美乳を揉んで…竿の刺激には、気持ち良さそうな顔をしながら、吐息と先走りを漏らして)
  (2024/10/27 10:56:06)

高海千歌♀16> んん…罰ですから…ンン…(熱くて蕩けそうな口で男のモノを包み込んで、時々熱い息を吹きかけて)はぁ…じゅぽ…じゅぽ…(時々ゆっくりと前後にしゃぶって)これ、わたし…恥ずかしいよぉ…んもご…きもちぃぃですか？ん、ハァハァ…(口を離して顔の前で指で激しくしごいて)
  (2024/10/27 10:59:01)

エロガキ♂18D
◆> んっ……はぁっ……千歌さん……ぐっ……！！ち、か……さんっ♡♡(ぎこちなくもゆっくりで優しい奉仕に腰に力が入ってしまい、んぐっと腰を曲げるとびゅくっ、ぶびゅっと濃厚なものを出してしまって……それと同時にスポブラ越しに揉んでいた胸もきゅっと揉んで…)ふぅ、ふぅ……ありがとうございました…気持ちよかったですよ。
  (2024/10/27 11:02:59)

高海千歌♀16> んぁ…(白濁液が顔面にかかり)はぁはぁ…ご奉仕終了ですね…ふぅ…ちょうど時間ですねっ！   (2024/10/27 11:04:46)

高海千歌♀16> それでは失礼しますねっ！またの機会あればー   (2024/10/27 11:05:05)

エロガキ♂18D ◆> ええ、またです。出会えることを楽しみにしてますよ。それでは。   (2024/10/27 11:05:59)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (2024/10/27 11:06:03)

おしらせ> 高海千歌♀16さんが退室しました。  (2024/10/27 11:06:50)

おしらせ> エロガキ♂15JPさんが入室しました♪  (2024/10/27 14:40:06)

おしらせ> ロサード ◆vp1gp540pWaYさんが入室しました♪  (2024/10/27 14:40:09)

エロガキ♂15JP> (クッションぽふぽふ)   (2024/10/27 14:40:17)

ロサード ◆> 10d3 → (1 + 3 + 3 + 2 + 3 + 1 + 3 + 1 + 3 + 1) = 21  (2024/10/27 14:40:30)

ロサード ◆> 15時1分まで   (2024/10/27 14:40:42)

ロサード ◆> いや、男を食う趣味ないからな！？   (2024/10/27 14:40:57)

エロガキ♂15JP> うげぇ、ちょっと長めだー   (2024/10/27 14:41:00)

エロガキ♂15JP> あ、無いのね(ちょっと安心)   (2024/10/27 14:41:16)

ロサード ◆> 逆に聞きたいんだけど、オレみたいなの捕まえて具体的に何すんの？【主に質問タイムです】   (2024/10/27 14:41:48)

エロガキ♂15JP> うーん、そうだね〜。お膝の上に座らせてちんちんを扱いたり、入れながら扱いたりかなー？   (2024/10/27 14:42:53)

ロサード ◆> よーするに、男も女もなく穴に突っ込めれば良しってやつか…？   (2024/10/27 14:44:08)

エロガキ♂15JP> 短かったら咥えて貰ったりするからー、時間次第で変わる感じ〜(長いなら入れて、短いなら咥えて)   (2024/10/27 14:44:09)

エロガキ♂15JP> よしになるのかなー？男の娘さんなら見た目に反してついてるぎゃっぷ？があるから女の子と違う楽しみ方があるからねー   (2024/10/27 14:45:15)

ロサード ◆> まるでイメージわかねえし実際に負けたとき立ち振舞に困るな…なあ、とりあえず振りたけでいいから実演いいか？（そう言うと自分から15の膝上に腰掛け）   (2024/10/27 14:46:35)

ロサード ◆> （ラップスカートの裾も豪快にばさーっと）   (2024/10/27 14:47:08)

ロサード ◆> （尻も性別相応に厚いので残念ながら？ 下着は色気よりも実用性重視の幅広タイプ）   (2024/10/27 14:48:14)

エロガキ♂15JP> されてみないと分からないもんね！良いけど〜何処までしたら良いのー？(膝の上に座られると何処までしたら良いのか分からないから、とりあえず下着に右手を伸ばして、手の平で竿を下着越しに撫でるように触ってみて)   (2024/10/27
14:48:59)

