/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年11月04日 09時25分 ～ 2024年11月04日 17時15分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

キタサンブラック> 最近、一番最後にオカズにしたのは何？   (2024/11/4 09:25:34)
エロガキ♂１３S ◆> 後乗位セックスです   (2024/11/4 09:38:28)

キタサンブラック> これで最後、何か一言どうぞ～   (2024/11/4 09:38:31)

エロガキ♂１３S ◆> 変態は男にとって正常運転   (2024/11/4 09:39:26)

キタサンブラック> はい、19分、お疲れ様でした～♪   (2024/11/4 09:39:43)

エロガキ♂１３S ◆> はー恥ずかしかった…特定されないかな…   (2024/11/4 09:40:04)

キタサンブラック> 特定されるほどの情報は何も出してないと思いますけど……何かありましたかね？   (2024/11/4 09:40:27)

エロガキ♂１３S ◆> いや、別に…   (2024/11/4 09:41:25)

キタサンブラック> ？？？　まぁ、とりあえずお付き合いありがとうございました～♪　最近、この1レス1答するのが結構好きで～   (2024/11/4 09:42:02)

キタサンブラック> また、遊びましょうね♪（ん～ん、次は何しようかな～）   (2024/11/4 09:42:30)

エロガキ♂１３S ◆> はい、お相手ありがとうございました   (2024/11/4 09:42:45)

おしらせ> エロガキ♂１３S ◆i6fJKa45IIさんが退室しました。  (2024/11/4 09:42:53)

キタサンブラック> では、お疲れ様でした～   (2024/11/4 09:42:59)

おしらせ> キタサンブラックさんが退室しました。  (2024/11/4 09:43:03)

おしらせ> 澁谷かのん♀さんが入室しました♪  (2024/11/4 13:17:25)

おしらせ> エロガキ♂15Rさんが入室しました♪  (2024/11/4 13:17:31)

おしらせ> ユイさんが入室しました♪  (2024/11/4 13:17:36)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが入室しました♪  (2024/11/4 13:17:41)

おしらせ> 花海佑芽さんが入室しました♪  (2024/11/4 13:17:50)

おしらせ> エロガキ♂10soxさんが入室しました♪  (2024/11/4 13:18:12)

ユイ> 佑芽ちゃんとかのんちゃんは何か希望あるのかな…？わ…わたしは勝ったの初めてだから…悩んじゃうけど   (2024/11/4 13:18:39)

エロガキ♂15R> ど、どうなっちゃうのかな…？   (2024/11/4 13:18:55)

花海佑芽> えっと、かのんさんが指名するか、指名順をサイコロで決めるか、選べるみたいです   (2024/11/4 13:19:11)

澁谷かのん♀> ん〜、私も初めてだけど…   (2024/11/4 13:19:18)

澁谷かのん♀> 1対1で罰をするかんじなのかな？   (2024/11/4 13:19:56)

花海佑芽> あとは特に指名を決めずに   (2024/11/4 13:20:03)

花海佑芽> ゲームとかお話して   (2024/11/4 13:20:14)

ユイ> 先ずは時間だけ決めちゃう？   (2024/11/4 13:20:18)

澁谷かのん♀> そだね、そうしよっか！   (2024/11/4 13:20:26)

花海佑芽> 罰なしというパターンもあります   (2024/11/4 13:20:32)

澁谷かのん♀> 10d3 → (2 + 1 + 1 + 2 + 2 + 3 + 2 + 3 + 1 + 2) = 19  (2024/11/4 13:20:34)

エロガキ♂15M ◆> 罰が思いつかないなら、マッサージでもしてあげよっかぁ？(ニッコリ笑顔で、手をﾜｷﾜｷ…ﾜｷﾜｷ…)   (2024/11/4 13:20:53)

澁谷かのん♀> なるほどね〜、取り敢えず調子乗ってる15M君、そこに正座ね(いらっ)   (2024/11/4 13:21:16)

エロガキ♂10sox> こちらが負けたわけだから勝者に従うだけだね   (2024/11/4 13:21:25)

ユイ> 丁度、40分までかな？   (2024/11/4 13:21:42)

花海佑芽> 40分にしましょうか（きりがいい）   (2024/11/4 13:21:42)

ユイ> うんうん♪   (2024/11/4 13:21:51)

エロガキ♂15M ◆> 提案しただけなのに！？……はい…(大人しく正座…したけどさぁ…)   (2024/11/4 13:22:02)

澁谷かのん♀> そうだね、取り敢えず指名無しで話しつつさせたい事があったらさせてみる？   (2024/11/4 13:22:05)

エロガキ♂15R> お姉さん達楽しそうっ   (2024/11/4 13:22:11)

花海佑芽> そうしましょう！   (2024/11/4 13:22:15)

ユイ> 佑芽ちゃんもかのんちゃんも優しいから安心だね？えへへ   (2024/11/4 13:22:35)

澁谷かのん♀> 勝った相手にセクハラしようなんて考える子は許さないけどね…   (2024/11/4 13:23:08)

エロガキ♂15M ◆> 優しい…？ボクは今、正座させられてるのに…？(疑いの目を向けつつ…)   (2024/11/4 13:23:13)

エロガキ♂15R> (優しそうな人達でホッとする)   (2024/11/4 13:23:23)

花海佑芽> ちなみにsoxさんとRさんは何するつもりでしたか？   (2024/11/4 13:23:31)

ユイ> えっ…で、でも！正座で済むなら…ね？♡   (2024/11/4 13:23:41)

澁谷かのん♀> 確かに、私たちに勝ったら何したかったか聞いてみようか   (2024/11/4 13:23:58)

エロガキ♂15M ◆> にゃ？！にゃんのことかにゃぁ〜……ボクはただ善意で提案しただけ…なのに…(ﾌﾟｲｯ、目逸らし)   (2024/11/4 13:24:10)

花海佑芽> マッサージならあたしがしますよ、全力で！（※悲鳴あげるくらい痛いです。）   (2024/11/4 13:24:47)

ユイ> (2人とも心強いなぁ…なんて瞳、輝かせて)   (2024/11/4 13:24:54)

エロガキ♂15R> そ、その…ぼくは…お姉さん達とエッチな事を……っ♡(質問に正直に答えちゃう♡)   (2024/11/4 13:25:18)

エロガキ♂10sox> それは…………（と、かのん、祐芽、ユイと見てから……）正直に言うとお相手次第で延長可能でパイズリ&中だしsoxだね   (2024/11/4 13:25:44)

エロガキ♂15M ◆> ひぇ…、遠慮しておきます……(そんな提案されたら、完全に萎縮しちゃうよ)   (2024/11/4 13:25:47)

澁谷かのん♀> へぇ…もっと具体的には？＞15R君   (2024/11/4 13:25:58)

花海佑芽> 達、ってことは三人まとめて？（じっ）＞Rさん   (2024/11/4 13:26:37)

澁谷かのん♀> そ、れ、と、15M君も答えてね、私たちに何するつもりだったのか   (2024/11/4 13:27:11)

エロガキ♂15M ◆> くっ…見逃されなかった…！   (2024/11/4 13:27:22)

ユイ> かのんちゃんの圧…！   (2024/11/4 13:27:39)

澁谷かのん♀> 10君の回答はよし…ま、内容的には絶対お断りだけどね(不敵な笑み。)   (2024/11/4 13:28:00)

エロガキ♂15R> え、えっと…ちゅーと、あの…お手でして欲しかった、な…って…あの…皆さん魅力的だから…♡(3人それぞれ見ながらもじもじ言葉を紡いで)   (2024/11/4 13:28:17)

エロガキ♂10sox> 今回の勝負は負けたから致し方なしだよ→かのん   (2024/11/4 13:28:50)

エロガキ♂15M ◆> 何って…そんなの決まってるじゃん！ボクのこれで、女の子たちの可愛い声が聞きたかっただけだよ？♡(正座したままスカートの裾を持ち上げれば、熱り立って大きく脈打つおちんぽが…♡)   (2024/11/4 13:29:18)

花海佑芽> （同じチームでもやるレベルが全然ちがうなあって内心びくびく）＞Rさん、soxさん   (2024/11/4 13:29:59)

澁谷かのん♀> ちょっ…私には見せなくていい！(目を逸らして)   (2024/11/4 13:30:04)

ユイ> 15Mくんも可愛い声、出しそうなのに…えへへ   (2024/11/4 13:30:14)

澁谷かのん♀> ま、取り敢えずこの質問はこれくらいにして…私からもう一個質問！   (2024/11/4 13:30:57)

花海佑芽> お願いですからスカートはいたまま見せつけないでください！（悲鳴）＞Mさん   (2024/11/4 13:31:01)

エロガキ♂15M ◆> えぇ？何恥ずかしがってんの…？(ﾆﾔﾆﾔ♡ｸｽｸｽ♡)   (2024/11/4 13:31:11)

澁谷かのん♀> 3人が私たちから選ぶなら、誰を選んでた？罰するわけじゃないし、被っても構わないよ   (2024/11/4 13:31:28)

花海佑芽> 恥ずかしがらないわけないじゃないですか！！   (2024/11/4 13:31:30)

澁谷かのん♀> 15M君、正座10分間追加ね(ニッコリ)   (2024/11/4 13:31:43)

ユイ> 10分追加は…地味にきついね⁉︎   (2024/11/4 13:32:13)

花海佑芽> あ、それはすごく気になります（ずいっ）＞誰を選んでた？   (2024/11/4 13:32:16)

エロガキ♂15M ◆> からかうの面白……うぇぇ！？！？追加ぁぁ！？(脚痺れてくるんだけどぉぉ)   (2024/11/4 13:32:27)

エロガキ♂10sox> 順番で言うけど裕芽お姉さん、かのんお姉さん、ユイお姉さんの順番かな（こちらが一番に選べる訳じゃないので）   (2024/11/4 13:32:56)

花海佑芽> 今からだと最後（40分）までエンドレス正座ですね！   (2024/11/4 13:33:00)

エロガキ♂15R> お一人なら…あの…佑芽さん……ですね//(もちろん全員魅力的です！)   (2024/11/4 13:33:51)

エロガキ♂15M ◆> んー……かのんちゃんとか？生意気そうな態度の子をたくさん鳴かせるの好きだから♡もちろん、他の2人にも期待してたけどね♪   (2024/11/4 13:33:56)

澁谷かのん♀> 佑芽ちゃんも気持ち悪がってたし当然   (2024/11/4 13:33:58)

エロガキ♂10sox> 今回は負けてるからおとなしくしているだけだよ→佑芽　（名前間違えてた､ごめんなさい…………orz）   (2024/11/4 13:34:35)

澁谷かのん♀> へぇ〜……(ジト目)あの部屋の子達ってやっぱ本気で目当てにしてくるんだねぇ……   (2024/11/4 13:35:16)

花海佑芽> そ、そうですか（すごく見られてたし何となく察しつつ両手で胸隠し）   (2024/11/4 13:35:28)

エロガキ♂15M ◆> くっそ〜……ガキのちんぽ如きで騒ぐ雑魚メスたちがぁぁ…(涙目睨み) うっ…痺れが…脚の、感覚がぁぁ……   (2024/11/4 13:36:11)

花海佑芽> 【むずかしい漢字ですし仕方ないです！】＞soxさん   (2024/11/4 13:36:19)

ユイ> あと4分だから頑張ろう？♪   (2024/11/4 13:36:43)

エロガキ♂10sox> 寧ろ目当てにしないであの部屋にいくとは思えない。雑談部屋もあるからね→かのん   (2024/11/4 13:36:56)

花海佑芽> （ユイさんもなにげにスパルタだー！）   (2024/11/4 13:37:05)

ユイ> えっ…は、励ましたんだよっ⁉︎   (2024/11/4 13:37:31)

エロガキ♂10sox> 【ありがとうございます→佑芽】   (2024/11/4 13:37:43)

エロガキ♂15M ◆> きゅぅぅ………はいぃ……(頑張ろうと言われたら、素直に従うしか…)   (2024/11/4 13:37:46)

澁谷かのん♀> さてと、後ちょっとだけど2人は何かあるかな？   (2024/11/4 13:37:58)

花海佑芽> （ユイさんのヘイトコントロールに学びを得た顔）   (2024/11/4 13:38:25)

エロガキ♂15R> (15Mさん見て、質問だけで良かったなぁ…ってホッとした顔)   (2024/11/4 13:39:10)

花海佑芽> じゃあ最後に、エッチなこと以外の特技おしえてください！＞全員   (2024/11/4 13:39:23)

澁谷かのん♀> 一瞬でもセクハラしたら即正座の予定だったけどね(にや。)   (2024/11/4 13:39:43)

ユイ> 答えて丁度、時間かな？   (2024/11/4 13:39:50)

澁谷かのん♀> だね、そうしよっか   (2024/11/4 13:39:58)

エロガキ♂15M ◆> え〜……まんまと罠に嵌められたってこと…？   (2024/11/4 13:40:00)

花海佑芽> ですね！   (2024/11/4 13:40:01)

澁谷かのん♀> 私がほとんど時間使っちゃって申し訳ないけど…   (2024/11/4 13:40:12)

エロガキ♂10sox> ゲームやアニメ、漫画、ラノベの話とかかな？後はTRPG   (2024/11/4 13:40:12)

花海佑芽> （まあ罰の時間ですからね）   (2024/11/4 13:40:21)

エロガキ♂15M ◆> 特技はスポーツ！これでもスタミナはある方だよ♪   (2024/11/4 13:40:33)

ユイ> 寧ろわたしは罰とか全然、思いつかないから…助かっちゃったよ   (2024/11/4 13:40:48)

エロガキ♂15R> 特技……100円玉なら並べた状態で持てば枚数分かる…とか…？   (2024/11/4 13:40:58)

花海佑芽> どうやって間をもたせるか考えてたのでむしろ感謝です！＞かのんさん   (2024/11/4 13:41:10)

花海佑芽> （チャイムの音）   (2024/11/4 13:41:48)

ユイ> お疲れ様でした♡   (2024/11/4 13:42:00)

澁谷かのん♀> さて、みんな答えたしこれで終わりかな？   (2024/11/4 13:42:02)

花海佑芽> 終わりにしましょう！   (2024/11/4 13:42:16)

エロガキ♂10sox> 皆様お疲れ様でした～   (2024/11/4 13:42:17)

澁谷かのん♀> 2人とも援護ありがとね〜！私一人じゃ勝てなかったよ！   (2024/11/4 13:42:17)

エロガキ♂15M ◆> よしっ！時間だ！(やっと解放されたのはいいけど、立てないよね！？) お、おつかれさま〜……痺れ、取れない……   (2024/11/4 13:42:35)

澁谷かのん♀> お疲れ様〜   (2024/11/4 13:42:46)

ユイ> ううん、わたしの方こそ楽しかったよ、2人ともありがとう♪見掛けたらまた支援させて貰うね   (2024/11/4 13:42:50)

おしらせ> 澁谷かのん♀さんが退室しました。  (2024/11/4 13:42:52)

エロガキ♂15R> お疲れ様でした♡次は勝ちますっ！   (2024/11/4 13:42:53)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが退室しました。  (2024/11/4 13:43:06)

おしらせ> エロガキ♂15Rさんが退室しました。  (2024/11/4 13:43:06)

花海佑芽> あたしこそ最初しか力を出せなかったので助かりました、次またみんなで頑張りましょう！   (2024/11/4 13:43:08)

おしらせ> 花海佑芽さんが退室しました。  (2024/11/4 13:43:15)

おしらせ> ユイさんが退室しました。  (2024/11/4 13:43:17)

おしらせ> エロガキ♂10soxさんが退室しました。  (2024/11/4 13:43:21)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/4 14:16:20)

おしらせ> エロガキ♂10soxさんが入室しました♪  (2024/11/4 14:16:35)

おしらせ> クラリス ◆vp1gp540pWaYさんが入室しました♪  (2024/11/4 14:16:42)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが入室しました♪  (2024/11/4 14:16:47)

おしらせ> ロイヤルフォーチュンさんが入室しました♪  (2024/11/4 14:16:59)

おしらせ> キタサンブラックさんが入室しました♪  (2024/11/4 14:17:05)

エロガキ♂14C ◆> 15Mくん采配よろしくー   (2024/11/4 14:17:25)

エロガキ♂15M ◆> サクサクっとお相手決めてこっか！ガキ側は入室順で指名してって〜   (2024/11/4 14:17:47)

エロガキ♂10sox> 今回は15Mさん主導だね   (2024/11/4 14:18:03)

エロガキ♂10sox> 僕は最後だから15Mさん、14cさん、僕の順だね   (2024/11/4 14:19:07)

クラリス ◆> （どーきどきどきどき）   (2024/11/4 14:19:18)

ロイヤルフォーチュン> くっそー、まーしょうがないなー。勝負は時の運だもんねー   (2024/11/4 14:19:29)

キタサンブラック> そういえば、ロイフォさんとは初めてだけど、クラリスさんとこっちでご一緒は久しぶり、ですかね？   (2024/11/4 14:19:58)

エロガキ♂15M ◆> あ、そっちの順番か！てっきり罰部屋への入室順だと思ってた！？   (2024/11/4 14:19:59)

エロガキ♂15M ◆> 早速決めちゃうね！キタちゃん！   (2024/11/4 14:20:16)

エロガキ♂14C ◆> クラリスおねーさんもーらい   (2024/11/4 14:20:30)

ロイヤルフォーチュン> ううん？ 昨日入ったばっかりなんだよー！ よろしくね！＞キタちゃん   (2024/11/4 14:20:36)

キタサンブラック> はい、わかりましたアスｔ……15マゾさんですね   (2024/11/4 14:20:48)

エロガキ♂10sox> 勝負部屋待機順って明記されてたから間違いないかと思います   (2024/11/4 14:20:51)

エロガキ♂15M ◆> だね、ボクの注意不足でした！   (2024/11/4 14:21:17)

エロガキ♂15M ◆> 10d3+10 → (3 + 2 + 2 + 2 + 2 + 2 + 1 + 2 + 2 + 3) + 10 = 31  (2024/11/4 14:21:27)

クラリス ◆> わりと久しぶりですね！（一緒に負け）≫キタちゃん   (2024/11/4 14:21:37)

エロガキ♂15M ◆> そして時間は52分まで〜   (2024/11/4 14:21:39)

キタサンブラック> では、52～53分まで～ですね（確認よし！   (2024/11/4 14:22:00)

ロイヤルフォーチュン> やーん！？30分ってわりとこう、結構いろいろできちゃう！？   (2024/11/4 14:22:03)

キタサンブラック> はい、では何から始めましょうか？（ちょこんと座って……まずは待ちの姿勢）   (2024/11/4 14:22:23)

クラリス ◆> それが意外と短くてですね（30分）   (2024/11/4 14:22:45)

エロガキ♂14C ◆> お出かけ前だからあまりハードにするつもりないんだよねーっ、て事でー。（クラリスおねーさんの背後に回ってぎゅーって抱き着きつつ、耳に吐息吹きかけて）……公開オナニーでどうかな♪僕はお手伝い！   (2024/11/4 14:23:09)

ロイヤルフォーチュン> んじゃ私の相手は10くんってことでいーのかなー？   (2024/11/4 14:23:15)

クラリス ◆> えええええ公開！？！？   (2024/11/4 14:23:39)

エロガキ♂15M ◆> そうだね……壁尻とかやってみない？(穴の開いた壁がドン！)   (2024/11/4 14:23:51)

エロガキ♂10sox> フォーチュンさんがお相手ですね、よろしくお願いいたします。ちなみに移動します？→多目的部屋へ   (2024/11/4 14:23:51)

エロガキ♂14C ◆> どーせここでやったら公開じゃない？（ぼそぼそ）   (2024/11/4 14:24:19)

エロガキ♂15M ◆> 脚と上半身は穴に通して前に、お尻だけ突き出す感じで♪   (2024/11/4 14:24:53)

クラリス ◆> （ぷしゅーっと顔から煙を吹き出しつつも罰なので受け入れるしかなく）お、お手伝いくんはどこを触るの、かな？   (2024/11/4 14:25:01)

ロイヤルフォーチュン> ルブルだったら変わらないし私もみんなと一緒にワイワイしたいかな～、10くんがどーしても、っていうなら移動するよ？ 敗者に選択権はないのだー＞10くん   (2024/11/4 14:25:02)

エロガキ♂10sox> 皆さんに見られながらされたいならそれもかまいませんけどね？（フォーチュンのブラっぽいのずらして､おっぱい揉みしだき…………）   (2024/11/4 14:25:17)

キタサンブラック> うっ……マジですか、動けないって結構大変なんですけど、そういうことなら仕方ない（首と手首で向こう側に行くタイプか、お胸から下で挟まるタイプか……どっちにしても壁の方に行きまして）って足も行くタイプだと本当にコレ……う、ううぅ  
(2024/11/4 14:25:22)

キタサンブラック> （壁の穴に、おトイレの便座みたいに座る感じの……ホンッとウニお尻だけ出るタイプ？あの、スパッツは脱がないとですよね？脱いでるとその、お尻突き出してなんでお尻の穴とオマンコだけそっち側に見える感じで、壁の前に手を付く格好でかなり恥ずかしいあれですが）
  (2024/11/4 14:26:20)

エロガキ♂14C
◆> んー、どーしよっかなー？お手伝いだし、クラリスおねーさんが触られたら気持ちいいところを教えてくれたら従うけど……そうじゃないと、こーするよ？（ノースリーブの隙間から手を滑り込ませて、おっぱいを緩く揉み触れて。）っと、楽な姿勢になってからだね？>クラリスおねーさん
  (2024/11/4 14:26:53)

ロイヤルフォーチュン> あぁっぁ……っ♡ 触り方やらしぃ……っ♡ （ぶるんっ♡ と飛び出た巨乳、手の中で揉みしだかれるたび指が沈み……　ぷっくり乳首が立ってきちゃって……　はぁ、はぁ、んぅ、みんな、やらしいカッコして、あっぁ……っ♡）＞10くん  
(2024/11/4 14:27:15)

クラリス ◆> （キタちゃんとフォーさんの視界に収まる角度でスカートの裾ごと足ひらいて）んっ…じゃ、そのままっ（胸を触るのは任せて、ショーツ越しに自分の指を這わせ）   (2024/11/4 14:28:06)

エロガキ♂10sox> ワイワイされてるの見られて興奮するならそれもかまいませんよ？（たっている乳首いやらしく吸い付きながらショーツっぽいのずり下げておまんこに亀頭部分擦り付けて…………）けっこう狭そうだねフォーチュンお姉さん？   (2024/11/4
14:28:50)

エロガキ♂15M
◆> そうそう、お尻だけ出るタイプ！お尻の穴とおまんこがよ〜く見える壁尻にしちゃえば……これでキタちゃんオナホの完成♪好き勝手使わせてもらうね〜♡(嬉々とした表情でスカートとパンツだけ脱いでしまい、すでに熱り立つおちんぽをおまんこの割れ目へとぬちゃ…♡ぐっ…ちゅん♡擦り付けるように押し付け)
  (2024/11/4 14:29:12)

キタサンブラック> （視界の端っても、アタシ、貼り付け板みたいなのに、両足と腰がハマっててまともに見られる状態じゃないんだけどね！？＞クラリスさん）   (2024/11/4 14:29:31)

エロガキ♂15M ◆> (スパッツもぬいでね〜♪)   (2024/11/4 14:29:45)

エロガキ♂14C ◆> クラリスおねーさんはバトルは好きだけど、えっちなとこ見られるのも好きだもんねー♡（両脚開いて触り始めるのを確かめるとおっぱいの先端探るように指先這わせつつ、暖かな待機を耳や首筋に吹きかけて。）   (2024/11/4
14:30:15)

エロガキ♂14C ◆> （待機→吐息…辞書がバカになってる…）   (2024/11/4 14:31:25)

キタサンブラック> う、ううぅ♡な、何かってか、ナニですよねこれ♡（すっごい後ろ重心で穴に向けてお尻突っ込んでいる格好で、スカート他は来ているわけでまさにお尻だけがスース―する感じのところ、両手を膝に添えて、情けなくお尻がトイレにハマっちゃったような？そんな感じなんですけど、そこにぐりぐりとナニか、うえ感触でだいたいさっせれるナニが当たると、見えないから余計にお尻だけでこすっても形が判っちゃう感じ♡ヒクヒクしちゃって）
  (2024/11/4 14:31:34)

ロイヤルフォーチュン> そ、そーいうわけじゃないけどぉ……みんな居ると安心するというか、恥ずかしいのには変わりないけどぉ……♡（しゅるしゅる♡ 衣服脱いで全裸になるとむっちり肉付きある身体つき、たわわに実るおっぱい吸い付かれ、ぴくんっ♡♡）
あ、おまんこに割れ目に10くんのあたってるぅ……っ♡ でも10歳の子だし、そんなでもないよ、ね……？＞10くん   (2024/11/4 14:31:41)

クラリス ◆> （実際に他から観られてるかどうかを確かめる様子はもちろん無いけれど、二人の声は否応なしに聞こえてきて）ん、あっ、ああっ…！（自分の声もすぐに甲高く、足の付け根を擦るペースも早まり、ショーツの擦れるところからは粘ついた音もして）  
(2024/11/4 14:34:04)

エロガキ♂10sox> （フォーチュンの目には年不相応な大きさのムクムクと勃起していくのが見えて………）そんなでもないのかわからないけど、他の人よりは大きいのかも？（反応するフォーチュンのおまんこにチンポをズブズブと捩じ込ませ､処女膜あれば突き破る勢いでおっぱい揺らさせて…………）もしかしたらおっぱいミルク出たりして？（わざと卑猥な音をたてながら左右の乳首交互に吸って…………）
  (2024/11/4 14:35:14)

エロガキ♂15M ◆> 流石キタちゃん、よく形がわかってるね♡そしたらこれで……よし♡(先走りを塗りたくるように割れ目へと肉竿を擦りつけていけば、テカテカでどろっどろなちんぽの完成)
せ〜っ……の！♡(尻肉を鷲掴みしてしっかり左右へと広げてしまえば、おまんこクパァ…♡すかさずおちんぽをドッっチュ♡ぱんっ♡パンっ♡即ハメ＆即ピストンしちゃうのだ〜♫)   (2024/11/4 14:35:22)

エロガキ♂14C
◆> 他の2人はおちんちん貰えるのに、クラリスおねーさんだけは自分の指ってかわいそー……♡でも、自分でする分何処か気持ちいいかわかるもんねー……？♡（嬌声を漏らすクラリスおねーさんを煽り立てるように耳元でくすくすと押し殺した笑いを漏らしつつ、片方の手をおっぱいから離して下腹部へと。ゆっくりとした手つきで撫で回したり、指先でとんとん、と叩いたりして様子を伺い。）
  (2024/11/4 14:36:48)

クラリス
◆> （まだ濡れ始めたくらいで、いつもはそんなに急がないのに、犯される想像しながらショーツの内側に滑り込ませた指を、割れ目に突き立てて）んっくうっんっんっ…！！（ちょうどお腹の辺りまで降りてきてくれた彼の指とで、クリトリスを中と外の両方から挟むように刺激して）
  (2024/11/4 14:38:08)

キタサンブラック> 随分と感度がよろしいようで……ん、んぁ（ぬるぬるしてきた。執拗に擦られてアタシも多少濡れてきてる感じで、でもアタシの方は体前のめりに変なポーズでお尻ハマった体勢で動くに動けないというか体も起こせないようにハマるタイプでしょうから。そこに変な力みが入るところを開かれると、ぐにぅ♡って感触から）う、くひっ♡う、ぅ♡（そのままメリメリっと、角度が変なせいで力、おトイレするみたいな力掛かっての挿入で、変な、感じ♡だけど締まっちゃう感覚はある♡）
  (2024/11/4 14:38:16)

