/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年11月12日 23時28分 ～ 2024年11月14日 22時54分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂19H> 対戦ありがとうございます…時間を決めたら始めてください   (2024/11/12 23:28:56)
クラリス ◆> 目が、目がこわいですっ、や、あっ（野生を隠さない口ぶりのかたわらで乳首を撫でられると思わずゾクッと反応して）   (2024/11/13 00:29:41)

エロガキ♂19b ◆> 怖くない怖くない～。たぶん優しくするから安心してね♡(乳首を摘みコリコリと弄りながらにやにやとクラリスの顔を見て反応を楽しみ♡)あは♡♡やっぱりクラリスちゃん可愛いねぇ♡   (2024/11/13 00:31:24)

クラリス ◆> たぶんって、あ、あっ（一抹の不安を感じつつも、乳首を丁寧に摘まれ弄られ、じわじわ責められると反応せずにいられなくて、体がびくびくして）み、みないでくださいっ…！（必死に目をそむけようとして、なおさら愛撫の抵抗はおろそかに）  
(2024/11/13 00:34:00)

エロガキ♂19b ◆> 可愛すぎてクラリスちゃんから目が離せないから無理かなは♡♡さてさて....こっちはどうかなぁ？♡♡(乳首をゆっくり丁寧に弄り続けながら片手をしたに伸ばし、オマンコの割れ目を指で擦って♡♡)   (2024/11/13 00:35:41)

クラリス ◆> はっ、うううっ（そらしたくても体格差が大き過ぎて離れられず、いいように弄ばれて）いっ、ん…！！（擦られた時にはもう割れ目ははっきり濡れていて、弄られると体がピンと反り返って、膝もがくっと震えて）   (2024/11/13 00:38:43)

エロガキ♂19b ◆> あはは♡♡もう濡れちゃってるじゃん～♡♡クラリスちゃんもやっぱりエッチだねぇ♡♡じゃあ～ハメる前にすこしだけほぐしとかないとね♡♡(オマンコに指を挿し込みgスポットをトントン叩きながらほぐすように軽く掻き回して♡♡)  
(2024/11/13 00:41:05)

クラリス
◆> い、いちいち言わなくていいんですっ！（濡れてしまっていることは薄々と察していたけれど、面と向かって言われた時の恥ずかしさは例えようがなくて）ひっ、あ、あっやああああっ…！（たしなめる声も愛撫が再開されるとあっさり途切れて、かき回されるたびに中はどんどん、濡れるというより溢れる感じで）
  (2024/11/13 00:44:34)

エロガキ♂19b
◆> クラリスちゃんは反応がとってもいいからさ♡♡ついつい苛めたくなっちゃうんだよねぇ♡♡いい声♡♡できればもっと苛めてたいけど...俺が我慢できなくなってきちゃった♡♡(フル勃起して我慢汁を垂らしているチンポを見せつけ)すこしいじっただけで、、こんなに溢れるほど濡れちゃったし～♡♡もうクラリスちゃんのオマンコに入れちゃってもいいよね♡♡(ニヤニヤと笑いながら聞いてみて♡)
  (2024/11/13 00:47:30)

クラリス ◆> やあっ、あああっ（割れ目の中弄りが一旦やむ頃にはすっかり脱力していて、大きなおちんちんを目の前にして、いいともわるいとも言えなくて、そのかわりに、ごくっと唾を飲みながら、無意識に股をすこし広めに開いてしまって）   (2024/11/13
00:51:07)

エロガキ♂19b
◆> 沈黙は肯定と見なしちゃうね♡♡(クラリスに覆い被さり種付けプレスの体制でチンポを挿入♡♡奥までしっかりと押し込めばそのまま杭打ちピストン開始♡♡パチュン♡♡パチュン♡♡と音をならしながらポルチオをトントンと突いて刺激し♡♡)あは♡久しぶりにクラリスちゃんのなかに入れたけど...暖かくて気持ちいぃ♡♡
  (2024/11/13 00:53:40)

クラリス
◆> はああんっ、あっ、あっああああ！！（おちんちんで一気に貫かれて、足を固定されながらも揺らされるたびに腰を震わせて、事実上の肯定だったのを認めてしまって）あっ、あ、あっんっあああっ…！（急所を叩かれる刺激にも敏感に反応して、なにかあればたちまち達してしまいそうで）
  (2024/11/13 00:58:11)

エロガキ♂19b ◆> クラリスちゃんの中最高♡♡もっと苛めてあげたいなぁ♡♡でも～...もう時間みたいだねぇ...ざーんねん♡♡(だんだんと速度を落としピストンを止めて)   (2024/11/13 00:58:52)

クラリス ◆> 【なまごろし…（ぼそっ）】   (2024/11/13 01:02:18)

エロガキ♂19b ◆> 【なまごろしです！！時間だからしょうがないよね～(にやにや)】   (2024/11/13 01:02:53)

クラリス ◆> 【制限時間というよりリアルタイム（深夜1時）的にもしょうがないですね！】   (2024/11/13 01:03:47)

エロガキ♂19b ◆> 【俺は全然元気だけどクラリスちゃんは次の戦場のためにも早く寝ないと？】   (2024/11/13 01:04:23)

クラリス ◆> 【そうなんですよ…この借りは24時間後に返す方針で（よろよろ）】   (2024/11/13 01:05:20)

クラリス ◆> 【というわけで散会します、お部屋ありがとうございました…！】   (2024/11/13 01:06:06)

おしらせ> クラリス ◆vp1gp540pWaYさんが退室しました。  (2024/11/13 01:06:12)

エロガキ♂19b ◆> 【待ってますからねー！！というわけで、今回はお疲れ様です！！次も勝ってこんどは中だししちゃいますねー！】   (2024/11/13 01:06:15)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/13 01:06:18)

おしらせ> シンデレラさんが入室しました♪  (2024/11/13 13:18:17)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが入室しました♪  (2024/11/13 13:18:31)

おしらせ> 花海佑芽さんが入室しました♪  (2024/11/13 13:18:56)

花海佑芽> 10d3 → (1 + 1 + 2 + 3 + 1 + 3 + 2 + 3 + 2 + 1) = 19  (2024/11/13 13:19:14)

エロガキ♂15R ◆> せっかくのチャンスを掴みきれなかったっ…！   (2024/11/13 13:19:44)

花海佑芽> 38分まで、と、シンデレラさんに相談がっ   (2024/11/13 13:19:46)

シンデレラ> なにかしら？...   (2024/11/13 13:19:56)

花海佑芽> （彼ってキス魔なんですけど、何かいいお仕置きってありますか？）ひそひそ   (2024/11/13 13:20:27)

シンデレラ> そうね....任せてちょうだい♡♡まずは15R君はそこに正座して貰おうかしら♡   (2024/11/13 13:21:11)

花海佑芽> さすが頼もしいです！（わくわく）   (2024/11/13 13:22:06)

シンデレラ> 彼がキス魔なら...見せつけてあげるのはどうかしら？♡ふふっ♡   (2024/11/13 13:22:16)

エロガキ♂15R ◆> (な、何が始まるんだっ)…は、はいっ…正座、ですねっ！これで良いでしょうかっ…(指された場所に正座すると見上げ)   (2024/11/13 13:22:39)

花海佑芽> 見せつける？（きょとん）   (2024/11/13 13:23:05)

エロガキ♂15R ◆> っ…！ま、まさかっ…//♡(二人の会話を聞いていると察してしまう♡)   (2024/11/13 13:23:45)

シンデレラ> 美しい私と佑芽さんのキスを...彼の目の前でするの♡♡ほんとうは彼がしたいだろうことを私たちでしてみれば...ふふっ♡♡いい罰になるとは思わないかしら♡(ゆっくりと佑芽さんに近付いていって♡)   (2024/11/13 13:24:12)

花海佑芽> ふえっ！？（思いがけない提案にびっくり、でも魅入られたように其の場から動けずというか動かず）   (2024/11/13 13:25:20)

エロガキ♂15R ◆> や、やっぱりっ///(正座したまま目の前で繰り広げられるであろう出来事が的中してしまって)   (2024/11/13 13:26:41)

シンデレラ> 優しくしてあげるは♡♡私に身を任せなさい♡(佑芽さんの顔を軽く撫でたあと..15R君に見せつけるようにキスをして♡♡)   (2024/11/13 13:26:55)

花海佑芽> んっ（素直に身を委ねて、顔を撫でられながら目をつむって）ん...（唇が触れる感触を浴びながら力を抜きます）   (2024/11/13 13:28:40)

エロガキ♂15R ◆> う…っ…///…目、目の前にっ…！目の前に有るのにぃっ…！(自分のしたかった行為を見せ付けられちゃって両手強く握って悔しそうに♡)   (2024/11/13 13:28:41)

シンデレラ> んっ♡♡いいは♡♡そのままよ♡♡(キスをしながらゆっくりと舌を佑芽さんの口の中に忍ばせて絡ませて♡♡15R君の興奮している姿をチラッと確認し♡♡)   (2024/11/13 13:30:45)

エロガキ♂15R ◆> ぐぅ…っ…！う、羨ましいっ…！で、でもっ//…こ、これはこれで…//♡…いやっ、でも…勝ててれば今頃あそこにっ…！ぼくがっ…！(佑芽さんがシンデレラさんを目を瞑り、完全に受け入れちゃってる様子を見て心底勝てなかった事を悔やんでしまう♡)
  (2024/11/13 13:32:14)

花海佑芽> （じゃれ合う感じなら女の子同士でも本格的なのは初めて、でも実際してみると、やわらかくて気持ちよくて）んっ、ふっ（脇見する余裕は無いかわり、舌が絡む感覚、だんだん夢中になって、目元もとろん、って）   (2024/11/13 13:32:58)

シンデレラ> ふっ♡♡んんっ♡♡とても美しいは♡♡(背中に手を回して逃がさないはと言わんばかりにしっかりと抱きしめ♡♡キスを続けて♡♡)   (2024/11/13 13:34:39)

エロガキ♂15R ◆> すぐ側で見せ付けられてっ//♡…こ、これは確かにっ…罰だっ…！…い、いいなぁっ…///♡(シンデレラさんの自分に見せ付けるキスに蕩けた表情を見せる佑芽さんを見て、ごくりっと生唾を飲み♡)   (2024/11/13 13:36:11)

花海佑芽> ん、んっ（あまりに情熱的でびっくり、抱きしめ返すことは出来ないけど、舌で絡んだり突いたりはしっかり返そうと）   (2024/11/13 13:36:18)

シンデレラ> んっ♡....ここまでにしましょう♡♡(口と手を離して佑芽さんを解放して♡♡)あなた...とても美しかったわよ♡♡   (2024/11/13 13:37:29)

花海佑芽> はっ...んっ、ありがとうございました...っ（口と手が離れてもしばらくの間、ふにゃっとして、なかなか力が入らないかも）   (2024/11/13 13:39:01)

エロガキ♂15R ◆> ぐ、ぬ、ぬっ……！(出したいけど手が出せないっ！そんな光景見せ付けられて悔しくない訳がっ)   (2024/11/13 13:39:32)

花海佑芽> 【いい感じ（？）で時間ですね！】   (2024/11/13 13:40:07)

シンデレラ> 時間ね♡次は勝てるといいわね...ふふっ   (2024/11/13 13:40:30)

エロガキ♂15R ◆> 【はいっ！お時間ですねっ！く、くやしいっ……！】   (2024/11/13 13:40:40)

花海佑芽> 【15Rくんの戦意の高まりを感じます！】   (2024/11/13 13:41:25)

花海佑芽> つ、つぎも勝ちましょうねっ（よたよた）   (2024/11/13 13:41:57)

シンデレラ> 【ふふっ...罰を与えるのは得意よ♡♡また、苛めてあげるわね】   (2024/11/13 13:42:01)

エロガキ♂15R ◆> 【次は勝ちますよっ…覚悟しておいて下さいねっ！】   (2024/11/13 13:42:14)

シンデレラ> そうね♡♡次もまた勝ちましょう♡...先に失礼するわね♡   (2024/11/13 13:42:30)

花海佑芽> 【解散しましょう、お部屋ありがとうございましたっ！】   (2024/11/13 13:42:33)

おしらせ> シンデレラさんが退室しました。  (2024/11/13 13:42:34)

エロガキ♂15R ◆> 【お疲れ様でしたっ！】   (2024/11/13 13:42:55)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが退室しました。  (2024/11/13 13:42:57)

おしらせ> 花海佑芽さんが退室しました。  (2024/11/13 13:43:03)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/13 20:47:24)

おしらせ> リノさんが入室しました♪  (2024/11/13 20:47:40)

エロガキ♂14C ◆> さて、まずは時間決めー   (2024/11/13 20:47:57)

リノ> （どきどき）   (2024/11/13 20:48:02)

エロガキ♂14C ◆> 10d3+10 → (1 + 3 + 3 + 2 + 1 + 1 + 1 + 2 + 1 + 2) + 10 = 27  (2024/11/13 20:48:02)

エロガキ♂14C ◆> 少し下振れ気味かなー。21:15までー。   (2024/11/13 20:48:32)

リノ> （こくこく）   (2024/11/13 20:48:59)

エロガキ♂14C ◆> まあ今日はまだえっちなことしよーって気が湧かないから……甘える方にしてみよっかなー？膝枕してよーっ。   (2024/11/13 20:49:44)

リノ> う、うん、いいよっ（とことこ、すぐ近くに近寄ってから、ぺたんと座って、膝を前に出して）どうぞー？   (2024/11/13 20:51:06)

エロガキ♂14C ◆> ん、それじゃあ……よいしょ、っと♪（差し出すように目の前で触ったリノおねーさんの太ももに頭を預けるように寝転がり）   (2024/11/13 20:52:18)

リノ> おきゃくさま、ねごこちはどうですかー？（太ももに頭を乗せて寝転がる様子がなんだかかわいくて、明るめの声で問いかけてみて）   (2024/11/13 20:54:49)

エロガキ♂14C ◆> 気持ちいいよー……♪リノおねーさんの太もも、すべすべふにふにー。（太ももに緩やかに頬擦りしては心地よさげな笑み浮かべ。）   (2024/11/13 20:56:02)

リノ> す、すべすべはともかく、ふにふには余計だよっ。（頬ずりされたら余計に恥ずかしくて、余裕があったのは一瞬だけ、すぐに顔が赤くなって）   (2024/11/13 20:57:27)

エロガキ♂14C ◆> ごめんごめんっ。でも固いよりはいいと思うよー？（顔を赤くしてるのも気付かないまま、顔をお腹に押し付けるようにくっついて）   (2024/11/13 20:58:48)

リノ> そ、それはたしかにそうだけど、言い方っ。（じゃれ合っているうちに頭の位置が動いて、顔がお腹の辺りまでくると余計にドキドキ、心臓はちょっと遠いけどそれでも音が聞こえちゃうかも）   (2024/11/13 21:01:04)

エロガキ♂14C ◆> ふにふにはやだった？お腹とかはふにふには確かに嫌かもだけどー。（くっつくと心地良い温もりに脱力しつつ、伝って聞こえる微かな心音が少し早く感じられると、顔を浮かせて表情を伺うように視線向けて）   (2024/11/13
21:03:18)

リノ> やー、っていうかその、なんか恥ずかしかったから（深刻に取られちゃったかな、って少し気にする様子）こういうところにまだ慣れてないからつい、お姉ちゃんとか知ってる人が一緒ならまた違うんだけどっ。   (2024/11/13 21:06:36)

エロガキ♂14C ◆> ……なるほどー？なら、大丈夫だねっ。ふにふにーっ♪（恥ずかしかっただけだと知れば、少し笑みを深くしてから更に太ももへ頬擦りしてみて）リノおねーさんの知り合い……ユイおねーさんなら会ったこと、あるけど他は見た事ないかもー。  
(2024/11/13 21:08:25)

リノ> えっ、トゥインクルウィッシュのみんなも来てるの？（ぱっと表情が明るくなって）だ、だいじょうぶだけど、それでも恥ずかしいのは恥ずかしいんだからねっ（また頬擦りされると、もうって顔するけど、ちょっとだけサービスで自分からも太ももをゆさゆさと揺すってみたりとか）
  (2024/11/13 21:11:49)

エロガキ♂14C
◆> う、うん、たまに来るみたい？だよ。僕もゲームしたのは1回だけなんだけど。（嬉しそうにするリノおねーさんには少しだけ申し訳なさを感じつつ、頬をかいて）恥ずかしいのは罰ゲームの一環だから仕方ないでしょっ。……んー♪（微かに揺らされる太もも、更に顔と擦り付けあって心地良さに声漏らして）
  (2024/11/13 21:14:17)

リノ> そうなんだ、そのときは勝ったの、負けたの？（って聞こうとしたら、時間が来たみたいで）   (2024/11/13 21:15:32)

エロガキ♂14C ◆> それはなーいしょっ。さて、それじゃあ時間だしここまでっ。（太ももから頭上げて立ち上がり）   (2024/11/13 21:16:18)

リノ> また暇そうにしてたら遊びに来てもいいかな？（だいぶ失礼だけど聞いてみて）   (2024/11/13 21:17:30)

エロガキ♂14C ◆> ん、勿論いいよー。その時の気分で罰は変わっちゃうけどね！   (2024/11/13 21:18:15)

リノ> じっ、じゃあ次はほんと負けないよう頑張るっ！   (2024/11/13 21:18:51)

エロガキ♂14C ◆> 頑張ってねー！僕的には勝てる方がいいんだけどっ。それじゃ、ばいばーい！   (2024/11/13 21:19:29)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/13 21:19:38)

リノ> ばいばーい！   (2024/11/13 21:19:39)

おしらせ> リノさんが退室しました。  (2024/11/13 21:19:41)

おしらせ> 白珠 ◆Mhy5pZ/rlkさんが入室しました♪  (2024/11/13 23:32:35)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが入室しました♪  (2024/11/13 23:32:45)

おしらせ> エロガキ♂19Hさんが入室しました♪  (2024/11/13 23:32:59)

白珠 ◆> 初めての敗北ですが……運のないあたしにしては頑張った方ですよね。   (2024/11/13 23:33:11)

エロガキ♂12Ω ◆> 対ありー。結構縺れた試合だったなー。   (2024/11/13 23:33:23)

白珠 ◆> では、アルルさんが移動してくるのを待ちつつ……。指名順は先待機の12Ωさんからでも問題ないですか？   (2024/11/13 23:34:00)

エロガキ♂19H> 構いませんよ   (2024/11/13 23:34:29)

白珠 ◆> （大丈夫ですかね……？ゲーム部屋ちらり、）   (2024/11/13 23:35:01)

エロガキ♂12Ω ◆> ん、それならお言葉に甘えて白珠姉ちゃん確保ー。(むぎゅ)   (2024/11/13 23:35:19)

白珠 ◆> あ、あたしでいいんですか。……ですが、どうしたんでしょう。（耳ぴこぴこ、）   (2024/11/13 23:36:11)

おしらせ> アルル・ナジャさんが入室しました♪  (2024/11/13 23:36:52)

エロガキ♂12Ω ◆> んー、これはどうしたもんか…。(もふもふ。)   (2024/11/13 23:36:55)

白珠 ◆> あ、いらっしゃいましたね！   (2024/11/13 23:37:00)

アルル・ナジャ> 僕でいいの？   (2024/11/13 23:37:02)

エロガキ♂19H> 自分はいいですよ？   (2024/11/13 23:37:25)

白珠 ◆> では決まり、ですね。12Ωさん、時間も設定してもらってよろしいですか？   (2024/11/13 23:37:47)

エロガキ♂12Ω ◆> あい、任せろ。光れ俺の何かしら。   (2024/11/13 23:38:06)

アルル・ナジャ> お願いします   (2024/11/13 23:38:09)

エロガキ♂12Ω ◆> 10d3+10 → (2 + 1 + 1 + 2 + 2 + 3 + 2 + 1 + 2 + 2) + 10 = 28  (2024/11/13 23:38:20)

エロガキ♂19H> うん…   (2024/11/13 23:38:43)

白珠 ◆> まあ、まあ……？   (2024/11/13 23:38:43)

エロガキ♂12Ω ◆> む、低め…   (2024/11/13 23:38:46)

アルル・ナジャ> まあまぁ…   (2024/11/13 23:39:17)

白珠 ◆> （あ、あと……あたし、玩具系というか……道具は少し苦手です。と12Ωさんにひそひそ、）   (2024/11/13 23:39:36)

エロガキ♂12Ω ◆> 具体的な場所指定が無いのが誰だったか、いつかどっかしらが発光する技を覚えとこう。   (2024/11/13 23:39:36)

白珠 ◆> どこかしらが発光するお薬はありますよ？（罰一覧眺め、）   (2024/11/13 23:39:58)

エロガキ♂19H> あ、頭が発光したことありますね…   (2024/11/13 23:40:18)

エロガキ♂12Ω ◆> (おけおけ、わかりみ水産。手ずから愛でて欲しいトリミング精神了解。)   (2024/11/13 23:40:21)

白珠 ◆> とりあえず6分までということで……。   (2024/11/13 23:40:39)

白珠 ◆> では、あたしは敗者なので。……なに、します？（ぺたん座り継続、本来は自分より小さいはずの12Ωさんを見上げて。）   (2024/11/13 23:41:08)

エロガキ♂12Ω ◆> ひむ   (2024/11/13 23:41:26)

白珠 ◆> ひむ。（…………謎かけかな！？）   (2024/11/13 23:41:49)

アルル・ナジャ> 19Hくん？僕はどうする？   (2024/11/13 23:41:50)

エロガキ♂19H> アルルちゃんはそこに腰かけて脚を開いて…(ソファを指差して)   (2024/11/13 23:41:58)

アルル・ナジャ> あっ…ありがと…フカフカのソファに座る…   (2024/11/13 23:42:28)

エロガキ♂12Ω ◆> ふむ、そうさなー。敗者と言っても優しい姉ちゃんだし。適度にいちゃこらするとしますかー？(見上げてくる顔をじっと見つめ、小首傾げると両頬むにむに捏ねつつそっと口吻ちゅ。)   (2024/11/13 23:42:53)

エロガキ♂12Ω ◆> (ひむ、とは？)   (2024/11/13 23:43:50)

エロガキ♂19H> (アルルちゃんの脚の間のソファのしたに立ち膝をつき、ミニスカート中に頭を突っ込んで)すぅ～はぁ～   (2024/11/13 23:43:55)

アルル・ナジャ> はわわっ…（顔を隠し赤くしてチラチラ指の隙間から覗く…）   (2024/11/13 23:44:00)

白珠 ◆> いえいえ、そんな……こういった事態を見越して優しくしていたわけではありませんから。やりたいこと、してください。（と言いつつも口付けを受け入れ。両手をするりと伸ばして、12Ωさんの背に回してはぎゅう、と。さ、何したいですか？）  
(2024/11/13 23:44:17)

アルル・ナジャ> ひゃあああああっ…な…何してんのさ？！（びっくりして）   (2024/11/13 23:44:34)

エロガキ♂19H> んっ…ふぅー…ちゅっ (下着の上から割れ目を舐めたり吸い付いたりして)   (2024/11/13 23:45:03)

アルル・ナジャ> 僕のあそこが…助けてよっ誰かっ助けて……（甘い声が…漏れる）ひゃあああああっんっ…♡   (2024/11/13 23:45:39)

エロガキ♂12Ω ◆> マジで女神じゃん…。真面目に言うと子作りとか愛を育みたいけど時間が足りないなぁー。(真剣に悩みつつも口吻継続、角度変えてちゅむちゅむ深いキスを交わすと小さな舌を伸ばして表面這わせ。)   (2024/11/13 23:45:54)

エロガキ♂19H> 直接舐めていい？… (スカート中から顔を出すと上目使いで)   (2024/11/13 23:46:40)

アルル・ナジャ> 負けたから…だからっ……いいよっ？   (2024/11/13 23:47:04)

アルル・ナジャ> （ねぇ…ツーショットいきたい…）   (2024/11/13 23:47:13)

エロガキ♂19H> 負けたとかじゃなくて…アルルちゃんの本心聞きたいな   (2024/11/13 23:47:45)

エロガキ♂19H> (いいよ、いこっか)   (2024/11/13 23:47:57)

白珠 ◆> ですから女神なんて大層なものでは……ん、ふ……♥（くすぐったい、と狐耳をぴこぴこさせながらも此方からも角度を一度、二度。体温共有するような唇を押し付け合う口付けを交わしていると、段々と目が蕩けてしまいます……。）   (2024/11/13
23:47:58)

アルル・ナジャ> 部屋お願いします…   (2024/11/13 23:48:06)

アルル・ナジャ> 落ちまーす   (2024/11/13 23:48:26)

おしらせ> アルル・ナジャさんが退室しました。  (2024/11/13 23:48:28)

白珠 ◆> ()   (2024/11/13 23:48:41)

白珠 ◆> あぅ、   (2024/11/13 23:48:46)

