/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2025年05月12日 06時27分 ～ 2025年05月25日 13時30分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

黒神めだか> しつこい、出来ないものは出来ない   (5/12 06:27:40)
エロガキ♂12KI ◆> もっとやりたかったら地道に好感度稼いでこれからもよろしくなー。   (5/12 22:40:56)

エロガキ♂12KI ◆> んじゃまた会ったらー   (5/12 22:41:03)

おしらせ> エロガキ♂12KI ◆6OvpM3d56Eさんが退室しました。  (5/12 22:41:09)

猫猫> りょーかい。おつかれさん   (5/12 22:41:12)

おしらせ> 猫猫さんが退室しました。  (5/12 22:41:16)

おしらせ> ジェンティルドンナさんが入室しました♪  (5/13 21:37:32)

おしらせ> エロガキ♂14 Gさんが入室しました♪  (5/13 21:37:33)

ジェンティルドンナ> とりあえず時間お願いするわ…♡♡   (5/13 21:37:52)

エロガキ♂14 G> はいっ、では早速お時間決めるですっ   (5/13 21:38:02)

エロガキ♂14 G> 10d3+10 → (3 + 3 + 1 + 2 + 2 + 1 + 2 + 1 + 2 + 2) + 10 = 29  (5/13 21:38:10)

エロガキ♂14 G> それじゃあ、えっと…きりよく40分から09分まででいいですか？   (5/13 21:38:57)

ジェンティルドンナ> わかったわ…♡♡好きにしなさい…♡♡   (5/13 21:39:19)

エロガキ♂14 G> バカエロ系は好きですが…時間気にしながらどう設定するかもですし…とりあえずエッチな事するですっ！   (5/13 21:40:10)

エロガキ♂14 G> 宣言通り、全部脱いじゃうですよー！   (5/13 21:40:31)

ジェンティルドンナ> ええ…♡♡(目の前でビキニを脱ぎ始めて大きなメロンのようなデカ乳顕に♡♡サイコロの時から揺れていたデカ乳♡♡)   (5/13 21:41:17)

エロガキ♂14 G> 大きなお胸ですなぁ…んっ（顔をうずめるように胸へ飛び込んで）おっぱいとか出るのですー？（口をつけて吸い始める）   (5/13 21:42:34)

ジェンティルドンナ> んっ♡♡おっぱい…出るわけありません…♡♡(顔を埋めるように飛び込まれて先っぽを吸われて…♡♡フリーの片乳も連動して揺れてしまってる♡♡)   (5/13 21:44:03)

エロガキ♂14 G> らしてください…（はむはむ吸い続け、フリーの方を手で揉みしだく）おっきいお胸でエッチな牛さんになるですよ…   (5/13 21:46:00)

ジェンティルドンナ> んっ♡♡くぅっ…♡♡(おっぱいが出るように搾乳みたいな感じで揉みしだいて…♡♡)こんな感じなら…♡♡(四つん這いになってみて…♡♡)   (5/13 21:47:11)

エロガキ♂14 G> …ｼﾞｰｰ（よつんばいのジェンティルドンナの周りを回って観察している）こうですかなー（後ろからぺたりと張り付き、体を合わせる）   (5/13 21:49:44)

ジェンティルドンナ> んっ…♡♡(四つん這いのまま後ろから張り付かれて…♡♡両手を伸ばせばジェンティルデカ乳搾乳体勢に…♡♡ビクッと震えながらされるがままに♡♡)   (5/13 21:51:17)

エロガキ♂14 G> （そのまま性器を膣にあてがい）動物のエッチみたいにパンパンするです…？お胸ギューギューに絞られながらですよぉ？（煽る様に耳元でささやき）   (5/13 21:52:02)

ジェンティルドンナ> はい…♡♡(耳元で囁かれると体全体がビクッと震えて…おまんこもギュッと締め付ける…♡♡)   (5/13 21:52:50)

エロガキ♂14 G> んっ…（ゆっくり挿入を始めて、腰を突き出すとともに胸に手を伸ばす）負けたお姉さんはわんわんっですよー…？動物エッチするならお姉さんは動物さんなのですぅ…っ（腰を動かし始めて）   (5/13 21:54:31)

ジェンティルドンナ> んんっ…♡♡わん…わんっ…♡♡(ゆっくり挿入されて奥まで…揺れるデカ乳を掴まれて腰を動かされると…まるで獣のようにバックで犯される♡♡)   (5/13 21:55:57)

エロガキ♂14 G> ん、こうしてエッチするのは勝利の特権ではありませんが…勝利して得たエッチは気持ちいいのですよぉ…んっ（体全体を打ち付けるように全身を動かす、胸を搾乳するように乳首をつまんで）   (5/13 21:57:54)

ジェンティルドンナ> んおっ♡♡んんっ♡♡(まるで釘打ちのようなピストンで前に押し出されそうになるがデカ乳と身体を掴まれてガッチリホールド♡♡搾乳みたいに絞られてさらにおまんこ締めて…♡♡)   (5/13 21:59:02)

エロガキ♂14 G> 気持ちいい声出ちゃってますよ…♪（喘ぐジェンティルに気分を良くして、激しさが増していく。）このままエッチな事大好きな牛さんになっちゃいましょうねぇ…？   (5/13 22:00:58)

ジェンティルドンナ> んおっ♡♡おほっ♡♡んっ♡♡次第に激しさを増していくとジェンティルデカ乳からおっぱいが微量だが…びゅっ♡♡びゅっ♡♡と放出♡♡)   (5/13 22:02:58)

エロガキ♂14 G> んっ‥指が濡れちゃいました…（指先を舐め）これじゃよく味がわかりませんなぁ…（体勢をひっくり返して向かい合う。胸に直接口をつけて思いっきり吸い上げると体中密着して性器が子宮を押し上げる）   (5/13 22:05:13)

ジェンティルドンナ> んんっ♡♡(無理矢理びっくり返されて向かい合っておっぱいを吸い上げられる♡♡)んおっ♡♡イクッ♡♡イクゥ♡♡(ジェンティルおっぱいを思いっきり吸い上げられながらアヘ顔キメて母乳アクメ♡♡)   (5/13 22:06:37)

エロガキ♂14 G> んん”っも、もういく…っ！（絶頂に合わせて締め付けられ、強い快感を覚える。つい胸に歯を立ててしまいながら、強く抱きしめて射精）   (5/13 22:08:46)

ジェンティルドンナ> んひいっ♡♡おっ…♡♡ほっ…♡♡(おまんこからザーメン垂れ流し♡♡おっぱいから母乳が吹き出しながらアヘ顔アクメ♡♡勝手にダブルピース♡♡)   (5/13 22:10:00)

エロガキ♂14 G> はぁ…はぁ…罰はお時間終了ですよぉ…   (5/13 22:10:21)

エロガキ♂14 G> バカエロ系は設定から作りたいから、こういう時間制限のある場では難しいですなぁ…   (5/13 22:10:41)

ジェンティルドンナ> おっ♡♡ありがとう…ございました…っ♡♡楽しかったです…♡♡   (5/13 22:10:51)

エロガキ♂14 G> せっかくなら、その…別場所でしっかりしたバカエロしないです…？   (5/13 22:11:15)

ジェンティルドンナ> ごめんなさい…今日はあまり時間なくて…またお会いしたら…♡♡   (5/13 22:11:30)

エロガキ♂14 G> そうですかー…残念ですが仕方ないですなー…はいっではまた会った時にー   (5/13 22:11:54)

ジェンティルドンナ> ええ…♡♡ありがとうございました…♡♡   (5/13 22:12:07)

おしらせ> ジェンティルドンナさんが退室しました。  (5/13 22:12:09)

おしらせ> エロガキ♂14 Gさんが退室しました。  (5/13 22:12:14)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (5/17 13:46:37)

エロガキ♂14C ◆> さーて、何されるんだろ。   (5/17 13:46:50)

おしらせ> リーフさんが入室しました♪  (5/17 13:46:57)

エロガキ♂14C ◆> やること決まってるなら時間決め振っちゃってー   (5/17 13:47:20)

リーフ> 予定もなくはなかったけど、練習台の話が気になっちゃって（えへ）   (5/17 13:47:58)

エロガキ♂14C ◆> ふーん？確か、おっぱいでおちんちん挟む練習に付き合わされた記憶があるよ？挟むなら出来るかな？って。   (5/17 13:48:39)

リーフ> そこまで大胆なことを！？（がーん）   (5/17 13:49:33)

リーフ> それは負けたとき用に取っておくとして…時間！   (5/17 13:50:21)

エロガキ♂14C ◆> 君の大きさなら挟むよりも擦り付けたりとかってプランもあると思うってアドバイスした記憶もあるし？（嘘は言ってないよ？と言いたげに真っ直ぐな視線）   (5/17 13:50:30)

リーフ> 10d3+10 → (1 + 1 + 3 + 1 + 3 + 1 + 2 + 2 + 1 + 2) + 10 = 27  (5/17 13:50:46)

リーフ> （どこからともなく出現する炬燵）   (5/17 13:51:39)

リーフ> さあ入って入って！   (5/17 13:52:30)

エロガキ♂14C ◆> なんか出た。17分までかな？   (5/17 13:52:30)

エロガキ♂14C ◆> あ、うん。（促されるがまま脚を入れて）……って、コタツは流石に暑過ぎない？雨で確かに冷えはするけど……！   (5/17 13:53:15)

リーフ> それは確かにそうかもしれないけど適当なのが浮かばなくて…（温度調整ぽちー）   (5/17 13:55:17)

リーフ> 【スマホの文字入力が暴走気味です（あたふた）】   (5/17 13:55:53)

エロガキ♂14C ◆> は、はぁ……とりあえず時間いっぱいまで炬燵でおしゃべりが罰ゲームって事でいいの？（此方の文句に気を利かせてくれたのか、気持ち温度の下がった炬燵の中の温度に脱力しつつ、視界から外れたリーフへと問いかけて。）   (5/17
13:57:36)

リーフ> そしてなんとなく練習の経緯も思い出したような…たしか罰のバリエーション増やすとか（頭かかえ）   (5/17 13:57:44)

リーフ> そういうことです！（こくこく）＞おしゃべりが罰らしくない罰ゲーム   (5/17 13:58:51)

エロガキ♂14C ◆> あ、思い出してきた？結局時間が足りなくて生殺しで終わったはずなんだよねー。僕らからしてみれば、射精せずに終わるとかかなりの罰ゲームなんだけど。（仕方ないとはいえ、生殺しの時の悔しさを思い返せば、爪先でリーフの脚を突くようにした。）  
(5/17 14:00:38)

リーフ> えっちな罰は移動かアフター込みで考えておかないと大変なんだよね…（他人事みたいに言いながら、手を合わせてごめんねのポーズ。炬燵の中でつつかれるのは、こちらもえいえいっと足を浮かせて応戦）   (5/17 14:03:32)

エロガキ♂14C ◆> まあねー、本格的にやるならそーなっちゃう。だから、僕は好きなのもあってご奉仕してもらうパターンが多いんだよねー。（浮いた足にうりゃうりゃ、と更に追撃しつつ互いの脚をついでに擦り合わせてみたり。）   (5/17 14:05:52)

リーフ> なんだか慣れてる…！？（炬燵の中に何か仕掛けてそうに的確な足の攻撃にペース握られて）   (5/17 14:09:14)

リーフ> 【うまく文字が打てません（しくしく）】   (5/17 14:09:44)

エロガキ♂14C ◆> 【大丈夫？あれなら再起動とかしてきたら？】   (5/17 14:10:01)

リーフ> 【端末不調というより指の冷えの影響なので…】   (5/17 14:11:24)

エロガキ♂14C ◆> 昔からこーやって遊んで足癖悪いとか怒られたりしなかった？負けた側だからあまりえっちなことはできないんだけどさー。（爪先伸ばし、リーフの腿の付け根付近まで伸ばしては奥まで押し切らずに引っ込めて。）   (5/17 14:11:43)

エロガキ♂14C ◆> 【……そこは無理せずちゃんと温めたほうがいいよーな。】   (5/17 14:11:59)

リーフ> 【寒いのがいけないんです（いいわけ）】   (5/17 14:12:30)

リーフ> 足癖悪いっていうか、おとなしくしなさいは言われたかも…（普段スカートだから余計に。爪先が伸びてくるせいでムズムズしながら）つ、次に勝ったら覚えててください、ちゃんとお仕置きするので！   (5/17 14:14:52)

エロガキ♂14C ◆> 女の子は大変だよねー。スカートだと変な姿勢したらすぐ見えちゃうし。（こーやって、なんて足の指で器用にスカートの裾を摘んでひらひらと。捲りはしない。）僕が覚えてても、君が覚えてるか次第かなー？なんてね、覚えとけるようにしとくよ。  
(5/17 14:16:33)

エロガキ♂14C ◆> って言ってる間に時間だね。これで終わりかな。   (5/17 14:17:13)

リーフ> 確かに…！（練習台の件も忘れてたので）   (5/17 14:17:29)

リーフ> （時間切れで炬燵がパッと消えて）だ、だめです！（あわててスカートの裾を押さえて）   (5/17 14:19:05)

エロガキ♂14C ◆> はい、それじゃあこれで終わりだね。またねー。   (5/17 14:19:25)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (5/17 14:19:29)

おしらせ> リーフさんが退室しました。  (5/17 14:19:35)

おしらせ> 遠野みづきさんが入室しました♪  (5/18 12:06:09)

おしらせ> エロガキ♂12KI ◆6OvpM3d56Eさんが入室しました♪  (5/18 12:06:34)

エロガキ♂12KI ◆> よいしょっとー。   (5/18 12:07:01)

遠野みづき> じゃ、懐かし麻雀ゲーのお話でも……   (5/18 12:07:10)

エロガキ♂12KI ◆> 序盤めっちゃ負け越してからの大逆転劇は気分良いですなー   (5/18 12:07:26)

エロガキ♂12KI ◆> ん、姉ちゃんの白牌まんこ弄りながら駄弁りますかー   (5/18 12:08:09)

遠野みづき> こら、小学生の言葉遣いじゃないぞ、ソレ   (5/18 12:09:07)

エロガキ♂12KI ◆> エロガキですからー   (5/18 12:09:24)

エロガキ♂12KI ◆> ゲームシステム上脱衣済みで簡単に弄れるから都合良いよなー   (5/18 12:10:04)

遠野みづき> 罰ゲームコス変更のサイコロ振る   (5/18 12:10:17)

遠野みづき> 脱衣済みだと……   (5/18 12:10:37)

エロガキ♂12KI ◆> みづき姉ちゃんさっき自分で言ってたじゃんー   (5/18 12:11:08)

エロガキ♂12KI ◆> 勝負負けたんなら今はフルヌードなのがお似合いじゃね？   (5/18 12:11:44)

遠野みづき> ぬいでないし、仮定の話だよね   (5/18 12:11:49)

エロガキ♂12KI ◆> まぁ着替えたいならそれでも良いけど   (5/18 12:12:09)

エロガキ♂12KI ◆> さて、そろそろ時間決めますか   (5/18 12:12:18)

エロガキ♂12KI ◆> 10d3+10 → (2 + 3 + 2 + 1 + 2 + 3 + 2 + 3 + 3 + 1) + 10 = 32  (5/18 12:12:29)

エロガキ♂12KI ◆> 44分までー   (5/18 12:12:45)

遠野みづき> 1d7 → (6) = 6  (5/18 12:12:47)

エロガキ♂12KI ◆> おぉ、レオタードかー   (5/18 12:13:22)

遠野みづき> 1.メイド服　2.バニー衣装　3.逆バニー衣装4.女子用の制服　5.スクール水着(旧)　6.レオタード7.体操服(ブルマ)   (5/18 12:13:39)

エロガキ♂12KI ◆> 乳首の所とおまんこ周り穴空いてるスケベ仕様にするー？   (5/18 12:13:57)

遠野みづき> 希望があればソレでも良いけど   (5/18 12:14:09)

エロガキ♂12KI ◆> んじゃそれでー♡   (5/18 12:14:21)

遠野みづき> うわぁぁ……（褐色肌に映える長袖の白いレオタードに袖を通す。裏地が取り除かれているのか褐色の裸透けて見える）   (5/18 12:16:02)

遠野みづき> （胸の先端と気管には穴が空いていて、ぷっくらした乳首と淡い陰毛が露わになる。）   (5/18 12:17:34)

エロガキ♂12KI ◆> いやぁ絶景ですなー♡スケベだなみづき姉ちゃん♡(レオタード衣装着替えるも大事な所は丸出しにくり抜かれてる服をじっくり眺め)   (5/18 12:17:38)

エロガキ♂12KI ◆> ついでにお薬も盛っちゃいますかー   (5/18 12:17:59)

遠野みづき> 【気管じゃなくて股間ね】   (5/18 12:18:16)

遠野みづき> ちょっ……何それ、聞いてない   (5/18 12:18:39)

エロガキ♂12KI ◆> 1.媚薬　2.自白剤　3.利尿剤　4.味覚変化薬　5.淫語誘発剤　6.認識阻害薬　7.感覚遮断薬   (5/18 12:20:40)

エロガキ♂12KI ◆> ほい、振っちゃって～？   (5/18 12:20:58)

遠野みづき> い、いや……だよ、怖い……（思いとは裏腹に手がサイコロを掴み）   (5/18 12:21:43)

遠野みづき> 1d7 → (4) = 4  (5/18 12:21:48)

遠野みづき> 激辛が甘くなったりするやつかな？   (5/18 12:22:13)

エロガキ♂12KI ◆> 使用者の舌の感覚をずらし、本来不味いもの（性器自体、精液）などを美味しく感じられるようになります。効果が大きいので変化後の味の中毒に注意が必要です。   (5/18 12:22:47)

遠野みづき> 【可能であればスプラッタな展開も……しませんが】   (5/18 12:23:45)

エロガキ♂12KI ◆> だってー。おちんぽ関連めっちゃ美味しくなるんだ。ふーん？(陰毛しょりしょりと手遊び弄りながら薬の説明文目を通し)   (5/18 12:23:45)

遠野みづき> 【味覚ってことは匂いも多少影響受けそうだよね】   (5/18 12:24:49)

エロガキ♂12KI ◆> 【確かに。単純におちんぽ関連好物化させられる感じかなー？】   (5/18 12:25:26)

遠野みづき> 【汗臭とかにも有効かもね】   (5/18 12:25:54)

エロガキ♂12KI ◆> そうと決まれば取り敢えずおちんぽしゃぶって貰おっか。シックスナインしよー？   (5/18 12:26:38)

遠野みづき> 【でも普段から精液好きな人にはどうなんだろね】   (5/18 12:27:02)

エロガキ♂12KI ◆> 【おぉ、不味く感じんのかな。姉ちゃんはおちんぽ普段から好きなん？】   (5/18 12:27:37)

遠野みづき> 【ここでは結構美味しくいただいてます】   (5/18 12:28:08)

エロガキ♂12KI ◆> 【となるとハズレ引いたかね？】   (5/18 12:28:55)

エロガキ♂12KI ◆> 【あ、でも生臭さとかそういうのが無くなる感じにもなりそう？生臭かったり雄臭い感じが好きって人も居るだろうけど癖もなくて普通に美味しく感じるんかな】   (5/18 12:30:18)

遠野みづき> 【より美味しくなるにしときましょう。】   (5/18 12:30:23)

エロガキ♂12KI ◆> 【あーい。】   (5/18 12:30:32)

遠野みづき> 私が上で良いんだよね？   (5/18 12:30:59)

エロガキ♂12KI ◆> どっちでも良いよー   (5/18 12:31:18)

遠野みづき> うん……（レオタードの穴の隙間から覗く秘部を顔面に押し付けるように跨り、上体を倒し少年の股間を舌先で突く）   (5/18 12:33:19)

エロガキ♂12KI ◆> 好きなだけ食べていいからなー。(暖かくなって来て汗蒸れ色濃いおちんぽを軽く舐めあげられ、自分も顔に迫るお尻を掴んで開くとおまんこからあなるに掛けて舐め上げ)   (5/18 12:34:53)

遠野みづき> ひゃあっ！　そこ……汚い……よ（アナルを舐められ驚きで背筋が跳ねる。少年の股間から口が離れみづきの指で肉茎を擦っていく）   (5/18 12:38:00)

エロガキ♂12KI ◆> なら余計に綺麗にしてやんないとなー？(思わず舌から逃げようとする様に跳ねる腰を押さえつけあなるにじゅるじゅる吸い付き、おちんぽ擦られると先から汁滲ませ濃い匂いを放ち)   (5/18 12:39:47)

遠野みづき> あっ……や……ダメ、そこ違う……（少年の舌が執拗にみづきのアナルを責める。普段遭わない感覚に驚きながらも逃げられずにされるままビクビクと腰を動かし反応する。）   (5/18 12:43:02)

エロガキ♂12KI ◆> ぷは…。でももう時間だなー…。残念。(時計を見つつ口を離すと舌先で刺激され続けたあなるが唾液まみれになってひくひく蠢き、少し緩み口を開けるあなるに最後にちゅっとキスして)   (5/18 12:45:34)

遠野みづき> ひゃあぁぁぁ！（悲鳴をあげて身体をのけぞらせ荒い息を吐く）   (5/18 12:46:41)

エロガキ♂12KI ◆> ん、結局薬はあんま意味無かったなー。   (5/18 12:47:25)

エロガキ♂12KI ◆> みづき姉ちゃん楽しめたなら良いんだけど   (5/18 12:47:37)

遠野みづき> こ、こんなの……はじめて……（肩で息をしながら少年の体から離れ）うん……そうだね、また、負けたら続きしてあげるね   (5/18 12:48:17)

遠野みづき> 【負けたのに上から発言w】   (5/18 12:48:34)

エロガキ♂12KI ◆> だな、んじゃ今日はあんがとー。姉ちゃんのあなる味する口のまま昼飯食ってくるなー   (5/18 12:49:06)

エロガキ♂12KI ◆> んじゃまたタイミング合ったらー   (5/18 12:49:21)

おしらせ> エロガキ♂12KI ◆6OvpM3d56Eさんが退室しました。  (5/18 12:49:27)

遠野みづき> こら、恥ずかしいこと言うなぁ   (5/18 12:49:49)

おしらせ> 遠野みづきさんが退室しました。  (5/18 12:49:56)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (5/20 22:35:06)

おしらせ> 中野一花さんが入室しました♪  (5/20 22:35:07)

エロガキ♂14C ◆> あーあ、負けちゃったあ……。何するつもりなんだろー……。   (5/20 22:36:03)

中野一花> 10d3 → (1 + 2 + 2 + 3 + 2 + 3 + 1 + 2 + 3 + 3) = 22  (5/20 22:36:37)

中野一花> 33、かな…♪   (5/20 22:37:03)

エロガキ♂14C ◆> 59分くらいまで、ってことかな？   (5/20 22:37:28)

中野一花> じゃあ、じゃあ、…♡……（仰向けにベットに横になり、脚を開脚しながらパンティを脱げば、ワイシャツの釦、胸の谷間が露わになるまで外し、ニマニマ、14Cくんに蕩けたおまんこを指で広げて見せて…♡）だ、ね♡♡じゃ、罰ゲーム…♡お姉さんのこと、君ので犯してもらおーっと♡♡
  (5/20 22:39:34)

エロガキ♂14C
◆> ……？（ベッドの上で突然脚を開きながら服のボタンをはずし、下着を脱ぎ始める一花おねーさんの様子に思わずきょとん、としてしまって。）え、ええええ！？い、いきなりなのにだいじょーぶなの！？って言うか、それ罰ゲーム……って、別にされたい事をさせるでもいいって、ボクが普段から言ってたね。……んっ♡（一花おねーさんの上に覆い被さる様な姿勢で抱き着きついてはおっぱいに顔を擦り付け。おちんちん取り出してはまだ少し固くなりきってないそれを広げられた割れ目の中へと少しずつ挿入れて行き。）
  (5/20 22:42:55)

中野一花> 違う、違う♡♡これは──（こそ、）…罰ゲーム、だよ♡ん…っ、まだ、少ししか硬くなって、ない…ね…っ？♡君には、コレ…♡がないとダメ、かなぁ？♡（まだ半勃起状態のおちんちんを受け入れると、膣内がきゅ、♡きゅ、♡って歓迎するように締め付けながら奥へと誘って…♡ワイシャツの釦、下まで全部外せば、黒いブラに包まれたおっぱい披露し、ぎゅ、♡抱きしめて♡♡）
  (5/20 22:47:15)

エロガキ♂14C
