/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2025年03月04日 23時36分 ～ 2025年03月09日 21時06分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂13Al> ぱーんーつ！　ぱーんーつ！（コール）   (3/4 23:36:43)
◆> 教えてくれてもいいじゃん～？♡ギルドの仕事で忙しくて慰める時間がないのか、それともストレス発散に慰めてるのとかさ♡...あら♡締め付け強くなってるよ♡まだ指で弄ってるだけなのになぁ♡(アリナちゃんを見つめながらGスポットを弄り続け♡)ふふっ...そろそろ準備万端ってところかな？♡
  (3/5 13:27:48)

アリナ・クローバー ◆> ぅ゙るさい…っんん、あっ、それは…(見つめられると睨みつけるが、少し蕩けた顔をしていて、弱いところを擦られているために小刻み震え抱きついてしまい)   (3/5 13:31:40)

エロガキ♂19b ◆> おっと...まさか抱きついてくるなんてねぇ♡...可愛い子だよ本当に♡ほーら、こんなに濡れちゃった♡(指を引抜きアリナちゃんにどろどろに濡れた指を見せ♡)   (3/5 13:33:29)

アリナ・クローバー ◆> これは…違うのっんん、そんなの、見せるな…ばか…(引き抜かれた指を見せられては、自身が気持ち良いと認識させられてしまい、言葉が続かずに)   (3/5 13:34:51)

エロガキ♂19b ◆> 何が違うのかなぁ？♡...こんなに濡らして顔も蕩けちゃって♡...ふふっ...そろそろ俺も限界だしー、、生セックスしちゃおうか♡(ズボンとパンツを脱ぎすでに勃起しているチンポを見せ♡)   (3/5 13:37:15)

アリナ・クローバー ◆> ちょっと…そんなの…(いきなり脱ぎだしては、オチンポを見せつけられて、それから目を逸らしてただ息は荒くなっていて)   (3/5 13:39:05)

エロガキ♂19b ◆> アリナちゃんがエロすぎてもう我慢できないんだよね～♡...それに、アリナちゃんも途中でやめたらモヤモヤしちゃうでしょ？♡(おチンポをオマンコの入り口へと何度もキスさせ♡)   (3/5 13:41:19)

アリナ・クローバー ◆> そんなとこあるわけ…っんん、、っん、(焦らさせるかのように入り口を亀頭に擦り付けられ挿入はされておらずに、つい顔を見てしまい)   (3/5 13:42:47)

エロガキ♂19b ◆> あはっ♡...早くしてほしいって顔になってないー？♡...じゃあ～一気に奥まで！！(ズブッ！♡と勢いよくおチンポを挿入♡根本までしっかりと押込み♡)   (3/5 13:44:19)

アリナ・クローバー ◆> あっ、っんん、あん(勢い良く挿入されては、奥まで突き上げられては身体を仰け反らして)   (3/5 13:45:05)

エロガキ♂19b ◆> ようやくアリナちゃんの中に挿入できた♡...それにすごくいい反応してくれるし♡...(そのまま軽く動き始めたところで終了のアラームがなり)...マジ？、めっちゃいいとこだったのに...   (3/5 13:47:14)

アリナ・クローバー ◆> あっん、っんん、(抱きしめて仰け反ってしまい動きを止められては)えっ、どうするのよ。(こんなところで止められると思わずに)   (3/5 13:48:44)

エロガキ♂19b ◆> んー...時間あるならアフターか個室で続き、、やる？♡(挿入したまま聞いてみて)   (3/5 13:50:07)

アリナ・クローバー ◆> それは…(挿入されたままの状態で聞かれると、ムラムラしっぱなしでつい、首を縦に)好きな方でいいわよ。(かなり小さい声で)   (3/5 13:51:53)

エロガキ♂19b ◆> おっけー、どうせなら独占したいし～...個室の方にいこっか♡部屋はこっちで立てておくから、待ち合わせのところにきてくれるかな？♡   (3/5 13:53:21)

エロガキ♂19b ◆> さーて...移動も完了したしこっちは撤退！お部屋ありがとうございました～！   (3/5 13:56:12)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (3/5 13:56:16)

おしらせ> アリナ・クローバー ◆NPSBFZvbr2さんが退室しました。  (3/5 13:56:42)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (3/5 23:32:16)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (3/5 23:32:26)

おしらせ> レミリアさんが入室しました♪  (3/5 23:32:32)

エロガキ♂18D ◆> げほっ…まさかこんな事されるとは…   (3/5 23:32:56)

エロガキ♂19b ◆> みんな到着！！...とりあいず時間を決めちゃいますよー！！   (3/5 23:34:08)

レミリア> まずは・・・////（全裸になって服を綺麗に下から「スカート→上服→肌着→ブラ→ショーツ→帽子」で積み重ね）   (3/5 23:34:10)

エロガキ♂19b ◆> 脱ぐまでが速い！？ええい！急げぇ！   (3/5 23:34:43)

エロガキ♂19b ◆> 10d3+10 → (3 + 3 + 2 + 1 + 2 + 1 + 2 + 1 + 1 + 3) + 10 = 29  (3/5 23:34:46)

エロガキ♂19b ◆> 3分まで！   (3/5 23:35:05)

レミリア> （全裸で土下座）先ほどは・・えと・・・無礼働き…申し訳ありません///（床に額こすり   (3/5 23:35:20)

エロガキ♂18D ◆> んぉ…レミリアさんの、生着替えからの土下座…(下着になるところで見事に股間が反応し…土下座にゾクゾクすると、より興奮しているようすで)   (3/5 23:35:50)

エロガキ♂18D ◆> 時間については了解です   (3/5 23:36:05)

エロガキ♂19b ◆> ....何も言ってないんだけどなー...はぁ、、多分これかな？(レミィの頭を軽く踏みつけてグリグリと動かしてみて)   (3/5 23:36:41)

レミリア> ・・・３分なんて無理でしょ？貴方達（にまにま   (3/5 23:36:47)

レミリア> ///。（ぞくぞくぞく   (3/5 23:37:16)

エロガキ♂18D ◆> うわ、容赦なっ…こんな事する人じゃなかった、はずなんですけどねぇ…(頭を軽く踏みつける様を見て)あれ、悦んでる？   (3/5 23:37:34)

エロガキ♂19b ◆> ダメだこの変態吸血鬼...はぁ...んで、何のコスチューム持ってきたんですか～？(頭から足を離して今度は背中に座ってみて)   (3/5 23:38:23)

レミリア> 貴族だと見下すのが当たり前だしねぇ～///（ほっこり   (3/5 23:38:40)

エロガキ♂19b ◆> 普段はしないからね！！...18Dさん、勘違いしないでね！？   (3/5 23:38:52)

レミリア> バニー　逆バニー　　逆メイド　メイド（咲夜コス）　スク水。　玩具色々（注射器型　バイブ　ローター・・ete   (3/5 23:40:13)

エロガキ♂18D ◆> いや、少しだけ見ない間に変わっちまったなって思ってたんですけど…なるほど、貴族として見下すのがだから…逆に見下されて、奉仕…？(悪い顔して)   (3/5 23:40:14)

エロガキ♂18D ◆> ローター、ですか…じゃあ、二つありますか？(にやっと笑いながら…)   (3/5 23:41:07)

エロガキ♂19b ◆> とんでもない量持ってきたな！？...だからバック2つもあったのか...(少し体重をかけて座り)   (3/5 23:41:44)

レミリア> バイブ無線２つ　有線２つ　　　ローター無線２つ有線２つ　   (3/5 23:42:39)

レミリア> 魔法で好みの体系に変えてあげる。（今はロリ貧乳のデフォルト   (3/5 23:43:27)

エロガキ♂18D ◆> ほう…では無線使って…(テープで貼り付けて、乳首に二つ着けて…バイブをおまんこに容赦なく挿入して…)んじゃ、スイッチオン…っと…   (3/5 23:44:18)

エロガキ♂19b ◆> 俺はそのままのレミィ結構好きなんだよね～...ロリ体型で体に見合わないような...おもちゃ使ったり、、小さいオマンコに突っ込んだりねって、うわ～...容赦ないねぇ   (3/5 23:44:51)

レミリア> んおぉぉぉ//（白目剥いて寝ころびかなり激し目にもだえくるしむ   (3/5 23:46:02)

エロガキ♂18D ◆> 自分もそのままで…レミリアさんに求めてるのはそうじゃないって言うか…(じゅっぽ、じゅっぽ…スイッチ入れたままのバイブをおまんこの中で容赦なくズポズポしまくって…)あ、寝転んだ…椅子として動けないから、どうかなって思ったんですけど…  
(3/5 23:46:38)

レミリア> んっ・・・んっ////（ホワイトボード「ディルド付きラバーショーツもある」と書き見せる   (3/5 23:46:58)

エロガキ♂19b ◆> レミィなら椅子になってても何とかしてくれるさ(立ち上がり)...こいつなんでも持ってるな！？...んー、、せっかくだし昨日のアレやるか？   (3/5 23:47:52)

エロガキ♂18D ◆> ディルド付きってことは…レミリアさんのおまんこに挿入させるパターンですかね？(悪いこと思い付いた顔)   (3/5 23:47:56)

エロガキ♂18D ◆> おや、昨日のあれですか？じゃあ…自分の攻めはここまでにしたほうがいいです？   (3/5 23:48:21)

レミリア> あっ///（軽くいっちゃった・・・力抜けておもらし   (3/5 23:48:52)

エロガキ♂19b ◆> いやー？下は空くから...問題ないと思うよ、せっかくだしそのショーツ使ってみたらどうよ？...上と下、同時にね   (3/5 23:50:01)

エロガキ♂18D ◆> おっと…お漏らしするなんて、貴族としてどうかと思いますよ？おや、それは好都合…自分もやってみたいことは下にありましたし…ディルドショーツでね？   (3/5 23:50:44)

エロガキ♂19b ◆> ということで、レミィ...口あけてね♡   (3/5 23:50:44)

レミリア> あ。（しっとり唾液で満たされたお口の中をおひろめ   (3/5 23:51:59)

エロガキ♂18D ◆> なるほど…じゃ、ディルドショーツ履いて、股開いてください♡   (3/5 23:52:42)

エロガキ♂19b ◆> 従順で偉いね～...さてさてっと(ズボンとパンツを脱ぎ勃起したおチンポを喉奥まで挿入しちゃって♡)   (3/5 23:53:00)

レミリア> んぶっ！？（つっこまれたけど即突き飛ばしながら離す）   (3/5 23:53:54)

レミリア> はい、”ここ”でのご褒美タイム終了・・・（で「アフタールーム」の鍵ちらつかせながら）ね？（にこっ   (3/5 23:55:05)

エロガキ♂19b ◆> うわっと！！(ゴロゴロと壁に転がり)レミィ～！3分までまだ時間あるぞー？(ブーブー)   (3/5 23:56:01)

エロガキ♂18D ◆> おっと、てっきりもう終了かと……   (3/5 23:56:41)

レミリア> あら・・・３分ってそういう意味？（ごめんあそばせっと。お詫びに首輪付けてリード持たせる。   (3/5 23:57:12)

エロガキ♂19b ◆> ま、俺の言い方が悪かったのもあるけどって...これか...ほいっと(強めにぐっぐっと引っ張り)   (3/5 23:57:52)

エロガキ♂18D ◆> ですって、じゃあリードは19さんに……自分はこっちを…(ディルドパンツをずぽっと穿かせて、脚を開脚させて……)   (3/5 23:58:16)

レミリア> にゃはっ///（引っ張られる力をそのまま１９のちんぽの裏筋に顔押し付け）　みゃ！？///（ディルドが挿入した感触にびくっ）おっ・・・おぉぉっ///（再度白目むいて口すぼめびくびく   (3/5 23:59:52)

エロガキ♂18D ◆> じゃ…これやってみたかったんですよ……(脚をぐいっと引っ張りながら、レミリアさんの股間に自分の脚を押し付け……ブルブル震えさせてディルド挿入電気あんま開始して♡)   (3/6 00:01:02)

エロガキ♂19b ◆> やっぱ変態なんだよなぁ...そんなに押し付けなくても逃げないぞー？(リードを引っ張りながらチンポで押し返してみて)   (3/6 00:01:35)

エロガキ♂18D ◆> おや……一応終了ですね？   (3/6 00:03:30)

レミリア> んっんおぉおぉおぉおぉお///　　じゅるっ・・じゅるるっじゅヴっ///れろっれろぉぉっ（足をきゅぅと締め上げビクビク反応しつつ１８のチンポねっとりしゃぶる   (3/6 00:03:45)

エロガキ♂18D ◆> はい、おしまいですね……いやー、中々……ド変態でしたねぇ……？   (3/6 00:04:30)

エロガキ♂19b ◆> 一応終わりだね～...こういうのも結構好きだからいいんだけど！、、それじゃアフター...行く？   (3/6 00:05:05)

レミリア> ・・・じゃぁ～もっと「狂った変態ロリ」みたい？（にぱぱっと   (3/6 00:05:17)

エロガキ♂18D ◆> 狂った変態ロリ、ですか……まぁ、電気あんまとか、オモチャの続き、していいなら…   (3/6 00:06:11)

レミリア> ええもちろん///（にぱぁぁ   (3/6 00:06:37)

エロガキ♂18D ◆> じゃあ、行きますか……   (3/6 00:06:58)

レミリア> さ、いきましょか。（脱いだ服抱えもち   (3/6 00:07:17)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (3/6 00:07:32)

エロガキ♂19b ◆> レッツゴー！！   (3/6 00:07:39)

おしらせ> レミリアさんが退室しました。  (3/6 00:07:39)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (3/6 00:07:42)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (3/6 02:54:15)

エロガキ♂19b ◆> むぅ...3連勝とはいかなかった...現実は甘くない...( ;´･ω･`)   (3/6 02:54:44)

おしらせ> 天音かなた ◆tfL95lufoEさんが入室しました♪  (3/6 02:55:14)

天音かなた ◆> へっへーん、WINたそ！！   (3/6 02:55:37)

エロガキ♂19b ◆> ぐぬぬ...おめでとう～(しぶしぶ拍手)...むぅ...天使で遊ぶいい機会だと思ったのに～！！   (3/6 02:56:22)

天音かなた ◆> ほれほれ〜、あと一歩及ばずだったなーっ、僕の美ぼでーに触れられなくてざんねん…！(チラチラ)   (3/6 02:58:03)

エロガキ♂19b ◆> ここぞとばかりに煽ってきやがる！？...でもかなたんぶち犯し大作戦が失敗に終わった今...俺にできることはないのだ...時間を決めて、好きにせい！！(じーーーー)   (3/6 02:59:19)

天音かなた ◆> ふっふん、いい気分〜♪……じゃあじゃあ、ぼくのぺぇがGカップだって認めてごめんなさいしたら、お触りぐらいまでなら〜許してあげちゃっても良いかもにゃ〜♪   (3/6 03:01:01)

エロガキ♂19b ◆> かなたんのおっぱいは壁ではなくGカップです！！身長も小さいとかいってすみませんでした！！(音がなるほど盛大な土下座)   (3/6 03:02:09)

天音かなた ◆> プライドねぇのかよ……こ、こほん、慈愛深く慈悲深い天使はあなたの行いを赦しましょう！あーめん！！   (3/6 03:03:16)

エロガキ♂19b ◆> 女の子にさわれるならプライドなんて棄ててやる！！...俺は女の子と遊ぶのが生き甲斐なんだぁぁ！...許してくれるんだ..ほんとに結構慈悲深いな   (3/6 03:05:16)

天音かなた ◆> ま、まぁ別に、イジられ慣れてるっちゃそーだけどさ…！定型文だから、まだ怒ってるから…！……ふふーん、それでぇ〜？キミは僕の身体を触りたい、とな〜？(つんつん)   (3/6 03:06:45)

エロガキ♂19b ◆> 触りたいに決まってるでしょー？...というかなんだかんだ言って...俺は小さい方が好み...というわけで、隅々まで触らせてください！！   (3/6 03:08:28)

エロガキ♂19b ◆> というか時間決めてねえじゃねえか！！えっと10分建ってるから、、10d2で残り時間決めるね！   (3/6 03:09:10)

エロガキ♂19b ◆> 10d2 → (1 + 1 + 1 + 2 + 1 + 1 + 1 + 2 + 2 + 2) = 14  (3/6 03:09:14)

天音かなた ◆> ……今、なんて言った？小さい方が…Gカップって小さいのかなあ…！？(じいい…) はいっ、じゃあ25分までね。ぼくが勝ってるんだから待ったはかけるからなあ！！   (3/6 03:09:51)

エロガキ♂19b ◆> あー、かなたんは大きいよー！...でかパイでかパイ！こんな感じで両手で持てるぐらいにはでかパイ！！(両手で優しく揉んでみて)   (3/6 03:10:47)

