/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2025年03月25日 00時27分 ～ 2025年03月30日 22時14分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (3/25 00:27:43)
エロガキ♂19b ◆> あっという間だよねぇ...ん？何を見せてくれるのぉ？(息を整えながら首をかしげ)楽しみにしてもいいやつかなぁ？   (3/25 01:13:25)

リタ・モルディオ> んっ///（ゆっくり立ち上がり蟹股で頭に手を組んだままにやける。）んっ////（下腹部に力を入れ指でかきださずお腹の力のみで注がれたざーめんひりだす   (3/25 01:15:10)

エロガキ♂19b ◆> わーお...エロくて確かに凄いね♡でも俺が出したもの全部ひねりだしちゃうんだぁ♡...(でてくる精子を見てニヤニヤと笑い)   (3/25 01:16:44)

リタ・モルディオ> んなに？不満？（ひり出し落した相手のお腹にぶちまけた。ゆっくりしゃがみまんこでぬりひろげる・・・手は一切使わない   (3/25 01:19:48)

エロガキ♂19b ◆> まーったく？面白いのがみれたから嬉しいよー♡...っと、ちょっと居すぎだからそろそろ行こっか♡(塗り広げてくのを見ながら息を整え)次はもっともっと沢山出すからさ♡   (3/25 01:21:56)

リタ・モルディオ> ・・・ごめん。そろそろ寝るわ   (3/25 01:24:32)

リタ・モルディオ> 相手感謝ね。（ゆっくり立ち上がり服着なおしながら）あ、そうそう・・・あたしのパンツあげるわ♪（にまっと笑いながら相手の顔の上へ履いてたパンツ投げ置き   (3/25 01:25:47)

エロガキ♂19b ◆> はーい、お相手ありがとね～♡パンツはありがたくちょうだいしよう～！！...(起き上がりパンツを掴み)おやすみ、リタちゃん♡   (3/25 01:26:51)

エロガキ♂19b ◆> じゃあ～先に行くね？(服を着て、リタのパンツを持ったまま先にでていき)【お疲れ様でした！！また遊びましょ～！】   (3/25 01:27:54)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (3/25 01:27:56)

おしらせ> リタ・モルディオさんが退室しました。  (3/25 01:32:33)

おしらせ> エロガキ♂11Tさんが入室しました♪  (3/25 19:47:34)

おしらせ> 空条徐倫さんが入室しました♪  (3/25 19:47:39)

エロガキ♂11T> きましたね…   (3/25 19:47:50)

エロガキ♂11T> 10d3+10 → (2 + 1 + 1 + 1 + 3 + 3 + 3 + 2 + 1 + 2) + 10 = 29  (3/25 19:48:20)

空条徐倫> ８時17分までね   (3/25 19:48:38)

空条徐倫> それで…一体何からすんのよ？…   (3/25 19:48:56)

エロガキ♂11T> まずは…下着だけになってくれます？…目の前で脱いでくださいよ…   (3/25 19:49:21)

エロガキ♂11T> 下着だけになったら…どんな下着なのかをきちんと言ってくださいね～   (3/25 19:50:00)

空条徐倫> っ…わかったわよ…(目の前で服を脱ぎ下着姿になるもまだ平気で)これでいい？   (3/25 19:50:21)

エロガキ♂11T> どんな下着なのかを教えてくださいよ…(わざと言わせようとしてる)   (3/25 19:50:55)

空条徐倫> 深緑のランジェリーよ…目の前で見せてるのに聞いてきてさ…   (3/25 19:52:20)

エロガキ♂11T> だって、言わせたいじゃないですか…(深緑のランジェリーをじろじろ見て…乳房を指で軽くツンツンしてみる)   (3/25 19:53:21)

空条徐倫> っん…なに指でつついてきて…(すると胸を指で軽くつつかれて)   (3/25 19:54:28)

エロガキ♂11T> ほんとおっぱいデカいですね…(ブラの上から鷲掴みして…何度も揉んでいき…)   (3/25 19:55:11)

空条徐倫> んっ//…う、うるさいっ//…(下着の上から胸を鷲掴みにされ揉まれてしまう)   (3/25 19:56:25)

エロガキ♂11T> あ、お姉さん…おっぱい何カップですか？…(ブラをずらして…乳首つまんで…何度も小刻みに引っ張り…もう片方の手を下に伸ばして…クリを何度もショーツごしにこすって…)   (3/25 19:57:21)

空条徐倫> っあぁ//…んんっ//…でぃ…Dよっ///…(ブラをずらされると乳首をつまみ小刻みに引っ張られ、下の方にも手を伸ばしてショーツ越しにクリを擦られ)   (3/25 19:59:10)

エロガキ♂11T> Dカップか～(乳首にしゃぶりついて…あまかみしながら…何度も吸って…ショーツの中に手を入れて、直にクリをつまんでこねていく)   (3/25 20:00:22)

空条徐倫> んぁ//…噛まれるのっ//…ダメッ//んんっ//(すると乳首にしゃぶりついてきて甘噛みされたり座れたりし、下もショーツの中に手を入れられ直接クリを摘ままれ)   (3/25 20:02:00)

エロガキ♂11T> (強めに噛んで…何度もカリっカリっ…クリをつまんで…こすって…)   (3/25 20:02:48)

空条徐倫> んぉ"//…だめっ//…そんなされたらっ///…(次第に何か込み上げてきて)   (3/25 20:04:20)

エロガキ♂11T> これですか？…(さらに何度もカリっカリっカリっカリっ)   (3/25 20:04:41)

空条徐倫> お"ぉ"ん"//…や、やめっ//(何度もされ、だんだんイきそうになり)   (3/25 20:05:43)

エロガキ♂11T> こういうのは？…(乳首を何度もかみながら…デカ尻もいきなり叩いてみる…)   (3/25 20:05:44)

空条徐倫> んぁ"あ"//…それもだめぇっ//(お尻も叩かれ)   (3/25 20:06:30)

エロガキ♂11T> ほんとにやめていいんです？…(お姉さんの手を自分のガキチンポに押し付けて…)   (3/25 20:06:43)

エロガキ♂11T> ほんとはしたないお姉さんだな…(敏感乳首をさらに何度もカリっカリっカリっ…デカ尻をパチンパチンパチン…)   (3/25 20:07:35)

空条徐倫> っうぅ//…(手を相手の肉棒に押し当てられ、頭を横に振る)んぁ"//あんんっ///…はぁはぁ//…あぁんっ///(何度も乳首を攻められお尻も叩かれ、我慢できなくなりイってしまう)   (3/25 20:08:54)

エロガキ♂11T> あれ？勝手にイッたらダメじゃないですか…(敏感乳首をさらにカリカリカリカリカリカリ…デカ尻を強めにパチン…パチン…パチン…)   (3/25 20:09:52)

エロガキ♂11T> 【ガキチンポ欲しいなら…移動しましょうか～】   (3/25 20:10:51)

空条徐倫> はぁはぁあんっ♡//…(イった後もまだ攻められ続けて、イったばかりなので敏感になってて)   (3/25 20:11:53)

空条徐倫> 【分かりました、待ち合わせですか？】   (3/25 20:12:07)

エロガキ♂11T> 【そうしましょう】   (3/25 20:12:17)

エロガキ♂11T> 【こちらは落ちますね～】   (3/25 20:12:39)

おしらせ> エロガキ♂11Tさんが退室しました。  (3/25 20:12:42)

おしらせ> 空条徐倫さんが退室しました。  (3/25 20:12:47)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (3/25 22:07:50)

おしらせ> 樋口円香さんが入室しました♪  (3/25 22:08:15)

おしらせ> エロガキ♂11Tさんが入室しました♪  (3/25 22:08:25)

エロガキ♂11T> さっきは勝てたのにな～   (3/25 22:08:43)

おしらせ> 東風谷早苗さんが入室しました♪  (3/25 22:08:47)

エロガキ♂11T> 負けたら、どんなことされるんだろ…(ドキドキ)   (3/25 22:09:04)

エロガキ♂14C ◆> さてと、それじゃあ時間決めの前におねーさんたちで誰がどっちか選ぶか、まとめてやるか決めちゃってー。   (3/25 22:09:26)

東風谷早苗> いやぁ～「私の固有能力」が発動出来てよかったぁ～♪（にぱ   (3/25 22:09:36)

樋口円香> 早苗さんが先入りしているし、決めてもいいんじゃない   (3/25 22:10:01)

東風谷早苗> あぁ、では・・・Cちゃんを貰います♪（むぎゅっとだきしめ   (3/25 22:10:44)

エロガキ♂11T> じゃ、自分は円香さんに…ですかね？   (3/25 22:11:29)

東風谷早苗> 時間は円さんにお任せです   (3/25 22:12:10)

樋口円香> ちなみに内容はどうする？   (3/25 22:12:42)

東風谷早苗> あ、ちなみに、私の固有能力は「奇跡を起こせる程度の能力」を持ってま～す♪   (3/25 22:12:48)

エロガキ♂11T> 円香さんがしたいように…(こちらとしてはいじめたいけど…(笑))   (3/25 22:13:15)

東風谷早苗> ♪（ちょいちょい。手招き   (3/25 22:13:35)

エロガキ♂14C ◆> 内容はそれぞれのペアで決めて貰えばいいと思うよ。それじゃあ組み合わせは決まってるし、時間決めのサイコロ振ってー。   (3/25 22:14:07)

樋口円香> 複数の場合勝手がわからないものね   (3/25 22:14:08)

樋口円香> 10d3+10 → (2 + 2 + 1 + 2 + 2 + 1 + 2 + 1 + 1 + 3) + 10 = 27  (3/25 22:14:19)

エロガキ♂11T> 41分までですね   (3/25 22:14:37)

樋口円香> 一応きくのだけど、擬音多めとかは抜きにできる？   (3/25 22:15:04)

エロガキ♂14C ◆> ……で、おねーさんは僕に何するの？（手招きされて大人しく早苗おねーさんの元まで歩み寄りつつ、小さく首を傾げて問いかけて。）   (3/25 22:15:37)

エロガキ♂11T> 擬音はなるべくなしに出来ますよ～　下のログを見てくれれば…   (3/25 22:15:45)

樋口円香> ん、わかった……じゃ、早苗さんと14Cの行為みながら扱いて見せてよ（耳元に近づくと囁いて命令して）   (3/25 22:17:19)

東風谷早苗> ん～恥ずかしめます♪（自分の巫女服下着脱いで…押し付ける）着替えてくださいね♪（自分は学生服姿に   (3/25 22:18:03)

エロガキ♂11T> え？…わかりましたよ…(ズボンを脱いで…まだふにゃちんをさらして…)二人のからみ…見せてくださいね…(じろじろ…)   (3/25 22:18:49)

エロガキ♂14C
◆> え、えっと？……これに着替えろって事？（突然目の前で衣服を脱ぎ、脱いだものを押し付けられては目を丸くして呆然と。衣服のみならず下着まで押し付けられては困惑しながらも言われるがままに早苗おねーさんの脱ぎ立ての下着と巫女服──どちらも少し自分には大きいそれを身につけて。）
  (3/25 22:20:59)

東風谷早苗> うふふ♪・・・これをこうすると♪（服肩に手を添え力を流すといっきにぴったりふぃと   (3/25 22:22:35)

樋口円香> それじゃ、開始ね。しっかり観察しながら握って上下に動かして……（続けて指示を出していく、時折耳に息を吹き掛けたりして気を反らせながら耳を責めていく、息とそっけない声で囁いて見せて、辱めを）   (3/25 22:23:24)

エロガキ♂11T> くっ…(ゆっくりしごきながら…耳に吹き掛けられて…少しずつ硬くしていき…)はぁ…はぁ…   (3/25 22:24:42)

エロガキ♂14C
◆> うぁ、え？……なんか、ぴったりサイズになっちゃった。けど、これが罰ゲームって事なのかな？（突然肩に置かれた手、次の瞬間サイズのあっていなかった筈の下着と巫女服が自分の身体に合うサイズへと縮んだのに驚きつつも、未だ状況を把握しきれずに困惑の面持ちのまま早苗おねーさんを見遣り。）
  (3/25 22:25:25)

樋口円香> どんな気分、あの二人をオカズにして扱くのって？しかも扱かれているところ見えてるね（意地悪に囁いていくと追い打ちをかけて）   (3/25 22:26:44)

東風谷早苗> これもってぇ～♪（お祓い棒握らせ）さ、舞をおどってぇ～適当でいいから♪（わくわくにやり   (3/25 22:27:03)

樋口円香> 豆文とか好きなタイプ   (3/25 22:27:11)

樋口円香> 豆文とか好きなタイプ？   (3/25 22:27:50)

エロガキ♂11T> 負けなければな…最悪な気分だよ…(ゆっくりしごきながら…囁かれて…)こんなとこみられて、恥ずかしいし…   (3/25 22:28:23)

エロガキ♂11T> もう少し状況が変われば、もう少し長くかけるかも   (3/25 22:29:16)

エロガキ♂14C
◆> え？こ、これ持って……舞うの？舞うってやったことないんだけど……。（適当でもいい、と言われても頭の中に思い浮かぶ光景は殆ど不鮮明で。仕方なく、適当に持たされたお祓い棒を軽く振ってみたり、その場でゆっくりとステップを踏んでみたりと少しばかり滑稽な様子を見せることになり。）
  (3/25 22:29:34)

樋口円香> 違うやり方でアプローチをかけるってことでいいの？   (3/25 22:29:49)

東風谷早苗> ・・・。（真っ黒ドス黒笑みをつくりイタズラちっくに・・・）あれれぇ～Tくん・・・Cくんの姿に興奮しちゃったの？（あからさまにドS思考でTくんと円さんちらみ   (3/25 22:30:38)

エロガキ♂11T> それがいいかな   (3/25 22:31:45)

樋口円香> シチュがイマイチだった、ゴメンね。流石に残り10分切ったからここまでかな   (3/25 22:32:45)

エロガキ♂11T> いやいや、それはないって…頑張ってしごいてるんだからね…(二人のからみがもっとエロくならないかな～なんて思いつつ…)   (3/25 22:33:01)

東風谷早苗> おちんちんしごいちゃって～♪（あからさま笑い   (3/25 22:33:03)

エロガキ♂14C ◆> ……。（早苗おねーさんの言葉に絶対違うんだろうなあ、なんて考えつつも下手な事を口走って余計に拗れるのも嫌なので口は開かずに舞とも呼べない謎の動きを続け。）   (3/25 22:33:28)

エロガキ♂11T> 円香さん…代わりにおっぱい見せてくださいよ…円香さんのおっぱいで…しごくから   (3/25 22:33:38)

樋口円香> なんか凄い喰いついているんだけど……嫌、そういう気分じゃないし、それだと罰じゃなくなるじゃん   (3/25 22:34:23)

エロガキ♂11T> しごいてのみられてるだけで、罰になると思ってました…残念…   (3/25 22:35:23)

樋口円香> ゴメン11T君とは相性合わなかったかも、負けたほうが主導権握るのかわからくなってきて   (3/25 22:35:31)

エロガキ♂11T> 円香さんに主導権握って欲しいですよ…自分としては   (3/25 22:36:36)

樋口円香> ゴメンね、好みがわからないのと、多分趣向が合わないんだと思う。お互いに無理するのも良くないから   (3/25 22:37:38)

エロガキ♂11T> そうですね～すいません   (3/25 22:38:22)

樋口円香> これは仕方ない。どっちが悪いってことでもないから、ね   (3/25 22:38:59)

東風谷早苗> ・・そんなの「勢い」ですればいいんですよ。（円さんちらみつつ）　それっ（Cくんを後ろから抱きしめる・・で腕の裾Cくん自身の顔に押し付け早苗の臭いかがセル   (3/25 22:39:03)

エロガキ♂14C ◆> んむむっ……（不意に背後から抱き締められたかと思えば服の裾を鼻先に押し付けられて。さなあおねーさんの匂いを微かに感じつつも、気になるのは背中に押し付けられる柔らかい感触の方で。）   (3/25 22:41:08)

エロガキ♂14C ◆> ……ん、時間切れだね。ここまでーっ。   (3/25 22:41:27)

樋口円香> んっ、お疲れ様   (3/25 22:41:36)

東風谷早苗> はい。お疲れ様です。２次会受け付けますよ～♪（にぱ   (3/25 22:42:49)

エロガキ♂14C ◆> 流石にこの状態から続き、って気分にはなれないし僕はこれで離脱かなー。流石に勝てそうなところで一気に負けたのが悔しすぎるから、次こそは勝ちたい……！   (3/25 22:43:39)

エロガキ♂14C ◆> それじゃあ僕はこれでっ。ありがとうございましたー。   (3/25 22:44:02)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (3/25 22:44:11)

東風谷早苗> ん、お疲れ様です。（キリッ   (3/25 22:44:17)

樋口円香> 私もそろそろ失礼するね、おやすみなさい   (3/25 22:44:41)

おしらせ> 樋口円香さんが退室しました。  (3/25 22:44:50)

東風谷早苗> Tくんはどうする？（巫女服に着替えつつ   (3/25 22:46:27)

エロガキ♂11T> お疲れさま～   (3/25 22:48:46)

エロガキ♂11T> ちょっと離脱してました～   (3/25 22:49:04)

エロガキ♂11T> リベンジしようかな   (3/25 22:49:17)

エロガキ♂11T> ではでは   (3/25 22:49:23)

おしらせ> エロガキ♂11Tさんが退室しました。  (3/25 22:49:26)

東風谷早苗> OK？   (3/25 22:49:59)

おしらせ> 東風谷早苗さんが退室しました。  (3/25 22:50:03)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (3/25 23:08:08)

おしらせ> 洩矢諏訪子さんが入室しました♪  (3/25 23:08:33)

おしらせ> ククルさんが入室しました♪  (3/25 23:08:35)

ククル> 勝ちは勝ちなので下着かえしてもらえるかな？（ぐいぐい）   (3/25 23:09:16)

エロガキ♂19b ◆> ぐぬぬ...こんな早く返すことになるなんて！どうぞー！！(大人しく下着を渡して)   (3/25 23:09:50)

洩矢諏訪子> やめといたほうがいいと思うぞ～（ククルちら   (3/25 23:09:52)

ククル> えっ、どういうことですか！？（手をひっこめ）   (3/25 23:10:19)

エロガキ♂19b ◆> べ、別に使ったとかそういう訳じゃないし！...綺麗にしたから大丈夫なはず？...   (3/25 23:10:51)

洩矢諏訪子> 綺麗にしたとかじゃないんだよねぇ～。（じと～   (3/25 23:13:37)

洩矢諏訪子> 臭いくんくん・・・とか～クロッチぺろぺろ～とか・・・（にししっと黒笑み   (3/25 23:14:18)

ククル> （固唾をのみつつ）あ、そういえば時間を決めておかないと！   (3/25 23:14:34)

ククル> って物凄く怖いこと言われてるー！！   (3/25 23:15:01)

エロガキ♂19b ◆> そんな目でみないでよー！そ、そんなことはしてないしっ(目そらし)確かに決めてないー！決めないと！！一生でれないぞー！(明らかな話題そらしである)   (3/25 23:15:11)

ククル> 10d3+10 → (1 + 2 + 2 + 1 + 2 + 2 + 2 + 2 + 1 + 3) + 10 = 28  (3/25 23:15:12)

ククル> よ、43分まで！   (3/25 23:16:02)

洩矢諏訪子> お～お～・・・セックスして妊娠しないと出れない部屋かぁ～？♪（にししっと乗り   (3/25 23:16:13)

エロガキ♂19b ◆> はーい...それはとんでもないドスケベ部屋だけど、まぁ...半分は合ってるの、かも？   (3/25 23:16:47)

洩矢諏訪子> んま・・・どっちにしてもあたしゃぁ～孕まないけどね。（やれやれ   (3/25 23:17:55)

ククル> （戸惑いつつも歩調を合わせて乗ってみる…乗って？）   (3/25 23:18:10)

エロガキ♂19b ◆> おわっ...何で急に乗ってきたの～？...俺としてはククルちゃんも諏訪子ちゃんも孕ませたいところなんだけど...孕まないって言ってるこを孕ませるってロマンあると思わない？ねぇ、ククルちゃん！(ククルちゃんに聞いてみて)   (3/25
23:19:28)

洩矢諏訪子> さて・・・ど～しよっかなぁ～。（白い蛇を出して座る   (3/25 23:19:50)

洩矢諏訪子> 神様が人間みたく妊娠なんてしないよ～。（やれやれ   (3/25 23:20:33)

ククル> わたし相手はいつでもいいってこと？（じと）   (3/25 23:20:40)

洩矢諏訪子> そうだね。あたしはちょいと傍観してるよ。（白い蛇に座り   (3/25 23:22:10)

エロガキ♂19b
◆> いやいや～そんなことないよ！？...ククルちゃんも諏訪子ちゃんも平等に孕ませて行きたい所存でありまして～、、今すぐにでもなんなら毎日でもいや、毎秒でも！！ククルちゃんとはしたい！って思ってるよ？それと、神様を孕ませれたら、、ロマンとか感じない～？  
(3/25 23:22:24)

ククル> うーん、だったらなおさら、あたし経由じゃなくて正面から口説きにいったほうがよくない？（傍観モードに入りつつある諏訪子さん見ながら）   (3/25 23:23:56)

エロガキ♂19b ◆> 経由なんてしないよー？両方とも正面から口説きます！いや、、口説くってよりかはヤらせて下さいってお願いしてる感じなのかも？...うん、こんな感じで....ククルちゃんに中だしさせてください！！(ククルちゃんの目の前で土下座をして)  
(3/25 23:26:28)

洩矢諏訪子> なんか勘違いしなかい？   (3/25 23:27:59)

ククル> （あ、本気モードっぽい…って目線で見守り）   (3/25 23:30:01)

洩矢諏訪子> 見た目は「この有様（少女）」だが、神様は「信仰の意思」の収束し自我が芽生えた存在・・・それが私なんだ。だから、孕むも孕まないも「人の信仰」次第なのさ。   (3/25 23:30:12)

ククル> （真面目に聞いたほうがよさそう…正座）   (3/25 23:32:07)

エロガキ♂19b ◆> いくら中だしをしても孕まない...でも信仰で孕ませたいってのが大きくなったら孕むってことぉ？...(むむむむと頭を悩ませながら正座)...   (3/25 23:32:40)

ククル> 妊娠の概念が違うって言いたいんじゃないかな（いつの間にかこっち側で一緒に考えてる）   (3/25 23:33:44)

洩矢諏訪子> 信仰心ってのは単独ではなく「何十人という大多数の総意」なのさ。・・・残念ながら（やれやれ   (3/25 23:33:53)

洩矢諏訪子> そーいうこと。（ククルにこくり）そして、もっと正しく言うと「妊娠という概念」がそもそもない   (3/25 23:34:47)

エロガキ♂19b ◆> な、なるほどぉ...諏訪子ちゃんを孕ませるのは諦めるしか...ないのか(凄く残念そうな顔をして)むぅ...神様の相手はなかなかしないけどここまで違うとはねぇ～   (3/25 23:35:04)

洩矢諏訪子> んでも、エッチはできるぞ～。（スカートの中のパンツ脱ぎ捨てる   (3/25 23:39:42)

エロガキ♂19b ◆> っとと...なんだか雑談気味になったね～...こういうのも大歓迎だけど、、時間も残り少ないし何かして欲しいこととかないの～？できる範囲ならやるぞー？...とてつもないヤる気を感じた！？   (3/25 23:40:06)

ククル> 妊娠という概念はない…それはそれとして、子供ほしいなあって思ったりとかは？   (3/25 23:40:21)

ククル> 欲望の向き方が予測外だー！？   (3/25 23:41:24)

洩矢諏訪子> あぁ～子供欲しいかぁ～・・・それならありかもね。（真顔でうんうん   (3/25 23:41:53)

エロガキ♂19b ◆> っととそしてそんなお話をしている間に時間になってしまった！？そしてありなんだ...ククルちゃんも子供欲しいとかは思ったりするの？   (3/25 23:43:14)

ククル> ほしいにきまってるよー（あっけらかんと）   (3/25 23:45:02)

ククル> もちろん過程は選びたいけどね（ぼそっ）   (3/25 23:46:57)

エロガキ♂19b ◆> やっぽ欲しいんだー！フムフム人妻ククルちゃん概念を閃いてしまった...！！(末期)っと、、罰時間は終わりだけど～...どうする～？アフターでパコってく？(言い方ぁ！)   (3/25 23:47:25)

洩矢諏訪子> あたしも、つきあってあげるよ。（再度パンツ履きつつ   (3/25 23:48:27)

ククル> うーん、今日は帰ろうかな…始まる時間が遅かったし   (3/25 23:49:53)

エロガキ♂19b ◆> 下着を返しただけになっちゃった！！ならば次勝ったときははまた下着を頂戴しよう～！(ビシッ！とククルちゃんの下半身を指差して予告しておくねっ！)   (3/25 23:50:46)

ククル> 調子に乗るなー！！（回し蹴り！）   (3/25 23:51:33)

エロガキ♂19b ◆> グハッ！！...ナイスキックっ...(ガクッ)   (3/25 23:52:27)

洩矢諏訪子> まぁ～まてまて。（ククルの足受け止め   (3/25 23:52:33)

ククル> 止められた！？   (3/25 23:52:51)

洩矢諏訪子> 代わりに「祟ってやる」から。（落ち着けと   (3/25 23:53:18)

エロガキ♂19b ◆> 俺は風圧で倒れたのか！？腰以外の身体が貧弱すぎる！！...そしてもっと怖いぞ！？   (3/25 23:53:29)

ククル> 蹴られたほうが良かったパターン！？   (3/25 23:53:51)

ククル> と、とにかくわたしは今日のところは帰りますので、あとはお任せします！   (3/25 23:54:31)

洩矢諏訪子> はいは～いおつかれさん。（てふり   (3/25 23:54:46)

おしらせ> ククルさんが退室しました。  (3/25 23:54:53)

エロガキ♂19b ◆> 祟られたくない～！！！ククルちゃんはまたねー！！   (3/25 23:54:55)

洩矢諏訪子> あたしの本職は「祟神」・・・祟りで人々の信仰心を集めてきたのさ。（ふむっと   (3/25 23:55:55)

エロガキ♂19b ◆> 勘弁してくださいよー！！むぅ...ま、いいや！とりあいずアフターいこっか？   (3/25 23:56:31)

洩矢諏訪子> で、どうする？移動するか？   (3/25 23:56:33)

エロガキ♂19b ◆> もっちろんー！女の子二人を前にしてなにもできなくてムラムラしてるからね！！移動しよっ！   (3/25 23:57:47)

洩矢諏訪子> わかったよ～   (3/25 23:58:10)

おしらせ> 洩矢諏訪子さんが退室しました。  (3/25 23:58:15)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (3/25 23:58:18)

おしらせ> ククルさんが入室しました♪  (3/26 21:35:04)

おしらせ> エロガキ♂13Alさんが入室しました♪  (3/26 21:35:04)

エロガキ♂13Al> やる罰が決まってない時は看板にあるお品書きが使えるかも？   (3/26 21:36:31)

ククル> さっきも言ったけど罰に関しては完全ノープランで入っちゃったから…とりあえず時間！   (3/26 21:36:44)

