/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年11月06日 23時20分 ～ 2024年11月09日 09時13分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂15M ◆> うっ……うぅ……(横になったまま涙して) こ、今度こそ…今度こそ、勝つからなぁ……！   (2024/11/6 23:20:15)
エロガキ♂19H> ちょうどいい時間ですね……(顔を離して) このあと移動とかどうですか？   (2024/11/7 00:36:23)

キョン子> や……も、もぅ……許して……(上の空のような表情で首を横に振る)   (2024/11/7 00:37:16)

エロガキ♂19H> それでは、また今度ですね(優しく唇にキスをして)   (2024/11/7 00:38:36)

キョン子> 【お相手ありがとうございました。】   (2024/11/7 00:39:02)

エロガキ♂19H> こちらこそ！   (2024/11/7 00:39:34)

おしらせ> キョン子さんが退室しました。  (2024/11/7 00:39:42)

おしらせ> エロガキ♂19Hさんが退室しました。  (2024/11/7 00:40:14)

おしらせ> 常闇トワ ◆oGpXeP7rCgさんが入室しました♪  (2024/11/7 22:03:48)

おしらせ> 白珠 ◆Mhy5pZ/rlkさんが入室しました♪  (2024/11/7 22:03:51)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが入室しました♪  (2024/11/7 22:03:53)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/7 22:03:55)

おしらせ> エロガキ♂19Hさんが入室しました♪  (2024/11/7 22:04:03)

エロガキ♂14C ◆> 4連敗は流石に悔しい！（ばんばんばん！）   (2024/11/7 22:04:13)

白珠 ◆> と、はいえ……こうなると罰をどうしたものか……。トワさん、勉強させてもらっても？   (2024/11/7 22:04:47)

エロガキ♂14C ◆> えーっと、そーしたら……17Lおにーさんは結局参加？   (2024/11/7 22:05:06)

エロガキ♂17L ◆> とりあえず時間決めちゃえば？   (2024/11/7 22:05:13)

エロガキ♂17L ◆> うん、久々に参加するよ   (2024/11/7 22:05:23)

常闇トワ ◆> 意外と来る人少ない？   (2024/11/7 22:05:53)

エロガキ♂19H> 指名と全員まとめてどちらがいいですか？   (2024/11/7 22:06:00)

エロガキ♂19H> みんな支援って言って抜けていきましたね   (2024/11/7 22:06:21)

エロガキ♂14C ◆> とりあえずおねーさんたちの判断に任せるよー。勝ちたかったなあ……（三角座り）   (2024/11/7 22:07:12)

常闇トワ ◆> トワは指名でいいけど   (2024/11/7 22:07:14)

白珠 ◆> ではトワさん、お一人でも三人でも、ご自由に指名をどうぞ。   (2024/11/7 22:07:37)

常闇トワ ◆> 14C君と戦いたくて入ったからな〜   (2024/11/7 22:08:25)

エロガキ♂19H> そこは確定ですよね…   (2024/11/7 22:08:40)

エロガキ♂14C ◆> お手柔らかにお願いね……？   (2024/11/7 22:08:54)

エロガキ♂17L ◆> じゃあ、トワ様は14C単体指名になるか？   (2024/11/7 22:09:25)

常闇トワ ◆> 白珠さんはどうしますか？   (2024/11/7 22:09:27)

白珠 ◆> では二人はあたしが引き取りましょう。……そうだ、試験的にアレを導入してみますか……。（ぽそり、）   (2024/11/7 22:09:29)

エロガキ♂19H> 白珠さんの言い方的に残りを指名するかいなかですけど   (2024/11/7 22:09:32)

白珠 ◆> ではトワさん、次いで時間の決定もお願いします。   (2024/11/7 22:09:54)

常闇トワ ◆> 10d3 → (1 + 3 + 2 + 3 + 2 + 3 + 2 + 3 + 1 + 3) = 23  (2024/11/7 22:10:08)

エロガキ♂17L ◆> 33分までか   (2024/11/7 22:10:36)

エロガキ♂14C ◆> （十五連敗の猛者とか雑談部屋で言ったのが祟ったかなあ……）   (2024/11/7 22:10:55)

常闇トワ ◆> さてと14C君個室でいじめてあげようか？   (2024/11/7 22:11:43)

エロガキ♂14C ◆> ひぇっ……   (2024/11/7 22:11:58)

白珠 ◆> では19Hさん、17Lさん。お二人はあたしが請け負いますが……なにぶんあたしは初めてなので不手際があったらごめんなさい。（一礼して。）まず最初にお二人とも、“薬物”の類に抵抗（NG）はございますか？   (2024/11/7 22:12:04)

エロガキ♂19H> 薬物の種類によりますが…？   (2024/11/7 22:12:30)

エロガキ♂14C ◆> わかった……付いてくからお部屋用意して？>トワおねーさん   (2024/11/7 22:12:35)

常闇トワ ◆> え〜ww   (2024/11/7 22:12:46)

エロガキ♂17L ◆> あっ……はいよろしくお願いします(ぺこり)え？薬物…？自分も物によるかも……   (2024/11/7 22:13:46)

常闇トワ ◆> 作ったよ〜   (2024/11/7 22:13:50)

白珠 ◆> それは確かに。では今回は冗句……笑える方にしておきましょうか。注射針が苦手なら飲み薬、霧吹き状もありますが……。それはそれとして、では19Hさん、17Lさん。共に1d6を振っていただけますか？   (2024/11/7 22:14:19)

エロガキ♂19H> 1d6 → (6) = 6  (2024/11/7 22:14:45)

エロガキ♂14C ◆> 入ったから落ちるー、いってきまぁす……！   (2024/11/7 22:14:47)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/7 22:14:51)

エロガキ♂17L ◆> 1d6 → (3) = 3  (2024/11/7 22:14:56)

常闇トワ ◆> 行ってくるね〜   (2024/11/7 22:14:57)

おしらせ> 常闇トワ ◆oGpXeP7rCgさんが退室しました。  (2024/11/7 22:15:00)

白珠 ◆> お二人はいってらっしゃいませ。   (2024/11/7 22:15:10)

エロガキ♂19H> お疲れ様でした   (2024/11/7 22:15:11)

エロガキ♂17L ◆> お疲れ様   (2024/11/7 22:15:18)

白珠 ◆> ふむ……では19Hさんはもう一度、お次は1d7をお願いします。   (2024/11/7 22:15:35)

エロガキ♂19H> 1d7 → (1) = 1  (2024/11/7 22:16:04)

白珠 ◆> では17Lさんはこちら、性転換薬です。（カプセル状の飲み薬を笑顔で手渡し、）   (2024/11/7 22:16:37)

白珠 ◆> 19Hさんはこちら、肉体発光薬ですね。効果は……1なので、頭部が……。（目を逸らしつつ、渡した。）   (2024/11/7 22:17:13)

エロガキ♂19H> えええ…(頭を振りながら)   (2024/11/7 22:17:59)

エロガキ♂17L ◆> (カプセル受け取って)これを飲めってことか……聞きたくなかった単語が聞こえてきたけど……(カプセルを口に含んでそのまま飲み込み)どんくらいで効果出るの？これ   (2024/11/7 22:18:42)

白珠 ◆> 効果はすぐに出ます。効果時間は罰時間いっぱいまで……。この部屋から出る頃には消えていますよ。   (2024/11/7 22:19:15)

エロガキ♂17L ◆> そんなにすぐ出るのか……(そう言ってる間に女性らしい体つきになっていくと)うわぁ……なんかすごく違和感しかない……   (2024/11/7 22:20:45)

白珠 ◆> 可愛らしいですよ、感覚もついてくると思うので楽しんでみてはいかがです？（元のアレが大きいほど胸が大きくなったりしてもいいですね、）   (2024/11/7 22:21:32)

白珠 ◆> 【実際今回、罰と言いつつある意味試験的なものを含んでいますので、少々楽しみに欠けるとは思いますが……発展の為と思ってお付き合いください。】   (2024/11/7 22:22:19)

エロガキ♂19H> これはその…はい…(ため息をつきながら)   (2024/11/7 22:22:28)

エロガキ♂17L ◆> 【なるほどね、了解〜】   (2024/11/7 22:22:38)

エロガキ♂19H> 【わかりました】   (2024/11/7 22:23:32)

白珠 ◆> 19Hさんは乳首が光り輝く可能性もあったので、ある意味では助かったと言えるかもしれませんね！（気まずそうに笑った、）   (2024/11/7 22:23:44)

エロガキ♂19H> うーん、何とも言えない…他にどんな薬が？(頭が輝く)   (2024/11/7 22:24:42)

白珠 ◆> しかしこれは、なるほど。やはり懸念通りの問題点と……。最初からリストを可視化しておく方がダイス時の楽しみが増えますね。   (2024/11/7 22:24:57)

エロガキ♂17L ◆> そう真正面から言われると意外と恥ずかしいもんだな…楽しむって言われてもな……(胸の下で腕を組んで胸を支えながら首を傾げて慣れない感覚に戸惑っている)   (2024/11/7 22:25:16)

エロガキ♂19H> たしかにですね   (2024/11/7 22:25:21)

白珠 ◆> 気になりますか？薬には『えっちなコトに使えるよ♡』コースと、『ジョークで場を和ませよう☆』コースがありました。今回は後者を用いましたが……。   (2024/11/7 22:26:00)

エロガキ♂19H> 結構気になりますねそれ…   (2024/11/7 22:27:04)

白珠 ◆> 失礼します。（17Lさんの股間をズボン越しにさわさわ……。異物感は、そこになく。代わりに喪失感が置き去りになっているかもしれません。）   (2024/11/7 22:27:25)

白珠 ◆> やはりこれは乗り手の技量に左右されるところが……。あ、いい機会なのでこれも罰の一つとしてお訊ねしたいのですが、二人はこんな薬があればいいな、という案はありますか？もちろん、罰として女性に呑ませるならという体で考えていただいても結構です。  
(2024/11/7 22:28:51)

エロガキ♂19H> うーん、SとMが逆転する薬？   (2024/11/7 22:29:28)

白珠 ◆> なるほど……元々がどちらかに偏っている人物なら面白いかもしれませんね。（メモメモ、）   (2024/11/7 22:29:59)

エロガキ♂17L ◆> ちょっと！？……なんだろ、あるはずのものが無い違和感で余計に混乱する……(触られてさらにあるはずのものが無い違和感に混乱しながら)ん？こんな薬かあればいいな……ねぇ？痛覚を快感に書き換える薬とか？どう？   (2024/11/7
22:31:19)

白珠 ◆> ……お二人とも、嗜虐性と被虐性に関して趣味が傾倒していらっしゃるみたいですね。（苦笑しながらメモした。面白いかもしれないけれど、絵は酷いことになるかも……。）   (2024/11/7 22:32:14)

白珠 ◆> ではそろそろ時間ですね、お二人ともご協力ありがとうございました。薬はそろそろ効果が切れますので……。   (2024/11/7 22:33:02)

エロガキ♂19H> お疲れ様でした   (2024/11/7 22:33:09)

白珠 ◆> 【改めて、試験に付き合っていただき感謝します。急な無茶ぶりに近いものでしたが……。】   (2024/11/7 22:33:37)

エロガキ♂19H> 【大丈夫ですよ】   (2024/11/7 22:33:51)

エロガキ♂17L ◆> ん、意外と恥ずかしいもんだね……(元に戻って一息吐いて)   (2024/11/7 22:34:05)

白珠 ◆> これが実装された暁には是非勝利して、薬を実用してみてくださいね。   (2024/11/7 22:34:09)

エロガキ♂19H> はい！   (2024/11/7 22:34:21)

白珠 ◆> では、お疲れ様でした！また戦場……じゃない、遊戯場で会いましょう！   (2024/11/7 22:34:44)

エロガキ♂17L ◆> 【全然大丈夫ですよ〜】   (2024/11/7 22:34:47)

エロガキ♂19H> はーい！   (2024/11/7 22:34:56)

エロガキ♂19H> ありがとうございました   (2024/11/7 22:35:01)

エロガキ♂17L ◆> はいよ〜、お疲れ様   (2024/11/7 22:35:10)

白珠 ◆> （……これはあたしじゃなく、ルアン・メェイや薬王秘伝の役割ですね……。）   (2024/11/7 22:35:25)

おしらせ> 白珠 ◆Mhy5pZ/rlkさんが退室しました。  (2024/11/7 22:35:29)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが退室しました。  (2024/11/7 22:35:32)

おしらせ> エロガキ♂19Hさんが退室しました。  (2024/11/7 22:35:37)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/7 23:48:21)

おしらせ> 十六夜咲夜 ◆t1X293JlUEさんが入室しました♪  (2024/11/7 23:48:25)

十六夜咲夜 ◆> さてさて、どうしますかねぇ…   (2024/11/7 23:48:35)

十六夜咲夜 ◆> 10d3 → (2 + 3 + 1 + 1 + 1 + 1 + 3 + 3 + 1 + 1) = 17  (2024/11/7 23:48:58)

十六夜咲夜 ◆> あら、短めね   (2024/11/7 23:49:05)

エロガキ♂14C ◆> 6分まで、だね。   (2024/11/7 23:49:08)

エロガキ♂14C ◆> ……これまでの恨み晴らされるのかなぁ。（大人しく三角座りで咲夜おねーさん見上げ）   (2024/11/7 23:49:48)

十六夜咲夜 ◆> んー、どうしようかしらねぇ…   (2024/11/7 23:49:57)

十六夜咲夜 ◆> いや、恨みだなんて人聞きの悪い…   (2024/11/7 23:50:06)

エロガキ♂14C ◆> ……母乳……（ぼそっ）   (2024/11/7 23:50:23)

十六夜咲夜 ◆> ぶふっ！？(動揺して何しようとしたか忘れた)   (2024/11/7 23:51:36)

エロガキ♂14C ◆> （煽るつもりがなんか余計なことした感）   (2024/11/7 23:51:57)

十六夜咲夜 ◆> さすがに14くんを足蹴にするのは気が引けるからねぇ…(次の瞬間体育座りの14くんの後ろに来て)   (2024/11/7 23:52:41)

エロガキ♂14C ◆> 咲夜おねーさんが子供いじめるところ、あまり想像つかないくらい優しいし……はぇ？（不意に咲夜おねーさんの姿が視界から消えて、背後に気配を感じると少し背筋が伸びて）   (2024/11/7 23:53:50)

十六夜咲夜 ◆> ふぅ、趣向変えてこういうのはどうかしらねぇ(バックハグしつつ頭におっぱい乗せて)   (2024/11/7 23:54:02)

エロガキ♂14C ◆> んむっ……おっぱい、やわらかい……。（頭の上に柔らかな感触と、抱き締められると心地良さに目を細めて。）   (2024/11/7 23:54:40)

十六夜咲夜 ◆> まあ子供にはどうしても甘くなるわよ。ふふ、すぐそこにあるのに手出し出来ないのはもどかしいでしょお？(煽るような)   (2024/11/7 23:55:19)

エロガキ♂14C ◆> ……ぅー、確かにもどかしくは……ある。（罰ゲームが故に顔を押し付けたり触ったりと自主的に動く訳にいかず、少しもどかしい面持ち浮かべ。）   (2024/11/7 23:56:15)

十六夜咲夜 ◆> 下脱がせたりとかは…んー、任せようかしら。むずむずしてないかしら？(ズボンが膨らんできそうなの見て)   (2024/11/7 23:59:03)

エロガキ♂14C ◆> ……いじわる。もー、少ししか時間ないのに……（ズボンの股部分を微かに膨らませながら、不満げに顔を上へ逸らして咲夜おねーさん見上げ。）   (2024/11/8 00:00:22)

十六夜咲夜 ◆> ふふ、脱いじゃっていいわよ？(見上げられて…わざとおっぱい擦り付けて)   (2024/11/8 00:01:32)

エロガキ♂14C ◆> ぅー……（おっぱい擦り付けられると興奮しちゃって、更におちんちん大きくなっちゃって。言われるがままズボンと下着を脱いで、固くなったおちんちん晒け出して。）   (2024/11/8 00:02:44)

十六夜咲夜 ◆> あら、もうかたくしてる…ちょっと弄ってあげるわね…♪(下着を取り出すと、先っぽをすりすりと…)   (2024/11/8 00:04:36)

十六夜咲夜 ◆> (脱いだのか別のなのかは想像に任せるわよ)   (2024/11/8 00:05:07)

エロガキ♂14C ◆> は、うっ……♡（おちんちんの先っぽすりすり擦られて、気持ちよさにびくっ、と身体跳ねさせて…）って、これ……咲夜、おねーさん、の……っ？♡   (2024/11/8 00:05:48)

十六夜咲夜 ◆> (責め慣れてないから時間足りない…！)   (2024/11/8 00:05:54)

エロガキ♂14C ◆> （じー……（かんぎれ））   (2024/11/8 00:06:12)

十六夜咲夜 ◆> 私のよ…♪   (2024/11/8 00:06:14)

エロガキ♂14C ◆> （じぃー）   (2024/11/8 00:06:36)

十六夜咲夜 ◆> …移動するかしら。多目的でも個室でも…   (2024/11/8 00:06:46)

エロガキ♂14C ◆> 今は多目的じゃなくてアフターのお部屋があるんだって。……けど、個室でお願いしてもいい？   (2024/11/8 00:07:15)

十六夜咲夜 ◆> ええ、いいわよ。(あら、アフター用って明言されてるのね)   (2024/11/8 00:07:46)

十六夜咲夜 ◆> 非公開は対応できないですが…部屋はお任せするわよ   (2024/11/8 00:08:11)

エロガキ♂14C ◆> 用意したよ。   (2024/11/8 00:08:57)

おしらせ> 十六夜咲夜 ◆t1X293JlUEさんが退室しました。  (2024/11/8 00:09:22)

エロガキ♂14C ◆> お部屋ありがとーございましたーっ   (2024/11/8 00:09:36)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/8 00:09:39)

おしらせ> エロガキ♀15kbさんが入室しました♪  (2024/11/8 13:37:01)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/8 13:37:01)

おしらせ> 雪花ラミィさんが入室しました♪  (2024/11/8 13:37:09)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/8 13:37:18)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/11/8 13:37:27)

おしらせ> 花海佑芽さんが入室しました♪  (2024/11/8 13:37:37)

胡桃 ◆> お待たせ〜！皆揃ったね。   (2024/11/8 13:37:46)

エロガキ♀15kb> ウメさんとももちろんですが、やっぱり久しぶりのラミィさんと、さらに部屋主さんとも遊ぶの久しぶりで、ガチ張り切り状態でしたね♪（どやぁ   (2024/11/8 13:37:50)

エロガキ♂14C ◆> 1d20で決めるよー（自虐的選択）   (2024/11/8 13:37:55)

胡桃 ◆> 相手決めは好きな方法でどうぞ〜、私は個室行かないけど！   (2024/11/8 13:38:03)

エロガキ♂14C ◆> 1d20 → (12) = 12  (2024/11/8 13:38:13)

エロガキ♀15kb> １ｄ２０ → (10) = 10  (2024/11/8 13:38:20)

エロガキ♂19b ◆> １ｄ２０ → (14) = 14  (2024/11/8 13:38:23)

胡桃 ◆> ほんっとにね…kbちゃん最後まで強かったんだけど…   (2024/11/8 13:38:29)

エロガキ♂14C ◆> （ここに来て……）   (2024/11/8 13:38:40)

エロガキ♂14C ◆> じゃあとっとと19bにーさんから選びなよ   (2024/11/8 13:38:55)

雪花ラミィ> かーびーちゃんが本気出してたねー。物欲センサーガン無視て。   (2024/11/8 13:38:56)

エロガキ♀15kb> お助けキタちゃん改め、張り切りドヤちゃんでしたね   (2024/11/8 13:38:57)

エロガキ♂19b ◆> こういうときは勝てるんだよねー胡桃ちゃんでー   (2024/11/8 13:38:57)

胡桃 ◆> はーい！   (2024/11/8 13:39:20)

エロガキ♀15kb> 物欲というか、もう負けてもいいから遊びたい人そろい踏みっていう状況ですからね～♪   (2024/11/8 13:39:29)

エロガキ♂14C ◆> 悩ましいんだけど……けど、誘いかけた立場だし佑芽おねーさんで！   (2024/11/8 13:39:40)

花海佑芽> はい！   (2024/11/8 13:39:48)

胡桃 ◆> (そういう時あるよね、遊びたいだけ)   (2024/11/8 13:39:49)

エロガキ♀15kb> では、ラミィさんのおっぱいを時間まで揉ませていただきます。（胡桃さんやウメさんもよさそうですが、今回はサイコロの運がそういう流れなのですね）   (2024/11/8 13:40:26)

エロガキ♂14C ◆> じゃあ相手決まったし時間決めー。そーれっ。   (2024/11/8 13:40:53)

エロガキ♂14C ◆> 10d3+10 → (2 + 3 + 2 + 2 + 3 + 3 + 2 + 2 + 3 + 2) + 10 = 34  (2024/11/8 13:41:04)

エロガキ♂14C ◆> （うん？）   (2024/11/8 13:41:13)

花海佑芽> 1がない！   (2024/11/8 13:41:16)

エロガキ♀15kb> 20分の14　かなり上振れましたね   (2024/11/8 13:41:17)

エロガキ♂19b ◆> 上振れ～   (2024/11/8 13:41:25)

雪花ラミィ> ラミィ34分乳揉み…？いや、ええけど（）   (2024/11/8 13:41:27)

エロガキ♂14C ◆> 15分までー。スタート！   (2024/11/8 13:41:42)

胡桃 ◆> (ちょこん、)   (2024/11/8 13:41:57)

エロガキ♀15kb> 脱がされたいですか？アタシとしては、ただ背後から抱っこして、もみもみさせてもらえればそれでもいいんですけど。（はい、どうぞって座っておいでおいでの前開けつつ）   (2024/11/8 13:42:08)

花海佑芽> （並んでちょこん）   (2024/11/8 13:42:30)

エロガキ♂19b ◆> あら可愛い...どうしよ～とりあいず、、胡桃ちゃんは足こっち向けてくれる～？   (2024/11/8 13:42:46)

エロガキ♂14C ◆> って訳で……甘えるつもり満々だったんだけど、なんかあっちでおっぱい揉むとか言い出してるし、僕も触っていい？あ、勿論一気に脱がないでね？（座ってる佑芽おねーさんの元へ歩み寄って、耳元でぼそぼそ）   (2024/11/8
13:42:58)

雪花ラミィ> なんかカービィちゃん、後ろから結構好きよね。ラミィは仰せのままにやで…！（ラミィはカービィちゃんの前にちょこん。）   (2024/11/8 13:43:35)

エロガキ♂19b ◆> (みんなちょこんって座ってるのちょっと面白い！)   (2024/11/8 13:43:56)

花海佑芽> あ、えっと、つまり服の上から？（ぼそぼそしながらこくこく頷きます）   (2024/11/8 13:44:17)

胡桃 ◆> うーん？こうでいいのかな？(靴とかソックスとか、履いたまま片足？両足？って首傾げながらとりあえず片足斜めに向け、両手後ろについて体支えて)   (2024/11/8 13:44:45)

エロガキ♀15kb> ここで裏切りの前から座っていただいてもいいんですけど♡こうしてると、うなじとか首筋とか匂い嗅げて……耳の後ろも♡忘れがちですけどラミィさんってエルフ耳なんですよね♡（指でとんがりつまんでもみもみ）   (2024/11/8
13:44:56)

胡桃 ◆> (ちょこん座りは派生する…！)   (2024/11/8 13:45:07)

花海佑芽> （仲間意識です！）   (2024/11/8 13:45:29)

エロガキ♂14C ◆> 途中はだけたりはしちゃうかも……ね？（座ってる佑芽おねーさんの脚の上に腰を下ろして、目の前のおっぱいにまずは顔を押し付けるように抱きついて。服装は制服？でいい、のかな？）   (2024/11/8 13:46:04)

花海佑芽> （胡桃さんは腹筋が始まりそう＞のーきんの発想。）   (2024/11/8 13:46:36)

エロガキ♂19b ◆> そんな感じで大丈夫～...胡桃ちゃんは胸は残念だけど、、こことかは一級品だからね～合法的にさわれる今堪能しておかねば！！(手を足に伸ばして太ももから下にかけて、撫でるように触っていき)   (2024/11/8 13:46:59)

胡桃 ◆> (本当にただの罰じゃん…！)   (2024/11/8 13:47:06)

胡桃 ◆> 今凄い余計な一言だったよね？ここじゃなかったら手を出してたかも…(太腿に手が触れるとぞくり。微かに身震いさせれば下へ向かって動く手を目で追いかけて。態とらしく太腿を閉じて魅せて)   (2024/11/8 13:48:40)

花海佑芽> あ、あの、あんまりシワになっちゃうと困るんですけど（恥ずかしいやら困るやら、ふとももに座られるような体勢から、制服越しに抱きつかれてます）   (2024/11/8 13:48:41)

雪花ラミィ> カービィちゃんって匂いフェチなんや…メモメモ。……ん？カービィさん？耳はよしてね。耳はね、ダ……ん、ん〜…♥（耳摘まれると擽ったそうに身体を震わせて脱力エルフ）   (2024/11/8 13:49:17)

エロガキ♂14C ◆> えへへ、程々にしとくねっ？でも、一気に脱げない分覚悟出来なくて恥ずかしいかなー？ってアンプ（暫く制服の布地越しのおっぱいを堪能してから、まずはカーディガンのボタンを一つ一つぷつ、ぷつ、と外して。）   (2024/11/8
13:50:59)

エロガキ♂14C ◆> （僕より煽り方がひどいなーと思った（小学生並みの感想））   (2024/11/8 13:51:25)

