/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年11月11日 00時56分 ～ 2024年11月12日 23時28分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂12Ω ◆> うし、てな訳で俺はサラダバー。寝るかは分からんが。   (2024/11/11 00:56:18)
宝鐘マリン> じゃあまずはすっぽんぽんになってください   (2024/11/11 03:01:16)

エロガキ♂19b ◆> うっ...わかったよー！！(服を1枚ずつ脱いで船長の目の前で全裸になり)これでいいかな？...すこし寒い...   (2024/11/11 03:02:13)

宝鐘マリン> まぁもう冬がすぐそこですからねぇ じゃあそのまま自分でシコッてくださいねー   (2024/11/11 03:03:16)

宝鐘マリン> 無論船長に触れちゃダメですよ   (2024/11/11 03:03:43)

エロガキ♂19b ◆> 先にいわれた... 船長で見抜きね....余裕でできちゃうかも！(チンポを掴みシコシコと扱き始めればあっというまに大きくなり♡)   (2024/11/11 03:04:36)

宝鐘マリン> なかなか立派なモノを持ってますねぇ そんなものでマリンを汚そうとしてたんだぁ   (2024/11/11 03:06:10)

エロガキ♂19b ◆> 船長は～何だかんだエロい身体してるからねぇ...ハメたかったんだけどなぁ...(嘆きながらも扱く手は止めずにいるとチンポはガチガチになり先端から我慢汁を垂らして♡♡)だから...悔しいかもぉ   (2024/11/11
03:07:22)

宝鐘マリン> 意気揚々と犯すつもりマンマンだったのにすることはいつもと同じオナニーとはこれまた無様ですねぇ   (2024/11/11 03:08:12)

エロガキ♂19b ◆> そうなんだよねぇ... っん....ほんとっ、、何でこうなったのやら...(チンポをビクビクと震わせてムワッとした雄臭を漂わせながら扱き続け♡)   (2024/11/11 03:09:36)

宝鐘マリン> なっさけないですねぇ 少しは船長も手伝ってあげましょうかね ふぅ♡（傍に歩いてきて耳に息を吹きかける）   (2024/11/11 03:12:22)

エロガキ♂19b ◆> 本当なら船長の中に即ハメして種付けする予定だったのに！！んんっ...(耳に息を吹き掛けられ全身をビクッ♡♡と震わせて)サービス精神旺盛だねぇ...あぁ♡(チンポはいまにもはち切れそうなくらい大きくなり♡♡)   (2024/11/11
03:13:46)

宝鐘マリン> まぁ船長も鬼じゃないですからねぇ ほらほら 自分ですっぽんぽんの状態でみっともなくしーこ♡しーこ♡してようねぇ♡（肩に手を載せるとオナニーを促すように耳元で囁き続ける）   (2024/11/11 03:16:46)

エロガキ♂19b ◆> 船長のASMRやばぁ....こんなの我慢できないっ♡(シコシコと扱きながらみっともなく腰もヘコヘコ振ってしまい♡)   (2024/11/11 03:18:27)

宝鐘マリン> ほーらみっともなくイッちゃえ♡ほら♡（1人でヘコヘコし続けているところに亀頭を指でピンッと弾く）   (2024/11/11 03:20:19)

エロガキ♂19b ◆> あっ...それ！無理ぃ！！♡♡いぐ！(敏感になっているときに亀頭を弾かれ我慢できずに濃厚精子を無駄撃ち大量射精してしまい♡♡)   (2024/11/11 03:21:33)

宝鐘マリン> はーいイッちゃったねぇ サイコロだけじゃなくてちんぽも雑魚みたいだねぇ じゃあ時間だね   (2024/11/11 03:22:42)

エロガキ♂19b ◆> くっそ...次あったときは...勝つから！！   (2024/11/11 03:23:09)

宝鐘マリン> ばいばーい   (2024/11/11 03:23:56)

おしらせ> 宝鐘マリンさんが退室しました。  (2024/11/11 03:23:58)

エロガキ♂19b ◆> くやしい...お疲れさま！！   (2024/11/11 03:24:27)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/11 03:24:28)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/11/11 14:38:35)

おしらせ> レモン・アーヴィンさんが入室しました♪  (2024/11/11 14:38:39)

胡桃 ◆> 到着！   (2024/11/11 14:38:40)

レモン・アーヴィン> ここでいいんでしょうか   (2024/11/11 14:38:47)

おしらせ> エロガキ♂11Tさんが入室しました♪  (2024/11/11 14:38:47)

エロガキ♂11T> 大丈夫だよ   (2024/11/11 14:38:55)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/11 14:39:01)

胡桃 ◆> 私がいるよ！？   (2024/11/11 14:39:06)

おしらせ> エロガキ♀15kbさんが入室しました♪  (2024/11/11 14:39:20)

エロガキ♀15kb> レモンさんOKです♪   (2024/11/11 14:39:26)

胡桃 ◆> これで揃ったね〜！じゃあ説明はkbちゃんに一任！(びし、)   (2024/11/11 14:39:44)

エロガキ♀15kb> で、ここで次は勝った側が勝負部屋での入室順に相手を選びます。   (2024/11/11 14:39:45)

エロガキ♀15kb> まぁ、全員が全員という場合もありますが　今回は置いといて   (2024/11/11 14:40:00)

エロガキ♀15kb> レモンさんの初回希望もありますし、19さん、11さんはレモンさんを、アタシは竿もなく案内役ですので胡桃さんを貰っちゃう方向でいいですかね？   (2024/11/11 14:40:28)

エロガキ♂11T> 自分はOKですよ～   (2024/11/11 14:40:51)

エロガキ♂19b ◆> 異議なし～お任せしちゃいます～   (2024/11/11 14:41:01)

エロガキ♂11T> レモンお姉さんは複数にされたいんですもんね   (2024/11/11 14:41:30)

エロガキ♀15kb> では、19さん　11さん→レモンさん　アタシ→胡桃さん　と相手が決まったら、だれでもいいので一人サイコロ振ります   (2024/11/11 14:41:31)

エロガキ♀15kb> 10d3+10 → (3 + 3 + 2 + 2 + 2 + 3 + 3 + 3 + 2 + 2) + 10 = 35  (2024/11/11 14:41:39)

エロガキ♀15kb> （上振れた）   (2024/11/11 14:41:47)

エロガキ♂19b ◆> 上振れ～   (2024/11/11 14:41:49)

胡桃 ◆> (唖然、)   (2024/11/11 14:41:50)

エロガキ♂11T> 長めだね～(よしっ)   (2024/11/11 14:42:06)

エロガキ♀15kb> 女性がまけのばあいは　10d3＋10分　今だと今から35分なので　15：17分まで、レモンさんはお二人の言いなりで犯されてください   (2024/11/11 14:42:26)

レモン・アーヴィン> わっ、わかりました。   (2024/11/11 14:42:57)

エロガキ♀15kb> 逆にエロガキ負けの場合は10d3分、+10がつかない分、こちらの部屋ではエロガキ負けの場合の方が時間は短くなります。その時間、負けたエロガキさんは女性の言いなりになる、という仕組みですね♡   (2024/11/11 14:43:19)

エロガキ♂11T> レモンお姉さんって…結構おっぱいおっきかったよね？…(ニヤニヤ)   (2024/11/11 14:43:21)

エロガキ♀15kb> お時間が足りない場合は移動ルームもあるので……多目的は利用の際にまたお教えしますね＜移動先   (2024/11/11 14:43:40)

レモン・アーヴィン> いえ、私そこまで大きくなくて、むしろ、小さいほうです..   (2024/11/11 14:43:41)

エロガキ♂19b ◆> よし...いけ！11T！レモンちゃんに突撃するんだ！！お兄さんは空いてるところを使わせて貰うね～   (2024/11/11 14:43:54)

エロガキ♀15kb> さて、ではでは、胡桃さん、こちらへどうぞ～♡（お膝ポンポン）   (2024/11/11 14:44:00)

エロガキ♂11T> 見たのが、同人誌だったからデカかったのかな…(レモンお姉さんの唇にキスして…乳首つまんで…軽くこすって…)   (2024/11/11 14:44:45)

胡桃 ◆> むー…まさかkbちゃんと対戦で負けるとは……でも、言うことはなんでも聞くよ〜？(よろよろ、ふらふら〜っとkbちゃんの元へ。ポンポンしてるお膝と、kbちゃんのお顔交互に見て、)   (2024/11/11 14:45:27)

エロガキ♂11T> レモンお姉さん責めつつ、胡桃お姉さんがどんな風になるのかも興味津々   (2024/11/11 14:45:29)

レモン・アーヴィン> あわっ...ううう...なんだか、お膝に乗られて、やられちゃうって、聞いてません...   (2024/11/11 14:45:38)

エロガキ♀15kb> では、上着そのまま、帽子と下だけ脱いで、お膝の上に座ってくださいな♪（はい、どうぞこちらへ～）   (2024/11/11 14:46:19)

エロガキ♂19b ◆> そうなるなら俺はこっちかな～(レモンちゃんの下半身に手を伸ばしスカートのなかに手をいれて下着の上からオマンコを触ってみて♡)   (2024/11/11 14:47:20)

胡桃 ◆> むぅ、わかったよー…♡(言われた通りにまずは帽子をとってはその場において、下も手早く脱ぎ捨てれば…全部かな？って、一応下着まで脱衣して。下着ははしたなくぽいって。頬染めながらゆっくりとお膝の上に鎮座して。むにっとしたお尻を押し付けて♡)  
(2024/11/11 14:48:20)

レモン・アーヴィン> はわっ、そこは旦那様に触ってもらうところですー。（真っ赤になってしまう）   (2024/11/11 14:49:05)

エロガキ♀15kb> 胡桃さんってフータオって読むんですね。ずっとくるみだと思ってました♡それにいいお尻……（まずは小さ目のお体、旋毛に鼻を当ててスンスンしつつ、片手は肩口、もう一方の手は乗せられたお尻の隙間の戸コリに手を挟み込んで、谷間をツツ―ッと撫でてアナルの入り口を指でトントンと押してみて）
  (2024/11/11 14:50:18)

エロガキ♂11T> レモンお姉さん…真っ赤でかわいい…(舌入れて、エッチなキスしながら、乳首つまんで…何度も小刻みに引っ張って…)   (2024/11/11 14:50:28)

レモン・アーヴィン> ひゃん、なんだか、えっちな気持ちです..ううう（乳首を掴まれて真っ赤になる）   (2024/11/11 14:50:51)

エロガキ♂19b ◆> その旦那様はいまはいないからねぇ...んま、どのみちこれから沢山触られるかもしれないからね～！今のうちに慣れておこうね！♡(そのまま下着をずらし割れ目を直接撫でて♡)   (2024/11/11 14:51:17)

レモン・アーヴィン> うう..そんなところ見られると恥ずかしいです（なでられて泣きそうな顔）   (2024/11/11 14:52:02)

胡桃
◆> ずっとクルミだと思われてたの！？そ、それはまぁいいけど…匂い、嗅ぐの…？♡(されたこと無いわけじゃないけど、旋毛部分に感じる吐息にぞくっ…♡下だけ脱がされてるからある程度覚悟はしてるけど、アナルに指が触れるのがわかればちょっと大きく身震い。冷や汗滲ませつつ、引き攣った笑顔で軽く振り向いて見せて…♡)も、もしかしてそっち責めちゃう子〜？♡
  (2024/11/11 14:53:30)

エロガキ♂11T> レモンお姉さん…乳首弱いの？…(乳首を口に含んで、ゆっくり吸いながら…クリも指でゆっくりこすって…)レモンお姉さんがエッチだから、こんなだよ…(エロガキのデカチンポを見せつけて)   (2024/11/11 14:53:40)

エロガキ♂19b ◆> ぷにぷにしててとってもいいよ～...あっは♡恥ずかしいんだぁ...いいねぇ、、楽しくなってきたかも♡♡(割れ目をしたから上にかけてなぞり、そのままクリえと指を運んでいきクリを転がすように撫でて♡)   (2024/11/11
14:53:56)

エロガキ♀15kb> そっちも何も～竿がない分アタシはどこでも行きますよ～♡と、言いますけどなんの話、ですかね～♡（振り返る胡桃さんの顔、頬にスンスン鼻を寄せて楽しみつつ、耳たぶをはふぅ♡吐息吹きかけつつ、上は脱いでいただいてないので、前、足を軽く開いても前垂れでほかの方には見えないですが、アナルに指先を軽く入れて入り口をクリクリと軽くアナルマッサージ♡）
  (2024/11/11 14:55:20)

エロガキ♂11T> フータオお姉さん…すごいことされてるな…(チラッと横目で見て)   (2024/11/11 14:55:57)

エロガキ♀15kb> ん～？（横目で見られつつも上着脱いでないので近づいてみない限り、ほぼ後ろ向きの抱っこされてるだけに見えると思いますが、すっとぼけた顔してアナルマッサージ続けるにこやかスマイル♡）   (2024/11/11 14:58:01)

胡桃
◆> とぼけても…♡ひぅ…♡ちょっ……急、にぃ…♡(頬とかの匂い嗅がれるのも恥ずかしいから、少し頬を赤く…♡耳朶に吐息とか反則じゃない？って言う間もなく、体大きく跳ねさせちゃって♡kbちゃんの指が入口に触れられると背筋ぞくぞくってしちゃって♡性器じゃないのに、マッサージみたいで、擽ったいようなもどかしい様な感覚に身を捩って、お尻をむにむにって、押し付けて♡)
  (2024/11/11 14:59:21)

レモン・アーヴィン> ううう...そんな大きいのみせられたらこまります。　ふーたおさんのほうが気になってますか？やっぱり胸が好きですもんね   (2024/11/11 14:59:52)

レモン・アーヴィン> ひゃっ、そんなとこ触れれるの怖いですー（真っ赤になって）   (2024/11/11 15:00:11)

胡桃 ◆> お、女の子同士だから…なにもやまし、こと…♡ないっから！♡(ぎこちない笑顔で、お手をふりふり、)   (2024/11/11 15:00:15)

エロガキ♂11T> そんなことないですよ…レモンお姉さんのおっぱい美味しいから…(わざと音を立てて、何度も乳首を吸いながら…)   (2024/11/11 15:00:37)

エロガキ♀15kb> ん、はひ、スキンシップ、ふきんひっぴ♡（ハムハムと耳たぶ甘噛みしつつ、ここが少し弱めとみるやじゅるじゅるに唾液浸していきますし♡指はぴんと伸ばしてゆっくり入れる感じ、入れる方には慣れが無いと大変でしょうからゆっくり少しずつ、だけど出す機能は……あるのかどうか♡指を曲げ、指の腹で引っ掻く感じでぎりぎりまで退き、そしてまた伸ばして入れる♡出し入れマッサージで入れる方に体を慣らしてもらいましょう♡）
  (2024/11/11 15:01:59)

エロガキ♂19b ◆> 優しく触るから安心してね～...あは♡恐くないよ...全然恐くない♡(もう片方の手も忍ばせ片手でクリを優しく擦りながらもう片方の手をオマンコにゆっくり挿入♡なかを押し開くように掻き回していって♡)   (2024/11/11
15:02:10)

レモン・アーヴィン> ひゃん、何か入ってきました。なんでしょう、もしかして、あついものでしょうか（真っ赤になりながら動いて）   (2024/11/11 15:04:22)

レモン・アーヴィン> ううう..まだ赤ちゃんすらできてませんし、ミルクなんて出ないです＞１１   (2024/11/11 15:04:39)

エロガキ♂11T> レモンお姉さん…俺のチンポ舐めてよ…(レモンお姉さんの口にチンポを押し付けて、ゆっくり押し込んでやり…硬くしてる乳首をつまんで強めに引っ張ってみる)   (2024/11/11 15:05:51)

胡桃
◆> そ、そうそう…♡スキン…ッ♡し、ぷ……♡耳朶や耳全体に感じる湿った吐息…♡唾液で塗れてくれば耳の奥に響く音に少しずつ興奮覚えて吐息乱して♡入口の解しが終えたみたいに、指がゆっくりアナルに侵入するのを感じとれば拒むように締め付けて♡異物感に思わず締め付けたけど、出し入れされる感覚がなんとも言えない感覚に少しずつ前の方からとろっとした蜜も垂らしてちゃんと解れてる、興奮してるって証で…♡)
  (2024/11/11 15:06:05)

レモン・アーヴィン> ううう..舐めるなんて、うう（おとなしく舐めようと下をだす＞１１   (2024/11/11 15:06:17)

エロガキ♂19b ◆> どうかなぁ？...でも、、中は悪くないいい絞まりだね♡♡すぐに本命をいれちゃってもいいぐらい♡(指で軽くGスポットを叩きながら解すようにゆっくりと音を出しながら掻き回していって♡)   (2024/11/11 15:06:28)

レモン・アーヴィン> こんなかきまわされると、とろっとなって、はいっちゃいます....(真っ赤になって、下をみる）＞１９   (2024/11/11 15:06:59)

エロガキ♂11T> 女の子二人のスキンシップ…楽しそうだね～(なんて声をかけて)   (2024/11/11 15:07:08)

エロガキ♂11T> ほら、レモンお姉さん…もっと舌使って…やらしく舐めて…(レモンお姉さんの喉奥までゆっくり出し入れ)   (2024/11/11 15:08:05)

レモン・アーヴィン> あうっ...いやらしくなめましゅ（出し入れしているところを必死に舐める）   (2024/11/11 15:08:28)

エロガキ♂19b ◆> あはは♡♡軽くしただけでこれなら...もう入れちゃってもいいよね？♡♡(指を引き抜きスカートをめくってオマンコをあらわにし...勃起したチンポを入り口に押し付けて♡)このまま生で、しちゃうね♡   (2024/11/11
15:08:33)

エロガキ♀15kb> 胡桃さん……大丈夫ですか？息が荒い様子、ですけど♡体調が悪そうでしたら、アタシのお部屋にでもお運びしますか？（なんて、ハムハムと耳を嬲っていましたけど、途中から耳をくすぐる程度に舌先を当てて、囁くばかり♡スルッと腰に手を添えれば、お尻の方に出し入れする指とは別に前、隠してはいますが、わきからてを差し込む格好で濡れてる膣の方にも指を♡爪側の硬い部分で薄壁挟んで両穴からコリコリして♡）
  (2024/11/11 15:09:21)

エロガキ♂11T> レモンお姉さん…かわいい…頑張ってなめちゃって…(レモンお姉さんの口マンコを犯すように何度も出し入れしながら、乳首をこねたりひねったりして)   (2024/11/11 15:10:45)

レモン・アーヴィン> ううう..お口が、食べ物以外いれるなんておもってもいませんでした（真っ赤になって、必死にしゃぶる）   (2024/11/11 15:12:13)

レモン・アーヴィン> 待ってください、ゴムつけてほしいです....（うるんだ目で相手を見る）＞１９   (2024/11/11 15:12:31)

エロガキ♂11T> あーあー、レモンお姉さん…19さんのチンポ、ハメられちゃったね…(レモンお姉さんの口マンコをさらに犯しながら…耳をなぞって…乳首を指ですこし乱暴に弾いてやる)   (2024/11/11 15:13:43)

エロガキ♂19b ◆> だーめ♡♡それにゴムなんてないからこのままハメちゃいまーす♡♡そーれ♡♡(勢いよくオマンコの奥までチンポを挿入♡)あは♡♡すっごい暖かいよ♡   (2024/11/11 15:13:45)

胡桃
◆> ぁ…♡うっ…♡それっ…♡ぜったい、やすめな…♡(舌先当てられるだけでも十分に変な感覚…♡ぞわぞわってして、囁き声の方がより意識しちゃうせいで頭離して逃げたくなるけど我慢…♡周りに見えてなくてもkbちゃんの手が前に来ると、同時に攻めてくるんだって無意識にわかっちゃって♡両方の穴から指だけで刺激されてるだけなのに…♡熱い吐息漏らして、益々密はとろっ…て♡)
  (2024/11/11 15:14:01)

レモン・アーヴィン> あうっ、赤ちゃんできちゃいます、乳首がびんびんに反応しちゃいます＞１１   (2024/11/11 15:16:04)

エロガキ♀15kb> ん～なんの話ですか？ちゃんとお休みさせてあげますよ？ええ、意識が落ちるまでの過程は保障外、ですけど♡（前の方は容赦なく指を二本目♡追加で押し込みつつ、お尻の方は逆に緩くゆっくり、それでいて相手の様子を見ながら、もう一本追加行けるかゆっくり引き抜いて二本目を入り口だけまた入れる動作から丁寧に進めて）
  (2024/11/11 15:16:21)

レモン・アーヴィン> ひゃっ、あっあっ赤ちゃんできちゃいます（ずぶずぶに下をぬらして）＞１９   (2024/11/11 15:16:29)

エロガキ♀15kb> と、言うところでもうお時間、ですけど、どうしましょう胡桃さん？アタシのお部屋で「お休み♪」されますか？（17分でーす）   (2024/11/11 15:17:00)

エロガキ♂11T> ほんと…こんなにエッチな乳首になっちゃって…(乱暴にさらに弾いて…)レモンお姉さん…二人のエロガキにいじめられちゃってるね   (2024/11/11 15:17:26)

エロガキ♀15kb> 【まさかのジャスト00秒】   (2024/11/11 15:17:34)

エロガキ♂19b ◆> 赤ちゃんできるまで中に仕込んであげてもいいんだよ～♡(腰を勢いよく振りポルチオを突きながら♡)おっと...もう時間～、、あっというまだねぇ   (2024/11/11 15:17:34)

エロガキ♂11T> 【自分ですね～】   (2024/11/11 15:17:44)

レモン・アーヴィン> ふぅ...なんか、時間来ちゃいました...(真っ赤になって）   (2024/11/11 15:17:54)

エロガキ♂11T> レモンお姉さん…延長もできるらしいよ…(ニヤニヤしながら)   (2024/11/11 15:18:20)

エロガキ♂11T> 【時間ですね】   (2024/11/11 15:18:36)

レモン・アーヴィン> どうしましょうか..延長ですか..うーん   (2024/11/11 15:18:42)

エロガキ♀15kb> あ、レモンさんは物足りないとかがお互いに在れば、多目的というお部屋で延長できますので……多目的の場合はご案内、19さんなら大丈夫ですよね？（って一応確認）   (2024/11/11 15:18:48)

胡桃 ◆> ま、負けて名残惜しい…お休み、シたいところだけど…少し   (2024/11/11 15:18:51)

胡桃 ◆> 行ってくる   (2024/11/11 15:18:54)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが部屋から追い出されました。  (2024/11/11 15:20:03)

おしらせ> 胡桃.さんが入室しました♪  (2024/11/11 15:20:03)

エロガキ♀15kb> えっと（アタシのお部屋ではなく、この後のご用事ってことですかね？）   (2024/11/11 15:20:08)

エロガキ♂19b ◆> 仕事熱心だなぁ...っと、、時間は過ぎたし抜いてあげないとね！(チンポを引き抜き)お任せあれー   (2024/11/11 15:20:08)

