/


「罰部屋【仮】」の過去ログ

現在のルーム [/ChatRoom?room_id=401057]
過去ログ一覧 [/PastLogList?room_id=401057]



2024年10月10日 22時56分 ～ 2024年10月11日 12時23分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂19b ◆> 【おっけーです】   (2024/10/10 22:56:03)
エロガキ♂19b ◆> 千尋ちゃん～どう？お兄さんと一緒に来るかいー？   (2024/10/10 23:10:18)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが退室しました。  (2024/10/10 23:10:19)

不二咲千尋> そうだね、じゃあ待ってるよ♡   (2024/10/10 23:10:27)

不二咲千尋> あ、でもでも、１５を待つんじゃなくて？   (2024/10/10 23:10:46)

エロガキ♂19b ◆> 15さんお疲れ様です～   (2024/10/10 23:10:53)

不二咲千尋> 一緒に行って、帰って来たのを見つけたら参加するとか、どうかな？   (2024/10/10 23:11:18)

エロガキ♂19b ◆> 15君の用事が終わるまでとか、どう～？向こうも了承してるっぽいしー。んま千尋ちゃんの意見を尊重するよ～！   (2024/10/10 23:11:39)

不二咲千尋> そうだね、それでいいよ。あ、でも、ＣＣしていっていいかな？   (2024/10/10 23:12:00)

エロガキ♂19b ◆> いいよ～   (2024/10/10 23:12:18)

不二咲千尋> うん、じゃあとりあえず着替えて行くね。   (2024/10/10 23:12:33)

エロガキ♂19b ◆> とりあいず不二咲千尋ちゃん待ちで作っとくね！   (2024/10/10 23:12:51)

不二咲千尋> はーい、了解。   (2024/10/10 23:12:59)

エロガキ♂19b ◆> 作ったよ～   (2024/10/10 23:13:12)

不二咲千尋> 入ったよー   (2024/10/10 23:14:23)

不二咲千尋> それじゃこっち落ちます！   (2024/10/10 23:14:35)

エロガキ♂19b ◆> 確認したよ～   (2024/10/10 23:14:35)

おしらせ> エロガキ♂19b ◆jPpg5.obl6さんが退室しました。  (2024/10/10 23:14:36)

おしらせ> 不二咲千尋さんが退室しました。  (2024/10/10 23:14:40)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/11 01:29:39)

おしらせ> 雪花ラミィさんが入室しました♪  (2024/10/11 01:31:11)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが入室しました♪  (2024/10/11 01:31:31)

エロガキ♂12Ω ◆> 勝った勝ったー、やったったー。どうすっかにゃーん。   (2024/10/11 01:32:00)

雪花ラミィ> はあ゛ー、後半しかーり取り返し始めてたんだけどなー。   (2024/10/11 01:32:06)

おしらせ> 星川サラさんが入室しました♪  (2024/10/11 01:32:17)

星川サラ> ちょっと待ってPC死んだw こっちで！   (2024/10/11 01:32:41)

エロガキ♂14C ◆> 面子揃ったねー。で、なんだけど。僕はラミィおねーさん貰いたい&ソフレとして攫いたい。攫うの不可ならここで。   (2024/10/11 01:32:59)

エロガキ♂12Ω ◆> ってなると俺はサラ姉ちゃんとかー。どうしよう、スケベに弄るかハメるか迷う。   (2024/10/11 01:34:21)

星川サラ> えー星川もエロ無しがいいー！   (2024/10/11 01:35:19)

エロガキ♂14C ◆> （※エロなしなんて一言も言ってない）   (2024/10/11 01:35:40)

星川サラ> てか向こう入ったままなってる……時間で抜けるまで残るかも。   (2024/10/11 01:36:12)

エロガキ♂12Ω ◆> って事らしいけど？   (2024/10/11 01:36:16)

エロガキ♂14C ◆> 同じ端末じゃなきゃ入り直しての追い出しは出来ないからねー。一応向こうに一言置いとくのはいいと思うよ。>サラおねーさん   (2024/10/11 01:36:59)

エロガキ♂12Ω ◆> サラ姉ちゃん的にはどこまでオッケーなん？   (2024/10/11 01:37:06)

雪花ラミィ> ラミィはね、敗者なので（諦めが早い）なんでも従いますとも。まだソフレ設定生きてたんか…？あ、ラミィ移動？はあんましたりしないんよねー。   (2024/10/11 01:38:06)

星川サラ> ちょっと待って、スマホで触るの初めてだしぐだってるw   (2024/10/11 01:38:10)

エロガキ♂14C ◆> じゃあ移動なしでここで。12くんは……サラおねーさんの調子？がアレみたいだし、アレなら移動するのもアリかと思うよ。   (2024/10/11 01:39:14)

星川サラ> え、全部アウトでw 星川の体安くないから！（何でもイケますって悲しみの背後的カミングアウトだけ添えときますね。）   (2024/10/11 01:39:15)

エロガキ♂14C ◆> 方針決まったら時間決めのサイコロ振らせてもらうね。   (2024/10/11 01:39:39)

雪花ラミィ> ゴメンネー。二人の方、ログインすらしてないんよ。使わなすぎてやり方も分からんし。ラミィはもうおっけーよー。   (2024/10/11 01:40:58)

エロガキ♂12Ω ◆> おけおけ、基本何でも有りのバーリトゥードね。了解したー。俺は移動どっちでも良いけどどうする？添い寝するにしても取り敢えず全裸は最低でも求めるけど。   (2024/10/11 01:41:27)

エロガキ♂14C ◆> 別に非公開にする必要もないんだけどねー。ソフレ設定生きてたから添い寝宣言してる僕のところ来たんじゃないの？って言っておくね。   (2024/10/11 01:42:13)

星川サラ> 最低全裸なんだるすぎw 星川も移動めんどいからナシで。（星川は何も言ってないのにNGナシなんバレてる、こわ。）   (2024/10/11 01:42:59)

エロガキ♂14C ◆> それじゃあどちらも移動なしで決まったみたいだからサイコロ振るね   (2024/10/11 01:43:29)

エロガキ♂14C ◆> 10d3+10 → (2 + 2 + 3 + 2 + 3 + 2 + 3 + 1 + 2 + 3) + 10 = 33  (2024/10/11 01:43:47)

エロガキ♂14C ◆> 2:16まで。   (2024/10/11 01:43:57)

雪花ラミィ> まあ、ソフレは全然嫌じゃないからええんやけども。りょうかーいっ   (2024/10/11 01:44:00)

エロガキ♂12Ω ◆> どうせなら俺も全裸なるしお互い様って事で。んじゃ始めるから全裸待機よろしこー。   (2024/10/11 01:44:27)

星川サラ> はー、ガキにヤられるとか星川めっちゃ安い女みたい……。（堕ちたな星川サラ、堕ちたな雪花ラミィ（巻き込み））   (2024/10/11 01:44:47)

エロガキ♂14C ◆> 嫌じゃないならよかった。それじゃあ今夜もよろしくね、ラミィおねーさんっ。（傍へ歩み寄るとしっかり抱き着いてから胸元へ顔を押し付けて頬を擦り付けて。）……あ、今夜は直のおっぱいを枕にさせてもらおーかなっ？   (2024/10/11
01:45:32)

エロガキ♂12Ω ◆> シチュ的にはお手軽オナホな肉抱き枕みたいなもんだし実際安い。(確信)   (2024/10/11 01:45:45)

雪花ラミィ> ラミィは裸にはならなくて済みそうだけど、そちらはもう確定なんだワ。巻き込まないでもろて。   (2024/10/11 01:45:56)

星川サラ> 男の子の裸に価値はないけど星川の裸にはめっちゃ価値あんの！！！（きゃんきゃん吠えながらも敗者は敗者、弁えて一枚ずつデフォ衣装脱いでって。エグいパンツも脱ぎ落としたら、ファン垂涎のエロボディ晒し。まあ元から露出大概だけども。）  
(2024/10/11 01:46:58)

星川サラ> はぁ！？テm……あぶな。14！ラミィちゃんも脱がせた方が添い寝気持ちいいぞ！（野次野次。これがにじとホロの差か……？）   (2024/10/11 01:48:15)

エロガキ♂12Ω
◆> はいはい、サラ姉ちゃん超可愛いなー。さて、流石に全裸だと布団中入ってなきゃ寒いっしょ。サラ姉ちゃんカモーン、スケベしようやぁ。(吠え喚き散らかす態度棒読みで受け流し既に下着も全部脱ぎ捨てた全裸で布団の中で待機済み、布団捲りスペース空けると手招きちょいちょい繰り返し)
  (2024/10/11 01:48:42)

雪花ラミィ> ふいふい〜、よろしくね、ソフレ君。ソフレ君って言い方よくない…？ソフレって別に悪い意味じゃないよね…？（首傾げながらも、素直な甘えん坊の彼を包むようにぎゅむっ。可愛いは可愛いんだワ）ん…。前よりお盛んになっちゃったみたいだわ…！（ちょっとだけ冷たい頬を紅くして、「ラミィが脱ごか？脱がしてみる？」なんて首傾げ。）
  (2024/10/11 01:48:51)

雪花ラミィ> もう半分出かかってんのよ。よしよし、お母さん襲われてるところちゃんと見てるからね（）   (2024/10/11 01:50:25)

星川サラ> はー…。（クソデカ溜め息、敗者に人権無し。12が全裸で待つ布団の方へ渋々移動して。寒いのは事実なんでいそいそと入り込むと、その豊満なおっぱいむにゅ〜…♡ 押し付けちゃって。）   (2024/10/11 01:50:51)

エロガキ♂12Ω ◆> 襲うだなんて失敬だなー。ちゃんと正当な権利の上での合意ですから。純愛だよ純愛。(ガチ恋勢やユニコーンファン煽り)   (2024/10/11 01:51:35)

エロガキ♂14C
◆> 別にいいんじゃないかなー？ソフレって添い寝フレンドの略称なんだしっ。（包み込むように抱擁を受けると、心地良さに更に甘えるように抱き着く手に力を込めて。）ホントならもっとえっちなことお願いしてもいいんだけどねー？ほら、ラミィおねーさんと会う時っていつも寝る前なんだもん。（じゃあ遠慮なく、とボタンぷちぷち開けて露わになるだろうブラ越しのおっぱいに顔押し付け。）
  (2024/10/11 01:51:57)

星川サラ> （星川とラミちゃんとか、そういう目で見られてそうなVで並んでショタに言いなりになってる図、なんかそういう同人誌みたいだなとか考えてる。）   (2024/10/11 01:52:40)

エロガキ♂14C ◆> （ライバー界隈怖いなーって煽りながらも全裸添い寝を敢行するサラおねーさんを生あたたかな視線で見守るよ）   (2024/10/11 01:52:51)

エロガキ♂12Ω ◆> おっほ♡柔らか～…♡ピチピチギャルの抱き心地ヤバ…っ♡(布団の中むにゅぅ～♡押し付け密着し合う素肌と素肌、豊満おっぱい潰れる感覚満喫しつつドスケベボディむぎゅぅ♡抱き着くと相手臍下にはおちんぽ先端ぐりぐり♡めりこみ)  
(2024/10/11 01:54:05)

エロガキ♂12Ω ◆> (こっち側ショタって竿役が拍車かけてんよね同人誌シチュ。まぁ押せばヤれるチョロ仕様が効いてる所もあるし実質サラ姉ちゃんの自責9割確定ってことで。)   (2024/10/11 01:55:31)

雪花ラミィ> ん、なら今日から君はソフレ君で決定だ。ラミィはお昼かこれぐらいの夜かしか居ないかんねー…。（雪に近しく冷たい肌に人の温もりを感じながら、くすっと頬緩み。頭を撫でながらそっと胸元を寄せてボタンが外しやすいように唆しては、ぷちんと最後のボタンは弾けて。薄水色の下着を露出させれば、そのまま優しく押し付けるみたいに後頭部を抱きしめ）
  (2024/10/11 01:55:48)

雪花ラミィ> （あっちはめちゃくちゃヤってる割にラミィんとこ甘めなの、ひとつぶで二度美味しい感じで捗る人は捗りそうなんだワ（小並感））   (2024/10/11 01:56:59)

星川サラ> 言ってることオッサン過ぎんだろォ！ぅ……♡（ピチピチギャル、星川が自称する分にはアリだけど他から聞くと加齢臭がヤバい。というかお臍の下にぐりぐりされてるちンぽ♡一丁前に勃起させてるエロガキに子宮きゅんきゅん反応しちゃって…♡そろりと両手、布団の中でちンぽ捕まえて優しぃ〜くしこしこ……♡）
  (2024/10/11 01:57:12)

星川サラ> ……どうしよラミちゃん！なんか星川ちんぽ押し付けられるだけでムラついてきた！w（堪え性とかなかった。同人誌適正◎）   (2024/10/11 01:58:51)

エロガキ♂14C
◆> んっ……だよねー。流石に昼間から声掛けるのも躊躇うところはあるし。（後頭部を抱かれて直に触れるおっぱいはひんやりと、でも抱き締めてくれるラミィおねーさんとの間に生まれるほんのりとした温もりに目を細めつつすりすりと感触を堪能するように頬ずりして。）……ほら、早くお布団入ろ？（手を引いて、そのままの姿勢で2人して布団の上に横に倒れ込むようにして。））
  (2024/10/11 01:59:25)

エロガキ♂12Ω
◆> うっさいっての。んっ♡ナニよこの手はぁ～…♡(マセガキ超えておっさん臭い発言しつつもおちんぽ自分から掴みしこしこ…♡白くて細い指が巻き付き乗り気じゃない雰囲気だった癖に手を出すのが早いのを揶揄る様にニヤニヤ♡腰を前後へこへこ♡揺らしお手々おまんこ出し入れするおちんぽ♡下腹越しに子宮どちゅ♡どちゅ♡叩きつつ彼女の顔中キスの雨降らせちゅ♡むちゅちゅ♡)
  (2024/10/11 02:00:32)

エロガキ♂12Ω ◆> (はい出ました即オチチョロイン、滅茶苦茶ヤッてる風に見せかけて完全合意のカレカノックスですわこれ)   (2024/10/11 02:02:11)

雪花ラミィ> ラミィはお昼でも暇な時は暇だし、かるーくなら付き合えるんよ？…はぁい、急かさんでも行くよ〜…？（心地良さそうにしてくれるだけで心の余裕が生まれるようになで、なで。きゅっと小柄な彼に手を引かれベッドに倒れれば少し目を丸くし驚くも、直ぐにまた嬉しそうに笑えば、布団の中で更に温もりを浴びて。）
  (2024/10/11 02:03:37)

星川サラ> えー、やば……w星川マジでチョロいかもしれん…w（自分のお手軽発情おまんこに自分でびっくりしながらもちンぽシゴく手止まらずに…♡子宮を外からぐりぐり、どちゅどちゅ♡されるだけで簡単にスイッチ入っちゃう♡ちゅ、ちゅって降るキスの雨の間に、じ、と見つめ♡
舐めていい？なんて囁くように訊ね。星川実は割とフェラ好き…♡）   (2024/10/11 02:04:02)

雪花ラミィ> 完全なるびっちなんだわ。ラミィと一瞬でも一緒にされた時間があったのか…（けいべつのまなこ）   (2024/10/11 02:04:34)

エロガキ♂14C
◆> ふーん？……なら、今度からはお昼でもお願いしちゃおーかな。ラミィおねーさんの気分次第だけど。（頭を撫でられるのが無性に心地良くて目を細めつつ、より甘えたい気持ちを煽られて。共にベッドの上に倒れ込んだ姿勢で上目にラミィおねーさんに見ると、何処か嬉しそうな様子に自分も笑みを浮かべて。）んっ……あったかいし、きもちいいね……。（すりすり、と顔全体で直に触れるおっぱいの柔らかさを感じつつ、不意に唇を押し当てるようにして。）
  (2024/10/11 02:06:38)

星川サラ> いやいやいや星川まだ同僚半分くらいしかヤったことないし！もしラミィ（もう呼び捨て）が男いる環境いたら全員いってそうじゃん！！（半分はいったのかって？うん。）   (2024/10/11 02:06:54)

エロガキ♂12Ω
◆> ほんとおまんこ脳だなサラ姉ちゃん。…フェラすんなら下の口でどうよ？♡(あっさり心変わり許し自らフェラ申し出るお手軽ギャルびっちに遠慮も無く腰振り繰り返し、先っぽから滲み出る我慢汁で素肌や掌べたぁ…♡汚しつつ質問大してむぎゅぅ♡密着度合い深めると彼女むっちり♡すべすべ♡太腿間を掻き分けおまんこ割れ目にちん先押し付け下の口でのフェラ誘い♡)
  (2024/10/11 02:07:52)

エロガキ♂12Ω ◆> (これ絶対に時間足りんよなー。サラ姉ちゃんのおまんこシュラフで添い寝延長希望なんだが連れ込みおけー？)   (2024/10/11 02:09:04)

雪花ラミィ> ふふ、いーよー、ラミィは押しに弱いんだワ。…あっ、これ全然内密に。いや、内密に。（上目に見上げてくれる彼に無性に母性が掻き立てられて、髪を掻き撫でるように優しく優しく溶かして合わせるように過ごし）…ん、ぅ…。…ふふっ、おっぱいしたいんか〜…？（唇が当たれば、ぴくりと肩を跳ねさせながら、意地悪に声を掛けるようにして。）
  (2024/10/11 02:10:24)

星川サラ> えー……♡どうしよっかなー…♡（子宮外から刺激するのやめて、おまんこロックオンされると既に蕩け始めてるおまんこはちン先にむちゅ♡吸い付いて♡けど、もう時間ないから…♡そっちが動く前に、自分から腰前に突き出してず、ぷ、ぷぅ…♡
ショタちンぽ、おまんこで食べちゃって♡ ガキのくせにちンぽ良すぎ…♡♡ へっ、へって犬みたいな息と舌を出しながらこっちからも腰へこぉ…♡）   (2024/10/11 02:11:46)

雪花ラミィ> ラミィは清楚なんですけど！？素敵な男性も女性もいらっしゃいますけど、あの人数の男性を半数行ってんの十分なんだワ…。（さらにけいべつのまなこ）   (2024/10/11 02:12:12)

星川サラ> （移動はちょっとNG！シンプル眠気あるから！）   (2024/10/11 02:13:07)

エロガキ♂14C
◆> ……喋っちゃいたくなるけど、そーするとみんなラミィおねーさんに声掛けちゃうから、ナイショにするね？（暫く思案に耽る面持ちの後、何処か悪戯な笑みを浮かべつつも、僅かながらに独占欲のような物を露わにして。髪を掻き撫でる指先に旋毛で押し返すようにぐいぐいと頭を擦り付け、その動きでおっぱいにも顔を擦り付け。）……うん。少しだけ、欲しい。（一際大きくぐい、と顔を押し沈めながら上目に見つめ。でも、時間ほとんどないな、と物惜しげに。）
  (2024/10/11 02:14:25)

星川サラ> （ラミィには今度にじの一番良かったちンぽ紹介して堕としてやりたいと思いつつも、だんだん余裕なくなってきたから声出して話しかけることはできなくなった…。いやラミィもいっかいknkn先輩のエグいちンぽとテク味わって欲し〜！（風評被害））  
(2024/10/11 02:15:06)

エロガキ♂12Ω
◆> んおっ…♡中とろっとろだわぁ…♡(勿体振る口調と裏腹腰突き出され飲み込まれるおちんぽ膣内ずぶぅ♡きゅんきゅん♡締まる体内に声震わせるとお互いへこへこ♡揺れる腰振りピストンで出し入れぐぽ♡ぬぽ♡かき混ぜ続け、目の前垂らされた舌も本能儘に吸い付くとちゅぷ♡ちゅぱ♡舌フェラ咥えラブラブきっす♡夢中で溺れて♡)
  (2024/10/11 02:15:17)

エロガキ♂12Ω ◆> (ちぇー、まぁ良いや。ちんハメデキたし次は中出し孕ませ予約だけ子宮に刻んどこかな。)   (2024/10/11 02:16:29)

星川サラ> くっ、そ…w♡このちンぽ…っ♡ ん゛ぉ゛っ♡ きもち、い…♡w
あ゛〜やばい♡ずぽずぽヤバいってぇ♡（ムカつくけどちンぽ強すぎる♡べろちゅ〜♡しながら無責任生ハメえっち♡最悪なのにすごい気持ちいい♡脚絡ませながら全裸交尾最高〜♡♡ってまン汁垂れ流して布団の中エロ臭で満たして……♡）   (2024/10/11
02:18:33)

雪花ラミィ> ふふ、ありがとね？キミとラミィだけのお約束、ってヤツなんだワ。（そっと耳に手をかけ、息を当てるように囁き。可愛い独占欲、なんて口元を緩ませながら、胸に押し付けられる顔に時計をチラ見しながらくすり。）じゃあ今晩は、ラミィのおっぱいで寝なー？…可愛いから許してあげるんだワ、ふふっ。（慣れた手つきで背中に手を掛ければ、しゅるりとブラを引き抜き。でも肝心な部分は布で覆って、「お預け」なんて揶揄いながら直接押し付けて。）
  (2024/10/11 02:19:17)

雪花ラミィ> （いやぁ〜、人様のものは奪えないからなー、ラミィは（クソ言い訳）あ、全然サラパイセンが襲われてるところは見るんだわ、興味あるから。）   (2024/10/11 02:21:12)

エロガキ♂14C ◆> 【……一応タイムオーバーしてるので提案なんですが。良ければ多目的、移動しませんかね。今空いてますし。】   (2024/10/11 02:21:52)

雪花ラミィ> 【ラミィはどーせすぐ寝れないから、良いよ〜ん？】   (2024/10/11 02:22:48)

星川サラ> 【こっちはもう〆投げるだけなんでいいかー。二人は長くなるならてらてら。】   (2024/10/11 02:23:19)

エロガキ♂14C ◆> 【ん、じゃあラミィおねーさんと僕は多目的行きますね。ありがと、ラミィおねーさんっ。】   (2024/10/11 02:23:20)

エロガキ♂14C ◆> 【それではこちらは失礼します。お部屋ありがとうございましたー。】   (2024/10/11 02:23:42)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/11 02:23:45)

エロガキ♂12Ω
◆> んっは♡んな事言ってる癖に、めっちゃくっついてくｍじゃん♡サラ姉ちゃんっ♡はっ♡これ、このまま寝たら絶対ザーメンお漏らし垂れ流す自信しかないっ…♡(お互い吐息荒げ布団が捲れ散らかっても可笑しくない程の生ハメ交尾♡ぐちゅぐちゅっ♡ぬちゅっ♡卑猥な結合部からのまん汁泡立つ音響かせ交尾盛り、脚絡めるだいしゅきホールド♡ぎゅうぅ♡深くくっつけばくっつくだけおちんぽ奥を抉り子宮を何度もどちゅ♡ばちゅっ♡カリ肉分厚いちん先が殴りつけ♡)
  (2024/10/11 02:23:55)

雪花ラミィ> 【サラパイセンも、またお話ししましょーねー。ビッチ好きなんで！見るぶんには！（最悪の残し言葉であったエルフでした）】   (2024/10/11 02:24:48)

おしらせ> 雪花ラミィさんが退室しました。  (2024/10/11 02:25:01)

エロガキ♂12Ω ◆> (おっと、こっちはもう終わりかー。残念だわー。取り敢えず書くとこまで書いたけどおまんこ貸してくれてあんがとサラ姉ちゃん)   (2024/10/11 02:25:16)

星川サラ> 【〆へんのかい！じゃあちょっと〆だけ投げて終わりでー。】   (2024/10/11 02:25:35)

星川サラ> あ゛〜イクッ♡ガキちンぽでイッ、グ♡♡お゛ぉ゛ぉ゛〜…っ♡ ん゛ぉ゛っ♡ほぉ゛っ♡♡♡（びくびくびくぅッ♡♡ 体跳ねさせてガチイキキメて♡なんか甘ったる〜い隣とまったく別種の甘さ（と潮）撒き散らしながらショタちンぽに屈服して…♡
した、けど、まあ時間も時間なんでぇ…♡ 自分はイッたからこのまま終わり（最悪）、部屋の関係もあるし布団から脱出して、さっさと服着て退室。ラブホかよ。）   (2024/10/11 02:25:50)

星川サラ> 【というわけでそっちの二人も12もおつかれぇ〜、スマホ割とやりづら……】   (2024/10/11 02:26:21)

おしらせ> 星川サラさんが退室しました。  (2024/10/11 02:26:31)

エロガキ♂12Ω ◆> 【いやめっちゃあっさり〆んじゃんw　とりまサラ姉ちゃんイカせたし満足しとく。んじゃお疲れ～】   (2024/10/11 02:26:51)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが退室しました。  (2024/10/11 02:26:57)

おしらせ> エロガキ♂19b ◆jPpg5.obl6さんが入室しました♪  (2024/10/11 02:43:24)

おしらせ> 三月なのか ◆lFeDWOjeZ6さんが入室しました♪  (2024/10/11 02:43:30)

三月なのか ◆> 師匠の教えが活きたいい戦いができたなぁ～！   (2024/10/11 02:43:49)

エロガキ♂19b ◆> おかしいなぁ..あと少しだったのに..   (2024/10/11 02:44:03)

三月なのか ◆> ちっちっち、『勝ちに不思議の勝ちあり。負けに不思議の負けなし。』だよ、彦卿師匠が言ってた！   (2024/10/11 02:44:50)

エロガキ♂19b ◆> なるほど？彦が言うなら間違いないか～、、時間決めるね！   (2024/10/11 02:45:22)

エロガキ♂19b ◆> 10d3 → (1 + 1 + 3 + 3 + 2 + 1 + 2 + 2 + 3 + 2) = 20  (2024/10/11 02:45:36)

エロガキ♂19b ◆> ５分まで～！   (2024/10/11 02:45:46)

エロガキ♂19b ◆> まぁ、、可愛いなのかちゃんからの罰なら甘んじて受け入れよう！？   (2024/10/11 02:46:18)

三月なのか ◆> で、えーっと…罰だよね？罰……。（もにょもにょ、口ごもって。深呼吸してから、赤い顔で。）下、全部脱いで。   (2024/10/11 02:46:32)

